"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
33,MATHEPUR,559,502,0,1061,275,272,0,547,547,0,96,10,360,33,26,1,4,4,1,2,0,0,2,1,2,5,547
34,BELBHARIYA,430,387,0,817,331,278,0,609,609,0,35,3,500,54,8,0,1,2,0,0,0,0,2,4,0,0,609
35,MEHIYA,411,359,0,770,278,215,0,493,493,0,73,16,282,46,49,2,1,1,4,0,0,0,1,5,3,10,493
36,NIYAMATPUR,506,417,0,923,380,279,0,659,659,0,84,5,134,403,13,2,0,1,4,2,0,0,2,6,2,1,659
37,BHITIYA,378,330,0,708,221,194,0,415,391,0,43,8,231,108,5,5,2,2,1,0,1,0,1,2,3,3,415
38,CHOUKHAT,659,550,0,1209,388,284,0,672,672,0,55,16,225,314,34,0,2,7,0,3,0,2,4,4,0,6,672
39,TURKADEEH,350,317,0,667,225,198,0,423,421,0,146,9,166,81,6,0,0,1,0,0,1,1,1,4,3,4,423
40,BHATBABHNI,382,350,0,732,225,185,0,410,407,0,40,8,209,101,27,0,0,15,2,0,0,1,0,5,1,1,410
41,SEHRIYA,687,587,0,1274,465,306,0,771,771,0,18,13,677,61,1,0,0,1,0,0,0,0,0,0,0,0,771
42,"UDAYPUR GRANT",767,666,0,1433,449,340,0,789,788,0,169,24,381,49,112,11,5,3,3,2,3,3,4,5,4,11,789
43,BELIYA,536,450,0,986,295,253,0,548,548,0,150,14,240,94,9,4,3,0,2,2,2,4,2,5,7,10,548
44,BELIYA,530,446,0,976,315,243,0,558,453,0,141,13,235,117,7,3,2,16,4,0,0,1,2,7,3,7,558
45,DHANESHERPUR,550,483,0,1033,280,270,0,550,550,0,134,12,178,114,10,1,1,74,2,1,2,1,7,8,1,4,550
46,DHANESHARPUR,519,431,0,950,316,244,0,560,560,0,119,5,206,121,81,2,0,15,0,0,0,2,1,2,2,4,560
47,BIRAHMATPUR,635,501,0,1136,300,242,0,542,538,0,102,4,31,196,5,2,5,155,4,3,2,3,12,6,2,10,542
48,BIRAHMATPUR,715,632,0,1347,359,307,0,666,665,0,33,10,132,162,12,3,3,288,2,4,0,1,12,1,1,2,666
49,KHOKHIYA,264,252,0,516,165,152,0,317,297,0,54,10,136,72,15,1,1,14,0,0,0,1,1,5,2,5,317
50,NYODAR,253,205,0,458,178,107,0,285,285,0,87,4,47,90,3,1,0,46,0,0,0,0,2,2,1,2,285
51,BANDHAVA,539,463,0,1002,314,220,0,534,534,0,37,10,269,127,64,3,2,6,1,1,1,1,3,5,1,3,534
52,BANDHAVA,475,427,0,902,253,190,0,443,443,0,111,12,213,38,50,3,1,2,0,1,0,0,2,1,2,7,443
53,BHAGOHAR,492,448,0,940,262,232,0,494,494,0,128,13,201,134,9,0,0,1,1,0,0,0,2,2,0,3,494
54,BHAGOHAR,450,414,0,864,254,200,0,454,454,0,15,8,311,89,11,1,0,0,2,0,1,1,4,5,0,6,454
55,BHAGOHAR,643,528,0,1171,460,325,0,785,785,0,31,12,487,215,15,2,0,4,0,0,0,2,2,8,1,6,785
56,BOUGARA,378,340,0,718,104,156,0,260,244,0,78,2,38,122,10,0,1,2,0,1,0,0,0,0,1,5,260
57,KHIRIDEEH,699,600,0,1299,352,285,0,637,627,0,100,25,360,108,22,0,1,5,0,1,3,0,4,7,1,0,637
58,RAMRAIPUR,316,276,0,592,146,154,0,300,300,0,42,3,110,120,15,1,0,2,1,2,0,0,2,1,0,1,300
59,RASOOLPUR,499,432,0,931,305,197,0,502,502,0,80,13,217,138,17,1,1,16,2,7,0,0,1,6,0,3,502
60,CHADUVA,614,568,0,1182,359,278,0,637,637,0,131,9,382,54,50,0,0,1,1,1,0,1,0,2,1,4,637
61,KARNIPUR,498,400,0,898,314,231,0,545,545,0,29,16,312,154,7,0,1,0,1,5,1,1,6,5,0,7,545
62,KARNIPUR,487,453,0,940,281,253,0,534,534,0,95,7,196,107,109,5,2,0,2,3,1,1,1,1,0,4,534
63,MAHADEVA,716,599,1,1316,396,382,0,778,778,0,59,14,384,289,13,1,0,1,1,1,0,2,3,7,1,2,778
64,WAZIRGANJ,860,663,0,1523,601,399,0,1000,1000,0,219,13,558,156,17,2,0,6,2,4,0,1,7,5,1,9,1000
65,WAZIRGANJ,797,631,0,1428,460,404,0,864,864,0,89,14,611,127,11,0,3,0,0,0,1,1,3,0,2,2,864
66,WAZIRGANJ,573,482,0,1055,357,257,0,614,614,0,129,9,368,63,26,2,1,5,1,1,0,0,4,2,0,3,614
67,WAZIRGANJ,567,495,0,1062,344,261,0,605,605,0,24,6,463,98,11,0,1,0,0,0,0,1,0,0,1,0,605
68,RAMPUR,226,170,0,396,145,104,0,249,249,0,33,2,113,90,2,0,0,1,1,1,0,0,2,1,0,3,249
69,"PURE DHADHU",668,591,0,1259,421,300,0,721,721,0,42,16,309,308,13,3,0,1,0,3,1,2,5,4,8,6,721
70,"PURE DHADHU",467,424,0,891,382,215,0,597,597,0,169,10,150,244,11,0,0,2,1,0,1,1,2,2,0,4,597
71,KOTHA,301,264,0,565,187,149,0,336,336,0,48,9,196,53,15,0,0,0,4,2,0,0,1,2,1,5,336
72,KOTHA,643,556,0,1199,393,312,0,705,705,0,143,13,340,159,12,1,0,10,0,3,0,2,4,5,3,10,705
73,KOTHA,449,389,0,838,284,243,0,527,526,0,77,4,365,38,17,0,1,0,11,1,0,4,2,2,0,5,527
74,CHANDAHA,724,606,0,1330,412,333,0,745,745,0,118,22,381,149,33,3,3,3,4,2,1,1,11,7,3,4,745
75,AJABNAGAR,413,383,0,796,263,191,0,454,454,0,101,13,216,64,17,2,1,13,1,2,0,5,3,7,2,7,454
76,MOHANPUR,423,388,0,811,310,291,0,601,580,0,62,7,149,371,1,0,1,0,1,1,1,0,2,1,0,4,601
77,BANEPUR,326,325,0,651,194,206,0,400,388,0,43,4,280,55,8,0,0,0,0,1,1,1,3,2,0,2,400
78,JALALPUR,712,614,0,1326,387,256,0,643,643,0,51,14,318,192,37,2,1,12,1,1,1,1,2,4,1,5,643
79,"PARSHA MAHROUR",667,604,0,1271,419,406,0,825,810,0,296,5,220,268,8,2,0,18,0,0,1,0,1,2,0,4,825
80,KARDA,418,378,0,796,272,253,0,525,525,0,24,11,322,142,8,0,3,7,2,0,0,2,3,1,0,0,525
81,KARDA,248,216,0,464,120,137,0,257,257,0,6,8,121,104,3,2,0,2,4,2,0,2,2,1,0,0,257
82,KARDA,537,434,0,971,251,194,0,445,405,0,135,6,75,161,13,1,0,27,0,0,2,1,7,6,2,9,445
83,RAMAIPUR,244,215,0,459,140,124,0,264,263,0,25,10,156,49,6,0,0,3,2,2,1,1,2,2,3,2,264
84,"GANESHPUR GRANT",279,243,0,522,162,108,0,270,270,0,41,11,107,82,10,2,1,1,2,4,1,3,1,2,0,2,270
85,AMBARPUR,868,731,0,1599,544,393,0,937,937,0,160,27,515,45,147,6,1,4,3,6,3,2,1,3,3,11,937
86,BANDARHA,467,390,0,857,313,231,0,544,544,0,47,9,294,145,29,1,0,1,0,0,3,1,4,3,0,7,544
87,BANDARHA,387,313,0,700,192,123,0,315,315,0,35,13,222,35,2,0,0,1,0,0,0,1,2,2,1,1,315
88,BHITOURA,763,615,0,1378,424,284,0,708,708,0,18,21,398,154,77,4,3,5,2,1,3,0,4,8,4,6,708
89,BHITOURA,460,429,0,889,241,216,0,457,457,0,22,7,209,181,27,0,1,3,0,2,1,0,1,3,0,0,457
90,BHITOURA,401,336,0,737,208,140,0,348,348,0,74,9,121,121,10,2,1,0,0,0,1,0,1,2,2,4,348
91,BHITOURA,703,657,0,1360,416,379,0,795,795,0,108,12,445,151,49,0,1,2,0,3,2,1,4,4,4,9,795
92,BHITOURA,679,612,0,1291,364,352,0,716,716,0,72,6,332,251,20,2,1,17,0,3,1,2,3,4,0,2,716
93,BANJARIYA,532,414,0,946,322,179,0,501,501,0,52,11,228,161,38,0,1,6,0,0,1,0,0,1,0,2,501
94,BANJARIYA,717,623,0,1340,414,299,0,713,713,0,53,17,485,100,32,0,0,3,0,4,0,0,5,8,1,5,713
95,"BAKSARA AGYARAM",548,497,0,1045,310,268,0,578,578,0,38,18,263,209,19,0,2,8,1,2,2,1,6,4,2,3,578
96,"BAKSARA AGYARAM (SONBARSA)",542,411,0,953,300,238,0,538,538,0,92,22,225,124,18,2,0,20,1,1,1,3,5,8,7,9,538
97,"BAKSARA AGYARAM (SONBARSA)",592,464,0,1056,301,242,0,543,543,0,186,15,236,60,20,2,1,5,2,0,0,1,4,5,4,2,543
98,PATEETH,754,650,0,1404,456,369,0,825,815,0,43,29,549,96,45,1,2,24,0,2,1,3,5,15,0,10,825
99,KUNJALPUR,524,488,0,1012,300,270,0,570,500,0,52,8,264,172,8,1,4,49,1,1,1,1,3,1,2,2,570
100,KUNJALPUR,509,430,0,939,261,202,0,463,460,0,60,2,268,106,16,3,1,3,1,0,2,0,0,0,0,1,463
101,ITROUR,813,689,0,1502,512,389,0,901,688,0,21,20,678,115,45,0,0,4,1,3,0,2,3,4,2,3,901
102,HARNATAYAR,775,651,0,1426,454,405,0,859,859,0,115,16,308,342,39,3,0,3,1,4,1,4,3,2,5,13,859
103,HARNATAYAR,663,567,0,1230,377,355,0,732,732,0,57,18,239,183,195,5,2,9,1,2,0,4,3,5,0,9,732
104,JOGAPUR,629,522,0,1151,401,317,0,718,718,0,86,12,299,199,85,2,5,3,6,2,2,2,3,4,0,8,718
105,BEEREPUR,457,371,0,828,278,203,0,481,477,0,62,11,177,29,190,2,0,0,0,1,0,1,1,1,2,4,481
106,BEEREPUR,456,378,0,834,211,190,0,401,391,0,146,16,138,36,53,3,0,1,1,0,0,1,0,1,0,5,401
107,MAHEVAGOPAL,535,440,0,975,317,261,0,578,569,0,72,10,295,86,90,4,1,1,0,0,0,3,0,5,2,9,578
108,MAHEVAGOPAL,624,570,0,1194,409,368,0,777,775,0,473,10,125,95,41,3,0,0,0,1,3,3,2,2,5,14,777
109,RAMPUR,778,659,0,1437,481,285,0,766,766,0,67,24,291,162,200,5,1,1,2,1,1,2,6,0,0,3,766
110,GADI,488,420,0,908,354,251,0,605,555,0,23,5,453,75,36,1,0,0,2,1,1,0,1,2,1,4,605
111,GADI,648,543,0,1191,398,353,0,751,751,0,64,18,391,134,109,4,1,1,3,2,2,2,2,7,2,9,751
112,SOHAS,312,284,0,596,184,159,0,343,343,0,104,6,103,75,43,3,0,2,0,0,1,1,0,0,0,5,343
113,SOHAS,602,532,0,1134,352,306,0,658,658,0,109,13,189,263,36,1,1,10,1,2,3,3,5,4,7,11,658
114,DALPATPUR,482,415,0,897,286,282,0,568,562,0,115,8,245,165,18,1,2,4,0,0,1,2,2,3,0,2,568
115,KAHOBA,402,356,0,758,332,248,0,580,540,0,40,3,527,7,2,0,1,0,0,0,0,0,0,0,0,0,580
116,HARHAVA,570,510,0,1080,299,283,0,582,269,0,123,15,320,52,37,1,0,1,1,2,3,1,6,7,4,9,582
117,HARHAVA,575,475,0,1050,343,275,0,618,613,0,104,14,163,176,128,1,3,2,0,3,5,6,5,2,1,5,618
118,KAIMI,436,343,0,779,261,184,0,445,445,0,79,7,232,37,61,2,1,2,1,2,2,0,3,2,3,11,445
119,VIDHYANAGAR,655,574,0,1229,369,308,0,677,677,0,58,6,344,192,36,0,2,28,1,1,0,2,0,2,1,4,677
120,VIDHYANAGAR,278,213,0,491,139,85,0,224,224,0,4,6,104,25,75,2,0,0,0,0,0,3,2,1,1,1,224
121,BANKASHIYA,468,379,0,847,235,179,0,414,410,0,70,11,157,90,51,0,1,7,0,0,0,4,3,10,0,10,414
122,BANKASHIYA,629,541,0,1170,333,279,0,612,611,0,129,19,241,87,89,5,0,2,1,2,4,2,3,8,5,15,612
123,SOTHIYA,512,418,0,930,295,227,0,522,522,0,8,4,140,338,16,0,1,2,0,1,0,3,1,5,3,0,522
124,SOTHIYA,371,334,0,705,173,126,0,299,299,0,129,2,68,52,28,0,0,0,2,0,1,2,4,2,2,7,299
125,RENDOURA,323,258,0,581,192,145,0,337,318,0,47,6,104,54,101,3,2,2,0,2,1,1,1,3,3,7,337
126,TURKADEEHA,613,522,0,1135,363,286,0,649,648,0,50,24,193,31,300,5,1,18,1,5,1,2,2,4,1,11,649
127,VISHUNPUR,381,336,0,717,223,224,0,447,447,0,127,4,138,153,11,0,1,2,1,0,2,2,1,4,0,1,447
128,VISHUNPUR,297,280,0,577,160,160,0,320,319,0,36,8,128,128,9,3,0,2,0,0,0,1,1,4,0,0,320
129,PIKOURA,271,229,0,500,190,129,0,319,316,0,24,6,161,82,38,0,1,1,0,1,1,0,1,0,1,2,319
130,KHAJURI,486,403,0,889,314,244,0,558,558,0,23,11,308,100,88,2,2,1,3,4,1,1,3,7,0,4,558
131,"MADNAPURN BHAN",362,299,0,661,229,196,0,425,364,0,70,7,206,111,16,0,0,0,1,1,1,1,4,4,0,3,425
132,GAIJARA,460,423,0,883,252,206,0,458,438,0,31,4,243,85,67,1,0,4,0,0,1,3,3,3,3,10,458
133,SISVA,675,554,0,1229,413,252,0,665,665,0,51,9,309,225,24,0,0,21,1,3,2,2,2,4,3,9,665
134,NARENDRAPUR,430,371,0,801,269,194,0,463,463,0,28,8,208,124,85,3,0,0,1,0,0,0,2,2,1,1,463
135,"MACHLIGAON TALUKA BHITOURA",635,574,0,1209,319,274,0,593,583,0,72,15,349,77,45,0,0,0,7,5,0,2,7,4,1,9,593
136,PANDITPUR,848,737,0,1585,450,384,0,834,834,0,92,19,351,283,40,3,1,2,1,1,0,5,9,10,4,13,834
137,"BAIRIPUR RAMNATH",525,438,0,963,309,254,0,563,563,0,106,9,217,186,11,1,1,2,2,6,2,3,3,6,3,5,563
138,"BAIRIPUR RAMNATH",529,465,0,994,310,258,0,568,568,0,93,6,274,188,1,0,1,0,0,3,0,0,0,0,0,2,568
139,DHARAMPUR,819,667,0,1486,391,340,0,731,730,0,50,22,306,133,56,2,4,125,6,2,0,1,7,5,3,9,731
140,MANKAPUR,683,532,0,1215,414,305,0,719,719,0,5,11,423,253,7,0,2,3,0,0,2,3,2,2,1,5,719
141,MANKAPUR,488,387,0,875,303,200,0,503,503,0,4,4,407,77,2,1,0,0,1,0,0,1,0,1,2,3,503
142,MANKAPUR,547,454,0,1001,297,225,0,522,480,0,13,5,352,131,11,0,0,0,1,2,0,0,1,1,1,4,522
143,MANKAPUR,679,576,0,1255,382,276,0,658,658,0,6,12,515,79,25,1,1,1,0,4,0,0,6,2,2,4,658
144,MANKAPUR,501,429,0,930,370,254,0,624,615,0,2,5,539,55,13,0,0,1,0,0,0,0,2,0,1,6,624
145,MANKAPUR,746,590,0,1336,385,287,0,672,672,0,12,4,458,161,21,0,0,1,0,4,0,1,1,2,1,6,672
146,"MIRZAPUR RAMNATH",398,334,0,732,248,201,0,449,449,0,20,9,337,48,14,0,1,0,0,3,0,2,2,6,3,4,449
147,"MANKAPUR DEHAT",525,448,0,973,314,287,0,601,601,0,10,12,450,91,14,1,0,0,0,3,0,4,4,6,4,2,601
148,"MANKAPUR DEHAT",406,366,0,772,307,245,0,552,552,0,12,6,478,35,8,0,0,1,0,0,0,0,0,4,6,2,552
149,"MANKAPUR DEHAT",837,652,0,1489,438,300,0,738,738,0,10,8,352,324,21,2,0,5,0,1,1,1,3,3,1,6,738
150,BHARHU,623,538,0,1161,367,263,0,630,630,0,97,9,413,71,18,2,0,0,0,2,1,4,2,3,1,7,630
151,KISHUNDASPUR,837,730,0,1567,404,346,0,750,744,0,146,33,330,98,105,6,3,4,5,3,1,3,4,5,0,4,750
152,ASRAFPUR,926,768,0,1694,539,436,0,975,975,0,44,32,709,84,38,5,1,4,4,3,2,0,7,16,6,20,975
153,ASRAFPUR,661,523,0,1184,359,297,0,656,656,0,35,18,467,89,11,1,3,3,2,1,0,1,5,5,6,9,656
154,GOHANNA,561,420,0,981,325,239,0,564,564,0,20,14,268,124,110,1,1,3,1,2,1,1,5,3,4,6,564
155,GOHANNA,532,410,0,942,302,249,0,551,551,0,45,11,185,197,74,1,6,6,0,2,2,1,5,6,2,8,551
156,JHALMAL,324,286,0,610,262,229,0,491,491,0,2,7,413,35,15,2,0,5,0,0,0,0,0,8,0,4,491
157,"LAMTI UKRAHVA",634,535,0,1169,434,355,0,789,739,0,39,15,631,65,14,0,2,3,1,3,2,1,3,6,0,4,789
158,"KATHAT BUTAHNI",613,509,0,1122,410,307,0,717,714,0,23,27,515,48,15,2,1,4,3,4,1,4,11,32,8,19,717
159,"KATHAR BUTAHNI",672,549,0,1221,431,334,0,765,765,0,16,25,552,52,5,4,5,1,0,3,5,6,13,47,11,20,765
160,"PERI POKHAR",629,504,0,1133,400,318,0,718,718,0,27,13,574,74,17,2,2,1,0,0,2,0,1,4,1,0,718
161,JAIDAWA,439,333,0,772,321,194,0,515,515,0,20,2,400,70,19,0,1,0,0,0,0,0,0,1,1,1,515
162,"I.T.I. MANKAPUR",709,656,0,1365,216,268,0,484,484,0,24,1,263,34,123,2,0,0,0,36,0,0,0,0,0,1,484
163,"I.T.I. MANKAPUR",427,393,0,820,110,144,0,254,243,0,11,0,120,25,81,0,0,0,0,14,0,0,0,0,0,3,254
164,"I.T.I. MANKAPUR",381,366,0,747,135,167,0,302,290,0,40,1,101,28,110,1,0,0,0,19,0,0,0,0,0,2,302
165,"I.T.I. MANKAPUR",656,597,0,1253,263,298,0,561,549,0,45,5,196,68,225,1,0,0,0,17,0,0,0,1,0,3,561
166,"I.T.I. MANKAPUR",711,609,0,1320,229,231,0,460,460,0,23,1,231,32,147,0,0,0,0,19,0,0,0,1,0,6,460
167,"I.T.I. MANKAPUR",241,225,0,466,81,87,0,168,168,0,6,2,91,7,50,0,0,0,1,7,0,0,0,0,0,4,168
168,FIROZPUR,571,519,0,1090,326,252,0,578,578,0,71,17,271,168,33,2,1,2,0,1,1,0,3,4,3,1,578
169,FIROZPUR,383,323,0,706,216,167,0,383,383,0,26,11,242,53,20,2,0,2,2,0,3,2,2,7,3,8,383
170,FIROZPUR,770,668,0,1438,406,329,0,735,700,0,99,18,264,186,101,6,3,6,0,5,3,1,10,10,5,18,735
171,"MISHROLIYAN GOSHAI",724,582,0,1306,450,366,0,816,816,0,74,19,365,299,22,3,1,3,3,1,0,1,6,9,2,8,816
172,"GAYANIPUR RAM PRASAD",481,433,0,914,283,231,0,514,511,0,16,11,269,175,22,1,0,1,0,2,0,2,4,6,3,2,514
173,"GAYANIPUR RAM PRASAD",408,315,0,723,132,124,0,256,240,0,29,3,91,51,10,1,0,65,1,1,0,0,1,1,1,1,256
174,"CHANDPUR DURGA",895,681,1,1577,393,271,0,664,664,0,64,23,367,137,13,2,1,8,4,2,2,2,7,10,5,17,664
175,"DHUSVA KHAS",659,517,0,1176,200,246,0,446,438,0,111,12,210,76,10,3,1,1,2,2,0,1,6,3,4,4,446
176,"DHUSVA KHAS",465,363,0,828,203,102,0,305,305,0,38,11,173,29,30,0,0,1,1,1,0,1,1,4,5,10,305
177,"DHUSVA KHAS",634,461,0,1095,279,154,0,433,431,0,30,11,126,107,130,3,4,3,1,2,2,3,1,3,3,4,433
178,"DHUSVA KHAS",386,287,0,673,147,107,0,254,254,0,50,5,98,75,8,0,2,4,0,0,0,0,2,3,3,4,254
179,"DHUSVA KHAS",858,698,0,1556,363,295,0,658,658,0,104,19,180,292,9,2,2,19,0,4,0,2,6,9,2,8,658
180,RANIPUR,399,334,0,733,219,172,0,391,391,0,34,2,127,64,147,3,2,1,1,2,3,1,0,1,3,0,391
181,DATOULI,695,594,0,1289,378,272,0,650,644,0,25,9,196,339,26,3,0,17,0,2,2,3,3,7,5,13,650
182,DATOULI,621,499,0,1120,380,235,0,615,595,0,53,21,257,253,7,0,0,1,1,0,2,1,1,5,5,8,615
183,KUDASAN,559,491,0,1050,345,266,0,611,607,0,103,14,289,166,22,1,3,4,1,0,2,0,1,3,0,2,611
184,KUDASAN,475,446,0,921,303,249,0,552,552,0,46,14,278,130,58,2,1,1,0,0,3,2,4,5,3,5,552
185,"KARNUPUR RAZA",251,247,0,498,143,138,0,281,276,0,36,5,112,111,1,1,0,7,1,1,1,0,1,2,0,2,281
186,"KARNUPUR RAZA",613,500,0,1113,416,215,0,631,626,0,94,14,208,204,84,9,1,0,0,0,2,0,1,9,1,4,631
187,ANDHIYARI,615,495,0,1110,251,242,0,493,455,0,61,13,305,87,22,0,1,1,1,0,0,0,0,0,1,1,493
188,ANDHIYARI,298,255,0,553,142,92,0,234,222,0,44,9,104,58,6,2,0,0,1,1,0,1,0,6,1,1,234
189,DEVARIYA,746,595,0,1341,391,275,0,666,600,0,77,6,170,385,8,1,0,1,0,1,0,0,1,8,3,5,666
190,"UPPADHAYEPUR GRANT",815,683,0,1498,483,375,0,858,858,0,87,17,286,159,258,7,2,1,0,4,3,3,12,5,2,12,858
191,"UPPADHAYEPUR GRANT",845,696,0,1541,412,252,0,664,664,0,97,23,233,131,121,4,0,2,4,1,2,4,8,13,9,12,664
192,MECHUKA,299,247,0,546,196,159,0,355,355,0,12,8,198,44,86,2,1,0,0,0,0,0,2,1,0,1,355
193,"MACHLIGAON NANKAR",592,481,0,1073,318,227,0,545,545,0,79,22,252,119,37,3,2,10,0,3,3,0,4,4,2,5,545
194,"MACHLIGAON NANKAR",429,348,0,777,201,190,0,391,391,0,109,12,163,63,3,4,0,10,0,3,0,1,6,4,2,11,391
195,"MACHLIGAON NANKAR",810,626,0,1436,584,249,0,833,803,0,66,13,551,166,9,1,1,7,0,1,0,2,1,7,2,6,833
196,CHOUBEYPUR,745,648,0,1393,417,290,0,707,705,0,60,13,336,188,42,4,2,4,1,6,0,3,10,9,7,22,707
197,CHOUBEYPUR,610,489,0,1099,327,194,0,521,521,0,127,12,295,43,18,1,0,1,0,1,1,1,7,7,2,5,521
198,KAROHA,668,569,0,1237,267,257,0,524,518,0,61,15,274,132,5,1,2,12,1,2,0,1,4,8,1,5,524
199,RAJAPUR,631,525,0,1156,184,257,0,441,441,0,28,3,39,279,14,0,0,63,2,2,1,1,4,4,0,1,441
200,LALAKPUR,582,440,0,1022,298,235,0,533,533,0,16,25,306,107,49,2,1,1,1,3,0,3,5,6,1,7,533
