"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL KUMAR MAURYA","2 - TARUN PATEL URF TARUNENDRA CHAND PATEL","3 - DR MAHENDRA NATH PANDEY","4 - RAMKISHUN","5 - IRSHAD","6 - CHANCHAL","7 - JITENDRA","8 - MRITUNJAYA PANDEY","9 - RAMASHANKER SINGH MAURYA","10 - RAJA JAISWAL","11 - RAJENDRA","12 - RAM DULAR","13 - VINAI KUMAR SINGH","14 - SHASHI SINHA","15 - SANJEEV SINGH","16 - DR. HARIDWAR SINGH YADAV","17 - HEERALAL","18 - GULAVAS","19 - BINDU","20 - RAJNARAYAN","21 - SANJAY","22 - None of the Above","Total Votes Secured"
62,"P.P. NAWAPURA R.NO.-2",688,533,0,1221,459,303,0,762,722,0,122,33,487,42,13,0,2,1,0,11,1,1,3,0,3,6,5,1,19,3,3,6,762
63,"P.V. SATHAWA R.NO.- 1",429,386,0,815,275,225,0,500,466,0,128,50,293,9,2,0,1,1,1,1,0,0,2,1,1,3,2,2,1,0,0,2,500
64,"P.V. SATHAWA R.NO.- 2",482,421,0,903,307,251,0,558,540,0,142,49,238,106,8,1,1,0,0,2,2,0,2,1,0,1,1,1,1,1,1,0,558
65,"P.V. SATHAWA R.NO.- 3",333,271,0,604,243,184,0,427,426,0,278,25,66,45,2,0,0,0,2,0,1,0,0,1,0,6,1,0,0,0,0,0,427
66,"P.V. DHOORIPUR",743,624,0,1367,743,308,0,1051,852,0,230,35,642,21,19,4,5,3,2,10,2,1,14,3,4,4,16,9,9,4,5,9,1051
67,"P.P. HIRAMANPUR R.NO.-1",612,480,0,1092,324,287,0,611,610,0,143,11,357,43,3,1,4,1,0,10,5,2,7,1,3,9,2,1,1,2,1,4,611
68,"P.P. HIRAMANPUR R.NO.-2",686,550,0,1236,451,330,0,781,750,0,47,31,584,48,33,0,4,2,0,8,2,2,2,4,0,5,1,0,0,5,0,3,781
69,"P.P. HIRAMANPUR R.NO.-3",719,587,0,1306,459,301,0,760,705,0,77,21,547,49,25,1,1,2,0,10,2,1,1,4,1,6,0,1,5,0,3,3,760
70,"P.P. SHAPUR DEHATI R.N0-1",507,437,0,944,237,232,0,469,444,0,31,22,322,71,19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,469
71,"P.P. ASHAPUR DEHATI R.NO.2",685,592,0,1277,422,315,0,737,730,0,20,39,511,130,30,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,737
72,"P.P. ASHAPUR DEHATI R.NO.3",414,340,0,754,292,181,0,473,470,0,37,25,334,43,26,0,0,1,0,2,0,0,0,1,1,0,1,0,1,0,0,1,473
73,"U.M.K.V.ASHAPUR R.N0.1",604,496,0,1100,397,330,0,727,650,0,15,31,595,44,13,0,2,2,1,5,1,3,2,2,4,2,1,1,1,0,1,1,727
74,"U.M.K.V.ASHAPUR R.N0.2",527,428,0,955,369,226,0,595,590,0,195,16,330,26,5,0,1,0,0,3,0,0,1,1,1,4,5,0,1,2,2,2,595
75,"CHATURANAN BRAMHCHARI SEWASHRAM ASHAPUR TILMAPUR R.NO. 1",651,560,0,1211,403,329,0,732,712,0,70,45,539,42,8,0,2,0,3,2,0,0,0,1,2,5,2,1,4,2,0,4,732
76,"CHATURANAN BRAMHCHARI SEWASHRAM ASHAPUR TILMAPUR R.NO. 2",859,703,1,1563,467,406,0,873,843,0,138,24,573,88,10,0,3,3,0,3,1,1,4,2,1,9,1,1,0,4,3,4,873
77,"B.P.P. SALARPUR R.N0.1",875,719,0,1594,531,424,0,955,949,0,159,36,592,87,18,2,4,0,1,11,1,0,2,5,2,11,7,1,2,5,4,5,955
78,"B.P.P. SALARPUR R.N0.2",723,564,0,1287,438,311,0,749,726,0,108,39,500,51,9,0,3,2,0,7,1,2,2,1,3,6,3,1,1,6,1,3,749
79,"B.P.P. SALARPUR R.N0.3",649,516,0,1165,444,342,0,786,680,0,107,59,473,71,23,2,2,0,0,9,1,2,4,6,4,11,2,2,4,1,1,2,786
80,"B.P.P. SALARPUR R.N0.4",650,523,0,1173,412,318,0,730,730,0,62,24,564,37,16,0,0,1,1,3,3,0,0,1,4,3,2,0,4,2,2,1,730
81,"V.BIHAR J.H. SCHOOL SALARPUR R.NO.1",655,582,0,1237,475,375,0,850,760,0,357,23,393,37,16,2,0,0,2,0,0,2,3,1,4,5,1,1,0,1,1,1,850
82,"V.BIHAR J.H. SCHOOL SALARPUR R.NO.2",421,326,0,747,304,224,0,528,522,0,145,10,328,16,14,0,0,1,3,1,0,0,3,1,1,1,0,0,2,2,0,0,528
83,"P.P. RAGHUNATHPUR R,NO. 1",453,371,0,824,360,278,0,638,560,0,147,3,360,77,11,0,3,0,1,9,2,4,2,4,6,4,0,0,1,0,1,3,638
84,"P.P. RAGHUNATHPUR R.NO.2",480,383,0,863,322,228,0,550,540,0,69,5,221,219,6,1,1,1,1,3,1,0,2,3,2,5,1,0,2,3,1,3,550
85,"P.P. RASULGARH R,N0.1",888,752,0,1640,445,553,0,998,740,0,202,17,561,157,10,2,0,1,2,12,2,1,5,1,2,8,6,2,0,2,0,5,998
86,"P.P. RASULGARH R.N0. 2",484,388,0,872,321,240,0,561,545,0,135,10,309,83,8,0,3,0,1,4,0,3,0,0,0,2,1,0,0,1,0,1,561
87,"P.P. RASULGARH R.N0. 3",463,357,0,820,310,197,0,507,500,0,106,7,342,30,4,1,1,0,0,2,1,0,0,2,2,3,0,1,3,0,1,1,507
88,"P.P. LERHUPUR R.NO.1",790,624,0,1414,514,393,0,907,880,0,32,27,571,202,9,1,5,0,3,11,0,4,4,4,6,11,2,1,0,7,2,5,907
89,"P.P. LERHUPUR R.NO.2",747,572,0,1319,469,338,0,807,770,0,50,25,463,224,10,2,0,0,1,5,2,3,2,5,1,3,2,0,2,4,2,1,807
90,"P.P. LERHUPUR R.NO. 3",525,415,0,940,351,272,0,623,622,0,216,17,240,92,10,2,3,0,2,4,0,4,5,6,0,7,5,1,0,2,1,6,623
91,"P.P. LERHUPUR R.NO.4",530,401,0,931,331,233,0,564,552,0,157,35,167,176,4,0,1,1,1,3,1,2,1,1,0,6,2,0,0,3,0,3,564
92,"P.P. RUSTAMPUR R.NO. 1",536,447,0,983,379,303,0,682,680,0,129,8,343,136,5,0,3,3,5,9,3,1,1,1,0,0,8,3,9,4,5,6,682
93,"P.P. RUSTAMPUR R.NO. 2",561,447,1,1009,411,246,0,657,650,0,118,3,201,295,11,1,1,0,4,2,1,0,0,0,0,1,3,2,4,7,2,1,657
94,"P.P.RUSTAMPUR R.NO.3",744,578,0,1322,464,327,0,791,580,0,306,10,228,218,5,0,0,0,0,3,0,1,0,0,0,0,6,2,1,3,5,3,791
95,"P.P. SANDAHA R.NO. 1",734,593,0,1327,499,351,0,850,824,0,259,13,282,224,14,2,2,1,2,5,1,3,1,0,0,8,9,2,3,9,3,7,850
96,"P.P. SANDAHA R.NO. 2",594,519,0,1113,358,314,0,672,650,0,52,6,504,43,0,0,1,1,3,14,3,0,6,2,17,9,0,0,1,3,1,6,672
97,"P.P. SANDAHA R.NO. 3",522,456,0,978,366,266,0,632,625,0,230,2,155,210,4,1,2,1,1,3,1,0,3,1,1,10,4,0,0,1,1,1,632
98,"P.P. FARIDPUR",565,457,0,1022,390,305,0,695,652,0,161,11,297,181,8,3,2,0,1,1,1,2,5,2,1,7,4,1,2,1,2,2,695
99,"B.P.P. SULTANPUR",675,572,0,1247,428,385,0,813,801,0,235,11,391,87,22,0,1,1,2,12,2,1,2,1,6,14,5,1,1,12,3,3,813
100,"PANCHAYAT BHAWAN CHIRAIGAON",817,688,0,1505,621,465,0,1086,845,0,186,13,728,114,18,0,0,0,0,2,0,1,0,1,1,4,2,2,3,4,3,4,1086
101,"P.P. CHIRAIGAON R.NO.1",691,532,0,1223,482,323,0,805,752,0,235,8,505,18,8,0,0,1,0,4,3,0,2,3,1,11,2,0,1,0,1,2,805
102,"P.P. CHIRAIGAON R.NO.2",571,483,0,1054,402,302,0,704,605,0,296,13,166,181,8,2,2,1,1,2,1,0,5,0,4,6,5,2,1,3,2,3,704
103,"B.P.P. DEENAPUR R.NO. 1",607,509,0,1116,435,333,0,768,765,0,198,24,421,80,17,1,6,1,2,1,0,0,3,2,3,6,2,0,0,1,0,0,768
104,"B.P.P. DEENAPUR R.NO. 2",734,625,0,1359,513,388,0,901,845,0,428,13,348,47,7,1,1,4,2,8,1,2,5,5,5,11,1,0,1,6,2,3,901
105,"B.P.P. SARAIMOHANA R.NO.1",789,573,0,1362,463,363,0,826,810,0,97,47,440,186,3,2,5,1,2,12,3,1,5,3,3,8,0,0,0,2,2,4,826
106,"B.P.P. SARAIMOHANA R.NO.2",635,495,0,1130,404,314,0,718,685,0,235,43,269,131,5,1,3,1,1,7,4,0,3,3,3,6,1,0,0,0,0,2,718
107,"B.P.P. SARAIMOHANA R.NO.3",621,480,0,1101,385,288,0,673,643,0,44,25,392,149,9,1,2,1,1,5,8,1,5,8,1,15,1,0,1,2,0,2,673
108,"B.P.P. TATEPUR",832,560,0,1392,442,374,0,816,803,0,181,27,388,124,4,4,2,2,0,7,41,2,4,4,2,6,3,0,1,2,4,8,816
109,"DHARMASALA KHALISHPUR R.NO.1",650,522,0,1172,518,347,0,865,855,0,62,41,603,90,13,1,4,1,1,6,1,3,2,0,6,5,1,0,2,6,13,4,865
110,"DHARMASALA KHALISHPUR R.NO.2",616,525,0,1141,432,351,0,783,720,0,162,33,383,133,7,1,0,1,1,7,0,2,2,5,5,9,10,4,3,7,2,6,783
111,"P.P. KOTAWA R.NO. 1",613,471,0,1084,415,270,0,685,685,0,118,6,179,340,6,3,3,2,0,3,1,1,5,2,1,11,2,1,0,0,0,1,685
112,"P.P. KOTAWA R.NO. 2",411,326,0,737,254,196,0,450,420,0,74,11,164,165,4,0,4,1,1,1,1,1,2,0,3,6,1,1,0,5,2,3,450
113,"P.P. KOTAWA R.NO. 3",910,689,0,1599,663,356,0,1019,940,0,306,29,370,267,19,0,1,0,1,4,1,0,0,0,1,4,6,1,1,3,3,2,1019
114,"P.P. KAMAULI R.NO. 1",890,695,0,1585,624,421,0,1045,845,0,264,19,557,127,5,4,2,1,3,12,2,1,14,4,4,15,0,1,1,4,0,5,1045
115,"P.P. KAMAULI R.NO. 2",476,381,0,857,365,226,0,591,564,0,128,6,257,167,1,2,0,0,1,1,1,1,2,2,1,6,2,3,1,6,1,2,591
116,"P.P. KAMAULI R.NO. 3",380,295,0,675,260,167,0,427,420,0,32,1,70,306,3,0,0,0,0,2,1,1,1,0,0,2,0,0,3,4,0,1,427
117,"P.P. TARYA",801,673,0,1474,535,421,0,956,854,0,292,22,395,175,12,2,4,1,2,11,1,1,3,1,3,4,4,2,5,6,6,4,956
118,"J.H.SCHOOL PURANPATTI",551,443,0,994,366,298,0,664,540,0,251,19,277,56,10,0,2,0,1,7,1,1,4,1,9,8,12,1,0,0,1,3,664
119,"J.H.SCHOOL KHARGIPUR",711,519,0,1230,534,364,0,898,860,0,443,17,300,62,9,2,4,1,0,9,3,3,5,8,7,11,7,1,0,4,1,1,898
120,"PANCHAYAT BHAWAN PIYARI",762,629,0,1391,565,418,0,983,980,0,273,14,598,16,13,2,4,0,5,5,1,1,3,4,6,4,10,3,7,11,0,3,983
121,"P.P. RAMGARHWA",548,445,0,993,385,310,0,695,654,0,279,3,138,244,6,0,0,1,0,3,1,0,2,2,0,4,7,0,1,2,1,1,695
122,"P.P. BIKAPUR",615,498,0,1113,369,311,0,680,680,0,331,15,262,48,4,0,1,1,1,3,1,1,2,0,1,4,1,1,0,3,0,0,680
123,"PANCHAYAT BHAWAN PARWATPUR",294,288,0,582,186,183,0,369,369,0,92,7,125,141,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,369
124,"P.P. KHUTAHANA R.NO.1",354,282,0,636,245,184,0,429,309,0,214,1,20,185,2,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,429
125,"P.P. KHUTAHANA R.NO.2",647,502,0,1149,431,328,0,759,750,0,263,17,218,175,19,2,5,5,3,12,2,2,6,1,1,10,5,4,1,2,0,6,759
126,"B.P.P. NARAYANPUR R.NO.1",840,628,0,1468,494,351,0,845,705,0,47,12,559,144,3,3,1,4,3,10,5,2,5,6,8,8,9,1,2,6,0,7,845
127,"B.P.P. NARAYANPUR R.NO.2",472,392,1,865,270,206,0,476,310,0,180,6,111,134,12,2,1,1,1,2,2,0,4,2,1,6,3,2,1,3,0,2,476
128,"B.P.P. NARAYANPUR R.NO.3",396,303,0,699,237,189,0,426,426,0,175,11,144,68,10,0,0,1,1,1,0,2,3,1,0,3,1,1,0,1,1,2,426
129,"RAJNANDAN SAHU I.C. NARAYANPUR",664,576,0,1240,411,327,0,738,729,0,281,16,322,60,7,0,1,1,3,1,4,1,9,4,4,11,4,1,2,2,2,2,738
130,"P.P. NARPATPUR R.NO.1",696,535,0,1231,408,316,0,724,721,0,299,151,94,124,23,1,2,1,0,1,0,1,3,4,0,13,1,0,0,2,2,2,724
131,"P.P. NARPATPUR R.NO.2",501,429,0,930,310,267,0,577,511,0,323,54,133,25,20,0,0,0,1,2,0,1,0,1,3,4,1,2,0,2,2,3,577
132,"P.P. CHUHARPUR",294,225,0,519,189,145,0,334,325,0,192,10,37,74,2,0,0,0,2,0,1,1,0,1,0,4,5,0,0,1,1,3,334
133,"P.P. DUBKIYA",787,605,0,1392,474,358,0,832,822,0,219,133,253,172,12,1,4,0,0,4,3,1,2,2,2,8,2,2,1,3,2,6,832
134,"P.P. PAHARIA",444,387,0,831,279,236,0,515,515,0,78,32,209,143,15,0,5,2,0,9,1,2,4,0,2,4,2,0,1,3,2,1,515
135,"SHRI GANDHI I C COLLEGE GAURAKALA CHIRAIGOAN  R.NO.1",815,647,0,1462,554,405,0,959,920,0,213,16,577,125,5,0,2,1,0,6,0,0,0,0,1,2,1,1,3,3,1,2,959
136,"SHRI GANDHI I C COLLEGE  GAURAKALA CHIRAIGOAN  R.NO.2",856,625,0,1481,571,410,0,981,841,0,341,11,339,243,7,3,1,0,3,3,0,1,3,1,1,9,2,0,2,3,3,5,981
