"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
20,"RAIGAI K. P.P.",443,381,0,824,230,177,0,407,400,0,67,85,193,30,0,0,2,0,2,1,1,4,4,8,5,5,407
21,"BARI P.P.",767,644,0,1411,1,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,"KORIGAWAN P.P.",763,681,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"ABDULLANAGAR S.G.M.I.C.",636,530,0,1166,378,285,0,663,660,0,36,206,380,10,0,7,0,0,0,3,0,8,3,2,4,4,663
24,"ABDULLANAGAR S.G.M.I.C.K.N.2",624,513,0,1137,353,269,0,622,586,0,87,290,202,10,3,7,1,2,2,0,0,3,5,1,4,5,622
25,"ABDULLANAGAR S.G.M.I.C.K.N.3",442,381,0,823,233,197,0,430,430,0,78,184,129,2,0,15,1,0,3,0,1,6,3,3,1,4,430
26,"ABDULLANAGAR P.P.",683,583,0,1266,445,334,0,779,679,0,82,175,427,26,3,7,1,1,3,0,2,9,10,14,8,11,779
27,"SARENHJU P.P.NAVIN K.N.1",435,368,0,803,298,209,0,507,399,0,104,180,139,41,3,17,0,0,0,0,4,4,4,6,1,4,507
28,"SARENHJU P.P.NAVIN K.N.2",787,676,0,1463,541,445,0,986,981,0,89,197,645,13,1,1,0,0,1,1,4,10,5,8,4,7,986
29,"RBHA P.P.K.N. 1",608,526,0,1134,377,345,0,722,722,0,473,35,166,7,3,2,1,0,1,1,1,2,3,3,4,20,722
30,"RBHA P.P.K.N. 2",379,330,0,709,190,151,0,341,340,0,33,97,181,14,0,12,0,0,0,0,0,0,0,0,1,3,341
31,"RABHA J.H. SCHOOL K.N.1",494,427,1,922,292,220,0,512,489,0,129,106,237,15,0,12,0,0,1,0,0,2,1,3,4,2,512
32,"RABHA J.H. SCHOOL K.N.2",740,641,0,1381,403,225,0,628,510,0,54,226,310,15,0,0,0,1,0,1,4,5,1,4,2,5,628
33,"RABHA J.H. SCHOOL K.N.3",605,527,0,1132,322,261,0,583,552,0,19,137,399,14,2,0,0,0,1,0,0,3,2,2,2,2,583
34,"MAHELIYAKHERA P.P.",507,439,0,946,294,289,0,583,582,0,45,149,349,19,2,1,0,0,1,0,1,6,4,3,1,2,583
35,"NARIKHERA P.P.",477,413,0,890,353,261,0,614,614,0,285,119,104,78,8,0,2,0,1,0,3,2,2,0,0,10,614
36,"NEWADA P.P.",263,250,0,513,174,161,0,335,335,0,37,47,214,28,1,1,0,0,0,0,0,2,1,2,0,2,335
37,"DATYONAPUR P.P.",328,277,0,605,169,201,0,370,370,0,259,43,59,2,0,0,1,0,0,1,0,0,0,2,0,3,370
38,"BHAROUNA P.P.",350,300,0,650,285,191,0,476,476,0,101,199,159,3,1,1,0,0,0,0,0,1,3,4,3,1,476
39,"DAGADHA P.P.",446,386,0,832,289,224,0,513,425,0,91,135,254,17,1,0,1,0,1,1,0,2,2,3,0,5,513
40,"KHIJIRNAGAR P.P.",241,203,0,444,183,172,0,355,355,0,177,113,52,2,1,0,0,0,1,0,0,1,1,1,2,4,355
41,"GAJUAKHERA P.P.",501,429,0,930,318,260,0,578,567,0,124,152,239,36,2,5,1,0,1,1,2,2,4,5,4,0,578
42,"KALABOJH M.GAUJAKHERA P.P.",579,499,0,1078,417,335,0,752,751,0,173,189,329,16,2,2,0,0,0,1,2,6,2,8,8,14,752
43,"MANIKAPUR J.H.SCHOOL K,N.1",446,393,0,839,303,272,0,575,575,0,275,143,133,3,1,0,0,0,0,0,3,1,1,6,5,4,575
44,"DEVMALPUR P.P.",451,392,0,843,301,219,0,520,144,0,195,145,149,7,0,0,0,0,1,0,1,2,1,3,1,15,520
45,"HAJIPUR P.P.",547,485,0,1032,375,340,0,715,565,0,261,310,92,3,5,14,2,1,0,3,3,4,1,1,7,8,715
46,"BHETHUA P.P.",403,340,0,743,258,203,0,461,461,0,59,173,207,3,1,2,1,1,0,0,0,3,3,3,1,4,461
47,"PIPARI P.P.",277,225,0,502,217,175,0,392,135,0,189,189,8,0,0,1,0,0,1,0,0,0,0,0,2,2,392
48,"PIRPUR P.P.",497,421,1,919,333,274,0,607,607,0,171,243,170,6,0,0,0,0,1,1,0,2,3,1,3,6,607
49,"ANJNA P.P.",454,385,0,839,289,200,0,489,487,0,338,34,82,8,2,4,1,1,0,0,0,0,1,1,3,14,489
50,"JAHANIKHERA P.P.",184,173,0,357,128,112,0,240,240,0,114,29,78,2,0,0,1,0,0,1,0,2,3,1,4,5,240
51,"DARRA P.P.",693,598,0,1291,504,380,0,884,830,0,417,213,183,23,1,3,0,1,0,1,2,7,8,3,5,17,884
52,"JAJUPARA P.P.K.N.1",665,552,0,1217,419,351,0,770,770,0,157,331,226,9,0,9,0,0,0,2,1,11,5,4,4,11,770
53,"JAJUPARA P.P.K.N.2",460,391,0,851,257,249,0,506,506,0,12,184,272,10,3,6,0,0,1,1,1,7,3,1,2,3,506
54,"SLEMPUR P.P.",297,260,0,557,204,156,0,360,360,0,230,67,40,10,1,1,0,1,0,0,0,4,0,2,1,3,360
55,"SAADATNAGR P.P.K.N.1",502,423,0,925,349,235,0,584,584,0,238,149,156,12,2,4,0,0,2,0,1,2,3,4,4,7,584
56,"SAADATNAGR P.P.K.N.2",761,654,0,1415,521,432,0,953,949,0,496,210,172,45,3,2,0,1,1,0,2,1,2,3,5,10,953
57,"BADDAPUR P.P.",403,345,0,748,241,220,0,461,261,0,154,8,265,17,1,0,0,1,1,0,1,3,6,3,0,1,461
58,"USMANPUR P.P.",472,398,0,870,265,219,0,484,383,0,86,229,126,25,0,9,0,0,0,1,0,1,1,2,1,3,484
59,"ANDA IBRAHIPUR P.P.",632,535,0,1167,477,385,0,862,862,0,387,355,93,14,1,0,1,1,0,1,1,2,1,0,1,4,862
60,"RASOOLPUR P.P.K.N.1",582,498,0,1080,391,292,0,683,663,0,359,40,228,26,4,1,0,1,0,1,3,5,2,3,3,7,683
61,"RASOOLPUR NAY.P.S.CENTAR",526,448,1,975,307,218,0,525,523,0,355,25,101,16,0,2,1,1,0,0,0,0,1,6,2,15,525
62,"RASOOLPUR P.P.K.N.2",499,427,0,926,304,203,0,507,438,0,356,27,93,14,2,0,2,1,2,1,0,2,3,1,2,1,507
63,"BHADURNAGAR P.P.",435,378,0,813,309,234,0,543,477,0,331,38,92,55,1,0,0,0,0,2,2,5,2,3,3,9,543
64,LOHARKHERA,247,173,0,420,173,114,0,287,287,0,164,110,1,6,0,0,0,0,0,1,0,1,0,1,2,1,287
65,"HINDUNAGAR P.P.",594,515,0,1109,424,325,0,749,749,0,294,50,309,61,3,2,2,0,1,2,0,3,6,5,2,9,749
66,"CHIROURA M. HINDUNAGAR P.P.",260,220,0,480,206,165,0,371,344,0,12,13,318,12,1,0,0,0,0,1,4,1,1,6,1,1,371
67,"BHOGIYAPUR M.RAJUAPUR P.P.",605,525,0,1130,382,278,0,660,648,0,325,53,233,22,2,3,1,1,1,1,1,4,0,3,2,8,660
68,"RAJUAPUR P.P.",220,192,0,412,159,134,0,293,191,0,37,2,240,1,0,0,0,0,0,0,1,3,1,3,1,4,293
69,"KOTRA P.P.",648,568,0,1216,425,347,0,772,772,0,639,16,89,3,0,1,0,1,2,1,0,0,4,6,2,8,772
70,"BHERIYA P.P.",333,280,0,613,241,207,0,448,440,0,362,8,69,0,0,0,0,0,1,0,2,0,2,0,1,3,448
71,"PANDRWA P.P.K.N. 1",808,675,1,1484,479,372,0,851,851,0,624,62,122,10,2,0,0,1,1,1,0,4,3,2,3,16,851
72,"PANDRWA J.H.SCHOOL K.N.1",477,420,0,897,249,212,0,461,457,0,35,45,350,15,1,3,0,0,1,2,1,1,1,2,1,3,461
73,"PANDRWA J.H.SCHOOL K.N.2",498,437,0,935,201,216,0,417,395,0,39,95,261,14,0,2,0,1,0,0,0,2,0,0,0,3,417
74,"CHATHIYA BUJURG  P.P.",519,444,0,963,393,306,0,699,699,0,371,55,238,14,0,0,1,2,4,1,1,3,2,2,3,2,699
75,"BARKHERIYA P.P.",220,188,0,408,183,158,0,341,341,0,172,9,135,12,0,0,0,0,0,1,1,2,1,1,2,5,341
76,"NADHIRA P.P.",565,497,0,1062,412,350,0,762,762,0,156,412,151,14,1,1,1,0,0,3,0,4,3,2,8,6,762
77,"HARRAI PIPARI P.P.",363,296,0,659,256,196,0,452,450,0,295,88,57,4,1,0,0,0,0,0,1,0,0,2,0,4,452
78,"NIPANIYA P.P.",385,332,0,717,296,230,0,526,522,0,33,104,368,12,0,0,0,0,0,0,0,1,0,5,1,2,526
79,"SHAPUR SAIDANP.P.",757,650,1,1408,475,381,0,856,790,0,355,114,295,63,2,2,0,0,1,4,1,2,3,2,5,7,856
80,"DHELIYA P.P.K.N.1",645,560,0,1205,350,292,0,642,640,0,267,186,108,51,3,1,0,1,1,0,0,4,2,1,2,15,642
81,"RAMPUR M.DHELIYA P.P.",661,562,0,1223,410,323,0,733,680,0,127,76,459,22,4,2,3,0,1,3,2,4,4,11,2,13,733
82,"DHELIYA PANCHAYAT GHAR",576,472,0,1048,230,157,0,387,350,0,71,142,101,64,2,1,2,0,0,0,0,0,1,2,0,1,387
83,"DHELIYA P.P. EXTRA ROOM",493,436,0,929,245,168,0,413,389,0,74,71,172,84,1,2,0,0,2,0,2,2,1,1,0,1,413
84,"MAGRAPUR P.P.",322,280,0,602,225,190,0,415,415,0,153,154,74,13,4,3,0,1,0,0,1,6,0,2,1,3,415
85,"VAJIDNGAR J.H. SCHOOL K.N.1",652,558,0,1210,401,299,0,700,12,0,193,50,388,26,3,1,1,0,3,0,1,5,3,5,9,12,700
86,"VAJIDNAGAR J.H.SCHOOL  K.N. 2",480,412,0,892,293,231,0,524,513,0,151,36,314,14,3,0,0,1,0,0,1,1,0,1,0,2,524
87,"VAJIDNAGAR J.H.SCHOOL",577,503,0,1080,361,296,0,657,651,0,166,151,264,54,2,4,2,0,1,1,0,3,1,3,2,3,657
88,"PIHANI N.P.P.H.A.I.C.K.N.1",730,633,0,1363,351,276,0,627,599,0,189,229,120,68,0,0,2,0,1,0,1,1,1,3,2,10,627
89,"PIHANI N.P.P.H.A.I.C.K.N.2",783,661,0,1444,306,237,0,543,539,0,76,225,172,61,0,2,0,0,0,1,0,2,0,1,1,2,543
90,"PIHANI N.P.P.P.TANKI KE PAS K.N.1",548,479,1,1028,197,205,0,402,402,0,71,166,95,57,1,0,0,1,0,2,0,3,3,0,0,3,402
91,"PIHANI N.P.P.P.TANKI KE PAS K.N.2",417,360,0,777,182,150,0,332,332,0,86,88,114,38,1,0,0,0,0,1,0,0,0,1,0,3,332
92,"PIHANI N.P.P. J.H.BADHI IMARAT K.N.1",601,524,0,1125,319,221,0,540,500,0,146,167,178,37,0,5,0,0,0,0,0,2,2,0,1,2,540
93,"PIHANI N.P.P. J.H.BADHI IMARAT K.N.2",424,345,0,769,171,125,0,296,261,0,46,135,83,26,1,1,0,0,0,0,0,1,0,0,0,3,296
94,"PIHANI N.P.P. J.H.BADHI IMARAT K.N.3",465,401,0,866,179,118,0,297,231,0,23,119,100,44,1,1,0,0,0,1,1,3,1,2,0,1,297
95,"PIHANI N.P.P. J.H.BADHI IMARAT K.N.4",473,410,0,883,225,126,0,351,351,0,18,89,202,28,3,7,0,0,1,0,0,1,1,0,1,0,351
96,"PIHANI N.P.P. J.H.BADHI IMARAT K.N.13",597,498,0,1095,214,121,0,335,330,0,49,55,181,37,0,9,0,1,0,0,0,1,1,0,0,1,335
97,"PIHANI N.P.P. J.H.BADHI IMARAT K.N.5",442,364,0,806,252,158,0,410,331,0,242,41,78,42,0,3,0,0,0,1,0,0,0,1,0,2,410
98,"PIHANI N.P.P. J.H.BADHI IMARAT K.N.14",494,429,0,923,237,196,0,433,422,0,208,31,151,34,1,0,0,0,0,0,0,0,0,1,1,6,433
99,"PIHANI N.P.P. J.H.SCHOOL EXTRA ROOM",633,529,0,1162,316,187,0,503,463,0,15,107,315,33,0,17,2,0,0,0,2,4,0,3,1,4,503
100,"PIHANI N.P.P.K.N.J.H.SCHOOL KE PAS चण्‍चण्‍",773,661,0,1434,374,338,0,712,711,0,270,61,240,124,5,4,1,0,0,0,1,0,1,2,1,2,712
101,"PIHANI N.P.P.P.PK.N.2 J.H.S.KE PAS P.P.",633,543,0,1176,343,266,0,609,590,0,380,58,66,67,5,2,0,1,0,0,2,4,6,0,5,13,609
102,"PIHANI N.P.P. BH.I.C.K.N.1",769,666,0,1435,410,262,0,672,672,0,371,156,92,39,1,5,0,0,0,1,1,2,0,1,1,2,672
103,"K.P.P. MISHRANA R.N. 1",162,144,0,306,109,85,0,194,185,0,180,7,2,1,1,0,0,0,0,0,1,0,0,1,1,0,194
104,"K.P.P. MISHRANA R.N. 2",816,706,0,1522,440,331,0,771,598,0,426,96,188,37,1,3,0,0,0,0,3,1,2,3,1,10,771
105,"PIHANI N.P.P. BH.I.C.K.N.3",586,499,0,1085,275,215,0,490,490,0,54,48,240,98,2,26,0,1,0,0,3,3,5,5,1,4,490
106,"PIHANI N.P.P. BH.I.C.K.N.4",470,406,0,876,183,151,0,334,155,0,39,64,141,76,0,4,0,0,0,0,0,3,2,3,1,1,334
107,"PIHANI N.P.P. K.P.P.LOHANI K.N.1",480,416,0,896,247,141,0,388,388,0,39,116,132,85,0,5,0,0,0,3,0,1,0,2,3,2,388
108,"PIHANI N.P.P. K.P.P.LOHANI K.N.2",482,432,0,914,193,168,0,361,145,0,39,123,125,64,1,0,0,0,0,5,0,1,1,0,0,2,361
109,"PIHANI N.P.P. K.P.P.LOHANI NAVIN BHAWAN",503,380,1,884,180,138,0,318,318,0,90,56,92,58,1,11,0,0,1,1,0,1,0,1,0,6,318
110,"PIHANI N.P.P.P.P.KHURD",608,498,0,1106,339,220,0,559,201,0,236,61,184,51,1,8,1,0,0,0,2,5,2,1,2,5,559
111,"KARIMNAGAR P.P.",753,645,0,1398,492,328,0,820,820,0,59,33,658,33,1,5,1,0,2,2,1,5,9,6,3,2,820
112,"KARIMNAGAR J.H.SCHOOL K.N.1",434,364,0,798,223,189,0,412,339,0,122,72,148,48,2,0,1,1,1,2,0,3,2,1,5,4,412
113,"KARIMNAGAR J.H.SCHOOL K.N.2",494,432,0,926,283,227,0,510,510,0,87,124,235,43,1,0,0,0,0,3,2,5,3,0,1,6,510
114,"SANTRHA P.P.",313,266,0,579,233,182,0,415,342,0,36,10,346,14,2,0,1,0,0,0,1,2,1,1,0,1,415
115,"PURELA P.P.",241,211,0,452,166,157,0,323,323,0,205,14,75,5,0,0,1,0,2,0,0,3,4,1,5,8,323
116,"BHITHANEWADA P.P.",545,483,0,1028,353,387,0,740,740,0,138,51,506,10,1,2,1,2,0,1,2,6,4,6,5,5,740
117,"BILAHRI P.P.",389,331,0,720,254,203,0,457,346,0,305,58,56,10,3,3,1,0,0,1,0,3,3,1,4,9,457
118,"NEDURA P.P.",778,668,0,1446,525,396,0,921,921,0,272,331,212,65,2,5,0,1,1,1,5,4,3,4,2,13,921
119,"KUIYAN P.P.",593,542,0,1135,413,379,0,792,792,0,284,49,407,32,6,1,1,1,0,1,1,7,2,0,0,0,792
120,"JALALPUR P.P.",430,366,0,796,316,286,0,602,602,0,212,195,167,10,1,0,0,0,0,1,2,3,2,1,2,6,602
121,"UMARSEDHA NORTH P.P.K.N.1",590,502,0,1092,468,363,0,831,831,0,478,73,136,105,5,4,1,2,2,1,3,5,4,2,4,6,831
122,"UMARSEDHA SAUTH P.P.K.N.2",714,620,0,1334,423,542,0,965,965,0,392,39,360,141,3,4,0,1,0,2,1,5,6,3,1,7,965
123,"CHHTAIYA P.P.",521,460,0,981,391,343,0,734,734,0,140,327,235,16,0,0,0,3,0,0,3,4,0,3,0,3,734
124,"BELAKAPOORPUR P.P.",760,646,0,1406,502,418,0,920,890,0,447,72,330,24,6,0,2,1,1,1,2,10,5,6,3,10,920
125,"ALIYAPUR P.P.",330,326,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"BUDHAGAWAN J.H.SCHOOL",817,614,0,1431,494,382,0,876,873,0,407,230,196,4,4,3,1,0,1,1,0,10,4,3,2,10,876
127,"BUDHAGAWAN P.P.",591,465,0,1056,353,233,0,586,586,0,216,97,223,28,0,1,1,2,2,1,1,2,0,4,1,7,586
128,"BHITHA M.BUDHAGAWAN P.P.",330,256,0,586,250,196,0,446,324,0,346,40,35,18,2,0,0,0,0,0,0,1,1,0,0,3,446
129,"DHOBIYA P.P.K.N.1",713,645,0,1358,475,375,0,850,650,0,597,33,167,21,1,1,2,2,0,4,2,5,2,5,4,4,850
130,"DHOBIYA P.P.K.N.2",133,134,0,267,92,80,0,172,152,0,60,4,96,2,0,0,0,0,1,0,0,2,3,0,0,4,172
131,"KHATELI P.P.K.N.1",523,445,0,968,364,291,0,655,655,0,398,192,37,13,0,0,0,0,0,0,0,4,0,0,2,9,655
132,"KHATELI P.P.K.N.2",533,430,0,963,392,268,0,660,643,0,161,102,376,1,0,2,0,0,1,1,1,4,4,2,0,5,660
133,"AKOHARA P.P.",285,231,0,516,208,165,0,373,373,0,113,97,143,8,0,0,0,1,0,0,1,7,1,1,0,1,373
134,"BGAUCHHA P.P.K.N.1",496,415,0,911,332,266,0,598,498,0,290,26,253,14,1,0,1,0,1,2,1,1,2,0,4,2,598
135,"BGAUCHHA P.P.K.N.2",363,313,0,676,236,165,0,401,401,0,156,20,192,15,2,1,1,0,1,1,0,6,2,1,0,3,401
136,"DULHAPUR P.P.",730,609,0,1339,483,324,0,807,700,0,126,185,435,21,2,0,2,1,0,1,0,3,10,10,4,7,807
137,"BARMHOULA P.P.",591,497,0,1088,399,329,0,728,705,0,255,15,326,101,1,0,1,1,1,0,2,3,3,8,1,10,728
138,"MAJHIYA  P.P.K.N.1",762,663,0,1425,507,349,0,856,854,0,725,25,70,23,3,1,1,0,0,0,0,3,0,1,1,3,856
139,"MAJHIYA  P.P.K.N.2",740,619,0,1359,419,341,0,760,760,0,606,72,42,13,2,0,0,0,3,2,2,2,2,3,4,7,760
140,"KULLAHI M. MANJAYA P.P.K.N.1",817,638,0,1455,389,293,0,682,680,0,272,74,309,9,0,0,0,1,1,1,0,2,5,2,2,4,682
141,"KULLAHI M. MANJAYA P.P.K.N.2",537,399,0,936,367,177,0,544,498,0,153,272,91,10,1,0,0,2,2,0,1,3,2,0,2,5,544
142,"LEHANA P.P.K.N.1",262,207,0,469,100,56,0,156,152,0,94,17,32,6,0,3,0,0,0,0,0,1,0,1,0,2,156
143,"LEHANA P.P.K.N.2",785,629,0,1414,437,277,0,714,609,0,319,132,204,26,3,3,0,0,1,0,2,6,3,1,3,11,714
144,"BAKHARIYA P.P.",556,433,0,989,348,231,0,579,579,0,287,164,89,24,2,0,1,1,2,0,0,3,3,0,0,3,579
145,"BAKHARIYA P.P.",662,595,0,1257,440,391,0,831,751,0,499,211,80,6,1,1,1,1,2,2,3,4,6,2,7,5,831
146,"TANDOUNA P.P.NYA K.N.1",602,506,0,1108,364,308,0,672,670,0,411,165,67,7,1,3,2,1,1,0,1,2,4,2,3,2,672
147,"TANDOUNA P.P.NYA K.N.2",385,297,0,682,267,189,0,456,387,0,143,250,31,9,4,0,0,0,1,1,2,1,2,3,7,2,456
148,"PURWAHAFIJUDDINPUR P.P.",551,411,0,962,387,285,0,672,672,0,427,41,126,46,1,1,2,1,1,1,2,6,5,2,4,6,672
149,"JARELI P.P.K.N.1",528,439,0,967,323,212,0,535,525,0,283,61,156,10,0,2,0,0,2,0,0,7,2,2,2,8,535
150,"P.P.K.N. 2 JARELI",482,408,0,890,323,232,0,555,509,0,236,245,28,19,4,1,0,1,0,2,0,6,2,1,1,9,555
151,"J.H.SCHOOL JARELI",765,662,0,1427,548,364,0,912,896,0,262,296,301,18,1,1,2,1,1,0,2,6,0,8,1,12,912
152,"P.P.K.N.1 SIRSA",470,368,0,838,347,234,0,581,460,0,340,114,82,16,0,1,1,0,0,0,2,6,3,3,7,6,581
153,"P.P.K.N.2 SIRSA",400,324,0,724,290,230,0,520,520,0,72,171,252,5,3,0,0,0,0,1,3,2,1,2,2,6,520
154,P.P.BJEHRA,803,676,1,1480,573,435,0,1008,1008,0,212,503,226,19,4,3,0,1,2,1,1,7,4,6,4,15,1008
155,P.P.KALIYANI,705,607,0,1312,445,363,0,808,808,0,374,102,290,13,2,2,1,1,1,0,1,6,6,4,1,4,808
156,"P.P.JADHURA M.KATHETHIYA",591,508,1,1100,430,347,0,777,412,0,69,187,408,89,3,0,1,0,0,2,2,3,3,2,1,7,777
157,P.P.KATARPUR,388,363,0,751,216,186,0,402,402,0,334,12,40,2,0,0,0,0,0,1,1,1,0,1,3,7,402
158,P.P.KATAROUR,215,171,0,386,122,114,0,236,236,0,15,6,193,2,1,0,1,0,0,2,0,4,3,7,1,1,236
159,"P.P.K.N.1 KATHIGHARA",456,378,0,834,291,209,0,500,497,0,227,72,165,24,2,0,2,0,0,0,2,0,2,0,1,3,500
160,"P.P.EXTRA ROOM KATHIGHARA",418,415,0,833,201,145,0,346,290,0,139,34,133,20,3,1,1,0,2,1,1,2,1,1,1,6,346
161,P.P.K.N.2KATHIGHARA,456,382,0,838,308,234,0,542,542,0,96,182,250,4,1,1,1,1,0,0,0,1,0,2,3,0,542
162,P.P.BHEDA,233,201,0,434,189,147,0,336,330,0,15,17,205,83,1,0,1,1,1,0,1,3,0,3,0,5,336
163,"PANCHYATGHAR MURVA",603,510,0,1113,338,266,0,604,590,0,96,175,211,85,3,0,1,1,2,4,1,2,5,3,7,8,604
164,"P.P.DEVARIYA PARSIDNAGAR",304,265,0,569,243,213,0,456,456,0,7,10,69,354,2,3,0,0,1,1,1,3,3,1,0,1,456
165,"P.P.K.N.1 SHAHPURBINAURA",850,672,0,1522,426,305,0,731,701,0,191,105,288,115,2,1,2,0,1,0,0,6,4,5,2,9,731
166,"P.P. K.N.2 SHAHPURBINAURA",421,381,0,802,269,165,0,434,413,0,71,67,138,133,3,0,1,0,1,1,2,2,0,2,3,10,434
167,P.P.KAPOORPURCHAUDHI,602,472,0,1074,478,336,0,814,813,0,96,574,121,4,2,0,1,0,0,0,1,4,2,1,5,3,814
168,P.P.AHEMADI,515,433,0,948,314,272,0,586,580,0,149,53,336,16,0,0,2,1,1,1,0,6,0,5,3,13,586
169,P.P.HINGUAPUR,644,515,0,1159,403,254,0,657,657,0,135,54,441,5,0,3,1,0,0,1,2,5,0,6,3,1,657
170,"P.P.K.N.1 BHADEURA",736,602,0,1338,449,366,0,815,815,0,136,161,484,12,1,0,2,0,0,1,0,5,1,4,3,5,815
171,"P.P.K.N.2 BHADEURA",766,617,0,1383,485,339,0,824,824,0,443,281,62,9,3,1,3,0,0,2,2,1,1,3,5,8,824
172,P.P.ALAWALPUR,429,374,0,803,272,157,0,429,429,0,61,226,92,18,1,1,1,0,1,0,1,9,1,3,7,7,429
173,P.P.SIURI,498,434,0,932,320,223,0,543,541,0,89,171,266,11,0,1,0,0,0,1,1,2,0,1,0,0,543
174,"P,P,K.N.1 LILWAL",458,376,0,834,284,233,0,517,504,0,173,161,163,5,2,1,0,1,1,0,1,0,3,1,2,3,517
175,"P.P.K.N,2 LILWAL",419,331,0,750,268,183,0,451,426,0,93,146,183,4,1,1,0,0,2,0,1,7,1,2,0,10,451
176,"P.P.K.N.3 LILWAL",304,278,0,582,191,176,0,367,367,0,48,116,188,0,0,0,0,0,0,0,0,4,1,4,2,4,367
177,"P.P.K.N.1 TENI",576,482,0,1058,382,272,0,654,650,0,153,177,292,3,1,0,2,1,1,1,1,3,3,8,0,8,654
