"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
36,"PRIMERY SCHOOL BERKHEDI FEJABAD",259,237,0,496,178,176,0,354,1,0,137,3,68,134,2,0,2,1,0,1,0,1,5,354
37,"PRIMERY SCHOOL DHARA NAGRI (AMBARPUR)",614,591,0,1205,313,404,0,717,712,0,30,210,248,219,0,1,1,0,2,1,0,3,2,717
38,"PRIMERY SCHOOL GOVINDPURA (KACHNAL)",726,658,0,1384,446,389,0,835,1,0,32,78,366,347,2,0,3,0,2,4,0,0,1,835
39,"PRIMERY SCHOOL SARBARNAGAR",486,408,0,894,355,233,0,588,584,0,84,16,79,385,5,0,6,0,1,0,0,2,10,588
40,"PRIMERY SCHOOL TAH KHURD",403,330,0,733,245,218,0,463,422,0,14,67,295,78,1,0,1,3,0,1,2,0,1,463
41,"PRIMERY SCHOOL GADIYA NASEEMGANJ",252,221,0,473,163,142,0,305,96,0,11,30,128,130,0,0,5,0,0,0,0,0,1,305
42,"PRIMERY SCHOOL MULLA KHERA",680,621,0,1301,487,412,0,899,1,0,45,46,136,641,10,3,2,0,4,2,1,2,7,899
43,"PRIMERY SCHOOL SADARAKHEDA",271,253,0,524,235,200,0,435,299,0,6,5,160,255,2,1,2,0,1,0,0,0,3,435
44,"PRIMERY SCHOOL ALIPUR THEKA",550,416,0,966,339,257,0,596,456,0,10,155,348,63,2,0,5,1,2,1,4,1,4,596
45,"PRIMERY SCHOOL MILAK MUNDI",588,489,0,1077,346,293,0,639,513,0,17,111,432,73,1,0,0,0,0,2,0,1,2,639
46,"PRIMERY SCHOOLKHUNTA KHERA",436,399,0,835,310,304,0,614,416,0,418,26,25,140,1,1,0,0,0,0,0,1,2,614
47,"JUNIOR HIGH SCHOOL PANJAWNAGAR",177,168,0,345,111,105,0,216,196,0,1,31,124,53,0,0,1,0,2,0,1,0,3,216
48,"PRIMERY SCHOOL MAHESHPURA",731,626,0,1357,479,421,0,900,1,0,82,280,482,38,2,0,1,0,0,0,2,4,9,900
49,"JUNIOR HIGH SCHOOL ROOM NO-1 PIPALIYA GOPAL",501,430,0,931,340,303,0,643,319,0,8,51,392,172,2,2,2,0,3,2,0,1,8,643
50,"JUNIOR HIGH SCHOOL ROOM NO-2 PIPALIYA GOPAL",495,509,0,1004,338,275,0,613,290,0,68,14,257,256,3,2,0,1,1,4,0,2,5,613
51,"PRIMERY SCHOOL ROOM NO-1 DHAWNI HASANPUR",678,617,0,1295,420,354,0,774,375,0,169,47,179,357,3,7,0,1,0,2,1,1,7,774
52,"PRIMERY SCHOOL ROOM NO-2 DHAWNI HASANPUR",748,648,0,1396,451,334,0,785,750,0,28,68,519,142,2,3,2,1,4,1,4,4,7,785
53,"PRIMERY SCHOOL KUAKHERA",381,320,0,701,256,207,0,463,397,0,57,18,205,173,1,0,0,0,1,2,1,0,5,463
54,"PRIMERY SCHOOL NAGARIYA KALAN {DURJANPUR} ROOM NO-1",594,495,0,1089,358,270,0,628,300,0,11,14,245,350,2,1,1,0,0,3,1,0,0,628
55,"PRIMERY SCHOOL NAGARIYA KALAN {DURJANPUR} ROOM NO-2",480,417,0,897,317,293,0,610,425,0,18,30,50,495,7,3,2,0,0,1,2,2,0,610
56,"PRIMERY SCHOOL RATANPURA",353,336,0,689,199,177,0,376,351,0,106,20,95,139,2,1,4,0,1,1,1,2,4,376
57,"PRIMERY SCHOOL SIKRAURA",432,396,0,828,309,270,0,579,73,0,200,84,113,174,2,0,0,0,0,0,2,0,4,579
58,"PRIMERY SCHOOL RAMNAGAR",581,520,0,1101,390,335,0,725,674,0,9,124,364,219,2,1,1,0,1,3,0,1,0,725
59,"PRIMERY SCHOOL KHAUNDALPUR",562,492,0,1054,392,330,0,722,713,0,24,101,397,189,3,1,1,0,1,0,1,2,2,722
60,"PRIMERY SCHOOL KHAUNDALPUR",498,455,0,953,286,231,0,517,504,0,17,41,177,271,3,0,1,0,0,1,1,0,5,517
61,"K.G.V.& SEH. SIMITI BILASPUR,VISHARATNAGAR",505,442,1,948,370,330,0,700,627,0,1,124,525,35,1,0,0,0,1,1,3,2,7,700
62,"K.G.V.& SEH. SIMITI BILASPUR,VISHARATNAGAR",490,417,0,907,294,241,0,535,390,0,3,77,296,147,1,1,7,0,0,2,1,0,0,535
63,"KIRSHI PRASHAR K. BILASPUR SITHIT URMATNAGAR TANDA",885,762,0,1647,599,437,0,1036,66,0,7,324,521,178,3,1,0,0,0,0,0,0,2,1036
64,"KIRSHI PRASHAR K. BILASPUR SITHIT URMATNAGAR TANDA",787,678,0,1465,577,350,0,927,800,0,17,373,475,55,0,0,0,0,0,0,1,1,5,927
65,"GURUNANAK I. COLLOGE BILASPUR .ROOM NO.-1KHONDALPUR",571,509,2,1082,352,252,0,604,598,0,5,13,106,466,4,3,0,0,1,1,1,2,2,604
66,"GURUNANAK I. COLLOGE BILASPUR .ROOM NO.-2KHONDALPUR",613,492,0,1105,323,257,0,580,420,0,1,23,81,472,1,0,0,0,0,0,2,0,0,580
67,"GURUNANAK I. COLLOGE BILASPUR .KHONDALPUR",539,432,0,971,341,243,0,584,427,0,9,56,146,366,3,0,2,0,0,0,1,1,0,584
68,"GURUNANAK I. COLLOGE BILASPUR .KHONDALPUR",504,457,0,961,223,177,0,400,44,0,6,50,101,239,0,0,1,0,0,1,0,0,2,400
69,"GURUNANAK I. COLLOGE BILASPUR .ROOM NO.-3",811,688,0,1499,450,405,0,855,852,0,36,60,107,641,3,0,2,0,2,0,1,0,3,855
70,"GURUNANAK I. COLLOGE BILASPUR .ROOM NO.-4 KHONDALPUR",527,506,0,1033,203,215,0,418,331,0,8,19,33,356,1,0,0,0,0,0,0,0,1,418
71,"GURUNANAK I. COLLOGE BILASPUR .ROOM NO.-6 KHONDALPUR",480,437,0,917,267,228,0,495,450,0,8,23,47,411,3,2,0,0,0,0,0,0,1,495
72,"GURUNANAK I. COLLOGE BILASPUR .ROOM NO.-7 KHONDALPUR",599,490,0,1089,305,241,0,546,534,0,15,24,40,460,1,0,2,0,0,0,0,1,3,546
73,"GOVT.GIRLS PRIMARY SCHOOL BILASPUR MOH. JYARAT SHIRI MIYAN",532,411,0,943,359,229,0,588,417,0,7,115,388,69,0,0,0,0,0,1,4,1,3,588
74,"GOVT.GIRLS PRIMARY SCHOOL BILASPUR MOH. SHIRI MIYAN JYARAT SHIRI MIYAN",503,461,0,964,293,264,0,557,493,0,5,71,299,163,2,3,1,1,0,1,2,4,5,557
75,"GOVT.INTER COLLOGE BILASPUR ROOM NO-1 BAZAR KALAN",535,440,0,975,352,263,0,615,573,0,7,119,324,153,1,0,0,0,0,4,1,1,5,615
76,"GOVT.INTER COLLOGE BILASPUR ROOM NO-2 BAZAR KALAN",487,429,0,916,285,218,0,503,503,0,4,74,305,104,0,2,1,1,1,0,2,4,5,503
77,"GOVT.INTER COLLOGE BILASPUR ROOM NO-3 BAZAR KALAN",471,426,1,898,319,267,0,586,586,0,7,175,285,113,1,0,0,1,2,0,1,0,1,586
78,"GOVT.INTER COLLOGE BILASPUR ROOM NO-4 BAZAR KALAN",424,363,0,787,264,177,0,441,31,0,3,89,176,171,0,1,1,0,0,0,0,0,0,441
79,"GOVT.INTER COLLOGE BILASPUR ROOM NO-5 BAZAR KALAN",447,420,0,867,337,267,0,604,61,0,3,98,172,319,2,0,1,0,0,0,3,2,4,604
80,"KARALYA KHAND VIKAS ADHIKARI, BILASPUR RAMPUR ROAD",846,749,1,1596,510,452,0,962,907,0,4,78,378,495,0,2,1,0,0,1,1,0,2,962
81,"KARALYA KHAND VIKAS ADHIKARI, BILASPUR RAMPUR ROAD",515,433,0,948,357,335,0,692,1,0,6,93,478,111,0,1,0,0,1,0,0,1,1,692
82,"KARALYA KHAND VIKAS ADHIKARI, BILASPUR RAMPUR ROAD",503,461,0,964,382,327,0,709,1,0,18,64,503,116,2,0,0,2,0,1,0,2,1,709
83,"NAV CHETNA SISHU. SADAN.I.COLLOGE  SAHUKARA BILASPUR ROOM NO-1",629,532,0,1161,391,332,0,723,1,0,1,33,110,567,2,0,0,0,0,3,1,1,5,723
84,"NAV CHETNA SI. SADAN.I.COLLOGE BILASPUR ROOM NO-2 SAHUKARA BILASPUR",733,663,1,1397,467,369,0,836,833,0,27,56,236,501,3,3,0,0,2,3,1,1,3,836
85,"D.A.V.K.INTER.V. SAHUKARA BILASPUR  ROOM NO-1",523,446,0,969,317,205,0,522,1,0,26,70,233,187,3,1,0,0,0,0,1,0,1,522
86,"D.A.V.K.INTER.V.BILASPUR  ROOM NO-2",527,448,0,975,271,238,0,509,501,0,7,63,205,223,1,0,6,0,1,0,1,0,2,509
87,"D.A.V.K.INTER.COLLAGE SAHUKARA.BILASPUR  ROOM NO-3",583,435,1,1019,334,246,0,580,69,0,7,119,350,91,0,2,0,0,0,2,2,2,5,580
88,"D.A.V.K.INTER.COLLAGE.BILASPUR  ROOM NO-4",566,459,0,1025,302,214,0,516,514,0,0,111,355,47,1,0,0,0,0,0,1,1,0,516
89,"PRIMERY SCHOOL KAYASTHAN",658,573,0,1231,452,398,0,850,350,0,9,34,89,695,2,0,1,0,2,3,0,6,9,850
90,"PRIMERY SCHOOL BHENSIYA JUALAPUR",454,394,0,848,242,250,0,492,375,0,128,114,160,70,2,1,7,0,4,2,0,0,4,492
91,"PRIMERY SCHOOL BHENSIYA JUALAPUR",825,704,0,1529,547,477,0,1024,194,0,125,211,605,62,3,3,1,2,6,0,2,1,3,1024
92,"PRIMERY SCHOOL SAKATUBA",464,403,0,867,315,280,0,595,443,0,113,71,262,128,3,2,1,1,1,3,2,1,7,595
93,"PRIMERY SCHOOL DHAKI",469,442,0,911,331,252,0,583,1,0,22,21,229,295,1,3,0,1,2,3,1,0,5,583
94,"PRIMERY SCHOOL PAIPURA",613,529,0,1142,446,400,0,846,707,0,182,88,163,385,7,3,6,1,3,0,1,0,7,846
95,"PRIMERY SCHOOL KHATA",382,353,0,735,229,174,0,403,389,0,37,35,90,220,2,1,10,0,3,0,2,0,3,403
96,"PRIMERY SCHOOL AAKILPUR",372,330,0,702,203,144,0,347,1,0,17,127,165,24,0,0,2,0,2,1,1,2,6,347
97,"PRIMERY SCHOOL LAKHMIPUR",626,576,0,1202,436,401,0,837,188,0,48,72,509,192,2,0,2,0,3,1,0,2,6,837
98,"PRIMERY SCHOOL SITAURA",469,437,0,906,310,215,0,525,523,0,6,91,337,81,3,1,1,1,1,0,0,0,3,525
99,"PRIMARY SCHOOL NAYA BHAWAN GODHI",555,465,0,1020,375,279,0,654,625,0,1,73,368,192,4,2,1,2,3,2,0,1,5,654
100,"PRIMARY SCHOOL GODHI",596,520,0,1116,422,327,0,749,749,0,28,77,445,186,1,0,4,4,0,0,1,1,2,749
101,"PRIMERY SCHOOL RAMPURA BUJURGA",688,597,0,1285,477,407,0,884,13,0,16,17,457,370,9,4,1,1,1,0,1,3,4,884
102,"PRIMERY SCHOOL  RAMPURA BUJURGA",761,643,0,1404,445,345,0,790,88,0,12,26,568,175,3,1,0,0,0,1,1,0,3,790
103,"PRIMERY SCHOOL DALKI",592,520,0,1112,470,393,0,863,600,0,62,44,111,627,5,0,2,1,3,3,2,0,3,863
104,"PRIMERY SCHOOL RUSTAMPUR",532,455,0,987,348,268,0,616,607,0,26,6,144,429,2,1,2,1,1,0,1,0,3,616
105,"PRIMERY SCHOOL PIPALIYA MEHTO",359,300,0,659,152,132,0,284,282,0,5,77,41,147,1,0,9,0,1,0,1,2,0,284
106,"PRIMERY SCHOOL KASWA RAJPUR",705,595,0,1300,638,296,0,934,1,0,20,41,636,227,2,1,1,0,0,3,1,0,2,934
107,"PRIMERY SCHOOL KOTHA JAGEER",678,579,0,1257,427,351,0,778,24,0,57,20,119,523,8,3,5,1,3,30,0,2,7,778
108,"PRIMERY SCHOOL FAJALPUR",314,292,0,606,250,235,0,485,477,0,38,17,81,335,5,0,0,0,0,3,2,0,4,485
109,"PRIMERY SCHOOL KURTHIYA",306,281,0,587,237,198,0,435,68,0,123,5,103,190,5,2,1,1,0,0,2,1,2,435
110,"PRIMERY SCHOOL GANGAPUR BAHPUR GANGAPUR",804,695,0,1499,558,463,0,1021,1021,0,605,60,167,175,1,2,0,1,0,0,0,2,8,1021
111,"PRIMERY SCHOOL HIRANKHERA",353,306,0,659,198,192,0,390,390,0,3,107,244,29,0,1,0,0,1,0,2,1,2,390
112,"PRIMERY SCHOOL NAYA BHAWAN SIRASKHERA",391,356,0,747,295,243,0,538,474,0,114,30,198,178,1,1,4,0,0,1,0,1,10,538
113,"PRIMARY  SCHOOL DEVIPURA",553,492,0,1045,377,309,0,686,623,0,116,150,221,176,3,0,1,1,0,4,1,5,8,686
114,"PRIMERY SCHOOL  DOHAIYA",461,377,0,838,346,292,0,638,619,0,318,41,91,183,0,1,0,0,1,0,0,1,2,638
115,"PRIMERY SCHOOL KUIYA",510,443,0,953,369,314,0,683,595,0,18,36,504,114,3,0,2,0,0,1,3,1,1,683
116,"PRIMERY SCHOOL TALMAHAWAR",521,447,0,968,394,334,0,728,728,0,12,57,256,387,1,5,3,0,2,1,0,0,4,728
117,"PRIMERY SCHOOL ANWARIYA TALIWABAD",492,462,0,954,258,237,0,495,366,0,93,68,119,187,4,0,11,1,3,1,2,1,5,495
118,"PRIMERY SCHOOL KHEMPUR",263,231,0,494,182,180,0,362,1,0,77,59,84,133,1,2,0,1,0,2,2,0,1,362
119,"PRIMERY SCHOOL BHUKSAURA",250,235,0,485,171,159,0,330,305,0,6,1,42,260,3,2,3,2,1,4,0,1,5,330
120,"PRIMERY SCHOOL CHAUKONI",468,408,0,876,347,328,0,675,1,0,14,10,65,549,5,3,3,3,6,3,3,4,7,675
121,"PRIMERY SCHOOL BEGMABAD",479,438,0,917,257,233,0,490,19,0,20,18,95,337,3,1,4,0,4,2,2,0,4,490
122,"JUNIOR HIGH SCHOOL SENJNA",462,411,0,873,288,219,0,507,477,0,4,16,192,271,1,0,9,0,0,2,1,0,11,507
123,"PRIMERY SCHOOL PEGAMWARPUR {DANDIYA NAYAMATGANG}",563,496,0,1059,409,357,0,766,1,0,6,22,287,398,16,7,6,1,2,6,6,4,5,766
124,"PRIMERY SCHOOL SARAY KADEEM",520,479,0,999,437,346,0,783,748,0,60,40,313,345,9,4,0,0,3,3,1,0,5,783
125,"PRIMERY SCHOOL DHAWANI BUJURG",460,409,0,869,338,222,0,560,560,0,52,106,385,3,0,4,1,0,0,2,2,0,5,560
126,"PRIMERY SCHOOL DHAWANI BUJURG",435,369,0,804,267,242,0,509,499,0,21,72,237,175,2,0,0,0,1,1,0,0,0,509
127,"PRIMERY SCHOOL HUSAINGANJ",629,606,0,1235,413,382,0,795,515,0,9,205,404,166,1,1,0,0,1,2,0,0,6,795
128,"PRIMERY SCHOOL ITANGA BERAMNAGAR",702,565,0,1267,337,452,0,789,350,0,4,35,475,261,5,1,0,0,1,0,0,2,5,789
129,"PRIMERY SCHOOL JAURASI",353,320,0,673,268,226,0,494,386,0,4,40,368,75,2,1,1,0,1,0,2,0,0,494
130,"PRIMERY SCHOOL PANWADIYA",740,568,0,1308,495,376,0,871,871,0,165,121,48,495,5,0,0,0,3,6,1,4,23,871
131,"PRIMERY  SCHOOL KHAJURIYA KHURD",511,394,3,908,362,296,0,658,351,0,17,78,181,361,5,1,1,1,1,6,1,1,4,658
132,"PRIMERY SCHOOL PIPALIYA VIJAYNAGAR",305,266,0,571,250,215,0,465,150,0,2,23,10,417,2,3,0,0,2,1,0,1,4,465
133,"PRIMERY SCHOOL KHAJURIYA KALAN",916,720,0,1636,456,346,0,802,572,0,2,150,517,116,2,0,0,0,2,3,4,1,5,802
134,"PRIMERY SCHOOL UDHAMPUR",427,333,0,760,262,233,0,495,487,0,161,143,118,55,4,0,1,2,0,3,0,1,7,495
135,"PRIMERY SCHOOL KAYAMGANJ",325,289,0,614,171,163,0,334,6,0,2,65,240,12,2,0,0,0,1,0,1,3,8,334
136,"PRIMERY SCHOOL ORANGNAGAR KHEDA",449,387,0,836,366,304,0,670,611,0,4,125,101,427,2,1,0,2,2,2,1,1,2,670
137,"PRIMERY SCHOOL RASULPUR",516,494,0,1010,342,303,0,645,621,0,7,78,319,206,4,3,2,1,5,2,4,3,11,645
138,"PRIMERY SCHOOL NARSUA",283,254,0,537,231,213,0,444,8,0,27,6,75,323,3,1,0,0,1,4,2,0,2,444
139,"PRIMERY SCHOOL KANAKPUR",287,261,0,548,181,205,0,386,331,0,344,9,8,23,1,0,0,0,0,1,0,0,0,386
140,"PRIMERY SCHOOL KANAKPUR",604,543,0,1147,407,342,0,749,684,0,255,94,68,326,1,0,1,0,0,0,1,0,3,749
141,"PRIMERY SCHOOL KARSAULA",539,526,0,1065,363,337,0,700,659,0,89,177,388,31,1,0,0,0,2,1,0,2,9,700
142,"PRIMERY SCHOOL ISWARPUR",257,233,0,490,167,148,0,315,212,0,139,15,24,135,1,0,0,0,0,0,0,0,1,315
143,"PRIMERY SCHOOL ROOM NO-1 AHRO",570,443,0,1013,348,251,0,599,555,0,30,49,45,448,6,2,0,1,1,5,2,2,8,599
144,"PRIMERY SCHOOL ROOM NO-2 AHRO",444,370,0,814,214,148,0,362,361,0,20,74,84,165,1,0,0,2,2,2,4,1,7,362
145,"JUNIOR HIGH SCHOOL ROOM NO-1 AHRO",574,479,0,1053,297,221,0,518,160,0,27,132,223,115,5,0,3,0,2,0,0,3,8,518
146,"JUNIOR HIGH SCHOOL ROOM NO-2 AHRO",608,496,0,1104,315,239,0,554,1,0,16,101,219,185,3,6,2,1,4,6,4,1,6,554
147,"PRIMERY SCHOOL ROOM NO-1 SISAUNA",491,444,0,935,336,306,0,642,641,0,78,25,140,380,5,2,2,0,3,3,2,0,2,642
148,"PRIMERY SCHOOL ROOM NO-2 SISAUNA",444,421,0,865,281,253,0,534,1,0,59,55,236,180,2,0,0,0,1,0,0,0,1,534
149,"PRIMERY SCHOOL ROOM NO-1 MANSURPUR",310,245,0,555,139,140,0,279,164,0,3,45,79,145,2,1,0,1,0,3,0,0,0,279
150,"PRIMERY SCHOOL ROOM NO-2 MANSURPUR",694,583,0,1277,414,337,0,751,51,0,6,147,501,77,3,0,1,3,1,2,2,1,7,751
151,"PRIMERY SCHOOL KARSAULI",184,166,0,350,148,119,0,267,1,0,3,13,9,222,1,2,0,0,3,1,2,0,11,267
152,"PRIMERY SCHOOL BAHADURGANJ",275,247,0,522,201,172,0,373,336,0,1,70,36,261,3,0,0,1,0,1,0,0,0,373
153,"PRIMERY SCHOOL ROOM NO-1 TEHRI KHAWJA",485,450,0,935,262,222,0,484,462,0,45,138,275,9,0,2,3,1,1,2,2,1,5,484
154,"PRIMERY SCHOOL ROOM NO-2 TEHRI KHAWJA",805,642,0,1447,432,368,0,800,603,0,155,126,488,11,1,0,0,1,1,0,2,5,10,800
155,"JUNIOR HIGH  SCHOOL MAHTOSH",781,706,0,1487,544,433,0,977,60,0,7,156,403,387,3,3,2,2,2,2,0,2,8,977
156,"PRIMERY SCHOOL ROOM NO-1  MAHTOSH",632,525,0,1157,360,305,0,665,1,0,196,47,191,192,1,7,4,0,1,1,3,3,19,665
157,"PRIMERY SCHOOL ROOM NO-2 BEDPUR",511,488,0,999,316,282,0,598,596,0,11,115,76,369,5,3,3,0,1,3,3,3,6,598
158,"JUNIOR HIGH SCHOOL KHANDIYA",566,513,0,1079,361,317,0,678,678,0,197,71,65,324,2,0,4,0,2,2,3,3,5,678
159,"JUNIOR HIGH SCHOOL  BALKHEDA",549,445,0,994,412,328,0,740,633,0,34,28,154,508,7,2,0,1,0,3,1,1,1,740
160,"JUNIOR HIGH SCHOOL ROOM NO-1 BAMANPURA",494,403,0,897,323,241,0,564,1,0,24,256,258,19,2,0,0,1,1,0,0,1,2,564
161,"JUNIOR HIGH SCHOOL ROOM NO-2 BAMANPURA",523,377,0,900,322,245,0,567,563,0,27,330,179,21,0,0,0,0,2,1,1,2,4,567
162,"JUNIOR HIGH SCHOOL PADPURI",556,484,0,1040,370,326,0,696,603,0,12,151,51,454,3,3,1,1,3,4,2,6,5,696
163,"JUNIOR HIGH SCHOOL MALANKHEDA",441,374,0,815,308,294,0,602,68,0,19,56,130,381,0,0,0,1,1,1,1,2,10,602
164,"PRIMERY SCHOOL UDAYEPUR",271,259,0,530,240,202,0,442,442,0,30,0,14,392,1,0,0,0,0,0,2,1,2,442
165,"JUNIOR HIGH SCHOOL PRITHVIPUR & CHIDIYAKHEDA",518,460,0,978,387,355,0,742,724,0,88,21,136,471,4,2,1,0,3,2,0,3,11,742
166,"JUNIOR HIGH SCHOOL DANKARA",436,380,0,816,329,273,0,602,1,0,2,44,131,422,1,0,0,0,0,1,0,0,1,602
167,"PRIMERY SCHOOL DANKARI",514,388,0,902,352,300,0,652,651,0,119,17,343,164,0,2,1,0,0,2,1,0,3,652
168,"PRIMERY SCHOOL MUDIYA KALAN",794,666,0,1460,494,427,0,921,919,0,43,221,376,260,3,4,1,1,2,0,4,2,4,921
