"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AQEEL UR REHMAN KHAN","2 - ACHARYA PRAMOD KRISHNAM","3 - DR SHAFIQ UR RAHMAN BARQ","4 - SATYAPAL SINGH","5 - MOHD ASLAM URF PASHA","6 - DHARAM YADAV","7 - DR. RASHID ALI","8 - REKHA DEVI YADAV","9 - AQEEL AHMAD","10 - NANAD RAM KHADAGVANSHI","11 - NUTAN VIJAY ADVOCATE","12 - FIROZ HAIDER","13 - RASHID","14 - None of the Above","Total Votes Secured"
51,"P.S. MANGUPURA ROOM -1",642,492,0,1134,335,249,0,584,583,0,43,1,25,484,8,4,3,1,4,1,6,3,0,1,584
52,"P.S. MANGUPURA ROOM -2",862,664,0,1526,441,343,0,784,579,0,109,6,310,258,6,36,2,3,3,7,17,7,5,15,784
53,"P.S. JHAKDA",291,276,0,567,212,201,0,413,413,0,51,6,118,204,2,14,1,0,1,2,10,3,0,1,413
54,"P.S. AHLADPUR KARAR ROOM-1",650,550,0,1200,373,345,0,718,680,0,267,1,12,398,5,7,2,2,1,1,9,0,5,8,718
55,"P.S.MILAK AHLADPUR ROOM -1",103,98,0,201,96,83,0,179,179,0,0,1,167,7,0,0,0,1,0,0,0,0,1,2,179
56,"P.S. DANDA",277,240,0,517,249,186,0,435,435,0,9,2,146,101,3,160,3,0,1,1,5,0,0,4,435
57,"P.S. DAMMUNAGLA URF DAMPURA",218,198,0,416,161,143,0,304,304,0,88,3,28,161,0,8,0,0,0,2,6,1,3,4,304
58,"P.S.SYODARA ROOM -1",666,565,0,1231,399,326,0,725,725,0,54,155,116,339,7,13,1,7,1,5,10,6,4,7,725
59,"P.S. SYODARA ROOM -4",347,324,0,671,210,173,0,383,383,0,82,1,23,240,4,12,0,1,1,1,7,4,1,6,383
60,"P.S.SYODARA ROOM -2",839,667,0,1506,396,367,0,763,733,0,62,11,471,181,7,8,2,3,3,4,4,2,2,3,763
61,"P.S. SYONDARA ROOM-3",785,573,0,1358,352,236,0,588,586,0,61,3,123,318,4,43,1,1,5,3,10,6,1,9,588
62,"P.S. SYODARA ROOM -5",274,230,0,504,162,139,0,301,301,0,3,2,108,171,2,9,0,0,1,1,2,0,0,2,301
63,"P.S. IMRATPUR SYODARA",407,313,0,720,256,200,0,456,358,0,46,7,146,125,8,101,2,3,2,1,5,1,3,6,456
64,"P.S. RAMPUR PATTI GUJAR",329,261,0,590,228,191,0,419,417,0,6,6,150,138,5,100,0,0,2,2,5,2,1,2,419
65,"P.S. NASIRPUR BHIKKA",232,203,0,435,184,147,0,331,325,0,67,17,89,140,1,6,0,0,1,0,6,3,1,0,331
66,"PRIMARY SCHOOL MITHANPUR MAHESH",276,216,0,492,205,163,0,368,289,0,358,3,2,2,0,2,0,0,0,0,0,0,0,1,368
67,"P.S.SIKARPUR MAJHRA MITHANPUR MAHESH",129,106,0,235,106,98,0,204,204,0,9,0,155,3,0,30,0,0,2,1,1,2,0,1,204
68,"P.S. BICHAULA DHUKI",617,513,0,1130,466,310,0,776,776,0,31,7,274,284,4,140,3,3,3,1,12,4,1,9,776
69,"P.S. NAMINI GADDI",548,475,0,1023,378,329,0,707,707,0,109,2,96,474,4,1,1,2,2,2,6,2,2,4,707
70,"P.S. SUJANPUR",431,383,0,814,273,285,0,558,558,0,207,1,242,88,0,9,0,0,0,1,5,2,0,3,558
71,"P.S. DOHRI",382,285,0,667,305,219,0,524,520,0,51,2,3,447,6,2,1,3,0,1,4,1,0,3,524
72,"P.S. BAHORANPUR NAROLI",410,354,0,764,243,227,0,470,462,0,198,3,57,200,0,3,0,0,1,0,2,0,4,2,470
73,"P.S. MOHAMMAD HAYATPUR",743,613,0,1356,375,374,0,749,742,0,232,7,66,397,6,5,3,2,4,4,12,5,2,4,749
74,"P.S. DHATRARA",231,218,0,449,200,176,0,376,374,0,76,0,78,218,0,0,0,2,0,1,0,1,0,0,376
75,"P.S. RAMPUR",340,314,0,654,257,225,0,482,482,0,180,5,33,255,1,1,0,0,0,0,5,0,1,1,482
76,"P.S. AJMATNAGAR JYONDERA",181,162,0,343,127,108,0,235,235,0,8,0,0,213,0,9,0,0,1,1,0,0,1,2,235
77,"P.S. NIYAMATPUR",460,358,0,818,249,253,0,502,502,0,251,2,57,171,2,6,2,0,0,0,5,1,1,4,502
78,"P,S, UGHANPUR",270,264,0,534,218,190,0,408,408,0,42,2,14,345,2,2,0,0,0,1,0,0,0,0,408
79,"P.S. UDAYPUR NAROLI",518,393,0,911,385,292,0,677,677,0,223,5,100,334,1,1,0,0,1,0,4,1,4,3,677
80,"P.S. PALANPUR",533,418,0,951,396,280,0,676,676,0,97,10,82,464,1,3,0,0,1,1,10,5,1,1,676
81,"P.S. SAMASPUR",405,380,0,785,319,299,0,618,618,0,80,0,75,367,3,80,0,1,0,1,7,0,1,3,618
82,"P.S. SHYAMSINGH URF BHUDI",379,330,0,709,323,272,0,595,595,0,436,3,37,108,0,0,0,0,2,0,2,1,0,6,595
83,"P.S. SONAKPUR ROO, -1",767,616,0,1383,504,410,0,914,814,0,831,10,13,39,0,5,1,0,1,0,0,3,1,10,914
84,"P.S. SONAKPUR ROOM-2",467,366,0,833,289,241,0,530,529,0,67,4,209,234,0,5,0,0,1,1,2,0,1,6,530
85,"P.S. UMRARA ROOM, -1",625,530,0,1155,319,285,0,604,604,0,180,6,86,283,3,9,0,0,5,4,11,5,2,10,604
86,"P.S. SCHOOL UMRARA ROOM-2",333,276,0,609,179,161,0,340,340,0,75,0,5,246,2,0,0,0,0,0,8,2,1,1,340
87,"P.S. BHUDAWAS",494,377,0,871,386,278,0,664,659,0,226,6,99,300,3,15,0,0,5,1,3,3,0,3,664
88,"P.S. HASANPUR ROOP",375,288,0,663,304,256,0,560,560,0,2,2,6,518,5,2,1,0,1,3,11,2,2,5,560
89,"P.S. GWARAU ROOM-1",712,625,0,1337,486,388,0,874,851,0,217,5,97,518,3,1,1,0,0,6,14,4,2,6,874
90,"P.S. GWARAU ROOM-2",636,523,0,1159,522,364,0,886,886,0,12,1,75,770,4,1,0,1,1,2,9,3,1,6,886
91,"P.S. BHIDWARI ROOM -1",795,691,0,1486,542,448,0,990,942,0,296,6,241,407,4,7,1,1,4,4,4,6,2,7,990
92,"P.S. BHIDWARI ROOM-2",371,302,0,673,232,211,0,443,443,0,138,1,92,194,1,5,0,0,2,1,5,2,0,2,443
93,"P.S. BHUDA",491,438,0,929,379,352,0,731,731,0,217,5,16,470,2,3,1,1,0,3,6,4,2,1,731
94,"P.S. ABHANPUR NAROLI",454,400,0,854,276,260,0,536,536,0,92,2,33,387,5,0,0,1,0,2,9,2,3,0,536
95,"P.S. NAGALIYA SHAHPUR",773,675,0,1448,583,498,0,1081,1081,0,436,5,57,536,6,14,1,1,0,1,14,2,1,7,1081
96,"P.S. GWALKHEDA ROOM -1",669,602,0,1271,410,337,0,747,747,0,225,10,343,146,3,0,1,2,1,2,3,3,2,6,747
97,"P.S. GWALKHEDA ROOM -2",248,214,0,462,156,146,0,302,294,0,3,2,160,127,0,4,0,0,0,2,3,0,1,0,302
98,"P.S. CHANDPUR GANESH",583,435,0,1018,395,320,0,715,715,0,155,4,270,278,2,1,0,0,0,0,3,1,1,0,715
99,"P.S. NAVADA SHAHPUR",231,227,0,458,132,130,0,262,261,0,14,3,59,168,0,2,0,1,1,3,7,4,0,0,262
100,"J.H.S. DHAKIA NARU ROOM -1",608,516,0,1124,365,340,0,705,705,0,231,9,184,265,1,1,2,2,0,1,3,1,3,2,705
101,"J.H.S DHAKIYA NARU ROOM -2",391,306,0,697,236,197,0,433,431,0,142,4,59,214,2,0,1,1,3,0,3,2,1,1,433
102,"P.S. DHAKIA NARU ROOM -2",835,606,1,1442,393,228,0,621,621,0,140,20,103,328,1,5,1,1,2,5,9,0,1,5,621
103,"P.S. BICHAULA KUNDARKI",475,404,0,879,353,321,0,674,674,0,102,2,338,221,1,2,2,0,0,1,2,2,0,1,674
104,"P.S. TANDA AMARPUR  ROOM -1",645,530,0,1175,425,325,0,750,750,0,297,10,174,238,4,15,2,1,0,1,4,1,3,0,750
105,"P.S. TANDA AMARPUR ROOM -2",407,335,0,742,229,212,0,441,435,0,48,5,51,317,2,3,0,1,0,1,10,1,1,1,441
106,"P.S. KUAKHEDA",404,372,0,776,287,263,0,550,541,0,372,7,116,54,0,0,0,0,0,1,0,0,0,0,550
107,"P.S. SATARAN ROOM -1",629,465,0,1094,354,316,0,670,655,0,38,9,306,273,5,3,4,2,1,4,11,7,2,5,670
108,"P.S. SATRAN ROOM -2",607,490,0,1097,374,314,0,688,653,0,24,5,96,523,8,3,0,0,2,1,9,5,3,9,688
109,"P.S. KUDI MANK",239,215,0,454,188,183,0,371,371,0,172,3,84,37,0,66,0,1,1,0,0,2,1,4,371
110,"P.S. JWALAPURI",214,186,0,400,156,142,0,298,298,0,2,2,0,282,3,1,0,1,0,1,3,0,0,3,298
111,"P.S. KHANDUA",860,727,1,1588,569,498,0,1067,1065,0,165,8,321,544,4,14,0,0,2,0,3,0,2,4,1067
112,"P.S. BAHDARPUR",622,522,0,1144,421,360,0,781,704,0,208,3,162,372,4,4,1,1,1,4,9,1,4,7,781
113,"P,S, PAHADPUR",576,509,0,1085,430,425,0,855,855,0,166,2,133,501,1,15,2,3,1,2,18,4,2,5,855
114,"P.S. BHUDMARSI",595,470,0,1065,459,331,0,790,788,0,290,9,264,182,4,28,0,0,0,4,2,1,2,4,790
115,"P.S. SAFILPUR",837,792,1,1630,535,480,0,1015,1015,0,199,20,409,349,0,6,4,0,0,0,8,6,2,12,1015
116,"BEEJ BHANDAR ABUPUR KHURD",370,334,0,704,288,254,0,542,541,0,359,3,49,60,0,60,0,0,2,0,0,1,1,7,542
117,"P.S. SIHARI LADDA",639,534,0,1173,436,373,0,809,807,0,16,6,306,392,4,56,3,1,2,3,11,4,2,3,809
118,"P.S. FATTEHPUR NATTHA",679,576,0,1255,534,391,0,925,925,0,62,8,285,145,4,379,4,2,7,5,8,4,1,11,925
119,"J.H.S. MOHAMMAD IBRHEEMPUR ROOM -1",572,445,0,1017,465,345,0,810,810,0,42,3,744,6,0,0,0,0,1,0,1,5,1,7,810
120,"J.H.S. MOHAMMAD IBRAHEEMPUR ROOM -2",500,530,0,1030,399,397,0,796,795,0,49,4,723,6,1,0,0,0,1,0,0,7,1,4,796
121,"P.S. ARIKHEDA",571,446,0,1017,367,318,0,685,685,0,166,0,80,407,5,2,1,0,1,4,9,4,2,4,685
122,"P.S. SHAHPUR",359,267,0,626,296,194,0,490,490,0,8,0,306,35,1,134,0,1,0,1,1,3,0,0,490
123,"P.S, AMARPUR KASHI",646,538,0,1184,368,394,0,762,717,0,57,9,143,451,8,72,0,1,2,2,8,2,3,4,762
124,"P.S.OLD BHAVAN THAWLA ROOM -1",622,535,0,1157,376,340,0,716,670,0,34,11,642,5,0,3,4,2,1,2,0,3,1,8,716
125,"P.S. OLD BHAWAN THAWLA ROOM-2",468,417,0,885,284,277,0,561,561,0,30,11,493,9,2,2,6,0,0,1,1,0,1,5,561
126,"P.S. NEW BHAWAN ROOM -1",786,665,0,1451,447,308,0,755,755,0,123,12,594,8,0,1,6,3,0,0,0,1,1,6,755
127,"P.S. NEW BHAWAN THAWLA ROOM -3",250,205,0,455,128,112,0,240,240,0,39,6,177,1,0,0,15,0,0,0,0,0,0,2,240
128,"P.S. NEW BHAWAN ROOM -2",833,708,0,1541,377,231,0,608,608,0,89,10,477,10,0,0,5,1,0,0,1,3,5,7,608
129,"P.S. NEW BHAWAN ROOM -4",163,137,0,300,90,59,0,149,148,0,13,6,129,0,0,0,1,0,0,0,0,0,0,0,149
130,"P.S. MANKULA",891,725,0,1616,613,522,0,1135,1135,0,605,6,261,226,3,4,2,2,3,4,2,2,2,13,1135
131,"P.S. CHAUDHARPUR",362,262,0,624,288,197,0,485,485,0,89,0,55,91,2,233,1,2,1,2,3,1,0,5,485
132,"P.S. NARUKHEDA",228,188,0,416,169,129,0,298,297,0,12,1,31,225,2,12,0,1,0,2,5,2,3,2,298
133,"P.S. AHLADPUR KHEM URF RAIPUR",644,539,0,1183,518,416,0,934,800,0,10,6,103,779,2,0,0,0,0,5,15,9,2,3,934
134,"P.S. SHERPUR MADHO URF GHANIAKHEDA",360,287,0,647,264,217,0,481,456,0,453,0,2,22,0,0,0,0,0,0,0,0,1,3,481
135,"P.S. BANIATHER",575,508,0,1083,403,394,0,797,792,0,1,2,332,308,4,124,3,0,1,4,12,2,3,1,797
136,"P,S, RUSTAMPUR KHAS",527,396,0,923,353,257,0,610,608,0,200,6,66,300,6,10,0,3,1,2,8,1,2,5,610
137,"P.S. MALHAPUR SIDHARI",869,724,0,1593,397,332,0,729,709,0,225,7,187,250,3,5,0,2,3,4,21,7,3,12,729
138,"P.S. AHROLA",283,231,0,514,160,167,0,327,316,0,70,4,52,189,1,3,0,0,1,0,3,0,0,4,327
139,"P.S. MITHANPUR BALLU URF NAGLA",252,220,0,472,234,185,0,419,419,0,0,0,0,411,0,2,0,1,1,0,1,1,1,1,419
140,"P.S. SAMATHAL ROOM-1",815,637,0,1452,532,399,0,931,924,0,278,6,277,284,5,34,3,1,2,7,7,3,5,19,931
141,"P.S. ALLAPUR URF RAMPUR ROOM-1",214,175,0,389,167,132,0,299,279,0,7,2,186,29,0,65,0,0,0,2,0,3,1,4,299
142,"P.S. JASRATHPUR",496,428,0,924,317,263,0,580,578,0,155,4,130,243,7,8,1,2,4,3,7,6,4,6,580
143,"P.S. PALIYA",310,253,0,563,239,211,0,450,446,0,8,2,40,387,2,1,0,1,2,0,5,1,1,0,450
144,"P.S. DHANUPURA TURKHEDA",480,418,0,898,303,268,0,571,554,0,86,2,91,364,2,6,1,2,1,2,8,4,1,1,571
145,"P.S. SIHARI MALA ROOM-1",586,529,0,1115,246,285,0,531,531,0,17,9,449,49,1,1,1,0,0,0,1,2,1,0,531
146,"P.S. SIHARIMALA ROOM -2",564,557,0,1121,274,291,0,565,565,0,251,3,262,27,1,2,1,0,0,1,1,5,2,9,565
147,"P.S. DEVIPURA URF NAGLA",531,433,0,964,293,220,0,513,510,0,37,4,314,146,0,0,1,3,0,0,5,2,0,1,513
148,"P.S. OLD BHAWAN BAKAINIA CHANDPUR",631,520,0,1151,446,401,0,847,846,0,276,4,132,401,2,6,1,0,1,6,8,3,4,3,847
149,"P.S. CHANGERI",442,365,0,807,258,261,0,519,519,0,189,7,52,258,2,0,0,0,0,2,2,3,0,4,519
150,"P.S. NEW BHAWAN SANAI ROOM -1",805,687,0,1492,513,458,0,971,965,0,101,5,200,645,7,0,1,1,1,0,3,2,2,3,971
151,"P.S. MALHAPUR JANNU ROOM-1",599,511,0,1110,305,245,0,550,536,0,257,6,73,175,3,19,2,0,0,3,3,3,2,4,550
152,"P.S. MALHAPUR JANNU ROOM -2",311,310,0,621,179,157,0,336,294,0,4,4,108,111,0,97,0,1,0,1,6,1,1,2,336
153,"P.S. AKBARPUR KHAS",441,353,0,794,321,226,0,547,546,0,357,7,101,76,2,3,0,0,0,0,1,0,0,0,547
154,"P.S. PIPLI CHAK",700,522,0,1222,474,365,0,839,839,0,48,7,480,259,3,20,7,0,0,3,3,3,0,6,839
155,"P.S. SIHARI NANDA",347,309,0,656,240,220,0,460,460,0,34,4,178,188,2,32,0,1,2,3,9,1,0,6,460
156,"P.S. DHARMPUR KALAN ROOM-1",722,532,0,1254,404,321,0,725,724,0,28,8,405,256,3,0,7,0,0,0,3,2,4,9,725
157,"P.S. DHARMPUR KALAN ROOM --3",280,247,0,527,154,161,0,315,315,0,61,4,66,183,0,0,0,0,0,0,1,0,0,0,315
158,"P.S. DHARMPUR KALAN ROOM-2",830,700,0,1530,430,405,0,835,834,0,447,9,137,223,3,1,1,2,1,0,3,2,2,4,835
159,"P.S. MAKRANDPUR",582,482,0,1064,349,305,0,654,653,0,290,6,30,308,2,4,1,1,1,2,7,2,0,0,654
160,"P.S. KHABRI AVVAL ROOM -1",655,553,1,1209,356,363,0,719,717,0,348,6,215,130,0,1,2,1,0,1,2,3,2,8,719
161,"P.S. KHABRI AVVAL ROOM -3",294,257,0,551,199,167,0,366,365,0,19,2,68,265,0,10,0,0,0,0,0,2,0,0,366
162,"P.S. KHABRI AVVAL ROOM -2",653,547,0,1200,351,298,0,649,648,0,74,7,434,98,1,1,5,1,2,1,6,5,1,13,649
163,"P.S.KHABRI AVVAL ROOM -4",315,258,0,573,174,165,0,339,339,0,5,1,113,200,0,8,6,0,1,0,2,1,1,1,339
164,"P.S. NAGALIA JATT ROOM -1",865,721,0,1586,680,577,0,1257,1257,0,902,9,170,153,0,9,9,0,0,0,2,0,1,2,1257
165,"P.S. NAGALIA JATT ROOM -2",228,184,0,412,191,147,0,338,338,0,329,1,0,1,0,0,0,0,0,0,1,0,0,6,338
166,"P.S. MIRA PUR MAFI",320,278,0,598,262,206,0,468,468,0,230,18,32,177,0,1,0,2,1,2,3,0,0,2,468
167,P.S.GWARKHEDA,497,457,0,954,433,357,0,790,650,0,68,3,103,574,6,2,5,1,1,2,13,5,1,6,790
168,"J.H.S. HARORA ROOM-1",615,460,0,1075,446,330,0,776,775,0,7,3,33,695,3,0,3,1,0,4,19,5,2,1,776
169,"J.H.S. HARORA ROOM -3",506,392,0,898,333,267,0,600,600,0,361,5,38,176,2,0,1,0,1,0,8,2,4,2,600
170,"P.S. ROJA ROOM-1",156,137,0,293,137,120,0,257,257,0,0,0,135,75,0,42,0,0,1,0,0,2,2,0,257
171,"P.S. UDRANPUR CHAK URF VIRAMPUR ROOM-1",808,657,0,1465,372,400,0,772,742,0,282,11,322,137,2,2,3,0,0,3,3,3,2,2,772
172,"P.S. UDRANPUR CHAK URF VIRAMPUR ROOM -2",494,405,0,899,292,264,0,556,548,0,10,4,264,251,1,3,1,1,1,3,7,3,2,5,556
173,"P.S. MUDIA RAJA ROOM-1",719,640,0,1359,467,466,0,933,933,0,604,10,186,114,0,1,2,0,2,1,2,1,2,8,933
174,"P.S. MUDIA RAJA ROOM -2",457,411,0,868,293,287,0,580,580,0,235,1,242,80,0,4,7,0,2,0,1,3,1,4,580
175,"P.S. SHERPUR MAFI ROOM -1",640,497,0,1137,362,261,0,623,612,0,64,15,487,28,1,0,16,0,1,0,4,4,0,3,623
176,"P.S. SHERPUR MAFI ROOM -2",354,309,0,663,229,179,0,408,408,0,11,2,260,123,2,3,1,0,0,1,2,1,1,1,408
177,"P.S. ASLATPUR MAJHRA BILARI",571,519,0,1090,479,413,0,892,885,0,859,10,10,8,0,0,0,0,1,0,0,0,1,3,892
178,"J.H.S. RUSTAMNAGAR  SAHASPUR ROOM -1",623,502,0,1125,420,327,0,747,747,0,41,35,212,421,2,2,3,1,1,3,7,3,5,11,747
179,".J.H.S. RUSTAM NAGAR SAHASPUR  ROOM -6",296,254,0,550,209,156,0,365,365,0,18,2,17,301,1,2,1,1,0,2,8,3,3,6,365
180,"J.H.S. RUSTAMNAGAR SAHASPUR ROOM -2",690,543,0,1233,433,288,0,721,718,0,31,31,446,160,3,7,23,2,3,1,5,2,1,6,721
181,"J.H.S. RUSTAM NAGAR SAHASPUR ROOM -7",271,229,0,500,139,117,0,256,256,0,9,2,98,127,3,0,9,0,1,1,3,1,0,2,256
182,"J.H.S.RUSTAMNAGAR SAHASPUR ROOM -3",668,518,0,1186,428,282,0,710,708,0,22,18,413,229,2,2,11,1,0,3,4,1,2,2,710
183,"J.H.S. RUSTAM NAGAR SAHASPUR ROOM -8",364,291,0,655,235,169,0,404,399,0,19,7,301,9,0,0,61,4,0,0,2,0,0,1,404
184,"P.S. RUSTAMNAGAR SAHASPUR ROOM -1",671,500,0,1171,355,246,0,601,601,0,142,13,385,20,0,0,30,0,0,0,1,2,1,7,601
