"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
37,"PRIMARI SCHOOL BALUPURA",502,444,0,946,352,328,0,680,680,0,182,35,224,214,4,3,0,1,2,3,2,0,10,680
38,"JUNIOR HIGH SCHOOL RAIPUR EAST DISHA",771,620,0,1391,475,364,0,839,839,0,69,82,204,440,3,3,2,1,5,9,6,4,11,839
39,"JUNIOR HIGH SCHOOL RAIPUR WEST DISHA",700,620,0,1320,455,185,0,640,640,0,138,75,160,243,1,2,1,1,3,5,2,1,8,640
40,"PRIMARI SCHOOL MOHAMMADNAGAR",692,578,0,1270,447,376,0,823,823,0,16,144,240,396,3,5,0,0,3,7,3,0,6,823
41,"JUNIOR HIGH SCHOOL LALWARA CLASS NO-01",541,368,0,909,325,191,0,516,516,0,61,152,203,97,1,1,0,0,0,0,1,0,0,516
42,"JUNIOR HIGH SCHOOL LALWARA CLASS NO-02",482,454,0,936,287,274,0,561,561,0,22,147,221,151,4,3,2,2,3,1,0,3,2,561
43,"PRIMARI SCHOOL KISHANPUR",429,402,0,831,308,235,0,543,543,0,25,272,204,14,1,1,1,1,3,2,2,7,10,543
44,"JUNIOR HIGH SCHOOL KISHANPUR",455,372,0,827,386,301,0,687,687,0,20,326,312,12,2,0,2,1,0,0,3,4,5,687
45,"PRIMARI SCHOOL KHIRKA",600,479,0,1079,362,290,0,652,652,0,86,10,132,405,6,4,2,1,2,0,1,1,2,652
46,"PRIMARI SCHOOL NANKAR",645,512,0,1157,435,351,0,786,786,0,20,4,170,560,12,3,1,1,4,3,0,1,7,786
47,"PRIMARI SCHOOL GOUSAMPUR CLASS NO-01",499,360,0,859,307,224,0,531,531,0,48,28,223,217,5,3,1,0,3,1,1,1,0,531
48,"PRIMARI SCHOOL GOUSAMPUR CLASS NO-02",445,400,0,845,330,252,0,582,582,0,23,14,85,426,2,9,2,0,2,1,5,3,10,582
49,"PRIMARI SCHOOL THIRIYA SWALEPUR",412,358,0,770,297,232,0,529,529,0,7,5,104,379,8,6,1,0,3,5,0,2,9,529
50,"PRIMARI SCHOOL NAWABGANJ",865,762,0,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"PRIMARI SCHOOL FAKEERGANJ URF GHOSIPURA",743,683,0,1426,591,451,0,1042,1042,0,15,45,871,52,7,2,4,3,5,7,19,4,8,1042
52,"PRIMARI SCHOOL CHAMROL",121,127,0,248,85,91,0,176,176,0,20,12,93,45,1,0,0,0,2,0,0,1,2,176
53,"PRIMARI SCHOOL DIVIYANAGLA",656,509,0,1165,410,316,0,726,726,0,277,22,38,361,8,0,1,0,1,6,3,2,7,726
54,"PRIMARI SCHOOL MIAN GANJ",545,506,0,1051,341,302,0,643,643,0,11,154,286,161,4,2,4,0,1,5,3,4,8,643
55,"JUNIOR HIGH SCHOOL RAVANA NORTH DISHA",626,612,0,1238,393,374,0,767,767,0,48,382,310,5,1,2,2,0,3,2,0,5,7,767
56,"JUNIOR HIGH SCHOOL RAVANA SOUTH DISHA",650,529,0,1179,373,306,0,679,679,0,116,106,378,60,1,2,0,1,3,4,2,1,5,679
57,"PRIMARI SCHOOL PATTI FAZILABAD",581,523,0,1104,375,351,0,726,726,0,272,16,75,331,7,1,2,1,2,3,4,2,10,726
58,"PRIMARI SCHOOL ALAFGANJ",482,377,0,859,352,293,0,645,645,0,184,28,117,307,1,1,1,1,0,3,0,1,1,645
59,"JUNIOR HIGH SCHOOL KHARSOUL ROOM N0-1",631,590,0,1221,414,343,0,757,757,0,52,62,383,240,3,3,0,0,3,1,0,2,8,757
60,"JUNIOR HIGH SCHOOL KHARSOUL ROOM N0-2",575,439,0,1014,383,279,0,662,662,0,119,8,290,226,2,3,1,0,0,2,0,4,7,662
61,"JUNIOR HIGH SCHOOL CHOUKONI",669,518,0,1187,477,318,0,795,795,0,13,11,240,485,8,10,0,0,4,7,5,2,10,795
62,"PRIMARI SCHOOL SARAI IMAM",286,254,0,540,248,213,0,461,461,0,2,10,39,382,5,15,0,0,1,3,0,0,4,461
63,"PRIMARI SCHOOL ROOPPUR",274,240,0,514,191,138,0,329,329,0,1,5,116,176,6,1,0,1,4,4,5,3,7,329
64,"PRIMARI SCHOOL DEVIPURA",261,227,0,488,184,163,0,347,347,0,6,4,22,293,7,4,1,0,2,3,1,2,2,347
65,"JUNIOR HIGH SCHOOL BAR GAUN CLASS N0-1",562,476,0,1038,283,262,0,545,545,0,263,48,82,128,4,0,0,2,3,4,2,3,6,545
66,"JUNIOR HIGH SCHOOL BAR GAUN CLASS N0-2",550,439,0,989,287,252,0,539,539,0,48,243,144,96,2,0,0,0,1,2,0,2,1,539
67,"JUNIOR HIGH SCHOOL EAST DISHA ROOM NO-3",546,483,0,1029,271,271,0,542,542,0,65,165,267,26,2,1,1,1,0,3,3,3,5,542
68,"PRIMARI SCHOOL DHURIYAI",567,502,0,1069,392,316,0,708,708,0,387,7,105,199,4,1,0,0,1,0,1,1,2,708
69,"PRIMARI SCHOOL AHMADGANJ URF MUKATPUR",372,285,0,657,253,217,0,470,470,0,35,32,131,256,2,2,0,0,2,1,3,2,4,470
70,"PRIMARI SCHOOL KASHAVNAGLA",394,336,0,730,359,266,0,625,625,0,4,15,21,562,8,2,1,2,2,3,2,2,1,625
71,"JUNIOR HIGH SCHOOL MITTARPUR AHAROLA ROOM N0-1",449,358,0,807,267,231,0,498,498,0,1,77,312,92,6,0,0,0,2,2,0,1,5,498
72,"JUNIOR HIGH SCHOOL MITTARPUR AHAROLA ROOM N0-2",396,443,0,839,217,235,0,452,452,0,4,24,213,202,1,0,0,2,0,1,3,1,1,452
73,"PRIMARI SCHOOL NAIMGANJ",313,256,0,569,215,170,0,385,385,0,81,37,111,147,4,2,1,0,1,0,0,1,0,385
74,"JUNIOR HIGH SCHOOL BARKHERA",348,290,0,638,234,149,0,383,383,0,1,3,101,258,3,1,1,0,2,3,0,3,7,383
75,"PRIMARI SCHOOL JAIDOLI",479,414,1,894,319,287,0,606,606,0,310,5,89,185,0,5,0,1,1,1,0,2,7,606
76,"JUNIOR HIGH SCHOOL CHAKARPUR KADEEM NORTH DISHA",603,512,0,1115,356,298,0,654,654,0,8,9,358,259,2,1,0,1,2,2,3,0,9,654
77,"JUNIOR HIGH SCHOOL CHAKARPUR KADEEM SOUTH DISHA",653,488,0,1141,400,278,0,678,678,0,101,7,24,518,8,0,1,0,4,4,1,7,3,678
78,"PRIMARI SCHOOL GULARIAKALAN",410,354,0,764,274,272,0,546,546,0,302,12,0,221,2,2,0,1,0,1,0,0,5,546
79,"JUNIOR HIGH SCHOOL HIMMATPUR NORTH DISHA",792,648,0,1440,506,430,0,936,930,0,88,53,514,273,2,0,0,1,0,0,0,0,5,936
80,"JUNIOR HIGH SCHOOL HIMMATPUR SOUTH DISHA",745,612,0,1357,446,434,0,880,880,0,589,17,156,110,2,0,0,1,1,1,1,0,2,880
81,"PRIMARI SCHOOL KESARPUR NEAR KAREEMGANJ",425,312,0,737,330,215,0,545,545,0,1,18,75,428,2,3,2,0,0,6,2,1,7,545
82,"PRIMARI SCHOOL NEW BHVAN ROOM NO-1JAITOL I",556,427,0,983,397,323,0,720,720,0,9,198,177,312,6,1,0,1,0,2,5,1,8,720
83,"PRIMARI SCHOOL NEW BHBAN JAITOLI CLASS NO-2",499,554,0,1053,336,394,0,730,730,0,62,222,180,241,4,1,1,0,1,2,2,4,10,730
84,"JUNIOR HIGH SCHOOL MADAIYAN TULSI",475,416,0,891,280,237,0,517,517,0,24,20,187,272,6,1,0,1,0,2,0,1,3,517
85,"PRIMARI SHCOOL MADAIYAN VADE",464,364,0,828,332,258,0,590,590,0,7,32,384,154,4,0,1,1,0,2,2,0,3,590
86,"PRIMARI SCHOOL MADARPUR",709,591,0,1300,490,407,0,897,897,0,19,115,175,540,5,5,2,3,2,6,1,6,18,897
87,"JUNIOR HIGH SCHOOL SOOPA",433,361,0,794,312,250,0,562,562,0,0,8,17,530,1,2,0,1,2,0,0,0,1,562
88,"PRIMARI SCHOOL SURAJPUR",281,254,0,535,208,166,0,374,374,0,5,30,134,197,1,0,1,0,2,1,1,0,2,374
89,"PRIMARI SCHOOL PATWAI FIRST NORTH DISHA",442,374,0,816,247,198,0,445,445,0,74,13,74,267,3,2,1,1,2,3,1,0,4,445
90,"PRIMARI SCHOOL PATWAIFIRST SOUTH DISHA",631,539,0,1170,371,274,0,645,645,0,22,28,189,392,2,2,0,0,1,2,1,0,6,645
91,"JUNIOR HIGH SCHOOL PATWAI MIDDLE DISHA",655,471,0,1126,370,281,0,651,651,0,1,105,430,99,0,0,0,0,1,0,6,2,7,651
92,"JUNIOR HIGH SCHOOL PATWAI SOUTH DISHA",901,583,0,1484,497,305,0,802,802,0,16,111,612,47,1,1,1,0,0,1,4,1,7,802
93,"PRIMARI SCHOOL SOHANA",527,473,0,1000,309,286,0,595,595,0,318,15,117,131,1,0,1,0,3,1,0,0,8,595
94,"JUNIOR HIGH SCHOOL NADNAU",840,806,0,1646,605,559,0,1164,1164,0,7,120,425,578,8,3,0,1,2,7,1,4,8,1164
95,"PRIMARI SCHOOL NADNA",210,198,0,408,157,149,0,306,306,0,3,6,16,271,2,0,1,0,1,4,0,0,2,306
96,"PRIMARI SCHOOL BHOURKA",302,266,0,568,248,216,0,464,464,0,3,3,43,393,6,2,1,0,4,2,2,4,1,464
97,"PRIMARI SCHOOL PATRIYA",446,406,0,852,317,302,0,619,619,0,1,54,42,509,1,2,0,0,1,3,0,0,6,619
98,"PRIMARI SCHOOL NISWA",763,605,0,1368,453,372,0,825,826,0,66,35,174,524,7,2,2,2,2,3,1,1,6,825
99,"PRIMARI SCHOOL NISVI",415,394,0,809,276,299,0,575,575,0,98,13,160,281,4,2,2,1,1,1,1,3,8,575
100,"PRIMARI SCHOOL NARKHERI",591,524,0,1115,438,350,0,788,788,0,204,23,43,495,11,2,4,0,0,0,1,2,3,788
101,"PRIMARI SCHOOL NAWABNAGAR NEAR PATWAI",569,467,0,1036,350,273,0,623,623,0,53,22,325,210,4,0,1,0,0,1,2,3,2,623
102,"JUNIOR HIGH SCHOOL RAJOURA",803,744,0,1547,425,412,0,837,837,0,242,24,183,347,5,4,2,0,0,4,4,7,15,837
103,"PRIMARI SCHOOL DOHARIYA",844,728,0,1572,477,400,0,877,877,0,186,5,134,529,4,1,2,0,4,2,2,1,7,877
104,"PRIMARI SCHOOL SAHAVIAN KHURD",662,537,0,1199,368,320,0,688,688,0,329,11,155,176,3,4,0,0,1,2,0,1,6,688
105,"PRIMARI SCHOOL KAMALPUR",475,369,0,844,261,214,0,475,475,0,182,2,5,269,1,1,2,0,2,1,0,0,10,475
106,"JUNIOR HIGH SCHOOL SAHAVIYAN KALAN",709,614,0,1323,437,356,0,793,793,0,98,30,225,405,9,1,0,2,3,3,2,4,11,793
107,"KANYA JUNIOR HIGH SCHOOL MATHURAPUR ROOM NO-1",442,365,0,807,294,238,0,532,532,0,89,8,5,407,6,2,1,0,1,2,1,3,7,532
108,"KANYA JUNIOR HIGH SCHOOL MATHURAPUR ROOM NO-2",440,396,0,836,321,289,0,610,610,0,18,4,7,568,1,2,0,0,1,4,0,1,4,610
109,"KANYA JUNIOR HIGH SCHOOL MATHURAPUR ROOM NO-3",583,492,0,1075,410,341,0,751,751,0,2,36,261,427,10,2,1,0,3,3,2,1,3,751
110,"JUNIOR HIGH SCHOOL MATWALI SITUATED KIRA ROOM NO-1",720,576,0,1296,491,370,0,861,861,0,133,56,268,355,9,4,3,1,3,2,3,2,22,861
111,"JUNIOR HIGH SCHOOL MATWALI SITUATED KIRA ROM NO-2",328,315,0,643,208,215,0,423,423,0,36,7,51,309,5,3,0,0,0,3,1,1,7,423
112,"PRIMARI SCHOOL DHOLSAR",626,549,0,1175,361,381,0,742,742,0,23,16,302,357,10,1,0,3,2,3,6,3,16,742
113,"JUNIOR HIGH SCHOOL BOODPUR",579,508,0,1087,358,338,0,696,696,0,288,13,37,329,7,3,0,2,2,3,0,1,11,696
114,"JUNIOR HIGH SCHOOL JANAKPUR",525,433,0,958,355,269,0,624,624,0,19,6,36,538,5,4,5,2,1,2,2,2,2,624
115,"PANCHAYAT GHAR HUSAINGANJ NEAR JANAKPUR",333,293,0,626,187,166,0,353,353,0,134,8,47,158,0,0,0,0,1,0,0,0,5,353
116,"ADARSJ KRISHAK HIGHER SECONDARY SCHOOL NORTH DISHA KIRA",868,725,0,1593,475,414,0,889,889,0,12,42,180,624,7,6,4,2,3,4,2,3,0,889
117,"ADARSJ KRISHAK HIGHER SECONDARY SCHOOL SOUTH DISHA KIRA",736,554,0,1290,431,311,0,742,742,0,173,10,98,438,6,1,0,2,1,4,0,3,6,742
118,"ADARSJ KRISHAK HIGHER SECONDARY SCHOOL SOUTH DISHA KIRA",417,352,0,769,262,204,0,466,466,0,213,7,13,215,3,0,0,1,1,1,1,1,10,466
119,"PRIMRI SCHOOL MADAIYAN BUDHPUR",303,269,0,572,244,199,0,443,443,0,3,14,8,402,4,3,1,0,1,1,2,0,4,443
120,"JUNIOR HIGH SCHOOL REVERI KALAN CLASS N0-1",640,551,0,1191,338,329,0,667,667,0,227,35,342,56,0,2,0,0,1,0,0,0,4,667
121,"JUNIOR HIGH SCHOOL REVERI KALAN CLASS N0-2",754,639,0,1393,422,356,0,778,778,0,103,30,124,489,11,4,0,2,1,1,2,4,7,778
122,"PRIMARI SCHOOL PAIGUPURA",718,614,0,1332,422,357,0,779,779,0,27,72,224,431,4,4,1,1,1,6,3,2,3,779
123,"PRIMARI SCHOOL UDAIPUR JAGIR",608,531,0,1139,358,373,0,731,731,0,151,126,373,67,2,1,0,1,2,0,1,0,7,731
124,"JUNIOR HIGH SCHOOL SHAHDARA",343,294,0,637,270,201,0,471,471,0,1,99,352,9,0,2,1,0,1,1,2,1,2,471
125,"PRIMARI SCHOOL REVARI KHURD",597,494,0,1091,412,275,0,687,687,0,39,136,430,34,2,3,0,0,5,2,4,5,27,687
126,"PRIMARI SCHOOL BAMANPURI",683,610,0,1293,492,393,0,885,885,0,11,31,150,646,18,4,5,1,2,6,3,2,6,885
127,"JUNIOR HIGH SCHOOL DAKURIYA",639,553,0,1192,463,377,0,840,840,0,11,15,182,612,4,7,0,1,1,0,2,0,5,840
128,"GOVT. GIRLS.INTER COLLEGE SOUTH MIDDLE DISHA SHAHBAD HAKIMAN",620,582,0,1202,370,338,0,708,708,0,1,180,165,350,4,0,1,0,1,1,0,3,2,708
129,"GOVT. B.INTER COLLEGE SHAHBAD HAKIMAN",470,382,0,852,243,207,0,450,450,0,2,230,145,68,1,0,0,0,0,0,0,2,2,450
130,"GOVT. B.INTER COLLEGE SOUTH EAST DISHA SHAHBAD HAKIMAN",379,337,2,718,223,201,0,424,424,0,7,278,88,44,0,1,1,0,1,0,0,1,3,424
131,"GOVT. GIRLS.INTER COLLEGE SOUTH MIDDLE DISHA SHAHBAD HAKIMAN",753,600,1,1354,421,295,0,716,716,0,3,387,295,22,0,0,0,1,0,0,1,2,5,716
132,"PRIMARI SCHOOL SHAHBAD MASJID QAZI",724,615,0,1339,433,329,0,762,762,0,10,369,208,167,2,0,0,1,0,1,1,3,0,762
133,"PRIMARI SCHOOL SHAHBAD MASJID QAZI",510,493,0,1003,299,263,0,562,562,0,4,186,274,86,3,0,0,1,0,1,1,1,5,562
134,"PRIMARI SCHOOL NEW BHABAN SHAHBAD MASJID QAZI",487,511,0,998,262,197,0,459,459,0,7,250,189,10,0,0,0,0,0,0,0,1,2,459
135,"PRIMARI SCHOOL SOUTH MIDDLE DISHA SHAHBAD MASJID QAZI",538,432,1,971,350,253,0,603,603,0,8,264,215,99,0,2,1,0,1,2,3,3,5,603
136,"PRIMARI SCHOOL SOUTH MIDDLE DISHA SHAHBAD MASJID QAZI",510,468,0,978,263,233,0,496,496,0,3,227,165,86,1,1,0,1,1,1,4,6,0,496
137,"PRIMARI SCHOOL SOUTH EAST DISHA SHAHBAD MASJID QAZI",490,436,0,926,274,178,0,452,452,0,0,275,156,15,0,0,1,0,0,0,0,1,4,452
138,"KHAND VIKAS OFFICE NORTH DISHA NEAR HALL SHAHBAD KANOONGOYAN",456,371,0,827,228,178,0,406,406,0,9,180,154,54,0,1,0,1,0,0,1,2,4,406
139,"KISHAHN SEVA SMITI WEST DISHA KANOON GOYAN SHAHABAD",474,445,0,919,228,161,0,389,389,0,3,123,167,94,1,0,0,1,0,0,0,0,0,389
140,"KHAND VIKAS OFFICE  NORTH DISHA  NEAR HALL SHAHBAD KANOONGOYAN",852,758,0,1610,400,337,0,737,737,0,10,315,306,92,0,0,0,1,0,1,1,6,5,737
141,"KHAND VIKAS OFFICE SHAHBAD KANOONGOYAN",685,630,0,1315,352,282,0,634,634,0,6,278,236,99,1,1,1,1,2,1,0,5,3,634
142,"KHAND VIKAS OFFICE SHAHBAD KANOONGOYAN",577,537,0,1114,303,266,0,569,569,0,2,136,217,210,1,0,0,1,0,0,0,2,0,569
143,"GOVT INTER COLLEGE SOUTH EAST DISHA HALL SHAHBAD",464,404,0,868,280,235,0,515,515,0,185,92,204,31,0,1,0,0,0,0,0,0,2,515
144,"GOVT INTER COLLEGE ROOM NO-3 SHAHBAD",537,506,0,1043,319,267,0,586,586,0,31,181,345,24,0,0,2,1,0,0,0,1,1,586
145,"GOVT INTER COLLEGE HALLSOUTH WEST DISHA  SHAHBAD",683,599,0,1282,391,312,0,703,703,0,6,167,396,117,0,0,0,2,0,0,2,1,12,703
146,"GOVT INTER COLLEGE HALL SOUTH MIDDLE DISHA SHAHBAD",710,553,0,1263,380,286,0,666,666,0,30,112,181,325,4,1,4,1,0,3,0,1,4,666
147,"GOVT INTER COLLEGE HALL SOUTH EAST DISHA SHAHBAD",459,387,0,846,240,237,0,477,477,0,6,18,70,367,5,1,0,0,0,1,1,1,7,477
148,"GOVT INTER COLLEGE ROOM NO-4 SHAHBAD",564,519,0,1083,329,303,0,632,632,0,4,89,202,309,5,4,1,1,1,1,3,3,9,632
149,"PRIMARI SCHOOL SHAHBAD NALAPAR",719,569,1,1289,349,317,0,666,666,0,7,142,305,197,1,0,0,2,2,1,4,5,0,666
150,"PRIMARI SCHOOL WEST DISHA MANGOLI",695,534,0,1229,481,363,0,844,844,0,477,14,9,332,3,2,0,0,0,1,1,2,3,844
151,"PRIMARI SCHOOL EAST DISHA MANGOLI",586,493,0,1079,344,309,0,653,653,0,222,14,22,372,10,3,0,1,0,1,1,0,7,653
152,"JUNIOR HIGH SCHOOL BHITAR GAUN NORTH DISHA",680,611,0,1291,431,330,0,761,761,0,204,17,38,464,5,5,0,0,4,2,2,4,16,761
153,"JUNIOR HIGH SCHOOL BHITAR GAUN NORTH DISHA",698,521,0,1219,413,362,0,775,775,0,49,42,70,567,9,5,2,1,6,6,1,9,8,775
154,"PRIMARI SCHOOL LASHKAR GANJ",601,495,0,1096,437,390,0,827,827,0,7,11,42,721,13,2,2,2,5,4,3,3,12,827
155,"PRIMARI SCHOOL TURKHERA",322,309,0,631,227,210,0,437,437,0,4,22,209,185,3,1,0,2,1,1,2,2,5,437
156,"JUNIOR HIGH SCHOOL MAHUNAGAR ROOM NO-1",626,536,0,1162,364,316,0,680,680,0,153,29,13,466,5,4,1,0,1,3,0,2,3,680
157,"JUNIOR HIGH SCHOOL MAHUNAGAR ROOM -2",610,485,0,1095,345,264,0,609,609,0,498,4,8,78,1,1,0,0,2,3,1,2,11,609
158,"JUNIOR HIGH SCHOOL BHAGWANTPUR",515,470,0,985,377,342,0,719,719,0,1,21,140,533,4,1,3,0,2,8,2,1,3,719
159,"PRIMARI SCHOOL MILAK GULAM ALI",196,206,0,402,113,127,0,240,240,0,197,10,7,21,1,0,0,0,0,1,1,1,1,240
160,"PRIMARI SCHOOL CHANDPURA SALIS",657,505,0,1162,350,296,0,646,646,0,41,13,123,442,10,3,0,1,3,2,1,1,6,646
161,"JUNIOR HIGH SCHOOL BANDAR ROOM NO-1",413,341,0,754,300,229,0,529,529,0,54,32,142,284,3,0,1,0,2,4,2,2,3,529
162,"JUNIOR HIGH SCHOOL BANDAR ROOM-2",431,423,0,854,267,245,0,512,512,0,24,43,87,339,3,0,0,0,0,5,1,1,9,512
163,"JUNIOR HIGH SCHOOL MEERAPUR",702,592,0,1294,465,363,0,828,828,0,130,29,93,536,14,3,0,0,2,5,1,3,12,828
164,"GIRL JUNIOR HIGH SCHOOL SHAHPUR DEV ROOM NO-1",494,367,0,861,304,237,0,541,541,0,49,38,74,349,7,4,1,0,3,3,0,4,9,541
165,"GIRL JUNIOR HIGH SCHOOL SHAHPUR DEV ROOM NO-2",532,432,0,964,296,201,0,497,497,0,36,34,92,320,8,1,1,0,0,0,3,2,0,497
166,"PRIMARI SCHOOL BHUDASI",577,461,0,1038,429,332,0,761,761,0,5,8,12,711,14,1,2,2,1,2,0,0,3,761
