"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANURADHA SHARMA","2 - UMA BHARATI","3 - DR. CHANDRAPAL SINGH YADAV","4 - PRADEEP JAIN ADITYA","5 - ARCHANA","6 - CHINTAMANI","7 - NARESH KUMAR","8 - MAULANA MOHAMMAD","9 - SUNIL MASSEY","10 - KULDEEP KUMAR","11 - TULA RAM","12 - DILSHAD AHMAD","13 - RACHNA SHARMA","14 - RAJENDRA KUMAR","15 - RAM KUMAR ANK SHASTRI","16 - None of the Above","Total Votes Secured"
57,"ARYA KANYA DEGREE COLLEGE PART-2",425,341,0,766,196,154,0,350,350,0,50,240,35,22,2,0,0,0,0,0,0,0,1,0,0,0,350
58,"ARYA KANYA DEGREE COLLEGE PART-3",383,345,0,728,216,179,0,395,395,0,72,203,50,57,2,1,0,0,0,0,0,0,1,3,3,3,395
59,"ARYA KANYA DEGREE COLLEGE PART-4",368,343,0,711,221,196,0,417,417,0,14,255,90,53,3,0,0,0,0,0,0,0,0,1,0,1,417
60,"ARYA KANYA DEGREE COLLEGE PART-5",359,345,0,704,255,205,0,460,460,0,19,283,99,50,1,0,0,0,0,1,1,0,0,0,4,2,460
61,"ARYA KANYA DEGREE COLLEGE PART-6",370,338,0,708,228,199,0,427,427,0,58,231,87,38,1,0,2,0,0,0,0,1,2,0,3,4,427
62,"ARYA KANYA DEGREE COLLEGE PART-7",475,424,0,899,312,264,0,576,576,0,53,360,58,89,7,0,2,1,0,0,0,0,1,0,2,3,576
63,"GOVT POLYTECHNIC COLLEGE PART-1",536,441,0,977,351,284,0,635,635,0,69,469,32,44,7,1,1,0,0,2,1,0,1,1,0,7,635
64,"GOVT POLYTECHNIC COLLEGE PART-2",501,395,0,896,303,227,0,530,530,0,64,354,58,50,2,0,0,0,1,0,0,0,0,1,0,0,530
65,"GOVT POLYTECHNIC COLLEGE PART-3",673,520,0,1193,426,284,0,710,710,0,93,351,195,47,10,1,1,0,1,0,0,1,1,2,5,2,710
66,"GOVT POLYTECHNIC COLLEGE PART-4",637,493,0,1130,345,258,0,603,603,0,75,348,101,64,10,0,1,0,0,0,1,0,1,0,0,2,603
67,"GOVT POLYTECHNIC COLLEGE PART-5",633,512,0,1145,400,244,0,644,644,0,94,327,94,112,3,0,1,1,0,0,0,0,0,2,4,6,644
68,"GOVT POLYTECHNIC COLLEGE PART-6",671,547,0,1218,339,262,0,601,601,0,108,346,75,67,1,0,1,0,0,0,0,0,0,0,1,2,601
69,"GOVT. INTER COLLEGE PART-1",417,338,0,755,251,174,0,425,425,0,46,297,42,20,9,1,1,0,0,0,0,0,2,2,4,1,425
70,"GOVT. INTER COLLEGE PART-2",582,483,0,1065,350,294,0,644,644,0,37,503,72,17,4,0,0,0,1,0,2,0,0,1,4,3,644
71,"GOVT. INTER COLLEGE PART-3",475,389,0,864,254,207,0,461,461,0,32,382,24,20,0,0,0,0,0,0,0,0,1,0,0,2,461
72,"GOVT. INTER COLLEGE PART-4",750,634,0,1384,408,303,0,711,711,0,46,564,73,19,3,0,1,0,0,0,0,0,0,0,4,1,711
73,"GOVT. INTER COLLEGE PART-5",460,415,0,875,252,228,0,480,480,0,34,345,35,57,4,0,1,0,0,0,0,0,0,0,1,3,480
74,"GOVT. INTER COLLEGE PART-6",468,482,0,950,272,259,0,531,531,0,24,352,34,118,3,0,0,0,0,0,0,0,0,0,0,0,531
75,"GOVT. INTER COLLEGE PART-7",519,462,0,981,296,240,0,536,536,0,24,337,72,99,2,0,0,0,0,0,0,0,0,0,0,2,536
76,"GOVT. INTER COLLEGE PART-8",547,480,0,1027,314,275,0,589,589,0,34,350,109,86,7,0,0,0,0,0,0,0,0,0,0,3,589
77,"GOVT. INTER COLLEGE PART-9",395,390,0,785,225,212,0,437,437,0,33,257,42,99,4,0,0,0,0,0,0,0,0,0,0,2,437
78,"GOVT. INTER COLLEGE PART-10",472,466,0,938,260,229,0,489,489,0,13,361,33,78,3,0,0,0,0,0,0,0,0,1,0,0,489
79,"BUNDELKHAND COLLEGE PART-1",415,405,0,820,242,210,0,452,452,0,25,300,80,44,2,0,0,0,0,0,0,0,0,0,0,1,452
80,"BUNDELKHAND COLLEGE PART-2",472,423,0,895,267,206,0,473,473,0,36,297,93,34,4,0,0,0,0,0,0,0,0,0,6,3,473
81,"BUNDELKHAND COLLEGE PART-3",513,494,0,1007,278,235,0,513,513,0,39,312,71,85,4,0,0,0,0,0,0,0,1,0,0,1,513
82,"BUNDELKHAND COLLEGE PART-4",561,497,0,1058,346,289,0,635,635,0,150,347,47,74,6,0,1,0,0,0,1,0,0,1,2,6,635
83,"BUNDELKHAND COLLEGE PART-5",636,520,0,1156,403,304,0,707,707,0,77,479,61,77,3,2,2,0,0,0,0,0,0,0,0,6,707
84,"BUNDELKHAND COLLEGE PART-6",606,517,0,1123,284,233,0,517,517,0,28,405,29,46,6,0,0,1,0,0,1,0,0,0,0,1,517
85,"D A V H SECONDARY SCHOOL PART-1",700,546,0,1246,424,300,0,724,724,0,45,146,422,101,3,1,1,1,1,0,0,1,1,1,0,0,724
86,"D A V H SECONDARY SCHOOL PART-2",684,578,0,1262,382,285,0,667,667,0,120,150,300,78,1,0,0,1,1,1,0,0,1,5,5,4,667
87,"D A V H SECONDARY SCHOOL PART-3",599,519,0,1118,353,318,0,671,671,0,164,399,49,47,1,0,3,0,0,0,1,0,0,0,5,2,671
88,"D A V H SECONDARY SCHOOL PART-4",546,445,0,991,312,253,0,565,565,0,84,398,41,30,4,0,0,0,0,0,0,1,2,1,4,0,565
89,"SARASWATI SHISHU MANDIR PART-1",361,314,0,675,282,199,0,481,481,0,32,244,178,20,0,1,0,0,0,0,0,0,1,1,2,2,481
90,"SARASWATI SHISHU MANDIR PART-2",352,327,0,679,205,177,0,382,382,0,9,227,130,7,1,1,0,0,0,0,0,0,1,4,2,0,382
91,"SARASWATI SHISHU MANDIR PART-3",629,509,0,1138,422,352,0,774,771,0,63,549,118,27,3,1,1,0,0,2,1,2,1,0,3,3,774
92,"SARASWATI SHISHU MANDIR PART-4",522,453,0,975,267,221,0,488,488,0,34,348,59,38,2,0,1,0,0,0,0,1,1,1,1,2,488
93,"SARASWATI SHISHU MANDIR PART-5",606,501,0,1107,322,309,0,631,631,0,51,487,52,34,4,0,0,0,0,0,1,1,0,0,1,0,631
94,"SARASWATI SHISHU MANDIR PART-6",469,385,0,854,307,223,0,530,530,0,43,396,60,25,2,0,0,0,1,0,0,0,1,0,2,0,530
95,"SARASWATI SHISHU MANDIR PART-7",573,461,0,1034,366,263,0,629,629,0,61,430,83,40,2,2,0,1,2,1,2,1,1,1,1,1,629
96,"SARASWATI SHISHU MANDIR PART-8",607,556,0,1163,403,300,0,703,703,0,15,377,263,34,6,0,1,0,0,0,0,0,0,2,2,3,703
97,"SARASWATI SHISHU MANDIR PART-9",579,495,0,1074,395,262,0,657,657,0,54,22,474,99,1,0,1,0,0,0,0,1,0,3,0,2,657
98,"JU HIGH SCHOOL BALAK NAI BASTI PART-1",483,443,0,926,317,262,0,579,579,0,30,450,15,68,12,0,1,0,0,1,0,1,0,0,1,0,579
99,"JU HIGH SCHOOL BALAK NAI BASTI PART-2",494,428,0,922,345,213,0,558,558,0,76,327,28,117,6,0,1,0,0,0,0,0,0,1,1,1,558
100,"JU HIGH SCHOOL BALAK NAI BASTI PART-3",546,464,0,1010,339,253,0,592,592,0,123,324,36,95,2,0,0,0,0,0,0,0,1,2,4,5,592
101,"NAVEEN KANYA JU HIGH SCHOLL PART-1",546,432,0,978,352,249,0,601,601,0,75,382,48,80,3,0,3,2,1,0,0,0,0,2,5,0,601
102,"NAVEEN KANYA JU HIGH SCHOLL PART-2",653,553,0,1206,462,330,0,792,792,0,59,572,49,94,7,1,0,0,0,1,0,0,2,1,1,5,792
103,"BASIC PRI SCHOOL ANTIYA TALAB PART-1",854,722,0,1576,581,370,0,951,951,0,131,595,107,87,6,2,1,0,2,1,1,2,1,2,3,10,951
104,"BASIC PRI SCHOOL ANTIYA TALAB PART-2",620,499,0,1119,384,297,0,681,681,0,78,448,84,61,3,0,0,0,0,0,0,2,0,0,0,5,681
105,"BASIC PRI SCHOOL ANTIYA TALAB PART-3",608,576,0,1184,376,279,0,655,655,0,28,537,26,56,5,0,1,0,0,0,1,0,0,0,0,1,655
106,"LAXMIBAI UC PRI KANYA SCHOOL PART-1",489,421,0,910,318,246,0,564,564,0,16,387,84,70,4,0,0,0,0,0,0,0,0,1,0,2,564
107,"LAXMIBAI UC PRI KANYA SCHOOL PART-2",573,506,0,1079,358,287,0,645,645,0,42,385,141,71,2,0,0,0,1,0,0,0,0,0,0,3,645
108,"LAXMIBAI UC PRI KANYA SCHOOL PART-3",627,541,0,1168,380,283,0,663,663,0,45,457,76,69,5,1,1,0,0,1,0,0,0,0,3,5,663
109,"LAXMIBAI UC PRI KANYA SCHOOL PART-4",555,452,0,1007,332,248,0,580,580,0,17,389,111,57,5,0,0,0,0,0,0,0,1,0,0,0,580
110,"LOKMANYA KANYA INTER COLLEGE PART-1",631,532,0,1163,378,252,0,630,630,0,23,521,36,38,9,0,0,0,1,0,1,0,0,0,0,1,630
111,"LOKMANYA KANYA INTER COLLEGE PART-2",509,429,0,938,291,233,0,524,524,0,12,420,45,42,2,0,0,0,0,1,0,0,0,0,2,0,524
112,"LOKMANYA KANYA INTER COLLEGE PART-3",556,485,0,1041,344,296,0,640,640,0,12,536,32,49,5,0,0,0,0,0,0,0,1,2,0,3,640
113,"LOKMANYA KANYA INTER COLLEGE PART-4",506,453,0,959,321,239,0,560,560,0,20,358,78,94,8,0,0,0,0,0,0,0,1,0,0,1,560
114,"DR RAJENDRA PRASAD KANYA INTER COLLEGE PANI KI DHARMSHALA KE PASS PART-1",353,341,0,694,220,182,0,402,402,0,5,268,90,33,1,0,0,0,1,1,0,0,0,2,0,1,402
115,"DR RAJENDRA PRASAD KANYA INTER COLLEGE PANI KI DHARMSHALA KE PASS PART-2",476,471,0,947,250,195,0,445,445,0,7,342,34,50,10,0,0,0,0,0,0,0,1,0,0,1,445
116,"DR RAJENDRA PRASAD KANYA INTER COLLEGE PANI KI DHARMSHALA KE PASS PART-3",355,338,0,693,242,204,0,446,446,0,14,319,14,97,1,0,0,0,0,0,0,0,0,0,0,1,446
117,"LAXMI VYAYAM MANDIR INTER COLLEGE PART-1",691,611,0,1302,490,384,0,874,874,0,51,424,277,100,2,2,1,0,0,0,3,0,1,4,6,3,874
118,"LAXMI VYAYAM MANDIR INTER COLLEGE PART-1",619,516,0,1135,342,298,0,640,640,0,37,489,68,32,6,0,1,0,0,0,1,0,1,1,2,2,640
119,"LAXMI VYAYAM MANDIR INTER COLLEGE PART-3",615,546,0,1161,433,290,0,723,723,0,46,506,63,90,3,1,3,1,0,2,0,2,3,1,1,1,723
120,"LAXMI VYAYAM MANDIR INTER COLLEGE PART-4",612,506,0,1118,360,295,0,655,655,0,34,472,85,44,2,0,1,0,3,5,1,1,1,2,3,1,655
121,"RA. KANYA HIGHER SECONDARY SCHOOL( PT. KRISHANCHANDRA SHARMA-1 K0 INTER COLLEGE PART-1",452,414,0,866,259,202,0,461,461,0,33,271,70,84,3,0,0,0,0,0,0,0,0,0,0,0,461
122,"RA. KANYA HIGHER SECONDARY SCHOOL( PT. KRISHANCHANDRA SHARMA-2 K. INTER COLLEGE PART-2",450,390,0,840,282,230,0,512,512,0,46,326,92,44,1,0,0,0,0,1,0,0,0,0,1,1,512
123,"RA. KANYA HIGHER SECONDARY SCHOOL( PT. KRISHANCHANDRA SHARMA-K. INTER COLLEGE PART-3",430,370,0,800,203,171,0,374,374,0,28,279,35,25,3,0,0,0,0,0,0,0,0,0,3,1,374
124,"RA. KANYA HIGHER SECONDARY SCHOOL( PT. KRISHANCHANDRA SHARMA-4 K. INTER COLLEGE PART-4",517,493,0,1010,321,294,0,615,615,0,32,487,37,43,6,0,1,0,0,0,1,0,0,0,2,6,615
125,"RA. KANYA HIGHER SECONDARY SCHOOL( PT. KRISHANCHANDRA SHARMA K. INTER COLLEGE PART-5",560,515,0,1075,299,270,0,569,569,0,69,432,27,32,1,0,0,0,0,0,1,1,0,1,2,3,569
126,"RA. KANYA HIGHER SECONDARY SCHOOL( PT. KRISHANCHANDRA SHARMA-6",546,449,0,995,260,199,0,459,459,0,61,312,27,52,4,0,0,0,0,0,0,1,0,0,0,2,459
127,"BOM JESUS PRI SCHOOL PART-1",667,550,0,1217,523,357,0,880,880,0,33,151,647,30,6,0,1,0,5,1,0,0,0,3,2,1,880
128,"BOM JESUS PRI SCHOOL PART-2",733,683,0,1416,650,357,0,1007,1007,0,31,170,696,91,4,1,0,0,0,0,1,3,2,6,2,0,1007
129,"PRI SCHOOL MUKARYANA PART-1",683,594,0,1277,377,286,0,663,663,0,59,32,461,102,0,1,0,0,0,0,0,1,3,3,0,1,663
130,"PRI SCHOOL MUKARYANA PART-2",635,530,1,1166,359,257,0,616,616,0,20,136,351,98,5,0,0,0,0,0,0,0,0,1,2,3,616
131,"PRI SCHOOL MUKARYANA PART-3",582,534,0,1116,335,351,0,686,686,0,87,432,95,47,11,0,0,2,0,0,0,0,2,1,6,3,686
132,"PRI SCHOOL RISHIKUNJ PART-1",346,268,0,614,196,121,0,317,317,0,26,32,207,45,2,0,0,0,0,0,0,3,0,0,1,1,317
133,"PRI SCHOOL RISHIKUNJ PART-2",217,183,0,400,147,111,0,258,258,0,34,66,110,43,3,0,0,0,0,0,0,0,2,0,0,0,258
134,"PRI SCHOOL RISHIKUNJ PART-3",418,329,0,747,223,168,0,391,391,0,23,199,129,31,0,1,2,0,0,0,0,0,0,2,1,3,391
135,"PRI SCHOOL RISHIKUNJ PART-4",438,389,0,827,276,244,0,520,520,0,40,289,159,22,2,0,0,0,0,0,0,0,0,2,3,3,520
136,"JAWAHER PUBLIC SCHOOL ENGLISH MEDIUM BHAIRO KHIDKI PART-1",797,684,0,1481,572,379,0,951,951,0,47,581,259,45,5,0,1,0,0,0,0,2,1,3,5,2,951
137,"JAWAHER PUBLIC SCHOOL ENGLISH MEDIUM BHAIRO KHIDKI PART-2",757,609,0,1366,462,351,0,813,813,0,36,620,117,19,1,0,2,1,1,1,1,0,1,3,7,3,813
138,"JAWAHER PUBLIC SCHOOL ENGLISH MEDIUM BHAIRO KHIDKI PART-3",778,623,0,1401,453,315,0,768,768,0,163,495,56,38,3,0,1,0,0,0,0,0,1,2,4,5,768
139,"JAWAHER PUBLIC SCHOOL ENGLISH MEDIUM BHAIRO KHIDKI PART-4",840,743,0,1583,397,559,0,956,956,0,41,307,536,50,1,1,3,0,0,0,0,1,1,5,3,7,956
140,"JAWAHER PUBLIC SCHOOL ENGLISH MEDIUM BHAIRO KHIDKI PART-5",483,380,0,863,319,239,0,558,558,0,11,361,136,40,4,0,0,0,0,0,0,0,0,1,1,4,558
141,"GANESHI SHIKSHA CONVENT JU HIGH SCHOOL PART-1",516,359,0,875,315,224,0,539,539,0,15,416,78,21,0,2,2,0,0,0,1,1,0,0,2,1,539
142,"GANESHI SHIKSHA CONVENT JU HIGH SCHOOL PART-2",640,480,0,1120,337,238,0,575,575,0,34,388,91,50,3,0,2,0,1,1,0,0,1,0,1,3,575
143,"GANESHI SHIKSHA CONVENT JU HIGH SCHOOL PART-3",591,454,0,1045,281,192,0,473,473,0,86,260,94,24,1,0,0,0,0,2,1,0,0,0,4,1,473
144,"GANESHI SHIKSHA CONVENT JU HIGH SCHOOL PART-4",710,595,0,1305,384,310,0,694,694,0,87,404,127,51,1,1,3,1,1,0,0,0,2,3,5,8,694
145,"SARASWATI SHISHU SHIKSHA NIKETAN MEWATIPURA-1",893,763,0,1656,435,363,0,798,498,0,80,431,226,47,2,0,0,0,0,2,1,1,1,4,2,1,798
146,"SARASWATI SHISHU SHIKSHA NIKETAN MEWATIPURA-2",555,486,0,1041,391,297,0,688,688,0,42,305,252,71,2,1,1,0,0,0,0,2,1,5,2,4,688
147,"SARASWATI SHISHU SHIKSHA NIKETAN MEWATIPURA-3",655,549,0,1204,421,297,0,718,718,0,41,485,131,51,1,0,1,0,0,0,0,1,1,3,2,1,718
148,"SARASWATI SHISHU SHIKSHA NIKETAN MEWATIPURA-4",608,509,0,1117,400,276,0,676,676,0,43,273,277,72,4,2,0,0,0,0,0,0,0,1,1,3,676
149,"PRI SCHOOL ANDER UNNAV GATE PART-2",558,519,0,1077,376,285,0,661,661,0,97,116,328,104,3,0,1,1,0,0,1,0,2,1,3,4,661
150,"PRI SCHOOL ANDER UNNAV GATE PART-2",827,628,0,1455,528,347,0,875,875,0,84,220,447,110,1,1,0,0,0,1,1,0,3,3,0,4,875
151,"SHARDA SADAN PRI SCHOOL PART-1",660,566,0,1226,448,360,0,808,808,0,20,675,42,56,3,0,2,0,2,1,0,0,1,1,2,3,808
152,"SHARDA SADAN PRI SCHOOL PART-2",806,682,0,1488,554,436,0,990,990,0,182,511,208,71,0,1,0,0,2,1,1,0,0,4,4,5,990
153,"SHARDA SADAN PRI SCHOOL PART-3",275,255,0,530,200,172,0,372,372,0,10,271,32,52,5,0,0,0,0,0,0,0,0,0,2,0,372
154,"JINRAJ MEMORIAL SCHOOL LAXMANGANJ-1",450,415,0,865,330,266,0,596,596,0,22,503,28,40,1,0,1,0,0,0,0,0,0,0,0,1,596
