"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL KUMAR MAURYA","2 - TARUN PATEL URF TARUNENDRA CHAND PATEL","3 - DR MAHENDRA NATH PANDEY","4 - RAMKISHUN","5 - IRSHAD","6 - CHANCHAL","7 - JITENDRA","8 - MRITUNJAYA PANDEY","9 - RAMASHANKER SINGH MAURYA","10 - RAJA JAISWAL","11 - RAJENDRA","12 - RAM DULAR","13 - VINAI KUMAR SINGH","14 - SHASHI SINHA","15 - SANJEEV SINGH","16 - DR. HARIDWAR SINGH YADAV","17 - HEERALAL","18 - GULAVAS","19 - BINDU","20 - RAJNARAYAN","21 - SANJAY","22 - None of the Above","Total Votes Secured"
47,"J.H. SCHOOL BHOPATPUR",322,272,0,594,278,203,0,481,469,0,5,21,428,16,2,0,1,0,0,2,1,0,0,0,1,1,1,0,1,0,0,1,481
48,"P.P. GOPALPUR R.NO. 1",757,698,0,1455,494,441,0,935,680,0,135,18,530,103,34,4,1,2,3,13,4,4,4,7,40,11,5,1,3,0,5,8,935
49,"P.P. GOPALPUR R.NO. 2",327,310,0,637,231,204,0,435,346,0,14,10,325,36,10,0,2,0,0,6,0,2,5,3,3,9,3,1,2,0,1,3,435
50,"P.P. ISEEPUR",525,443,0,968,287,289,0,576,520,0,72,18,310,117,10,0,1,2,2,8,1,4,5,4,1,10,2,1,1,4,2,1,576
51,"P.P. NAMAPUR",331,301,1,633,230,221,0,451,401,0,51,17,313,36,11,1,1,0,0,3,1,3,1,1,1,1,3,2,1,2,1,1,451
52,"B.P.P. CHIURAPUR R.NO. 1",796,632,0,1428,433,382,0,815,702,0,303,53,326,74,10,1,2,1,3,9,4,2,0,0,0,7,9,1,4,0,1,5,815
53,"B.P.P. CHIURAPUR R.NO. 2",607,509,0,1116,360,279,0,639,518,0,185,34,263,130,4,0,4,0,0,4,0,0,3,0,0,6,3,0,1,0,1,1,639
54,"B.P.P. CHIURAPUR R.NO. 3",596,538,0,1134,356,295,0,651,634,0,181,28,311,96,20,1,1,0,1,1,0,1,1,0,1,5,0,0,0,3,0,0,651
55,"P.P. JAMALPUR",550,438,0,988,323,248,0,571,379,0,120,5,140,265,6,1,2,0,0,8,0,3,3,1,3,9,3,0,0,1,1,0,571
56,"P.P. RAMAIPATTI",622,552,0,1174,419,369,0,788,564,0,243,11,428,22,13,0,4,2,1,11,2,2,3,2,2,9,7,1,15,4,2,4,788
57,"B.P.P. POORABPATTI URF MARUDEEH R.NO. 1",724,633,0,1357,422,348,0,770,764,0,196,24,402,54,15,1,2,4,4,18,2,2,1,8,2,14,4,2,6,3,2,4,770
58,"B.P.P. POORABPATTI URF MARUDEEH R.NO. 2",327,273,0,600,171,137,0,308,285,0,23,58,117,90,5,0,1,0,0,3,0,0,2,1,0,3,1,0,1,2,0,1,308
59,"P.P. DHARAMANPUR",420,365,0,785,266,235,0,501,467,0,59,7,240,134,34,0,4,1,2,1,0,0,1,1,2,5,1,0,2,0,0,7,501
60,"P.P. BEDEE",572,458,0,1030,385,323,0,708,689,0,48,9,228,355,5,1,3,3,0,14,2,2,11,5,2,9,3,1,2,0,1,4,708
61,"P.P. NAWALPUR",420,309,0,729,300,217,0,517,346,0,70,24,323,61,18,1,2,1,1,3,1,0,1,1,0,5,0,0,2,0,0,3,517
62,"B.P.P. AHARAK R.NO. 1",734,622,0,1356,380,362,0,742,681,0,155,43,317,145,13,2,2,2,2,8,3,4,7,3,4,13,4,2,1,5,1,6,742
63,"B.P.P. AHARAK R.NO. 2",826,750,0,1576,507,458,0,965,854,0,517,29,236,108,24,1,5,1,2,2,3,3,11,4,0,10,3,2,0,0,2,2,965
64,"B.P.P. AHARAK R.NO. 3",744,610,0,1354,441,360,0,801,697,0,114,39,443,141,28,0,2,1,0,3,2,1,2,2,3,1,5,1,5,4,1,3,801
65,"B.P.P. PARASADPUR R.NO. 1",415,322,0,737,216,164,0,380,320,0,39,14,285,24,5,2,0,0,0,3,1,0,2,1,0,3,0,0,1,0,0,0,380
66,"B.P.P. PARASADPUR R.NO. 2",690,594,0,1284,390,337,0,727,600,0,195,32,445,30,8,0,0,1,0,2,0,2,0,2,0,6,2,1,0,0,0,1,727
67,"B.P.P. PARASADPUR R.NO. 3",242,219,0,461,166,149,0,315,290,0,44,6,205,10,7,1,1,1,0,5,2,1,6,5,1,4,3,0,11,1,1,0,315
68,"P.P. TIWARIPUR",374,297,0,671,226,233,0,459,425,0,80,7,324,39,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,459
69,"PANCHAYAT BHAWAN LALLAPUR",649,562,0,1211,336,344,0,680,525,0,151,92,331,31,17,1,3,2,3,4,1,3,5,2,2,4,5,4,2,8,5,4,680
70,"P.P. BAJHIYA R.NO. 1",519,444,0,963,309,274,0,583,571,0,174,24,298,11,43,0,1,0,0,9,0,2,3,4,0,3,0,1,3,3,1,3,583
71,"P.P. BAJHIYA R.NO. 2",424,344,0,768,304,245,0,549,493,0,57,12,403,11,30,2,2,3,2,2,2,2,1,2,1,3,0,3,2,6,0,3,549
72,"PANCHAYAT BHAWAN AMAWAR",196,171,0,367,146,136,0,282,201,0,9,4,229,7,14,0,3,0,0,3,0,1,2,3,1,2,2,0,1,1,0,0,282
73,"P.P. DEVANATHPUR",248,230,0,478,165,163,0,328,295,0,26,6,278,1,2,1,2,0,0,0,0,1,2,0,0,2,2,0,1,1,0,3,328
74,"P.P. PAYAGPUR R.NO. 1",442,356,0,798,248,247,0,495,450,0,30,8,384,19,8,0,4,1,0,8,1,1,6,3,3,4,4,3,2,4,0,2,495
75,"P.P. PAYAGPUR R.NO. 2",239,197,0,436,155,133,0,288,255,0,122,4,139,5,6,0,0,0,1,1,0,2,1,0,0,3,2,0,1,0,0,1,288
76,"P.P. KHANPATTI",318,297,0,615,216,224,0,440,339,0,56,15,326,6,4,0,0,0,0,9,1,1,2,5,1,6,0,0,1,5,2,0,440
77,"P.P. PALIYA SHAMBHUPUR",571,465,0,1036,374,284,0,658,600,0,113,5,454,26,7,0,6,0,1,9,2,2,4,5,2,4,0,9,2,6,0,1,658
78,"P.P. BIRAPATTI R.NO. 1",574,508,0,1082,419,339,0,758,676,0,17,60,403,18,168,4,6,4,3,12,8,14,4,4,3,9,2,1,1,5,1,11,758
79,"P.P. BIRAPATTI R.NO. 2",630,512,0,1142,440,326,0,766,641,0,185,33,418,15,58,0,0,1,0,12,4,5,2,1,7,10,2,0,3,6,1,3,766
80,"P.P. INDRAWAR",469,397,0,866,309,272,0,581,447,0,74,17,268,167,9,0,2,0,0,2,0,3,2,0,0,5,9,0,11,9,2,1,581
81,"PANCHAYAT BHAWAN MADHOPUR",407,344,0,751,305,266,0,571,557,0,28,28,424,21,16,1,0,2,2,13,0,2,2,0,7,10,2,1,7,5,0,0,571
82,"P.P. SIKANDARPUR",770,639,0,1409,471,397,0,868,813,0,281,37,381,57,48,1,3,6,0,11,3,1,4,3,5,10,2,4,1,3,1,6,868
83,"P.P. MADHAIPUR",584,457,0,1041,412,313,0,725,580,0,230,41,359,32,13,0,6,2,2,2,0,0,3,2,3,10,2,5,7,2,3,1,725
84,"P.P. UNDEE",472,381,0,853,284,228,0,512,425,0,48,15,379,13,14,0,0,0,2,4,1,3,2,3,13,1,0,0,3,6,4,1,512
85,"P.P. BHAUMEE",418,353,0,771,296,230,0,526,459,0,260,2,26,209,6,2,1,3,0,2,0,1,1,0,0,7,3,0,0,1,1,1,526
86,"P.P. JAIPAR",599,486,0,1085,361,315,0,676,570,0,126,17,473,26,6,2,1,1,2,5,0,0,5,3,0,4,2,0,0,2,0,1,676
87,"P.P. SABHAIPUR R.NO. 1",813,685,0,1498,494,480,0,974,787,0,127,32,664,42,39,0,4,2,0,8,1,5,9,6,8,10,0,2,6,3,1,5,974
88,"P.P. SABHAIPUR R.NO. 2",668,554,0,1222,462,341,0,803,788,0,238,17,427,27,49,1,7,1,3,9,1,2,5,3,1,3,1,0,3,2,1,2,803
89,"P.P. BHELAKHA",697,577,0,1274,453,372,0,825,705,0,401,16,256,96,14,2,4,2,0,4,2,0,7,5,2,4,5,1,0,1,2,1,825
90,"P.P. PRATAPPATTI",767,670,0,1437,423,399,0,822,676,0,168,9,561,15,15,2,4,1,2,7,1,1,3,4,0,5,4,1,3,9,2,5,822
91,"P.P. DASHAMIPUR",698,589,0,1287,544,444,0,988,841,0,465,22,351,70,13,1,2,0,2,10,5,8,9,3,1,15,6,1,0,1,1,2,988
92,"P.P. BELAWARIYA",926,697,0,1623,603,430,0,1033,1003,0,107,33,673,89,57,4,4,1,4,17,3,4,3,7,2,11,2,0,1,1,2,8,1033
93,"P.P. RAICHANDPUR",340,309,0,649,236,176,0,412,309,0,59,66,202,24,3,2,4,0,3,6,0,2,0,0,12,6,5,5,4,6,1,2,412
94,"P.P. SUTABALPUR",572,488,0,1060,429,363,0,792,643,0,107,15,544,13,31,0,6,1,1,8,4,3,5,6,3,13,3,4,3,12,3,7,792
95,"PANCHAYAT BHAWAN NAKACHHEDPUR",667,525,0,1192,440,328,0,768,654,0,153,25,428,91,29,0,3,0,3,4,1,1,3,1,4,4,5,1,9,3,0,0,768
96,"B.P.P. GOSAIPUR",583,448,1,1032,331,284,0,615,426,0,83,40,428,35,10,0,1,1,1,2,0,1,2,0,1,1,1,2,1,1,0,4,615
97,"K.P.P. BHOPAPUR R.NO. 1",664,556,0,1220,415,366,0,781,724,0,56,26,485,119,24,1,5,3,0,13,0,1,8,8,1,7,2,2,7,4,4,5,781
98,"K.P.P. BHOPAPUR R.NO. 2",760,650,0,1410,443,409,0,852,810,0,433,15,239,82,21,0,1,1,1,9,0,0,3,1,1,13,19,2,0,4,1,6,852
99,"P.P. GAHURA R.NO.1",528,430,0,958,326,281,0,607,449,0,158,11,344,43,12,6,1,3,3,2,1,1,5,3,1,4,2,0,1,3,1,2,607
100,"P.P. GAHURA R.NO.2",356,279,1,636,256,201,0,457,357,0,143,7,261,13,9,0,2,0,3,1,1,0,2,2,0,5,0,1,1,3,1,2,457
101,"P.M.V. GAHURA",540,486,0,1026,325,298,0,623,563,0,52,16,475,28,21,0,2,1,0,2,2,1,5,9,0,4,0,0,0,3,2,0,623
102,"P.P. PUAREEKALA R.NO. 1",593,497,0,1090,399,344,0,743,673,0,21,11,596,31,9,1,12,0,1,11,0,1,2,3,2,5,3,6,16,4,3,5,743
103,"P.P. PUAREEKALA R.NO. 2",718,589,1,1308,457,378,0,835,691,0,279,11,472,9,19,2,2,1,1,3,2,1,7,2,2,2,9,1,3,2,3,2,835
104,"J.H. SCHOOL PURAREEKALA R.NO. 1",739,637,1,1377,412,378,0,790,633,0,170,46,483,43,4,0,2,0,0,7,2,1,1,4,5,12,2,0,0,3,2,3,790
105,"J.H. SCHOOL PURAREEKALA R.NO. 2",676,523,0,1199,345,271,0,616,518,0,200,15,280,38,8,2,6,4,3,7,1,2,6,7,14,7,3,1,2,6,2,2,616
106,"J.H. SCHOOL PURAREEKALA R.NO.3",699,523,0,1222,367,319,0,686,624,0,123,16,363,121,8,0,3,2,3,5,2,4,9,3,1,7,1,2,5,2,1,5,686
107,"P.P. PUAREE KHURD R.NO.1",724,583,0,1307,442,360,0,802,575,0,314,6,353,38,12,1,2,2,3,3,3,5,7,3,6,14,6,1,2,8,9,4,802
108,"P.P. PUAREE KHURD R.NO.2",818,698,1,1517,508,419,0,927,780,0,232,22,412,127,28,1,3,2,4,9,4,3,2,4,47,13,2,1,1,4,1,5,927
109,"P.P. MAHADEPUR",495,444,0,939,396,260,0,656,542,0,130,10,425,57,6,0,2,1,0,6,0,2,6,1,2,1,3,0,2,0,1,1,656
110,"PANCHAYAT BHAWAN CHAUKA",650,524,0,1174,418,317,0,735,619,0,140,46,461,47,7,0,2,0,2,4,3,3,2,2,3,2,1,1,2,7,0,0,735
111,"P.P. KRISHNAPUR",329,270,0,599,238,193,0,431,429,0,99,9,256,9,5,1,1,0,0,3,1,0,0,0,3,4,10,3,13,5,2,7,431
112,"P.P. JARIYARI",852,721,0,1573,408,424,0,832,776,0,102,24,413,201,1,0,10,3,2,12,1,4,7,1,4,8,3,11,0,12,7,6,832
113,"P.P. MOHANIDEEH",376,324,0,700,240,230,0,470,460,0,129,6,293,23,4,0,0,0,1,2,0,3,1,2,1,4,0,0,0,0,1,0,470
114,"P.P. RUPCHANDPUR R.NO. 1",820,685,0,1505,382,365,0,747,563,0,336,24,283,53,11,0,0,1,1,4,1,0,5,4,2,8,7,1,3,3,0,0,747
115,"P.P. RUPCHANDPUR R.NO. 2",205,202,0,407,99,110,0,209,175,0,76,6,51,63,3,0,0,1,3,0,0,0,1,1,0,1,1,1,0,0,1,0,209
116,"P.P. PARAGDEEH",622,548,0,1170,299,287,0,586,455,0,144,38,305,33,21,4,1,1,1,7,2,2,7,6,1,6,3,0,0,1,0,3,586
117,"P.P. BHARATPUR",485,408,0,893,246,232,0,478,425,0,114,14,216,93,10,2,3,1,0,9,0,0,2,1,2,3,1,0,1,2,4,0,478
118,"P.P. TILAMAPUR R.NO. 1",391,364,0,755,216,219,0,435,401,0,207,13,110,63,0,0,4,3,0,5,0,2,5,1,2,8,5,1,1,2,2,1,435
119,"P.P. TILAMAPUR R.NO. 2",424,341,0,765,182,146,0,328,317,0,157,11,109,33,2,0,1,0,1,0,1,0,0,1,0,5,3,1,1,0,0,2,328
120,"P.P. KHANUAN",521,429,0,950,181,297,0,478,442,0,119,10,280,45,1,1,1,1,1,0,2,4,3,1,0,3,0,1,1,2,1,1,478
121,"P.P. MAVAIYA",862,728,0,1590,533,474,0,1007,987,0,201,24,554,149,19,1,3,1,1,5,6,6,5,1,5,6,1,1,4,4,2,8,1007
122,"P.P. LASHKARPUR R.NO. 1",450,396,0,846,244,269,0,513,482,0,40,18,317,104,6,0,1,0,2,3,1,2,6,3,2,2,1,2,1,0,1,1,513
123,"P.P. LASHKARPUR R.NO. 2",534,475,0,1009,302,301,0,603,565,0,199,12,175,166,24,1,2,0,0,0,0,2,1,2,1,8,3,1,1,1,3,1,603
124,"P.P. SHAHADEEH",555,417,0,972,295,250,0,545,401,0,124,17,259,104,4,0,2,0,3,3,0,5,1,0,0,4,3,4,2,7,2,1,545
125,"SHANKUL V. JAGADEESHPUR R.NO. 1",863,688,0,1551,431,347,0,778,651,0,186,20,312,172,15,2,2,0,2,6,2,7,9,4,5,12,6,2,0,4,4,6,778
126,"SHANKUL V. JAGADEESHPUR R.NO. 2",688,603,0,1291,370,383,0,753,641,0,445,16,176,41,6,0,1,0,0,4,2,2,1,4,3,10,17,1,5,6,9,4,753
127,"P.P. GOSAIPUR",642,552,0,1194,407,310,0,717,590,0,45,32,383,204,6,1,3,0,4,6,0,1,4,5,3,6,2,1,1,3,3,4,717
128,"P.P. RAMGAON",747,595,0,1342,493,400,0,893,749,0,155,8,548,135,14,2,1,1,0,10,0,3,3,2,1,2,1,1,2,3,0,1,893
129,"A.U.M.V. PALAHIPATTI R.NO. 1",695,545,0,1240,441,311,0,752,452,0,227,17,370,96,8,1,1,1,4,2,2,1,5,6,1,9,1,0,0,0,0,0,752
130,"A.U.M.V. PALAHIPATTI R.NO. 2",363,333,0,696,189,158,0,347,307,0,22,4,279,27,4,0,1,0,0,1,0,0,0,1,1,1,0,0,1,2,1,2,347
131,"P.P. RAJAPUR R.NO. 1",331,271,0,602,246,203,0,449,350,0,157,8,229,37,6,0,0,0,0,2,0,0,1,0,0,5,2,0,0,0,0,2,449
132,"P.P. RAJAPUR R.NO. 2",582,471,0,1053,381,323,0,704,586,0,153,16,309,157,10,2,1,3,2,2,2,2,3,1,2,10,7,1,4,9,4,4,704
133,"P.P. TEWAR (DEEHPAR) R.NO. 1",598,451,0,1049,400,275,0,675,550,0,129,10,348,151,6,1,1,1,2,3,1,1,6,4,1,1,1,1,0,5,2,0,675
134,"P.P. TEWAR (DEEHPAR) R.NO. 2",338,265,0,603,185,153,0,338,335,0,17,7,288,6,1,0,2,0,0,5,0,0,2,0,0,3,0,0,0,2,2,3,338
135,"प्रा0पा0 तेवर (डीहपर) क0सं0 3",784,646,0,1430,455,371,0,826,800,0,294,22,416,43,13,0,1,2,1,4,5,2,2,3,2,3,3,2,2,1,4,1,826
136,"P.P. TEWAR (DALPATTI)",791,651,0,1442,385,343,0,728,625,0,143,17,208,306,10,1,3,3,0,4,0,1,5,1,5,8,3,1,2,1,4,2,728
137,"P.P. GURAVAT",582,466,0,1048,382,322,0,704,602,0,64,10,368,202,13,2,4,0,2,3,0,1,0,3,5,5,6,4,1,5,3,3,704
138,"P.P. JAMUNEEPUR",420,399,0,819,297,254,0,551,505,0,32,6,413,71,3,1,1,1,0,5,0,0,5,2,0,4,0,2,1,1,1,2,551
139,"P.P. BHATAULEE",519,437,0,956,361,307,0,668,484,0,160,15,442,25,8,0,1,2,0,0,0,1,2,0,0,4,3,0,0,3,0,2,668
140,"P.P. SULEMAPUR",773,639,0,1412,499,409,0,908,810,0,127,26,461,232,8,2,7,0,1,6,3,4,2,1,3,9,1,8,3,2,1,1,908
141,"P.P. SHIVRAMPUR",687,582,0,1269,473,367,0,840,791,0,388,9,353,20,11,0,7,2,1,5,1,1,2,0,5,6,2,17,2,3,1,4,840
142,"PANCHAYAT BHAWAN SHIVRAMPUR",648,496,0,1144,442,334,0,776,768,0,262,26,203,165,37,1,10,3,4,1,2,0,5,1,13,5,6,20,2,2,4,4,776
143,"P.P. KAKALPUR",624,491,0,1115,389,320,0,709,547,0,27,5,364,256,14,2,4,0,3,5,2,0,3,8,5,4,0,3,1,2,0,1,709
144,"P.P. KURAULEE",500,419,0,919,331,302,0,633,598,0,169,16,270,104,5,2,2,1,4,8,4,3,2,3,21,3,2,3,2,3,4,2,633
145,"P.P. DIHAVA",472,373,0,845,327,283,0,610,599,0,48,5,206,339,3,0,1,0,0,1,0,0,1,0,0,4,1,0,0,1,0,0,610
146,"P.P. AYAR",529,432,0,961,335,269,0,604,582,0,60,9,478,12,6,0,4,0,0,6,1,4,2,1,3,5,1,2,3,2,2,3,604
147,"HAYAR S. SCHOOL AYAR R.NO. 1",747,585,0,1332,460,330,0,790,699,0,129,27,380,173,6,5,3,3,3,6,4,0,4,3,9,16,7,1,1,1,2,7,790
148,"HAYAR S. SCHOOL AYAR R.NO. 2",677,617,0,1294,519,426,0,945,641,0,369,13,408,110,6,0,2,2,0,4,1,0,4,5,7,7,4,0,0,1,0,2,945
149,"KANYA P.V. AHIRAULEE",501,413,0,914,356,312,0,668,632,0,59,8,511,64,2,0,0,1,1,3,0,1,1,3,2,5,2,2,1,0,0,2,668
