"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
26,"PRIMARI SCHOOL MOHIUDDINPUR",480,396,0,876,273,217,0,490,490,0,9,125,3,261,1,0,3,5,43,2,1,5,4,2,2,9,3,2,2,5,2,1,490
27,"PRIMARI SCHOOL KHEVARAI",669,580,0,1249,280,243,0,523,81,0,150,85,0,45,1,1,1,10,212,0,1,4,0,1,0,4,1,4,0,2,1,0,523
28,"PRIMARI SCHOOL MATLABPUR",454,403,0,857,230,187,0,417,210,0,4,76,3,270,2,4,1,6,25,1,9,3,1,1,0,4,0,0,2,4,1,0,417
29,"J.H.SCHOOL TIKARA",185,140,0,325,94,76,0,170,170,0,1,12,0,104,0,0,0,1,48,0,0,1,0,2,0,0,0,0,0,1,0,0,170
30,"PRIMARI SCHOOL MUNDA UTTAR",762,535,0,1297,382,225,0,607,131,0,194,76,5,186,3,0,0,2,113,4,1,2,3,3,5,2,1,2,0,0,3,2,607
31,"PRIMARI SCHOOL GURDHARI",534,428,0,962,306,174,0,480,400,0,273,74,3,65,2,1,3,1,35,0,0,0,3,2,2,8,1,2,1,2,2,0,480
32,"PRIMARI SCHOOL ATVAMOHAL OSIYA",444,321,0,765,302,220,0,522,124,0,16,122,4,331,2,5,0,2,20,0,1,3,0,0,1,4,1,1,1,6,2,0,522
33,"J.H.SCHOOL OSIYA PURVA",458,379,0,837,251,190,0,441,440,0,65,73,2,220,1,1,1,4,54,2,1,2,2,0,1,7,0,1,1,0,1,2,441
34,"J.H.SCHOOL EKAL KACCH OSIYA",433,311,0,744,249,144,0,393,393,0,99,7,1,252,1,1,1,0,25,2,0,1,0,0,0,0,0,0,2,1,0,0,393
35,"J.H.SCHOOL OSIYA PASCHIM",482,388,0,870,281,223,0,504,435,0,63,324,0,61,1,0,0,6,11,0,1,1,2,2,4,17,1,1,2,0,1,6,504
36,"PRIMARI SCHOOL OSIYA",367,260,0,627,207,132,0,339,265,0,17,4,2,271,0,0,0,2,20,1,1,5,0,3,3,1,1,3,1,3,0,1,339
37,"PRIMARI SCHOOL RAIYAMAU",561,396,0,957,384,244,0,628,428,0,393,53,6,94,3,0,0,5,55,0,0,5,1,1,1,4,0,3,1,2,1,0,628
38,"PRIMARI SCHOOL MAVAILAL",495,412,0,907,348,328,0,676,436,0,309,74,2,186,4,2,5,2,69,0,2,1,7,1,1,3,1,1,1,1,2,2,676
39,"PRIMARI SCHOOL BRIJPALPUR",427,348,0,775,296,240,0,536,357,0,105,151,0,211,3,2,2,4,43,0,1,2,0,2,1,2,2,0,1,1,2,1,536
40,"PRIMARI SCHOOL MAVAIBHAN",711,543,0,1254,426,274,0,700,672,0,61,63,4,374,6,4,0,7,148,3,0,5,3,2,3,3,1,1,2,4,5,1,700
41,"PRIMARI SCHOOL PIKHI PURVA",935,723,0,1658,449,335,0,784,780,0,189,56,0,62,5,0,1,9,430,0,0,4,0,1,3,4,9,1,3,5,0,2,784
42,"PRIMARI SCHOOL PIKHI PASCHIM",705,557,0,1262,300,299,0,599,593,0,122,5,2,131,0,0,0,5,293,2,0,3,1,2,1,4,10,4,6,4,2,2,599
43,"PRIMARI SCHOOL AJIGAVAN",312,269,0,581,150,141,0,291,221,0,73,97,0,67,1,0,0,2,28,3,1,0,0,0,0,10,2,6,1,0,0,0,291
44,"PRIMARI SCHOOL SALHEYPUR PURWA",408,322,0,730,249,201,0,450,298,0,21,94,1,179,3,0,0,4,118,0,1,1,0,1,4,5,8,0,6,2,0,2,450
45,"PRIMARI SCHOOL DAKAULI",297,238,0,535,129,114,0,243,213,0,46,96,3,59,0,1,1,1,21,2,0,2,0,0,1,5,0,0,2,1,1,1,243
46,"K.G.M.G. INTTER COLLAGE SAFIPUR K.NO.18",721,625,0,1346,317,277,0,594,489,0,23,57,5,399,3,0,1,7,43,4,2,11,5,2,1,7,5,1,6,9,0,3,594
47,"K.G.M.G. INTTER COLLAGE SAFIPUR K.NO.19",310,257,0,567,146,110,0,256,256,0,8,128,1,82,0,0,0,1,19,0,0,0,2,5,1,6,2,1,0,0,0,0,256
48,"K.G.M.G. INTTER COLLAGE SAFIPUR K.NO.16",572,458,0,1030,308,237,0,545,545,0,43,23,5,391,0,0,2,2,56,1,2,3,1,0,1,1,1,0,1,7,3,2,545
49,"K.G.M.G. INTTER COLLAGE SAFIPUR K.NO.7",582,510,0,1092,302,227,0,529,529,0,39,107,4,304,2,1,0,3,45,1,1,3,1,0,1,5,0,1,2,4,2,3,529
50,"VIKASKHAND K.N.SAFIPUR SAHARI PASCHIM",800,685,0,1485,364,360,0,724,424,0,36,67,1,532,0,2,0,2,74,1,0,2,1,0,0,0,1,0,1,4,0,0,724
51,"VIKASKHAND K.N.SAFIPUR SAHARI PURVA",614,548,0,1162,313,284,0,597,485,0,60,11,1,463,0,0,1,1,50,4,1,0,0,0,0,0,1,0,0,1,0,3,597
52,"VIKASKHAND K.N.SAFIPUR SAHARI UTTAR",724,633,0,1357,400,339,0,739,200,0,45,35,1,433,0,0,0,3,197,3,1,1,2,0,1,0,5,3,6,0,0,3,739
53,"ASHUTOSH J.V.H.H.S.SCHOOL K.NO3 SAFIPUR",394,357,1,752,219,171,0,390,376,0,42,5,0,255,0,0,2,2,59,2,0,2,2,1,0,0,3,1,3,2,1,8,390
54,"ASHUTOSH J.V.H.H.S.SCHOOL K.NO3 SAFIPUR",577,461,0,1038,291,194,0,485,470,0,9,17,1,308,2,0,1,4,126,0,1,3,2,0,1,2,1,1,1,3,0,2,485
55,"ASHUTOSH J.V.H.H.S.SCHOOL K.NO1 SAFIPUR",701,613,0,1314,381,314,0,695,645,0,40,18,2,238,0,1,0,3,379,2,0,2,0,3,0,0,0,0,0,2,1,4,695
56,"PRIMARI SCHOOL SAFIPUR SAHARI UTTAR",429,327,0,756,246,193,0,439,21,0,61,24,3,295,1,1,0,0,45,2,0,2,0,0,0,1,0,0,0,4,0,0,439
57,"PRIMARI SCHOOL SAFIPUR SAHARI DAXIN",499,400,0,899,289,201,0,490,490,0,20,37,2,203,2,0,1,4,190,1,1,0,2,1,4,4,5,4,2,2,3,2,490
58,"PRIMARI SCHOOL SAFIPUR PURVA",619,548,0,1167,349,304,0,653,650,0,43,39,3,288,1,0,0,1,262,1,0,1,1,0,0,0,4,1,0,6,1,1,653
59,"PRIMARI SCHOOL DAXIN BARAMDA SAFIPUR SAHARI",364,303,0,667,232,169,0,401,105,0,55,14,2,187,0,1,1,1,133,0,1,0,1,0,1,1,0,0,0,2,1,0,401
60,"PRIMARI SCHOOL A.K.SAFIPUR",698,527,0,1225,322,213,0,535,535,0,43,44,1,82,0,1,0,3,336,8,3,1,0,1,2,1,6,1,0,0,0,2,535
61,"SHANTI S.N. SAFIPUR SAHARI UTTAR",739,579,0,1318,426,276,0,702,701,0,30,41,1,61,1,0,0,8,534,0,0,0,0,1,1,1,13,3,2,1,2,2,702
62,"SHANTI S.N. SAFIPUR SAHARI DAXIN",801,677,0,1478,463,273,0,736,100,0,61,34,0,206,1,0,1,0,403,3,0,2,1,0,1,3,7,5,3,3,0,2,736
63,"NEW PUBLIC SARANG SCHOOL K.NO.1 SAFIPUR SAHARI",611,493,0,1104,322,207,0,529,513,0,75,22,2,97,0,0,0,2,309,2,2,4,1,1,2,3,3,0,1,0,1,2,529
64,"NEW PUBLIC SARANG SCHOOL K.NO.2 SAFIPUR SAHARI",339,261,0,600,138,96,0,234,234,0,11,49,2,39,0,0,0,3,112,2,0,1,1,0,0,6,2,3,0,1,1,1,234
65,"NEW PUBLIC SARANG SCHOOL K.NO.3 SAFIPUR SAHARI",656,536,0,1192,325,231,0,556,111,0,6,25,4,367,2,0,3,6,122,2,0,3,2,0,0,1,2,2,2,4,0,3,556
66,"NAGAR PANCHAYAT S.K. SAFIPUR SAHARI",417,327,0,744,233,140,0,373,265,0,12,46,3,77,0,0,0,6,215,0,0,0,0,1,1,1,4,2,0,1,1,3,373
67,"PRIMARI SCHOOL ROSHAN NAGAR",339,275,0,614,230,137,0,367,367,0,77,14,0,229,1,1,0,4,13,2,1,7,0,4,2,2,2,1,0,3,1,3,367
68,"PRIMARI SCHOOL  MAHMOODPUR",620,545,0,1165,354,242,0,596,400,0,46,100,4,344,2,1,1,2,43,3,0,6,2,9,3,10,7,1,3,1,1,7,596
69,"J.H.SCHOOL MAU MANSOORPUR UTTAR",624,512,0,1136,359,292,0,651,651,0,134,179,1,185,1,1,5,6,109,5,0,3,2,0,1,7,0,2,1,3,1,5,651
70,"J.H.SCHOOL MAU MANSOORPUR DAXID",312,233,0,545,164,118,0,282,13,0,57,51,1,118,1,1,0,11,30,0,1,2,0,0,2,1,2,0,2,0,0,2,282
71,"PRIMARI SCHOOL SHAHNAGAR",463,380,0,843,291,239,0,530,378,0,131,123,0,167,4,1,2,7,81,0,0,2,1,0,3,3,1,0,1,3,0,0,530
72,"PRIMARI SCHOOL CHHOHI",743,611,0,1354,408,319,0,727,727,0,74,329,1,125,5,1,1,8,130,2,1,3,7,3,1,15,7,1,2,3,3,5,727
73,"J.H.SCHOOL DAOLATYARPUR",357,277,0,634,199,126,0,325,150,0,147,10,5,60,1,2,0,1,65,0,0,2,1,0,1,5,7,12,3,0,0,3,325
74,"PRIMARI SCHOOL RAMPUR",234,185,0,419,121,102,0,223,219,0,28,62,1,93,1,1,0,1,18,0,1,2,1,0,0,5,0,0,1,4,3,1,223
75,"PRIMARI SCHOOL RAIPUR",476,358,0,834,316,212,0,528,328,0,198,139,2,77,3,1,0,3,77,1,2,5,0,1,5,5,1,4,1,2,0,1,528
76,"PRIMARI SCHOOL JAMUNIHA KACH",803,604,0,1407,455,353,0,808,103,0,183,170,7,280,7,0,5,15,103,2,1,6,4,1,3,10,2,1,3,2,2,1,808
77,"PRIMARI SCHOOL ROOPPUR CHANDELA",620,438,0,1058,357,254,0,611,611,0,50,59,5,405,3,0,2,6,37,1,0,5,2,3,4,9,4,5,4,5,0,2,611
78,"PRIMARI SCHOOL DADALHA",531,427,0,958,266,217,0,483,327,0,130,70,0,174,2,2,1,5,24,2,7,3,8,2,1,19,1,3,9,7,1,12,483
79,"PRIMARI SCHOOL DADALHA",858,619,0,1477,485,298,0,783,705,0,88,88,6,533,4,2,2,11,25,0,1,8,4,1,3,1,0,2,2,1,0,1,783
80,"PRIMARI SCHOOL KHAIRICHANDELA",253,182,0,435,187,128,0,315,315,0,93,11,1,172,0,0,1,3,27,0,0,1,0,0,0,0,1,0,1,3,1,0,315
81,"J.H.SCHOOL AITBARPUR",438,322,0,760,246,190,0,436,429,0,150,63,10,120,3,0,1,6,52,2,0,5,5,1,6,2,1,2,0,4,1,2,436
82,"PRIMARI SCHOOL SHERPUR M. JAMAL NAGR E.",518,390,0,908,359,237,0,596,525,0,151,26,0,349,2,0,2,3,27,1,1,1,8,2,1,2,1,3,3,1,2,10,596
83,"J.H.SCHOOL IBRAHIMABAD",461,363,0,824,249,197,0,446,445,0,57,81,2,237,0,0,1,2,42,0,0,0,1,1,0,10,0,4,3,0,3,2,446
84,"PRIMARI SCHOOL KATIYAMAU",271,219,0,490,147,108,0,255,205,0,36,80,0,66,1,1,2,0,51,1,0,1,1,2,1,3,1,1,2,3,0,2,255
85,"PRIMARI SCHOOL GHAULI",280,229,0,509,170,130,0,300,229,0,128,53,0,39,3,0,2,2,53,1,0,1,2,0,0,8,2,3,2,0,1,0,300
86,"KANYA PRIMARI SCHOOL SAKAHAN RAJPOOTAN",852,667,0,1519,485,358,0,843,28,0,65,146,3,464,2,1,0,4,100,2,1,6,6,1,2,14,4,4,3,7,3,5,843
87,"BAL PRIMARI SCHOOL SAKAHAN RAJPOOTAN",193,154,0,347,125,92,0,217,208,0,4,16,0,181,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,217
88,"PRIMARI SCHOOL SAKAHAN MUSALMANAN",535,424,0,959,338,285,0,623,623,0,164,92,3,65,4,0,2,5,265,1,0,2,2,2,3,3,1,1,2,2,2,2,623
89,"PRIMARI SCHOOL SHAHADATNAGAR",359,271,0,630,207,147,0,354,354,0,12,52,1,146,2,0,1,3,123,0,1,3,0,0,1,4,1,1,0,0,1,2,354
90,"PRIMARI SCHOOL  DEVGANMAU",573,428,0,1001,260,215,0,475,300,0,14,102,0,237,4,1,3,9,69,3,2,2,1,2,4,11,4,2,3,0,0,2,475
91,"J.H.SCHOOL MIRJAPUR UTTAR",430,378,0,808,210,156,0,366,345,0,103,1,3,239,0,0,0,2,9,0,0,1,0,0,0,1,1,1,1,2,0,2,366
92,"J.H.SCHOOL MIRJAPUR DAXIN",563,438,0,1001,264,203,0,467,417,0,85,61,6,247,2,2,1,5,17,2,8,6,3,4,1,4,1,2,5,0,1,4,467
93,"PRIMARI SCHOOL NYAMATPUR",366,283,0,649,228,185,0,413,413,0,104,18,0,234,1,0,1,2,39,0,1,0,2,1,0,1,2,2,2,0,1,2,413
94,"PRIMARI SCHOOL  SARAI SAKAHAN",544,434,0,978,246,163,0,409,365,0,57,26,4,287,0,0,0,3,20,3,0,0,1,0,0,0,1,0,1,3,0,3,409
95,"PRIMARI SCHOOL SARAI SAKAHAN DAXIN",407,321,0,728,224,153,0,377,57,0,9,113,1,211,2,0,0,2,28,0,0,2,0,0,0,2,1,2,1,1,2,0,377
96,"PRIMARI SCHOOL MURADPUR",425,388,0,813,295,243,0,538,538,0,65,38,5,369,1,1,2,4,29,2,1,5,0,0,3,0,2,2,4,3,1,1,538
97,"PRIMARI SCHOOL K.NO.2 JAMALNAGAR G.E.",513,435,0,948,299,243,0,542,147,0,183,51,3,204,1,0,2,4,62,0,0,6,5,1,2,7,1,5,0,1,2,2,542
98,"PRIMARI SCHOOL A.K. JAMALNAGAR G.E.",438,357,0,795,256,202,0,458,14,0,128,58,1,222,0,1,1,2,19,1,1,6,4,1,0,7,0,1,0,1,1,3,458
99,"PANCHAYAT GHAR JAMALNAGAR G.E.",757,570,0,1327,396,271,0,667,600,0,182,60,6,201,1,2,2,8,158,10,2,7,4,0,1,6,4,3,2,1,4,3,667
100,"PRIMARI SCHOOL SALHEYPUR KHALILNAGAR",408,334,0,742,226,155,0,381,379,0,18,82,1,233,0,0,0,3,23,3,1,6,0,1,3,2,1,1,0,2,1,0,381
101,"PRIMARI SCHOOL HASNAPUR",323,276,0,599,207,147,0,354,300,0,52,71,4,162,1,2,1,4,42,0,1,1,1,0,0,1,5,0,3,1,1,1,354
102,"PRIMARI SCHOOL RAIPUR",398,296,0,694,231,173,0,404,385,0,48,92,3,178,1,0,0,5,58,3,0,2,1,2,0,6,0,1,2,0,1,1,404
103,"PRIMARI SCHOOL PAVA",758,612,0,1370,520,343,0,863,760,0,84,130,3,358,1,3,0,6,231,4,0,8,1,2,1,9,3,7,2,3,1,6,863
104,"PRIMARI SCHOOL ATHA",446,423,0,869,292,237,0,529,307,0,29,29,0,378,6,1,1,6,64,5,2,1,1,0,1,0,1,0,0,1,1,2,529
105,"PRIMARI SCHOOL ATHA",453,380,0,833,231,197,0,428,349,0,8,134,1,144,4,1,3,9,91,1,0,4,4,4,1,10,2,0,0,5,2,0,428
106,"PRIMARI SCHOOL MUSTAFABAD",711,593,0,1304,419,377,0,796,780,0,174,40,2,206,5,2,3,12,313,2,0,5,3,2,5,4,5,2,2,3,4,2,796
107,"PRIMARI SCHOOL FAZILPUR",552,498,0,1050,341,319,0,660,17,0,176,112,2,193,1,0,3,10,120,0,0,4,1,4,0,8,2,7,3,8,3,3,660
108,"PRIMARI SCHOOL BAHAUDDINPUR",447,370,0,817,203,200,0,403,380,0,20,16,1,178,2,0,1,0,166,0,0,1,0,2,0,2,5,3,3,2,0,1,403
109,"J.H.SCHOOL KUSAILA",822,633,0,1455,450,358,0,808,612,0,122,125,1,387,4,3,2,4,115,1,1,4,2,0,1,16,3,6,6,1,1,3,808
110,"J.H.SCHOOL JATPURWA",835,674,0,1509,460,383,0,843,575,0,227,41,4,426,4,3,1,4,91,4,0,5,4,2,3,6,1,3,4,7,0,3,843
111,"PRIMARI SCHOOL NAOBATPUR",513,469,0,982,310,315,0,625,624,0,35,66,5,407,2,0,4,6,60,3,1,5,2,2,1,6,1,3,4,10,2,0,625
112,"PRIMARI SCHOOL SHERPUR KHURD",417,376,0,793,197,211,0,408,362,0,120,127,0,61,5,0,1,5,64,0,1,2,0,0,1,14,1,2,0,2,0,2,408
113,"PRIMARI SCHOOL FATTEPUR",463,421,0,884,294,246,0,540,540,0,40,200,1,89,1,1,0,3,192,2,0,1,1,0,1,5,1,1,1,0,0,0,540
114,"PRIMARI SCHOOL UNVAN",693,490,0,1183,354,220,0,574,500,0,41,133,0,120,1,1,1,5,252,2,2,2,2,1,2,4,0,0,0,2,0,3,574
115,"PRIMARI SCHOOL UNVAN",295,210,0,505,138,98,0,236,220,0,12,3,2,99,1,1,1,3,107,1,1,1,0,0,0,0,1,1,1,0,1,0,236
116,"J.H.SCHOOL UNVAN",704,532,0,1236,389,293,0,682,627,0,39,44,1,119,1,1,0,5,446,3,2,2,1,1,2,2,5,1,1,3,2,1,682
117,"J.H.SCHOOL UNVAN",702,550,0,1252,402,305,0,707,650,0,44,147,5,225,3,0,3,12,242,5,1,4,0,1,5,2,0,0,3,2,2,1,707
118,"PRIMARI SCHOOL NARHARPUR",351,276,0,627,217,161,0,378,330,0,50,89,2,183,2,1,0,1,15,0,1,0,5,0,2,13,1,1,4,6,1,1,378
119,"PRIMARI SCHOOL BELRAVAN",307,311,0,618,187,180,0,367,293,0,40,167,0,42,0,0,0,1,97,1,0,2,1,0,1,6,1,4,1,1,1,1,367
120,"PRIMARI SCHOOL AOJHARPUR",494,368,0,862,288,189,0,477,477,0,81,77,2,178,2,2,1,4,105,5,3,1,3,2,2,5,0,1,0,1,2,0,477
121,"PRIMARI SCHOOL KHOKHAPUR",409,338,0,747,282,208,0,490,390,0,16,62,3,204,1,0,1,5,167,0,2,4,1,3,1,7,7,1,0,2,1,2,490
122,"J.H.SCHOOL BAKHTAORIKHEDA M. FIROJPUR KALA",720,611,0,1331,441,345,0,786,578,0,237,172,1,232,0,1,0,7,107,2,0,4,2,1,0,8,7,3,0,0,2,0,786
123,"PRIMARI SCHOOL BHADNI",325,262,0,587,207,150,0,357,357,0,57,107,0,141,1,0,1,1,39,0,3,0,0,0,0,1,1,0,0,3,2,0,357
124,"PRIMARI SCHOOL METHITIKUR PURVA",496,382,0,878,317,215,0,532,392,0,78,155,3,249,0,1,0,2,30,0,0,2,2,1,1,3,0,0,1,1,0,3,532
125,"PRIMARI SCHOOL METHITIKUR PURVA K.NO.2",404,374,0,778,225,194,0,419,35,0,20,117,1,181,0,0,1,5,60,1,8,3,1,1,1,10,4,0,2,1,0,2,419
126,"PRIMARI SCHOOL METHITIKUR PASCHIM",595,466,0,1061,315,229,0,544,438,0,90,140,2,176,1,0,0,3,111,0,2,0,4,1,1,3,3,2,3,2,0,0,544
127,"PRIMARI SCHOOL METHITIKUR PASCHIM K.NO.3",419,343,0,762,241,170,0,411,321,0,13,44,0,257,1,1,5,2,83,1,0,0,1,0,0,3,0,0,0,0,0,0,411
128,"PANCHAYAT GHAR METHITIKUR",640,529,0,1169,331,231,0,562,500,0,58,138,1,254,1,0,1,7,71,1,0,3,1,2,1,9,2,1,4,1,2,4,562
129,"PRIMARI SCHOOL UMAR",472,374,0,846,278,223,0,501,490,0,59,70,1,195,6,0,1,2,25,1,0,1,6,111,1,9,2,1,2,5,0,3,501
130,"PRIMARI SCHOOL ATVA",671,499,0,1170,420,312,0,732,13,0,40,248,1,376,0,1,0,7,32,3,0,4,1,4,0,10,0,0,2,1,1,1,732
131,"PRIMARI SCHOOL JAMALUDDINPUR",643,546,0,1189,392,333,0,725,600,0,2,101,5,393,4,1,2,11,144,4,1,4,4,16,2,7,3,2,7,3,1,8,725
132,"PRIMARI SCHOOL GOPALPUR",264,201,0,465,154,107,0,261,250,0,8,77,1,120,1,1,2,1,37,1,1,0,0,2,0,5,1,0,0,2,0,1,261
133,"J.H.SCHOOL BAMHANA",760,610,0,1370,390,320,0,710,514,0,178,47,10,371,4,0,3,6,61,1,1,11,1,0,1,2,4,3,2,2,0,2,710
134,"PRIMARI SCHOOL BADADEV UTTAR SALHENAGAR KARAONDI",532,449,0,981,250,201,0,451,349,0,55,40,3,287,0,1,1,0,43,0,3,6,1,2,0,1,2,1,0,3,2,0,451
135,"PRIMARI SCHOOL BADADEV DAXIN SALHENAGAR KARAONDI",515,446,0,961,328,254,0,582,581,0,9,48,6,416,4,1,6,7,46,1,2,9,2,1,4,2,4,0,1,2,5,6,582
136,"PRIMARI SCHOOL MAKHADOOMNAGAR",554,410,0,964,343,242,0,585,5,0,61,95,0,251,1,1,7,13,123,2,1,3,4,0,2,8,2,1,2,1,4,3,585
137,"PRIMARI SCHOOL SALIND",517,451,0,968,312,260,0,572,551,0,67,70,0,159,3,2,0,2,247,1,0,1,0,1,2,3,2,2,0,4,3,3,572
138,"PRIMARI SCHOOL ABDULLAPUR",259,231,0,490,193,175,0,368,285,0,138,8,1,172,1,0,0,0,31,2,0,2,1,0,1,1,0,3,6,1,0,0,368
139,"PRIMARI SCHOOL GAORI",618,519,0,1137,351,276,0,627,448,0,155,119,8,236,3,1,2,11,73,1,0,3,0,0,2,3,1,1,2,4,0,2,627
