"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - VIPNESH","2 - RAVI PRAKASH VERMA","3 - RAMGOPAL MISHRA","4 - AJAY KUMAR","6 - ARVIND GIRI","7 - ZAFAR ALI NAQVI","10 - DINESH KUMAR","11 - KRISHNA ADHIKARI","12 - ASHRAF ALI","14 - ASHOK","16 - RAMESHWARI","17 - None of the Above","Total Votes Secured"
85,"DEVARIYA ALIGANJ",335,313,0,648,306,284,0,590,590,0,8,57,1,25,412,80,0,3,0,1,1,2,590
86,PIPARIYAGANGA,391,337,0,728,276,264,0,540,539,0,4,174,3,150,182,13,0,0,0,0,2,12,540
87,LAKHARANVA,518,440,0,958,356,306,0,662,651,0,14,197,3,127,241,72,2,2,2,0,0,2,662
88,LAKHARANVA,595,522,0,1117,413,345,0,758,758,0,14,241,1,87,310,91,1,0,1,3,1,8,758
89,BAIBAHAMUNNUSINGH,451,395,0,846,374,294,0,668,668,0,5,99,0,264,275,14,2,2,2,0,1,4,668
90,PIPARAKHUDR,609,532,0,1141,449,341,0,790,789,0,8,98,1,178,411,67,4,1,0,2,8,12,790
91,ALIYAPUR,680,613,0,1293,519,395,0,914,910,0,17,254,4,222,300,92,4,5,3,2,6,5,914
92,DHAURAHARAKHUDR,292,278,0,570,235,205,0,440,440,0,4,45,0,74,300,10,2,2,1,2,0,0,440
93,RAMUAPUR,275,259,0,534,219,213,0,432,432,0,3,64,1,182,175,4,0,0,1,0,2,0,432
94,RASULPANAH,743,649,0,1392,570,449,0,1019,1019,0,18,138,2,259,368,211,3,2,5,2,4,7,1019
95,RASULPANAH,363,327,0,690,242,207,0,449,437,0,9,68,0,49,229,87,1,0,0,0,1,5,449
96,MUKARIMAPUR,271,234,0,505,235,212,0,447,435,0,3,19,2,122,251,44,0,1,1,0,2,2,447
97,GOPALAPUR,595,525,0,1120,468,359,0,827,799,0,5,251,0,244,268,46,3,3,2,0,4,1,827
98,GOPALAPUR,263,232,0,495,196,153,0,349,349,0,11,69,2,39,156,63,1,1,2,3,0,2,349
99,SANDA,341,299,0,640,288,205,0,493,487,0,9,157,1,38,163,117,3,1,1,0,1,2,493
100,ROHANIYA,186,180,0,366,172,169,0,341,323,0,3,104,1,59,160,6,2,0,0,0,1,5,341
101,TENDUA,537,507,0,1044,429,383,0,812,812,0,17,143,0,279,180,174,3,2,2,2,1,9,812
102,PACHATAUR,198,189,0,387,156,152,0,308,302,0,0,160,0,9,134,2,1,1,0,1,0,0,308
103,MUSTAFABAD,297,195,0,492,161,152,0,313,308,0,3,120,0,79,91,12,0,0,0,0,2,6,313
104,ALIGANJ,695,606,0,1301,530,476,0,1006,1006,0,6,163,1,245,480,81,9,1,3,4,2,11,1006
105,ALIGANJ,709,663,0,1372,475,427,0,902,849,0,8,120,5,230,391,130,6,3,1,2,2,4,902
106,ALIGANJ,248,191,0,439,150,124,0,274,274,0,3,12,1,29,180,45,0,0,0,1,1,2,274
107,ALIGANJ,783,675,0,1458,567,474,0,1041,1041,0,11,261,6,291,158,271,5,8,5,2,7,16,1041
108,ALIGANJ,145,141,0,286,105,92,0,197,197,0,0,32,0,40,96,27,1,0,1,0,0,0,197
109,BAGHAUDA,794,672,0,1466,553,451,0,1004,1004,0,8,204,5,198,536,30,2,3,2,1,1,14,1004
110,BANSI,567,487,0,1054,431,312,0,743,743,0,6,262,4,92,348,15,2,2,2,2,2,6,743
111,BANSI,358,304,0,662,264,217,0,481,481,0,4,91,1,140,183,52,1,0,1,2,1,5,481
112,ALIGANJ,386,356,0,742,280,220,0,500,500,0,10,174,0,136,112,67,1,0,0,0,0,0,500
113,SAHASAPUR,680,617,0,1297,485,375,0,860,840,0,8,123,0,259,315,125,9,2,7,0,2,10,860
114,SHIVAPURI,638,567,0,1205,371,338,0,709,709,0,17,161,0,172,210,124,5,0,7,1,2,10,709
115,BHADED,847,744,0,1591,575,481,0,1056,1054,0,15,129,2,341,388,159,3,1,0,2,3,13,1056
116,MUDAKHURD,685,536,0,1221,407,505,0,912,912,0,11,173,0,152,419,136,0,2,3,2,5,9,912
117,"MAOLVIGANJ M. MUDAKHURD",253,219,0,472,224,177,0,401,401,0,1,68,0,67,251,6,0,0,1,1,2,4,401
118,"HAMIDABAD M. RAHIMNAGAR GRANT",539,459,0,998,410,306,0,716,716,0,6,83,2,49,496,59,3,0,0,0,4,14,716
119,"HAMIDABAD M. RAHIMNAGAR GRANT",326,307,0,633,223,192,0,415,415,0,2,25,1,174,189,16,0,0,0,2,1,5,415
120,"PIPARHIYA M. FAJALNAGAR GRANT",536,479,0,1015,392,328,0,720,720,0,8,55,1,55,532,42,3,1,1,6,4,12,720
121,"PIPARHIYA M. FAJALNAGAR GRANT",552,462,0,1014,407,333,0,740,729,0,7,38,4,79,558,15,5,2,2,3,11,16,740
122,"PIPARHIYA M. FAJALNAGAR GRANT",799,708,0,1507,512,397,0,909,909,0,12,81,2,221,524,51,8,2,0,0,1,7,909
123,CHHAIRASI,419,380,0,799,369,308,0,677,674,0,8,84,2,25,492,51,4,0,1,0,4,6,677
124,"BANGALI CALONI M. BASLIPUR GRANT",622,579,0,1201,495,392,0,887,884,0,7,378,2,45,378,57,6,0,1,1,2,10,887
125,"BANGALI CALONI .M BASLIPUR GRANT",767,660,0,1427,542,501,0,1043,1043,0,5,453,3,133,358,68,8,1,4,2,3,5,1043
126,BHAITHIYA,811,699,0,1510,602,498,0,1100,1100,0,23,179,3,269,448,141,6,3,2,5,5,16,1100
127,BHAITHIYA,557,487,0,1044,444,356,0,800,800,0,24,139,1,218,205,199,1,0,3,1,4,5,800
128,TAJPUR,366,318,0,684,265,222,0,487,487,0,19,93,1,102,85,164,3,2,3,3,2,10,487
129,LAGUCHA,443,410,0,853,340,265,0,605,605,0,9,190,1,69,175,149,1,2,2,1,2,4,605
130,BHATAPURVA,538,536,0,1074,357,305,0,662,659,0,5,237,2,14,371,25,3,1,0,0,0,4,662
131,"BHVESAR M. CHANDAKUAN",248,213,0,461,174,141,0,315,315,0,5,47,1,95,135,24,1,1,1,1,1,3,315
132,BAHARGANJ,434,361,0,795,317,269,0,586,586,0,8,49,2,195,95,236,0,0,1,0,0,0,586
133,TIHULIYA,449,395,0,844,363,328,0,691,691,0,8,24,3,195,138,312,1,0,0,1,2,7,691
134,ADHAURA,333,266,0,599,250,203,0,453,453,0,13,62,2,104,26,230,0,0,5,3,2,6,453
135,VAJIRNAGAR,511,472,0,983,342,265,0,607,607,0,13,195,1,95,269,16,2,1,2,0,5,8,607
136,VAJIRNAGAR,426,356,0,782,242,171,0,413,413,0,15,98,2,51,144,96,0,1,1,2,1,2,413
137,VAJIRNAGAR,738,604,0,1342,486,306,0,792,792,0,13,214,2,166,250,123,4,2,3,2,2,11,792
138,JALALAPUR,591,504,0,1095,424,363,0,787,787,0,28,40,4,182,139,374,1,1,4,1,3,10,787
139,JALALAPUR,737,630,0,1367,537,405,0,942,942,0,24,112,2,275,254,250,5,1,2,1,4,12,942
140,JALALAPUR,565,504,0,1069,365,282,0,647,647,0,2,59,0,112,433,20,6,0,2,0,4,9,647
141,JALALAPUR,602,497,0,1099,364,220,0,584,584,0,40,38,1,64,193,232,2,1,5,1,2,5,584
142,"MADANPUR M. BHUDAVARA",478,444,0,922,349,251,0,600,600,0,5,105,4,133,318,18,0,2,1,0,5,9,600
143,"MADANPUR M. BHUDAVARA",596,465,0,1061,396,236,0,632,608,0,7,37,1,148,347,72,2,1,0,2,1,14,632
144,BHUDAVARA,774,657,0,1431,420,305,0,725,725,0,16,30,2,10,299,353,1,0,11,0,0,3,725
145,BHUDAVARA,813,672,0,1485,511,308,0,819,812,0,32,138,3,12,240,367,5,5,2,0,4,11,819
146,"KALICHARAN M. JAMAIYTAPUR",824,730,0,1554,650,540,0,1190,1190,0,7,145,11,261,657,56,5,6,1,4,16,21,1190
147,LALHAPUR,678,571,0,1249,463,337,0,800,800,0,4,34,2,246,467,26,3,3,4,2,5,4,800
148,LALHAPUR,814,661,0,1475,467,337,0,804,804,0,8,54,1,146,446,145,0,0,0,1,0,3,804
149,"LAXMADJATI M. LALHAPUR",677,594,0,1271,425,337,0,762,703,0,14,26,3,106,466,112,5,2,4,1,6,17,762
150,"LAXMADJATI M. LALHAPUR",595,533,0,1128,311,220,0,531,526,0,4,25,0,81,245,167,2,0,3,1,2,1,531
151,LALHAPUR,473,415,0,888,252,200,0,452,452,0,8,32,4,101,182,106,3,0,1,1,7,7,452
152,LALHAPUR,670,513,0,1183,329,234,0,563,550,0,5,35,1,165,221,128,2,0,1,0,1,4,563
153,"NPLK.GOLA GOKARNNATH",482,357,0,839,246,182,0,428,428,0,1,15,0,241,146,20,0,0,0,3,0,2,428
154,"NPLK.GOLA GOKARNNATH",536,288,0,824,181,101,0,282,280,0,2,23,0,160,74,15,0,0,1,7,0,0,282
155,"NPLK.GOLA GOKARNNATH",402,283,0,685,209,104,0,313,313,0,1,33,0,143,106,27,0,0,0,1,1,1,313
156,"NPLK.GOLA GOKARNNATH",701,376,1,1078,192,98,0,290,290,0,2,22,0,100,140,23,1,0,0,1,1,0,290
157,"NPLK.GOLA GOKARNNATH",677,560,0,1237,398,320,0,718,718,0,2,61,3,294,271,75,1,2,3,0,1,5,718
158,"NPLK.GOLA GOKARNNATH",812,640,0,1452,572,320,0,892,892,0,3,67,0,499,282,28,0,1,1,1,2,8,892
159,"NPLK.GOLA GOKARNNATH",510,477,0,987,293,247,0,540,540,0,4,37,0,191,237,62,0,3,0,1,2,3,540
160,"NPLK.GOLA GOKARNNATH",455,375,0,830,228,163,0,391,391,0,4,33,0,78,119,152,0,0,0,2,2,1,391
161,"NPLK.GOLA GOKARNNATH",682,609,0,1291,312,251,0,563,563,0,2,34,2,259,223,39,1,0,0,2,0,1,563
162,"NPLK.GOLA GOKARNNATH",500,420,0,920,303,202,0,505,502,0,3,24,1,207,213,46,0,1,1,0,1,8,505
163,"NPLK.GOLA GOKARNNATH",810,759,0,1569,427,345,0,772,772,0,6,42,0,393,291,29,0,0,1,0,4,6,772
164,"NPLK.GOLA GOKARNNATH",643,542,0,1185,374,281,0,655,615,0,3,19,0,280,336,14,0,1,0,0,0,2,655
165,"NPLK.GOLA GOKARNNATH",502,443,0,945,294,232,0,526,524,0,6,38,1,141,177,152,1,2,0,1,2,5,526
166,"NPLK.GOLA GOKARNNATH",435,346,0,781,286,192,0,478,478,0,5,70,0,74,175,148,0,1,0,2,0,3,478
167,"NPLK.GOLA GOKARNNATH",509,469,0,978,298,242,0,540,540,0,7,30,1,105,162,225,0,2,1,1,2,4,540
168,"NPLK.GOLA GOKARNNATH",367,336,0,703,218,160,0,378,378,0,2,43,0,50,115,165,0,0,0,1,1,1,378
169,"NPLK.GOLA GOKARNNATH",620,548,0,1168,332,292,0,624,624,0,8,64,0,281,173,95,0,0,0,1,0,2,624
170,"NPLK.GOLA GOKARNNATH",637,495,0,1132,301,257,0,558,553,0,3,63,0,286,135,62,1,0,1,2,0,5,558
171,"NPLK.GOLA GOKARNNATH",640,565,0,1205,350,267,0,617,601,0,1,41,0,265,259,36,4,1,0,0,4,6,617
172,"NPLK.GOLA GOKARNNATH",409,390,0,799,260,214,0,474,474,0,1,21,0,281,118,46,1,0,1,3,2,0,474
173,"NPLK.GOLA GOKARNNATH",432,396,0,828,257,230,0,487,475,0,1,45,2,291,129,10,0,0,0,1,1,7,487
174,"NPLK.GOLA GOKARNNATH",433,371,0,804,251,218,0,469,457,0,1,27,0,231,186,19,0,0,0,2,0,3,469
175,"NPLK.GOLA GOKARNNATH",423,372,0,795,200,181,0,381,381,0,1,27,0,191,157,3,0,0,0,1,1,0,381
176,"NPLK.GOLA GOKARNNATH",737,658,0,1395,442,357,0,799,778,0,4,53,1,407,280,36,0,0,0,2,4,12,799
177,"NPLK.GOLA GOKARNNATH",454,371,0,825,221,200,0,421,409,0,1,36,0,236,139,7,0,0,0,1,0,1,421
178,"NPLK.GOLA GOKARNNATH",544,487,0,1031,238,213,0,451,438,0,2,81,0,244,100,18,0,1,0,3,1,1,451
179,"NPLK.GOLA GOKARNNATH",393,392,0,785,185,160,0,345,327,0,1,32,0,136,166,7,0,0,0,0,1,2,345
180,"NPLK.GOLA GOKARNNATH",654,567,1,1222,362,278,0,640,629,0,4,69,0,296,236,28,1,1,1,3,1,0,640
181,"NPLK.GOLA GOKARNNATH",633,507,0,1140,352,272,0,624,537,0,1,104,0,314,178,16,0,4,1,0,1,5,624
182,"NPLK.GOLA GOKARNNATH",600,514,0,1114,269,226,0,495,495,0,4,36,0,216,208,28,0,0,0,1,0,2,495
183,"NPLK.GOLA GOKARNNATH",760,603,0,1363,482,333,0,815,815,0,13,36,0,281,245,231,1,0,1,1,2,4,815
