"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
21,"R.D.MEMORIAL PUBLIC INTER COLLEGE MOHAN ROAD ALAMNAGAR LUCKNOW ROOM NO-3",849,665,0,1514,386,279,0,665,612,0,46,101,364,131,6,0,0,0,1,0,0,1,1,0,0,4,3,0,1,0,0,0,3,0,2,0,0,0,0,1,665
22,"R.D.MEMORIAL PUBLIC INTER COLLEGE MOHAN ROAD ALAMNAGAR LUCKNOW ROOM NO-4",522,388,0,910,196,109,0,305,281,0,11,58,201,23,4,1,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,305
23,"R.D.MEMORIAL PUBLIC INTER COLLEGE MOHAN ROAD ALAMNAGAR LUCKNOW ROOM NO-5",574,443,0,1017,214,148,0,362,333,0,16,74,212,39,2,1,0,0,0,0,0,0,4,0,0,2,1,1,0,0,0,0,2,0,0,0,1,2,3,2,362
24,"DESHBHARTI PUBLIC INTER COLLEGE NEAR JAVED MARKET ALAMNAGAR CROSSING MOHAN ROAD LUCKNOW ROOM NO-1",949,665,0,1614,388,212,0,600,552,0,25,58,388,98,3,3,0,0,0,0,0,1,1,1,0,2,1,4,0,0,3,0,0,0,1,1,0,4,1,5,600
25,"DESHBHARTI PUBLIC INTER COLLEGE NEAR JAVED MARKET ALAMNAGAR CROSSING MOHAN ROAD LUCKNOW ROOM NO-2",1000,715,0,1715,435,254,0,689,634,0,32,109,435,85,10,1,0,1,1,1,1,1,0,3,3,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,689
26,"DESHBHARTI PUBLIC INTER COLLEGE NEAR JAVED MARKET ALAMNAGAR CROSSING MOHAN ROAD LUCKNOW ROOM NO-3",1005,753,0,1758,456,338,0,794,731,0,40,113,489,101,11,2,0,0,0,0,3,3,9,0,0,1,2,2,0,0,2,0,4,3,1,2,1,0,2,3,794
27,"S.S.HAYER SECONDARY SCHOOL RING ROAD MALHPUR ROOM NO-1",884,640,0,1524,448,283,0,731,673,0,41,61,444,141,25,0,2,0,0,0,0,0,3,1,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,3,731
28,"S.S.HAYER SECONDARY SCHOOL RING ROAD MALHPUR ROOM NO-2",754,587,0,1341,373,287,0,660,607,0,83,30,409,103,6,3,6,0,0,1,0,1,0,4,1,1,2,0,2,1,0,0,0,0,0,1,0,0,2,4,660
29,"PRIMARY SCHOOL PAKKABAGH MALHPUR ROOM NO-1",689,496,5,1190,347,251,0,598,550,0,18,39,188,268,60,0,0,0,1,0,0,0,0,4,0,4,1,0,4,0,1,1,1,2,0,0,0,4,0,2,598
30,"MAA BHAWATI VIDHYA MANDIR PUBLIC SCHOOL PARA ROOM NO-1",828,695,0,1523,521,390,0,911,838,0,31,200,478,147,25,3,2,0,0,0,1,1,0,1,1,2,2,2,2,1,0,1,1,2,0,0,4,0,0,4,911
