"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANJU BALA","2 - ASHOK KUMAR RAWAT","3 - OM PRAKASH","4 - JAI PRAKASH","5 - KANEDI","6 - NAGPAL","7 - MANSHARAM GAUTAM","8 - RAJESH KUMAR S/O PARMESHWAR DEEN","9 - HARINAM","10 - RAJESH KUMAR S/O BABOORAM","11 - RAMPAL","12 - SHABNUM","13 - SWADESH KUMAR","14 - HANS MUKHI KATHERIA","15 - None of the Above","Total Votes Secured"
34,"P.S R.N1RAGUNATHPUR H/OPAIDAPUR",727,628,0,1355,432,385,0,817,817,0,291,477,12,15,0,0,0,0,0,2,3,0,2,6,9,817
35,"P.S R.N1BARSANDHIYA",524,410,0,934,396,277,0,673,673,0,157,435,12,51,0,1,0,0,0,0,1,0,3,12,1,673
36,"P.S R.N1 SADILA",598,461,0,1059,403,285,0,688,658,0,310,302,28,25,3,0,0,0,1,0,1,2,2,8,6,688
37,"P.S R.N 2 SADILA",510,399,0,909,319,201,0,520,519,0,190,217,14,81,1,1,3,2,0,1,1,2,0,5,2,520
38,"P.S R.N1 BEHAT BIRAM",644,515,0,1159,403,303,0,706,705,0,502,122,32,30,5,0,0,0,1,0,0,0,2,5,7,706
39,"P.S R.N2 BEHAT BIRAM",531,428,0,959,275,208,0,483,482,0,125,270,37,32,0,0,0,1,1,0,2,3,2,3,7,483
40,"P.S R.N1 RAJPUR KHARG",465,363,0,828,238,190,0,428,422,0,111,261,13,31,1,0,0,0,0,2,2,1,1,3,2,428
41,"P.S R.N1 ADILPUR",331,264,1,596,165,178,0,343,343,0,48,222,24,37,0,0,0,0,0,0,1,2,0,7,2,343
42,"J.H.S BADRAWA WEST",636,495,0,1131,416,262,0,678,677,0,300,213,8,125,3,1,1,3,2,0,2,0,2,3,15,678
43,"J.H.S BADRAWA CENTRAL",472,344,0,816,255,140,0,395,391,0,108,186,2,92,2,1,0,0,0,0,1,0,0,2,1,395
44,"P.S MUSAOLI H/O BADRAVA",515,419,0,934,339,261,0,600,600,0,281,199,13,89,1,0,0,2,0,0,3,0,1,9,2,600
45,"P.S R.NO1 KESRA",394,325,0,719,258,171,0,429,429,0,201,89,15,111,3,0,0,1,0,0,0,2,2,2,3,429
46,"P.S R.NO2 KESRA",244,191,0,435,142,95,0,237,237,0,98,81,4,49,1,0,0,0,0,1,0,0,0,3,0,237
47,"P.S R.NO1SHAPUR",237,184,0,421,145,102,0,247,246,0,135,78,6,2,0,2,1,1,0,0,1,0,4,1,16,247
48,"P.S R.NO1 BAHADURPUR H/ORAJEPARA",846,677,0,1523,551,419,0,970,965,0,365,375,30,142,9,0,3,6,3,0,5,1,2,10,19,970
49,"P.S R.NO2 RAJEPARA",918,731,0,1649,568,389,0,957,957,0,459,274,31,166,1,1,1,1,0,3,5,0,0,8,7,957
50,"P.S R.NO1MIRZAPUR NORTH",688,613,0,1301,449,347,0,796,795,0,298,352,25,90,3,0,1,0,2,2,3,1,3,7,9,796
51,"P.S R.NO1BARCHANDPUR",333,262,0,595,253,196,0,449,350,0,211,179,22,22,0,0,0,3,3,0,2,0,2,0,5,449
52,"SHANKUL BHAWAN MACHRETA EAST",739,583,1,1323,384,295,0,679,650,0,160,401,25,71,4,0,0,2,0,0,0,0,2,8,6,679
53,"SHANKUL BHAWAN MACHRETA WEST",442,347,0,789,213,176,0,389,389,0,183,125,10,55,2,0,0,1,0,1,1,0,1,4,6,389
54,"J.H.S R.NO 7 MACHRETA",684,648,0,1332,337,251,0,588,583,0,79,250,66,172,3,0,0,1,0,1,2,0,3,6,5,588
55,"J.H.S R.NO 6 MACHRETA",621,505,0,1126,300,193,0,493,493,0,160,119,55,147,4,0,1,0,1,0,0,0,2,1,3,493
56,"NAVIN GIRLS J.H.S R.N 1 KUNDAULI",486,412,0,898,443,381,0,824,824,0,38,24,5,735,8,2,0,0,2,0,2,2,0,2,4,824
57,"NAVIN GIRLS J.H.S R.N 2 KUNDAULI",400,341,0,741,327,272,0,599,316,0,49,44,5,470,12,2,0,0,2,2,0,6,3,1,3,599
58,"GIRLS J.H.S MACHRETA",417,376,0,793,228,190,0,418,418,0,158,127,11,111,2,0,1,1,0,1,0,1,1,1,3,418
59,"GIRLS J.H.S MACHRETA SOUTH",749,564,0,1313,388,306,0,694,694,0,159,105,17,379,6,1,0,2,2,2,2,4,3,2,10,694
60,"P.S R.NO1PERIYAKODAR",683,572,1,1256,505,399,0,904,903,0,275,222,7,372,4,0,0,1,1,1,2,6,3,2,8,904
61,"P.S R.NO1MAMUPUR",404,328,0,732,295,220,0,515,515,0,44,327,26,97,4,0,0,1,2,4,2,3,1,2,2,515
62,"P.S R.NO1 FATEHNAGAR",669,545,0,1214,325,224,0,549,549,0,308,193,11,25,0,0,1,1,1,0,2,1,2,3,1,549
63,"P.S WEST FATEHNAGAR",638,517,0,1155,352,240,0,592,589,0,101,317,26,135,0,0,0,1,0,1,2,0,0,3,6,592
64,"P.S DEWAL KE SHARE FATEHNAGAR",700,560,0,1260,415,206,0,621,621,0,131,330,20,114,2,0,1,0,1,0,6,1,0,8,7,621
65,"P.SJAJPUR H/O BELANDAPUR",683,554,0,1237,446,316,0,762,762,0,211,281,18,235,3,1,0,2,1,0,1,0,1,5,3,762
66,"P.S JATPURWA",524,464,0,988,358,241,0,599,580,0,161,171,15,229,3,0,0,0,2,2,3,2,2,5,4,599
67,"SEED STORE KUNHETA LACHIPUR",728,625,0,1353,480,358,0,838,805,0,341,241,41,175,5,1,0,1,3,2,4,3,3,10,8,838
68,"P.S R.NO1DUGRA",766,572,0,1338,385,242,0,627,627,0,220,257,30,82,1,1,0,2,0,3,5,0,5,6,15,627
69,"P.S R.NO1RAJPUR PRATAP",404,322,0,726,256,194,0,450,450,0,93,242,36,67,1,0,2,2,0,0,0,2,0,4,1,450
70,"P.S. R.NO-1 SIKANDARPUR",495,350,1,846,296,165,0,461,461,0,116,139,19,162,7,0,0,0,1,0,2,1,2,6,6,461
71,"P.S. R.NO-2 SIKANDARPUR",416,353,0,769,264,183,0,447,445,0,188,172,15,57,3,0,0,0,0,2,1,2,1,5,1,447
72,"P.S R.NO2RAJAGOWN",267,212,0,479,201,145,0,346,346,0,59,77,4,195,3,0,1,0,0,0,2,1,0,2,2,346
73,"P.S UMRAPUR",331,252,0,583,291,207,0,498,498,0,66,29,6,394,0,0,0,0,0,1,0,1,0,0,1,498
74,"P.S RAMNAGAR H/O UMRAPUR",315,241,0,556,256,204,0,460,458,0,129,211,7,101,0,0,0,0,0,0,1,4,1,6,0,460
75,"P.S. R.NO-1 SEANPUR",487,399,0,886,325,237,0,562,562,0,158,251,12,118,0,0,1,0,0,0,1,3,4,6,8,562
76,"P.S. R.NO-2 SENPUR",500,395,0,895,302,188,0,490,490,0,106,90,13,250,3,1,0,2,1,1,3,1,1,4,14,490
77,"SEED STORE SEANPUR",524,354,0,878,283,146,0,429,429,0,59,237,20,91,1,0,2,2,1,0,3,0,2,9,2,429
78,"J.H.S R.NO 1 MIRCHUDI",817,701,0,1518,512,427,0,939,939,0,312,360,36,185,1,3,4,2,1,2,6,1,8,10,8,939
79,"J.H.S R.NO 2 MIRCHUDI",207,144,0,351,143,94,0,237,237,0,52,89,8,75,2,0,1,1,1,0,1,2,0,2,3,237
80,"P.S DHARHATI H/O MIRCHUDI",538,494,0,1032,390,281,0,671,671,0,127,287,22,211,6,1,1,1,1,0,3,1,0,7,3,671
81,"P.S GHARI",812,679,0,1491,491,362,0,853,852,0,185,511,19,109,3,2,0,1,0,0,2,1,0,6,14,853
82,"P.S.SURJANPUR H/O FATTEPUR NORTH",530,411,0,941,273,153,0,426,425,0,6,138,15,249,0,2,0,0,0,1,1,2,2,5,5,426
83,"PANCHAYAT GHAR R.NO1ASHOKPUR H/O FATTEPUR",505,394,1,900,269,182,0,451,441,0,235,126,57,26,0,0,0,0,1,0,0,0,0,3,3,451
84,"PANCHAYAT GHAR R.NO2ASHOKPUR H/O FATTEPUR",615,456,0,1071,333,163,0,496,495,0,153,133,12,178,2,1,0,1,2,0,0,4,1,2,7,496
85,"SADHAN SAIKARI SEMITI R.NO.1HARIPALPUR",752,600,0,1352,536,380,0,916,916,0,281,376,21,200,2,0,1,1,0,1,4,6,3,8,12,916
86,"P.S GHUSAULI H/O NEVADAKALA",485,388,0,873,317,231,0,548,548,0,173,270,13,73,1,0,0,1,1,1,1,1,3,9,1,548
87,"P.S. R.NO-1BETHORA",866,685,0,1551,626,335,0,961,961,0,480,286,16,106,3,0,0,5,5,6,8,6,9,13,18,961
88,"GIRLS P.S. R.NO1-BETHOURA",877,707,0,1584,490,456,0,946,943,0,268,325,49,255,3,1,0,5,5,2,3,2,6,9,13,946
89,"P.S. PAHARPUR",775,600,0,1375,497,350,0,847,845,0,183,288,113,238,3,1,1,0,0,2,1,2,2,3,10,847
90,"P.S. BIJWAMAU",561,444,0,1005,374,275,0,649,649,0,218,320,10,66,2,2,2,1,3,4,3,3,3,8,4,649
91,"P.S. GHARI H/O BIJWAMAU",282,231,0,513,169,151,0,320,320,0,140,59,8,97,3,0,0,1,0,0,0,0,1,4,7,320
92,"P.S. KUNDRAULI H/O LALPUR",227,219,0,446,170,129,0,299,298,0,16,41,5,229,1,0,0,0,1,0,0,1,0,2,3,299
93,P.S.LALPUR,360,322,0,682,226,204,0,430,430,0,77,195,14,129,2,0,1,2,0,1,1,0,0,4,4,430
94,"P.S.EAST BANYAMAU",674,511,1,1186,367,228,0,595,592,0,147,110,11,295,7,2,2,1,0,1,3,2,1,9,4,595
95,"P.S.WEST BANYAMAU",729,597,0,1326,427,296,0,723,723,0,209,290,10,197,6,0,1,0,1,2,2,0,1,0,4,723
96,"P.S ETOUWA",444,372,0,816,300,290,0,590,590,0,81,268,11,208,4,2,0,3,0,1,1,1,2,4,4,590
97,"P.S.GULRIHA H/O SIRSENDI",465,373,0,838,279,228,0,507,507,0,258,219,5,9,0,1,1,0,0,0,1,0,1,5,7,507
98,"P.S.BHATELIYA H/O SIRSENDI",257,251,0,508,178,150,0,328,328,0,32,97,3,184,2,2,0,0,0,0,1,1,0,2,4,328
99,"P.S. R.NO-2 SIRSENDI",449,343,0,792,322,186,0,508,506,0,37,238,10,203,0,0,0,0,1,1,2,0,1,8,7,508
100,"P.S. R.NO-1 GANDHIRIYA",765,631,0,1396,470,347,0,817,816,0,363,290,42,103,2,2,0,1,0,1,2,0,0,7,4,817
101,"KANYA P.S. LALPUR H/O BHELAWAN R.N 1",425,335,0,760,290,202,0,492,492,0,156,251,15,53,0,1,1,0,3,1,0,1,2,4,4,492
102,"KANYA P.S. LALPUR H/O BHELAWAN R.N 2",447,361,0,808,297,226,0,523,522,0,99,318,11,75,2,1,0,2,0,0,0,0,1,7,7,523
103,"P.S. RAMPUR H/O MIZAPUR SOUTH",527,450,0,977,356,282,0,638,636,0,211,257,38,110,0,2,2,2,2,1,1,2,3,4,3,638
104,"J.H.S RASULAVA H/O MADUVAPUR",412,346,0,758,253,146,0,399,398,0,85,186,25,79,3,1,0,3,3,0,3,3,1,4,3,399
105,"P.S MADUVAPUR WEST",680,521,0,1201,453,323,0,776,776,0,373,194,96,83,2,2,1,2,0,2,2,2,1,7,9,776
106,"P.S. R.NO-2LOHANGPUR",644,533,0,1177,393,288,0,681,680,0,293,178,22,160,2,2,3,3,3,0,2,2,1,6,4,681
107,"P.S.SARAIYA H/O LOHANGPUR",272,211,0,483,189,136,0,325,324,0,83,189,10,29,2,0,0,1,0,3,1,1,0,2,4,325
108,"P.S. R.NO-1 DHAVARPARA",557,450,0,1007,368,208,0,576,576,0,210,112,19,218,2,1,0,0,1,0,2,1,1,5,4,576
109,"P.S. R.NO-2 DHAVARPARA",162,113,0,275,105,49,0,154,154,0,14,24,5,108,1,0,0,1,0,0,0,0,0,1,0,154
110,P.S.SEKANDARPUR,235,200,0,435,165,146,0,311,311,0,140,104,43,7,0,2,0,0,0,1,1,2,1,3,7,311
111,"P.S. R.NO-1 GONDA",487,446,0,933,361,312,0,673,673,0,93,468,33,61,4,0,0,1,1,0,3,0,0,5,4,673
112,"P.S. R.NO-2 GONDA",393,309,0,702,267,153,0,420,420,0,131,242,14,28,0,0,0,0,1,0,0,0,1,3,0,420
113,"P.S. HARIHARPUR",235,223,0,458,200,160,0,360,360,0,94,110,11,135,0,1,0,1,1,2,2,1,0,2,0,360
114,"J.H.S LAULI",508,447,0,955,334,275,0,609,609,0,149,271,14,136,2,0,1,2,2,3,2,2,0,16,9,609
115,"P.S. PURAINE",293,276,0,569,204,183,0,387,385,0,142,36,23,180,0,2,0,1,1,0,0,0,1,0,1,387
116,P.S.KAKORI,499,431,0,930,358,214,0,572,572,0,309,154,8,75,2,0,0,0,0,0,1,1,1,10,11,572
117,"GIRLS P.S.R.NO.1 UTTER THOK",600,526,0,1126,402,324,0,726,725,0,270,298,44,72,2,0,1,3,4,1,5,4,4,9,9,726
118,"GIRLS P.S.R.NO.2 UTTER THOK",629,508,0,1137,392,256,0,648,648,0,182,309,18,111,3,0,0,0,1,0,3,2,4,9,6,648
119,P.S.R.NO1ANOGI,612,493,0,1105,475,329,0,804,802,0,63,77,10,636,5,0,0,1,0,3,2,1,0,2,4,804
120,"P.S. R.NO.2 ANOGI",611,509,0,1120,490,293,0,783,782,0,123,83,6,555,2,0,2,0,0,0,1,1,1,3,6,783
121,"VIKAS KHAND EAST SADNA",555,463,0,1018,395,300,0,695,695,0,273,138,35,232,3,1,0,0,2,0,2,2,0,1,6,695
122,"VIKAS KHAND KA.SADNA",512,441,0,953,348,287,0,635,634,0,282,216,18,113,1,0,0,0,0,0,0,1,0,0,4,635
123,"VIKAS KHANDCINTRAL SADNA",351,302,0,653,242,200,0,442,442,0,182,99,14,124,0,0,2,1,0,2,1,4,1,7,5,442
124,P.S.SARVA,419,343,0,762,265,292,0,557,557,0,346,140,7,45,1,0,1,1,0,1,0,2,3,7,3,557
125,"P.S. GRISWALGRANT",395,326,0,721,238,175,0,413,383,0,122,89,6,98,80,0,2,0,0,0,5,0,3,4,4,413
126,"P.S. GANGAPUR",563,408,0,971,346,227,0,573,572,0,113,273,27,130,5,0,1,1,2,0,2,4,3,8,4,573
127,"P.S. KARSENDA",448,332,0,780,284,178,0,462,435,0,216,84,8,138,3,0,1,2,0,1,0,0,3,1,5,462
128,"P.S. GOPALPUR",500,435,0,935,359,265,0,624,608,0,276,155,11,160,4,1,0,1,0,1,0,2,3,5,5,624
129,"NAVIN P.S. SAROSA",575,461,0,1036,368,282,0,650,647,0,262,203,21,128,3,2,2,1,2,2,4,2,5,5,8,650
130,"NAVIN P.S. SAROSA",608,474,0,1082,387,265,0,652,649,0,139,268,50,168,3,0,2,1,0,2,3,1,4,4,7,652
131,"P.S UDAYEEPUR",738,588,0,1326,546,396,0,942,942,0,195,271,34,415,1,0,3,1,1,1,3,1,4,8,4,942
132,"P.S LODH KEHRVA H/O KUSAOLI",390,342,0,732,296,235,0,531,531,0,251,106,13,139,2,0,0,0,1,0,2,1,4,5,7,531
133,"P.S NIMAMATPUR H/O KUSAOLI",387,327,0,714,204,275,0,479,479,0,134,296,10,31,0,0,0,1,1,0,2,0,0,3,1,479
134,"P.S. R.NO.1 ABAGHAT",601,527,0,1128,476,374,0,850,755,0,294,79,27,430,4,2,1,0,1,0,0,4,1,3,4,850
135,"P.S.R.NO.2 ABAGHAT",725,568,1,1294,484,289,0,773,773,0,67,333,12,343,1,0,0,0,1,0,1,1,3,5,6,773
136,"P.S. GWALI",569,489,0,1058,399,301,0,700,700,0,137,294,14,215,1,0,0,1,0,1,5,5,3,14,10,700
137,"P.S. KUMAUN GRANT",341,274,0,615,275,218,0,493,493,0,13,151,12,299,0,0,0,1,1,1,1,5,4,3,2,493
138,"P.S. SURAJPUR",840,667,0,1507,630,363,0,993,993,0,134,394,41,373,10,2,0,1,1,2,4,3,5,15,8,993
139,"P.S.R.NO.1 AMTAMAU",643,533,0,1176,398,309,0,707,706,0,144,237,25,272,2,2,1,3,1,0,3,1,5,8,3,707
140,"P.S.R.NO.2 MTAMAU",538,443,0,981,343,261,0,604,604,0,147,290,28,112,5,1,0,0,0,0,1,3,3,6,8,604
141,"P.S. UDAIPUR WEST",536,440,0,976,396,299,0,695,695,0,204,362,33,66,0,0,0,0,0,0,3,1,0,12,14,695
142,P.S.RAUSINGHPUR,677,537,1,1215,409,302,0,711,711,0,286,227,20,166,2,0,1,0,0,1,2,2,0,1,3,711
143,"P.S. UTTARDHAUNA",631,563,0,1194,466,348,0,814,814,0,153,507,19,111,5,1,0,0,0,0,4,4,3,5,2,814
144,"P.S. R.NO.1 TARSAWAN",701,552,0,1253,471,313,0,784,776,0,170,359,19,211,4,0,0,0,1,1,0,4,2,8,5,784
145,"P.S. R.NO.2 TARSAWAN",623,486,0,1109,341,244,0,585,585,0,131,275,13,155,1,0,0,1,0,0,0,0,1,4,4,585
146,"P.S. BIJNAGRANT",843,677,0,1520,508,377,0,885,885,0,368,337,11,145,3,1,0,2,2,0,1,2,0,6,7,885
147,"P.S. HAJIPUR",646,540,0,1186,495,394,0,889,889,0,146,521,16,185,1,2,0,2,1,0,0,0,5,3,7,889
148,"P.S.R.NO.1 JARIGAWAN",522,426,0,948,358,276,0,634,634,0,171,282,119,30,0,0,1,0,2,2,4,3,6,7,7,634
149,"P.S.R.NO.2 JARIGAWAN",570,473,0,1043,345,261,0,606,604,0,228,280,20,51,1,1,0,1,1,1,3,1,2,8,8,606
150,"P.S. KALLI",840,697,0,1537,601,450,0,1051,1020,0,337,448,23,211,4,1,1,1,1,0,3,1,1,9,10,1051
151,"P.S. DENGARA",565,464,0,1029,359,318,0,677,675,0,176,350,44,80,0,0,0,1,0,1,6,3,4,6,6,677
152,"P.S. LOKNAPUR",238,199,0,437,160,128,0,288,288,0,59,168,6,41,0,0,0,0,0,0,3,0,0,4,7,288
153,"P.S. RAGHUNATHPUR ENI",596,493,0,1089,423,347,0,770,770,0,202,404,13,93,2,4,1,4,1,2,3,4,5,22,10,770
154,"INTER COLLEGE MAHARSHI PARASHURAM MARELI",764,629,0,1393,559,437,0,996,996,0,286,398,19,256,5,2,1,0,1,1,5,3,5,5,9,996
155,"P.S. KARKHILA",785,672,0,1457,514,383,0,897,892,0,438,292,4,144,3,0,1,0,3,1,3,0,2,5,1,897
156,"P.S. PARASPUR",627,503,0,1130,397,318,0,715,713,0,229,276,18,153,3,0,3,5,1,1,2,3,1,8,12,715
157,"K.J.H.S. AURANGABAD",879,631,0,1510,466,302,0,768,767,0,202,477,19,35,0,1,1,1,0,1,1,1,2,15,12,768
158,"P.S. MEERAPUR",510,433,0,943,394,294,0,688,688,0,90,564,1,2,14,0,0,1,1,0,1,0,1,10,3,688
159,"P.S. HEERAPUR",634,490,0,1124,387,299,0,686,683,0,54,524,4,81,1,1,2,0,1,0,2,0,0,13,3,686
160,"P.S.R.NO.1 AURANGABAD",720,565,0,1285,428,298,0,726,723,0,164,417,15,103,1,0,1,0,0,1,1,5,1,5,12,726
161,"P.S.R.NO.2 AURANGABAD",651,522,0,1173,418,290,0,708,708,0,304,272,42,62,2,1,0,0,0,1,2,2,4,6,10,708
162,"J.H.S.R.NO.1 AURANGABAD",686,558,0,1244,376,276,0,652,652,0,261,177,39,159,3,0,0,0,0,0,4,1,1,2,5,652
163,"J.H.S.R.NO.2 AURANGABAD",744,574,0,1318,394,244,0,638,637,0,12,296,51,256,4,1,0,0,0,0,3,1,2,3,9,638
164,"J.H.S. DAHELRA",448,356,0,804,310,232,0,542,542,0,207,135,37,153,2,1,0,1,0,0,1,1,0,4,0,542
165,"P.S. SADDEKPUR HO DAHELRA",508,376,0,884,330,229,0,559,556,0,180,171,10,179,2,0,1,1,1,1,1,1,2,8,1,559
166,"P.S.R.NO.1 BRAMHAULI HO KARUAMAU",530,447,0,977,380,236,0,616,616,0,246,259,10,88,0,1,0,0,0,0,0,0,1,7,4,616
167,"P.S.R.NO.2 BRAMHAVALI HO KARUAMAU",725,520,0,1245,430,277,0,707,707,0,203,193,39,243,2,0,0,0,1,1,0,3,3,6,13,707
168,"P.S.SIDHAULI HO ASHRAFPUR",738,638,0,1376,462,362,0,824,824,0,272,460,30,32,0,0,1,1,4,3,1,0,2,12,6,824
169,"P.S. KUNERA ROOM NO. 1",490,434,0,924,320,240,0,560,560,0,145,280,11,115,0,1,0,0,0,1,0,0,1,6,0,560
170,"P.S. KUNERA ROOM NO. 2",446,372,0,818,348,77,0,425,425,0,113,200,14,78,1,0,0,1,0,0,0,5,5,5,3,425
171,"P.S. BHAUPUR",577,477,1,1055,361,249,0,610,610,0,230,239,26,86,5,0,0,0,0,1,4,2,3,7,7,610
172,"P.S, NAGWAPENDI",256,223,0,479,137,129,0,266,266,0,75,94,31,57,2,0,0,2,0,0,1,0,2,1,1,266
173,"P.S. NATWALGRANT",393,317,0,710,265,191,0,456,456,0,230,130,11,47,6,0,0,1,0,2,0,1,8,8,12,456
174,"J.H.S NAGWA JAIRAM",853,715,0,1568,618,493,0,1111,1091,0,404,532,25,80,2,3,1,2,4,0,5,2,4,28,19,1111
175,"P.S. SAMSAPUR",443,364,0,807,288,200,0,488,483,0,212,166,7,75,0,0,0,0,19,2,0,0,0,3,4,488
176,"P.S. GHATAMAPUR H/O SAMSAPUR",555,417,0,972,355,260,0,615,615,0,175,234,1,178,1,0,0,1,3,1,0,2,1,10,8,615
177,"P.S. TENDUVA HO RAGHUNATHPUR",683,549,0,1232,479,319,0,798,793,0,290,174,14,296,5,0,1,0,2,0,2,0,5,7,2,798
178,P.S.KHEWTA,675,519,0,1194,451,311,0,762,762,0,209,121,19,398,4,0,0,0,3,1,0,1,0,3,3,762
179,"P.S.R.NO.1 GAURIYA HO PANAH NAGAR",516,403,0,919,333,255,0,588,583,0,37,329,14,190,1,1,0,0,1,0,2,2,1,6,4,588
180,"P.S.R.NO.2GAURIYA HO PANAH NAGAR",530,395,0,925,284,164,0,448,448,0,84,301,11,37,1,0,1,1,1,0,0,0,2,3,6,448
181,"P.S. RAMSHALA",653,521,0,1174,410,278,0,688,688,0,317,261,14,56,6,1,1,2,2,2,5,1,2,9,9,688
