"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
45,"PUR.MAD.VID.MIDHAKUR R.NO-2 EAST PART",290,233,0,523,193,159,0,352,352,0,9,128,1,197,0,0,1,0,1,1,0,0,2,0,3,0,1,0,1,0,0,0,0,1,0,0,2,3,1,352
46,"PUR.MAD.VID.MIDHAKUR R.NO-2 WAST PART",458,374,0,832,333,251,0,584,577,0,33,486,17,30,1,0,0,1,1,0,1,0,1,1,4,1,0,3,0,0,1,0,0,0,0,0,1,0,2,584
47,"PUR.MAD.VID.MIDHAKUR R.NO-4 WAST PART",510,385,0,895,341,252,0,593,593,0,22,284,34,211,3,2,1,1,2,0,0,1,2,6,2,7,1,2,1,2,0,0,2,2,0,1,3,0,1,593
48,"JANTA INTER COLLAGE MIDHAKUR R.NO.-1",561,364,0,925,258,102,0,360,200,0,31,19,49,195,0,1,1,0,0,0,44,2,6,1,1,2,0,0,1,4,0,0,0,0,2,1,0,0,0,360
49,"JANTA INTER COLLAGE MIDHAKUR R.NO.-2",500,357,0,857,235,130,0,365,361,0,26,117,26,148,3,0,1,0,0,0,35,1,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,365
50,"JANTA INTER COLLAGE MIDHAKUR R.NO.-3",554,404,0,958,299,219,0,518,131,0,33,289,32,129,0,0,1,1,0,0,8,1,2,0,3,2,5,1,1,2,1,1,0,1,0,2,1,0,2,518
51,"JANTA INTER COLLAGE MIDHAKUR R.NO.-4",604,433,0,1037,373,253,0,626,126,0,16,342,24,194,2,0,1,1,1,0,13,1,3,2,1,2,1,5,3,5,0,1,1,1,1,0,2,0,3,626
52,PRA.VID.NANPUR,519,369,0,888,437,299,0,736,18,0,12,395,2,307,0,0,0,1,1,0,3,2,0,0,1,4,0,2,1,0,0,1,0,0,0,0,1,1,2,736
53,"PRA.VID.SAHARA R.NO.-1",526,442,0,968,356,262,0,618,99,0,9,508,15,57,1,0,1,2,0,0,0,0,4,4,0,1,0,2,1,0,0,0,0,1,1,0,6,1,4,618
54,"PRA.VID.SAHARA R.NO.-2",742,586,1,1329,520,343,0,863,860,0,108,674,10,57,3,0,0,1,1,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,1,1,0,0,863
55,"P.S.SAHARA -2",597,526,0,1123,397,272,0,669,665,0,12,419,15,202,0,1,0,2,1,0,0,0,6,1,2,1,0,2,1,1,1,0,0,0,0,0,1,1,0,669
56,"PRA.VID.ANGOTHI R.NO.-1",698,519,0,1217,560,365,0,925,567,0,29,753,26,45,1,1,0,1,0,0,54,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,5,925
57,"PRA.VID.ANGOTHI R.NO.-2",587,444,0,1031,401,289,0,690,680,0,6,272,34,300,2,1,0,0,1,0,42,1,4,1,0,2,1,2,2,9,0,0,1,3,0,1,1,2,2,690
58,"PRA.VID.LADAMADA R.NO.-1",783,651,0,1434,569,377,0,946,922,0,31,570,62,242,2,0,0,3,0,1,0,2,2,5,5,2,2,5,2,0,0,1,1,2,1,0,4,0,1,946
59,"PRA.VID.LADAMADA R.NO.-2",507,426,1,934,339,213,0,552,551,0,17,277,189,22,0,0,1,5,1,1,1,0,4,8,6,2,0,2,3,1,0,1,0,1,3,1,3,1,2,552
60,"PRA.VID.BICHPURI NO-2 R.NO-1",850,675,1,1526,634,436,0,1070,1070,0,27,784,36,176,0,0,0,4,0,0,0,1,5,5,7,2,2,2,1,3,2,2,0,0,0,1,6,2,2,1070
61,"PRA.VID.BICHPURI NO-2 R.NO-2",676,536,0,1212,503,379,0,882,877,0,31,574,87,137,1,1,0,2,0,0,1,0,3,5,5,2,1,6,4,4,1,1,2,3,1,1,3,4,2,882
62,"PRA.VID. CHAUTHANA R.NO.-1",632,447,0,1079,418,311,0,729,721,0,19,294,60,322,2,1,1,3,0,1,3,2,6,0,2,3,0,0,1,0,0,1,1,1,0,2,2,0,2,729
63,"PRA.VID. CHAUTHANA R.NO.-2",575,438,0,1013,395,285,0,680,15,0,7,393,108,137,4,1,1,2,0,0,2,1,5,2,3,2,0,2,1,3,0,0,0,1,0,3,2,0,0,680
64,"PRA.VI.SADARVAN R.NO.-1",727,557,0,1284,487,337,0,824,55,0,5,477,7,288,1,0,0,0,1,1,0,2,2,5,3,1,0,3,0,2,1,0,3,4,1,6,2,3,6,824
65,PRA.VI.SUNARI,739,623,0,1362,492,599,0,1091,1091,0,10,916,20,128,0,1,0,0,1,0,0,0,2,4,0,2,0,1,0,1,0,1,0,0,0,0,3,0,1,1091
66,"PRA.VID. MAGTAI R.NO.-1",454,360,0,814,350,279,0,629,629,0,0,211,44,357,1,0,0,4,0,1,0,0,3,2,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,629
67,"PRA.VID.MAGTAI R.NO.-2",457,359,0,816,331,254,0,585,342,0,2,439,41,83,1,1,0,1,0,0,1,2,4,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,585
68,"PRA.VI. JAUPURA R.NO.-1",696,563,0,1259,558,440,0,998,703,0,4,314,149,511,0,1,1,2,1,0,0,0,1,1,1,2,0,1,1,3,0,0,2,1,0,1,0,1,0,998
69,"PRA.VI. JAUPURA R.NO.-2",803,635,0,1438,660,517,0,1177,1177,0,3,383,38,730,4,0,1,1,0,0,1,0,1,0,3,2,0,1,0,3,1,0,1,0,0,2,1,1,0,1177
70,"PRA.VID.MOHAMMADPUR R.NO.-1",783,640,0,1423,522,365,0,887,877,0,12,696,60,77,0,1,1,2,1,0,0,1,7,3,1,0,3,4,0,0,1,2,1,3,0,1,3,3,4,887
71,"PRA.VID.MOHAMMADPUR R.NO.-2",786,650,0,1436,470,409,0,879,879,0,7,269,18,553,2,0,0,1,0,2,2,1,0,1,2,4,0,1,1,2,0,0,1,3,1,0,4,2,2,879
72,"UCCH. PRA.VID.NAGLA THUIRAM",832,577,0,1409,562,363,0,925,825,0,1,118,19,746,3,2,2,1,2,1,1,2,2,1,4,4,0,1,1,1,3,0,2,3,0,0,2,1,2,925
73,"PRA.VID.LAKHANPUR R.NO.-1",665,538,0,1203,541,437,0,978,976,0,29,265,18,614,4,1,1,1,0,0,0,4,2,7,1,3,1,0,4,2,0,0,2,11,1,0,2,2,3,978
