"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
56,"PRATHMIK VIDYALAY UMRI BUJURG",460,369,0,829,263,204,0,467,467,0,216,199,26,16,0,0,1,3,1,1,4,467
57,"PRATHMIK VIDYALAY SAIFABAD",364,312,0,676,190,158,0,348,348,0,124,190,23,1,0,1,1,2,0,2,4,348
58,"PRATHMIK VIDYALAY KATEHI",363,272,0,635,181,127,0,308,308,0,18,148,134,1,0,2,1,1,2,0,1,308
59,"PRATHMIK VIDYALAY VIJAHRA",358,270,0,628,206,156,0,362,362,0,93,222,29,4,3,1,0,4,0,1,5,362
60,"PRATHMIK VIDYALAY VISOHA UTTARI KAKSH",554,471,0,1025,291,210,0,501,501,0,65,340,69,2,11,2,0,6,1,2,3,501
61,"PRATHMIK VIDYALAY VISOHA DAKSHINI KAKSH",601,463,0,1064,296,168,0,464,464,0,116,231,97,6,2,0,1,5,1,3,2,464
62,"PRATHMIK VIDYALAY MARHANA",590,487,0,1077,257,184,0,441,441,0,111,224,84,7,2,1,2,4,0,1,5,441
63,"PRATHMIK VIDYALAY DALELPUR",255,191,0,446,156,95,0,251,251,0,77,28,134,5,4,2,0,1,0,0,0,251
64,"PRATHMIK VIDYALAY PURVI KAKSH KAPASI",459,367,0,826,238,213,0,451,451,0,183,255,4,0,0,0,0,3,0,3,3,451
65,"PRATHMIK VIDYALAY PASCHIMI KAKSH KAPASI",438,326,0,764,258,151,0,409,409,0,130,200,72,2,1,0,0,2,0,2,0,409
66,"PRATHMIK VIDYALAY MAHUA UTTARI KAKSH",304,239,0,543,162,126,0,288,288,0,67,129,82,2,4,0,0,0,0,1,3,288
67,"PRATHMIK VIDYALAY MAHUA DAKSHINI KAKSH",452,331,0,783,248,163,0,411,411,0,119,236,24,25,1,1,1,0,0,1,3,411
68,"PRATHMIK VIDYALAY MURRA",423,334,0,757,231,172,0,403,403,0,35,243,116,2,0,1,0,1,0,3,2,403
69,"PRATHMIK VIDYALAY BHUPATIYAPUR",300,248,0,548,152,146,0,298,298,0,66,159,60,1,0,1,1,6,1,0,3,298
70,"PRATHMIK VIDYALAY NONARI BUJURG PURVI KAKSH",550,408,0,958,383,224,0,607,607,0,348,189,47,10,0,6,0,3,0,3,1,607
71,"PRATHMIK VIDYALAY NONARI BUJURG EKAL KAKSH",453,345,0,798,247,159,0,406,406,0,9,313,70,7,2,0,0,2,1,1,1,406
72,"PRATHMIK VIDYALAY NONARI BUJURG PASCHIMI KAKSH KAKSH",499,380,0,879,228,156,0,384,384,0,34,274,57,0,1,1,2,6,3,3,3,384
73,"PRATHMIK VIDYALAY GURIYAPUR",411,327,0,738,250,202,0,452,452,0,144,181,121,0,0,0,0,2,1,0,3,452
74,"PRATHMIK VIDYALAY RATANIYAPUR",465,360,0,825,314,225,0,539,539,0,186,201,126,8,2,3,2,6,1,1,3,539
75,"PRATHMIK VIDYALAY PAROUNKH PURVI KAKSH",915,687,0,1602,495,382,0,877,877,0,7,628,221,5,0,1,0,5,3,4,3,877
76,"PRATHMIK VIDYALAY PAROUNKH PURVI KAKSH",515,377,0,892,280,209,0,489,489,0,152,192,132,2,1,0,0,3,3,0,4,489
77,"PRATHMIK VIDYALAY PAROUNKH EKAL KAKSH",454,367,0,821,214,160,0,374,374,0,172,119,72,0,3,2,0,0,0,3,3,374
78,"PRATHMIK VIDYALAY KHALLA",770,536,0,1306,455,316,0,771,771,0,137,197,412,12,1,1,1,1,1,0,8,771
79,"PRATHMIK VIDYALAY KHAJURI",488,343,0,831,310,179,0,489,489,0,43,96,327,5,3,2,1,4,2,2,4,489
80,"NEW PRATHMIK VIDYALAY FATTEPUR DERAPUR",633,496,0,1129,361,233,0,594,594,0,66,213,292,10,1,1,0,3,0,3,5,594
81,"PRATHMIK VIDYALAY KHAJURRA PURVI KAKSH",447,356,0,803,219,165,0,384,384,0,29,223,103,10,1,5,4,3,1,3,2,384
82,"PRATHMIK VIDYALAY KHAJURRA PASCHIMI KAKSH",458,406,0,864,229,199,0,428,428,0,164,88,152,5,2,0,4,1,1,1,10,428
83,"PRATHMIK VIDYALAY DUDOULI",523,418,0,941,304,222,0,526,526,0,208,253,41,5,8,2,1,1,0,3,4,526
84,"PRATHMIK VIDYALAY BADAGAUN BHIKKHI",659,564,0,1223,346,280,0,626,626,0,114,437,51,8,3,2,0,4,2,3,2,626
85,"PRATHMIK VIDYALAY AYODHYAPURWA MAJRA BADAGAUN BHIKKHI",122,118,0,240,98,99,0,197,197,0,193,3,0,0,0,0,0,0,0,0,1,197
86,"PRATHMIK VIDYALAY UDNAPUR",335,287,0,622,223,176,0,399,399,0,4,102,287,2,0,1,0,0,1,1,1,399
87,"GALUVAPUR INTER COLLEGE GALUVAPUR",695,608,0,1303,424,342,0,766,766,0,321,295,123,9,3,4,0,6,1,1,3,766
88,"PRATHMIK VIDYALAY DASTAMPUR",466,396,0,862,269,215,0,484,484,0,58,121,283,7,1,1,0,3,1,1,8,484
89,"PRATHMIK VIDYALAY ULRAPUR",748,655,1,1404,458,338,0,796,796,0,127,53,595,8,5,2,0,0,0,0,6,796
90,"PRATHMIK VIDYALAY HARAMAU",525,455,0,980,236,182,0,418,418,0,115,184,87,14,1,2,0,10,0,2,3,418
91,"PRATHMIK VIDYALAYUTTARI KAKSH SARGAUN BUJURG",782,608,0,1390,468,317,0,785,785,0,70,447,239,7,0,2,1,8,1,2,8,785
92,"PRATHMIK VIDYALAY UTTARI KAKSH SARGAUN BUJURG",549,442,0,991,335,220,0,555,555,0,193,306,46,3,0,0,1,0,0,0,6,555
93,"PRATHMIK VIDYALAY SHAHI",414,319,0,733,250,166,0,416,416,0,82,235,83,2,0,1,0,3,1,5,4,416
94,"PRATHMIK VIDYALAY AHIRAN GADHEVA MAJRA SARGAUN BUJURG",595,479,1,1075,396,268,0,664,664,0,168,85,391,5,2,3,2,2,2,1,3,664
95,"PRATHMIK VIDYALAY ROOM NO-1 INDURUKH",301,266,0,567,186,136,0,322,322,0,58,228,23,6,0,0,1,3,1,0,2,322
96,"PRATHMIK VIDYALAY ROOM NO 2 INDURUKH",288,208,0,496,166,100,0,266,266,0,44,187,24,6,0,1,0,3,0,1,0,266
97,"PRATHMIK VIDYALAY ROOM NO-3 INDURUKH",325,263,0,588,190,136,0,326,326,0,160,127,15,6,1,1,0,2,1,5,8,326
98,"PRATHMIK VIDYALAY SIHUNTHA",495,419,0,914,328,167,0,495,495,0,48,223,208,0,1,1,2,2,2,3,5,495
99,"PRATHMIK VIDYALAY KISHVAKHEDA",497,401,0,898,341,200,0,541,541,0,5,21,506,1,1,1,0,1,1,0,4,541
100,"PRATHMIK VIDYALAY DIRVAPUR",297,215,0,512,174,101,0,275,275,0,15,78,179,1,0,1,0,0,0,0,1,275
101,"PRATHMIK VIDYALAY SANIHAPUR",835,624,0,1459,408,262,0,670,670,0,108,171,315,2,54,3,0,3,4,3,7,670
102,"PRATHMIK VIDYALAY MOJPUR",741,626,0,1367,369,285,0,654,654,0,124,158,335,12,14,1,2,3,2,0,3,654
103,"PRATHMIK VIDYALAY SALEMPUR DERAPUR",562,460,0,1022,350,263,0,613,613,0,87,414,85,9,1,1,2,5,1,3,5,613
104,"PURV MADHYAMIC VIDYALAYA ROOM NO-1 DERAPURPUR",443,385,0,828,242,178,0,420,420,0,43,289,70,10,1,2,0,4,0,1,0,420
105,"PURV MADHYAMIC VIDYALAYA ROOM NO-4 DERAPUR",486,411,0,897,248,192,0,440,440,0,16,272,129,9,2,4,4,2,1,0,1,440
106,"PURV MADHYAMIC VIDYALAYA ROOM NO-2 DERAPUR",492,441,0,933,241,227,0,468,468,0,12,108,229,22,5,1,88,0,2,0,1,468
107,"PURV MADHYAMIC VIDYALAYA ROOM NO-3 DERAPUR",491,445,0,936,290,192,0,482,482,0,20,21,348,24,11,1,51,1,1,1,3,482
108,"GIRLS PURV MADHYAMIK VIDYALAY DERAPUR",548,459,0,1007,346,144,0,490,490,0,48,214,167,19,2,2,36,1,0,0,1,490
109,"PRATHMIK VIDYALAY LALPURVA MAJRA BIRIA DERAPUR",805,603,0,1408,466,280,0,746,746,0,162,87,473,4,3,2,2,5,0,1,7,746
110,"PRATHMIK VIDYALAY SARGAUN KHURD",784,669,0,1453,455,386,0,841,841,0,382,217,209,10,4,3,1,2,3,4,6,841
111,"NEW PRATHMIK VIDYALAY MAJHGAVAN",550,461,0,1011,262,182,0,444,444,0,149,166,98,8,1,13,1,3,0,0,5,444
112,"PRATHMIK VIDYALAY CHAMPATPUR MAJRA MAJHGAVAN",247,196,0,443,144,110,0,254,254,0,132,69,46,2,0,1,1,0,0,2,1,254
113,"PRATHMIK VIDYALAY BALAI BUJURG",677,537,0,1214,390,325,0,715,715,0,148,279,226,12,8,7,3,4,1,7,20,715
114,"PRATHIK VIDYALAY MAWAI MUKT",752,640,0,1392,452,377,0,829,829,0,411,349,38,11,8,4,0,0,1,0,7,829
115,"PRATHMIK VIDYALAY NANDPUR",310,265,0,575,150,118,0,268,268,0,38,171,27,6,13,4,2,2,0,1,4,268
116,"PRATHMIK VIDYALAY JEEREPUR",349,280,0,629,212,168,0,380,380,0,37,313,17,6,3,1,0,2,0,1,0,380
117,"PRATHMIK VIDYALAY SABDALPUR",446,350,0,796,260,193,0,453,453,0,188,207,43,5,1,2,0,3,0,1,3,453
118,"PRATHMIK VIDYALAY BHADAWAL",675,536,0,1211,396,306,0,702,702,0,138,316,217,9,3,2,1,4,2,3,7,702
119,"PRATHMIK VIDYALAY KUDHAWAL",650,550,0,1200,350,281,0,631,631,0,182,344,83,4,3,1,0,9,2,0,3,631
120,"PRATHMIK VIDYALAY DUNDIVARI",413,343,0,756,192,154,0,346,346,0,82,53,196,2,0,5,1,1,1,1,4,346
121,"PRATHMIK VIDYALAY LADPURPAITH",430,351,0,781,246,204,0,450,450,0,257,116,34,23,4,1,0,3,2,1,9,450
122,"PURV MADHYAMIC VIDYALAYA NANTHU",807,649,1,1457,448,329,0,777,777,0,235,382,133,3,1,1,2,13,0,1,6,777
123,"PRATHMIK VIDYALAY LADUWAPUR",469,364,0,833,282,209,0,491,491,0,123,284,54,3,12,3,1,1,1,0,9,491
124,"PRATHMIK VIDYALAY KAIRAMAU",218,172,0,390,140,111,0,251,251,0,63,141,33,4,4,4,0,0,0,0,2,251
125,"PRATHMIK VIDYALAY MUNGISAPUR",475,375,0,850,305,230,0,535,535,0,87,253,171,8,5,1,1,2,2,0,5,535
126,"PRATHMIK VIDYALAY PASCHIMI KAKSH MUNGISAPUR",536,405,0,941,314,200,0,514,514,0,46,354,97,6,6,0,0,1,0,0,4,514
127,"PRATHMIK VIDYALAY PURVI KAKSH KHIRVAN",345,277,0,622,198,164,0,362,362,0,155,161,26,3,0,1,2,4,2,2,6,362
128,"PRATHMIK VIDYALAY PASCHIMI KAKSH KHIRVAN",446,394,0,840,215,196,0,411,411,0,45,326,27,4,1,1,1,3,0,3,0,411
129,"PRIMARY SCHOOL PAWANAI",278,233,0,511,196,141,0,337,337,0,142,156,27,1,5,3,0,2,0,0,1,337
130,"PRIMARY SCHOOL BHADPURA",516,444,0,960,298,218,0,516,516,0,76,348,38,6,19,4,0,5,3,2,15,516
131,"PRIMARY SCHOOL MAHMOODAPUR KHURD",293,239,0,532,137,128,0,265,265,0,28,56,170,3,1,0,0,0,1,1,5,265
132,"JANKALYAN SECONDARY SCHOOL NORTH ROOM URSAN",765,638,0,1403,382,312,0,694,694,0,187,249,160,23,55,1,0,9,1,2,7,694
133,"JANKALYAN SECONDARY SCHOOL SOUTH ROOM URSAN",766,618,0,1384,389,282,0,671,671,0,260,227,130,9,29,7,0,3,0,2,4,671
134,"PURV MADHYAMIC VIDYALAYA EAST ROOM KORAUWA",563,446,0,1009,278,214,0,492,492,0,50,309,112,1,4,1,0,11,1,2,1,492
135,"PURV MADHYAMIC VIDYALAYA WEST ROOM KORAUWA",433,349,0,782,240,211,0,451,451,0,97,289,56,3,2,0,1,0,1,0,2,451
136,"PRIMARY SCHOOL JARAULI",591,487,0,1078,364,252,0,616,616,0,160,309,114,7,14,5,1,3,0,0,3,616
137,"PRIMARY SCHOOL KALENAPUR",429,342,0,771,199,203,0,402,402,0,51,266,58,3,2,2,2,3,4,3,8,402
138,"PURV MADHYAMIK SCHOOL AMAULI KURMIYAN",697,620,0,1317,375,356,0,731,731,0,208,249,249,4,7,1,1,2,0,3,7,731
139,"PURV MADHYAMIC VIDYALAYA NORTH ROOM HATHUMA",497,402,0,899,275,218,0,493,493,0,169,240,71,7,0,2,0,0,0,0,4,493
140,"PURV MADHYAMIC VIDYALAYA SOUTH ROOM HATHUMA",497,393,0,890,274,213,0,487,487,0,109,256,90,18,1,0,2,5,1,1,4,487
141,"PRIMARY SCHOOL KHALAGAVN",612,497,0,1109,376,291,0,667,667,0,245,186,213,9,3,3,0,3,0,0,5,667
142,"PURV MADHYAMIK SCHOOL PURI AGWASI",787,587,0,1374,405,266,0,671,671,0,183,246,204,15,6,5,1,5,1,0,5,671
143,"PRIMARY SCHOOL RAMPUR",371,303,0,674,209,160,0,369,369,0,126,196,26,11,2,1,0,2,2,0,3,369
144,"PRIMARY SCHOOL ANTAPUR",595,463,0,1058,296,204,0,500,500,0,148,264,66,9,2,0,1,6,1,2,1,500
145,"PRIMARY SCHOOL DARIYAPUR NITRRA",341,262,0,603,219,143,0,362,362,0,58,287,5,3,0,1,0,1,4,1,2,362
146,"PRIMARY SCHOOL FARIDPUR NITRRA",748,598,0,1346,357,283,0,640,640,0,112,367,101,23,1,3,2,7,4,6,14,640
147,"PURV MADHYAMIK VIDYALAYA GADIYA SIKANDRA",856,667,0,1523,453,346,0,799,799,0,65,659,36,7,1,7,0,2,7,4,11,799
148,"PRIMARY SCHOOL MANKAPUR SIKANDRA",449,385,0,834,271,263,0,534,534,0,263,119,134,7,0,1,0,2,3,0,5,534
149,"UCCH PRIMARY SCHOOL LAKHMANAPUR JARIHA",166,133,0,299,118,96,0,214,214,0,26,169,11,2,2,1,1,0,0,0,2,214
150,"PRIMARY SCHOOL ARAJI BICHHIYAPUR",229,197,0,426,116,132,0,248,248,0,2,202,18,8,5,1,1,7,0,1,3,248
151,"KANYA PURV MADHYAMIC VIDYALAYA HAWASPUR",454,397,0,851,239,191,0,430,430,0,119,271,29,1,2,1,1,2,0,1,3,430
152,"PRIMARY SCHOOL BAHWALPUR",641,498,0,1139,376,311,0,687,687,0,180,79,411,6,0,2,0,0,1,3,5,687
153,"PRIMARY SCHOOL HARPURA",478,341,0,819,234,110,0,344,344,0,25,221,92,1,0,1,1,2,0,0,1,344
154,"PURV MADHYAMIK SCHOOL HARPURA",414,394,0,808,187,151,0,338,338,0,74,168,85,3,1,0,0,1,0,1,5,338
155,"PRIMARY SCHOOL RARAUKH",656,528,0,1184,356,317,0,673,673,0,161,402,86,11,4,1,0,3,0,3,2,673
156,"PURV MADHYAMIC VIDYALAYA PASCHIMI KAKSA GAHILAPUR",457,382,0,839,219,162,0,381,381,0,116,184,75,2,0,1,0,2,0,0,1,381
157,"PURV MADHYAMIC VIDYALAYA EAST ROOM GAHILAPUR",448,347,0,795,170,104,0,274,274,0,22,159,83,2,0,2,1,2,0,3,0,274
158,"PRIMARY SCHOOL NADHAUWAN",843,653,0,1496,490,335,0,825,825,0,124,281,394,11,2,2,2,3,1,2,3,825
159,"PRIMARY SCHOOL KATHARA",528,429,0,957,334,274,0,608,608,0,218,255,102,15,2,3,1,3,0,3,6,608
160,"PRIMARY SCHOOL SATAURA",566,440,0,1006,308,223,0,531,531,0,112,288,120,4,0,0,0,6,0,0,1,531
161,"PURV MADHYAMIC VIDYALAYA UDANWAPUR.M.SATAURA",760,637,0,1397,436,340,0,776,776,0,89,626,43,3,2,3,1,6,0,0,3,776
162,"PURV MADHYAMIC VIDYALAYA EAST ROOM KHANPUR DILWAL",547,449,0,996,327,264,0,591,591,0,55,382,133,9,2,1,0,4,1,3,1,591
163,"PURV MADHYAMIC VIDYALAYA WEST ROOM KHANPUR DILWAL",561,463,0,1024,315,261,0,576,576,1,219,260,60,15,1,1,0,2,3,9,6,576
164,"PURV MADHYAMIC VIDYALAYA DILWAL MAJRA KHANPUR DILWAL",846,647,0,1493,432,362,0,794,794,0,202,428,135,10,2,2,1,5,1,0,8,794
165,"PRIMARY SCHOOL SURARI",742,625,0,1367,419,355,0,774,774,0,238,407,104,12,1,2,1,2,0,3,4,774
166,"PRIMARY SCHOOL BARI",241,182,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,"PRIMARY SCHOOL NAWABPUR",148,122,0,270,77,46,0,123,123,0,67,44,5,3,0,0,0,0,1,0,3,123
168,"PRIMARY SCHOOL BAHERA",464,384,0,848,259,216,0,475,475,0,166,173,120,2,1,0,1,11,0,1,0,475
169,"PRIMARY SCHOOL EAST ROOM BHANDEMAU",651,529,0,1180,326,250,0,576,576,0,169,313,67,6,0,0,0,14,1,5,1,576
170,"PRIMARY SCHOOL WEST ROOM BHANDEMAU",620,502,0,1122,259,180,0,439,439,0,142,241,29,2,2,4,1,5,2,5,6,439
171,"PURV MADHYAMIC VIDYALAYA JAITAPUR",791,642,0,1433,355,346,0,701,701,0,201,447,31,5,1,1,0,4,0,4,7,701
172,"PURV MADHYAMIC VIDYALAYA JIGNA",676,549,0,1225,325,297,0,622,622,0,30,505,54,10,2,4,0,6,0,5,6,622
173,"PRIMARY SCHOOL JAURA",354,286,0,640,193,153,0,346,346,0,12,307,20,1,0,0,0,5,0,1,0,346
174,"PRIMARY SCHOOL LAUWA",545,430,0,975,287,243,0,530,530,0,167,300,32,5,0,1,0,4,1,13,7,530
175,"PRIMARY SCHOOL NORTH ROOM JASAPUR",499,410,0,909,212,168,0,380,380,0,14,319,18,2,5,3,0,11,1,3,4,380
