"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
18,"PRIMARY SCHOOL SAHNOL ROOM NO.-1",720,665,0,1385,380,334,0,714,714,0,315,20,38,325,6,1,0,0,0,0,1,1,1,2,4,714
19,"PRIMARY SCHOOL SAHNOL ROOM NO.-2",764,702,0,1466,410,383,0,793,791,0,27,17,59,648,2,9,1,0,1,0,4,3,12,0,10,793
20,VIDHIPUR,648,545,0,1193,464,355,0,819,819,0,13,15,53,720,0,4,0,0,0,0,2,6,3,0,3,819
21,VIDHIPUR,383,352,0,735,271,244,0,515,515,0,49,4,21,425,1,0,0,0,0,0,0,7,2,1,5,515
22,"PRIMARY SCHOOL SIMTHALA ROOM NO.-1",561,439,0,1000,208,212,0,420,404,0,129,5,14,251,1,1,0,0,0,0,1,15,1,1,1,420
23,"PRIMARY SCHOOL SIMTHALA ROOM NO.-2",504,434,0,938,237,252,0,489,118,0,5,1,7,432,3,3,1,0,1,1,3,11,12,3,6,489
24,SURATGARH,923,695,0,1618,562,425,0,987,900,0,157,9,154,620,9,8,0,1,0,3,2,1,11,4,8,987
25,"PRIMARY SCHOOL KHEDIYA RAFAYTPUR ROOM NO.-1",606,506,0,1112,383,296,0,679,675,0,136,8,24,494,3,1,0,0,0,1,3,1,6,0,2,679
26,"PRIMARY SCHOOL KHEDIYA RAFAYTPUR ROOM NO.-2",561,513,0,1074,330,300,0,630,300,0,96,3,67,441,2,2,1,1,0,0,1,3,5,0,8,630
27,CHALAKPUR,583,497,0,1080,340,316,0,656,650,0,12,3,33,583,4,1,1,0,0,1,2,0,10,1,5,656
28,"J.H.S. RAJMARGPUR ROOM NO.-1",590,545,0,1135,354,330,0,684,616,0,149,5,43,463,1,4,2,1,0,0,0,2,7,2,5,684
29,"J.H.S. RAJMARGPUR ROOM NO.-2",566,466,0,1032,345,244,0,589,460,0,45,6,56,467,0,1,0,1,1,0,1,5,4,0,2,589
30,"PRIMARY SCHOOL JEKHERA ROOM NO.-1",492,433,0,925,277,281,0,558,204,0,187,12,21,317,4,1,0,0,1,1,1,1,5,1,6,558
31,"PRIMARY SCHOOL JEKHERA ROOM NO.-2",523,474,0,997,341,311,0,652,642,0,70,10,81,466,3,2,1,0,1,0,0,2,6,2,8,652
32,"PRIMARY SCHOOL GANVKHEDA ROOM NOA.-1",638,541,0,1179,469,386,0,855,396,0,221,7,2,598,5,1,1,0,0,0,5,3,6,1,5,855
33,"PRIMARY SCHOOL GANVKHEDA ROOM NO.-2",450,397,0,847,337,306,0,643,582,0,18,89,2,516,5,0,0,0,0,1,1,4,4,0,3,643
34,"MANDHAULI NISFI ASHARFABAD",723,596,0,1319,483,387,0,870,759,0,93,15,21,717,4,3,2,0,2,0,2,1,6,1,3,870
35,"AHMEDPUR URF JANAKPUR",249,232,0,481,184,185,0,369,251,0,2,1,2,359,0,0,0,0,0,0,0,2,0,2,1,369
36,BHUDNAGRIYA,279,229,0,508,201,184,0,385,347,0,16,0,0,366,1,1,1,0,0,0,0,0,0,0,0,385
37,ATRAULI,795,688,0,1483,473,342,0,815,787,0,28,57,60,625,6,7,0,0,0,0,0,20,4,2,6,815
38,ATRAULI,686,541,0,1227,391,311,0,702,603,0,58,46,66,509,4,3,1,0,0,0,3,2,8,0,2,702
39,ATRAULI,678,595,1,1274,351,260,0,611,575,0,158,76,62,295,3,5,0,0,1,0,0,3,5,0,3,611
40,"PRIMARY SCHOOLROOM NO.-1,GANDHI GALI ATRAULI",718,610,1,1329,442,366,0,808,519,0,12,433,206,148,1,2,0,0,0,1,0,0,0,2,3,808
41,"AMARCHANDRA GIRLS INTER COLLAGE ROOM NO.-1, ATRAULI",628,554,0,1182,449,327,0,776,388,0,31,57,43,630,2,0,2,0,0,0,1,2,0,2,6,776
42,"AMARCHANDRA GIRLS INTER COLLAGE ROOM NO.-2, ATRAULI",665,520,0,1185,351,273,0,624,624,0,120,100,19,363,4,1,0,0,0,0,0,10,3,0,4,624
43,"GOV. GIRLS INTER COLLAGE ROOM NO.-1 ATRAULI",458,333,0,791,205,143,0,348,341,0,147,162,24,6,0,1,1,0,0,0,0,1,1,1,4,348
44,"GOV. GIRLS INTER COLLAGE ROOM NO.-2 ATRAULI",281,220,0,501,109,109,0,218,178,0,87,108,13,10,0,0,0,0,0,0,0,0,0,0,0,218
45,"K.M.V.J.HIGH SCHOOL ATRAULI ROOM NO.-1",762,688,0,1450,427,322,0,749,701,0,133,156,15,420,3,0,0,1,0,0,1,7,8,0,5,749
46,"K.M.V.J.HIGH SCHOOL ATRAULI ROOM NO.-2",845,727,1,1573,624,354,0,978,978,0,24,159,35,733,2,1,0,0,1,0,3,7,7,2,4,978
47,"K.M.V.J.HIGH SCHOOL ATRAULI ROOM NO.-2",413,345,0,758,322,158,0,480,380,0,20,295,91,67,1,0,0,0,0,0,0,3,0,1,2,480
48,"PRIMARY SCHOOL NO.-1,ATRAULI ROOM NO.-1",591,531,0,1122,417,357,0,774,773,0,24,120,53,557,3,3,0,1,0,0,0,5,4,1,3,774
49,"PRIMARY SCHOOL NO.-1 ROOM NO.-2",687,545,0,1232,449,349,0,798,798,0,41,211,40,486,2,0,0,0,0,1,4,4,6,1,2,798
50,"NAGAR PALIKA HIGHER SECONDRY SCHOOL ATRAULI ROOM NO.-1",639,554,0,1193,392,318,0,710,497,0,39,377,73,200,11,2,1,0,0,0,0,4,3,0,0,710
51,"NAGAR PALIKA HIGHER SECONDRY SCHOOL ATRAULI ROOM NO.-3",624,532,0,1156,350,292,0,642,540,0,11,431,83,97,3,0,1,0,0,0,1,2,3,4,6,642
52,"NAGAR PALIKA GIRLS PRIMARY SCHOOL ATRAULI ROOM NO.-1",722,609,0,1331,460,313,0,773,526,0,45,180,60,473,1,3,0,0,1,0,0,0,8,0,2,773
53,"NAGAR PALIKA GIRLS PRIMARY SCHOOL ATRAULI ROOM NO.-2",708,581,0,1289,473,317,0,790,751,0,68,473,42,200,1,1,0,0,1,1,1,1,1,0,0,790
54,"NAGAR PALIKA GIRLS PRIMARY SCHOOL ATRAULI ROOM NO.-3",598,492,0,1090,362,234,0,596,428,0,182,294,108,3,0,0,0,0,0,1,2,0,0,0,6,596
55,"NAGAR PALIKA HIGHER SECONDRY SCHOOL ATRAULI ROOM NO.-2",880,781,0,1661,503,459,0,962,879,0,228,439,61,215,0,1,1,0,1,0,1,2,3,3,7,962
56,"NAGAR PALIKA HIGHER SECONDRY SCHOOL ATRAULI ROOM NO.-4",728,622,0,1350,417,347,0,764,750,0,46,220,44,434,2,2,0,0,0,1,1,7,4,2,1,764
57,"GOV. GIRLS INTER COLLAGE  ATRAULI",314,283,0,597,172,148,0,320,299,0,63,24,14,214,0,0,0,0,0,0,1,0,0,1,3,320
58,"GOV. GIRLS INTER COLLAGE  ATRAULI, ROOM NO. -3",432,367,0,799,297,232,0,529,507,0,10,7,14,493,1,0,1,0,0,0,0,2,1,0,0,529
59,"GOV. GIRLS INTER COLLAGE  ATRAULI, ROOM NO. -4",212,205,0,417,146,121,0,267,262,0,22,16,6,221,0,0,0,0,0,0,0,2,0,0,0,267
60,"NAGAR PALIKA HIGHER SECONDRY SCHOOL ATRAULI",642,574,0,1216,375,296,0,671,646,0,33,8,22,579,3,6,1,1,0,0,2,5,8,0,3,671
61,"NAGAR PALIKA HIGHER SECONDRY SCHOOL ATRAULI ROOM NO.-5",503,411,0,914,316,216,0,532,529,0,25,6,36,441,1,5,0,0,1,0,0,5,7,2,3,532
62,"NAGAR PALIKA HIGHER SECONDRY SCHOOL ATRAULI ROOM NO.-6",641,605,0,1246,325,238,0,563,281,0,19,21,40,460,5,1,0,1,3,0,0,3,7,1,2,563
63,"BALAK PRIMARY SCHOOL NO.-3 ATRAULU ROOM NO.-1",742,633,0,1375,305,405,0,710,675,0,16,566,126,1,0,0,0,0,0,0,0,0,0,0,1,710
64,"BALAK PRIMARY SCHOOL NO.-3 ATRAULU ROOM NO.-2",648,522,0,1170,308,277,0,585,245,0,72,309,88,92,3,0,0,0,1,0,0,7,1,4,8,585
65,"PYANCHAT HOUSE SHEKHUPUR",678,603,0,1281,487,420,0,907,907,0,62,5,6,798,3,8,2,1,2,0,3,5,10,1,1,907
66,"PRIMARY SCHOOL PANIHARA ABDULLAPUR",533,462,0,995,385,316,0,701,300,0,62,23,15,586,3,3,1,0,0,0,0,4,2,1,1,701
67,"PRIMARY SCHOOL PILKHUNI",639,568,0,1207,400,342,0,742,741,0,190,10,13,512,3,3,1,0,0,0,1,2,5,0,2,742
68,"PRIMARY SCHOOL KAKETHAL ROOM NO.-1",517,446,0,963,260,199,0,459,340,0,81,15,13,336,0,0,1,0,0,1,4,3,2,0,3,459
69,"PRIMARY SCHOOL KAKETHAL ROOM NO.-2",473,409,0,882,230,165,0,395,388,0,193,15,2,165,4,1,0,0,0,0,0,6,3,0,6,395
70,"PRIMARY SCHOOL CHAOOPUR HAUJ",547,478,0,1025,218,302,0,520,519,0,118,14,65,303,0,1,0,0,0,1,1,6,6,1,4,520
71,"PRIMARY SCHOOL HARCHANPUR",780,681,0,1461,347,220,0,567,527,0,118,15,4,414,2,1,0,0,2,0,2,4,3,0,2,567
72,"PRIMARY SCHOOL RAIPUR DALPATPUR",810,762,0,1572,406,317,0,723,720,0,135,10,39,525,0,1,0,0,0,0,4,3,3,1,2,723
73,"PRIMARY SCHOOL BAIMVEERPUR ROOM NO.-1",648,513,0,1161,234,168,0,402,228,0,107,64,30,172,3,5,0,0,2,2,2,4,3,2,6,402
74,"PRIMARY SCHOOL BAIMVEERPURROOM NO.-2",443,385,0,828,109,97,0,206,200,0,80,1,0,111,3,0,0,0,0,0,2,0,3,2,4,206
75,"PRIMARY SCHOOL BIRSINGHPUR",350,317,0,667,222,242,0,464,464,0,6,1,7,435,3,0,0,0,0,0,0,9,3,0,0,464
76,"PRIMARY SCHOOL JAMANPUR",615,520,0,1135,329,309,0,638,635,0,225,6,32,341,4,6,1,2,1,0,1,6,4,1,8,638
77,"PRIMARY SCHOOL JANDOPUR",263,231,0,494,190,170,0,360,275,0,9,10,2,329,1,1,0,0,0,0,0,6,1,0,1,360
78,"PRIMARY SCHOOL SHYAMPUR MAZRA CHAKATHAL",163,148,0,311,104,84,0,188,186,0,0,0,2,183,1,0,0,0,0,0,0,1,0,0,1,188
79,"PRIMARY SCHOOL KALIYANPUR MAZRA CHAKATHAL",288,246,0,534,177,148,0,325,317,0,120,2,2,195,1,1,0,0,0,0,0,2,0,1,1,325
80,"GANDHI SMARAK U.M. COLLAGE CHAKATHAL ROOM NO0-1",594,481,0,1075,285,191,0,476,281,0,68,64,52,273,2,2,0,0,0,0,1,6,6,0,2,476
81,"GANDHI SMARAK U.M. COLLAGE CHAKATHAL ROOM NO0-2",871,703,0,1574,402,277,0,679,637,0,279,54,59,261,4,5,0,0,0,1,0,7,3,2,4,679
82,"PRIMARY SCHOOL NAGLA HARJI",819,754,0,1573,477,498,0,975,966,0,13,12,13,895,7,2,2,2,1,1,2,8,10,1,6,975
83,"MAHAMUDAPURA VADHAIRA",785,580,1,1366,418,308,0,726,726,0,248,5,5,461,0,0,0,0,1,0,1,2,0,0,3,726
84,"GANESHAPUR GOVINDAPUR",884,692,0,1576,587,464,0,1051,1046,0,65,12,11,937,3,2,1,0,0,0,1,7,7,1,4,1051
85,HARVANSHAPUR,432,355,0,787,226,201,0,427,407,0,20,116,2,278,2,0,1,0,0,0,0,2,2,4,0,427
86,KIRTHALA,489,428,0,917,232,215,0,447,199,0,146,74,17,186,3,3,0,0,1,1,0,2,6,2,6,447
87,KANKAPUR,369,317,0,686,199,168,0,367,220,0,67,191,32,61,1,1,1,0,0,0,0,8,3,0,2,367
88,MALAHAPUR,453,406,0,859,243,198,0,441,438,0,124,158,11,134,1,3,0,0,0,1,0,1,4,0,4,441
89,BEJLA,604,523,0,1127,345,285,0,630,190,0,154,162,44,254,2,2,0,0,0,1,1,3,3,1,3,630
90,"PRIMARY SCHOOL KHEDIYA BAHADUR GADHI ROOM NO.-1",523,451,0,974,312,250,0,562,522,0,76,1,25,441,0,4,1,0,0,0,0,5,4,1,4,562
91,"PRIMARY SCHOOL KHEDIYA BAHADUR GADHI ROOM NO.-2",492,427,0,919,293,248,0,541,436,0,9,6,7,509,3,2,0,0,0,0,0,0,4,1,0,541
92,"UTTAM INTER COLLAGE JIROLIDHUMASINGH ROOM NO.-1",626,519,0,1145,366,286,0,652,650,0,174,55,13,384,2,2,2,2,2,0,5,3,3,0,5,652
93,"UTTAM INTER COLLAGE JIROLIDHUMASINGH ROOM NO.-2",430,398,0,828,258,209,0,467,467,0,122,10,14,307,0,1,0,0,0,1,1,3,6,0,2,467
94,"PRIMARY SCHOOL BHOJAPUR TA. LOKGADH ROOM NO.-1",564,472,0,1036,294,266,0,560,246,0,20,16,18,491,3,0,0,0,0,1,1,1,5,2,2,560
95,"PRIMARY SCHOOL BHOJAPUR TA. LOKGADH ROOM NO.-2",237,220,0,457,113,111,0,224,125,0,41,3,5,166,3,1,0,0,0,0,0,1,4,0,0,224
96,NAURI,508,457,0,965,332,323,0,655,578,0,120,12,1,499,0,1,2,0,0,0,2,2,9,0,7,655
97,KHANAPUR,617,484,0,1101,317,255,0,572,122,0,255,84,93,134,0,0,0,0,0,0,0,0,2,1,3,572
98,KHITOLI,348,296,0,644,201,195,0,396,398,0,270,18,14,81,1,1,0,1,0,0,3,0,3,0,4,396
99,"GIRLS PRIMARY LOHAGADH SCHOOL ROOM NO. -1",607,549,0,1156,309,306,0,615,430,0,298,39,27,232,1,2,0,3,0,1,0,2,2,1,7,615
100,"GIRLS PRIMARY SCHOOL LOHAGADH ROOM NO. -2",414,363,0,777,191,184,0,375,292,0,44,96,21,200,2,3,0,0,0,2,0,3,1,2,1,375
101,LOHAGADH,701,583,0,1284,347,294,0,641,639,0,134,173,11,279,1,3,1,0,1,1,4,2,13,7,11,641
102,SAIDALMAPUR,363,321,0,684,175,188,0,363,363,0,70,60,11,207,1,2,0,0,0,0,0,3,4,0,5,363
103,SALARAPUR,719,610,0,1329,335,283,0,618,412,0,177,101,38,290,2,2,1,0,0,0,2,1,1,1,2,618
104,"KHEDIYA TA. LOHAGADH",676,563,0,1239,297,233,0,530,525,0,192,6,38,279,2,3,0,0,0,0,1,3,3,3,0,530
105,"PRIMARY SCHOOL GAHTOLI NIRMAL ROOM NO.-1",672,585,0,1257,419,365,0,784,784,0,22,408,20,302,4,12,0,0,1,0,0,2,8,1,4,784
106,"PRIMARY SCHOOL GAHTOLI NIRMAL ROOM NO.-2",564,452,0,1016,342,286,0,628,628,0,243,137,32,199,3,2,0,0,0,0,0,2,5,1,4,628
107,KUNJALPUR,613,509,0,1122,281,302,0,583,583,0,243,217,25,88,1,1,0,0,0,0,0,5,1,2,0,583
108,"KASIMAPUR  NAGRI",589,505,0,1094,330,306,0,636,636,0,128,34,44,412,6,6,0,0,1,0,1,1,1,1,1,636
109,PANAHARA,753,616,0,1369,403,356,0,759,692,0,263,274,7,194,2,3,1,0,0,0,1,2,4,3,5,759
110,PANAHARA,604,511,0,1115,389,366,0,755,605,0,36,565,5,139,4,2,0,1,0,0,0,1,1,0,1,755
111,"DHURRAKHAS MRF PREMNAGAR",586,498,0,1084,342,298,0,640,620,0,125,32,135,331,2,1,0,0,0,0,1,3,3,0,7,640
112,"DADAR ALUPURA",696,590,0,1286,364,345,0,709,612,0,137,295,8,259,2,1,1,0,0,0,0,2,2,0,2,709
113,"NAGLA BANJARA MAZRA DADAR ALUPURA",460,371,0,831,186,251,0,437,427,0,2,6,2,418,0,0,1,0,0,0,0,0,7,1,0,437
114,SIDHOLI,429,352,0,781,223,186,0,409,409,0,22,213,6,159,1,1,0,0,0,2,0,1,4,0,0,409
115,"KALIYANAPUR BHAGIRTHAPUR",584,408,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"KHEDA KHARJAPUR",303,228,0,531,137,96,0,233,211,0,73,39,2,106,0,2,0,1,0,0,0,0,2,0,8,233
117,PYAVLI,433,363,0,796,277,178,0,455,400,0,24,277,25,113,4,1,0,0,1,3,2,3,1,0,1,455
118,ALIPUR,390,327,0,717,190,180,0,370,355,0,14,224,23,102,0,0,0,0,0,0,0,2,1,1,3,370
119,"SISAI MAZRA ALIPUR",320,276,0,596,240,205,0,445,419,0,204,13,25,166,5,4,0,3,0,0,0,6,6,2,11,445
120,"NARUPURA KATKA",761,618,1,1380,411,421,0,832,818,0,82,565,132,34,3,0,0,0,0,1,1,3,3,1,7,832
121,"NARUPURA KATKA",266,224,0,490,121,98,0,219,164,0,131,37,48,1,0,0,0,0,0,0,1,0,0,0,1,219
122,"KATKA MAZRA NARUPURA",326,283,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"PRIMARY SCHOOL BATUL",299,260,0,559,253,198,0,451,431,0,6,423,1,20,0,1,0,0,0,0,0,0,0,0,0,451
124,"PRIMARY SCHOOL DATTA CHOLI KHURD",265,212,0,477,149,124,0,273,273,0,102,91,5,68,2,1,1,2,0,0,0,0,1,0,0,273
125,"PRIMARY SCHOOL DATTA CHOLI KHURD-2",620,525,0,1145,382,322,0,704,702,0,130,268,10,276,0,5,1,0,0,1,0,1,7,0,5,704
126,"SHAHAPUR KOTRA",270,243,0,513,144,152,0,296,282,0,58,131,7,92,1,0,0,1,0,0,0,3,2,1,0,296
127,"PRIMARY SCHOOL RAYAPUR KHAS  ROOM NO.-1",372,333,0,705,185,185,0,370,370,0,62,106,26,153,2,2,2,0,0,2,2,2,7,2,2,370
128,"PRIMARY SCHOOL RAYAPUR KHAS  ROOM NO.-2",442,357,0,799,308,200,0,508,508,0,154,237,6,102,0,2,0,0,0,0,3,0,2,1,1,508
129,"NAGLA JIVARAM MAZRA RAMAPUR CHANDIYAN",520,453,0,973,238,255,0,493,183,0,166,171,13,128,1,5,0,0,2,0,0,0,2,1,4,493
130,"NAGLA DHARAM/ KERAL",372,318,0,690,227,156,0,383,383,0,1,276,32,63,1,2,1,0,0,0,0,2,2,1,2,383
131,"PRIMARY DEENAPUR ROOM NO.-1",547,444,0,991,318,138,0,456,374,0,4,316,21,100,2,0,0,0,0,0,1,5,2,1,4,456
132,"PRIMARY DEENAPURROOM NO.-2",490,412,0,902,251,124,0,375,265,0,36,275,5,46,2,1,0,1,0,1,1,0,3,2,2,375
133,"TODARPUR AHATMALI",607,468,0,1075,364,253,0,617,608,0,67,470,23,37,3,0,4,1,0,1,1,6,1,0,3,617
134,HAMIDAPUR,443,374,0,817,351,329,0,680,670,0,10,611,10,37,1,2,0,0,0,0,4,1,2,2,0,680
135,"RUSTAM NAGAR",248,217,0,465,170,146,0,316,298,0,187,113,1,9,0,1,2,1,0,0,0,0,2,0,0,316
136,"PRIMARY SCHOOL HARNOT BHOJPUR ROOM NO.-1",658,564,0,1222,319,209,0,528,450,0,26,343,48,93,0,1,1,1,0,0,1,0,6,2,6,528
137,"PRIMARY SCHOOL HARNOT BHOJPUR ROOM NO.-2",624,547,1,1172,308,250,0,558,556,0,184,281,35,44,2,4,1,1,0,0,0,0,2,1,3,558
138,RAMAPUR,331,274,0,605,178,124,0,302,302,0,98,69,34,89,2,0,0,0,0,0,1,4,4,0,1,302
139,"NAGLA JEEVARA MAZRA RAMPUR CHANDIYANA",433,382,0,815,259,209,0,468,446,0,1,357,11,86,4,1,0,0,0,0,1,1,1,1,4,468
140,"PRIMARY RAMPUR CHANDIYANA ROOM NO.-1",712,573,0,1285,318,202,0,520,462,0,20,366,12,92,3,3,0,0,0,1,1,4,5,2,11,520
141,"PRIMARY RAMPUR CHANDIYANA ROOM NO.-2",787,723,0,1510,411,271,0,682,678,0,165,386,51,29,0,2,1,0,0,1,1,27,2,2,15,682
142,"PRIMARY DATACHOLI BUJURG ROOM NO.-1",370,318,0,688,167,159,0,326,323,0,61,130,9,116,0,0,0,0,0,0,1,4,1,1,3,326
143,"PRIMARY DATACHOLI BUJURG ROOM NO.-2",435,367,0,802,195,195,0,390,385,0,270,57,2,49,3,0,0,0,0,0,0,1,1,0,7,390
144,MANDAPUR,502,429,1,932,256,249,0,505,378,0,148,223,9,111,0,4,0,0,0,1,1,4,1,2,1,505
145,"TANDOLI JAHANN KHAN",280,256,0,536,187,156,0,343,343,0,92,66,45,132,0,0,0,0,0,0,0,0,1,0,7,343
146,"GANESH PUR TA0 NAHAR",396,343,0,739,211,223,0,434,434,0,237,24,144,16,1,0,0,0,0,2,0,2,2,0,6,434
147,"DHURRA TODKAPUR",388,339,0,727,199,197,0,396,393,0,221,32,45,85,0,1,0,0,0,1,1,3,4,0,3,396
148,"J.H. SCHOOL HARDOI ROOM NO.-1",731,625,0,1356,429,372,0,801,801,0,620,95,36,36,0,0,1,0,0,0,0,4,2,1,6,801
149,"J.H. SCHOOL HARDOI ROOM NO.-2",698,598,0,1296,358,260,0,618,618,0,158,140,89,209,4,7,0,0,0,1,0,3,3,1,3,618
150,"J.H. SCHOOL HARDOI ROOM NO.-3",474,419,0,893,270,192,0,462,436,0,77,324,9,42,0,0,0,2,1,0,0,1,0,1,5,462
151,"PRIMARY SCHOOL KHADOA ROOM NO.-1",513,399,0,912,343,236,0,579,579,0,116,415,26,14,2,0,0,0,0,0,1,0,1,1,3,579
152,"PRIMARY SCHOOL KHADOA ROOM NO.-2",556,443,0,999,352,207,0,559,556,0,5,509,4,37,0,0,0,0,2,1,0,0,0,1,0,559
153,"PRIMARY SCHOOL DUDHMA  ROOM NO.-1",483,391,0,874,258,202,0,460,460,0,124,159,16,153,1,0,0,1,0,0,1,0,4,1,0,460
154,"PRIMARY SCHOOL DUDHMA  ROOM NO.-2",319,279,0,598,234,200,0,434,428,0,28,103,29,265,3,2,0,0,0,0,2,1,1,0,0,434
155,"HUKARI MAZRA DUDHMA",277,221,0,498,192,141,0,333,333,0,26,177,3,117,4,2,1,0,0,0,0,2,1,0,0,333
156,"BAHONA KOTARA",795,661,0,1456,483,413,0,896,892,0,252,172,12,436,2,7,0,0,0,0,1,4,4,2,4,896
157,"BHAMASAI HUSAINAPUR",371,318,0,689,198,206,0,404,400,0,87,137,6,169,1,0,1,1,0,0,0,0,2,0,0,404
158,"PRIMARY SCHOOL SAMASPUR ROOM NO.-1",609,501,0,1110,334,332,0,666,660,0,227,384,13,23,0,1,0,0,2,0,0,2,2,3,9,666
159,"PRIMARY SCHOOL SAMASPUR ROOM NO.-2",634,566,0,1200,338,260,0,598,587,0,112,419,27,17,2,2,2,0,0,0,0,3,3,1,10,598
160,PIPLI,684,552,0,1236,315,249,0,564,554,0,59,35,43,407,4,6,0,0,1,0,0,4,2,1,2,564
161,SEFAPUR,499,408,0,907,325,275,0,600,586,0,330,13,119,128,1,1,0,0,1,0,1,5,0,0,1,600
162,"PRIMARY SCHOOL MAUPUR BHAUPUR ROOM NO.-1",400,345,0,745,162,134,0,296,292,0,68,9,16,188,4,1,0,0,0,0,0,3,3,1,3,296
163,"PRIMARY SCHOOL MAUPUR BHAUPUR ROOM NO.-2",416,365,0,781,209,161,0,370,354,0,68,16,132,142,3,4,0,0,0,0,0,3,0,0,2,370
164,"J.H. SCHOOL  BADESRA ROOM NO.-1",636,531,0,1167,325,251,0,576,550,0,106,40,175,237,4,2,0,0,1,0,2,1,2,3,3,576
165,"J.H. SCHOOL  BADESRA ROOM NO.-2",713,578,0,1291,378,330,0,708,300,0,368,109,89,114,4,2,1,0,8,0,0,3,3,2,5,708
166,LAHASKI,374,345,0,719,238,235,0,473,274,0,336,3,48,68,3,2,0,0,1,0,0,1,5,3,3,473
