"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
53,BARKHERA,317,277,0,594,169,148,0,317,306,0,65,42,83,8,96,2,3,1,0,2,1,2,2,5,4,1,317
54,BANGRA,803,710,0,1513,432,246,0,678,676,0,175,78,96,103,4,6,1,3,2,2,10,8,8,11,148,23,678
55,PACHKHURA,474,392,0,866,358,233,0,591,591,0,62,13,356,16,13,1,2,2,0,0,3,1,3,2,114,3,591
56,PACHKHURA,385,336,0,721,226,192,0,418,400,0,24,7,211,39,0,0,2,0,0,1,3,0,6,4,116,5,418
57,MAMNA,757,642,0,1399,364,261,0,625,405,0,160,28,249,128,2,1,1,4,0,3,4,1,6,5,28,5,625
58,MAMNA,634,547,0,1181,379,263,0,642,637,0,193,19,311,39,1,2,4,1,0,1,7,2,3,3,39,17,642
59,MAMNA,460,412,0,872,239,170,0,409,398,0,67,12,169,101,2,3,6,1,0,1,1,2,1,1,40,2,409
60,MANKAHRI,543,497,0,1040,309,250,0,559,532,0,76,20,30,192,2,2,6,1,0,3,8,2,2,8,197,10,559
61,DHAGAWAN,468,405,0,873,272,192,0,464,463,0,285,67,20,30,0,3,3,0,3,0,1,3,2,2,37,8,464
62,DHAGAWAN,454,387,0,841,253,187,0,440,359,0,179,58,10,162,3,2,4,1,1,1,0,3,1,2,2,11,440
63,DADAUN,396,340,0,736,233,142,0,375,375,0,236,30,28,40,2,2,1,0,2,0,2,4,2,2,17,7,375
64,ATRAULI,758,678,0,1436,452,342,0,794,790,0,547,33,64,104,0,2,2,2,0,0,1,4,3,3,20,9,794
65,"KHERA SILAJEET",689,596,0,1285,384,301,0,685,675,0,332,133,75,89,3,1,2,3,2,1,3,2,5,4,9,21,685
66,"KHERA SILAJEET",475,381,0,856,296,191,0,487,482,0,293,34,15,123,0,1,2,0,2,0,5,4,2,0,1,5,487
67,"KHERA SILAJEET",365,338,0,703,195,130,0,325,7,0,188,35,35,48,2,3,2,1,0,0,4,1,1,0,3,2,325
68,GUTAKWARA,484,395,0,879,321,219,0,540,540,0,324,39,12,67,6,1,5,1,1,0,2,3,11,4,54,10,540
69,"ITAILIYA BAZA",651,575,0,1226,316,243,0,559,559,0,332,15,55,116,2,6,3,1,1,3,8,2,4,1,3,7,559
70,"ITAILIYA BAZA",642,579,0,1221,425,277,0,702,702,0,546,66,57,11,1,2,1,0,0,0,2,1,1,1,1,12,702
71,"ITAILIYA BAZA",663,570,0,1233,393,256,0,649,649,0,415,113,81,9,0,4,2,1,1,1,1,0,0,0,11,10,649
72,JARIYA,637,550,0,1187,342,282,0,624,624,0,272,101,73,75,2,0,3,1,1,2,4,7,3,2,70,8,624
73,JARIYA,465,393,0,858,215,185,0,400,300,0,125,144,14,65,0,3,1,1,0,0,1,3,2,4,31,6,400
74,KARIYARI,554,490,0,1044,325,244,0,569,569,0,208,99,64,40,1,4,1,0,1,0,6,3,1,1,131,9,569
75,KARIYARI,528,449,0,977,262,181,0,443,22,0,260,44,32,52,0,1,2,1,0,1,2,1,1,3,30,13,443
76,SARILA,591,494,0,1085,396,308,0,704,704,0,245,79,114,129,1,3,1,3,1,1,5,6,1,3,103,9,704
77,SARILA,667,581,0,1248,470,359,0,829,32,0,427,63,236,19,4,8,0,0,0,1,1,0,1,5,56,8,829
78,SARILA,571,545,0,1116,391,317,0,708,707,0,359,44,117,80,2,1,8,1,1,2,3,2,4,3,68,13,708
79,SARILA,582,530,0,1112,364,270,0,634,617,0,375,18,97,54,2,0,8,2,0,0,1,1,4,3,65,4,634
80,SARILA,610,521,0,1131,295,253,0,548,537,0,299,37,118,18,16,6,3,0,1,4,4,3,0,5,27,7,548
81,SARILA,702,588,0,1290,441,344,0,785,28,0,196,110,77,259,8,6,5,0,1,1,9,1,3,5,102,2,785
82,BARGAWAN,467,380,0,847,366,193,0,559,548,0,277,9,5,169,2,0,4,1,0,3,4,5,2,3,65,10,559
83,TAI,389,344,0,733,243,191,0,434,434,0,68,49,145,61,4,4,3,1,1,1,5,1,1,3,86,1,434
84,GAHULI,221,208,0,429,96,95,0,191,188,0,72,6,22,81,0,0,2,1,0,0,4,0,0,1,0,2,191
85,BEELPUR,417,348,0,765,217,157,0,374,357,0,98,24,110,94,3,2,6,2,0,0,3,1,1,0,26,4,374
86,PURAINI,455,375,0,830,191,141,0,332,315,0,74,62,36,25,68,8,1,1,1,0,2,1,4,9,33,7,332
87,PURAINI,381,308,0,689,182,121,0,303,301,0,73,23,66,63,3,0,2,0,2,0,6,0,3,4,53,5,303
88,PURAINI,742,597,0,1339,391,238,0,629,626,0,313,182,53,9,5,8,4,0,2,0,2,3,2,2,42,2,629
89,PURAINI,720,607,0,1327,382,204,0,586,584,0,266,129,65,67,1,0,3,0,0,0,0,5,5,1,36,8,586
90,KATEHRI,454,366,0,820,262,199,0,461,442,0,174,9,137,58,2,3,6,2,1,4,3,2,2,7,42,9,461
91,BILGAON,606,462,0,1068,305,177,0,482,481,0,206,58,62,64,0,6,4,0,1,2,3,2,2,2,69,1,482
92,BILGAON,443,378,0,821,212,141,0,353,352,0,144,38,55,68,9,3,1,4,1,0,1,0,2,1,18,8,353
93,BILGAON,506,431,0,937,301,204,0,505,204,0,232,86,69,26,15,3,4,0,4,2,5,4,8,3,36,8,505
94,BILGAON,454,382,0,836,251,157,0,408,270,0,172,59,90,30,10,3,3,0,1,0,3,1,2,0,30,4,408
95,UPARAHNKA,491,438,0,929,276,200,0,476,450,0,156,93,58,118,7,5,1,2,1,0,3,1,3,0,27,1,476
96,UPARAHNKA,512,440,0,952,244,165,0,409,407,0,90,44,21,84,7,0,0,0,0,0,3,1,1,6,135,17,409
97,BANDWA,705,614,0,1319,391,243,0,634,634,0,409,28,61,53,17,4,6,1,1,0,2,5,4,3,23,17,634
98,BANDWA,609,479,0,1088,341,208,0,549,546,0,238,17,48,164,13,3,5,2,2,3,2,2,1,7,25,17,549
99,PARCHHA,447,392,0,839,233,185,0,418,418,0,255,32,15,39,1,3,4,0,2,1,6,5,2,3,44,6,418
100,PARCHHA,421,352,0,773,263,204,0,467,467,0,223,28,53,56,2,3,2,1,1,1,2,2,1,0,89,3,467
101,MAGRAUL,524,465,0,989,336,262,0,598,18,0,136,19,199,72,4,2,1,1,1,0,2,2,4,6,140,9,598
102,CHHIBAULI,632,528,0,1160,412,286,0,698,695,0,195,168,60,88,3,0,4,1,0,3,5,4,7,4,145,11,698
103,"RIGWARA KALAN",281,255,0,536,162,135,0,297,297,0,132,54,56,6,2,4,4,2,2,2,0,1,0,1,30,1,297
104,ALKCHHAWAN,610,528,0,1138,329,264,0,593,590,0,377,75,27,77,2,1,2,2,1,1,5,4,3,4,6,6,593
105,JAMKHURI,358,294,0,652,246,193,0,439,439,0,198,71,66,78,2,3,2,1,0,0,1,3,1,3,4,6,439
106,PAWAI,524,465,0,989,287,220,0,507,505,0,280,71,37,53,1,1,5,1,2,4,3,8,5,5,14,17,507
107,PAWAI,549,440,0,989,320,220,0,540,538,0,246,150,57,21,1,5,4,2,1,5,3,3,6,4,25,7,540
108,VEERA,651,562,0,1213,424,303,0,727,724,0,179,54,39,104,9,1,2,0,1,1,4,1,6,1,8,317,727
109,VEERA,698,545,0,1243,380,262,0,642,382,0,272,19,23,88,0,1,1,0,2,2,2,2,2,7,9,212,642
110,KARAHI,518,424,0,942,296,210,0,506,491,0,159,51,224,51,0,3,1,0,0,3,6,1,1,1,2,3,506
111,PATKHURI,642,548,0,1190,345,258,0,603,602,0,272,52,208,38,3,5,3,0,2,0,3,3,2,3,2,7,603
112,"RIGWARA KHURD",603,510,0,1113,4,1,0,5,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
113,AMOOND,756,617,0,1373,364,228,0,592,584,0,236,189,68,37,3,7,4,2,3,0,5,3,1,2,25,7,592
114,AMOOND,499,429,0,928,269,183,0,452,452,0,132,40,77,88,0,3,1,2,1,2,4,1,1,2,87,11,452
115,BHAINSAY,556,487,0,1043,328,214,0,542,540,0,258,101,105,10,7,3,1,2,1,3,3,1,1,2,42,2,542
116,BHAINSAY,515,432,0,947,282,218,0,500,499,0,167,75,16,77,3,3,5,0,0,2,4,2,2,7,122,15,500
117,PAHRA,629,542,0,1171,335,245,0,580,380,0,243,49,15,170,3,4,6,1,1,1,8,4,2,2,67,4,580
118,PAHRA,646,519,0,1165,310,257,0,567,300,0,254,138,50,51,20,7,0,0,0,1,2,3,1,7,19,14,567
119,UMARIYA,645,585,0,1230,340,270,0,610,605,0,250,98,52,156,5,2,3,1,0,2,8,5,4,2,10,12,610
120,UMARIYA,434,374,0,808,279,206,0,485,480,0,203,175,43,33,1,6,3,0,1,1,3,1,2,4,6,3,485
121,UMARIYA,369,330,0,699,166,104,0,270,270,0,131,59,34,30,3,0,0,0,0,0,2,5,0,0,3,3,270
122,"KACHWA KALAN",617,540,0,1157,324,218,0,542,525,0,268,99,138,12,3,2,0,2,3,0,2,0,3,1,5,4,542
123,"KACHWA KALAN",386,318,0,704,209,150,0,359,356,0,179,41,73,38,2,3,0,0,1,0,4,5,1,1,6,5,359
124,KHAJURI,354,274,0,628,199,157,0,356,152,0,157,88,71,20,1,2,0,0,0,0,3,2,1,1,4,6,356
125,KARAUNDI,439,381,0,820,273,216,0,489,51,0,210,56,119,52,15,3,2,0,0,2,2,1,4,1,13,9,489
126,KARAUNDI,405,322,0,727,248,196,0,444,444,0,198,47,108,36,7,3,5,0,1,4,5,2,0,2,21,5,444
127,GOHAND,735,630,0,1365,567,292,0,859,859,0,444,168,78,101,15,4,2,0,4,3,7,4,3,7,5,14,859
128,GOHAND,699,608,0,1307,440,321,0,761,733,0,306,235,56,83,18,1,2,2,0,3,5,4,7,7,26,6,761
129,GOHAND,731,606,0,1337,434,383,0,817,807,0,333,141,90,193,7,2,4,2,3,4,5,7,3,4,13,6,817
130,GOHAND,614,532,0,1146,380,297,0,677,490,0,316,127,70,136,3,3,2,2,2,0,1,1,1,0,6,7,677
131,GOHAND,306,276,0,582,220,192,0,412,401,0,272,68,19,13,1,1,0,0,1,0,3,2,2,5,8,17,412
132,KAIMOKHAR,269,219,0,488,200,164,0,364,364,0,126,72,76,57,2,2,1,1,0,1,1,2,1,1,20,1,364
133,"BILGAON TEELA",194,171,0,365,135,115,0,250,247,0,164,20,25,13,0,0,1,1,1,0,1,4,3,0,11,6,250
134,"BARA KHARKA",497,427,0,924,320,262,0,582,580,0,350,103,47,51,2,5,1,3,1,0,3,0,1,1,3,11,582
135,CHURHA,556,464,0,1020,337,262,0,599,597,0,322,45,172,42,1,2,1,0,1,1,4,3,0,0,4,1,599
136,TURNA,744,583,0,1327,459,339,0,798,797,0,436,33,45,112,21,4,9,2,0,1,1,1,8,8,102,15,798
137,JIGANI,510,407,0,917,224,181,0,405,405,0,364,11,7,5,0,0,0,1,0,0,0,0,1,2,10,4,405
138,JIGANI,572,461,0,1033,278,209,0,487,99,0,223,49,13,64,1,3,4,0,1,1,10,4,1,5,77,31,487
139,"CHAK AMARPURA",415,334,0,749,128,64,0,192,1,0,111,18,4,38,0,3,3,0,1,1,2,0,3,2,4,2,192
140,"ETAILIYA RAJA",593,497,0,1090,333,284,0,617,617,0,352,15,53,156,2,1,1,1,0,2,6,2,2,4,4,16,617
141,BANGARA,727,632,0,1359,392,343,0,735,735,0,530,68,20,41,9,6,7,0,1,2,3,5,3,5,22,13,735
142,DHAGWAN,681,616,0,1297,385,319,0,704,704,0,376,33,28,202,8,4,7,0,3,0,1,1,1,1,35,4,704
143,ATAGAON,531,461,0,992,331,269,0,600,395,0,288,168,8,102,10,1,6,0,1,2,0,2,2,0,7,3,600
144,ATAGAON,527,476,0,1003,257,218,0,475,475,0,50,286,18,91,2,1,0,2,2,0,4,3,0,5,6,5,475
145,GARHAR,244,223,0,467,162,129,0,291,287,0,88,16,107,20,1,3,4,1,2,2,6,3,0,3,24,11,291
146,"TOLA KHANGARAN",521,462,0,983,273,216,0,489,488,0,198,31,47,176,3,1,2,1,1,1,5,1,5,3,8,6,489
147,"TOLA KHANGARAN",399,375,0,774,237,200,0,437,431,0,264,42,71,7,1,9,5,0,2,0,2,3,2,0,24,5,437
148,SARGAON,476,413,0,889,260,206,0,466,18,0,172,19,43,145,6,3,4,1,3,1,7,6,7,3,31,15,466
149,SARGAON,414,355,0,769,259,202,0,461,461,0,343,7,55,33,1,1,1,1,0,0,4,2,0,3,3,7,461
150,MAJHGAWAN,758,631,0,1389,455,371,0,826,825,0,389,19,82,265,0,3,7,3,1,3,14,5,5,3,10,17,826
151,MAJHGAWAN,761,667,0,1428,477,373,0,850,850,0,764,19,9,27,1,3,2,0,1,1,2,3,2,3,4,9,850
152,LIDHAURA,698,601,0,1299,387,317,0,704,519,0,464,8,31,92,2,3,2,0,1,0,8,2,4,0,71,16,704
153,"MALEHTA DANDA",587,506,0,1093,288,263,0,551,551,0,334,8,67,109,2,1,3,0,0,0,6,4,5,0,0,12,551
154,"MALEHTA DANDA",405,373,0,778,200,185,0,385,385,0,299,3,20,40,1,2,4,1,1,0,2,2,1,1,1,7,385
155,NAURANGA,617,556,0,1173,397,318,0,715,670,0,443,64,56,101,3,4,7,0,2,1,7,2,6,2,4,13,715
156,NAURANGA,622,532,0,1154,350,254,0,604,576,0,313,114,67,83,3,3,0,0,0,0,2,0,4,1,8,6,604
157,NAURANGA,573,492,0,1065,339,255,0,594,407,0,282,66,86,92,4,8,5,1,0,4,11,3,6,7,10,9,594
158,KHARAKHAR,515,446,0,961,302,259,0,561,558,0,378,17,11,101,2,5,4,1,1,0,4,1,2,0,30,4,561
159,CHURWA,247,221,0,468,124,126,0,250,250,0,73,24,3,110,1,4,7,1,0,1,4,2,0,0,17,3,250
160,UMANNIYAN,299,262,0,561,205,168,0,373,373,0,43,132,46,80,0,1,3,2,1,0,2,1,0,0,60,2,373
161,TOONKA,280,251,0,531,188,159,0,347,347,0,99,80,3,124,7,1,4,0,2,3,3,1,1,5,7,7,347
162,BAKRAI,542,469,0,1011,297,241,0,538,17,0,320,91,19,58,4,5,5,0,3,1,0,2,1,2,22,5,538
163,KOTHA,296,267,0,563,186,174,0,360,41,0,180,17,10,87,5,3,0,0,1,0,5,6,2,4,29,11,360
164,DEVRA,334,290,0,624,250,169,0,419,386,0,322,31,17,18,2,4,1,1,2,0,2,1,2,2,7,7,419
165,MALAUHAMAF,401,363,0,764,238,208,0,446,446,0,158,26,12,18,1,1,2,0,0,2,2,5,7,9,197,6,446
166,BIHAR,240,211,0,451,165,143,0,308,308,0,64,164,4,58,0,0,0,0,0,0,1,1,1,1,4,10,308
167,BAREL,384,327,0,711,251,211,0,462,287,0,269,60,43,55,1,1,0,0,0,0,0,1,2,1,22,7,462
168,IKATHAUR,437,392,0,829,294,237,0,531,531,0,222,41,194,25,4,4,4,1,2,0,6,6,3,5,3,11,531
169,BILRAKH,487,428,0,915,284,227,0,511,511,0,301,51,14,95,2,4,9,1,1,1,2,1,5,4,8,12,511
170,BILRAKH,519,454,0,973,303,227,0,530,2,0,331,41,59,58,1,7,2,2,0,1,2,1,1,0,16,8,530
171,"ITAURA RATH",491,425,0,916,250,208,0,458,458,0,318,35,6,59,2,5,4,1,0,0,2,2,1,0,16,7,458
172,"ITAURA RATH",489,434,0,923,321,244,0,565,562,0,354,62,27,45,3,3,2,5,1,2,5,6,2,1,38,9,565
173,KURRA,739,627,0,1366,475,445,0,920,920,0,552,135,38,99,3,4,2,3,3,0,3,1,2,4,56,15,920
174,KURRA,283,254,0,537,183,169,0,352,352,0,192,33,12,83,0,1,0,0,0,0,0,3,4,3,18,3,352
175,"GOHANI PANWARI",403,353,0,756,233,174,0,407,397,0,131,166,9,72,4,3,5,1,0,1,5,3,1,2,1,3,407
176,"GOHANI PANWARI",449,398,0,847,265,208,0,473,460,0,182,199,17,32,6,3,3,2,0,0,4,2,0,0,19,4,473
177,"SIKRAUNDHA RATH",370,323,0,693,247,153,0,400,400,0,161,101,17,64,0,3,7,1,2,4,2,3,6,3,14,12,400
178,KUCHHECHHA,225,198,0,423,137,132,0,269,269,0,70,7,28,90,2,1,2,0,1,2,3,0,3,1,54,5,269
179,JHINNAVEERA,637,534,0,1171,437,277,0,714,714,0,342,144,99,47,2,5,6,4,5,5,12,4,4,4,6,25,714
180,JHINNAVEERA,529,440,0,969,280,228,0,508,7,0,87,138,8,239,1,8,4,0,2,2,7,4,4,2,2,0,508
181,TOLARAWAT,487,407,0,894,303,202,0,505,503,0,252,83,39,93,4,2,4,1,2,0,2,6,6,2,4,5,505
182,TOLARAWAT,390,327,0,717,209,158,0,367,66,0,134,42,26,132,0,3,2,1,1,1,2,3,2,2,16,0,367
183,TOLARAWAT,430,359,0,789,254,178,0,432,432,0,235,21,58,70,2,5,1,1,0,2,3,1,2,2,15,14,432
184,TOLARAWAT,388,324,0,712,249,152,0,401,401,0,265,52,39,17,2,2,2,1,0,1,1,3,0,1,12,3,401
185,GIRWAR,474,399,0,873,350,266,0,616,616,0,505,43,25,18,0,4,3,1,5,1,0,2,1,0,2,6,616
186,GIRWAR,455,412,0,867,315,260,0,575,574,0,284,42,23,91,51,1,4,2,1,3,7,5,1,11,39,10,575
187,KAITHA,556,493,0,1049,356,301,0,657,655,0,293,34,40,221,15,2,6,0,1,4,7,3,5,5,10,11,657
188,KAITHA,511,456,0,967,361,301,0,662,662,0,375,38,44,87,7,7,4,0,1,2,6,4,3,4,60,20,662
189,"SADAR KAITHA",361,323,0,684,214,195,0,409,141,0,37,10,290,54,2,1,0,0,0,0,4,2,3,4,1,1,409
190,KULHAINDA,541,486,0,1027,326,273,0,599,598,0,168,91,25,247,3,1,4,1,0,5,3,4,4,2,29,12,599
191,KULHAINDA,418,378,0,796,258,169,0,427,410,0,200,70,14,118,1,2,3,1,0,0,1,3,2,2,4,6,427
192,"MUSKARA KHURD",703,638,0,1341,423,302,0,725,125,0,412,76,34,143,5,8,7,2,5,1,7,0,4,3,16,2,725
193,"MUSKARA KHURD",317,278,0,595,189,154,0,343,342,0,102,46,52,102,3,1,1,0,2,1,6,2,5,3,4,13,343
194,BASELA,594,527,0,1121,378,330,0,708,694,0,416,57,107,48,1,4,2,0,2,0,6,2,4,5,34,20,708
195,BASELA,629,549,0,1178,358,328,0,686,53,0,192,54,63,343,4,4,2,0,0,2,6,4,1,0,7,4,686
196,"PAHARI GARHI",473,432,0,905,312,266,0,578,578,0,325,69,80,43,13,3,6,1,2,2,3,5,5,0,16,5,578
197,"PAHARI GARHI",406,337,0,743,234,175,0,409,409,0,175,38,15,156,4,2,2,0,1,0,4,1,2,3,4,2,409
198,NAUHAI,543,505,0,1048,313,281,0,594,592,0,134,163,38,192,11,2,5,2,4,0,4,2,15,5,9,8,594
199,NAUHAI,448,386,0,834,318,223,0,541,541,0,297,132,31,27,1,4,2,0,0,1,2,0,3,1,35,5,541
200,SAIDPUR,639,565,0,1204,360,303,0,663,663,0,240,98,136,137,7,0,4,0,1,3,7,2,4,5,10,9,663
201,SAIDPUR,647,544,0,1191,456,340,0,796,796,0,429,89,162,61,1,1,3,1,3,1,6,6,3,5,12,13,796
202,AUNDERA,701,626,0,1327,447,397,0,844,844,0,346,63,91,248,8,5,5,2,1,2,8,3,4,6,34,18,844
203,AUNDERA,662,604,0,1266,405,335,0,740,740,0,151,210,145,165,4,4,4,3,0,3,8,5,1,4,31,2,740
204,MAWAI,574,498,0,1072,430,308,0,738,738,0,533,53,31,16,1,5,1,0,0,3,3,2,2,1,71,16,738
