"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
11,"OM VIDYA MANDIR SHRI NAGAR ROOM.NO.1 KATRI PIPARKHEDA",740,617,0,1357,423,319,0,742,701,0,32,15,2,608,0,0,0,3,70,3,0,2,0,0,0,1,1,0,0,3,0,2,742
12,"OM VIDYA MANDIR SHRI NAGAR ROOM.NO.2 KATRI PIPARKHEDA",734,602,0,1336,419,314,0,733,701,0,35,18,1,615,0,0,1,1,49,1,0,3,0,0,1,1,1,3,2,1,0,0,733
13,"PRAIMARI PATHSALA ROOM NO.1 JURAKHANKHEDA M0 KATRI PIPARKHEDA",736,537,0,1273,448,256,0,704,652,0,16,51,2,519,2,1,2,16,42,3,5,5,4,0,3,5,6,3,5,9,3,2,704
14,"PRAIMARI PATHSALA ROOM NO.2	 JURAKHANKHEDA M0 KATRI PIPARKHEDA",585,435,0,1020,331,195,0,526,412,0,48,48,3,279,0,1,1,5,120,4,2,0,2,1,0,3,4,0,1,2,0,2,526
15,"PRAIMARI PATHSALA RAMCHARAMAU",336,272,0,608,216,145,0,361,210,0,41,37,1,245,1,1,0,6,15,0,0,3,0,1,0,4,0,1,0,4,1,0,361
16,"PRAIMARI PATHSALA RAJWAKHEDA",574,482,0,1056,381,278,0,659,481,0,41,73,4,405,3,0,2,6,100,0,1,8,2,0,3,1,1,1,4,2,1,1,659
17,"PRAIMARI PATHSALA LAKHAPUR",385,308,0,693,283,199,0,482,471,0,158,35,1,201,1,0,0,2,52,2,0,0,2,0,1,4,3,10,6,3,0,1,482
18,"PRAIMARI PATHSALA KATRI ALHUAPUR SARESA",436,304,0,740,324,194,0,518,492,0,35,70,4,336,3,1,5,3,38,0,1,3,1,2,2,6,1,0,3,1,2,1,518
19,"PRAIMARI PATHSHALA EAST  BANTHER",728,591,0,1319,528,298,0,826,751,0,160,87,4,501,1,1,1,6,37,3,2,4,1,1,2,3,3,0,3,5,1,0,826
20,"PRAIMARI PATHSHALA WEST BANTHR",574,469,0,1043,364,293,0,657,421,0,47,43,4,512,2,1,0,4,25,4,1,4,1,0,2,1,0,1,1,4,0,0,657
21,"GIRLD PRAIMARI PATHSHALA EAST  BANTHR",508,398,0,906,275,198,0,473,310,0,97,36,0,215,1,0,0,1,92,0,0,1,3,0,2,8,1,4,5,5,1,1,473
22,"KANYA PRAIMARI PATHSHALA WEST  BANTHR",637,482,0,1119,376,210,0,586,254,0,71,128,0,361,0,0,0,0,13,0,0,5,1,4,0,0,1,1,1,0,0,0,586
23,"PRAIMARI PATHSHALA EAST  POTARIHA",490,386,0,876,299,229,0,528,410,0,34,68,3,240,2,1,1,1,151,2,0,7,2,0,6,5,0,1,1,0,3,0,528
24,"PRAIMARI PATHSHALA WEST POTARIHA",553,430,0,983,322,203,0,525,394,0,165,41,1,170,1,0,1,3,126,0,1,3,1,1,0,3,3,2,0,1,0,2,525
25,"PRAIMARI PATHSHALA BABAKHEDA M. POTARIHA",717,567,0,1284,473,300,0,773,438,0,55,197,2,352,2,3,2,8,99,4,1,3,4,1,1,13,5,5,8,6,1,1,773
26,"PRAIMARI PATHSHALA DUAA",929,736,0,1665,544,378,0,922,754,0,32,247,7,391,1,3,11,10,176,1,5,7,3,1,5,8,7,0,0,6,0,1,922
27,"JUNIAR HIGH SCHOOL BHAWANIKHEDA M0 KORARIKALA",523,412,0,935,322,270,0,592,368,0,281,143,3,92,4,1,0,2,27,2,0,3,0,0,0,6,1,9,3,5,1,9,592
28,"PRAIMARI PATHSHALA BHUBHUWAR M0 KORARIKALA",390,275,0,665,222,190,0,412,314,0,29,131,1,201,1,0,0,4,29,1,0,0,1,3,1,3,1,1,3,0,1,1,412
29,"PRAIMARI PATHSHALA EAST  KORAIKALA",601,462,0,1063,346,207,0,553,417,0,149,233,0,111,2,1,0,4,37,1,1,2,0,2,1,3,0,2,2,0,1,1,553
30,"PRAIMARI PATHSHALA KORAIKALA",420,361,0,781,198,174,0,372,123,0,58,176,2,63,4,1,1,6,34,1,1,1,0,0,2,6,3,1,0,3,2,7,372
31,"GIRLS PRAIMARI PATHSHALA KORAIKALA",766,634,0,1400,458,348,0,806,648,0,60,242,4,375,2,2,3,5,82,0,0,3,4,0,1,10,2,5,2,1,0,3,806
32,"PRAIMARI PATHSHALA ISWARIKHEDA M0 KORARIKALA",774,583,0,1357,411,297,0,708,641,0,241,277,3,127,2,1,0,1,31,3,0,1,3,0,1,4,1,2,2,1,3,4,708
33,"NAVEEN PRAIMARI PATHSHALA NORTH  AMARSAS",495,423,0,918,309,245,0,554,389,0,21,86,2,346,2,1,2,4,40,3,3,9,1,2,3,8,1,2,7,4,4,3,554
34,"NAVEEN PRAIMARI PATHSHALA SOUTH AMARSAS",541,506,0,1047,354,247,0,601,418,0,14,70,1,443,3,0,2,9,24,3,3,7,2,3,1,3,4,2,2,3,1,1,601
35,"PRAIMARI PATHSHALA KORARIKHURD",605,501,0,1106,344,320,0,664,426,0,16,179,4,298,6,2,1,8,124,3,1,5,1,0,2,5,0,2,1,2,4,0,664
36,"PRAIMARI PATHSHALA DAULATPUR",278,266,0,544,192,174,0,366,294,0,70,54,1,188,1,0,0,4,36,1,1,1,0,2,1,4,0,1,0,0,1,0,366
37,"PRAIMARI PATHSHALA EAST  BEHTA",530,410,1,941,316,238,0,554,345,0,19,120,0,327,0,0,0,1,62,4,0,1,1,1,0,7,0,4,3,1,0,3,554
38,"PRAIMARI PATHSHALA WEST  BEHTA",656,449,0,1105,334,154,0,488,409,0,183,104,0,115,0,1,0,0,59,1,0,4,1,0,0,3,4,7,5,0,1,0,488
39,"PRAIMARI PATHSHALA KARNIPUR SHIVEPURI EAST",536,463,0,999,306,254,0,560,361,0,198,127,2,177,1,1,0,5,37,4,0,2,2,0,1,1,0,1,0,0,0,1,560
40,"PRAIMARI PATHSHALA KARNIPUR SHIVPURI WEST",437,390,0,827,210,149,0,359,261,0,44,35,2,203,0,0,3,4,42,1,3,4,2,0,0,3,2,1,2,2,2,4,359
41,"PRAIMARI PATHSHALA SAIDPUR",636,510,0,1146,334,315,0,649,481,0,8,238,3,247,3,0,1,2,109,3,2,3,2,2,1,11,3,5,0,4,1,1,649
42,"ADARSH VIDYALAYA EAST ACHALGANJ",547,452,0,999,362,273,0,635,510,0,64,61,0,399,0,1,1,6,90,0,1,1,2,1,1,2,2,0,0,1,0,2,635
43,"ADARSH VIDYALAYA  WEST  ACHALGANJ",576,496,0,1072,321,288,0,609,541,0,96,131,1,271,1,0,0,3,87,1,0,2,2,1,1,2,1,1,0,5,1,2,609
44,"ADARSH VIDYALAY CENTRAL  ACHALGANJ",809,680,0,1489,490,365,0,855,729,0,88,105,2,494,6,0,3,5,123,1,0,2,5,3,3,5,2,1,2,1,2,2,855
45,"GIRLS PRAIMARI PATHSHALA ACHALGANJ",663,578,0,1241,388,291,0,679,510,0,58,61,2,421,3,1,0,2,87,5,0,2,3,3,1,9,1,4,8,5,2,1,679
46,"PRAIMARI PATHSHALA KANTI",211,185,0,396,165,129,0,294,149,0,50,45,1,176,1,0,0,0,9,0,0,3,1,0,0,2,0,1,1,1,2,1,294
47,"PANCHAYAT GHAR LOHCHA",446,372,0,818,327,192,0,519,394,0,169,97,1,197,2,0,1,1,34,0,0,1,2,1,0,4,0,3,1,1,1,3,519
48,"PRAIMARI PATHSHALA MAWAIYA MAPHI",646,516,0,1162,397,324,0,721,621,0,190,244,4,214,5,0,1,3,43,1,0,1,1,0,1,6,0,2,1,0,3,1,721
49,"PANCHAYAT GHAR EAST HADAHA",563,426,0,989,327,244,0,571,451,0,141,23,3,328,1,0,5,3,48,2,2,7,0,0,0,1,1,1,0,2,2,1,571
50,"PANCHAYAT GHAR WEST  HADAHA",570,412,0,982,268,199,0,467,367,0,143,22,7,196,1,0,0,1,39,14,1,4,5,1,0,6,6,4,3,7,0,7,467
51,"PRAIMARI PATHSHALA NORTH HADAHA",551,407,0,958,293,206,0,499,418,0,130,31,3,207,4,0,0,4,96,1,0,6,0,4,2,1,3,1,1,1,2,2,499
52,"PRAIMARI PATHSHALA SOUTH HADAHA",551,371,0,922,230,163,0,393,310,0,160,12,0,109,0,1,1,3,90,0,2,1,4,0,0,1,2,3,1,1,0,2,393
53,"V.S.INTER COLLEGE EAST HADAHA",633,482,0,1115,329,253,0,582,419,0,285,30,1,6,2,1,2,1,235,1,0,1,1,0,1,1,6,4,0,1,1,2,582
54,"V.S.INTER COLLEGE WEST HADAHA",613,402,0,1015,273,172,0,445,398,0,178,134,0,34,0,0,0,1,92,1,0,3,0,0,0,0,0,0,0,1,1,0,445
55,"SAHABKHEDA M0 HADAHA",945,632,0,1577,496,261,0,757,567,0,241,72,1,380,4,0,0,8,32,4,1,2,0,1,0,2,0,1,1,3,2,2,757
56,"PRAIMARI PATHSHALA BEHTIGOPALPUR",310,258,0,568,208,167,0,375,254,0,166,41,42,41,1,1,2,2,61,2,0,0,0,0,2,1,2,4,1,1,5,0,375
57,"PRAIMARI PATHSHALA KURMAPUR",331,240,0,571,208,160,0,368,251,0,46,71,3,200,1,1,0,2,18,0,0,0,1,1,0,6,3,4,2,4,1,4,368
58,"PRAIMARI PATHSHALA JAGJEEWANPUR BEHTIGOPALPUR",564,409,0,973,325,237,0,562,503,0,52,61,4,386,1,0,1,3,30,12,0,1,1,0,2,0,0,1,2,4,1,0,562
59,"JUNIAR HIGH SCHOOL EAST  BADRAKA",714,556,0,1270,505,305,0,810,691,0,157,51,1,445,2,1,3,7,81,1,1,14,4,5,5,7,5,5,5,1,3,6,810
60,"JUNIAR HIGH SCHOOL WEST  BADRAKA",717,543,0,1260,477,322,0,799,601,0,105,43,3,463,1,3,0,6,148,3,1,7,0,2,1,4,2,2,1,3,0,1,799
61,"PRAIMARI PATHSHALA KAROUNDI",562,474,0,1036,401,332,0,733,593,0,104,108,4,238,5,1,2,12,189,2,3,5,7,3,2,10,10,6,1,1,3,17,733
62,"PRAIMARI PATHSHALA TAJPUR NOUBASTA",441,358,0,799,318,248,0,566,482,0,97,81,2,355,0,0,0,2,11,1,0,0,2,0,0,4,1,5,2,3,0,0,566
63,"PRAIMARI PATHSHALA EAST  ATA",807,623,0,1430,492,337,0,829,693,0,9,161,8,508,1,5,4,10,83,8,1,2,5,2,2,7,0,1,1,1,4,6,829
64,"PRAIMARI PATHSHALA WEST ATA",661,549,0,1210,400,308,0,708,200,0,76,84,4,372,0,2,2,8,118,2,1,6,8,3,3,4,1,0,5,3,3,3,708
65,"PRAIMARI PATHSHALA EAST  SUPASI",577,459,0,1036,377,274,0,651,420,0,201,212,7,58,4,3,6,25,104,0,0,3,1,3,3,5,7,0,0,3,3,3,651
66,"PRAIMARI PATHSHALA EXTRA ROOM SUPASI",515,420,0,935,340,250,0,590,481,0,133,222,1,160,3,0,1,7,41,2,0,0,6,0,4,7,0,1,0,1,1,0,590
67,"PRAIMARI PATHSHALA WEST SUPASI",469,353,0,822,306,142,0,448,61,0,93,133,1,145,2,2,0,4,56,0,0,0,0,0,1,2,2,0,1,4,1,1,448
68,"PRAIMARI PATHSHALA EAST MAWAIYA LAYAK CHHERIHA",297,221,0,518,202,146,0,348,263,0,4,24,3,214,1,1,2,3,91,0,0,2,0,0,0,0,1,0,0,1,1,0,348
69,"PRAIMARI PATHSHALA WEST CHHERIHA",531,436,1,968,327,232,0,559,415,0,100,178,1,205,6,1,0,2,34,2,1,3,0,1,3,5,4,1,2,4,2,4,559
70,"PRAIMARI PATHSHALA SHUKULPUR",364,285,0,649,226,175,0,401,298,0,92,148,3,111,1,1,1,1,13,1,0,2,2,2,1,5,1,4,2,7,2,1,401
71,"PRAIMARI PATHSHALA EAST  GADARI",289,222,0,511,218,152,0,370,241,0,116,39,3,183,2,1,1,3,10,2,0,0,1,1,1,3,0,0,0,1,1,2,370
72,"PRAIMARI PATHSHALA MANOHARPUR",162,133,0,295,118,103,0,221,184,0,95,90,0,22,2,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,221
73,"PRAIMARI PATHSHALA GADARI WEST  MANOHARPUR",530,376,0,906,312,221,0,533,341,0,263,112,2,93,2,3,2,4,30,2,0,0,2,1,6,6,0,2,1,1,1,0,533
74,"PRAIMARI PATHSHALA BAIRAGAR",317,273,0,590,241,169,0,410,410,0,141,129,0,86,0,0,0,1,25,1,0,1,4,0,0,11,1,5,1,2,0,2,410
75,"PRAIMARI PATHSHALA TIKARI PADMRA",239,203,0,442,175,150,0,325,265,0,240,4,2,55,1,0,1,2,15,0,0,1,0,1,2,1,0,0,0,0,0,0,325
76,"PRAIMARI PATHSHALA SARWAGAR",338,250,0,588,250,164,0,414,341,0,107,91,2,176,0,0,1,4,23,1,0,1,0,0,0,2,2,2,0,0,1,1,414
77,"PRAIMARI PATHSHALA DUDHAUDA",293,221,0,514,239,156,0,395,395,0,86,38,0,231,0,0,0,2,12,1,0,1,3,1,5,3,1,2,3,1,4,1,395
78,"GIRLS JUNIAR HIGH SCHOOL BALIYAKHEDA TIKARI GANESH GAIHEHATMALI",428,367,1,796,334,235,0,569,482,0,29,147,2,274,0,1,0,5,92,0,1,4,2,2,1,2,0,1,0,1,3,2,569
79,"PRAIMARI PATHSHALA BALAI",735,634,0,1369,522,378,0,900,759,0,445,94,1,234,3,1,3,5,56,10,1,9,6,0,0,13,1,3,6,8,1,0,900
80,"PRAIMARI PATHSHALA MALMAU",400,301,0,701,263,203,0,466,394,0,255,35,1,100,2,1,1,4,24,2,0,2,3,1,1,7,0,14,4,2,1,6,466
81,"PRAIMARI PATHSHALA BASAINA",518,405,0,923,295,213,0,508,368,0,60,63,5,317,1,1,1,2,37,1,2,5,0,0,0,4,0,2,2,1,3,1,508
82,"PANCHAYAT GHAR BASAINA",918,763,0,1681,498,370,0,868,749,0,244,168,6,240,3,2,1,7,160,2,1,3,4,1,4,4,4,2,5,2,1,4,868
83,"PRAIMARI PATHSHALA BETHAR NORTH",613,475,0,1088,353,215,0,568,469,0,137,141,3,202,0,0,2,3,64,3,0,2,2,1,5,1,0,0,0,0,1,1,568
84,"PRAIMARI PATHSHALA BETHAR SOUTH",558,400,0,958,280,211,0,491,361,0,38,48,0,260,2,0,0,7,104,1,1,5,2,2,3,5,2,5,0,1,1,4,491
85,"GIRLS PRAIMARI PATHSHALA NORTH BETHAR",506,408,0,914,314,233,0,547,418,0,80,11,4,380,0,2,4,5,43,2,0,3,0,1,0,1,0,2,1,2,0,6,547
86,"GIRLS PRAIMARI PATHSHALA SOUTH BETHAR",533,441,0,974,285,205,0,490,367,0,41,48,3,356,1,0,2,4,22,3,1,1,1,0,0,0,1,1,1,1,1,2,490
87,"PRAIMARI PATHSHALA BAND HAMIRPUR",652,510,0,1162,381,313,0,694,521,0,96,160,1,251,4,0,1,1,147,1,0,4,3,3,0,8,4,4,1,2,1,2,694
88,"PRAIMARI PATHSHALA ITAULI EAST",527,445,0,972,340,245,0,585,502,0,114,214,1,179,3,2,0,4,41,0,1,1,4,2,1,7,2,4,2,0,1,2,585
89,"PRAIMARI PATHSHALA ITAULI WEST",555,473,0,1028,284,231,0,515,487,0,88,105,5,219,1,0,0,2,77,5,1,5,1,2,0,2,0,0,0,1,0,1,515
90,"PRAIMARI PATHSHALA RAIPUR SATAN",407,324,0,731,209,147,0,356,269,0,120,67,1,121,2,0,3,8,5,0,0,3,3,0,1,8,6,3,0,0,1,4,356
91,"PRAIMARI PATHSHALA SHIVPUR NORTH",525,461,0,986,301,228,0,529,389,0,75,110,1,268,2,1,1,2,55,0,8,1,0,0,0,1,0,0,2,1,0,1,529
92,"PRAIMARI PATHSHALA SHIVPUR SOUTH",142,116,0,258,70,47,0,117,91,0,3,41,1,65,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,117
93,"PRAIMARI PATHSHALA SIPATPUR",261,241,0,502,151,152,0,303,193,0,61,33,4,171,0,1,0,1,23,0,0,0,1,0,0,2,2,1,2,0,1,0,303
94,"PRAIMARI PATHSHALA MAROI",726,588,0,1314,319,228,0,547,364,0,49,77,2,276,1,2,0,9,98,2,2,4,1,3,3,7,3,0,1,1,2,4,547
95,"SHRI PATEL HAIER SECONDRI SCHOOL MAINAHA",736,656,0,1392,415,351,0,766,498,0,40,123,2,193,2,4,1,9,355,2,1,4,1,2,2,7,5,0,0,3,3,7,766
96,"PRAIMARI PATHSHALA BHADOHI",304,247,0,551,162,146,0,308,251,0,94,57,2,92,2,0,2,1,51,0,0,1,0,0,1,3,0,0,0,0,1,1,308
97,"PRAIMARI PATHSHALA HASNAPUR",308,242,0,550,182,151,0,333,320,0,31,46,1,131,0,1,3,1,100,1,1,3,3,1,0,3,1,1,0,2,2,1,333
98,"JUNIAR HIGH SCHOOL EAST RAWATPUR",583,503,0,1086,345,316,0,661,551,0,135,169,1,256,3,1,0,1,48,0,1,2,6,2,0,14,3,6,4,2,1,6,661
99,"PRAIMARI PATHSHALA TIKAULI",445,373,0,818,239,220,0,459,321,0,33,90,0,195,1,2,0,6,117,0,0,3,0,2,0,3,0,0,1,3,2,1,459
100,"PRAIMARI PATHSHALA MANPUR",473,373,0,846,251,234,0,485,291,0,20,123,1,270,0,0,0,4,49,2,0,0,5,1,0,1,2,0,4,0,0,3,485
101,"PRAIMARI PATHSHALA SIKANDARPUR KARAN EAST",627,510,0,1137,389,281,0,670,639,0,94,107,2,390,0,0,1,2,50,0,1,2,2,1,3,7,1,1,2,1,0,3,670
102,"PRAIMARI PATHSHALA SIKANDARPUR KARAN WEST",430,349,0,779,242,170,0,412,397,0,12,140,4,224,3,0,1,3,10,1,0,0,0,0,0,7,0,2,2,0,3,0,412
103,"JUNIAR HIGH SCHOOL SIKANDARPUR KARAN",836,677,0,1513,427,356,0,783,774,0,103,146,2,418,5,0,1,5,74,0,2,3,1,1,3,4,0,2,3,3,4,3,783
104,"PRAIMARI PATHSHALA PACHHODDA SARAYE EAST",724,577,0,1301,372,241,0,613,541,0,139,38,3,309,1,1,2,3,97,2,0,1,1,2,2,4,3,0,0,2,1,2,613
105,"PRAIMARI PATHSHALA PACHHODDA SARAYE WEST",718,570,0,1288,392,287,0,679,582,0,34,111,4,390,1,2,1,9,92,1,0,10,4,1,2,4,0,3,2,2,0,6,679
106,"GIRLS PRAIMARI PATHSHALA BHAISAI NAUBASTA",761,613,0,1374,481,360,0,841,698,0,7,448,3,310,19,0,3,5,17,2,2,5,2,0,2,4,0,1,1,2,8,0,841
107,"PRAIMARI PATHSHALA JHAUHA",319,259,0,578,198,155,0,353,241,0,32,76,1,200,3,1,0,3,33,0,0,1,0,0,0,0,1,0,1,1,0,0,353
108,"PRAIMARI PATHSHALA GAURI TRIBHANPUR",386,341,0,727,211,189,0,400,312,0,34,61,1,210,1,1,1,1,67,4,1,1,0,1,3,0,2,1,1,2,1,6,400
109,"PRAIMARI PATHSHALA WEST KHUTAHA NAUGWA",695,515,0,1210,394,230,0,624,512,0,77,180,5,244,4,1,1,8,56,0,2,6,2,4,3,15,4,3,2,5,1,1,624
110,"PRAIMARI PATHSHALA RITHNAI",670,562,0,1232,298,364,0,662,524,0,164,158,4,250,5,0,1,7,32,1,2,6,7,1,4,3,2,0,8,2,2,3,662
111,"JUNIAR HIGH SCHOOL KULUHAGADA",788,630,0,1418,472,341,0,813,684,0,146,40,0,438,2,2,2,5,107,2,1,6,4,3,5,9,11,5,8,9,3,5,813
112,"PRAIMARI PATHSHALA KUTKURI",321,222,0,543,227,144,0,371,281,0,147,62,1,99,0,0,0,4,47,0,1,1,1,1,0,2,0,0,1,2,1,1,371
113,"PRAIMARI PATHSHALA EAST SATAN",873,710,0,1583,536,480,0,1016,647,0,485,208,3,206,4,0,2,18,53,3,3,4,0,3,8,4,1,3,1,2,4,1,1016
114,"PRAIMARI PATHSHALA WEST SATAN",279,259,0,538,170,92,0,262,214,0,142,39,2,42,2,0,2,0,15,0,1,1,4,0,2,1,2,3,1,0,0,3,262
115,"PRAIMARI PATHSHALA STHIT FATTEPUR ANOOPPUR",356,306,0,662,185,191,0,376,296,0,0,167,0,104,0,0,0,7,81,3,0,1,2,1,1,4,2,1,0,1,1,0,376
116,"PRAIMARI PATHSHALA EAST RAITHANA",534,423,0,957,301,172,0,473,314,0,48,80,3,254,2,3,0,2,45,1,0,4,5,3,2,8,3,2,2,5,0,1,473
117,"PRAIMARI PATHSHALA WEST RAITHANA",470,405,0,875,203,204,0,407,298,0,12,20,0,310,2,0,1,3,46,0,0,2,2,0,1,0,1,0,2,2,1,2,407
118,"PRAIMARI PATHSHALA RANIPUR",568,464,0,1032,272,225,0,497,347,0,140,95,0,50,2,0,0,8,174,2,1,1,3,0,0,5,4,4,1,2,0,5,497
119,"PRAIMARI PATHSHALA CORATGANJ M0 RANIPUR",543,406,0,949,307,217,0,524,402,0,190,22,1,185,1,0,2,2,104,1,1,4,2,0,2,5,0,1,0,0,0,1,524
120,"PRAIMARI PATHSHALA SUMRAHA",520,373,0,893,312,227,0,539,408,0,299,59,2,125,2,1,1,9,22,4,0,1,0,0,4,0,1,3,1,1,2,2,539
121,"PRAIMARI PATHSHALA BARUWA MAHRAMAU",336,279,0,615,210,152,0,362,251,0,75,70,5,175,1,1,2,3,13,2,0,4,0,0,3,2,1,0,1,3,0,1,362
122,"PRAIMARI PATHSHALA EAST NIBAI GAIREHATMALI",462,369,0,831,240,177,0,417,309,0,63,79,5,214,1,1,0,5,34,2,0,3,1,1,0,1,1,1,2,0,2,1,417
123,"PRAIMARI PATHSHALA WEST NIBAI GAIREHATMALI",538,442,0,980,269,177,0,446,351,0,46,105,2,226,3,1,0,3,41,0,0,1,1,1,0,8,0,2,1,3,0,2,446
124,"PRAIMARI PATHSHALA BARUWA MAHRAMAU WEST",275,205,0,480,146,126,0,272,142,0,139,15,1,59,0,0,0,0,50,1,0,1,0,0,1,1,2,0,0,0,0,2,272
125,"PRAIMARI PATHSHALA BADIYAKHEDA",541,439,0,980,340,239,0,579,241,0,189,249,4,87,3,0,2,4,22,1,1,1,2,0,4,5,1,1,0,0,2,1,579
126,"PRAIMARI PATHSHALA BAIDRA",811,605,0,1416,365,267,0,632,458,0,137,211,3,197,5,0,1,3,60,1,0,3,0,1,2,1,0,1,0,4,1,1,632
127,"PRAIMARI PATHSHALA VIBHAURA CHANDANPUR",681,535,0,1216,356,304,0,660,496,0,199,150,7,138,5,1,2,15,68,2,4,2,9,1,7,20,3,8,7,2,6,4,660
128,"PRAIMARI PATHSHALA NORTH KHRAULI",474,356,0,830,203,144,0,347,288,0,109,40,1,146,0,2,1,3,34,1,1,2,1,1,0,1,1,0,1,0,0,2,347
129,"PRAIMARI PATHSHALA SOUTH KHRAULI",565,435,0,1000,269,210,0,479,361,0,43,124,2,250,1,1,1,3,6,1,2,2,3,1,4,12,1,2,12,3,1,4,479
130,"PRAIMARI PATHSHALA DEVPUR ADANKHEDA",747,463,0,1210,341,214,0,555,359,0,265,108,0,74,1,0,0,2,88,0,2,2,1,0,1,2,2,3,0,2,0,2,555
131,"PRAIMARI PATHSHALA KATHAR",662,512,0,1174,437,286,0,723,681,0,192,106,4,285,2,3,3,3,58,9,2,3,3,4,5,8,5,4,10,4,4,6,723
132,"PRAIMARI PATHSHALA KULHA BAGAHA",666,576,0,1242,337,318,0,655,358,0,140,93,3,334,0,0,1,2,55,0,0,2,1,1,0,5,4,2,4,2,1,5,655
133,"PRAIMARI PATHSHALA BAGAHA M0 KULHA BAGAHA",714,595,0,1309,407,372,0,779,614,0,288,23,3,360,1,0,1,3,66,17,2,3,2,1,4,1,1,0,0,1,0,2,779
