"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UMED SINGH KASHYAP","2 - KRISHNA RAJ","3 - CHETRAM","4 - MITHILESH KUMAR","5 - KISHAN LAL","6 - PYARE ALIAS RAJKUMAR GAUTAM","7 - MEVARAM","8 - RAMMURTI","9 - RAMLAL VERMA","10 - SMT REETA SINGH ALIAS REETA BHARTI","11 - SUNITA SUJATA NAGPAL","12 - RAKESH","13 - ROSHAN LAL ALIAS ROSHAN KANAUJIYA","14 - None of the Above","Total Votes Secured"
36,"TEHSIL TILHAR",632,555,0,1187,325,233,0,558,554,0,129,109,9,273,0,1,1,0,2,2,21,0,5,6,558
37,"TEHSIL TILHAR",630,536,0,1166,293,211,0,504,500,0,68,85,6,316,2,0,2,2,0,0,20,0,2,1,504
38,"TEHSIL TILHAR",654,575,0,1229,290,235,0,525,521,0,80,60,14,348,3,0,2,0,0,3,13,1,0,1,525
39,"TEHSIL TILHAR",512,461,0,973,276,226,0,502,498,0,63,17,14,390,1,0,2,0,0,2,8,1,1,3,502
40,"TEHSIL TILHAR",771,665,0,1436,409,319,0,728,722,0,116,402,17,171,0,0,0,0,1,2,8,2,4,5,728
41,BIRIAGANJ,369,300,0,669,103,85,0,188,186,0,26,148,3,8,0,0,0,0,3,0,0,0,0,0,188
42,KUNWARGANJ,584,556,0,1140,422,340,0,762,752,0,48,650,28,20,0,0,0,0,2,3,0,1,4,6,762
43,MAUJAMPUR,436,351,0,787,147,147,0,294,292,0,17,81,6,188,1,0,0,0,0,0,1,0,0,0,294
44,MAUJAMPUR,747,706,0,1453,372,337,0,709,703,0,79,193,21,393,3,0,0,0,0,5,12,1,1,1,709
45,MAUJAMPUR,273,232,0,505,136,108,0,244,242,0,10,95,3,119,2,0,0,0,0,7,6,1,0,1,244
46,MAUJAMPUR,315,279,0,594,171,130,0,301,299,0,8,177,7,102,0,0,0,0,0,2,3,0,0,2,301
47,MAUJAMPUR,627,541,0,1168,307,257,0,564,559,0,46,274,16,205,4,3,0,0,0,9,4,0,0,3,564
48,MAUJAMPUR,528,441,0,969,260,222,0,482,478,0,20,400,15,31,1,0,0,0,1,3,2,0,1,8,482
49,MAUJAMPUR,512,464,1,977,241,219,0,460,456,0,49,242,15,108,2,0,1,1,0,18,20,0,2,2,460
50,MAUJAMPUR,752,620,0,1372,426,308,0,734,728,0,82,369,17,219,0,1,0,0,0,8,26,1,2,9,734
51,MAUJAMPUR,463,388,0,851,226,182,0,408,405,0,64,142,16,161,0,1,0,0,1,13,6,0,2,2,408
52,MAUJAMPUR,428,327,0,755,146,121,0,267,265,0,37,82,15,99,0,1,0,0,0,13,17,0,0,3,267
53,MAUJAMPUR,585,558,0,1143,353,249,0,602,597,0,15,544,19,13,1,0,0,0,0,5,0,0,2,3,602
54,MAUJAMPUR,462,396,0,858,243,201,0,444,440,0,59,328,9,32,1,0,0,0,4,2,2,3,2,2,444
55,MAUJAMPUR,410,351,0,761,212,178,0,390,387,0,17,321,5,27,0,0,1,2,0,3,1,2,3,8,390
56,"NIZAMIYA TALAIYA",823,671,1,1495,375,255,0,630,625,0,74,123,14,383,3,1,0,0,0,17,5,0,5,5,630
57,"NIZAMIYA TALAIYA",554,472,0,1026,296,183,0,479,475,0,39,55,19,348,0,0,0,1,2,8,1,3,1,2,479
58,"NIZAMIYA TALAIYA",476,422,0,898,255,232,0,487,483,0,30,266,5,168,2,1,0,0,0,3,1,2,2,7,487
59,"NIZAMIYA TALAIYA",699,580,0,1279,243,212,0,455,451,0,85,32,20,298,2,1,1,0,0,2,3,1,3,7,455
60,"NIZAMIYA TALAIYA",574,429,0,1003,237,163,0,400,397,0,89,89,10,189,3,0,0,0,0,4,3,2,2,9,400
61,"NIZAMIYA TALAIYA",720,514,0,1234,302,166,0,468,464,0,120,45,5,281,4,1,0,0,0,1,6,0,1,4,468
62,"NIZAMIYA TALAIYA",577,456,0,1033,265,204,0,469,465,0,167,58,11,218,3,1,0,0,1,1,5,1,1,2,469
63,"KATRA KHAS",841,732,0,1573,488,362,0,850,843,0,100,325,28,376,3,0,0,1,0,10,3,2,1,1,850
64,"KATRA KHAS",346,333,0,679,200,172,0,372,369,0,36,276,11,33,0,0,1,0,1,3,1,1,4,5,372
65,"KATRA KHAS",792,696,0,1488,431,334,0,765,759,0,140,491,9,102,2,2,0,0,1,4,1,0,3,10,765
66,"KATRA KHAS",695,572,0,1267,283,237,0,520,516,0,94,103,13,297,3,1,0,2,0,3,0,0,0,4,520
67,"KATRA KHAS",260,223,0,483,106,112,0,218,216,0,81,57,15,60,0,0,0,0,0,0,1,0,2,2,218
68,BAHIDULLAHGANJ,637,472,0,1109,317,223,0,540,536,0,80,206,17,205,2,1,2,0,5,5,5,3,5,4,540
69,BAHIDULLAHGANJ,657,568,0,1225,343,261,0,604,599,0,58,222,14,288,3,1,2,1,0,5,3,2,2,3,604
70,HINDUPATTI,695,597,0,1292,213,361,0,574,569,0,30,46,20,457,4,1,1,0,2,5,2,2,2,2,574
71,HINDUPATTI,573,493,1,1067,302,211,0,513,509,0,63,304,29,106,0,1,0,1,1,1,1,2,2,2,513
72,HINDUPATTI,848,751,0,1599,457,391,0,848,841,0,90,542,21,166,2,1,1,1,1,6,1,1,3,12,848
73,HINDUPATTI,128,123,0,251,75,66,0,141,140,0,13,86,1,37,0,0,1,0,0,0,2,0,0,1,141
74,BILHARI,833,687,0,1520,611,315,0,926,919,0,142,655,12,94,2,1,0,0,0,2,0,2,8,8,926
75,BILHARA,287,262,1,550,223,204,0,427,424,0,216,180,3,10,1,1,0,0,0,0,0,0,9,7,427
76,"SHERPUR URF SHERGARH",388,318,0,706,207,177,0,384,381,0,132,142,13,62,2,1,0,2,1,2,16,2,5,4,384
77,FIROZPUR,348,273,0,621,279,191,0,470,466,0,116,324,3,9,0,1,1,0,1,2,0,1,7,5,470
78,"DHARAMPUR KANZA",507,394,0,901,289,187,0,476,472,0,100,281,5,87,1,0,0,1,0,0,0,0,1,0,476
79,"KHIRIA MAAL",280,214,0,494,200,122,0,322,319,0,60,200,0,56,0,0,1,0,0,0,0,0,1,4,322
80,TAALGAON,604,561,0,1165,330,315,0,645,640,0,166,84,7,368,1,0,0,1,0,1,9,1,4,3,645
81,TAALGAON,700,584,0,1284,463,274,0,737,731,0,400,1,3,327,1,0,0,2,0,1,1,0,0,1,737
82,LOHARGAWAN,892,709,0,1601,450,388,0,838,831,0,363,7,8,441,5,1,0,2,0,1,3,2,4,1,838
83,CHAQBAKAINIA,364,294,0,658,229,169,0,398,395,0,166,115,13,87,2,0,2,0,0,0,3,0,5,5,398
84,SAFAURA,476,367,0,843,404,284,0,688,682,0,39,154,12,476,3,0,0,0,0,1,1,0,0,2,688
85,JINDPURA,757,574,0,1331,456,296,0,752,746,0,221,230,12,267,1,0,1,0,0,1,12,0,2,5,752
86,DHULLIYA,472,349,0,821,297,206,0,503,499,0,81,26,3,375,5,0,0,0,0,0,13,0,0,0,503
87,JATHIYURA,504,395,0,899,317,230,0,547,543,0,228,262,7,40,0,1,0,0,0,0,1,0,3,5,547
88,JATHIYURA,513,424,0,937,340,267,0,607,602,0,98,369,14,108,0,1,2,0,1,2,2,2,3,5,607
89,NARAYANPUR,323,275,0,598,234,181,0,415,412,0,221,126,4,63,0,0,0,0,0,0,0,0,0,1,415
90,OONKALA,535,495,0,1030,244,177,0,421,418,0,46,2,31,314,4,2,1,1,0,1,12,2,1,4,421
91,OONKALA,337,294,0,631,162,114,0,276,274,0,15,3,3,241,7,0,1,1,0,0,1,1,1,2,276
92,OONKALA,785,645,0,1430,354,226,0,580,575,0,98,61,22,379,0,1,0,0,0,0,10,1,2,6,580
93,"PIPARIA UDAYBHANPUR",666,583,0,1249,419,326,0,745,739,0,132,247,6,330,2,0,1,0,0,0,5,0,7,15,745
94,UNKHURD,378,294,0,672,258,182,0,440,436,0,39,272,11,103,0,1,1,0,0,0,1,2,7,3,440
95,HARSELI,342,287,0,629,251,194,0,445,441,0,211,202,7,18,0,0,1,0,2,0,0,1,1,2,445
96,CHANYURA,395,309,0,704,296,188,0,484,480,0,54,351,12,53,0,0,1,0,0,0,1,1,6,5,484
97,HARPARA,428,353,0,781,328,203,0,531,527,0,227,71,5,200,3,0,0,0,0,3,1,3,8,10,531
98,"SAKATIYA BAHADURPUR",292,243,0,535,260,201,0,461,457,0,150,265,3,40,0,0,1,1,0,0,0,0,1,0,461
99,SAHDEVPUR,369,354,0,723,228,224,0,452,448,0,229,194,2,19,0,0,0,0,0,0,1,0,3,4,452
100,ALHADADPUR,267,250,0,517,196,169,0,365,362,0,61,125,6,164,2,1,1,0,0,0,3,0,1,1,365
101,"BAHADURPUR KHURD",416,307,0,723,294,220,0,514,510,0,185,127,10,177,2,0,0,1,1,0,2,0,4,5,514
102,ISAPUR,406,356,0,762,204,185,0,389,386,0,189,123,2,51,3,1,0,0,0,0,2,0,5,13,389
103,ISAPUR,322,264,0,586,217,160,0,377,374,0,154,164,6,38,0,2,0,0,1,1,3,1,5,2,377
104,MILKIYA,565,527,0,1092,333,356,0,689,683,0,373,208,10,59,1,1,0,1,2,0,4,4,5,21,689
105,"BHATPURA MISHR",437,362,1,800,394,247,0,641,636,0,251,132,6,238,3,1,1,0,0,0,1,0,3,5,641
106,AZIZPUR,338,289,0,627,232,179,0,411,408,0,237,33,0,124,1,1,0,0,0,1,4,1,2,7,411
107,TIKMAPUR,369,350,0,719,309,261,0,570,565,0,320,162,4,70,1,1,0,1,0,2,0,0,6,3,570
108,BAZIRPUR,405,346,0,751,287,220,0,507,503,0,227,93,1,174,4,0,0,0,1,0,2,0,2,3,507
109,KHIRIYA,656,567,0,1223,423,278,0,701,695,0,32,563,9,82,3,1,0,0,0,1,1,1,5,3,701
110,"BHATIYURA PRITHVIPUR",520,456,0,976,391,345,0,736,730,0,393,271,9,47,0,0,0,1,0,1,1,1,5,7,736
111,ARJUNPUR,310,239,0,549,208,168,0,376,373,0,82,220,5,55,0,0,0,0,0,1,0,0,6,7,376
112,KHEDASANDA,522,448,0,970,392,285,0,677,672,0,133,197,34,284,5,1,2,2,2,2,1,3,4,7,677
113,"GANGA JAMUNI",298,236,0,534,196,140,0,336,333,0,35,104,7,183,0,0,0,1,0,1,0,1,2,2,336
114,AITHAPUR,598,525,0,1123,382,235,0,617,612,0,279,233,5,84,2,0,0,2,1,2,2,1,4,2,617
115,DELKHEDA,234,218,0,452,153,123,0,276,274,0,61,9,3,199,2,0,0,0,0,1,1,0,0,0,276
116,BHARRIVASANTPUR,576,446,0,1022,358,207,0,565,560,0,262,234,3,39,3,0,0,0,0,1,2,0,14,7,565
117,BHARRIVASANTPUR,242,177,0,419,187,111,0,298,296,0,35,28,4,224,4,0,0,0,0,0,1,0,1,1,298
118,MOHARTALA,489,373,0,862,250,235,0,485,481,0,347,75,2,56,0,0,1,1,1,0,0,0,0,2,485
119,BARILALPUR,563,447,0,1010,374,286,0,660,655,0,305,125,7,199,2,1,1,2,3,0,0,1,4,10,660
120,KALIYANPUR,242,209,0,451,230,164,0,394,391,0,257,94,1,37,1,0,0,0,0,1,0,1,0,2,394
121,ANDKHEDA,691,508,0,1199,442,254,0,696,690,0,162,71,4,436,6,1,1,0,1,3,1,1,2,7,696
122,BARORA,390,273,1,664,292,220,0,512,508,0,92,202,5,200,2,1,0,0,0,3,2,1,1,3,512
123,CHAMARUA,659,512,0,1171,445,223,0,668,663,0,193,160,7,281,3,1,0,1,0,1,8,1,8,4,668
124,SANDKHAS,775,605,0,1380,460,301,0,761,755,0,181,302,20,213,3,2,2,1,0,3,4,2,12,16,761
125,SANDKHAS,420,351,0,771,261,172,0,433,430,0,121,120,0,174,1,1,0,1,1,0,2,1,6,5,433
126,SANDKHAS,568,441,0,1009,342,172,0,514,510,0,147,165,8,162,3,1,0,0,0,1,3,2,11,11,514
127,"BANAS DEVI",351,324,0,675,161,152,0,313,310,0,146,144,3,12,0,0,0,1,0,0,3,0,3,1,313
128,PATRAJPUR,599,510,0,1109,438,340,0,778,772,0,148,331,14,238,4,1,2,3,1,3,4,6,10,13,778
129,INAYATPUR,591,484,0,1075,316,222,0,538,534,0,122,172,4,195,2,0,0,0,0,0,33,2,4,4,538
130,GHATUI,294,235,0,529,145,122,0,267,265,0,83,146,2,25,1,1,0,0,1,1,0,2,3,2,267
131,"KATAIYA USMANPUR",460,385,0,845,298,256,0,554,550,0,120,269,8,130,1,1,1,0,1,0,0,2,11,10,554
132,"KABEERPUR JHOTUPUR",547,455,0,1002,466,354,0,820,813,0,489,298,3,10,1,0,0,1,1,1,1,1,3,11,820
133,HAMZAPUR,743,629,0,1372,560,348,0,908,901,0,448,287,7,134,0,1,0,0,2,2,4,5,5,13,908
134,NIGOHI,779,608,0,1387,431,259,0,690,684,0,181,113,4,377,1,0,0,0,0,0,6,1,2,5,690
135,MISHRIPUR,431,342,0,773,301,237,0,538,534,0,211,249,3,56,1,0,0,0,0,0,2,2,3,11,538
136,NIGOHI,789,666,0,1455,451,306,0,757,751,0,208,310,11,200,0,1,1,1,2,3,1,3,6,10,757
137,NIGOHI,621,494,0,1115,342,232,0,574,569,0,356,196,1,18,0,0,0,0,0,0,0,1,0,2,574
138,NIGOHI,585,523,0,1108,357,227,0,584,579,0,185,306,5,81,1,2,0,0,0,0,0,0,2,2,584
139,NIGOHI,259,242,0,501,149,141,0,290,288,0,123,96,2,62,2,0,0,0,0,0,2,0,1,2,290
140,NIGOHI,763,669,0,1432,456,334,0,790,784,0,266,362,4,147,1,0,0,1,1,0,3,0,4,1,790
141,NIGOHI,756,586,0,1342,412,235,0,647,642,0,165,129,8,333,2,0,0,0,1,1,2,1,1,4,647
142,NIGOHI,221,180,0,401,97,58,0,155,154,0,9,49,2,85,3,0,0,0,0,0,0,1,2,4,155
143,NIGOHI,795,633,0,1428,344,218,0,562,558,0,68,228,5,246,2,0,0,0,0,1,5,0,2,5,562
144,NIGOHI,698,550,0,1248,370,255,0,625,620,0,82,368,3,158,4,0,1,0,0,3,0,0,3,3,625
145,NIGOHI,851,688,0,1539,427,249,0,676,671,0,130,318,1,211,4,0,0,0,0,1,2,1,2,6,676
146,NIGOHI,782,719,0,1501,428,296,0,724,718,0,217,359,7,115,2,1,0,4,4,3,1,1,2,8,724
147,BHAWANIPUR,436,357,0,793,278,201,0,479,475,0,142,246,40,34,1,0,0,1,2,0,1,1,6,5,479
148,DEENG,257,251,0,508,186,163,0,349,346,0,215,97,4,20,1,0,1,0,1,1,1,1,2,5,349
149,GANGEPUR,698,590,0,1288,457,352,0,809,803,0,217,375,112,91,2,2,2,0,0,1,1,2,1,3,809
150,"VIKRAMPUR CHAKORA",719,582,0,1301,554,438,0,992,984,0,602,298,16,44,2,1,0,2,0,4,5,3,7,8,992
151,CHAKORA,407,265,0,672,298,141,0,439,435,0,87,40,3,293,3,1,0,0,0,1,5,0,4,2,439
152,DIYORIYA,468,386,0,854,328,248,0,576,571,0,314,193,6,48,2,3,0,0,0,0,0,1,1,8,576
153,JEVAMUKUNDPUR,517,409,0,926,310,215,0,525,521,0,248,196,6,65,0,0,1,1,1,0,0,2,2,3,525
154,"KUKHA MEHMOODPUR",543,423,0,966,324,267,0,591,586,0,65,195,18,288,3,0,0,2,3,0,2,1,7,7,591
155,PAKADIYA,365,315,0,680,249,210,0,459,455,0,37,328,5,85,0,0,0,0,0,0,0,0,2,2,459
156,"PIPARIYA KHUSHALI",615,498,0,1113,412,306,0,718,712,0,131,381,7,175,1,0,1,0,0,0,2,5,5,10,718
157,PAIDAPUR,216,211,0,427,172,159,0,331,328,0,142,171,2,8,1,0,0,0,0,0,0,1,3,3,331
158,UDARA,660,572,0,1232,388,318,0,706,700,0,192,196,10,282,5,1,2,0,1,0,3,3,5,6,706
159,UDARA,301,267,0,568,176,121,0,297,295,0,43,185,8,58,1,0,0,0,0,0,0,1,1,0,297
160,UDARA,246,203,0,449,155,99,0,254,252,0,43,198,2,10,0,0,0,0,0,0,1,0,0,0,254
161,HASOA,495,388,0,883,346,265,0,611,606,0,273,265,15,35,0,0,1,2,2,0,2,0,6,10,611
162,VIRASIN,588,477,0,1065,386,278,0,664,659,0,282,224,56,83,2,3,0,0,0,1,1,0,5,7,664
163,RAGHWAPUR,282,264,0,546,211,189,0,400,397,0,219,157,4,7,0,0,1,0,1,0,0,2,2,7,400
164,"PARSARA PARSARI",820,659,0,1479,484,349,0,833,826,0,291,434,14,54,2,2,3,2,0,2,3,1,11,14,833
165,"DHAKIA TIWARI",597,497,0,1094,400,285,0,685,680,0,144,399,37,75,1,1,2,0,1,3,2,2,5,13,685
166,"DHAKIA TIWARI",597,549,0,1146,450,330,0,780,774,0,60,620,31,57,1,0,0,1,0,0,0,3,1,6,780
167,CHATENI,475,383,0,858,265,238,0,503,499,0,31,289,12,154,1,0,0,0,0,1,1,4,2,8,503
168,"PARSONA KHALILPUR",543,458,0,1001,355,240,0,595,590,0,189,184,34,168,1,1,0,0,1,0,1,1,6,9,595
169,"PARSONA KHALILPUR",340,300,0,640,238,170,0,408,405,0,206,178,2,17,0,0,0,0,1,1,1,0,1,1,408
170,MARAKKA,501,386,0,887,297,170,0,467,463,0,105,314,13,30,1,0,0,0,0,1,1,1,1,0,467
171,"RANI KHIRIYA",574,513,0,1087,350,307,0,657,652,0,165,304,2,169,3,2,1,1,0,3,0,0,3,4,657
172,"BATHUI AKKA",474,379,0,853,353,226,0,579,574,0,308,80,120,46,1,0,0,1,1,1,3,2,6,10,579
173,CHAKRAMALI,591,457,0,1048,421,299,0,720,714,0,263,411,10,19,1,1,0,0,0,0,1,1,4,9,720
174,UKHARI,806,654,0,1460,424,251,0,675,670,0,69,504,10,83,0,0,1,0,0,1,0,2,5,0,675
175,"BAJPUR KUMRIKHA",513,431,0,944,345,277,0,622,617,0,199,379,8,26,0,0,0,0,1,2,1,1,4,1,622
176,PIPRI,585,478,0,1063,347,300,0,647,642,0,142,401,9,75,3,1,1,2,2,0,0,2,8,1,647
177,"BARAH MOHABBATPUR",836,584,0,1420,493,242,0,735,729,0,327,254,108,12,0,0,3,4,2,5,2,2,5,11,735
178,ISHWARA,612,475,0,1087,372,211,0,583,578,0,100,415,9,38,1,0,0,2,0,2,1,3,2,10,583
179,BHUSAURI,266,212,0,478,198,144,0,342,339,0,99,174,4,46,1,0,1,1,0,1,1,0,6,8,342
180,"DHAKIA RAGHA",751,613,0,1364,460,283,0,743,737,0,170,508,7,47,1,0,1,0,1,0,0,0,4,4,743
181,"CHODHERA CHODHERI",674,548,0,1222,436,321,0,757,751,0,178,366,13,153,3,3,0,0,1,1,19,1,6,13,757
182,"CHAUDERA CHAUDERI",261,199,0,460,192,128,0,320,317,0,87,147,1,75,0,0,1,1,0,1,0,1,3,3,320
183,"CHAUDERA CHAUDERI",326,257,0,583,242,139,0,381,378,0,38,192,3,126,1,0,0,9,0,0,1,3,3,5,381
184,KABEERCHAQ,251,217,0,468,207,161,0,368,365,0,206,151,0,3,0,0,0,0,1,0,0,1,4,2,368
185,JAHANPUR,704,609,0,1313,592,400,0,992,984,0,396,185,21,352,1,2,1,2,2,3,1,6,12,8,992
186,"RAGHOPUR SIKANDERPUR",485,408,0,893,380,248,0,628,623,0,109,258,13,223,1,0,0,3,0,2,3,4,6,6,628
187,GIRGICHA,491,404,0,895,391,278,0,669,664,0,56,573,18,12,1,0,0,0,0,5,0,0,3,1,669
188,"BHAJEDA BAJHEDI",338,297,0,635,260,214,0,474,470,0,86,349,5,13,1,1,1,1,0,0,2,0,7,8,474
189,KAKROA,153,128,0,281,121,85,0,206,204,0,88,93,5,10,2,0,0,0,1,1,0,3,2,1,206
190,"AHIRVADA M0 KAKROA",222,185,0,407,149,107,0,256,254,0,87,51,3,85,0,1,0,0,0,0,23,1,2,3,256
191,VICHOLI,302,252,0,554,211,174,0,385,382,0,206,164,0,4,0,0,0,0,0,0,0,1,6,4,385
192,KUDIRNA,561,444,0,1005,356,244,0,600,595,0,134,164,3,280,2,0,1,1,1,1,2,2,2,7,600
193,KUDIRNA,354,289,0,643,184,133,0,317,314,0,43,222,11,29,1,0,0,1,0,1,1,2,3,3,317
194,MOHAMMADPUR,697,560,0,1257,497,330,0,827,820,0,91,379,17,300,5,3,1,0,0,3,3,4,8,13,827
195,VIKRANPUR,650,547,1,1198,508,435,0,943,935,0,132,428,18,322,2,1,4,0,3,1,14,1,7,10,943
196,"GULADIYA CHAKJHAU",290,218,0,508,137,112,0,249,247,0,135,103,1,9,1,0,0,0,0,0,0,0,0,0,249
197,BASARI,329,268,0,597,195,136,0,331,328,0,178,102,4,33,1,1,0,0,0,1,0,4,4,3,331
198,MUDAKALI,398,304,0,702,266,186,0,452,448,0,108,251,3,73,1,0,2,0,2,1,1,3,5,2,452
199,PACHDIYORA,525,440,0,965,361,280,0,641,636,0,288,190,9,115,1,0,4,3,2,5,4,2,8,10,641
200,AJMATPUR,279,249,0,528,213,157,0,370,367,0,269,75,2,12,1,0,0,0,2,0,0,0,3,6,370
201,SAHTEPUR,341,301,0,642,229,172,0,401,398,0,297,84,2,4,0,0,0,0,0,0,0,1,6,7,401
202,"ARELI ISMAILPUR",527,448,0,975,361,271,0,632,627,0,175,349,14,67,2,4,0,2,2,0,1,1,8,7,632
203,GURGAWAN,706,626,0,1332,526,412,0,938,930,0,208,480,26,195,2,4,0,2,0,3,2,2,7,7,938
204,PARAJHARSA,560,436,0,996,319,150,0,469,465,0,128,283,10,35,0,0,0,0,0,0,0,0,4,9,469
205,MADARIPUR,366,257,0,623,213,159,0,372,369,0,94,111,5,154,1,0,0,0,2,0,1,1,0,3,372
206,KAJRINURPUR,412,369,0,781,269,213,0,482,478,0,153,176,7,134,0,0,1,1,0,2,1,0,2,5,482
207,KAJRINURPUR,373,328,0,701,223,148,0,371,368,0,98,78,2,173,1,0,5,0,0,2,3,1,4,4,371
208,RAMPUR,524,436,0,960,405,301,0,706,700,0,117,277,7,285,3,0,0,0,2,3,1,1,4,6,706
209,HATHGAON,343,283,0,626,241,184,0,425,422,0,73,250,5,73,3,1,0,1,3,1,2,4,6,3,425
210,VIRHANA,259,208,0,467,174,110,0,284,282,0,82,89,5,101,0,0,0,0,0,0,1,1,2,3,284
211,VIRSINGHPUR,433,384,0,817,295,242,0,537,533,0,147,224,31,110,2,1,1,3,1,0,2,1,3,11,537
212,"VITHALPUR PRAHLADPUR",290,267,0,557,188,135,0,323,320,0,170,127,5,12,0,0,0,0,0,1,1,1,3,3,323
