"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
51,"PRIMARY SCHOOL ITGAON",491,422,0,913,443,328,0,771,771,0,3,19,746,1,1,0,0,0,1,0,0,771
52,"PRIMARY SCHOOL ITGAON",501,414,0,915,419,281,0,700,700,0,5,21,670,0,2,0,1,0,0,0,1,700
53,"PRIMARY SCHOOL NAGLA HEERA LAL",257,198,0,455,226,178,0,404,404,0,1,2,400,1,0,0,0,0,0,0,0,404
54,"PRIMARY SCHOOL KUNAIYA",652,480,0,1132,424,217,0,641,641,0,13,69,549,4,1,0,0,0,1,0,4,641
55,"PRIMARY SCHOOL IBNEYPUR PATHAKPUR",346,278,0,624,311,165,0,476,468,0,6,75,378,8,0,3,0,2,0,0,4,476
56,"PRIMARY SCHOOL UDEYPURA",674,580,0,1254,566,360,0,926,926,0,61,181,653,13,6,2,1,2,2,2,3,926
57,"PRIMARY SCHOOL AMRITPUR",508,394,0,902,353,274,0,627,593,0,234,40,341,4,1,0,0,2,0,2,3,627
58,"PRIMARY SCHOOL KRIPALPUR",630,549,0,1179,288,321,0,609,609,0,3,123,459,8,0,1,0,0,1,0,14,609
59,"PRIMARY SCHOOL CHAKWA KHURD",637,530,0,1167,330,290,0,620,620,0,46,112,448,1,5,1,0,1,1,0,5,620
60,"PRIMARY SCHOOL CHITBHAWAN",703,555,2,1260,384,295,0,679,679,0,175,201,280,5,5,0,6,2,3,1,1,679
61,"PRIMARY SCHOOL CHITBHAWAN",569,493,0,1062,348,257,0,605,580,0,4,340,245,4,1,0,4,1,0,4,2,605
62,"JHS CHITBHAWAN",624,521,0,1145,373,221,0,594,581,0,18,242,314,5,1,0,0,3,4,1,6,594
63,"PRIMARY SCHOOL MANIKPUR BHIKHAN",246,210,0,456,169,143,0,312,219,0,28,21,260,1,1,0,0,0,0,0,1,312
64,"PRIMARY SCHOOL MEHTUA",347,263,0,610,195,155,0,350,349,0,98,102,127,20,0,1,0,1,0,0,1,350
65,"PRIMARY SCHOOL MEHNEYPUR",548,461,0,1009,249,211,0,460,458,0,50,297,88,5,5,1,1,5,2,0,6,460
66,"PRIMARY SCHOOL KALYANPUR",296,253,0,549,121,164,0,285,284,0,2,176,90,1,2,2,0,7,0,2,3,285
67,"PRIMARY SCHOOL SHEKHUPUR JAKHOULI",700,559,0,1259,367,325,0,692,684,0,337,275,54,5,5,2,1,2,1,3,7,692
68,"PRIMARY SCHOOL KESHONPUR KALAN",275,268,0,543,172,166,0,338,309,0,11,198,122,3,0,1,0,2,1,0,0,338
69,"PRIMARY SCHOOL NAGLA BANDHA",269,241,0,510,186,153,0,339,337,0,227,94,7,1,1,0,0,3,1,2,3,339
70,"PRIMARY SCHOOL NAWLI",552,449,0,1001,317,254,0,571,571,0,341,170,38,5,10,1,2,3,0,0,1,571
71,"PRIMARY SCHOOL LAKHAPUR",451,379,0,830,270,187,0,457,450,0,1,121,316,6,2,1,1,2,0,2,5,457
72,"PRIMARY SCHOOL HARIHARPUR",468,379,1,848,339,256,0,595,595,0,7,237,332,4,1,2,2,3,0,2,5,595
73,"PRIMARY SCHOOL AHLADPUR",555,453,0,1008,320,223,0,543,543,0,109,184,230,7,4,0,0,6,0,0,3,543
74,"PRIMARY SCHOOL SANTOSHPUR ITGAON",516,417,0,933,316,242,0,558,558,0,65,211,254,8,1,0,2,3,4,2,8,558
75,"PRIMARY SCHOOL MULAYAM NAGAR",380,328,0,708,246,199,0,445,445,0,43,127,263,2,5,1,1,2,0,1,0,445
76,"PRIMARY SCHOOL LOKASAEE",256,238,0,494,200,155,0,355,353,0,1,186,163,1,0,1,0,0,0,1,2,355
77,"PRIMARY SCHOOL PACHAWALI",721,551,0,1272,451,313,0,764,764,0,42,395,307,4,5,4,1,2,2,1,1,764
78,"PRIMARY SCHOOL GHUGHALPUR",372,303,0,675,259,206,0,465,463,0,10,108,340,0,0,1,0,5,0,0,1,465
79,"PRIMARY SCHOOL DATAWALI",742,622,1,1365,433,310,0,743,730,0,56,388,266,8,4,1,0,6,2,6,6,743
80,"PRIMARY SCHOOL JUGRAMAU",703,609,0,1312,459,367,0,826,826,0,257,302,225,15,6,5,2,4,4,2,4,826
81,"PRIMARY SCHOOL NAGLA KHADAR KACCHPURA ETW",619,527,0,1146,390,317,0,707,704,0,447,181,72,2,0,0,0,3,0,0,2,707
82,"PRIMARY SCHOOL BAMHANPUR BHAGWATIPUR",246,203,0,449,159,117,0,276,269,0,192,58,19,3,1,0,0,1,0,0,2,276
83,"PRIMARY SCHOOL SUNDERPUR NORTH",652,529,0,1181,376,284,0,660,637,0,203,274,163,4,2,2,0,2,3,0,7,660
84,"JHS SUNDERPUR",395,300,0,695,230,139,0,369,367,0,85,142,133,3,3,0,1,0,1,0,1,369
85,"PRIMARY SCHOOL SUNDERPUR",731,623,0,1354,448,322,0,770,692,0,45,490,214,2,6,2,0,3,1,2,5,770
86,"PRIMARY SCHOOL SUNDERPUR",345,311,0,656,181,130,0,311,311,0,30,187,88,2,0,1,0,0,1,0,2,311
87,"KISAN VISHRAMGRAH NEW MANDI",710,564,0,1274,343,232,0,575,575,0,41,291,228,7,5,0,0,1,1,0,1,575
88,"KISAN VISHRAMGRAH NEW MANDI",333,295,0,628,141,147,0,288,226,0,11,182,84,1,5,1,0,1,0,1,2,288
89,"PRIMARY SCHOOL KOKPURA",817,668,0,1485,611,289,0,900,900,0,68,355,443,9,7,3,0,7,1,3,4,900
90,"PRIMARY SCHOOL KOKPURA",486,402,0,888,164,264,0,428,422,0,46,199,171,5,1,1,1,1,1,0,2,428
91,"PRIMARY SCHOOL KOKPURA",591,478,0,1069,311,245,0,556,536,0,89,323,130,4,2,1,0,2,0,1,4,556
92,"PRIMARY SCHOOL KOKPURA",724,613,0,1337,344,249,0,593,583,0,114,257,203,6,4,1,1,1,1,1,4,593
93,"PRIMARY SCHOOL SULTANPUR KALAN",828,710,0,1538,585,422,0,1007,1007,0,170,548,259,8,2,3,2,5,0,4,6,1007
94,"PRIMARY SCHOOL KUNERA ROOM-1",684,567,0,1251,416,304,0,720,700,0,43,333,312,7,6,0,3,3,2,2,9,720
95,"PRIMARY SCHOOL KUNERA ROOM-2",472,383,0,855,250,186,0,436,380,0,240,119,65,4,0,0,0,2,2,1,3,436
96,"PRIMARY SCHOOL KUNERA ROOM-3",528,441,0,969,267,188,0,455,455,0,32,154,253,6,8,0,0,1,0,0,1,455
97,"PRIMARY SCHOOL DOONGRI",729,605,0,1334,521,353,0,874,872,0,18,722,102,10,3,2,1,6,0,3,7,874
98,"PRIMARY SCHOOL VICHARPUR",523,449,0,972,380,287,0,667,667,0,107,272,264,11,3,2,1,2,4,0,1,667
99,"PRIMARY SCHOOL SARAY DAYANAT ROOM-1",535,391,0,926,336,238,0,574,568,0,12,468,82,1,2,2,0,5,0,0,2,574
100,"PRIMARY SCHOOL SARAY DAYANAT ROOM-2",418,363,0,781,245,195,0,440,435,0,30,325,72,4,0,1,0,3,0,2,3,440
101,"PRIMARY SCHOOL KANDHNI",631,596,0,1227,457,358,0,815,773,0,14,730,45,4,4,2,2,5,2,2,5,815
102,"PRIMARY SCHOOL NAGLA UDAEE",230,224,0,454,162,130,0,292,272,0,2,264,23,1,1,0,0,1,0,0,0,292
103,"PRIMARY SCHOOL ALAMPUR HAUJ",387,310,0,697,270,202,0,472,459,0,17,325,107,6,4,3,1,0,3,1,5,472
104,"PRIMARY SCHOOL SARAY ESAR",285,237,0,522,185,140,0,325,325,0,19,57,223,16,2,3,1,1,1,0,2,325
105,"PRIMARY SCHOOL SARAY ESAR",604,512,0,1116,403,284,0,687,687,0,99,303,247,7,18,0,2,1,3,2,5,687
106,"PRIMARY SCHOOL PARASANI",303,270,0,573,185,181,0,366,343,0,48,121,182,7,4,1,0,0,1,1,1,366
107,"PRIMARY SCHOOL BHOGIPURA",385,322,0,707,206,146,0,352,352,0,47,138,153,3,7,1,0,1,0,1,1,352
108,"PRIMARY SCHOOL SANGAWALI",646,507,0,1153,379,281,0,660,653,0,45,324,272,3,1,2,0,3,2,4,4,660
109,"PRIMARY SCHOOL JHABRAPURA",557,413,0,970,227,194,0,421,420,0,7,210,187,4,1,1,0,5,3,0,3,421
110,"PRIMARY SCHOOL SILAYATA",703,523,0,1226,356,242,0,598,523,0,3,347,232,5,0,2,0,1,5,1,2,598
111,"JANTA INTER COLLEGEPOOTHAN SAKROULI",168,113,0,281,43,10,0,53,53,0,43,9,0,0,0,0,0,1,0,0,0,53
112,"JANTA INTER COLLEGEPOOTHAN SAKROULI",603,467,0,1070,290,138,0,428,428,0,10,300,95,7,6,2,0,5,0,0,3,428
113,"PRIMARY SCHOOL DOONDPURA",438,335,0,773,248,170,0,418,417,0,5,65,319,8,0,0,0,4,7,3,7,418
114,"PRIMARY SCHOOL PAHARHPURA",285,239,0,524,186,149,0,335,331,0,1,251,73,2,0,2,0,1,2,1,2,335
115,"PRIMARY SCHOOL VIJAYPURA",622,439,1,1062,348,189,0,537,532,0,117,335,69,3,1,0,1,3,2,2,4,537
116,"PRIMARY SCHOOL HARDASPURA",522,449,0,971,321,281,0,602,599,0,6,440,129,7,0,1,1,5,3,4,6,602
117,"PRIMARY SCHOOL DHIMRAI",309,257,0,566,154,138,0,292,284,0,1,248,32,2,1,1,0,2,0,1,4,292
118,"PRIMARY SCHOOL PADUA",350,258,0,608,228,124,0,352,339,0,1,51,291,2,0,0,0,1,1,1,4,352
119,"JHS RAJA KA BAAG",388,312,0,700,236,177,0,413,381,0,1,23,377,3,3,1,0,0,3,1,1,413
120,"JHS RAJA KA BAAG",213,201,0,414,135,134,0,269,253,0,31,199,33,1,0,0,0,4,0,0,1,269
121,"PRIMARY SCHOOL CHANDERPURA",377,290,0,667,241,155,0,396,375,0,89,94,204,3,1,1,1,0,0,0,3,396
122,"PRIMARY SCHOOL HARCHANDPURA",253,217,0,470,241,184,0,425,425,0,1,138,275,0,9,0,0,0,2,0,0,425
123,"PRIMARY SCHOOL ROORA",412,303,0,715,245,178,0,423,395,0,8,346,54,4,1,1,1,2,2,1,3,423
124,"PRIMARY SCHOOL NAGLA CHAUGAN",393,349,0,742,313,248,0,561,555,0,2,199,355,2,1,0,0,2,0,0,0,561
125,"PRIMARY SCHOOL TODA",317,231,0,548,184,131,0,315,310,0,5,167,127,1,0,0,2,2,1,2,8,315
126,"PRIMARY SCHOOL SARANGPURA",543,395,0,938,297,176,0,473,473,0,12,194,251,2,3,3,1,1,2,1,3,473
127,"PRIMARY SCHOOL SARANGPURA",397,304,0,701,202,114,0,316,316,0,2,71,235,2,1,1,0,1,2,0,1,316
128,"PRIMARY SCHOOL VIKRAMPUR",737,645,0,1382,452,309,0,761,690,0,56,596,91,7,3,1,0,2,3,1,1,761
129,"PRIMARY SCHOOL BULAKIPUR LUHANNA ROOM-1",729,626,0,1355,450,336,0,786,771,0,12,646,103,5,3,1,1,10,2,0,3,786
130,"PRIMARY SCHOOL BULAKIPUR LUHANNA ROOM-2",230,198,0,428,138,102,0,240,236,0,5,218,9,1,0,2,0,3,1,1,0,240
131,"VEENA VADINI INTER COLLEGE ASHOK NAGAR ROOM-1",474,428,0,902,228,204,0,432,432,0,5,246,167,12,1,0,0,0,0,1,0,432
132,"VEENA VADINI INTER COLLEGE ASHOK NAGAR ROOM-1",420,367,0,787,222,172,0,394,383,0,9,225,154,3,0,0,0,0,0,0,3,394
133,"VEENA VADINI INTER COLLEGE ASHOK NAGAR NORTH ROOM-3",676,541,0,1217,299,241,0,540,523,0,14,399,104,13,6,0,0,2,0,1,1,540
134,"VEENA VADINI INTER COLLEGE ASHOK NAGAR NORTH ROOM-4",386,346,0,732,196,172,0,368,343,0,33,240,83,4,4,0,1,1,0,1,1,368
135,"VEENA VADINI INTER COLLEGE ASHOK NAGAR NORTH ROOM-4",601,565,0,1166,313,327,0,640,630,0,116,357,132,7,15,0,1,4,1,0,7,640
136,"VEENA VADINI INTER COLLEGEASHOK NAGAR",552,485,0,1037,237,216,0,453,446,0,3,357,70,17,1,2,1,1,1,0,0,453
137,"VEENA VADINI INTER COLLEGEASHOK NAGAR",801,719,0,1520,384,308,0,692,636,0,53,462,143,16,7,2,1,4,1,1,2,692
138,"NAVEEN GALLA MANDI SHOP NO-25",517,456,0,973,260,237,0,497,451,0,9,159,319,3,1,0,1,1,0,0,4,497
139,"NAVEEN GALLA MANDI NEW CONST SHOP",918,754,0,1672,450,336,0,786,725,0,61,459,225,17,6,2,6,2,2,1,5,786
140,"NAVEEN GALLA MANDI SHOP NO-10",588,533,0,1121,283,230,0,513,470,0,60,289,142,10,3,0,1,2,0,1,5,513
141,"NAVEEN GALLA MANDI SHOP NO-1",992,757,0,1749,408,286,0,694,580,0,29,190,436,7,11,3,3,5,4,2,4,694
142,"NAVEEN GALLA MANDI SHOP NO-2",407,309,0,716,202,154,0,356,341,0,3,89,259,1,2,0,0,1,0,0,1,356
143,"BHARTIYA KRISHAK VIDYALA ADDA USRA",582,491,0,1073,413,337,0,750,720,0,96,250,388,3,0,0,1,7,3,0,2,750
144,"JANTA V FRKD ROAD ETAWAH ROOM-5",620,530,0,1150,317,260,0,577,485,0,38,325,193,13,3,1,0,2,1,0,1,577
145,"JANTA V FRKD ROAD ETAWAH ROOM-15",374,322,0,696,171,147,0,318,318,0,8,185,115,3,3,0,0,2,0,0,2,318
146,"JANTA V FRKD ROAD ETAWAH ROOM-6",701,655,0,1356,324,302,0,626,567,0,24,454,126,6,11,1,1,0,0,0,3,626
147,"JANTA V FRKD ROAD ETAWAH ROOM-1",595,502,0,1097,290,235,0,525,525,0,78,323,108,5,4,2,0,1,0,3,1,525
148,"JANTA V FRKD ROAD ETAWAH ROOM-1",590,505,1,1096,252,199,0,451,451,0,20,315,103,2,6,0,0,1,0,1,3,451
149,"JANTA V FRKD ROAD ETAWAH ROOM-20",622,597,0,1219,312,290,0,602,602,0,26,418,141,4,8,1,0,0,1,0,3,602
150,"JANTA V FRKD ROAD ETAWAH ROOM-7",576,520,0,1096,252,229,0,481,455,0,11,288,170,2,7,0,1,1,0,0,1,481
151,"JANTA V FRKD ROAD ETAWAH ROOM-8",317,259,0,576,157,138,0,295,258,0,4,170,112,7,1,0,0,1,0,0,0,295
152,"BODH VIDYA MANDIR INTER COLLEGE  ETAWAH EAST",491,420,0,911,273,217,0,490,447,0,131,222,121,4,4,3,0,2,1,1,1,490
153,"BODH VIDYA MANDIR INTER COLLEGE  ETAWAH ROOM-6",465,419,0,884,231,175,0,406,406,0,102,184,106,1,7,1,0,0,1,0,4,406
154,"BODH VIDYA MANDIR INTER COLLEGE  ETAWAH ROOM-2",527,460,0,987,259,347,0,606,606,0,63,251,268,4,6,3,0,3,1,0,7,606
155,"BODH VIDYA MANDIR INTER COLLEGE  ETAWAH ROOM-7",405,386,1,792,190,189,0,379,352,0,60,210,97,5,5,0,0,0,0,0,2,379
156,"BODH VIDYA MANDIR INTER COLLEGE ETAWAH WEST ROOM-3",714,573,0,1287,346,305,0,651,647,0,101,352,174,7,13,1,0,1,0,0,2,651
157,"BODH VIDYA MANDIR INTER COLLEGE ETAWAH  ROOM-4",962,761,1,1724,409,395,0,804,772,0,584,123,70,12,10,0,0,1,0,0,4,804
158,"BODH VIDYA MANDIR INTER COLLEGE ETAWAH  ROOM-5",722,623,0,1345,349,345,0,694,645,0,444,118,115,4,2,1,3,1,2,1,3,694
159,"PRIMARY SCHOOL RAM NAGAR",610,524,0,1134,313,262,0,575,557,0,39,407,106,6,5,2,0,5,2,0,3,575
160,"PRIMARY SCHOOL RAM NAGAR",482,417,0,899,251,233,0,484,443,0,124,286,67,1,2,0,1,1,0,1,1,484
161,"PRIMARY SCHOOL RAM NAGAR EAST",363,287,0,650,173,121,0,294,294,0,78,102,107,1,3,0,0,2,1,0,0,294
162,"PRIMARY SCHOOL RAM NAGAR WEST",680,634,0,1314,322,283,0,605,599,0,83,334,175,5,3,0,1,0,0,1,3,605
163,"PRIMARY SCHOOL RAM NAGAR",859,772,0,1631,387,375,0,762,743,0,61,358,323,7,4,2,1,1,1,0,4,762
164,"JHS SHANTI NAGAR RANVEER NAGAR",701,532,0,1233,325,252,0,577,562,0,41,295,215,5,10,3,0,4,1,0,3,577
165,"JHS SHANTI NAGAR RANVEER NAGAR",752,661,1,1414,443,263,0,706,706,0,14,373,295,11,6,1,0,2,0,1,3,706
166,"PV SHANTI NAGAR RANVEER NAGAR",783,686,1,1470,483,359,0,842,842,0,42,435,340,11,4,1,0,2,1,2,4,842
167,"ENG COLLEGE ETW KAINTEEN PARISAR ROOM 1",660,516,0,1176,261,190,0,451,405,0,158,211,53,14,2,2,3,1,1,0,6,451
168,"ENG COLLEGE ETW KAINTEEN PARISAR ROOM 1",700,674,,,,,,,,,,,,,,,,,,,,
