"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
114,"PRIMARY SCHOOL VIKRAMPUR",463,387,0,850,289,211,0,500,500,0,69,334,7,69,0,1,0,0,0,0,0,1,0,0,2,0,7,6,4,500
115,"PRIMARY SCHOOL   CHHATENI",642,490,0,1132,335,235,0,570,549,0,76,202,248,30,0,2,1,1,0,0,1,0,0,1,4,0,3,1,0,570
116,"PRIMARY SCHOOLCHANDRAVALKISHUNPUR",177,142,0,319,106,102,0,208,208,0,51,44,84,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,208
117,"NEW PRIMARY SCHOOLMADARPUR GAJIUDDEEN",589,442,1,1032,370,226,0,596,596,0,184,193,5,188,0,0,0,1,0,1,0,1,6,1,7,4,2,1,2,596
118,"PRIMARY SCHOOL  TIKARI",498,415,0,913,316,244,0,560,560,0,213,261,19,31,0,2,0,0,0,0,1,0,0,0,2,3,10,15,3,560
119,"PRIMARY SCHOOL KURIYANPURWA HAMLET MANDA",297,249,0,546,187,154,0,341,341,0,127,113,51,38,1,1,0,0,0,0,1,1,1,1,4,2,0,0,0,341
120,"JUNIYAR HIGH. SCHOOL MANDA",646,513,0,1159,342,214,0,556,556,0,68,134,258,73,1,1,1,0,0,0,4,0,3,4,4,3,2,0,0,556
121,"JUNIYAR HIGH. SCHOOL MANDA",728,625,1,1354,459,353,0,812,777,0,364,207,89,136,0,1,1,0,0,1,0,0,0,1,3,6,2,0,1,812
122,"PRIMARY SCHOOL  MAITHA SECOND GARAB",543,518,0,1061,321,288,0,609,609,0,234,227,33,79,0,3,0,0,1,0,0,1,1,3,5,5,7,8,2,609
123,"PRIMARY SCHOOL MAITHA FIRST MARAG",500,424,0,924,320,224,0,544,544,0,210,214,35,38,0,0,1,0,0,1,3,0,0,1,3,4,14,19,1,544
124,"PRIMARY SCHOOL MAITHA FIRST MARAG",502,416,0,918,323,235,0,558,478,0,116,343,59,29,0,2,0,1,1,0,1,0,0,1,0,1,2,2,0,558
125,"JUNIYAR HIGH SCHOOL HATHIKA",678,564,0,1242,471,340,0,811,690,0,236,483,4,64,0,0,0,0,1,0,0,1,0,3,5,3,5,4,2,811
126,"PRIMARY SCHOOL PURASBHA",220,187,0,407,59,42,0,101,95,0,64,34,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,101
127,"PRIMARY SCHOOL  KODAWA",539,416,0,955,400,226,0,626,437,0,301,225,27,56,1,1,0,1,0,0,1,0,0,0,4,4,3,1,1,626
128,"PRIMARY SCHOOL  KODAWA",592,505,0,1097,453,255,0,708,708,0,63,262,55,296,1,0,0,0,11,2,0,0,4,1,5,2,0,5,1,708
129,"PRIMARY SCHOOL  JARAILAPURWA HAMLET  KODAWA",424,369,0,793,300,272,0,572,572,0,5,16,339,185,1,0,0,0,2,0,1,0,1,3,5,4,1,1,8,572
130,"PRIMARY SCHOOLNORTH KAKSH MANDAULEE",955,707,1,1663,628,386,0,1014,918,0,459,434,22,65,2,2,0,0,1,2,0,0,0,1,3,5,6,5,7,1014
131,"PRIMARY SCHOOL MANDAULEE",865,648,0,1513,397,244,0,641,532,0,126,322,12,172,3,1,0,0,0,0,0,0,1,1,0,2,0,1,0,641
132,"PRIMARY SCHOOL BALETHA  HAMLET MANDAULEE",539,451,0,990,316,250,0,566,559,0,97,333,50,65,2,0,0,3,1,2,0,1,1,1,2,1,2,3,2,566
133,"PRIMARY SCHOOL BALETHA  HAMLET MANDAULEE",405,323,0,728,268,200,0,468,468,0,178,187,16,69,0,0,0,0,0,0,0,0,0,0,3,0,4,10,1,468
134,"PRIMARY SCHOOL GUESAR HAMLET  MANDAULEE",123,106,0,229,96,75,0,171,160,0,1,10,4,152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,171
135,"PRIMARY SCHOOL  NIJAMATPUR",382,309,0,691,10,2,0,12,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
136,"PRIMARY SCHOOL  MAKHANPURWA HAMLET NIJAMATPUR",175,146,0,321,123,107,0,230,227,0,0,10,148,65,2,0,0,0,0,0,0,0,2,1,1,0,1,0,0,230
137,"PRIMARY SCHOOL GAHLO JARBEE",382,331,0,713,281,210,0,491,491,0,30,10,171,263,0,1,0,0,0,0,0,0,2,0,4,1,2,2,5,491
138,"BARATSHALA BHILAHINDUPUR",534,418,0,952,342,245,0,587,350,0,123,289,99,50,0,0,0,0,0,0,0,0,2,1,0,0,8,11,4,587
139,"PRIMARY SCHOOL  BHAIROSHAHJAHANPUR",683,531,0,1214,300,411,0,711,400,0,99,339,12,190,2,2,1,1,1,2,1,0,2,5,11,9,11,14,9,711
140,"JUNIYAR HIGH SCHOOL ARIMALNYAEE",433,334,0,767,237,214,0,451,431,0,199,126,16,97,1,1,0,0,1,0,1,2,2,1,2,1,0,0,1,451
141,"PRIMARY SCHOOL PREMPUR HAMLET ARIMALNYAEE",319,267,0,586,216,166,0,382,367,0,100,85,103,59,0,0,0,0,1,2,0,3,1,4,9,9,2,1,3,382
142,"PRIMARY SCHOOL NARSUJHA",395,321,0,716,247,185,0,432,382,0,112,167,14,128,2,0,1,0,0,0,0,0,1,2,1,3,1,0,0,432
143,"PRIMARY SCHOOL DEVIPUR",520,406,0,926,366,285,0,651,400,0,95,12,463,39,2,0,1,1,4,0,3,0,1,13,7,3,3,2,2,651
144,"PRIMARY SCHOOL JUGRAJPUR SHIVLI",253,223,0,476,160,114,0,274,118,0,55,81,49,81,1,0,0,0,0,0,0,0,0,0,2,3,0,2,0,274
