"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - LALITESH PATI TRIPATHI","2 - SAMUDRA BIND","3 - SURENDRA SINGH PATEL","4 - ANUPRIYA SINGH PATEL","5 - AJAD","6 - JITTOO RAM RATNA","7 - JEERA BHARTI","8 - BRIJESH KUMAR RAI","9 - BHAGWAN DAS","10 - RADHESHYAM INSAN","11 - VINEET SAHAI","12 - SHIVRAJ SAHNI","13 - SANTOSH KUMAR","14 - SARVESH DUBEY","15 - SUKCHARA NAND URF AALOO BABA","16 - ASHOK KUMAR","17 - ADESH TYAGI","18 - DR. KARNAIL SINGH","19 - GIRJA SHANKAR URF CHUNMUN","20 - DEVI","21 - RAJA RAM","22 - RAM MURAT","23 - HINCHH LAL","24 - None of the Above","Total Votes Secured"
11,GOTAWAN,784,622,0,1406,384,372,0,756,756,0,26,79,167,429,3,8,1,2,2,2,3,6,0,8,2,4,1,1,1,3,2,5,0,1,756
12,GOTAWAN,799,606,0,1405,414,349,0,763,1,0,26,22,222,401,12,6,3,5,2,2,3,3,2,3,0,5,3,1,4,7,3,19,2,7,763
13,"BANDHAWA SATHIT AAHI",648,536,0,1184,451,271,0,722,7,0,33,10,77,564,5,4,2,5,0,0,2,2,3,0,1,2,0,0,1,5,1,3,1,1,722
14,"BANDHAWA SATHIT AAHI",714,601,0,1315,396,346,0,742,107,0,45,260,42,352,2,2,1,2,0,1,1,5,1,3,3,4,1,1,1,4,0,6,2,3,742
15,AAHI,661,535,0,1196,409,343,0,752,284,0,11,26,92,554,9,3,1,1,0,1,2,2,4,3,2,13,0,5,1,0,1,17,2,2,752
16,AAHI,218,195,0,413,158,144,0,302,109,0,10,59,9,208,3,0,0,0,0,2,1,1,0,1,1,2,0,1,0,0,1,1,1,1,302
17,AAHI,554,420,0,974,285,235,0,520,520,0,27,88,98,279,3,1,1,0,0,2,2,1,0,2,0,3,3,1,1,3,0,3,2,0,520
18,AAHI,410,348,1,759,210,228,0,438,338,0,32,160,15,211,2,1,1,2,0,0,2,1,0,1,0,2,1,0,0,1,1,4,0,1,438
19,LARAVAK,576,470,0,1046,346,322,0,668,668,0,44,213,68,298,4,1,0,2,2,2,1,1,1,1,9,11,0,2,2,0,0,2,2,2,668
20,LARAVAK,418,352,0,770,212,201,0,413,411,0,13,119,57,181,2,5,2,2,2,1,4,0,1,2,1,3,0,2,0,4,2,5,2,3,413
21,DIYAV,561,491,0,1052,460,359,0,819,1,0,6,215,42,520,7,2,0,0,1,1,0,2,2,1,2,1,0,2,1,6,3,3,0,2,819
22,DIYAV,816,664,0,1480,469,377,0,846,394,0,76,237,328,157,0,7,4,2,3,2,2,1,2,1,1,8,2,0,3,1,0,1,3,5,846
23,KALYANPUR,518,436,0,954,326,288,0,614,614,0,19,82,156,278,6,1,2,4,2,3,0,2,2,6,0,7,1,8,5,10,2,10,3,5,614
24,KALYANPUR,339,271,0,610,190,180,0,370,370,0,71,16,64,179,4,5,2,2,1,1,3,2,3,1,1,4,1,1,2,2,0,3,0,2,370
25,VYASPUR,728,613,0,1341,478,417,0,895,772,20,20,175,199,404,12,8,2,33,1,1,3,2,3,1,2,4,1,5,3,4,0,7,0,5,895
26,CHAKIYA,644,530,0,1174,469,370,0,839,839,0,17,9,58,619,14,6,5,3,3,3,6,4,6,5,9,5,14,9,6,8,6,17,4,3,839
27,CHAKIYA,378,323,0,701,289,236,0,525,525,0,7,4,114,340,0,1,2,1,0,0,2,2,1,0,0,4,0,3,0,8,4,25,3,4,525
28,NIGATPUR,268,233,0,501,167,159,0,326,66,0,32,94,82,86,2,0,1,1,0,0,4,1,1,4,4,4,0,0,2,0,2,3,2,1,326
29,"GODHANA FIRST",619,478,0,1097,313,240,0,553,51,0,43,64,65,343,2,3,0,0,0,4,2,0,2,1,2,4,2,2,1,1,1,8,2,1,553
30,GODHANA,710,533,0,1243,431,332,0,763,759,0,26,323,139,230,2,1,0,2,1,0,5,0,3,4,7,6,1,0,1,1,2,5,3,1,763
31,GODHANA,691,590,0,1281,391,342,0,733,6,0,49,197,144,192,4,3,2,1,1,0,6,98,7,2,4,10,1,2,1,1,0,1,0,7,733
32,DAMODARPUR,656,527,0,1183,418,347,0,765,735,0,54,213,65,381,3,3,1,5,0,0,5,3,5,5,4,6,1,1,2,1,0,3,0,4,765
33,CHAKCHADIYA,143,112,0,255,78,77,0,155,155,0,55,47,5,39,1,0,0,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,155
34,CHADIYA,831,688,0,1519,409,374,0,783,300,0,44,199,204,296,2,3,4,2,1,3,1,3,2,1,4,3,1,4,0,2,0,2,1,1,783
35,MAJHAWAN,484,421,0,905,257,253,0,510,510,0,83,158,13,226,5,0,0,1,0,2,2,1,2,2,1,6,0,0,0,1,0,4,1,2,510
36,MAJHAWAN,631,462,0,1093,344,258,0,602,602,0,45,36,241,243,2,1,2,1,0,0,2,1,3,1,1,3,4,0,1,3,0,4,3,5,602
37,MAJHAWAN,559,429,0,988,299,259,0,558,558,0,19,376,51,86,2,1,0,1,1,1,1,0,0,1,3,6,0,3,0,0,1,3,2,0,558
38,MAJHAWAN,771,574,0,1345,402,331,0,733,16,0,58,100,71,457,3,3,1,2,4,2,2,0,6,1,3,2,1,0,1,3,4,2,2,5,733
39,MAJHAWAN,880,677,1,1558,446,356,0,802,1,0,71,44,231,402,10,0,1,1,0,0,3,3,3,7,3,3,1,1,2,3,1,7,1,4,802
40,HARDARA,414,366,0,780,221,183,0,404,387,0,58,112,25,195,3,2,0,0,0,0,1,0,0,2,1,1,0,1,0,0,1,0,1,1,404
41,MITAIKHAS,783,653,0,1436,446,371,0,817,759,0,103,128,143,388,1,5,0,9,0,1,5,3,4,4,2,9,0,0,2,1,0,4,4,1,817
42,TULAPUR,705,561,0,1266,383,293,0,676,664,0,138,184,59,241,6,2,0,0,1,1,0,1,4,3,2,3,7,6,5,7,2,2,2,0,676
43,ANANTPUR,345,257,0,602,187,183,0,370,368,0,9,175,10,133,3,0,1,7,1,0,3,0,0,4,5,5,2,0,1,1,1,7,2,0,370
44,JALALPUR,592,480,0,1072,399,304,0,703,695,0,22,200,353,107,2,0,0,0,1,0,1,1,0,6,3,1,1,1,0,0,0,2,0,2,703
45,JALALPUR,778,566,0,1344,412,331,0,743,743,0,198,114,320,69,2,2,3,2,1,2,1,11,1,2,2,2,3,2,1,0,1,1,1,2,743
46,SAVESAR,611,537,0,1148,330,311,0,641,641,0,80,134,40,336,5,6,2,1,2,0,8,1,4,1,4,0,0,3,0,0,2,9,2,1,641
47,SAVESAR,512,439,0,951,249,216,0,465,51,0,23,7,194,219,1,0,1,1,0,1,0,2,0,1,0,2,2,4,1,1,4,0,1,0,465
48,BAJAHAN,851,726,0,1577,450,332,0,782,782,0,168,140,92,324,9,1,1,3,0,5,1,3,7,2,4,5,2,2,1,4,0,5,1,2,782
49,BAJAHAN,205,165,0,370,183,141,0,324,324,0,8,17,41,119,132,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,1,324
50,BAJAHAN,755,609,0,1364,377,283,0,660,660,0,70,96,125,349,0,2,2,1,0,1,3,1,2,1,1,1,0,0,0,1,1,1,1,1,660
51,BAJAHAN,752,565,0,1317,421,356,0,777,1,0,38,460,64,171,3,2,1,1,2,0,2,2,0,5,7,6,2,2,2,2,1,1,2,1,777
52,BAJARDIHA,466,380,0,846,276,234,0,510,168,0,22,60,71,311,2,3,2,2,1,2,2,2,5,5,2,5,0,1,0,3,1,6,1,1,510
53,BAJARDIHA,441,400,0,841,267,250,0,517,19,0,26,99,77,269,4,3,0,4,1,1,4,1,2,2,1,7,1,2,2,3,0,2,3,3,517
54,RAMAPUR,552,466,0,1018,369,317,0,686,265,0,26,70,35,497,4,2,0,6,0,0,2,2,1,0,3,2,2,4,1,15,2,10,0,2,686
55,RAMAPUR,611,513,0,1124,372,343,0,715,712,0,43,395,57,158,7,2,1,4,2,2,6,5,5,2,4,6,0,3,0,3,1,6,1,2,715
56,BARAPUR,733,623,0,1356,458,365,0,823,823,0,68,205,37,462,9,0,0,1,0,0,1,1,1,2,3,0,2,4,1,2,3,13,6,2,823
57,SARAWAN,861,660,3,1524,439,376,0,815,650,0,54,173,74,432,5,9,3,3,5,1,3,11,6,2,2,6,1,1,3,6,2,8,2,3,815
58,SARAWAN,289,255,0,544,181,176,0,357,357,0,20,156,74,93,1,2,0,0,0,0,1,3,0,0,0,0,1,0,0,0,2,3,0,1,357
59,TIWARIPUR,629,420,0,1049,376,223,0,599,538,0,14,298,147,97,0,3,2,2,0,0,4,6,0,3,3,1,2,3,3,1,1,2,6,1,599
60,TIWARIPUR,353,304,0,657,205,158,0,363,215,0,22,98,53,168,0,2,0,2,0,1,1,3,0,1,2,4,0,0,1,0,0,4,0,1,363
61,PADERI,537,475,0,1012,283,248,0,531,231,0,22,47,28,399,1,1,1,1,1,0,1,0,5,2,1,1,2,0,3,4,2,6,1,2,531
62,GOWARDHANPUR,594,486,0,1080,310,278,0,588,547,0,123,403,25,15,1,1,0,6,3,1,0,0,0,0,2,1,2,1,0,1,0,0,2,1,588
63,BHAISA,714,557,1,1272,337,298,0,635,634,0,59,247,103,186,3,3,1,2,1,1,1,1,3,3,4,5,1,1,2,0,0,4,1,3,635
64,BHAISA,675,533,0,1208,267,317,0,584,571,0,104,2,2,455,3,0,0,0,0,1,2,0,4,0,3,2,0,0,0,1,0,4,0,1,584
65,BHAISA,876,701,0,1577,495,430,0,925,918,0,27,463,51,298,8,4,2,6,2,8,2,1,7,6,9,7,3,3,0,3,3,4,1,7,925
66,JAMUARI,746,676,0,1422,450,436,0,886,66,0,70,54,291,380,11,7,3,1,0,1,4,2,5,0,4,15,3,2,1,4,3,15,6,4,886
67,KACHHAWAN,658,549,0,1207,466,367,0,833,833,0,70,384,85,223,2,3,3,2,1,4,3,6,3,4,10,9,3,2,1,3,3,3,2,4,833
68,KACHHAWAN,529,461,0,990,333,263,0,596,355,0,118,82,53,313,1,3,1,9,1,2,2,2,2,1,0,2,0,1,0,0,0,0,0,3,596
69,KACHHAWAN,553,422,1,976,310,219,0,529,520,0,103,119,68,210,3,2,0,1,2,0,1,0,2,4,0,3,2,0,0,0,1,4,0,4,529
70,KACHHAWAN,444,357,0,801,232,242,0,474,468,0,53,134,138,123,3,1,0,0,0,0,2,1,2,2,3,3,3,0,0,0,0,2,3,1,474
71,KACHHAWAN,736,595,0,1331,447,336,0,783,783,0,107,39,232,369,2,1,1,8,0,1,1,0,1,2,1,3,2,0,0,7,2,3,0,1,783
72,KACHHAWAN,695,559,0,1254,360,298,0,658,1,0,206,91,208,122,2,1,1,9,2,0,3,1,0,3,0,1,1,0,0,0,1,2,2,2,658
73,KACHHAWAN,789,659,0,1448,446,444,0,890,890,0,163,233,190,248,2,4,3,1,3,0,3,0,10,4,8,4,1,0,0,0,1,6,2,4,890
74,KACHHAWAN,749,628,0,1377,409,334,0,743,743,0,203,26,163,320,4,5,1,3,1,1,1,0,1,0,0,3,1,0,0,3,0,2,0,5,743
75,KACHHAWAN,712,583,0,1295,472,325,0,797,790,0,164,52,33,508,4,0,0,3,0,0,2,0,6,3,2,4,1,2,1,5,2,2,2,1,797
76,KACHHAWAN,538,457,3,998,252,204,0,456,432,0,76,22,19,314,4,2,2,1,0,0,0,3,4,0,0,3,1,1,0,2,0,2,0,0,456
77,BARAINI,737,647,0,1384,429,404,0,833,823,0,60,272,267,189,3,1,3,6,1,2,2,3,1,7,4,6,0,1,0,0,1,3,1,0,833
78,BARAINI,562,443,0,1005,296,234,0,530,502,0,14,96,187,215,1,0,0,1,0,0,1,0,5,0,2,4,0,1,1,0,0,0,0,2,530
79,BARAINI,339,222,0,561,148,84,0,232,141,0,9,20,107,86,0,0,2,0,1,0,1,1,0,0,1,1,0,0,0,2,0,0,0,1,232
80,BARAINI,400,374,0,774,245,236,0,481,481,0,32,93,63,260,8,4,2,2,1,1,1,4,2,1,2,1,0,0,0,0,0,2,1,1,481
81,BARAINI,576,368,1,945,270,199,0,469,481,0,15,149,106,132,2,2,0,4,1,0,1,7,2,4,3,8,2,9,6,7,2,3,0,4,469
82,BARAINI,759,671,0,1430,408,356,0,764,762,0,2,2,0,3,2,2,0,0,6,1,2,11,641,19,1,53,3,0,0,7,2,6,1,0,764
83,KANAKSARAY,615,543,0,1158,387,336,0,723,723,0,12,198,44,442,7,1,0,1,0,1,0,1,2,1,1,3,1,1,2,1,0,3,0,1,723
84,KANAKSARAY,611,496,0,1107,396,298,0,694,691,0,15,13,296,333,4,2,2,2,1,0,1,1,2,3,0,2,0,4,2,1,0,8,0,2,694
85,SEMARI,527,456,0,983,309,305,0,614,220,0,165,103,193,75,3,4,0,0,2,0,4,1,3,5,2,8,10,2,7,7,2,5,3,10,614
86,SEMARI,720,579,0,1299,365,338,0,703,494,0,19,299,65,228,4,3,1,2,0,2,3,48,5,2,7,3,1,2,1,1,0,1,0,6,703
87,SEMARI,702,526,0,1228,423,300,0,723,538,0,15,320,77,266,4,7,0,1,1,0,2,0,0,3,5,9,0,2,1,0,2,2,3,3,723
88,SEMARI,659,517,0,1176,358,255,0,613,52,0,56,142,62,285,2,7,2,3,2,2,2,4,1,1,2,5,3,2,2,4,2,14,5,3,613
89,KARASADA,650,553,1,1204,382,406,0,788,525,0,38,355,169,155,0,3,3,4,2,6,5,5,5,2,3,13,1,3,0,1,1,6,1,7,788
90,KARASADA,617,526,0,1143,391,347,0,738,738,0,22,120,242,206,9,7,4,4,1,1,3,95,3,2,5,9,0,0,0,0,1,1,1,2,738
91,RAMCHANDARPUR,607,521,0,1128,316,307,0,623,623,0,58,135,84,276,8,7,2,3,1,0,5,12,4,1,6,2,4,1,1,5,0,3,2,3,623
92,KEVATAVEER,832,631,0,1463,531,389,0,920,919,0,63,282,155,317,5,6,2,3,1,1,5,50,4,2,1,4,3,2,1,4,2,5,0,2,920
93,KEVATAVEER,734,534,0,1268,360,315,0,675,670,0,22,83,36,459,9,1,1,1,1,2,2,15,3,1,1,1,2,4,3,17,3,5,0,3,675
94,"PIPARIYA SATHIT MAHAMALPUR",594,517,0,1111,350,303,0,653,624,0,21,116,61,335,6,6,2,3,1,1,2,54,5,6,1,6,2,1,1,3,5,10,3,2,653
95,MAHAMALPUR,686,565,0,1251,344,314,0,658,649,0,86,70,119,315,1,1,2,0,0,2,0,4,5,4,1,7,2,3,5,5,3,14,1,8,658
96,MAHAMALPUR,530,422,0,952,338,309,0,647,634,0,23,76,51,445,4,3,1,1,1,2,2,3,5,3,1,2,3,3,1,3,0,9,2,3,647
97,MAHAMALPUR,576,475,0,1051,335,282,0,617,568,0,14,320,15,235,4,0,0,3,2,0,0,0,4,2,2,6,0,3,0,1,1,2,0,3,617
98,KATKA,586,482,0,1068,347,271,0,618,165,0,21,59,61,441,4,1,1,1,2,0,6,1,3,0,2,2,1,1,0,3,0,4,2,2,618
99,KATKA,309,272,0,581,186,162,0,348,348,0,9,34,35,257,0,0,0,0,0,0,0,1,3,1,2,1,0,1,0,1,0,1,1,1,348
100,KATKA,593,491,0,1084,340,306,0,646,315,0,15,398,20,133,1,2,3,1,0,0,3,42,1,2,3,7,1,0,2,2,3,3,2,2,646
101,KATKA,432,365,0,797,289,220,0,509,18,0,20,205,84,157,3,9,0,2,1,1,2,11,4,1,1,6,0,0,1,0,0,0,1,0,509
102,GARAULI,833,713,0,1546,408,399,0,807,806,0,67,163,171,351,4,6,0,0,0,2,5,2,0,4,1,6,3,2,2,3,2,11,0,2,807
103,GARAULI,615,513,0,1128,345,329,0,674,507,0,21,343,170,70,4,0,1,1,2,0,0,8,1,4,3,9,5,4,4,4,3,5,8,4,674
104,GARAULI,508,393,0,901,209,135,0,344,141,0,13,90,27,135,2,7,0,3,1,4,3,47,2,1,1,2,0,0,1,3,0,2,0,0,344
105,GARAULI,395,349,0,744,202,212,0,414,206,0,14,146,53,145,5,8,3,1,0,2,6,5,1,1,3,4,0,3,1,4,3,2,0,4,414
106,GARAULI,870,728,0,1598,497,398,0,895,650,0,32,90,113,606,2,9,3,2,2,3,3,8,6,3,1,3,0,1,0,2,3,1,1,1,895
107,GAHARWARI,456,415,0,871,219,227,0,446,446,0,14,137,159,92,3,2,0,5,0,1,3,1,5,4,2,7,4,1,0,1,2,2,0,1,446
108,SHIVRANI,618,503,0,1121,366,300,0,666,618,0,6,341,192,77,3,6,1,1,1,2,3,2,2,3,4,8,1,2,2,2,1,2,2,2,666
109,MATIYARI,455,403,0,858,259,228,0,487,471,0,15,93,140,197,1,2,3,1,0,0,0,1,2,3,0,4,1,5,4,2,0,7,3,3,487
110,MAHANANDPUR,680,591,0,1271,367,344,0,711,593,0,60,67,193,342,5,3,1,1,1,0,1,3,10,0,1,4,2,1,5,2,2,4,2,1,711
111,MAHANANDPUR,210,148,0,358,88,71,0,159,159,0,1,69,29,51,1,0,0,1,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,159
112,JAUSARA,585,483,0,1068,453,195,0,648,453,0,40,167,87,284,3,3,0,1,0,2,4,1,3,3,4,6,6,3,3,12,1,2,6,7,648
113,BHATAULI,665,495,0,1160,363,300,0,663,1,0,48,118,49,375,6,7,1,2,2,1,1,5,2,1,3,10,4,2,2,4,3,11,3,3,663
114,"DILMAN DEVRIYA",608,475,0,1083,395,311,0,706,703,0,55,293,171,151,2,2,1,0,0,1,1,0,4,5,4,3,1,1,1,1,2,3,1,3,706
115,"CHAPAUR KALA",477,396,0,873,265,224,0,489,487,0,65,114,23,256,1,4,0,0,0,2,1,2,4,1,2,3,1,0,0,1,2,5,1,1,489
116,MAJHAGAWAN,326,252,0,578,160,172,0,332,151,0,46,135,17,105,4,3,2,2,0,1,2,1,3,3,2,2,0,1,1,1,0,1,0,0,332
117,LEDU,782,592,0,1374,471,352,0,823,802,0,49,436,39,222,2,6,0,3,10,2,2,3,4,7,8,7,0,4,2,4,0,6,2,5,823
118,SARAIYA,562,456,0,1018,340,286,0,626,490,0,113,279,16,176,2,1,1,1,2,3,5,0,4,2,3,7,2,1,0,1,0,5,0,2,626
119,"PATHARA DASAUDHI",342,290,0,632,250,198,0,448,448,0,41,234,13,143,2,2,0,1,1,1,1,0,4,0,0,2,0,1,0,1,0,1,0,0,448
120,GURUSANDI,664,551,0,1215,343,280,0,623,623,0,59,183,97,242,4,2,1,0,1,1,5,1,2,1,2,5,2,0,3,2,0,3,3,4,623
121,"PARWA RAJDHAR",631,530,0,1161,392,362,0,754,453,0,30,322,17,319,7,2,0,1,0,0,2,3,5,3,5,5,1,3,1,9,1,8,4,6,754
122,"PACHER MISHRA",240,213,0,453,162,138,0,300,288,0,56,71,17,125,2,0,0,1,4,1,0,0,1,1,6,4,1,1,1,1,0,2,4,1,300
123,"SINHAR DIXIT",310,256,0,566,179,170,0,349,1,0,60,38,30,193,3,1,1,3,0,0,0,1,0,3,2,1,2,2,2,3,1,1,0,2,349
124,"SINHAR KALA",551,472,0,1023,333,251,0,584,584,0,8,138,188,199,1,5,1,1,0,0,3,1,1,1,2,3,5,6,3,2,0,11,5,0,584
125,BARAULI,377,305,0,682,183,175,0,358,353,0,18,48,6,265,2,2,1,1,5,0,1,2,2,0,0,0,0,1,0,1,0,2,0,1,358
126,RAMCHANDARPUR,405,319,0,724,194,179,0,373,330,0,26,93,37,183,4,2,0,2,1,2,1,2,3,2,1,4,1,1,0,3,0,4,1,0,373
127,VISHAWNATHPUR,180,128,0,308,118,102,0,220,220,0,4,130,15,54,2,2,0,1,0,0,1,1,2,1,1,0,0,4,0,1,0,0,0,1,220
128,MAVAIYA,349,267,0,616,203,162,0,365,360,0,93,21,10,204,3,1,0,0,0,1,4,1,4,0,1,3,1,2,1,6,3,4,1,1,365
129,SANDAVA,703,553,0,1256,377,311,0,688,669,0,59,127,6,411,7,6,3,2,3,3,5,4,8,5,4,5,4,5,1,9,4,3,1,3,688
130,JIVATI,769,609,0,1378,449,354,0,803,456,0,16,433,82,231,4,5,1,2,1,2,1,2,1,2,3,7,1,1,3,2,0,1,1,1,803
131,JIVATI,361,306,0,667,234,190,0,424,87,0,23,260,5,109,2,4,1,3,0,0,0,1,2,1,3,5,0,0,0,0,0,3,1,1,424
132,"BEDAULI KHURD",595,506,0,1101,324,297,0,621,71,0,63,157,16,329,4,3,2,0,0,1,6,6,5,1,0,3,0,2,1,5,1,13,2,1,621
133,"BEDAULI KHURD",830,610,2,1442,464,304,0,768,749,0,111,333,57,196,7,3,2,0,3,4,2,3,2,7,7,10,3,2,0,1,1,7,2,5,768
134,MASARI,694,538,0,1232,433,300,0,733,691,0,33,235,127,282,6,3,3,0,3,2,3,8,7,2,3,3,1,0,1,2,1,5,2,1,733
135,MASARI,670,518,0,1188,406,290,0,696,576,0,88,290,11,237,9,5,7,2,0,2,3,6,3,4,4,9,2,7,1,2,0,1,1,2,696
136,LACHACHHPATTI,531,409,0,940,391,271,0,662,650,0,16,212,94,282,5,3,1,3,0,0,1,6,6,2,3,7,2,3,1,3,1,6,2,3,662
137,LACHACHHPATTI,483,380,0,863,326,231,0,557,557,0,31,145,43,295,3,3,0,0,1,0,1,1,8,5,3,5,0,0,0,0,2,7,3,1,557
138,KIRTARTARA,499,378,0,877,321,233,0,554,552,0,69,249,23,189,2,1,0,0,0,0,0,3,1,2,4,5,3,0,0,1,1,0,0,1,554
139,"PATHAN PATTI",458,390,0,848,289,232,0,521,460,0,64,188,25,205,5,2,1,1,2,0,1,9,2,1,3,1,1,1,1,1,1,2,1,3,521
140,"DHANI PATTI",779,619,0,1398,487,327,0,814,71,0,41,329,63,304,5,0,3,2,2,1,7,21,4,4,4,7,1,1,3,3,0,3,3,3,814
141,"ANANTRAM PATTI",604,530,0,1134,373,309,0,682,682,0,80,261,32,281,3,1,0,1,0,0,2,1,1,2,4,3,1,0,0,1,0,3,1,4,682
142,ARJUNPUR,885,707,0,1592,515,373,0,888,1,0,107,228,134,369,4,2,5,3,0,3,2,1,6,3,1,6,1,1,1,2,1,2,3,3,888
143,ARJUNPUR,509,399,0,908,303,233,0,536,519,0,87,258,45,90,8,2,1,2,2,1,5,2,4,6,4,8,0,1,0,0,0,6,2,2,536
144,ARJUNPUR,447,385,0,832,271,219,0,490,410,0,35,59,253,110,2,1,2,3,0,1,0,0,1,4,2,2,5,1,3,1,0,1,0,4,490
145,AGHAULI,559,467,0,1026,290,198,0,488,488,0,22,51,68,323,2,2,4,5,0,0,0,0,0,2,0,1,0,0,1,1,0,3,0,3,488
146,AGHAULI,410,330,1,741,243,180,0,423,416,0,29,82,51,233,2,1,0,0,1,0,3,1,5,3,1,2,1,1,1,2,0,2,0,2,423
147,"LAHAULI MISHRA",582,455,0,1037,256,220,0,476,8,0,73,50,11,296,3,6,0,2,1,0,1,3,3,1,5,9,1,0,0,1,1,5,0,4,476
148,"LAHAULI MISHRA",584,445,0,1029,368,253,0,621,10,0,102,76,43,333,7,4,2,4,3,3,1,5,7,3,1,8,1,4,0,4,0,8,1,1,621
149,VEERSHAHPUR,831,657,0,1488,415,341,0,756,709,0,76,80,21,506,2,4,1,8,0,1,4,6,10,4,2,12,7,1,0,2,2,4,1,2,756
150,"BHUILI PANDEY",396,323,0,719,280,180,0,460,445,0,115,163,5,141,7,2,2,1,2,0,1,3,2,4,1,3,2,0,0,2,0,2,0,2,460
151,INDIPARVATPUR,406,348,0,754,211,201,0,412,412,0,57,78,17,231,3,2,1,2,5,0,1,2,1,1,0,1,2,1,0,2,1,3,1,0,412
152,KHARHARA,656,512,0,1168,437,328,0,765,760,0,14,541,23,145,4,1,0,2,1,3,2,1,0,6,8,2,1,4,0,2,0,0,2,3,765
153,KHARHARA,613,448,0,1061,307,242,0,549,549,0,140,110,5,262,3,0,0,0,1,1,1,0,3,2,5,3,1,1,0,1,2,5,2,1,549
154,"(BELVARIYA) KURKUTHIYA PANDEY",652,511,0,1163,468,370,0,838,838,0,18,572,13,182,5,2,1,0,2,0,3,1,4,8,4,7,1,4,0,0,2,1,2,6,838
155,"MALAI KA PURA SATHIT AKASAULI",743,592,1,1336,457,364,0,821,821,0,82,278,20,343,9,1,3,7,3,2,7,10,5,5,5,14,2,6,0,3,7,5,2,2,821
156,AKASAULI,431,306,0,737,244,167,0,411,1,0,121,71,56,116,4,1,0,0,2,1,2,1,4,4,1,4,5,3,7,2,1,1,3,1,411
157,AKASAULI,585,493,0,1078,371,336,0,707,1,0,139,244,6,250,6,1,0,2,3,4,4,3,1,2,3,9,1,2,2,3,3,9,3,7,707
158,MAHEVA,681,569,0,1250,475,366,0,841,838,0,47,369,28,326,6,5,2,0,1,0,6,3,6,6,0,13,2,3,4,1,0,8,1,4,841
159,"DUNAIYA PANDEY",153,118,1,272,99,77,0,176,146,0,5,85,3,76,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,176
160,KHAJURI,786,545,0,1331,438,274,0,712,697,0,186,146,19,318,3,2,1,1,1,1,10,3,2,0,1,4,3,1,0,4,0,4,0,2,712
