"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
67,"PS RAVALI",352,296,0,648,215,193,0,408,51,0,69,10,119,188,4,1,0,5,5,5,1,1,408
68,"PS SARVANPUR",237,210,0,447,137,157,0,294,294,0,71,5,90,118,2,1,0,0,0,3,2,2,294
69,"PS ATESAR",363,319,0,682,224,177,0,401,387,0,45,34,144,162,3,1,0,1,3,2,1,5,401
70,"PS MOHALI",534,466,0,1000,383,320,0,703,630,0,73,18,251,336,1,1,9,7,4,2,0,1,703
71,"PS BAKCHUNA",751,681,0,1432,391,363,0,754,754,0,124,44,200,362,2,1,2,3,5,5,1,5,754
72,"PS PURABALI I",419,362,0,781,257,206,0,463,463,0,92,12,138,209,1,0,0,3,3,2,0,3,463
73,"PS BHAKHAULI - EAST",740,675,0,1415,427,341,0,768,768,0,41,20,261,385,8,2,1,1,13,8,6,22,768
74,"PS BHAKHAULI - WEST",667,575,0,1242,360,256,0,616,355,0,99,31,127,297,3,2,37,4,3,2,2,9,616
75,"PS MUBARAKPUR",165,135,0,300,86,88,0,174,10,0,33,39,42,49,2,0,0,0,0,4,3,2,174
76,"JHS MEVAPUR MT. RASULPUR LILHA",650,595,0,1245,398,379,0,777,760,0,257,94,116,254,2,2,2,4,10,10,10,16,777
77,"PS RASULPURLILAHA",783,637,0,1420,403,337,0,740,300,0,65,160,66,376,9,4,4,3,14,15,7,17,740
78,"MAHANTH LALDAS INTER COLLAGE DEVGAON 1",597,479,0,1076,375,268,0,643,234,0,31,158,70,353,4,1,1,3,6,1,6,9,643
79,"MAHANTH LALDAS INTER COLLAGE DEVGAON 2",663,518,0,1181,217,210,0,427,424,0,6,280,87,30,3,3,3,0,1,6,3,5,427
80,"MAHANTH LALDAS INTER COLLAGE DEVGAON 3",456,384,0,840,213,194,0,407,407,0,51,93,87,159,1,1,2,1,1,3,1,7,407
81,"JHS RANIKPUR - EAST",449,377,0,826,200,264,0,464,454,0,6,239,167,35,2,2,0,1,2,2,2,6,464
82,"JHS RANIKPUR - MIDDLE",439,352,0,791,175,196,0,371,369,0,1,222,103,14,1,7,2,2,3,5,6,5,371
83,"JHS RANIKPUR - WEST",348,310,0,658,147,163,0,310,300,0,18,118,143,16,1,0,1,2,3,0,3,5,310
84,"PS GHODVAL - NORTH",498,452,0,950,271,220,0,491,491,0,42,130,155,141,2,0,0,2,4,4,4,7,491
85,"PS GHODVAL -EXTRA ROOM",329,310,0,639,175,163,0,338,17,0,8,118,124,83,0,0,2,0,1,1,0,1,338
86,"PS GHODVAL -SOUTH",288,229,0,517,141,133,0,274,274,0,22,81,87,80,0,0,1,1,0,1,0,1,274
