"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANJU URF MUSKAN","2 - KAMLESH","3 - PRADEEP KUMAR JATAV","4 - BHOLA SINGH","5 - PYARE LAL","6 - RAGHURAJ PRATAP SINGH","7 - DR. RAHUL DIPANKAR","8 - VIJAI PAL","9 - SURESH","10 - HARVIR","11 - None of the Above","Total Votes Secured"
24,"GANGAHARI MAZRA MOODHI  BAKAPUR PRIMARY  SCHOOL",359,324,0,683,249,207,0,456,456,0,22,14,9,392,6,0,9,0,1,2,1,456
25,"BHANDORIYA PRIMARY  SCHOOL",272,245,0,517,180,163,0,343,343,0,12,20,63,242,0,1,0,2,2,1,0,343
26,"KHAWAJPUR ASHRAFPUR PRIMARY SCHOOL  ROOM NO  1",530,462,0,992,363,312,0,675,675,0,2,14,5,633,6,0,4,1,0,6,4,675
27,"KHAWAJPUR ASHRAFPUR PRIMARY SCHOOL  ROOM NO  2",537,457,0,994,374,296,0,670,670,0,3,40,24,569,5,0,4,5,1,9,10,670
28,"NAGLA JEET ALIAS JTAKA PRIAMRY SCHOOL",733,666,1,1400,383,325,0,708,708,0,4,1,169,511,0,0,12,2,2,4,3,708
29,"KHANAUDA PRIMARY SCHOOL",723,568,0,1291,447,308,0,755,755,0,5,106,137,481,4,0,10,2,1,6,3,755
30,"PAWSARA JANSEWA INTER COLLEGE ROOM NO.1",417,394,0,811,240,206,0,446,446,0,32,19,3,377,1,0,8,1,1,2,2,446
31,"PAWSARA JANSEWA INTER COLLEGE ROOM NO.2",425,405,0,830,249,256,0,505,505,0,7,7,3,471,2,0,5,4,0,1,5,505
32,"PAWSARA  PRIMARY SCHOOL ROOM  NO.1",432,401,0,833,259,245,0,504,504,0,17,44,80,330,3,2,6,3,8,5,6,504
33,"PAWSARA  PRIMARY SCHOOL ROOM  NO.2",492,403,0,895,288,210,0,498,498,0,18,13,107,336,2,0,5,5,2,4,6,498
34,"MANPUR PRIMARY SCHOOL",609,510,0,1119,340,240,0,580,580,0,83,9,145,318,0,3,6,3,2,5,6,580
35,"BISUNDARA  PRIMARY SCHOOL  ROOM NO.1",498,439,0,937,287,236,0,523,523,0,15,19,1,470,2,0,2,3,1,10,0,523
36,"BISUNDARA  PRIMARY SCHOOL  ROOM NO.2",440,374,0,814,341,263,0,604,604,0,24,6,79,481,2,1,7,2,1,1,0,604
37,"LOHARKA PRIMARY SCHOOL",440,380,0,820,326,218,0,544,544,0,45,16,108,365,2,0,1,1,0,1,5,544
38,"PALIBEGPUR PRIMARY  SCHOOL",485,454,0,939,271,257,0,528,528,0,46,7,15,450,2,0,0,6,0,0,2,528
39,"HINGTHALA URF BHAWSI PRIMARY  SCHOOL",608,432,0,1040,354,265,0,619,619,0,9,41,146,404,2,1,8,2,0,4,2,619
40,"AURANGABAD PRIMARY SCHOOL  SAEEDGARHI ROOM NO . 1",498,467,0,965,294,281,0,575,575,0,66,109,15,364,2,1,0,0,4,8,6,575
41,"AURANGABAD PRIMARY SCHOOL  SAEEDGARHI ROOM NO . 2",421,343,0,764,247,218,0,465,465,0,24,51,20,356,2,1,0,2,0,4,5,465
42,"AURANGABAD PRIMARY SCHOOL  SAEEDGARHI ROOM NO . 3",410,351,0,761,236,189,0,425,425,0,65,75,6,273,0,0,2,0,0,3,1,425
43,"AURANGABAD NEW  DHARAMSALA  GHAS MANDI ROOM NO.1",626,542,0,1168,366,300,0,666,666,0,50,259,31,298,2,3,2,5,1,3,12,666
44,"AURANGABAD SAMARTH BHARTI JUNIOR HIGH SCHOOL ROOM NO.1",532,430,1,963,255,200,0,455,455,0,79,124,47,190,0,0,4,2,1,1,7,455
45,"AURANGABAD SAMARTH BHARTI JUNIOR HIGH SCHOOL ROOM NO.2",547,495,0,1042,270,220,0,490,490,0,156,235,40,42,0,0,7,2,1,4,3,490
46,"AURANGABAD SAMARTH BHARTI JUNIOR HIGH SCHOOL ROOM NO.3",301,279,0,580,168,127,0,295,295,0,99,53,6,133,0,2,0,2,0,0,0,295
47,"AURANGABAD SAMARTH BHARTI JUNIOR HIGH SCHOOL ROOM NO.4",495,411,0,906,254,195,0,449,449,0,19,30,26,363,6,1,0,0,0,3,1,449
48,"AURANGABAD SAMARTH BHARTI JUNIOR HIGH SCHOOL ROOM NO.6",676,595,0,1271,378,310,0,688,688,0,124,307,34,211,2,0,3,0,2,2,3,688
49,"AURANGABAD PRIMARY SCHOOL ROOM NO.1",556,484,0,1040,312,288,0,600,600,0,80,60,40,404,2,0,7,1,1,2,3,600
50,"AURANGABAD PRIMARY SCHOOL ROOM NO.2",620,535,0,1155,413,337,0,750,750,0,18,22,13,680,2,1,1,1,1,8,3,750
51,"AURANGABAD PRIMARY SCHOOL ROOOM NO.3",796,699,0,1495,390,307,0,697,697,0,222,271,30,158,1,1,5,2,1,4,2,697
52,"AURANGABAD PRIMARY SCHOOL NEW BUILDING",548,504,0,1052,313,235,0,548,548,0,218,241,5,70,0,0,4,3,1,3,3,548
53,"AURANGABAD SARASWATI SHISHU MANDIR URF SHIV MANDIR ROOM NO .1",606,458,0,1064,307,234,0,541,541,0,29,41,219,236,4,2,2,2,0,4,2,541
54,"AURANGABAD SARASWATI SHISHU MANDIR URF SHIV MANDIR ROOM NO .2",458,399,0,857,253,236,0,489,489,0,84,126,10,257,1,0,3,1,1,2,4,489
55,"AURANGABAD SARASWATI SHISHU MANDIR URF SHIV MANDIR ROOM NO .3",646,489,0,1135,353,255,0,608,608,0,94,142,111,256,2,0,0,1,0,2,0,608
56,"AURANAGABAD SARASWATI  SHISHU MANDIR  URF SHIV MANDIR ROOM NO .4",421,424,0,845,153,152,0,305,305,0,80,183,7,29,0,0,3,1,0,0,2,305
57,"AURANAGABAD SARASWATI  SHISHU MANDIR  URF SHIV MANDIR ROOM NO .5",586,530,0,1116,331,270,0,601,601,0,62,221,12,295,1,1,1,2,0,5,1,601
58,"AURANAGABAD SARASWATI  SHISHU MANDIR  URF SHIV MANDIR ROOM NO .6",717,658,0,1375,375,345,0,720,720,0,110,329,8,260,0,0,4,1,1,2,5,720
59,"CHARORA MUSTAFABAD PRIMARY SCHOOL OLD BUILDING ROOM NO.1",555,437,0,992,217,197,0,414,414,0,54,54,31,255,0,0,4,3,1,1,11,414
60,"CHARORA MUSTAFABAD PRIMARY SCHOOL OLD BUILDING ROOM NO.2",598,413,0,1011,301,184,0,485,485,0,45,19,140,265,1,2,4,0,3,5,1,485
61,"CHARORA MUSTAFABAD PRIMARY SCHOOL NEW BUILDING",653,410,1,1064,344,290,0,634,634,0,64,3,8,546,4,2,2,2,0,2,1,634
62,"NAGLA KARAN PRIMARY SCHOOL ROOM NO.1",659,515,0,1174,400,314,0,714,714,0,2,25,199,469,0,2,2,2,2,1,10,714
63,"NAGLA KARAN PRIMARY SCHOOL ROOM NO.2",277,232,0,509,186,155,0,341,341,0,12,8,13,299,1,1,0,2,0,1,4,341
64,"MAITHANA JAGATPUR  PRIMARY SCHOOL",853,640,0,1493,486,347,0,833,833,0,9,98,182,524,3,1,2,5,1,5,3,833
65,"JEHARA JUNIOR HIGH SCHOOL ROOM NO .1",521,361,0,882,290,204,0,494,494,0,26,215,7,232,1,1,1,0,1,6,4,494
66,"JEHARA JUNIOR HIGH SCHOOL ROOM NO .2",890,627,0,1517,487,363,0,850,850,0,39,262,310,218,0,0,4,4,2,6,5,850
67,"SAIMLI PRIMARY SCHOOL",767,637,0,1404,543,405,0,948,948,0,2,10,49,875,2,1,0,3,1,3,2,948
68,"JEEVAT PRIMARY SCHOOL ROOM NO .1",597,497,0,1094,468,396,0,864,864,0,0,40,7,797,6,0,2,0,2,3,7,864
69,"JEEVAT PRIMARY SCHOOL ROOM NO .2",582,453,0,1035,433,295,0,728,728,0,11,233,65,396,2,0,7,2,4,3,5,728
70,"SARAI CHHABILA RAMDAS JUNIOR HIGH SCHOOL ROOM NO.1",858,669,0,1527,513,553,0,1066,1066,0,8,62,12,938,8,2,0,16,4,9,7,1066
71,"SARAI CHHABILA RAMDAS JUNIOR HIGH SCHOOL ROOM NO.2",656,542,0,1198,403,318,0,721,721,0,5,298,7,392,4,0,2,3,1,6,3,721
72,"SARAI CHHABILA PRIMARY SCHOOL ROOM NO.1",782,656,0,1438,445,381,0,826,826,0,15,445,10,328,2,2,4,5,1,6,8,826
73,"SARAI CHHABILA PRIMARY SCHOOL ROOM NO.2",578,471,0,1049,402,331,0,733,733,0,2,8,462,228,7,1,5,2,6,3,9,733
74,"ISMAILA PRIMARY SCHOOL",782,687,0,1469,513,416,0,929,929,0,10,10,105,785,2,0,7,3,1,6,0,929
75,"SAIDPURA PRIMARY SCHOOL",769,641,0,1410,510,362,0,872,872,0,241,111,118,387,3,0,2,2,1,4,3,872
76,"BHEEKANPUR PRIMARY SCHOOL",398,280,0,678,281,172,0,453,453,0,11,45,52,328,1,0,3,2,2,3,6,453
77,"POTH PRIMARY SCHOOL",540,482,0,1022,325,289,0,614,614,0,2,63,160,267,3,2,107,2,0,5,3,614
78,"JANAURA PRIMARY SCHOOL",801,718,0,1519,643,538,0,1181,1181,0,4,21,141,993,6,2,2,2,2,2,6,1181
79,"NAUBATPUR PRIMARY SCHOOL",320,267,0,587,204,162,0,366,366,0,24,284,29,18,0,0,2,1,2,3,3,366
80,"NAGLABAL URF BALKA JUNIOR HIGH SCHOOL ROOM NO.1",470,378,0,848,247,168,0,415,415,0,23,57,30,290,1,2,1,0,0,7,4,415
81,"NAGLABAL URF BALKA JUNIOR HIGH SCHOOL ROOM NO.2",419,373,0,792,234,225,0,459,459,0,2,22,181,241,2,0,2,4,0,1,4,459
82,"NAGLABAL URF BALKA JUNIOR HIGH SCHOOL ROOM NO.3",463,306,0,769,222,150,0,372,372,0,61,147,23,136,0,0,1,2,0,2,0,372
83,"NAGLABAL URF BALKA JUNIOR HIGH SCHOOL ROOM NO.4",451,352,0,803,216,186,0,402,402,0,38,46,121,186,5,0,4,1,0,1,0,402
84,"SURJAWALI PRIMARY  SCHOOL",639,517,0,1156,508,425,0,933,933,0,0,11,11,889,4,1,3,4,0,5,5,933
85,"AURANGPUR  MOHASAN PRIMARY  SCHOOL",213,177,0,390,148,127,0,275,275,0,3,0,13,246,2,2,1,4,0,2,2,275
86,"BAKAURA PRIMARY SCHOOL",707,575,0,1282,319,293,0,612,612,0,8,91,159,347,1,0,0,3,0,3,0,612
87,"AURANGPUR MEERPUR PRIMARY SCHOOL",453,362,0,815,303,246,0,549,549,0,2,91,117,327,1,1,4,0,0,5,1,549
88,"ALBARABAD  KOODA PRIMARY SCHOOL",481,399,0,880,302,259,0,561,561,0,6,35,53,434,12,2,2,2,3,6,6,561
89,"JAMNATHER PRIMARY SCHOOL",321,289,0,610,278,181,0,459,459,0,1,8,1,449,0,0,0,0,0,0,0,459
90,"JAUNTH PRIMARY SCHOOL",722,579,0,1301,454,261,0,715,715,0,10,25,194,471,3,1,1,3,1,4,2,715
91,"ALAMGEER NAIN SUKH PRIMARY SCHOOL",340,241,0,581,243,182,0,425,425,0,0,6,227,190,0,0,0,0,0,2,0,425
92,"MIRZAPUR AGARPUR PRIMARY  SCHOOL",302,215,0,517,207,134,0,341,341,0,0,13,59,245,2,1,10,3,1,4,3,341
93,"ADAULI PRIMARY SCHOOL ROOM NO. 1",503,408,0,911,387,285,0,672,672,0,9,2,11,614,3,1,3,9,2,5,13,672
94,"ADAULI PRIMARY SCHOOL ROOM NO. 2",470,374,0,844,301,226,0,527,527,0,7,122,144,236,2,0,3,2,3,4,4,527
95,"ADAULI PRIMARY SCHOOL ROOM NO. 3",594,429,0,1023,338,290,0,628,628,0,17,411,20,157,3,1,0,2,1,3,13,628
96,"ADAULI PRIMARY SCHOOL ROOM NO. 4",574,387,0,961,290,182,0,472,472,0,11,309,71,76,3,0,0,1,0,1,0,472
97,"BANGLA POOTHRI PRIMARY SCHOOL",529,458,0,987,375,291,0,666,666,0,7,117,143,378,6,0,0,3,1,4,7,666
98,"MANAKPUR HIGH SCHOOL",697,608,0,1305,463,372,0,835,835,0,5,140,115,542,6,0,12,2,4,4,5,835
99,"UTRAOLI GIRLS HIGH SCHOOL ROOM NO.1",411,349,0,760,277,218,0,495,495,0,3,66,8,380,7,3,4,4,0,10,10,495
100,"UTRAOLI GRILS JUNIOR HIGH SCHOOL ROOM NO .2",414,381,0,795,320,262,0,582,582,0,5,7,1,545,4,1,2,4,1,3,9,582
101,"UTRAOLI GRILS JUNIOR HIGH SCHOOL ROOM NO.3",486,381,1,868,304,207,0,511,511,0,5,38,118,337,2,2,2,2,1,1,3,511
102,"UTRAOLI GRILS JUNIOR HIGH SCHOOL ROON .4",415,354,0,769,298,248,0,546,546,0,4,5,266,250,3,3,3,3,0,5,4,546
103,"MILK MOHASAN GARH PRIMARY SCHOOL",730,663,0,1393,450,357,0,807,807,0,28,10,136,606,3,0,2,2,3,8,9,807
104,"HAZARTPUR SAMASPU PRIMARY SCHOOL",721,615,0,1336,562,466,0,1028,1028,0,2,3,128,880,4,2,4,1,0,3,1,1028
105,"KALAULI PRIMRY SCHOO ROOM NO.1",854,679,0,1533,475,403,0,878,878,0,18,569,255,15,1,1,6,1,0,4,8,878
106,"KALAULI PRIMARY SCHOOL ROOM NO.2",634,507,0,1141,290,240,0,530,530,0,19,418,69,7,0,0,5,3,1,4,4,530
107,"DOHLI PRIMARY SCHOOL ROOM NO.1",600,488,0,1088,375,275,0,650,650,0,15,557,48,11,1,0,12,0,1,4,1,650
108,"DOHLI PRIMARY SCHOOL ROOM NO.2",371,300,0,671,206,153,0,359,359,0,15,256,70,10,0,2,0,0,0,1,5,359
109,"PAUNDRI PRIMARY SCHOOL ROOM NO1",438,365,0,803,258,229,0,487,487,0,7,123,167,168,3,0,2,1,4,5,7,487
110,"PAUNDRI PRIMARY SCHOOL ROOM NO.2",424,340,0,764,230,166,0,396,396,0,12,18,296,60,1,0,0,0,3,1,5,396
111,"PAUNDRI PRIMARY SCHOOL ROOM NO.3",451,359,0,810,289,218,0,507,507,0,14,3,253,206,4,1,5,3,2,7,9,507
112,"AUNDRI NEW PRIMARY SCHOOL ROOM NO.1",487,351,0,838,314,168,0,482,482,0,52,12,20,391,2,0,1,0,0,2,2,482
113,"PAUNDRI NEW PRIMARY SCHOOL ROOM NO.2",822,668,0,1490,610,411,0,1021,1021,0,15,60,7,913,7,1,3,4,2,1,8,1021
114,"FATEHABAD URF JULEPURA PRIMARY SCHOOL ROOM NO.1",538,439,0,977,302,293,0,595,595,0,19,276,25,252,1,0,14,3,1,2,2,595
115,"FATEHBAD URF JULEPURA PRIMARY SCHOOL ROOM NO.2",527,432,0,959,318,264,0,582,582,0,33,452,10,70,0,0,7,1,1,2,6,582
116,"KUCHHEJA PRIMARY SCHOOL ROOM NO.1",494,381,0,875,340,265,0,605,605,0,13,168,200,206,5,2,3,3,1,1,3,605
117,"KUCHHEJA PRIMARY SCHOOL ROOM NO.2",527,461,0,988,290,297,0,587,587,0,8,193,197,173,2,1,2,4,3,1,3,587
118,"SAHKARI NAGAR INTER COLLEGE",660,555,1,1216,444,336,0,780,780,0,2,13,206,526,9,2,6,3,4,3,6,780
119,"MURSANA PRIMARY SCHOOL ROOM NO.1",569,454,0,1023,311,205,0,516,516,0,0,35,45,420,3,0,1,1,0,7,4,516
120,"MURSANA PRIMARY SCHOOL ROOM NO.2",837,642,0,1479,438,319,0,757,757,0,13,31,322,366,4,1,7,3,3,4,3,757
121,"KISHANPUR PRIMARY SCHOOL",882,618,0,1500,544,338,0,882,882,0,8,31,178,639,0,2,2,4,2,8,8,882
122,"SHIVALI NAIN SINGH HIGHR SECONDARY SCHOOL ROOM NO.1",461,390,0,851,261,240,0,501,501,0,9,12,243,230,0,2,0,2,0,3,0,501
123,"SHIVALI NAIN SINGH HIGHR SECONDARY SCHOOL ROOM NO.2",472,321,0,793,282,171,0,453,453,0,13,37,119,267,2,1,0,2,0,6,6,453
124,"SHIVALI NAIN SINGH HIGHR SECONDARY SCHOOL ROOM NO.3",727,583,0,1310,412,310,0,722,722,0,77,142,338,146,1,1,1,0,3,7,6,722
125,"SHIVALI NAIN SINGH HIGHR SECONDARY SCHOOL ROOM NO.4",296,224,0,520,180,161,0,341,341,0,3,5,83,241,0,0,1,1,2,3,2,341
126,"ALAMEERPUR DHANORA PRIMARY SCHOOL ROOM NO.1",524,387,0,911,295,196,0,491,491,0,10,9,96,373,0,1,0,0,0,0,2,491
127,"ALAMEERPUR DHANORA PRIMARY SCHOOL ROOM NO.2",488,365,0,853,257,187,0,444,444,0,4,8,114,312,0,0,1,2,1,2,0,444
128,"FARHADPUR PRIMARY SCHOOL",373,307,0,680,265,232,0,497,497,0,1,7,198,285,1,1,1,1,1,1,0,497
129,"SIKRI PRIMARY SCHOOL",473,328,0,801,312,202,0,514,514,0,46,26,122,295,3,1,5,5,4,2,5,514
130,"SHAHPUR PRIMARY SCHOOL",512,396,0,908,251,205,0,456,456,0,15,113,69,247,1,0,3,1,1,3,3,456
131,"RASHIDPUR PRIMARY SCHOOL",652,500,0,1152,419,296,0,715,715,0,19,126,90,448,1,0,23,4,1,1,2,715
132,"SADARPUR PRIMARY SCHOOL",615,496,0,1111,494,219,0,713,713,0,40,45,68,545,1,1,8,3,0,2,0,713
133,"SANNAUT PRIMARY SCHOOL",319,227,0,546,175,120,0,295,295,0,18,245,26,2,0,0,0,1,1,1,1,295
134,"SALEMGARH PRIMARY SCHOOL",478,374,1,853,278,236,0,514,514,0,12,8,326,162,3,0,0,0,0,3,0,514
135,"BUDHANA PRIMARY SCHOOL ROOM NO.1",561,455,0,1016,283,197,0,480,480,0,64,5,45,348,1,1,1,1,3,6,5,480
136,"BUDHANA PRIMARY SCHOOL ROOM N0.2",658,558,0,1216,395,322,0,717,717,0,118,5,137,444,2,0,0,1,2,2,6,717
137,"RASOOLPUR TELIA URF MAITHNA PRIMARY SCHOOL ROOM NO.1",690,468,0,1158,257,181,0,438,438,0,22,119,103,184,0,0,2,1,0,4,3,438
138,"RASOOLPUR TELIA URF MAITHNA PRIMARY SCHOOL ROOM NO.2",397,264,0,661,226,147,0,373,373,0,3,29,303,35,1,0,0,0,0,0,2,373
139,"BHIROLI PRIMARY SCHOOL ROOM NO.1",582,514,0,1096,371,328,0,699,699,0,3,34,1,647,3,0,0,4,0,5,2,699
140,"BHIROLI  PRIMARY SCHOOL ROOM NO.2",488,411,0,899,238,192,0,430,430,0,11,58,236,114,3,0,2,0,2,2,2,430
141,"ANJAN PRIMARY SCHOOL",574,471,0,1045,305,265,0,570,570,0,9,3,328,217,2,1,1,1,2,3,3,570
142,"KHANPURA PRIMARY SCHOOL",637,564,1,1202,400,346,0,746,746,0,103,18,312,292,3,0,6,2,4,2,4,746
143,"JUGSANA KURD PRIMARY SCHOOL ROOM NO.1",233,201,0,434,144,129,0,273,273,0,44,32,18,175,2,0,0,1,1,0,0,273
144,"JUGSANA KALAN PRIMARY SCHOOL ROOM NO.1",728,631,3,1362,519,409,0,928,928,0,4,24,13,845,5,3,3,19,1,5,6,928
145,"JUGSANA KALAN PRIMARY SCHOOL ROOM NO.2",635,557,0,1192,326,262,0,588,588,0,31,31,91,404,8,0,9,4,2,4,4,588
146,"NAVINAGAR PRIMARY SCHOOL ROOM NO.1",762,656,1,1419,409,341,0,750,750,0,5,62,325,345,3,0,2,2,2,3,1,750
147,"NAVINAGR PRIMARY SCHOOL ROOM NO .2",785,690,0,1475,437,369,0,806,806,0,37,149,122,489,3,0,2,0,1,3,0,806
148,"DABKORA PRIMARY SCHOOL",541,447,0,988,370,230,0,600,600,0,3,7,129,448,4,1,2,0,0,3,3,600
149,"MAANKARORA PRIMARY SCHOOL",535,461,0,996,315,284,0,599,599,0,166,16,217,190,2,0,1,0,4,1,2,599
150,"KISAN ADARSH UNTER COLEGE RAUNDA",758,625,2,1385,494,376,0,870,870,0,125,6,400,317,2,0,10,2,2,2,4,870
151,"BADARKHA PRIMARY SCHOOL ROOM NO.1",411,356,0,767,411,38,0,449,449,0,63,267,11,94,1,0,0,1,0,6,6,449
152,"BADARKHA PRIMARY SCHOOL ROOM NO.2",368,308,0,676,229,178,0,407,407,0,17,211,106,60,1,1,3,1,1,3,3,407
153,"SHEKHUPUR PRIMARY SCHOOL ROOM NO.1",572,486,0,1058,344,292,0,636,636,0,183,8,219,216,2,1,3,1,1,1,1,636
154,"SHEKHUPUR RAURA PRIMARY SCHOOL ROOM NO.2",582,498,0,1080,363,355,0,718,718,0,87,13,490,116,3,1,2,2,1,0,3,718
155,"JATVAI PRIMARY SCHOOL",603,586,1,1190,316,339,0,655,655,0,12,21,61,533,8,0,4,6,1,0,9,655
156,"GAHANA GOVARDHANPUR PRIMARY SCHOOL ROOM NO.1",667,553,0,1220,374,326,0,700,700,0,64,4,439,169,3,1,5,4,0,4,7,700
157,"GAHANA GOVARDHANPUR PRIMARY SCHOOL ROOM NO.2",590,538,0,1128,340,256,0,596,596,0,119,7,39,413,4,1,5,1,3,1,3,596
158,"KHIJARABAD PRIMARY SCHOOL",300,265,0,565,200,176,0,376,376,0,30,6,23,297,3,0,1,2,0,13,1,376
159,"GOCHAVALI PRIMARY  SCHOOL",339,307,0,646,234,216,0,450,450,0,6,9,408,17,2,2,1,1,1,0,3,450
160,"SHIVKUMAR AGRALWAL JAHANGIRABAD JANTA INTER COLLEGE  ROOM NO .1",670,610,0,1280,399,358,0,757,757,0,163,44,8,524,0,2,10,2,0,2,2,757
161,"SHIVKUMAR AGRALWAL JAHANGIRABAD JANTA INTER COLLEGE  ROOM NO .2",598,558,0,1156,367,334,0,701,701,0,47,126,17,492,0,0,9,4,1,2,3,701
162,"SHIVKUMAR AGRALWAL JAHANGIRABAD JANTA INTER COLLEGE  ROOM NO .2",369,330,0,699,223,165,0,388,388,0,31,59,2,284,5,0,6,1,0,0,0,388
163,"SHIVKUMAR AGRALWAL JAHANGIRABAD JANTA INTER COLLEGE  ROOM NO .4",673,622,0,1295,431,366,0,797,797,0,17,73,28,651,3,2,4,6,2,3,8,797
164,"JAHANGIRABAD  B.P.A  A.S INTER COLLEGE ROOM NO.1",589,503,0,1092,304,234,0,538,538,0,181,152,61,127,1,1,0,5,0,5,5,538
165,"JAHANGIRABAD  B.P.A  A.S INTER COLLEGE ROOM NO.2",839,700,0,1539,375,294,0,669,669,0,135,237,183,90,1,2,11,1,1,2,6,669
166,"JAHANGIRABAD B.P.A  A.S INTER COLLEGE ROOM NO.3",574,511,0,1085,320,285,0,605,605,0,13,9,9,560,0,0,9,0,0,2,3,605
167,"JAHANGIRABAD B.P.A   A.S. INTER COLLEGE ROOM NO.4",807,645,0,1452,461,387,0,848,848,0,8,26,58,738,3,1,5,3,1,4,1,848
168,"JAHANGIRABAD B.P.A   A.AS. INTER COLLEGE ROOM NO.5",422,365,0,787,258,207,0,465,465,0,30,32,6,382,0,0,7,0,1,1,6,465
169,"JAHANGIRABAD B.P.A   A.AS. INTER COLLEGE ROOM NO.6",540,487,0,1027,306,272,0,578,578,0,8,392,15,142,8,0,5,1,2,3,2,578
170,"NEHRU MEMORILA JUNIOR  HIGH JAHANGIRABAD   ROOM NO.1",407,386,0,793,327,298,0,625,625,0,4,3,1,596,1,0,2,4,3,3,8,625
171,"NEHRU MEMORILA JUNIOR  HIGH JAHANGIRABAD   ROOM NO.2",184,139,0,323,94,81,0,175,175,0,22,74,0,74,1,0,0,0,0,3,1,175
