"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
52,"P S MUZAR",381,268,0,649,134,156,0,290,146,0,31,8,233,5,1,5,0,1,1,0,0,1,0,1,1,2,290
53,"P S KADANPUR",263,220,0,483,112,90,0,202,191,0,148,4,2,30,6,3,1,0,0,0,1,0,1,1,1,4,202
54,"P S KADANPUR",416,384,0,800,189,188,0,377,55,0,125,6,44,177,10,0,2,0,2,2,1,2,1,2,1,2,377
55,"P S KADANPUR",267,218,0,485,152,151,0,303,109,0,119,0,124,48,7,0,0,1,0,0,0,0,0,2,1,1,303
56,"P S TULAPUR",370,268,0,638,173,163,0,336,100,0,91,11,154,62,1,3,0,1,2,2,0,0,1,6,1,1,336
57,"P S TULAPUR",752,551,0,1303,328,378,0,706,289,0,131,22,299,197,25,1,2,0,2,1,0,1,5,7,5,8,706
58,"BLOCK DEVELOPMENT BUILDING MACHHLISHAHAR",567,444,0,1011,381,266,0,647,345,0,359,14,59,182,10,3,0,1,2,2,0,1,1,3,2,8,647
59,"P S RASULPUR",802,667,0,1469,384,411,0,795,393,0,119,19,288,300,24,9,4,3,2,0,1,2,11,6,2,5,795
60,"P S RASULPUR",318,280,0,598,184,182,0,366,166,0,27,8,107,203,9,2,0,0,1,1,0,1,0,4,0,3,366
61,"P S PAKADI",398,377,0,775,179,249,0,428,16,0,88,4,115,179,18,4,0,0,1,4,2,0,3,4,2,4,428
62,"P S PAKADI",301,270,0,571,151,158,0,309,107,0,10,2,7,251,24,2,2,2,0,1,1,2,0,2,0,3,309
63,"P S KOTAWA",561,441,0,1002,336,303,0,639,233,0,93,3,198,315,11,1,1,1,0,0,0,0,3,5,4,4,639
64,"P S KOTAWA",338,267,0,605,168,171,0,339,135,0,81,2,142,104,7,1,0,1,0,0,0,0,0,1,0,0,339
65,"P S JAMUHAR",651,566,0,1217,287,363,0,650,650,0,133,6,86,371,25,2,1,1,2,1,1,2,7,7,3,2,650
66,"P S JAMUHAR",671,574,0,1245,310,336,0,646,10,0,155,19,212,233,10,1,1,1,0,0,0,0,3,5,2,4,646
67,"PANCHAYAT BHAWAN TEKARDEEH",525,460,0,985,318,290,0,608,10,0,318,9,165,105,5,0,0,1,1,1,0,0,1,1,0,1,608
68,"P S NONARA KHURD",209,194,1,404,115,108,0,223,108,0,92,20,10,87,4,0,1,0,0,0,0,0,2,1,2,4,223
