"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAIVEER SINGH","2 - MUKESH RAJPUT","3 - RAMESHWAR SINGH YADAV","4 - SALMAN KHURSHID","5 - ANJU","6 - KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT","7 - MO. TAMAJID","8 - TARIK PARVEZ","9 - DAYA SHANKAR","10 - RAMNIWAS KATHERIA","11 - ANURAG RAJPUT","12 - ANOKHEY LAL","13 - IMAMUDDIN HUSAIN HUSAIN","14 - ANSHU MAHAN","15 - KISHAN PAL SINGH","16 - MALIKHAN SINGH ADVOCATE","17 - MUKESH RAJPUT","18 - RAM KISHORE DIWEDI","19 - VIMLA DEVI","20 - VRAHMA SARAN JATAV","21 - SACHIN SINGH YADAV","22 - SURESH SARASWAT ALAIS ILLAYCHIWALA","23 - None of the Above","Total Votes Secured"
23,"P.P. DIUNA KALAN",369,292,0,661,258,204,0,462,31,0,8,66,368,12,0,0,0,0,0,0,1,0,0,2,0,1,1,2,0,1,0,0,0,462
24,"P.P. LUHARI KHERA",335,274,0,609,142,108,0,250,1,0,0,174,61,3,0,1,1,0,0,0,1,1,2,0,1,2,0,2,0,1,0,0,0,250
25,"P.P. MORCHA NAHAR",802,565,0,1367,456,340,0,796,1,0,4,134,581,44,0,3,1,0,1,1,5,1,6,0,2,8,0,3,0,2,0,0,0,796
26,"P.P. NAGLA DHATA MAJRA LUHARI KHERA",326,275,0,601,154,130,0,284,1,0,27,185,51,4,0,2,0,0,0,1,0,1,0,1,2,2,2,1,1,2,0,0,2,284
27,"P.P.KAKODA R,N 1",626,524,0,1150,373,280,0,653,452,0,80,261,247,27,0,1,2,1,0,1,2,1,2,3,3,3,2,5,4,0,3,1,4,653
28,"P.P.KAKODA R.N.-2",364,289,0,653,255,168,0,423,1,0,44,80,245,3,0,0,2,0,1,0,2,0,0,1,0,0,2,4,5,1,32,0,1,423
29,"P.P. N. NAUGJA",477,365,0,842,374,234,0,608,364,0,1,183,399,5,0,1,1,0,0,0,0,0,0,1,1,0,0,8,4,0,4,0,0,608
30,"P.P. LUHARI GAVI",502,392,0,894,448,318,0,766,366,0,24,13,653,72,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,766
31,"P.P. VIJAYPUR",614,453,0,1067,551,174,0,725,493,0,11,19,647,2,1,0,1,1,1,0,0,0,0,0,1,0,0,3,2,1,32,1,2,725
32,"J.H.VILSAD PACHAYA",479,373,0,852,333,227,0,560,1,0,77,296,150,17,0,4,0,0,0,1,1,0,0,2,4,2,2,0,1,1,2,0,0,560
33,"P.P. VILSAD PUVAYA",606,514,0,1120,391,293,0,684,1,0,102,316,208,2,0,2,2,1,0,3,3,2,1,1,1,7,4,8,5,2,6,6,2,684
34,"P.P. CHANDANPUR",504,389,0,893,323,245,0,568,1,0,78,225,229,2,0,0,1,0,2,0,4,2,1,0,3,1,2,2,3,1,11,0,1,568
35,"P.P. HARVE GADIYA",225,210,0,435,199,171,0,370,1,0,11,92,216,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,1,41,1,1,370
36,"P.P. GADIYA JAGANATH R.N.1",509,433,0,942,334,227,0,561,1,0,7,266,252,2,0,2,0,0,0,0,1,1,0,1,1,3,2,6,8,0,8,0,1,561
37,"P.P. GADIYA JAGANATH R.N.2",498,377,0,875,298,219,0,517,1,0,40,146,286,5,0,2,1,0,0,1,1,0,1,2,3,4,3,4,11,3,2,0,2,517
38,"P.P. TAJPUR ADAHA",559,486,0,1045,263,251,0,514,1,0,12,303,188,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,514
39,"P.P. BHAVANPUR",440,351,0,791,248,183,0,431,1,0,87,172,146,1,0,0,0,0,1,1,0,0,1,5,4,6,1,2,1,1,2,0,0,431
40,"P.P. VILSAD PATTI",342,301,0,643,242,211,0,453,1,0,1,117,278,8,2,1,4,0,0,1,0,0,1,4,1,0,0,1,0,0,34,0,0,453
41,"P.P. NAGLA MOHAN MAJRA VILSAD PATTI",258,224,0,482,240,219,0,459,1,0,2,60,374,2,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,13,0,2,459
42,J.H.IMADPUR,339,295,0,634,275,236,0,511,1,0,15,221,241,14,0,0,0,0,0,0,2,0,1,3,0,0,0,5,6,0,3,0,0,511
43,"U.P.V RAJA KA RAMPUR",546,438,0,984,318,248,0,566,1,0,167,235,149,7,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,566
44,"P.P.MOH.PATHANAN RAJA KA RAMPUR",692,568,0,1260,437,406,0,843,1,0,68,226,441,82,0,1,0,3,0,2,2,0,4,5,0,3,0,0,1,2,1,0,2,843
45,"B.D.R.S.INTER COLLEGE RAJA KA RAMPUR UTTAR",833,664,0,1497,471,309,0,780,1,0,26,504,174,43,2,3,0,2,0,1,0,3,1,3,2,0,2,1,2,2,3,2,4,780
46,"R.B.L.A.INTER COLLEGE RAJA KA RAMPUR R.N1",697,537,0,1234,406,281,0,687,1,0,25,415,210,12,1,1,0,2,2,3,2,2,1,2,1,1,0,4,1,0,2,0,0,687
47,"R.B.L.A.INTER COLLEGE RAJA KA RAMPUR R.N2",873,647,0,1520,512,333,0,845,1,0,121,474,203,6,0,2,0,0,0,0,1,0,2,4,5,3,3,10,4,1,3,1,2,845
48,"R.B.L.A.INTER COLLEGE RAJA KA RAMPUR R.N3",568,472,0,1040,411,275,0,686,1,0,29,394,224,18,5,1,1,0,1,0,1,0,1,2,2,3,0,0,0,1,0,0,3,686
49,"P.P. PAHERYA",517,395,0,912,397,257,0,654,1,0,4,98,408,6,3,0,5,1,2,2,1,1,4,5,3,5,1,2,1,0,97,1,4,654
50,"P.P. PAHERA MAJRA RAJA KA RAMPUR",767,559,0,1326,458,302,0,760,1,0,10,488,201,24,3,3,1,0,1,0,0,1,3,5,1,1,11,1,1,3,0,0,2,760
51,"P.P. KELA",839,660,0,1499,502,289,0,791,1,0,15,475,256,28,0,5,0,0,0,1,0,1,0,0,6,0,0,1,1,1,0,0,1,791
52,"P.P. ASADPUR MAJRA KELA",462,383,0,845,412,240,0,652,1,0,0,23,607,1,0,0,1,0,1,0,0,1,0,1,0,0,3,0,0,0,14,0,0,652
53,"P.P. NAGLA GULAL MAJRA KELA",210,184,0,394,201,137,0,338,1,0,0,14,313,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,338
54,"P.P. NAYA BHAVAN DEEPA M0 SIKANDARPUR SALVAHAN",296,225,0,521,222,162,0,384,1,0,2,22,247,4,2,0,3,1,2,0,1,0,0,1,0,1,0,1,1,3,91,2,0,384
55,"S0SAH0SAMITI RAJA KA RAMPUR SITHTI RAYPUR",507,388,0,895,294,169,0,463,1,0,57,261,123,4,0,1,0,0,0,0,0,1,1,3,2,2,1,1,2,1,1,1,1,463
56,"P.P. KHAIRAPURA URF SIKANDARPUR SALVAHAN",678,534,0,1212,453,349,0,802,1,0,80,276,404,8,0,2,1,0,0,2,5,1,0,5,4,3,0,3,3,0,4,0,1,802
57,"J.H.S. KHAIRPURA URF SIKANDARPUR SALVAHAN",236,181,0,417,133,92,0,225,1,0,25,96,96,4,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,225
58,"P.P. KISHANPUR",389,290,0,679,366,247,0,613,1,0,0,2,601,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,0,4,0,0,613
59,"P.P. JAHAN NAGAR",240,181,0,421,206,162,0,368,1,0,19,54,287,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,368
60,"P.P. ANGADPUR R0N0-1",459,368,0,827,332,228,0,560,1,0,79,165,277,5,1,2,0,0,0,2,0,0,2,7,1,5,2,3,3,0,6,0,0,560
61,"P.P. ANGADPUR R0N0-2",434,363,0,797,350,290,0,640,1,0,10,158,455,0,1,2,0,0,0,1,1,0,1,5,0,0,0,0,1,0,4,1,0,640
62,"P.P. SIRAUTIYA",320,270,0,590,200,150,0,350,1,0,27,111,209,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,350
63,"P.P. AMOGPUR VRAHAMNAN",325,275,0,600,275,182,0,457,1,0,9,55,389,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,457
64,"P.P. SUMAUR",699,587,0,1286,400,326,0,726,1,0,98,360,205,29,0,1,0,0,0,0,1,5,4,2,5,1,2,3,3,2,4,0,1,726
65,"P.P. GAIBARPUR ASDULLAPUR",533,452,0,985,463,292,0,755,1,0,49,166,494,17,0,0,1,0,0,0,1,0,1,1,3,1,0,7,3,4,7,0,0,755
66,"P.P. SASOTA DOSHPUR",623,456,0,1079,402,281,0,683,1,0,105,272,282,7,0,1,2,0,0,0,0,2,0,1,6,2,1,0,1,0,1,0,0,683
67,"P.P. N0 KATILA M0 SASOTA DOSHPUR",400,286,0,686,309,192,0,501,1,0,12,84,332,33,0,1,1,1,2,0,2,1,2,5,1,1,0,6,3,0,14,0,0,501
68,"P.P. MITAULIYA",582,502,0,1084,404,319,0,723,1,0,108,275,293,7,1,0,1,1,0,0,0,1,0,6,1,5,5,10,4,1,2,0,2,723
69,"J0H0 RAI",614,524,0,1138,500,344,0,844,1,0,134,25,658,4,0,1,0,0,0,0,1,0,0,1,0,3,9,2,4,0,1,0,1,844
70,"P.P. NATHUAPUR",212,165,0,377,179,133,0,312,1,0,14,108,162,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,21,1,0,312
71,"P.P. BIJAIDEPUR",701,579,0,1280,564,464,0,1028,1,0,4,700,276,4,1,2,0,0,1,1,2,0,0,4,6,5,2,9,3,3,1,2,2,1028
72,"J.H. HATSARI R.N.-1",635,506,0,1141,395,299,0,694,1,0,177,140,267,65,3,3,1,0,1,1,1,2,2,1,3,8,1,3,3,3,7,2,0,694
73,"J.H. HATSARI R.N.-2",328,276,0,604,212,185,0,397,1,0,19,100,202,33,0,0,0,0,1,0,1,0,1,1,4,6,0,8,10,0,6,2,3,397
74,"P.P. NAGLA JAIT M. HATSARI",381,280,0,661,371,256,0,627,1,0,1,16,599,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,627
75,"P.P. RAMNAGAR",333,294,0,627,198,171,0,369,1,0,5,269,74,4,0,0,0,0,0,0,1,0,0,1,2,0,2,8,1,0,0,1,1,369
76,"P.P. DAHLAI",484,373,0,857,355,222,0,577,1,0,49,125,369,4,1,0,1,0,0,0,0,1,0,0,0,0,0,3,2,2,19,0,1,577
77,"P.P. JAJALPUR",370,292,0,662,304,206,0,510,1,0,11,75,414,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,510
78,"P.P. LADSIYA URF LUTFULLAPUR",429,358,0,787,362,284,0,646,1,0,6,49,554,1,1,1,3,0,1,1,0,1,0,1,1,0,1,1,4,0,19,0,1,646
79,"P.P. ARJUNAI SIMRAI",737,653,0,1390,520,399,0,919,1,0,4,66,837,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,919
80,"P.P. TIKAITPURA",246,207,0,453,212,176,0,388,1,0,4,29,316,0,0,0,3,1,0,2,0,0,0,0,0,0,0,4,6,0,21,0,2,388
81,"DR. SAUDANSINGH U.P.V. BHAGWANPURA",548,452,0,1000,468,335,0,803,1,0,29,587,141,4,1,1,0,3,1,1,1,1,1,7,4,4,1,13,0,0,0,0,3,803
82,"P.P. KULHAPUR BUJURG",540,430,0,970,309,255,0,564,1,0,46,135,331,4,1,1,1,0,0,1,0,1,0,4,0,3,3,6,9,1,14,1,2,564
83,"P.P. N.BANDHA M. KULHAPUR BUJURG",395,353,0,748,255,231,0,486,1,0,1,194,211,42,2,0,0,0,0,0,1,0,1,1,1,1,0,16,10,3,2,0,0,486
84,"P.P. NAKTAI KURD",397,350,0,747,250,235,0,485,1,0,52,150,257,5,0,1,1,0,1,5,0,0,0,0,0,0,2,4,2,2,2,1,0,485
85,"P.P. N. SUBHAN M. NAKTAI KHURD",285,228,0,513,213,177,0,390,1,0,72,77,217,8,0,0,0,1,0,0,0,1,0,3,1,3,0,3,1,0,3,0,0,390
86,"P.P. N. PREMI M. KACHHIYABADA R.N.-1",363,269,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"P.P. N. RAID M. KACHHIYABADA",291,213,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,"P.P. N. PREMI M. KACHHIYABADA R.N.-2",237,174,0,411,158,86,0,244,1,0,9,46,176,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,0,0,0,1,244
89,"P.P. LAKHANPURA M. KACHHIYABADA",278,212,0,490,177,139,0,316,1,0,77,69,137,5,0,1,0,2,1,0,0,2,0,0,2,4,4,3,6,0,3,0,0,316
90,"J.I. COLLEGE N. GAJPATI M.RAYA",509,420,0,929,335,214,0,549,1,0,1,23,395,3,2,0,6,0,2,0,1,0,0,0,0,0,1,0,2,0,111,1,1,549
91,"P.P. N. DANDI M. RAYA",450,360,0,810,402,276,0,678,1,0,0,4,664,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,678
92,"P.P. VICHHAURA GANG",366,295,0,661,311,177,0,488,1,0,164,59,219,4,1,1,0,0,0,0,1,0,1,1,0,2,0,1,1,1,30,0,2,488
93,"P.P. MORCHA MAJRA RAYA",582,513,0,1095,378,325,0,703,1,0,4,260,386,16,0,3,0,0,1,2,1,2,1,1,1,1,4,3,5,1,6,3,2,703
94,"P.P. RAYA",434,349,0,783,297,222,0,519,1,0,76,90,323,5,0,2,0,0,0,0,1,0,2,2,0,2,2,2,6,2,1,3,0,519
95,"P.P. N. LILADHAR M. KHIRIYABNAR",655,520,0,1175,495,368,0,863,1,0,45,330,474,3,0,2,0,0,0,0,2,0,0,0,2,4,0,1,0,0,0,0,0,863
96,"P.P. KHIRIYA BANAR",610,479,0,1089,401,299,0,700,1,0,139,230,291,6,0,2,1,0,0,2,2,2,2,3,5,4,1,2,1,0,6,0,1,700
97,"P.P. DHARAULI",628,529,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"P.P. NAGLA BHARA M. DHARAULI",384,321,1,706,296,203,0,499,1,0,0,23,442,0,2,1,2,1,1,0,2,0,1,2,0,0,0,2,1,0,19,0,0,499
99,"P.P. BHALAUL",360,295,0,655,278,200,0,478,1,0,12,101,346,3,1,0,0,0,0,0,1,0,0,2,2,1,1,2,1,0,5,0,0,478
100,"P.P. VIJAURI M. BHALAUL",302,242,0,544,260,211,0,471,1,0,1,1,411,0,1,0,7,0,1,0,0,0,1,1,0,1,0,1,2,1,41,1,0,471
101,"P.P. TIGRA BHAMAURA",654,502,0,1156,474,365,0,839,1,0,1,25,752,6,0,0,0,1,0,0,1,0,0,2,0,2,1,1,4,0,42,0,1,839
102,"P.P. BANDUPURA",323,263,0,586,201,156,0,357,1,0,78,96,170,2,0,0,0,0,0,0,1,1,0,0,0,1,0,4,2,0,0,1,1,357
103,"P.P. N. VALI M. VANDUPURA",246,169,0,415,201,131,0,332,1,0,11,6,258,1,1,0,1,0,0,0,0,2,0,3,0,1,1,2,6,2,36,1,0,332
104,"P.P. MEDUPURA",446,343,0,789,350,230,0,580,1,0,27,121,362,45,0,0,0,0,0,0,1,1,1,2,0,1,3,3,2,2,7,0,2,580
105,"P.P. N. BHAVUTI",381,275,0,656,327,219,0,546,1,0,15,21,498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,546
106,"J.H.S. VICHHAND PAHADPUR",524,446,0,970,296,233,0,529,1,0,132,158,170,37,2,0,1,1,1,1,2,0,1,1,4,7,0,0,3,1,7,0,0,529
107,"P.P. PAHADPUR",579,510,0,1089,407,293,0,700,1,0,183,233,234,5,0,1,3,1,0,0,0,1,1,3,2,2,5,4,6,3,8,1,4,700
108,"P.P. DATAULI PASHCHIM",474,349,0,823,324,188,0,512,10,0,53,68,345,11,1,1,1,0,0,1,2,2,4,1,3,1,2,4,7,1,3,0,1,512
109,"P.P. PIPARA MAJRA DATAULI",692,554,1,1247,600,321,0,921,1,0,147,40,684,5,0,1,1,0,0,1,3,0,1,3,1,4,2,4,3,2,15,1,3,921
110,"P.P. PARAULI SUHAGPUR PURV",676,560,0,1236,407,387,0,794,1,0,77,275,385,14,0,1,1,0,0,3,0,0,0,3,2,5,1,6,2,2,14,1,2,794
111,"P.P. PARAULI SUHAGPUR PASHACHIM",467,361,0,828,330,228,0,558,1,0,53,58,397,17,0,3,1,1,0,1,0,2,0,2,1,2,0,0,2,3,12,0,3,558
112,"P.P. GARIYA",230,183,0,413,188,134,0,322,1,0,0,236,77,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,1,0,0,322
113,"P.P. NAGLA DHAMPI MAJRA PARAULI SUHAGPUR",258,231,0,489,170,136,0,306,1,0,0,4,126,0,1,0,2,3,2,1,1,0,1,0,0,0,0,0,0,2,163,0,0,306
114,"P.P. SHAKIRPUR M. PARAULI SUHAGPUR",359,273,0,632,302,218,0,520,1,0,4,417,82,1,0,2,0,0,0,0,1,1,1,2,5,0,0,2,2,0,0,0,0,520
115,"P.P. KALVARIYA MAJRA PARAULI SUHAGPUR",510,424,0,934,432,300,0,732,1,0,28,192,402,5,1,0,8,2,1,1,2,1,7,2,2,2,1,4,3,1,61,3,3,732
116,"P.P. FAGNAUL UTTAR",467,380,0,847,280,203,0,483,1,0,78,150,196,31,1,0,0,0,0,2,0,1,1,0,3,5,3,2,3,3,1,0,3,483
117,"J.H.S. FAGNAUL",516,435,0,951,288,255,0,543,1,0,53,199,235,39,0,1,0,0,0,1,0,0,0,2,2,2,1,6,1,1,0,0,0,543
118,"J.H.S. NAGLA BALDEV MAJRA FAGNAUL",391,353,0,744,303,252,0,555,1,0,2,39,507,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,555
119,"P.P. N. KHANDARI M. FAGNAUL",276,267,0,543,180,157,0,337,1,0,0,180,141,6,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,1,2,0,0,337
120,"P.P. KHIRIYA",756,631,0,1387,478,343,0,821,1,0,1,66,753,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821
121,"P.P. KHAVA",415,334,0,749,365,275,0,640,1,0,4,133,487,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,0,2,0,640
122,"P.V. SHEKHUPURA",313,281,0,594,279,200,0,479,1,0,50,170,244,1,1,2,0,1,0,1,0,0,0,1,0,2,0,1,0,1,3,0,1,479
123,"P.P. NAGLA SUNDAR M. SHEKHUPURA",447,353,0,800,385,223,0,608,1,0,2,21,542,3,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,35,0,0,608
124,"JANTA INTER COLLEGE DHUMARI R.N.-1",608,493,0,1101,434,308,0,742,1,0,91,336,267,8,0,1,0,6,0,0,2,2,2,3,6,5,0,3,1,1,7,0,1,742
125,"JANTA INTER COLLEGE DHUMARI R.N.-2",503,437,0,940,331,276,0,607,1,0,107,128,323,9,0,0,0,1,0,0,1,0,0,3,3,4,1,2,0,2,21,0,2,607
126,"P.P. DHUMARI R.N.-1",671,567,0,1238,513,375,0,888,1,0,21,359,462,12,0,3,1,0,0,1,0,1,1,3,3,4,0,0,1,0,13,2,1,888
127,"P.P. DHUMARI R.N.-2",474,392,0,866,363,260,0,623,1,0,6,318,277,2,2,0,0,0,0,0,1,1,0,0,2,2,0,7,3,0,0,1,1,623
128,"P.P. NAGRIYA M. DHUMARI",561,451,0,1012,331,309,0,640,1,0,6,323,290,4,0,0,1,0,0,0,0,0,1,2,1,1,1,2,0,0,3,0,5,640
129,"P.P.NAGLA MOHAN MAJRA DHUMRI R.N.1",603,493,0,1096,401,340,0,741,1,0,2,4,534,5,2,0,6,0,0,1,1,2,3,0,1,3,4,2,1,2,165,0,3,741
130,"P.P.NAGLA MOHAN MAJRA DHUMRI R.N.2",380,343,0,723,230,177,0,407,1,0,3,4,276,3,1,1,6,0,1,0,0,0,1,2,0,1,0,1,0,1,106,0,0,407
131,"P.P. GANGUPURA",521,457,0,978,409,313,0,722,1,0,34,372,290,6,2,1,0,0,0,0,0,0,2,0,1,2,2,4,2,0,3,0,1,722
132,"P.P. UDAYPURA",666,535,0,1201,415,345,0,760,1,0,123,207,392,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,3,2,27,2,0,760
133,"P.P. TIKADHAR",867,739,0,1606,648,511,0,1159,1,0,44,504,565,4,0,2,0,1,3,0,2,1,0,3,2,1,0,8,2,2,12,0,3,1159
134,"P.P. MUHIUDDINPUR",747,609,0,1356,509,381,0,890,1,0,0,7,802,2,2,0,5,1,1,0,0,0,1,0,0,0,1,0,0,1,66,1,0,890
135,"P.P. JAITHRA UTTAR",651,564,0,1215,387,329,0,716,1,0,42,371,246,3,0,1,0,0,1,0,2,0,0,3,3,3,4,12,10,4,3,1,7,716
136,"P.P. JAITHRA DAKSHIN",432,371,0,803,293,231,0,524,1,0,19,308,165,7,0,0,1,0,0,0,1,0,0,0,0,0,1,11,4,3,3,0,1,524
137,"LALBAHADUR SHASHTRI I.C. JAITHRA R.N.-1",665,541,0,1206,378,270,0,648,1,0,9,360,255,9,0,2,0,0,1,0,0,0,0,1,1,0,1,4,0,1,3,0,1,648
138,"LALBAHADUR SHASHTRI I.C. JAITHRA R.N.-2",546,451,0,997,397,293,0,690,1,0,145,161,346,8,0,1,0,0,1,0,4,0,1,0,1,2,8,3,4,1,2,0,2,690
139,"LALBAHADUR SHASHTRI I.C. JAITHRA R.N.-3",411,349,0,760,258,190,0,448,1,0,27,193,201,6,0,0,0,0,0,0,0,0,2,0,1,1,1,5,3,1,6,0,1,448
140,"LALBAHADUR SHASHTRI I.C. JAITHRA R.N.-4",638,547,0,1185,399,331,0,730,1,0,37,366,251,10,1,0,1,0,1,0,0,2,0,0,1,2,6,11,6,4,28,0,3,730
141,"GANDHI SA.I.C. JAITHRA R.N.-1",650,508,0,1158,376,266,0,642,1,0,15,344,232,13,0,1,1,3,0,2,1,0,0,0,1,4,1,5,1,1,15,0,2,642
