"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
22,"P.P NAWAVPUR",513,450,0,963,325,265,0,590,590,0,115,1,17,445,3,0,1,0,0,0,1,3,3,0,1,590
23,"P.P IMLAHRA",474,414,0,888,277,231,0,508,508,0,130,116,16,234,4,1,0,0,0,0,0,2,1,0,4,508
24,"P.P ROOM NO 1 DAURAU CHANDPUR",492,445,0,937,309,279,0,588,586,0,410,30,8,125,2,0,0,0,0,0,0,1,1,0,11,588
25,"P.P ROOM NO 2 DAURAU CHANDPUR",481,441,0,922,287,251,0,538,538,0,151,16,6,336,6,0,2,0,0,0,0,4,0,3,14,538
26,"P.P CHANDPUR MAJRA DAURAU",421,362,0,783,297,241,0,538,514,0,151,16,6,336,6,0,2,0,0,0,0,4,0,3,14,538
27,"P.P ROOM NO 1 MADHAULA",529,482,0,1011,389,330,0,719,719,0,147,7,4,526,6,6,0,0,0,0,2,12,6,0,3,719
28,"P.P ROOM NO 2 MADHAULA",408,361,1,770,271,249,0,520,520,0,214,5,8,282,1,3,1,0,0,0,0,2,1,2,1,520
29,"J.H.S. KATRA MAJRA MADHAULA",292,255,0,547,166,161,0,327,327,0,121,140,3,47,0,2,1,0,0,1,0,7,1,1,3,327
30,"SHANTI GOV. GIRLS INTER COLLAGE",270,243,0,513,217,189,0,406,31,0,56,26,5,314,2,2,0,0,0,0,1,0,0,0,0,406
31,"P.P BALWANT NAGARIYA",453,390,0,843,347,291,0,638,636,0,210,2,9,406,2,1,0,0,0,0,0,2,1,1,4,638
32,"P.P NAGLA SARUA",547,484,0,1031,364,298,0,662,603,0,114,2,16,502,3,8,0,0,0,0,3,1,5,0,8,662
33,"P.P MADKI",618,506,0,1124,357,231,0,588,466,0,138,50,14,380,1,1,0,0,0,0,0,3,0,0,1,588
34,"P.P ROOM NO 1 RASIDPUR GORNA  H.NO 01-169",528,459,0,987,309,242,0,551,403,0,273,3,6,251,1,0,0,2,0,0,2,2,4,0,7,551
35,"P.PRASIDPUR GORNA H.NO FROM 1 TO END",429,377,0,806,278,214,0,492,490,0,37,5,34,405,2,1,0,0,0,0,2,1,2,1,2,492
36,"P.P DEVPUR",267,247,0,514,185,161,0,346,345,0,110,2,10,217,1,1,1,0,0,0,1,1,1,0,1,346
37,"P.P THANPUR KHANPUR",860,701,0,1561,514,395,0,909,906,0,242,50,190,404,3,1,1,0,0,0,4,2,6,0,6,909
38,"INTER COLLAGE ROOM NO 1 VISARA",428,379,0,807,241,165,0,406,403,0,54,1,27,315,0,2,0,1,0,0,0,0,2,0,4,406
39,"INTER COLLAGE ROOM NO 2 VISARA",521,472,0,993,295,235,0,530,501,0,162,113,22,222,1,0,0,0,0,1,0,1,5,2,1,530
40,"INTER COLLAGE ROOM NO 3 VISARA",801,695,0,1496,522,405,0,927,922,0,17,15,22,860,0,4,0,0,0,1,0,0,4,0,4,927
41,"P.P HESAIL",460,401,0,861,276,275,0,551,548,0,95,4,217,220,1,3,1,0,0,0,0,5,2,2,1,551
42,"P.P ROOM NO 1 BARKA",858,756,0,1614,585,537,0,1122,1119,0,50,527,16,508,1,2,0,0,1,1,1,2,8,1,4,1122
43,"P.P ROOM NO 2 BARKA",868,816,0,1684,518,387,0,905,905,0,344,62,35,431,6,2,2,0,2,0,0,6,7,2,6,905
44,"P.P UDAYPUR",661,582,0,1243,365,281,0,646,646,0,130,27,48,402,9,7,0,3,0,1,2,6,6,0,5,646
45,"P.P CHANDNER",678,605,0,1283,426,392,0,818,818,0,467,14,42,267,2,1,1,0,1,0,4,8,3,0,8,818
46,"P.P KARANPUR",552,456,0,1008,350,271,0,621,41,0,216,0,27,357,1,3,2,0,0,0,0,4,3,2,6,621
47,"KALYAN INTER COLLAGE ROOM NO 1 VEERPURA",383,336,0,719,264,219,0,483,458,0,243,26,12,184,3,0,0,0,1,0,1,3,2,1,7,483
48,"KALYAN INTER COLLAGE ROOM NO 2 VEERPURA",532,472,0,1004,431,307,0,738,612,0,102,2,12,609,3,0,0,0,0,0,0,2,1,0,7,738
49,"P.P HEERAPUR MAJRA VEERPURA",378,330,0,708,225,247,0,472,46,0,150,2,70,239,0,0,1,0,0,0,0,8,1,0,1,472
50,"P.P GHAURAUTH",378,322,0,700,282,220,0,502,5,0,125,1,15,355,1,1,0,1,0,0,0,0,2,0,1,502
51,"P.P MAHARAJPUR",541,479,0,1020,342,283,0,625,625,0,365,6,20,212,3,3,1,2,0,0,3,0,5,0,5,625
52,"P.P KHIJARPUR",365,310,0,675,205,114,0,319,304,0,106,8,10,181,3,3,0,1,0,0,2,0,3,1,1,319
53,"P.P BHIMPUR",317,273,1,591,186,170,0,356,337,0,119,1,32,199,1,0,0,0,0,0,0,2,1,0,1,356
54,"P.P KHEMPUR",262,230,0,492,160,147,0,307,307,0,152,1,6,142,0,1,0,1,0,1,0,2,0,0,1,307
55,"P.P SOMNA",635,561,0,1196,438,371,0,809,809,0,272,29,22,459,4,0,0,0,0,1,1,6,3,1,11,809
56,"P.P PANIHAWAR",545,481,0,1026,341,380,0,721,721,0,228,9,7,468,2,1,1,0,0,0,1,2,1,0,1,721
57,"P.P HURSAINA",486,440,0,926,323,263,0,586,586,0,193,25,12,335,4,3,0,1,0,3,3,2,2,1,2,586
58,"P.P ARJUNPUR",315,265,0,580,243,204,0,447,446,0,124,1,1,303,0,3,1,0,0,0,0,6,3,0,5,447
59,"P.P MOHRENA",739,654,0,1393,553,455,0,1008,705,0,108,7,25,835,5,3,0,1,0,1,1,6,9,0,7,1008
60,"P.P SHAYAMPUR",213,182,0,395,180,162,0,342,342,0,14,1,2,324,0,0,0,0,0,0,0,1,0,0,0,342
61,"P.P KANHOI",335,287,0,622,244,200,0,444,422,0,55,3,7,368,0,1,2,0,0,0,0,3,3,1,1,444
62,"LAXMIRAJ INT.COLL. ROOM NO 1 GABHANA",547,491,0,1038,330,272,0,602,330,0,313,10,25,215,2,1,1,0,1,2,2,11,4,3,12,602
63,"LAXMIRAJ INT.COLL. ROOM NO 2 GABHANA",458,408,1,867,274,238,0,512,498,0,181,31,25,250,4,1,0,0,0,0,2,2,9,2,5,512
64,"P.P ROOM NO 1 GABHANA",397,357,0,754,226,209,0,435,415,0,80,28,36,273,1,0,0,0,0,0,1,5,2,0,9,435
65,"LAXMIRAJ INT. COLL. ROOM NO 3 GABHANA",839,767,1,1607,548,444,0,992,984,0,173,230,17,542,3,3,2,0,2,0,1,5,4,2,8,992
66,"P.P NAGLA NATHHA",437,374,0,811,315,271,0,586,576,0,397,11,7,154,1,1,0,0,0,0,0,8,2,0,5,586
67,"P.P ROOM NO 1 RAMPUR H.NO FROM 1 TO 150",702,633,0,1335,426,383,0,809,799,0,119,29,45,596,3,2,1,0,0,1,1,2,5,3,2,809
68,"P.P ROOM NO 2 RAMPUR FROM 151 TO END",542,468,0,1010,336,277,0,613,261,0,186,3,11,389,2,3,0,0,0,0,0,8,4,2,5,613
69,"P.P RAIPUR",209,183,0,392,137,124,0,261,241,0,44,0,19,194,0,0,0,0,0,0,0,1,0,1,2,261
70,"P.P HASANPUR",447,384,0,831,252,232,0,484,484,0,57,50,17,312,3,4,0,1,1,2,2,3,4,10,18,484
71,"P.P PAIRAI",572,488,0,1060,355,267,0,622,601,0,121,59,27,398,5,1,1,1,0,0,2,2,2,3,0,622
72,"P.P NAGAULA MAJRA PAIRAI",273,243,0,516,219,164,0,383,380,0,99,2,6,265,5,1,0,0,0,0,0,3,0,0,2,383
73,"P.P KOMLA",361,315,0,676,228,189,0,417,400,0,84,13,8,283,2,4,1,0,0,0,2,3,11,0,6,417
74,"P.P CHILAWATI",370,337,0,707,288,252,0,540,539,0,116,5,7,396,2,1,0,0,0,1,2,3,5,0,2,540
75,"P.P JAKHOTA",373,336,0,709,228,186,0,414,399,0,107,2,2,291,0,2,0,0,0,1,1,7,0,0,1,414
76,"P.P ROOM NO 2 JAKHOTA",233,206,0,439,163,123,0,286,250,0,86,2,2,184,2,0,0,2,0,0,0,6,1,0,1,286
77,"P.P BAJNA MAJRA JAKHOTA",223,221,0,444,153,122,0,275,270,0,135,0,6,126,0,1,0,2,0,0,1,1,1,0,2,275
78,"P.P KHIYAMAI",482,420,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"P.P VIRAMPUR",285,253,0,538,199,147,0,346,301,0,45,16,16,262,1,0,0,0,1,0,0,0,2,0,3,346
80,"P.P LALPUR",566,498,0,1064,345,280,0,625,602,0,193,58,2,353,1,3,0,1,0,0,1,3,5,0,5,625
81,"P.P OGAR MAJRA OGAR NAGLA RAJU",777,694,0,1471,486,355,0,841,833,0,362,6,12,419,5,5,0,0,3,1,10,2,4,1,11,841
82,"P.P NAGLA RAJU MAJRA OGAR NAGLA RAJU",232,217,0,449,223,186,0,409,93,0,44,9,26,312,0,0,0,0,0,0,0,17,0,0,1,409
83,"P.P GAWALRA",552,469,0,1021,401,269,0,670,42,0,118,7,20,496,4,1,1,0,1,0,4,10,3,0,5,670
84,"P.P LOHPUTH",541,444,0,985,387,273,0,660,60,0,106,0,5,534,4,0,0,0,0,0,0,3,1,2,5,660
85,"P.P CHUHARPUR",470,410,0,880,313,305,0,618,516,0,158,1,40,413,0,1,0,0,0,1,0,0,2,0,2,618
86,"P.P PALA SALLU",322,292,0,614,214,187,0,401,401,0,194,2,14,185,2,1,0,0,0,0,1,0,1,0,1,401
87,"P.P NAGARIYA MAJRA PALA SALLU",426,391,0,817,292,222,0,514,514,0,149,3,11,331,3,1,0,0,0,1,0,7,3,0,5,514
88,"P.P CHAMUHA",214,210,0,424,169,160,0,329,329,0,88,15,0,224,0,1,0,0,0,0,0,1,0,0,0,329
89,"P.P KANDAULI",136,130,0,266,100,85,0,185,185,0,32,47,18,81,0,0,0,0,0,0,1,5,0,1,0,185
90,"P.P BIDHANAGAR MAJRA KAURAH RUSTAMPUR",227,208,0,435,168,152,0,320,320,0,69,1,6,233,0,4,0,0,0,0,2,3,2,0,0,320
91,"P.P JAGATPUR",353,309,0,662,240,212,0,452,452,0,234,6,29,165,1,0,0,0,0,1,1,8,2,1,4,452
92,"P.P BASAI",305,267,0,572,198,152,0,350,350,0,15,15,6,298,2,2,0,0,0,0,2,3,7,0,0,350
93,"P.P  ROOM NO 1 RAYAT",848,730,0,1578,559,409,0,968,968,0,207,600,7,138,3,0,0,1,2,0,0,4,2,2,2,968
94,"P.P ROOM NO 2 RAYAT",807,701,0,1508,464,442,0,906,520,0,109,765,4,7,2,0,1,0,0,0,1,1,0,7,9,906
95,"P.P MUKUTPUR",357,326,0,683,285,235,0,520,285,0,99,22,2,388,0,1,0,0,0,0,0,1,6,0,1,520
96,"PANCHAYATGHAR SUJAPUR",418,357,0,775,283,223,0,506,115,0,104,5,6,374,1,1,1,0,1,1,0,2,4,3,3,506
97,"P.P NANDPUR PALA",540,471,0,1011,391,299,0,690,50,0,87,30,6,553,8,2,1,0,0,0,0,1,1,0,1,690
98,"P.P AKRAWAT",505,463,0,968,370,338,0,708,180,0,306,10,18,362,1,2,0,0,0,0,1,1,2,0,5,708
99,"P.P BAROTH CHAJMAL",497,417,0,914,310,227,0,537,537,0,155,11,26,323,1,2,0,2,0,0,1,6,3,2,5,537
100,"J.H.S. KAURAH RUSTAMPUR",755,677,0,1432,611,333,0,944,944,0,192,31,21,662,4,6,2,1,0,0,2,7,8,2,6,944
101,"P.P SANGAUR",203,186,0,389,167,141,0,308,308,0,67,1,2,230,1,3,0,0,0,0,0,3,0,0,1,308
102,"P.P RUSTAMPUR DHOLA",240,213,0,453,198,167,0,365,365,0,129,0,18,208,3,0,0,0,0,0,0,3,0,0,4,365
103,"P.P CHANDRAULA",394,374,0,768,332,256,0,588,280,0,130,2,12,429,3,2,0,0,1,0,0,3,2,0,4,588
104,"P.P RAJMAU",318,269,0,587,267,190,0,457,437,0,55,14,93,288,2,1,0,0,0,0,0,1,2,0,1,457
105,"P.P . ROOM NO 1 KALUA",539,486,0,1025,361,323,0,684,297,0,248,23,32,353,5,4,0,0,1,1,4,5,5,1,2,684
106,"P.P ROOM NO 2 KALUA",452,395,0,847,320,261,0,581,574,0,29,17,28,485,4,2,1,0,0,0,3,5,2,2,3,581
107,"P.P ROOM NO 3 KALUA",567,496,0,1063,358,334,0,692,670,0,46,6,15,591,7,2,1,0,0,0,3,5,7,2,7,692
108,"P.P GIRDHARPUR",305,274,0,579,204,188,0,392,392,0,148,0,1,237,1,1,0,0,0,0,0,2,2,0,0,392
109,"P.P NAGLA VIRIYA",469,415,0,884,316,264,0,580,580,0,113,27,51,373,1,2,2,0,0,1,0,3,3,1,3,580
110,"P.P PIPLOTH",627,500,0,1127,354,240,0,594,116,0,134,17,53,322,5,3,0,0,0,2,5,45,5,1,2,594
111,"P.P GOKULPUR MAJRA PIPLOTH GOKULPUR",188,184,0,372,114,106,0,220,220,0,114,0,4,96,1,2,0,0,0,0,0,2,1,0,0,220
112,"P.P POTHI",630,564,0,1194,390,334,0,724,700,0,313,35,8,339,2,2,1,2,0,0,1,5,12,0,4,724
113,"P.P NAGLA BANJARA MAJRA POTHI",323,296,1,620,172,159,0,331,258,0,52,1,3,263,2,1,0,0,1,0,0,0,7,1,0,331
114,"P.P POTHA",304,265,0,569,200,170,0,370,370,0,79,22,10,248,0,0,0,0,0,0,0,3,2,0,6,370
115,"J.H.S. ROOM NO 1 TAMKAULI",617,553,0,1170,427,308,0,735,731,0,229,138,64,290,2,0,1,0,0,0,0,1,2,2,6,735
116,"J.H.S ROOM NO 2 TAMKAULI",460,402,0,862,279,236,0,515,300,0,322,35,19,123,1,1,0,0,0,0,1,4,1,2,6,515
117,"P.P PARTAPUR",398,349,0,747,268,219,0,487,486,0,199,10,52,212,2,1,0,0,0,0,1,1,2,1,6,487
118,"P.P GANWARI",867,738,0,1605,552,408,0,960,960,0,218,17,49,643,6,7,0,0,1,1,2,4,6,1,5,960
119,"P.P ROOM NO. 1 DAUPUR H.NO. FROM 1 TO 221",516,460,0,976,305,268,0,573,565,0,181,75,60,241,1,3,0,0,0,0,1,1,2,0,8,573
120,"P.P ROOM NO 2 DAUPUR H.NO.  FROM 222 TO END",367,327,0,694,222,189,0,411,380,0,120,58,42,176,2,1,0,0,0,0,0,5,2,1,4,411
121,"P.P RAM NAGAR",351,312,0,663,194,196,0,390,390,0,72,78,10,224,0,0,0,0,0,0,1,2,0,2,1,390
122,"P.P NAGLA RAY SINGH",76,68,0,144,58,54,0,112,112,0,52,1,1,57,0,0,0,0,0,0,0,0,1,0,0,112
123,"P.P POKARGARHI",364,309,0,673,224,202,0,426,375,0,224,6,17,165,1,0,0,0,1,0,1,2,2,0,7,426
124,"P.P SHAYAMPUR PARGNA BAROLI",292,256,0,548,176,148,0,324,324,0,79,3,34,201,0,0,0,0,0,0,0,1,4,0,2,324
125,"HOTILAL MAHESHWARI INTER COLLAGE BAROLA",660,564,0,1224,442,314,0,756,620,0,75,14,109,541,4,3,0,1,2,0,0,0,7,0,0,756
126,"P.P RAJGARHI",305,261,0,566,188,172,0,360,356,0,160,6,23,157,1,2,0,0,0,0,0,3,4,1,3,360
127,"INTER COLLAGE ROOM NO 1 BAROLI",612,543,0,1155,407,337,0,744,744,0,86,407,16,214,1,2,1,1,0,0,0,1,0,9,6,744
128,"INTER COLLAGE ROOM NO 2 BAROLI",459,396,1,856,222,243,0,465,465,0,96,31,40,271,2,3,0,0,1,1,0,4,7,5,4,465
129,"INTER COLLAGE ROOM NO 3 BAROLI",603,538,0,1141,377,339,0,716,716,0,328,109,19,244,2,6,0,0,0,0,1,4,1,1,1,716
130,"INTER COLLAGE ROOM NO 4 BAROLI",602,541,0,1143,382,333,0,715,706,0,111,187,33,349,5,2,0,0,2,2,3,7,9,3,2,715
131,"P.P HARNAMVAS MAJRA BAROLI",265,223,0,488,147,133,0,280,199,0,126,0,1,149,1,0,0,0,0,0,0,0,0,0,3,280
132,"P.P RIGASPURI MAJRA BAROLI",839,744,0,1583,540,445,0,985,885,0,386,562,11,6,1,0,0,1,3,0,2,1,1,7,4,985
133,"HIGH SCHOOL ROOM NO 1 SONGRA",647,570,0,1217,381,281,0,662,662,0,318,16,6,312,2,0,0,0,0,1,1,2,1,1,2,662
134,"HIGH SCHOOL ROOM NO 2 SONGRA",664,587,2,1253,391,322,0,713,640,0,242,15,53,391,4,1,0,2,0,0,0,0,3,0,2,713
135,"HIGH SCHOOL ROOM NO 3 SONGRA",276,257,0,533,142,135,0,277,271,0,152,2,1,116,2,2,0,0,0,0,1,0,1,0,0,277
136,"P.P MALIKPURA",538,479,0,1017,435,322,0,757,757,0,228,12,8,499,2,0,0,0,0,1,1,4,1,0,1,757
137,"P.P MADHOGARH",315,274,0,589,211,173,0,384,166,0,124,24,14,218,1,2,0,0,1,0,0,0,0,0,0,384
138,"J.H.S LAHTOI",544,476,0,1020,335,287,0,622,128,0,248,4,11,346,3,3,0,0,0,0,0,2,1,1,3,622
139,"P.P BAJGARHI",593,534,0,1127,370,361,0,731,728,0,165,148,10,359,4,9,0,4,1,2,2,5,11,5,6,731
140,"P.P TATARGARHI",152,132,0,284,112,98,0,210,202,0,58,77,4,62,1,0,0,0,0,1,0,3,1,1,2,210
141,"P.P DAHELI",458,400,0,858,317,273,0,590,570,0,352,18,16,173,1,3,0,0,0,0,1,7,5,0,14,590
142,"P.P KHURD KHEDA",560,461,0,1021,316,299,0,615,595,0,322,13,14,253,1,0,1,0,0,1,0,3,3,0,4,615
143,"P.P ANAND NAGLA",173,164,0,337,108,104,0,212,211,0,199,3,0,1,0,0,0,0,0,0,0,2,0,0,7,212
144,"P.P TALEPUR",498,449,0,947,348,275,0,623,109,0,148,1,20,417,7,1,1,0,0,0,3,4,12,2,7,623
145,"P.P RAIPUR PARGNA BAROLI",438,383,0,821,325,236,0,561,55,0,77,5,0,467,0,0,1,0,0,0,3,5,1,0,2,561
146,"P.P FARIDPUR",247,219,0,466,218,183,0,401,391,0,151,1,5,243,1,0,0,0,0,0,0,0,0,0,0,401
147,"J.H.S. DAVTHALA",507,470,0,977,290,290,0,580,269,0,249,37,11,262,6,0,1,0,0,1,2,3,0,1,7,580
148,"P.P AKNAGLA MAJRA DAVTHALA",504,437,0,941,339,289,0,628,600,0,251,3,4,346,2,2,1,1,0,2,1,4,6,0,5,628
149,"P.P DANUA NAGLA",238,215,0,453,219,192,0,411,390,0,399,0,3,0,0,0,0,0,0,0,0,5,0,1,3,411
150,"P.P AURIHA",415,361,0,776,293,257,0,550,500,0,199,58,9,271,1,1,0,0,0,0,3,0,2,0,6,550
151,"P.P ROHERA MAJRA AURIHA",423,389,0,812,279,284,0,563,563,0,442,7,7,94,1,0,0,0,0,0,0,0,2,0,10,563
152,"P.P TEJPUR",663,602,0,1265,441,384,0,825,825,0,382,100,19,285,1,7,1,1,0,1,3,8,8,1,8,825
153,"P.P OLD BUILDING ROOM NO 1 PILONA",728,643,0,1371,422,350,0,772,640,0,106,227,9,402,3,0,1,1,2,0,0,5,6,3,7,772
154,"P.P OLD BUILDING ROOM NO 2 PILONA",760,670,0,1430,469,445,0,914,380,0,358,220,4,314,2,1,0,0,0,2,0,5,4,0,4,914
155,"P.P RAIPUR MORTHAL",499,452,0,951,303,274,0,577,506,0,213,36,10,298,4,2,2,2,0,0,1,1,2,2,4,577
156,"P.P SIYPUR",354,309,0,663,248,206,0,454,114,0,198,1,11,231,1,1,0,0,0,0,1,5,1,0,4,454
157,"P.P BHOJPUR",428,386,0,814,219,276,0,495,491,0,185,5,2,288,4,1,0,2,1,0,1,2,2,0,2,495
158,"PANCHAYATGHAR GADIYA MAJRA BHOJPUR",302,283,0,585,238,227,0,465,465,0,306,20,12,127,0,0,0,0,0,0,0,0,0,0,0,465
159,"P.P ROOM NO 1 SUMERA DARIYAPUR",397,363,0,760,202,186,0,388,388,0,164,53,0,163,1,0,0,0,0,0,0,2,0,0,5,388
160,"P.P ROOM NO 2SUMERA DARIYAPUR",414,363,0,777,261,199,0,460,458,0,48,297,10,97,1,2,0,1,1,0,0,1,0,1,1,460
161,"J.H.S SUMERA DARIYAPUR",619,533,0,1152,335,284,0,619,619,0,356,90,5,158,1,2,1,0,0,0,0,1,0,1,4,619
162,"P.P DARIYAPUR MAJRA SUMERA",538,462,0,1000,334,316,0,650,650,0,178,243,6,207,2,4,0,1,1,1,0,4,1,1,1,650
163,"P.P ROOM NO 1 SUNANA",301,263,0,564,181,142,0,323,250,0,90,3,2,219,2,1,0,0,1,0,1,0,1,1,2,323
164,"P.P ROOM NO 2 SUNANA",445,388,0,833,246,210,0,456,456,0,185,2,7,254,0,0,0,0,0,0,0,4,1,0,3,456
165,"P.P KHURD DARIYAPUR MAJRA SUNANA",352,332,0,684,230,160,0,390,388,0,117,3,8,248,4,6,1,0,0,0,0,2,0,0,1,390
166,"P.P JANGALGARHI",509,439,0,948,297,188,0,485,300,0,275,32,31,132,1,2,3,0,0,1,1,1,3,0,3,485
167,"P.P SIKANDARPUR KOTA",588,544,0,1132,323,255,0,578,578,0,223,20,5,321,3,1,0,0,0,0,0,3,1,0,1,578
168,"P.P BAHADURPUR KOTA",432,421,0,853,290,237,0,527,500,0,131,16,5,361,4,2,0,0,0,0,2,1,2,0,3,527
169,"P.P KOTA KHAS",674,621,0,1295,386,331,0,717,665,0,329,110,14,235,1,5,1,0,0,1,0,1,3,4,13,717
170,"P.P SARMASTPUR KOTA",516,431,0,947,359,305,0,664,661,0,113,133,4,395,3,2,0,0,0,1,1,4,5,0,3,664
171,"P.P DAUDPUR KOTA",656,546,0,1202,403,264,0,667,663,0,111,504,9,38,0,1,0,0,0,0,1,0,0,0,3,667
172,"P.P NAGARIYA KHUR MAJRA DAUDPUR KOTA",302,259,0,561,151,121,0,272,199,0,113,10,5,142,1,1,0,0,0,0,0,0,0,0,0,272
173,"P.P SUMERPUR",510,452,0,962,384,274,0,658,227,0,130,12,18,486,2,0,1,0,0,0,1,2,2,0,4,658
174,"P.P MADANPUR CHAVILA",309,289,0,598,219,203,0,422,422,0,158,4,5,251,1,1,0,0,0,0,0,1,0,0,1,422
175,"P.P ROOM NO 1 AMRAULI",633,572,0,1205,433,326,0,759,700,0,374,70,8,284,2,2,0,0,0,0,0,5,2,2,10,759
176,"P.P ROOM NO 2 AMRAULI",395,363,0,758,248,206,0,454,400,0,63,28,10,319,3,1,1,0,0,0,2,22,3,0,2,454
177,"P.P RAFIPUR SIYA",555,528,0,1083,383,276,0,659,655,0,48,391,14,194,0,3,0,0,0,1,0,3,4,0,1,659
178,"P.P JAMALPUR SIYA",740,660,0,1400,496,391,0,887,887,0,176,11,51,634,2,1,0,0,0,0,0,0,7,1,4,887
179,"PRIMARY SCHOOL KALAI R.N 1",499,421,0,920,283,315,0,598,573,0,179,63,19,319,6,1,1,0,2,1,1,3,1,0,2,598
180,"PRIMARY SCHOOL KALAI R.N 2",616,517,0,1133,371,236,0,607,288,0,39,72,11,460,6,6,2,0,0,0,1,1,5,0,4,607
181,"PURV MADHMIK PATHSHALLA KALAI R.N 1",640,536,0,1176,411,337,0,748,730,0,300,92,40,290,6,3,0,0,2,0,1,6,5,1,2,748
182,"PRIMARY SCHOOL DAUDPUR R.N 1",314,253,0,567,193,146,0,339,336,0,85,2,20,224,1,1,1,0,0,1,1,0,1,0,2,339
183,"PRIMARY SCHOOL MEERPUR R.N 1",610,546,0,1156,337,350,0,687,685,0,45,208,14,400,2,5,0,0,0,0,0,3,1,1,8,687
