"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
59,"JUNIR HIGH SCHOOL LAUKAHI",520,425,0,945,276,279,0,555,555,0,145,216,165,6,3,2,0,1,0,0,0,0,1,1,0,3,3,4,2,0,1,0,0,2,555
60,"PRIMARY VIDYALAY SAHJANWA NORTH",766,678,0,1444,437,408,0,845,845,0,96,198,365,109,9,1,4,5,2,7,9,2,2,4,0,11,1,4,3,1,3,2,1,6,845
61,"PRIMARY VIDYALAY SAHJANWA SOUTH",801,676,0,1477,397,485,0,882,882,0,133,215,349,71,1,2,6,3,3,3,6,4,3,10,18,36,5,1,0,2,1,1,4,5,882
62,"PRIMARY VIDYALAY GUJRAULIA ROOM NO 1",811,671,0,1482,434,405,0,839,835,0,243,229,259,59,3,1,1,2,1,0,3,0,5,4,4,9,8,3,0,1,0,2,0,2,839
63,"PRIMARY VIDYALAY GUJRAULIA ROOM NO 2",289,244,0,533,107,142,0,249,249,0,72,108,10,52,0,0,1,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,249
64,"PRIMARY VIDYALAY RASOIA",392,283,0,675,214,152,0,366,364,0,58,97,156,30,1,0,1,3,1,2,3,1,0,2,2,1,0,1,1,2,0,2,1,1,366
65,"PRIMARY VIDYALAY MISHRAULIA EAST",694,546,0,1240,356,373,0,729,729,0,89,128,404,34,5,2,1,1,1,5,5,0,2,4,2,10,3,7,9,0,3,1,4,9,729
66,"PRIMARY VIDYALAY MISHRAULIA WEST",651,526,0,1177,365,344,0,709,709,0,60,91,494,32,4,0,2,0,0,2,0,0,0,0,0,0,0,7,9,1,2,2,2,1,709
67,"PURB M. VIDYALAY MISHRAULIA",690,545,0,1235,354,304,0,658,658,0,86,33,454,32,2,2,1,2,4,1,2,0,1,7,1,2,4,12,4,0,2,2,3,1,658
68,"PRIMARY VIDYALAY BANJARAHA SONBARASA",742,650,0,1392,388,316,0,704,704,0,48,84,325,183,6,0,6,1,1,2,3,3,2,5,1,6,3,4,8,4,0,2,2,5,704
69,"PRIMARY VIDYALAY BANJARAHA SONBARASA",747,622,0,1369,405,343,0,748,747,0,49,96,310,223,9,4,5,0,3,5,3,4,3,4,4,16,3,1,1,2,0,1,1,1,748
70,"PRIMARY VIDYALAY BANJARAHA SONBARASA EXTRA ROOM",786,659,1,1446,365,350,0,715,715,0,228,142,153,141,2,3,7,3,0,2,5,3,2,3,4,6,1,3,0,1,1,3,0,2,715
71,"PRIMARY VIDYALAY NAINSAR",882,721,0,1603,475,428,0,903,903,0,293,106,312,164,3,2,2,2,1,2,3,0,0,3,0,1,3,1,3,1,0,0,0,1,903
72,"PRIMARY VIDYALAY NAINSAR EAST",751,584,0,1335,339,307,0,646,635,0,190,102,196,114,1,2,6,1,1,2,2,1,2,4,5,6,0,3,3,0,1,1,0,3,646
73,"PRIMARY VIDYALAY KAWALPUR NORTH",783,617,1,1401,457,380,0,837,837,0,300,53,260,144,6,3,3,1,2,2,10,0,4,2,1,13,8,3,2,3,5,4,2,6,837
74,"PRIMARY VIDYALAY KAWALPUR SOUTH",750,625,0,1375,389,407,0,796,790,0,276,252,108,121,2,1,2,2,0,1,2,0,3,3,1,7,3,1,0,1,2,2,4,2,796
75,"PRIMARY VIDYALAY GOPALPUR NORTH",910,705,0,1615,384,371,0,755,755,0,290,109,145,106,6,2,6,2,1,2,9,3,8,7,4,19,9,2,4,4,3,3,0,11,755
76,"PRIMARY VIDYALAY GOPALPUR SOUTH",770,591,0,1361,349,338,0,687,678,0,260,221,72,78,0,2,9,3,5,2,4,1,2,5,4,12,2,0,0,0,0,0,2,3,687
77,"PURV M. VIDYALAY GOPALPUR",365,271,0,636,165,150,0,315,315,0,71,43,119,59,2,0,1,0,1,0,4,0,0,3,1,1,1,1,2,0,0,2,1,3,315
78,"PRIMARY VIDYALAY SONABANDI",836,699,0,1535,437,393,0,830,824,0,75,388,240,56,4,2,1,3,3,5,7,1,3,11,5,10,0,4,3,1,0,3,2,3,830
79,"PRIMARY VIDYALAY MAHUARI ROOM NO 1",519,425,1,945,291,273,0,564,564,0,241,99,140,46,2,1,0,0,1,1,2,5,0,3,4,12,1,2,0,0,1,1,0,2,564
80,"PRIMARY VIDYALAY MAHUARI ROOM NO 2",461,389,0,850,280,257,0,537,536,0,55,144,252,45,1,0,2,1,2,2,4,2,0,3,4,9,2,3,2,2,0,1,0,1,537
81,"PRIMARY VIDYALAY MAINAHAWA ROOM NO 1",758,622,0,1380,401,410,0,811,811,0,160,82,418,38,9,4,5,4,1,7,8,5,5,11,7,31,1,2,3,1,2,1,1,5,811
82,"PRIMARY VIDYALAY MAINAHAWA ROOM NO 2",426,374,0,800,237,229,0,466,464,0,56,41,282,45,4,0,2,1,0,1,1,1,1,4,1,7,3,6,0,0,1,2,3,4,466
83,"PRIMARY VIDYALAY MAINAHAWA ROOM NO 3 PASCHIM",456,358,0,814,240,205,0,445,445,0,100,60,207,50,2,0,3,1,1,1,2,1,0,1,0,7,0,1,2,0,1,5,0,0,445
84,"PRIMARY VIDYALAY BISHRAMPUR",384,320,0,704,194,204,0,398,396,0,154,150,48,13,1,0,3,0,6,1,0,1,3,2,1,5,6,2,0,1,0,1,0,0,398
85,"PRIMARY VIDYALAY BAHADURI",636,533,0,1169,354,358,0,712,710,0,265,113,268,21,1,0,4,1,0,1,3,1,1,2,1,1,7,2,2,2,4,8,3,1,712
86,"PRIMAY VIDYALAY ILAHABAS EAST",652,529,1,1182,376,345,0,721,430,0,169,60,353,77,2,2,2,1,2,6,3,2,7,2,4,16,5,1,2,2,0,0,0,3,721
87,"PRIMAY VIDYALAY ILAHABAS WEST",703,597,0,1300,388,341,0,729,729,0,219,138,188,116,4,0,2,5,4,1,2,1,3,5,4,12,7,4,6,2,0,1,0,5,729
88,"PRIMARY VIDYALAY SOHARVALIYA KHURD",666,534,0,1200,347,289,0,636,630,0,113,95,322,38,1,0,0,1,3,1,2,2,2,1,1,13,6,7,16,2,5,1,1,3,636
89,P.V.DARJICHAK,204,176,0,380,93,111,0,204,204,0,17,52,94,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,204
90,"PRIMARY VIDYALAY SOHARAULIA KALA",705,595,0,1300,398,380,0,778,778,0,78,275,373,34,3,0,1,1,0,2,1,0,2,2,1,0,1,1,2,0,0,0,0,1,778
91,"PRIMARY VIDYALAY PARSOHIA",296,243,0,539,187,160,0,347,310,0,234,17,67,17,0,1,1,0,0,0,0,0,0,2,1,3,1,1,0,0,0,0,2,0,347
92,"PRIMARY VIDYALAY AGAYA",578,531,0,1109,403,369,0,772,769,0,291,155,273,13,2,0,0,0,1,0,5,0,1,2,2,2,6,2,1,3,3,1,6,3,772
93,"PRIMARY VIDYALAY JHAMAT",762,667,0,1429,480,419,0,899,899,0,165,209,373,56,3,1,2,1,5,5,6,1,3,7,4,13,3,9,9,6,6,4,4,4,899
94,"PRIMARY SAILDAHA URF KAWLDAH EAST",625,541,0,1166,342,347,0,689,689,0,90,53,465,16,1,4,1,1,4,3,3,1,5,4,3,13,2,8,2,0,3,1,1,5,689
95,"PRIMARY SAILDAHA URF KAWLDAH WEST",690,577,0,1267,335,351,0,686,686,0,277,206,163,14,4,3,1,1,0,2,2,2,0,2,0,1,2,1,1,1,2,0,0,1,686
96,"PRIMARY VIDYALAY BADAHARA KANHAI ROOM NO 1",495,406,0,901,312,310,0,622,600,0,134,100,335,30,3,0,2,0,0,1,2,0,0,4,2,3,1,1,2,0,0,1,0,1,622
97,"PRIMARY VIDYALAY BADAHARA KANHAI ROOM NO 2",507,420,0,927,310,266,0,576,570,0,143,91,294,17,2,0,1,0,0,1,1,0,2,3,1,4,1,2,6,1,1,0,0,5,576
98,"PRIMARY VIDYALAY MURILA",488,418,0,906,339,276,0,615,615,0,70,119,382,24,1,0,0,0,1,1,1,0,1,3,2,2,2,1,1,1,0,0,1,2,615
99,"PRIMARY VIDYALAY BARGADWA RAMSAHAI",438,373,0,811,287,292,0,579,579,0,139,219,181,17,3,1,0,0,2,1,3,2,1,1,0,0,2,2,0,0,3,2,0,0,579
100,"PRIMARY VIDYALAY HARMANDIR KHURD",389,332,0,721,239,238,0,477,477,0,35,191,210,21,1,1,1,0,3,0,1,1,2,1,2,4,0,0,1,0,0,1,0,1,477
101,"PRIMARY VIDYALAY BADHAYA",243,208,0,451,160,151,0,311,311,0,80,98,93,6,1,0,0,1,1,1,0,3,1,4,1,6,3,3,4,0,1,1,3,0,311
102,"PRIMARY VIDYALAY SEMRAHANI",496,411,0,907,286,288,0,574,574,0,104,152,249,18,2,1,3,2,2,1,5,1,0,3,1,14,4,2,4,0,1,3,0,2,574
103,"PRIMARY VIDYALAY SEMRAHANI",490,400,1,891,301,200,0,501,501,0,115,110,192,40,1,4,1,0,4,2,6,0,1,1,0,6,6,4,2,1,2,0,0,3,501
104,"PRIMARY VIDYALAY BHAGWAT NAGAR PARASIA NORTH",794,656,0,1450,438,351,0,789,750,0,158,221,307,41,5,11,1,2,1,1,5,0,0,5,4,8,3,6,1,1,0,3,2,3,789
105,"PRIMARY VIDYALAY BHAGWAT NAGAR PARASIA SOUTH",639,507,0,1146,361,270,0,631,631,0,114,206,240,37,1,4,2,0,2,1,3,0,2,1,3,2,3,3,3,1,1,2,0,0,631
106,"P.V.UDITPUR ROOM NO.-1",766,609,0,1375,419,386,0,805,805,0,387,78,212,49,4,2,7,2,1,5,3,0,6,11,2,16,4,1,3,2,0,1,3,6,805
107,"P.V.UDITPUR ROOM NO.-2",294,225,1,520,182,146,0,328,328,0,45,66,150,29,3,0,1,1,1,3,4,1,2,5,2,5,2,0,1,0,0,2,3,2,328
108,"P.V.UDITPUR ROOM NO.-3",478,424,0,902,311,306,0,617,617,0,78,340,134,35,2,3,3,0,1,1,1,1,1,1,5,5,2,0,0,0,0,0,2,2,617
109,"P.V.UDITPUR ROOM NO.-4",561,414,0,975,297,226,0,523,471,0,83,189,182,33,0,1,1,0,1,1,2,1,0,3,3,2,1,8,3,1,1,2,1,4,523
110,"PRIMARY VIDYALAY BAIKUNTHPUR",453,411,0,864,291,257,0,548,548,0,32,198,243,50,1,0,1,1,0,0,3,3,1,3,0,2,1,4,3,0,0,0,0,2,548
111,"PRIMARY VIDYALAY PHARENDA BUZURG EAST",807,705,0,1512,459,378,0,837,837,0,69,170,432,101,5,1,1,2,4,1,4,0,3,1,2,5,3,3,3,6,3,8,4,6,837
112,"PRIMARY VIDYALAY PHARENDA BUZURG WEST",809,690,0,1499,444,407,0,851,851,0,331,171,199,102,2,2,0,1,4,0,3,1,2,1,2,7,6,2,2,2,2,1,3,5,851
113,"PRIMARY VIDYALAY LEZAR MAHDEVA ROOM NO 1",728,566,0,1294,400,338,0,738,728,0,248,47,370,37,2,1,1,2,3,0,0,0,0,4,1,4,6,2,3,0,1,2,1,3,738
114,"PRIMARY VIDYALAY LEZAR MAHDEVA ROOM NO 2",830,658,0,1488,423,369,0,792,792,0,91,391,213,54,8,2,2,1,4,0,2,2,0,2,1,10,0,3,0,0,2,0,0,4,792
115,"PRIMARY VIDYALAY LEZAR MAHDEVA",580,450,0,1030,295,270,0,565,464,0,51,200,232,54,2,1,1,1,0,0,3,1,0,0,1,4,2,1,1,2,2,0,0,6,565
116,"PRIMARY VIDYALAY PIPARA MAUNI",682,597,2,1281,372,373,0,745,745,0,24,246,390,30,3,2,1,0,2,3,6,1,2,0,0,5,5,6,3,4,1,6,1,4,745
117,"P.V. LEHADA KHAS",352,274,0,626,234,180,0,414,412,0,65,114,181,20,0,0,0,0,2,1,3,1,0,2,5,14,1,2,1,0,0,1,0,1,414
118,"PRIMARY VIDYALAY HARPUR NORTH",589,523,0,1112,310,253,0,563,563,0,122,174,147,74,1,0,1,1,3,0,1,1,1,1,1,5,4,7,4,8,1,1,0,5,563
119,"PRIMARY VIDYALAY HARPUR SOUTH",457,374,0,831,254,187,0,441,441,0,117,85,104,83,6,0,0,4,3,3,5,0,4,2,4,10,3,0,3,0,1,0,1,3,441
120,"PRIMARYVIDYALAY MADHUKARPUR MAHADEVA EAST",729,587,0,1316,454,388,0,842,830,0,139,293,344,27,2,2,2,1,7,0,3,0,1,4,1,7,0,2,0,1,0,3,0,3,842
121,"PRIMARYVIDYALAY MADHUKARPUR MAHADEVA WEST",309,258,0,567,155,160,0,315,315,0,67,49,167,10,1,1,0,0,1,0,1,0,0,3,0,2,4,2,1,0,1,2,1,2,315
122,"PRIMARYVIDYALAY MANIKAURA NORTH",531,469,0,1000,294,273,0,567,567,0,20,264,227,13,0,1,0,0,1,0,1,3,4,0,3,10,2,11,2,2,1,1,1,0,567
123,"PRIMARYVIDYALAY MANIKAURA SOUTH",399,335,0,734,243,195,0,438,438,0,42,106,234,42,3,0,2,1,1,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,438
124,"PRIMARY VIDYALAY KARMAHAWA BUJURG",848,698,0,1546,473,389,0,862,862,0,98,253,386,29,7,2,3,0,1,3,1,5,0,6,6,14,10,16,11,2,4,1,1,3,862
125,"VIDYALAY SHAHAPUR JANGLE",608,490,0,1098,281,269,0,550,550,0,89,128,186,90,5,1,0,2,3,2,8,3,3,3,3,11,1,2,3,2,1,0,1,3,550
126,"PRIMARY VIDYALAY GOKULPUR",207,159,0,366,124,99,0,223,223,0,44,52,100,5,1,0,1,2,1,0,2,0,1,1,0,6,2,1,0,0,1,1,1,1,223
127,"PRIMARY VIDYALAY KAITHWALIA SARVJEET",770,622,0,1392,408,367,0,775,775,0,158,286,254,27,3,0,2,0,3,2,4,1,4,3,9,6,0,2,2,2,0,1,2,4,775
128,"PRIMARY. V. SEMARA MAHARAJ",820,744,0,1564,410,378,0,788,788,0,100,260,211,171,5,5,1,0,0,2,4,0,2,1,2,4,5,6,4,3,0,1,1,0,788
129,"PRIMARY VIDYALAY SISWANIYA BUZURG",538,449,0,987,329,295,0,624,615,0,150,176,240,20,1,1,0,1,2,1,0,0,1,1,1,27,0,1,0,0,0,0,1,0,624
130,"PRIMARY VIDYALAY SISWANIA KHURD",375,306,0,681,212,166,0,378,367,0,42,135,151,9,13,0,0,0,2,0,3,1,0,3,0,5,3,5,2,0,1,0,0,3,378
131,"PRIMARY VIDYALAY TALHI ROOM NO 1",819,708,0,1527,504,460,0,964,964,0,298,395,157,39,3,2,2,2,7,5,11,4,4,6,6,5,2,2,1,3,2,4,2,2,964
132,"PRIMARY VIDYALAY TALHI ROOM NO 2",451,393,0,844,232,200,0,432,432,0,71,88,230,21,2,0,2,0,1,1,4,0,0,1,2,0,1,0,3,1,1,0,1,2,432
133,"PRIMARY VIDYALAY SINGHPUR AYODHYA",540,438,0,978,329,243,0,572,572,0,164,272,38,58,9,0,0,2,7,0,2,0,1,2,1,1,4,5,3,2,0,0,1,0,572
134,"PRIMARY VIDYALAY JALALGARHA",339,263,0,602,211,192,0,403,403,0,49,223,46,48,7,0,1,0,0,2,1,2,2,2,1,3,5,0,1,0,1,0,4,5,403
135,"PRIMARY VIDYALAY BHAGWANPUR",308,286,0,594,188,195,0,383,383,0,52,220,63,9,0,0,0,0,0,0,2,5,1,0,2,7,2,9,2,1,1,3,1,3,383
136,"PRIMARY VIDYALAY BARGADWA",350,312,0,662,191,202,0,393,393,0,53,218,69,29,3,2,0,0,0,1,2,4,1,2,2,3,1,0,1,0,1,0,1,0,393
