"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATIQ AHMAD","2 - DADDAN MISHRA","3 - LAL JI VERMA","4 - VINAY KUMAR PANDEY","5 - PRAKSH CHANDRA MISHRA","6 - RATNESH","7 - RAM SUDHI","8 - RIZWAN ZAHEER","9 - SAXEN","10 - ARJUN YADAV","11 - ARUN KUMAR","12 - TEJ BAHADUR","13 - RAM ADHAR","14 - VIJAY KUMAR","15 - None of the Above","Total Votes Secured"
34,"BHARTIYA LAGHU M.V. RATANPUR JHHINGHAHA (BALAPUR) SOUTH BHAG",571,466,0,1037,383,236,0,619,574,0,103,201,131,14,3,2,3,121,7,6,9,3,5,2,9,619
35,"KANYA P.P. JARVA EAST BHAG",760,665,0,1425,378,357,0,735,691,0,337,146,113,7,0,0,1,120,3,1,3,1,2,0,1,735
36,"KANYA P.P. JARVA WEST BHAG",362,326,0,688,179,179,0,358,3,0,115,139,59,6,0,1,1,29,1,1,2,1,1,0,2,358
37,"P.P. KANDHAIDIH",382,350,0,732,203,224,0,427,105,0,167,69,132,7,1,2,4,29,1,2,5,0,2,2,4,427
38,"P.P. RANIYAPUR",611,570,0,1181,300,325,0,625,25,0,164,31,180,4,3,0,3,220,1,2,3,2,5,1,6,625
39,"P.P. RANIYA PUR EXTRA ROOM",337,290,0,627,218,184,0,402,356,0,184,26,106,1,1,1,1,62,1,2,6,1,4,1,5,402
40,"P.P. SONGARHA",364,285,0,649,176,176,0,352,289,0,25,97,193,12,6,2,3,1,1,4,2,1,1,2,2,352
41,"P.P. MUTEHARA",331,308,0,639,195,205,0,400,400,0,2,107,257,7,1,0,0,0,2,3,5,3,1,3,9,400
42,"P.P. VISHUNPUR KALAN",579,485,0,1064,376,294,0,670,526,0,163,226,134,5,3,0,2,86,2,3,11,9,3,6,17,670
43,"P.P. GANVIRYA KALAN",420,323,0,743,243,203,0,446,348,0,70,122,62,5,2,0,5,150,5,1,12,2,3,2,5,446
44,"P.P. KHKHARA",511,438,0,949,288,220,0,508,501,0,109,167,153,12,2,0,3,46,0,1,4,0,5,0,6,508
45,"P.P LUDHUORI",763,627,0,1390,351,358,0,709,609,0,162,56,82,4,4,2,7,362,2,4,9,2,2,1,10,709
46,"P.P. BARGADAVA KALA",412,369,0,781,256,258,0,514,514,0,90,154,169,10,0,1,1,63,2,2,3,4,3,6,6,514
47,"P.P. RAMVAPUR",713,581,0,1294,449,302,0,751,649,0,118,248,131,6,2,2,3,203,7,3,7,3,6,1,11,751
48,"P.P. DARJINIY",563,512,1,1076,345,255,0,600,600,0,206,219,49,25,2,2,1,67,0,1,6,3,4,2,13,600
49,"P.P. AMAWA BANS",355,322,0,677,172,163,0,335,334,0,175,18,2,2,0,0,0,134,1,0,0,0,1,1,1,335
50,"P.P. BHOJPUR THARU",654,560,0,1214,407,336,0,743,426,0,209,302,100,4,1,0,3,109,3,5,2,1,3,0,1,743
51,"P.P. THAKURA PUR EAST BHAG",206,172,0,378,121,71,0,192,163,0,42,35,3,2,0,0,2,107,0,0,1,0,0,0,0,192
52,"P.P THAKURA PUR WEST BHAG",800,682,0,1482,400,321,0,721,719,0,233,44,132,6,4,1,2,285,1,2,5,1,0,2,3,721
53,"P.P. JAMDAHRA",398,332,0,730,295,203,0,498,12,0,122,79,112,8,1,1,2,161,4,0,2,0,3,1,2,498
54,"P.P. BAKAULI DALPUR EAST BHAG",251,227,0,478,152,112,0,264,264,0,53,126,13,2,0,1,1,59,0,0,4,0,0,2,3,264
55,"P.P. BAKAULI DALPUR WEST BHAG",750,623,0,1373,462,296,0,758,758,0,77,280,70,114,3,1,0,166,5,1,8,6,6,7,14,758
56,"P.P. LATHAVAR",673,615,0,1288,361,305,0,666,602,0,94,290,74,3,4,0,2,166,3,6,8,2,2,4,8,666
57,"P.P. SATHI NORTH BHAG",391,367,0,758,233,173,0,406,397,0,26,48,19,3,2,1,2,292,3,2,4,1,0,0,3,406
58,"P.P. MAHUA SOUTH BHAG",578,527,0,1105,292,188,0,480,182,0,41,105,55,8,3,2,2,246,3,2,4,1,3,1,4,480
59,"P.P. SINGH MUHANI",506,433,0,939,301,247,0,548,548,0,151,110,57,4,1,2,1,216,1,0,3,1,1,0,0,548
60,"P.P. GAISRI",751,617,0,1368,385,355,0,740,723,0,285,89,36,5,1,1,4,294,7,1,3,1,4,4,5,740
61,"R.J.H.SCHOOL GAISRI ROOM NO 1",507,380,0,887,303,203,0,506,440,0,100,284,51,4,1,0,0,60,0,1,1,1,0,1,2,506
62,"R.J.H.SCHOOL GAISRI ROOM NO 2",589,465,0,1054,297,216,0,513,490,0,89,343,26,8,0,1,0,37,0,1,1,1,3,2,1,513
63,"R.J.H.SCHOOL GAISRI EXTRA ROOM",899,619,0,1518,436,316,0,752,537,0,287,79,83,6,3,0,1,276,3,2,1,0,2,2,7,752
64,"P.P. KHARGAURA",832,691,0,1523,447,349,0,796,794,0,75,371,139,10,0,2,3,151,1,8,8,5,6,6,11,796
65,"P.P. CHAYPURAVA",734,651,0,1385,374,201,0,575,500,0,169,66,51,1,5,1,2,268,1,2,3,1,2,1,2,575
66,"P.P. KHAMAHARIYA",530,422,0,952,240,287,0,527,247,0,267,79,53,3,0,0,3,110,0,1,3,1,1,4,2,527
67,"P.P. NAVA NAGAR",566,502,0,1068,312,290,0,602,405,0,153,193,29,3,1,1,4,203,2,3,4,1,1,0,4,602
68,"P.P. PURAINA EAST BHAG",548,496,0,1044,341,257,0,598,190,0,185,67,84,2,3,1,5,244,1,2,0,1,2,0,1,598
69,"P.P. PURAINA WEST BHAG",552,442,0,994,298,226,0,524,424,0,138,120,110,1,1,1,0,136,0,1,3,2,5,3,3,524
70,"PU0 M0 V0 PADRAUNA",817,716,0,1533,436,352,0,788,788,0,188,183,161,11,5,1,3,203,5,5,10,4,5,0,4,788
71,"P.P. LAIBUDVA",685,573,0,1258,339,301,0,640,640,0,231,171,150,6,1,5,2,62,1,2,3,2,2,0,2,640
72,"P.P. SONPUR",820,642,0,1462,461,326,0,787,735,0,236,259,90,7,6,2,5,166,3,2,2,1,2,1,5,787
73,"P.P. JEETPUR",398,334,0,732,262,186,0,448,448,0,55,162,87,14,7,2,3,92,4,2,1,5,4,0,10,448
74,"P.P. JEETPUR EXTRA ROOM",413,377,0,790,232,150,0,382,371,0,142,114,58,12,3,0,1,46,2,1,0,1,1,0,1,382
75,"P.P. MATEHANA",588,517,0,1105,403,320,0,723,501,0,98,344,68,9,4,1,1,172,3,1,10,2,2,2,6,723
76,"P.P. SIRSIHVA",315,259,0,574,265,191,0,456,348,0,53,303,73,6,1,0,0,15,0,1,3,0,1,0,0,456
77,"P.P. SADVA GULRIHA EAST BHAG",412,359,0,771,250,141,0,391,291,0,37,249,48,4,1,1,2,28,1,3,9,0,1,2,5,391
78,"P.P. SADVA GULRIHA WEST BHAG",550,457,0,1007,335,306,0,641,479,0,44,233,42,5,5,3,4,279,7,1,5,3,0,3,7,641
79,"P.P. MAJAULI",721,582,0,1303,426,286,0,712,700,0,81,354,207,13,2,1,1,27,1,2,9,4,1,3,6,712
80,"P.P. PARSA PALAIDIH",802,621,0,1423,524,345,0,869,864,0,148,349,277,17,2,1,3,40,0,2,10,1,6,4,9,869
81,"P.P. BAKAULI RAJPUR  ROOM NO 1",770,714,0,1484,440,332,0,772,772,0,202,157,153,14,2,3,4,210,2,0,8,5,2,2,8,772
82,"P.P. BAKAULI RAJPUR  ROOM NO 2",591,468,1,1060,397,272,0,669,669,0,114,102,252,15,2,5,1,136,3,6,10,6,3,2,12,669
83,"P.P. MAHADEV SHIVPUR",731,616,0,1347,476,330,0,806,806,0,91,321,120,11,3,0,2,215,0,7,9,5,5,6,11,806
84,"P.P. JIGNIHAVA",639,581,3,1223,355,280,0,635,425,0,210,285,48,12,5,0,2,44,3,2,5,1,4,6,8,635
85,"P.P. BHADUVA SHANKARNAGAR",663,603,0,1266,377,327,0,704,704,0,170,234,84,6,4,0,4,186,0,1,7,2,3,1,2,704
86,"P.P. JAMUNI KALA  ROOM NO 1",796,661,0,1457,513,400,0,913,500,0,197,343,244,14,4,3,0,88,1,1,10,0,4,2,2,913
87,"P.P. BHADUI",355,268,0,623,247,158,0,405,400,0,208,110,52,5,3,1,0,7,0,4,3,2,3,1,6,405
88,"P.P. SANJHAVAL",627,561,0,1188,317,300,0,617,612,0,143,171,151,9,6,7,1,110,2,3,5,2,3,1,3,617
89,"P.P. CHAUHATTAR KHUDRA",341,297,0,638,217,193,0,410,397,0,76,113,70,0,1,2,0,132,4,2,6,0,1,0,3,410
90,"P.P. BAGHI SIR",574,455,0,1029,343,226,0,569,450,0,57,187,99,2,2,0,7,180,4,5,9,3,2,2,10,569
91,"P.P. CHATOOR NAGAR",356,279,0,635,166,178,0,344,299,0,23,34,29,1,1,0,5,238,2,1,2,2,0,3,3,344
92,"P.P. DULHINDEEH",534,489,0,1023,351,304,0,655,652,0,91,204,129,7,3,6,4,190,5,4,5,1,3,1,2,655
93,"P.P. RAHMARWA",371,330,0,701,190,153,0,343,42,0,67,61,88,8,2,0,1,95,7,3,2,3,0,1,5,343
94,"P.P. DHANDHARA",607,528,0,1135,428,272,0,700,64,0,123,372,144,30,3,0,2,14,0,1,5,2,2,2,0,700
95,"J.H. SCHOOL NACHAURA",722,638,0,1360,418,325,0,743,716,0,124,222,267,12,4,1,2,56,2,2,11,3,13,5,19,743
96,"P.P. LUXMI NAGAR NORTH BHAG",595,520,1,1116,319,315,0,634,634,0,181,69,137,9,0,3,1,196,4,1,6,5,5,5,12,634
97,"P.P. LUXMI NAGAR SOUTH BHAG",541,455,0,996,252,247,0,499,6,0,65,27,82,5,2,1,1,291,3,2,4,1,4,4,7,499
98,"P.P. VILOHA NORTH BHAG",457,392,0,849,297,212,0,509,114,0,52,162,128,11,4,1,0,133,0,4,7,0,3,3,1,509
99,"P.P. VILOHA SOUTH BHAG",504,445,0,949,328,220,0,548,530,0,33,294,128,13,0,2,0,46,1,3,8,4,3,5,8,548
100,"P.P. SUKHRAMPUR EAST BHAG",457,385,0,842,291,224,0,515,131,0,64,162,60,2,1,2,3,204,4,1,4,2,0,0,6,515
101,"P.P. SUKHRAMPUR WEST BHAG",491,341,0,832,245,174,0,419,390,0,31,110,15,3,3,2,2,239,3,2,3,1,1,1,3,419
102,"P.P. MOHANPUR",801,700,0,1501,494,341,0,835,730,0,375,61,235,6,3,2,1,126,3,2,0,3,7,5,6,835
103,"P.P. TURKAULIYA EAST BHAG",812,617,0,1429,426,326,0,752,700,0,82,200,125,8,2,2,4,288,7,7,8,2,2,4,11,752
104,"P.P. TURKAULIYA WEST BHAG",753,581,0,1334,350,272,0,622,1,0,84,134,115,1,3,1,2,254,4,2,3,6,4,1,8,622
105,"P.P. DEEH SURAT SINGH",871,688,0,1559,523,317,0,840,829,0,209,355,100,15,3,2,3,83,2,10,15,10,9,9,15,840
106,"P.P. NACHAURI",377,310,0,687,244,279,0,523,460,0,169,52,237,7,1,2,2,38,3,2,2,0,1,1,6,523
107,"J.H. SCHOOL CHAMARBOJHHIYA",474,389,0,863,345,232,0,577,577,0,134,109,238,10,6,1,2,54,3,1,3,5,3,3,5,577
108,"P.P. NATHAYEEDEEH EAST BHAG",551,522,0,1073,344,274,0,618,242,0,121,215,181,9,5,1,1,69,1,1,12,0,1,0,1,618
109,"P.P. JAGDISHPUR",551,401,0,952,364,204,0,568,476,0,186,221,121,12,1,2,1,14,0,1,2,0,2,1,4,568
110,"P.P. DIHRUPSINGH",307,258,0,565,197,164,0,361,326,0,143,93,100,6,2,0,0,6,0,1,3,1,2,2,2,361
111,"P.P. MOTIPUR KUDOHA",383,323,0,706,271,181,0,452,377,0,190,94,153,4,0,0,0,1,0,1,3,0,3,2,1,452
112,"P.P. BARHYAPURWA",542,433,0,975,317,268,0,585,584,0,253,122,49,1,2,1,0,140,0,1,5,1,0,2,8,585
113,"P.P. KODRI",690,533,0,1223,407,297,0,704,704,0,84,357,124,17,6,3,2,52,3,4,16,7,6,9,14,704
114,"P.P. PAKDI PATOHA",778,597,0,1375,460,296,0,756,749,0,225,148,229,13,3,2,1,86,6,4,10,2,8,8,11,756
115,"J.H. SCHOOL JANKI NAGAR EAST BHAG",575,446,0,1021,280,185,0,465,460,0,168,37,61,6,1,2,2,158,1,5,6,1,2,3,12,465
116,"J.H. SCHOOL JANKI NAGAR MADHYA BHAG",504,413,0,917,183,129,0,312,302,0,118,54,53,1,2,0,0,75,0,4,1,0,1,1,2,312
117,"J.H. SCHOOL JANKI NAGAR WEST BHAG",800,699,0,1499,445,363,0,808,610,0,180,365,131,5,4,3,4,75,7,1,15,1,3,8,6,808
118,"P.P. MAHRI",626,497,0,1123,341,234,0,575,492,0,172,274,82,3,0,1,1,12,2,2,8,2,4,5,7,575
119,"P.P. BHOJPUR",378,295,0,673,195,125,0,320,14,0,78,177,46,0,0,0,0,7,0,2,4,1,1,0,4,320
120,"P.P. BEERPUR",768,626,0,1394,419,327,0,746,65,0,165,358,154,8,3,2,0,20,3,1,10,3,7,6,6,746
121,"P.P. GOVINDPUR",680,530,0,1210,443,333,0,776,775,0,122,93,399,11,2,1,4,128,2,1,3,0,5,2,3,776
122,"P.P. BIJULIYA",793,658,0,1451,404,262,0,666,661,0,113,207,195,15,3,1,4,95,2,2,5,3,12,6,3,666
123,"J.H. SCHOOL TENGNAHWA",499,417,0,916,291,181,0,472,17,0,76,159,164,10,3,0,2,20,2,1,3,1,5,5,21,472
124,"P.P. KEWALPUR",600,490,1,1091,388,195,0,583,582,0,117,257,163,6,1,1,1,2,1,3,8,3,6,4,10,583
125,"P.P. CHAUKIYA",678,583,1,1262,374,258,0,632,415,0,176,252,114,11,3,1,1,47,6,4,6,1,4,1,5,632
126,"P.P. RAMNAGRA EAST BHAG",522,418,0,940,295,184,0,479,175,0,124,91,86,3,10,2,2,140,2,4,3,1,3,2,6,479
127,"P.P. RAMNAGRA WEST  BHAG",519,420,0,939,314,217,0,531,512,0,159,99,182,6,34,1,2,26,1,3,5,1,7,1,4,531
128,"P.P. JAHANDARIYA",680,532,0,1212,405,328,0,733,1,0,285,153,110,6,5,2,3,129,4,3,8,2,6,7,10,733
129,"P.P. JAMUWARIYA NORTH BHAG",572,418,1,991,270,241,0,511,498,0,141,151,72,2,0,0,1,124,1,1,5,1,1,1,10,511
130,"P.P. JAMUWARIYA SOUTH BHAG",404,375,0,779,228,214,0,442,441,0,149,110,37,1,3,0,3,124,1,2,1,0,1,0,10,442
131,"PANCHYAT BHWAN JHHAUWA",614,467,0,1081,300,200,0,500,427,0,234,112,69,7,1,1,1,58,2,1,2,2,2,3,5,500
132,"J.H. SCHOOL KUDWA",669,514,0,1183,373,254,0,627,620,0,160,179,180,12,3,2,1,57,1,0,9,6,4,4,9,627
133,"P.P. BHOJPUR",604,486,0,1090,300,233,0,533,500,0,140,189,45,6,2,0,3,120,2,5,5,0,4,4,8,533
134,"P.P. BELHASA ACHALPUR",397,343,0,740,243,178,0,421,298,0,105,189,75,2,5,1,1,35,2,0,2,0,3,1,0,421
135,"P.P. HARNAHWA SUSTA",556,482,0,1038,349,249,0,598,597,0,210,170,130,9,1,1,6,47,0,0,3,2,7,2,10,598
136,"P.P. GAURA EAST BHAG",455,401,0,856,303,194,0,497,1,0,63,217,170,5,2,2,1,0,0,3,7,3,9,5,10,497
137,"P.P. GAURA WEST BHAG",448,391,0,839,156,149,0,305,31,0,66,100,50,1,0,0,2,74,1,0,4,2,1,0,4,305
138,"P.P. MANKI EAST BHAG",533,406,0,939,192,312,0,504,504,0,105,122,46,8,3,2,2,202,1,2,5,0,3,2,1,504
139,"P.P. MANKI WEST BHAG",585,507,0,1092,291,241,0,532,532,0,112,250,54,4,3,0,3,81,1,6,5,1,1,6,5,532
140,"J.H. SCHOOL PIPRA ROOM NO 1",591,461,0,1052,266,236,0,502,300,0,62,247,29,3,1,1,2,135,3,4,3,2,2,2,6,502
141,"J.H. SCHOOL PIPRA ROOM NO 2",545,432,0,977,204,186,0,390,198,0,65,144,41,0,2,2,3,123,2,3,1,0,1,0,3,390
142,"J.H. SCHOOL PIPRA ROOM NO 3",347,291,0,638,138,153,0,291,291,0,22,95,52,3,2,1,2,105,0,1,5,1,0,0,2,291
143,"P.P. KOYALKHAR",770,644,0,1414,430,303,0,733,500,0,108,295,190,7,1,1,3,82,4,1,12,2,8,7,12,733
144,"P.P. GULRIHA AHIRAULI ROOM N0 1",489,406,0,895,291,227,0,518,518,0,93,273,107,7,2,1,0,10,1,2,6,1,1,6,8,518
145,"P.P. GULRIHA AHIRAULI EXTRA ROOM",490,353,0,843,283,165,0,448,448,0,71,164,161,8,1,1,2,23,1,1,4,2,1,1,7,448
146,"P.P. GULRIHA AHIRAULI ROOM NO 2",463,331,0,794,254,137,0,391,380,0,167,153,33,4,2,2,2,5,2,1,2,2,2,6,8,391
147,"P.P. SADWAPUR",351,251,0,602,218,131,0,349,349,0,140,113,60,6,2,1,1,8,0,1,1,4,3,2,7,349
148,"P.P. GHOPLAPUR",467,361,0,828,266,117,0,383,383,0,55,282,23,3,4,0,0,6,2,2,2,0,1,0,3,383
149,"P.P. KATHER NORTH BHAG",689,546,0,1235,303,248,0,551,451,0,31,362,88,2,3,0,4,39,0,3,11,2,2,0,4,551
150,"P.P. KATHER SOUTH BHAG",722,492,0,1214,410,241,0,651,390,0,54,378,185,5,0,2,1,7,0,3,11,0,2,1,2,651
151,"P.P. MAJHHAUWA",699,516,0,1215,367,271,0,638,27,0,82,251,201,18,2,1,1,50,1,2,6,3,4,4,12,638
152,"P.P. KUDI",237,180,0,417,115,91,0,206,185,0,17,126,58,2,0,0,1,0,0,0,0,0,0,1,1,206
153,"P.P. ITAYEE",692,578,0,1270,369,261,0,630,598,0,41,259,161,27,8,2,4,78,1,2,10,1,12,10,14,630
154,"P.P. CHAUBEPUR",554,442,0,996,313,241,0,554,554,0,46,325,119,19,4,4,1,7,4,3,6,2,2,6,6,554
155,"P.P. MASZIDIYA",354,309,0,663,193,131,0,324,322,0,52,125,76,2,1,2,0,56,1,1,2,2,1,1,2,324
156,"P.P. VISUNPUR MAHUWA NORTH BHAG",585,493,0,1078,284,174,0,458,310,0,71,168,84,3,0,1,0,112,3,0,2,1,4,5,4,458
157,"P.P. VISUNPUR MAHUWA SOUTH BHAG",583,426,0,1009,247,187,0,434,291,0,49,235,78,11,1,0,1,47,1,1,4,0,2,1,3,434
158,"KANYA P.P. JAITAPUR",729,626,0,1355,479,215,0,694,15,0,215,232,77,7,1,11,3,107,2,2,6,2,17,5,7,694
159,"P.P. PAKDI",680,536,0,1216,429,276,0,705,705,0,228,267,101,8,3,2,7,53,3,3,6,2,5,1,16,705
160,"P.P. SINGH NATH",481,363,0,844,242,150,0,392,306,0,72,130,103,3,0,1,0,67,2,1,1,1,6,0,5,392
161,"P.P. NAOBASTA KALA",427,328,0,755,251,161,0,412,312,0,91,200,99,2,1,1,1,4,0,0,2,3,3,1,4,412
162,"P.P. GANWARIYA",694,513,0,1207,335,261,0,596,580,0,141,143,168,18,6,0,2,84,2,5,11,4,4,1,7,596
163,"P.P. TRILOKPUR",646,445,0,1091,284,290,0,574,574,0,129,68,40,0,4,0,4,317,2,3,4,1,0,0,2,574
164,"P.P. BENI NAGAR",652,489,0,1141,445,208,0,653,4,0,156,151,250,12,5,1,1,19,4,4,8,12,7,7,16,653
165,"P.P. CHIVTIHWA",581,432,0,1013,333,264,0,597,10,0,195,82,225,7,3,2,2,67,1,2,3,2,3,1,2,597
166,"P.P. RATANPUR",774,675,0,1449,512,440,0,952,952,0,133,383,274,22,4,4,4,55,1,8,21,8,11,8,16,952
167,"P.P. VIJAI NAGAR  NORTH BHAG",523,409,0,932,271,231,0,502,350,0,156,134,104,6,2,0,3,80,1,1,5,1,1,0,8,502
168,"P.P. VIJAI NAGAR  SOUTH BHAG",554,457,1,1012,277,227,0,504,76,0,126,179,90,16,3,0,0,55,2,4,6,1,2,6,14,504
169,"P.P. BHAINSAHWA  EAST BHAG",585,518,0,1103,344,254,0,598,596,0,111,272,138,7,6,0,1,36,1,5,5,5,4,2,5,598
170,"P.P. BHAINSAHWA  WEST BHAG",532,455,0,987,260,238,0,498,398,0,143,214,100,3,0,2,0,10,2,3,5,5,2,1,8,498
171,"P.P. BASANTPUR  NORTH BHAG",628,498,0,1126,278,238,0,516,514,0,127,173,148,3,2,2,2,38,0,1,7,0,4,0,9,516
172,"P.P. BASANTPUR EXTRA ROOM",455,386,0,841,225,199,0,424,321,0,102,149,109,5,1,0,0,44,0,1,5,2,1,1,4,424
173,"P.P. BASANTPUR SOUTH BHAG",374,318,0,692,138,92,0,230,228,0,49,62,74,4,0,0,1,37,0,1,2,0,0,0,0,230
174,"J.H.SCHOOL MADHYA NAGAR",818,636,0,1454,412,349,0,761,11,0,280,258,172,1,0,1,0,18,0,1,4,3,7,4,12,761
175,"P.P. SEMRAHNA ROOM NO 1",666,591,0,1257,317,301,0,618,609,0,114,209,115,5,1,0,0,153,1,0,7,0,4,0,9,618
176,"P.P. SEMRAHNA ROOM NO 2",867,721,0,1588,372,278,0,650,648,0,82,237,125,2,2,1,4,172,1,4,9,1,2,2,6,650
177,"P.P. GANWARIYA BAGULAHA",664,556,0,1220,362,283,0,645,363,0,167,214,101,9,3,0,3,126,0,1,5,4,4,3,5,645
178,"KISAN J.H.SCHOOL SONHATI",804,735,0,1539,495,255,0,750,644,0,155,206,158,14,3,4,6,180,1,4,10,0,3,3,3,750
179,"P.P. AURAHIYA  NORTH BHAG",728,590,0,1318,381,389,0,770,770,0,123,247,39,9,1,3,2,323,5,7,4,1,1,1,4,770
180,"P.P. AURAHIYA SOUTH BHAG",739,629,0,1368,347,318,0,665,661,0,108,120,125,9,1,2,3,263,5,6,8,1,3,5,6,665
181,"P.P. DHAWAYEE",421,329,0,750,230,179,0,409,42,0,65,201,36,2,3,0,0,82,2,3,5,3,2,3,2,409
