"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - IMRAN MASOOD","2 - JAGDISH SINGH RANA","3 - RAGHAV LAKHANPAL","4 - SHAZAN MASOOD URF SHADAN MASOOD","5 - YOGESH KUMAR","6 - RATAN SINGH","7 - RAJENDER KUMAR","8 - SHAHANAVAJ","9 - SHIV KUMAR","10 - MOHD. FIROZ AFTAB","11 - RAGHUVEER SINGH BODH","12 - CP VERMA","13 - SESHRAJ","14 - HANSRAJ SAINI","15 - None of the Above","Total Votes Secured"
11,"ISHAT UL QURAAN MADRSA INDRACHOWK KAMRANO 4, INDRACHOWK",771,593,0,1364,449,304,0,753,600,0,698,10,3,35,0,0,0,1,1,0,0,0,0,1,4,753
12,"ISHAT UL QURAAN MADRSA INDRACHOWK KAMRANO 3, INDRACHOWK",590,405,0,995,355,220,0,575,561,0,523,4,1,37,0,0,1,0,0,0,0,1,0,1,7,575
13,"ISHAT UL QURAAN MADRSA INDRACHOWK KAMRANO 5, INDRACHOWK",522,410,0,932,370,312,0,682,682,0,631,4,6,35,1,0,0,0,0,0,0,0,1,0,4,682
14,"AYESHA MODEL PUBLIC SCHOOL KAMRA NO 1, KAMELA COLONY",825,704,0,1529,538,402,0,940,930,0,880,5,4,37,1,0,3,0,1,0,1,0,0,2,6,940
15,"AYESHA MODEL PUBLIC SCHOOL KAMRA NO 6 ,KAMELA COLONY",647,519,0,1166,494,360,0,854,850,0,794,7,7,27,1,1,2,0,1,0,0,0,2,2,10,854
16,"AYESHA MODEL PUBLIC SCHOOL KAMRA NO 3, KAMELA COLONY",459,387,0,846,335,267,0,602,602,0,543,8,8,30,3,1,0,1,0,0,1,1,2,1,3,602
17,"AYESHA MODEL PUBLIC SCHOOL BARAMDA, KAMELA COLONY",693,526,0,1219,330,256,0,586,580,0,177,32,329,36,2,1,0,1,1,0,0,2,1,1,3,586
18,"PURVE MADHYAMIK VIDYALA KAMLA COLONY KAMRA NO 1, KAMELA COLONY",407,337,0,744,322,258,0,580,580,0,530,1,1,45,1,0,0,0,0,0,0,0,0,0,2,580
19,"PURVE MADHYAMIK VIDYALA KAMLA COLONY KAMRA NO 2 , KAMELA COLONY",714,583,0,1297,549,321,0,870,684,0,826,6,1,35,1,0,0,0,0,1,0,0,0,0,0,870
20,"PURVE MADHYAMIK VIDYALA KAMLA COLONY KAMRA NO 3,  KAMELA COLONY",765,579,0,1344,590,429,0,1019,837,0,932,11,9,51,1,0,1,0,1,0,1,0,4,1,7,1019
21,"PURVE MADHYAMIK VIDYALA KAMLA COLONY KAMRA NO 4 , KAMELA COLONY",535,452,0,987,390,307,0,697,697,0,644,9,7,25,1,0,1,0,0,0,1,0,1,1,7,697
22,"PURVE MADHYAMIK VIDYALA KAMLA COLONY KAMRA NO 5 , KAMELA COLONY",534,432,0,966,429,316,0,745,745,0,669,3,5,56,1,1,0,1,0,1,0,1,3,1,3,745
23,"PURV MADHYAMIK VIDYALA KAMLA COLONY KAMRA NO 7 , KAMELA COLONY",556,445,0,1001,397,329,0,726,541,0,682,5,1,28,0,0,0,0,0,0,0,1,1,1,7,726
24,"PURVE MADHYAMIK VIDYALA KAMLA COLONY KAMRA NO 8 , KAMELA COLONY",757,577,0,1334,574,392,0,966,964,0,909,5,3,33,3,0,0,0,0,0,0,2,1,0,10,966
25,"PRATHMIK VIDYALA KAMLA COLONY NAI BUILDING KAMRA NO 6 , KAMELA COLONY",709,542,0,1251,519,360,0,879,768,0,833,6,6,15,0,0,0,0,0,0,0,1,2,4,12,879
26,"PRATHMIK VIDYALA KAMLA COLONY NAI BUILDING CHANEL WALA KAMRA , KAMELA COLONY",271,239,0,510,204,172,0,376,370,0,360,3,2,5,0,0,0,0,0,1,1,0,0,1,3,376
27,"KARYALYA NIRAYAT NIGAM KAMRA NO. 1,  MANDI SAMITI ROAD SAHARANPUR",905,698,0,1603,613,488,0,1101,1101,0,1024,6,10,51,0,0,0,0,0,1,1,2,4,1,1,1101
28,"KARYALYA NIRAYAT NIGAM KAMRA NO. 2 , MANDI SAMITI ROAD SAHARANPUR",943,741,0,1684,677,461,0,1138,926,0,1047,7,9,59,3,1,0,1,1,0,0,1,0,2,7,1138
29,"KARYALYA NIRAYAT NIGAM KAMRA NO. 3 , MANDI SAMITI ROAD SAHARANPUR",858,688,0,1546,600,425,0,1025,985,0,968,5,7,36,2,0,0,0,0,1,0,1,0,2,3,1025
30,"KRISHI UTPADAN MANDI SAMITI UTTARI BHAG DUKAAN NO-B 21 , MANDI SAMITI ROAD SAHARANPUR",636,482,0,1118,430,348,0,778,755,0,716,2,9,42,2,0,1,0,2,1,0,1,0,0,2,778
31,"KRISHI UTPADAN MANDI SAMITI UTTARI BHAG DUKAAN NO-B 22 , MANDI SAMITI ROAD SAHARANPUR",467,371,0,838,357,285,0,642,642,0,604,2,6,25,0,0,0,1,1,1,0,0,0,0,2,642
32,"KRISHI UTPADAN MANDI SAMITI PURVI BHAG  1 ,MANDI SAMITI ROAD SAHARANPUR",582,480,1,1063,456,343,0,799,794,0,310,3,470,6,3,0,0,0,0,2,0,0,0,0,5,799
33,"KRISHI UTPADAN MANDI SAMITI PURVI BHAG  2, MANDI SAMITI ROAD SAHARANPUR",418,385,0,803,352,312,0,664,650,0,123,5,521,9,4,0,1,0,0,1,0,0,0,0,0,664
34,"KRISHI UTPADAN MANDI SAMITI PURVI BHAG  3 ,MANDI SAMITI ROAD SAHARANPUR",611,533,0,1144,505,425,0,930,888,0,95,13,803,9,2,0,1,0,0,1,0,1,0,3,2,930
35,"KRISHI UTPADAN MANDI SAMITI PASHCHMI WIBHAG KAMRA NO 4 ,MANDI SAMITI ROAD SAHARANPUR",513,413,0,926,376,312,0,688,687,0,515,13,127,23,4,0,0,0,0,0,0,0,0,1,5,688
36,"JAI NARAYAN KHEMKA MUNNA LAL DEGREE COLLAGE MADHYA BHAG KAMRA NO 7 ,CHILKANA ROAD",559,418,0,977,420,315,0,735,605,0,687,7,8,25,1,1,0,0,1,1,0,0,0,0,4,735
37,"JAI NARAYAN KHEMKA MUNNA LAL DEGREE COLLAGE UTTARI BHAG KAMRA NO 5 ,CHILKANA ROAD",654,537,0,1191,476,442,0,918,616,0,812,8,25,60,1,0,1,0,1,0,1,0,1,0,8,918
38,"JAI NARAYAN KHEMKA MUNNA LAL DEGREE COLLAGE KAMRA NO 6 ,CHILKANA ROAD",851,623,0,1474,582,414,0,996,900,0,909,8,4,64,3,0,1,1,0,0,1,0,1,0,4,996
39,"JAI NARAYAN KHEMKA MUNNA LAL DEGREE COLLAGE DAKSHANI BHAG KAMRA NO 6 ,CHILKANA ROAD",489,351,0,840,314,223,0,537,524,0,438,15,45,33,0,0,0,0,0,0,0,2,2,1,1,537
40,"JAI NARAYAN KHEMKA MUNNA LAL DEGREE COLLAGE DAKSHNI BHAG KAMRA NO 6A ,CHILKANA ROAD",763,556,0,1319,556,417,0,973,973,0,906,6,18,30,3,1,0,1,0,0,0,0,0,0,8,973
41,"PRATHMIK VIDHALAYA SHIRAAZ COLONY KAMRA NO. 1 ,SHIRAAZ COLONY",910,675,0,1585,620,499,0,1119,840,0,1037,8,4,58,2,0,0,0,0,0,0,0,0,2,8,1119
42,"PRATHMIK VIDHALAYA SHIRAAZ COLONY KAMRA NO. 2 ,SHIRAAZ COLONY",365,311,0,676,289,265,0,554,424,0,506,1,8,22,1,0,0,0,0,1,1,0,2,0,12,554
43,"PRATHMIK VIDHALAYA SHIRAAZ COLONY KAMRA NO. 6 ,SHIRAAZ COLONY",809,589,0,1398,635,485,0,1120,909,0,1023,10,3,67,1,0,0,0,0,0,0,0,1,3,12,1120
44,"PRATHMIK VIDHALAYA SHIRAAZ COLONY KAMRA NO. 3 ,SHIRAAZ COLONY",754,535,0,1289,548,429,0,977,976,0,867,4,9,74,1,0,0,0,0,2,1,0,3,3,13,977
45,"PRATHMIK VIDHALAYA SHIRAAZ COLONY KAMRA NO. 4 ,SHIRAAZ COLONY",748,567,1,1316,546,447,0,993,993,0,885,14,6,70,1,0,0,0,1,0,1,0,2,1,12,993
46,"PRATHMIK VIDHALAYA SHIRAAZ COLONY KAMRA NO. 5 ,SHIRAAZ COLONY",400,303,0,703,295,236,0,531,529,0,480,3,3,36,1,1,0,0,1,0,0,1,1,0,4,531
47,"JAMBU VIDHYALYA JAIN INTER COLLEGE PURVI BHAG KAMRA NO 1 KALSIYA ROAD",533,431,0,964,418,346,0,764,761,0,693,12,5,47,0,0,1,0,0,0,0,0,0,0,6,764
48,"JAMBU VIDHALYA JAIN INTER COLLEGE MADHYA BHAG KAMRA NO 1 , KALSIYA ROAD",615,490,0,1105,493,357,0,850,800,0,752,6,27,53,1,0,0,0,0,0,0,0,1,3,7,850
49,"JAMBU VIDHYALYA JAIN INTER COLLEGE KAMRA NO 15, KALSIYA ROAD",544,460,1,1005,403,341,0,744,702,0,13,92,620,6,0,0,0,0,0,1,0,1,0,11,0,744
50,"JAMBU VIDHYALYA JAIN INTER COLLEGE UTTARI BHAG KAMRA NO 1 , KALSIYA ROAD",897,669,1,1567,577,448,0,1025,1014,0,933,4,36,28,0,2,2,1,1,0,1,2,3,1,11,1025
51,"JAMBU VIDHYALYA JAIN INTER COLLEGE UTTARI BHAG KAMRA NO 2 KALSIYA ROAD",565,414,0,979,348,269,0,617,495,0,574,2,3,30,0,0,0,1,0,0,0,0,0,1,6,617
52,"JAMBU VIDHYALYA JAIN INTER COLLEGE UTTARI BHAG KAMRA NO 6 ,KALSIYA ROAD",564,400,0,964,355,262,0,617,617,0,565,4,1,39,1,0,0,1,0,0,0,0,1,1,4,617
53,"HINDU ANGLO VADIK (HAV) INTER COLLEGE  UNCHI KAKSAYE PURVI BHAG KAMRA NO 3 ,KALSIYA ROAD",651,557,0,1208,514,392,0,906,906,0,654,40,21,179,1,0,1,1,0,0,0,0,0,1,8,906
54,"HINDU ANGLO VADIK (HAV) INTER COLLEGE  KAMRA NO 4 ,KALSIYA ROAD",399,343,0,742,313,245,0,558,555,0,187,200,160,7,0,0,0,0,0,0,0,0,2,2,0,558
55,"HINDU ANGLO VADIK (HAV) INTER COLLEGE  KAMRA NO 5 ,KALSIYA ROAD",691,610,0,1301,505,424,0,929,809,0,35,11,844,16,6,0,0,1,4,0,0,1,5,2,4,929
56,"H.A.V. INTER COLLAGE KALSIYA ROAD KAMARA NO 6 ,KALSIYA ROAD",801,616,0,1417,572,437,0,1009,998,0,978,2,1,19,3,0,1,0,0,1,0,0,0,0,4,1009
57,"HINDU ANGLO VADIK (HAV) INTER COLLEGE  KALSIYA ROAD KAMRA NO 7  ,KALSIYA ROAD",492,410,0,902,358,282,0,640,585,0,590,1,3,44,0,0,0,0,0,0,0,0,0,1,1,640
58,"PRATHMIK VIDHALAYA PURVI BHAG (MUNICIPAL COLONY) KAMRA NO. 1 ,MATAGARH",495,442,0,937,427,368,0,795,494,0,725,50,2,7,0,0,0,0,0,0,1,0,1,0,9,795
59,"PRATHMIK VIDHALAYA PURVI BHAG (MUNICIPAL COLONY) KAMRA NO. 2 ,MATAGARH",358,309,0,667,293,237,0,530,530,0,471,38,9,2,2,0,0,0,0,0,1,0,1,0,6,530
60,"RAMKISHAN PARAM HANSH VIDHYALA RAIWALA UTTARI BHAG , RAIWALA",594,556,1,1151,528,385,0,913,800,0,280,7,602,8,5,0,1,0,1,0,1,0,4,0,4,913
61,"RAMKISHAN PARAM HANSH VIDHYALA RAIWALA KAMRA NO 23, RAIWALA",565,502,0,1067,519,376,0,895,895,0,548,3,284,47,0,0,0,1,2,0,0,0,2,0,8,895
62,"RAMKISHAN PARAM HANSH VIDHYALA RAIWALA DAKSHNI BHAG ,RAIWALA",370,352,0,722,324,257,0,581,581,0,26,3,540,1,3,0,0,0,0,0,0,0,0,1,7,581
63,"SWAMI TURIYANAND PURVE MADHYMIK VIDHAYALA KAMRA NO 8 ,MANDI SAMITI ROAD",504,407,0,911,382,286,0,668,468,0,53,8,588,12,0,0,1,0,2,0,0,0,1,1,2,668
64,"SWAMI TURIYANAND PURVE MADHYMIK VIDHAYALA KAMRA NO 9 ,MANDI SAMITI ROAD",374,375,0,749,285,256,0,541,537,0,23,3,506,2,3,0,0,1,0,0,0,2,0,0,1,541
65,"SWAMI TURIYANAND PURVE MADHYMIK VIDHAYALA KAMRA NO 7 ,MANDI SAMITI ROAD",548,528,0,1076,488,402,0,890,890,0,78,76,718,7,7,0,0,0,0,0,0,0,0,2,2,890
66,"SWAMI TURIYANAND PURVE MADHYMIK VIDHAYALA KAMRA NO 3 ,MANDI SAMITI ROAD",599,514,1,1114,474,426,0,900,687,0,9,10,870,1,6,0,0,0,0,0,0,0,2,0,2,900
67,"SWAMI TURIYANAND PURVE MADHYMIK VIDHAYALA KAMRA NO 4 ,MANDI SAMITI ROAD",462,400,0,862,369,274,0,643,278,0,250,5,366,15,1,1,0,0,3,0,0,0,0,1,1,643
68,"SARSYYAD MONTESHRI HIGH SCHOOL KAMRA NO 1 ,SHAH BHELOL",399,310,0,709,305,234,0,539,520,0,487,3,4,31,12,0,0,0,0,0,0,1,0,0,1,539
69,"SARSYYAD MONTESHRI HIGH SCHOOL KAMRA NO 2  ,SHAH BHELOL",322,264,0,586,219,153,0,372,240,0,345,3,3,18,0,1,0,0,0,0,1,0,0,0,1,372
70,"SARSYYAD MONTESHRI HIGH SCHOOL KAMRA NO 3  ,SHAH BHELOL",543,442,0,985,417,308,0,725,723,0,656,17,5,43,1,0,0,0,0,0,0,0,2,0,1,725
71,"PRATHMIK VIDHAYALA KAMRA HALL, MEHNDI SARAI",633,451,0,1084,523,331,0,854,851,0,772,14,5,54,5,0,0,0,0,0,0,1,0,0,3,854
72,"MADRASA SAIFI ISALAYUL MUSLIMIN KAMRA NO 1 , AALI KA CHOWK",377,328,0,705,325,212,0,537,528,0,510,9,2,10,5,0,0,0,0,0,0,0,0,0,1,537
73,"MADRASA SAIFI ISALAYUL MUSLIMIN KAMRA NO 2 , AALI KA CHOWK",757,642,1,1400,545,397,0,942,942,0,863,3,24,44,3,0,0,0,0,0,0,0,1,0,4,942
74,"MADRASA FAZULULUM KAMRA NO 1, KHJURTALA",610,528,0,1138,470,330,0,800,600,0,629,3,123,32,2,0,0,0,0,1,0,1,1,1,7,800
75,"MADRASA FAZULULUM KAMRA NO 2, KHJURTALA",395,297,0,692,335,206,0,541,343,0,501,16,2,19,3,0,0,0,0,0,0,0,0,0,0,541
76,"ISALAMIYA INTER COLLEGE UNCHI KACHHAYE MADHYA BHAAG KAMRA NO 23, EIDGHA ROAD",782,622,0,1404,546,384,0,930,890,0,829,7,8,74,4,0,0,0,1,0,0,0,0,0,7,930
77,"ISALAMIYA INTER COLLEGE UNCHI KACHHAYE MADHYA BHAAG KAMRANO 11, EIDGHA ROAD",435,367,0,802,334,243,0,577,576,0,530,3,2,35,1,0,0,0,1,1,1,0,0,0,3,577
78,"ISALAMIYA INTER COLLEGE UNCHI KACHHAYE MADHYA BHAAG KAMRA NO 22, EIDGHA ROAD",643,528,0,1171,448,346,0,794,752,0,660,13,25,94,1,0,0,0,0,0,0,1,0,0,0,794
79,"ISALAMIYA INTER COLLEGE UNCHI KACHHAYE DAKSHNI PURVI BHAAG KAMRA NO 30 ,EIDGHA ROAD",698,575,0,1273,544,392,0,936,935,0,862,10,2,55,4,0,0,0,0,0,0,0,0,0,3,936
80,"ISALAMIYA INTER COLLEGE UNCHI KACHHAYE DAKSHNI PURVI BHAAG KAMRA NO 20 ,EIDGHA ROAD",484,413,0,897,417,340,0,757,655,0,662,11,77,1,0,0,0,0,0,0,1,0,1,1,3,757
81,"JAMNA DAAS ARYA KANYA HIGHER SECONDRY SCHOOL PURANI MANDI KAMRA NO 5  ,KHAKROBAAN AABADI",600,534,1,1135,409,287,0,696,577,0,525,10,137,14,5,0,0,1,0,0,1,1,1,0,1,696
82,"JAMNA DAAS ARYA KANYA HIGHER SECONDRY SCHOOL PURANI MANDI KAMRA NO 4 ,KHAKROBAAN AABADI",402,361,0,763,319,248,0,567,557,0,166,22,357,12,6,0,0,0,0,0,0,0,2,1,1,567
83,"JAMNA DAAS ARYA KANYA HIGHER SECONDRY SCHOOL PURANI MANDI KAMRA NO 6 OFFICE , KHAKROBAAN AABADI",338,304,0,642,274,230,0,504,484,0,24,34,434,2,5,1,0,0,0,0,1,1,0,1,1,504
84,"JAMNA DAAS ARYA KANYA HIGHER SECONDRY SCHOOL PURANI MANDI KAMRA NO 8,  KHAKROBAAN AABADI",364,330,0,694,289,263,0,552,552,0,373,7,147,20,1,0,0,0,0,0,1,2,0,1,0,552
85,"MAHMNA MANVIYA PRATHMIK VIDHYALA UTTRU BHAAG KAMRA NO 1 ,SHIVPURI MANDI",609,453,0,1062,482,403,0,885,816,0,818,10,10,39,2,0,0,0,0,1,0,1,0,0,4,885
86,"MAHMNA MANVIYA PRATHMIK VIDHYALA UTTRA KASH SE MILA HUYA DACHAD BHAAG K KAMRA NO 2 ,SHIVPURI MANDI",736,552,0,1288,517,350,0,867,867,0,830,9,16,7,0,0,0,0,0,0,1,2,0,0,2,867
87,"MAHMNA MANVIYA PRATHMIK VIDHYALA DACHDI KASH SE MILA HUYA  BHAAG  3, SHIVPURI MANDI",665,579,0,1244,493,336,0,829,700,0,776,16,6,26,2,0,0,0,1,0,0,2,0,0,0,829
88,"MAHMNA MANVIYA PRATHMIK VIDHYALA DACHDI  BHAAG  KAKSH NO 5, SHIVPURI MANDI",345,299,0,644,264,187,0,451,443,0,428,3,3,13,2,0,0,0,0,0,0,0,1,0,1,451
89,"GURU NANAK (BOYS) INTER COLLEGE UTTRI BHAAG KAMRA NO 7, AMBALA ROAD",580,568,1,1149,472,434,0,906,903,0,25,27,834,5,9,1,0,0,0,0,1,0,1,0,3,906
90,"GURU NANAK BOYS INTER COLLEGE UTTRI BHAAG KAMRA NO 8, AMBALA ROAD",692,610,0,1302,555,458,0,1013,900,0,43,19,919,11,16,0,0,1,0,0,0,0,1,1,2,1013
91,"GURU NANAK BOYS INTER COLLEGE UTTRI BHAAG KAMRA NO 11 ,AMBALA ROAD",671,582,0,1253,520,436,0,956,956,0,68,21,841,9,4,0,0,0,3,0,0,1,4,1,4,956
92,"GURU NANAK BOYS INTER COLLEGE  ROOM NO 9 ,AMBALA ROAD",441,374,0,815,299,241,0,540,540,0,163,40,312,13,4,0,1,0,0,0,1,0,3,1,2,540
93,"WALE FARE CENTER PURVI BHAG, LABOUR COLONY",696,649,0,1345,482,421,0,903,893,0,70,41,760,15,7,1,0,0,1,0,1,0,2,0,5,903
94,"WALE FARE CENTER DASHDIBHAAG, LABOUR COLONY",436,406,0,842,259,273,0,532,532,0,45,11,442,13,6,0,0,0,4,1,1,2,3,2,2,532
95,"WALE FARE CENTER UTTRIBHAAG, LABOUR COLONY",597,514,0,1111,431,331,0,762,756,0,28,32,668,6,5,2,2,0,3,0,1,2,3,6,4,762
96,"PARISHADIYA PRATHMIK VIDHAYALA LABOUR COLONI PURVI BHAAG ,LABOUR COLONY",644,545,1,1190,397,333,0,730,730,0,71,25,605,6,10,2,0,1,2,0,1,0,3,1,3,730
97,"SHRI SWAROOPNANAD (S.S.N) PUBLIC SCHOOL KAMRA NO 1 ,RADHA KRISHAN COLONY",411,298,0,709,264,200,0,464,445,0,21,43,381,4,0,1,0,2,2,1,0,0,6,0,3,464
98,"SHRI SWAROOPNANAD (S.S.N) PUBLIC SCHOOL KAMRA NO 3 ,RADHA KRISHAN COLONY",614,500,0,1114,417,318,0,735,720,0,36,44,604,27,1,0,2,0,1,1,2,2,7,2,6,735
99,"SHRI SWAROOPNANAD (S.S.N) PUBLIC SCHOOL KAMRA NO 2, RADHA KRISHAN COLONY",465,384,0,849,300,252,0,552,552,0,42,39,417,34,1,1,1,0,3,0,2,2,2,5,3,552
100,"GOLDI MANTESRY PU.MA.V. RADHA KRISHAN COLONY KAMRA NO 1, RADHA KRISHAN COLONY",980,812,1,1793,661,499,0,1160,962,0,111,99,882,22,6,0,1,3,3,2,2,3,7,14,5,1160
101,"SUGAR MIL MODERN SCHOOL CHANDO BAI COLONI K SAMNE DASHRI  BHAAG ,RADHA KRISHAN COLONY",375,333,0,708,222,216,0,438,438,0,34,41,352,5,0,0,0,0,1,0,0,1,1,1,2,438
102,"SUGAR MIL MODERN SCHOOL CHANDO BAI COLONI K SAMNE MADHYA BHAAG ,SUGER MILL",561,456,0,1017,368,298,0,666,613,0,31,110,482,20,4,1,1,0,4,0,1,2,2,2,6,666
103,"SUGAR MIL MODERN SCHOOL CHANDO BAI COLONI K SAMNE PURVA BHAAG 1 ,SUGER MILL",739,635,0,1374,528,434,0,962,810,0,62,41,823,8,6,1,1,1,0,1,1,3,5,5,4,962
104,"SUGAR MIL MODERN SCHOOL CHANDO BAI COLONI K SAMNE PURVA BHAAG 2 ,SUGER MILL",284,256,0,540,196,168,0,364,234,0,19,44,293,2,3,0,1,0,0,0,0,0,0,1,1,364
105,"SUGAR MIL MODERN SCHOOL CHANDO BAI COLONI K SAMNE MADHYA BHAG PASHCHMI BHAAG 2 ,SUGER MILL",339,298,0,637,215,175,0,390,387,0,16,23,339,6,0,0,0,0,1,0,1,1,1,1,1,390
106,"SUGAR MIL MODERN SCHOOL CHANDO BAI COLONI K SAMNE PURVI BHAG 1 ,SUGER MILL",626,580,0,1206,475,412,0,887,887,0,35,386,431,9,2,1,0,1,2,2,0,1,5,7,5,887
107,"MAHAVIR PANCHAYTI DHARAMSALA KOYLA GATE KAMRA NO 1, VISVAKARMA CHOCK",698,594,0,1292,443,356,0,799,684,0,48,51,678,11,5,0,0,0,3,0,2,0,0,0,1,799
108,"MAHAVIR PANCHAYTI DHARAMSALA KOYLA GATE KAMRA NO 2, VISVAKARMA CHOCK",487,378,0,865,357,269,0,626,622,0,11,22,568,4,5,0,1,1,2,0,0,1,4,3,4,626
109,"AMAR JYOTI PURVE MADHYAMIK VIDHALAYA KAMRA NO 1 ,SHARDA NAGAR",514,418,0,932,377,283,0,660,610,0,31,281,320,11,4,0,1,0,4,0,0,2,4,0,2,660
110,"AMAR JYOTI PURVE MADHYAMIK VIDHALAYA KAMRA NO 2 ,SHARDA NAGAR",605,505,0,1110,336,318,0,654,644,0,50,44,530,7,5,1,2,0,8,0,0,2,3,0,2,654
111,"AMAR JYOTI PURVE MADHYAMIK VIDHALAYA KAMRA NO 3 ,SHARDA NAGAR",657,572,0,1229,430,382,0,812,812,0,35,38,715,5,4,3,0,1,2,0,2,1,0,1,5,812
112,"DIVINE LIGHT PUBLIC SCHOOL KAMRA NO 1 ,SHARDA NAGAR",759,629,1,1389,464,398,0,862,862,0,43,42,751,6,12,1,1,0,0,0,1,0,0,1,4,862
113,"DIVINE LIGHT PUBLIC SCHOOL KAMRA NO 2 ,SHARDA NAGAR",600,523,0,1123,319,273,0,592,587,0,32,36,510,2,3,0,0,0,1,0,0,1,3,0,4,592
114,"DIVINE LIGHT PUBLIC SCHOOL KAMRA NO 3 ,SHARDA NAGAR",550,502,1,1053,358,323,0,681,680,0,40,18,607,7,5,0,0,0,1,0,0,2,0,0,1,681
115,"BAAL SUDHTA MORDERN SCHOOL (B.S.M.)  KAMRA NO 3 , NEW SHARDA NAGAR",762,626,0,1388,554,394,0,948,941,0,110,89,701,26,8,1,0,0,0,0,1,2,2,2,6,948
116,"BAAL SUDHTA MORDERN SCHOOL (B.S.M.)   KAMRA NO 5 , NEW SHARDA NAGAR",898,703,1,1602,537,373,0,910,515,0,158,48,664,13,7,0,0,1,3,0,0,1,10,1,4,910
117,"BAAL SUDHTA MORDERN SCHOOL (B.S.M.)   KAMRA NO 6 , NEW SHARDA NAGAR",416,343,0,759,259,199,0,458,423,0,18,11,413,10,2,0,0,0,0,0,1,0,0,1,2,458
118,"TEGORE VIDHYA PITH INTER COLLEGE KAMRA NO 1 ,KHALSI LINE",510,408,0,918,311,231,0,542,542,0,75,10,442,5,5,0,0,0,1,0,0,1,1,1,1,542
119,"TEGORE VIDHYA PITH INTER COLLEGE KAMRA NO 2  ,KHALSI LINE",462,388,0,850,304,234,0,538,528,0,81,19,412,1,16,0,2,0,2,0,0,0,1,0,4,538
120,"TEGORE VIDHYA PITH INTER COLLEGE KAMRA NO 3  ,KHALSI LINE",814,712,0,1526,468,417,0,885,670,0,44,37,783,9,2,0,1,2,2,0,1,1,0,1,2,885
121,"TEGORE VIDHYA PITH INTER COLLEGE KAMRA NO 4  ,KHALSI LINE",476,416,0,892,259,197,0,456,454,0,46,48,354,3,3,0,0,0,1,0,0,0,0,0,1,456
122,"TEGORE VIDHYA PITH INTER COLLEGE KAMRA NO 6  ,KHALSI LINE",456,373,0,829,269,219,0,488,463,0,37,32,403,1,8,1,0,0,2,0,0,0,2,0,2,488
