"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BHAL CHANDRA YADAV","2 - BHISM SHANKAR ALIAS KUSHAL TIWARI","3 - ROHIT KUMAR PANDEY","4 - SHARAD TRIPATHI","5 - AFTAB ALAM KHAN","6 - JANTRI LAL CHAUHAN","7 - JYOTI SINGH","8 - PREM PRAKASH","9 - SANT SIROMANI BABOOLAL YADAV MAHARAJ JI","10 - MOHAMMAD ALI","11 - RAVIKANT","12 - RAJMANI","13 - RAJARAM","14 - RAJENDRA KUMAR","15 - LOTAN URF LAUTAN PRASAD","16 - SHABBEER HUSEN","17 - APARNA","18 - AMIT","19 - KRIPANARAYAN RAI","20 - KAILASH NATH BELDAR","21 - JAIYANTRI PRASAD","22 - MOHAMMAD IRFAN","23 - SHAYAM LAL","24 - SUBODH CHANDRA","25 - SURENDRA KUMAR CHAUDHARY","26 - None of the Above","Total Votes Secured"
16,"J.H.S. KOHARIYAWA",453,412,0,865,170,208,0,378,378,0,103,14,2,57,2,1,0,0,2,1,0,0,184,1,1,3,0,0,0,1,0,0,0,3,2,1,378
17,"J.H.S. KOHARIYAWA",413,423,0,836,177,245,0,422,422,0,52,155,2,47,3,0,1,0,0,0,0,1,152,1,1,2,0,1,1,0,0,0,1,1,0,1,422
18,"J.H.S. KOHARIYAWA",384,338,0,722,163,187,0,350,55,0,54,34,1,6,0,0,0,0,0,0,0,0,244,1,1,2,2,0,1,1,2,0,0,0,0,1,350
19,"P.S. PARSOHIYA",163,146,0,309,85,76,0,161,125,0,5,26,2,118,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,2,161
20,"P.S. PARSOHIYA",416,337,0,753,172,202,0,374,374,0,125,94,9,121,2,1,0,1,1,0,0,1,10,0,2,1,1,0,0,2,0,0,0,1,1,1,374
21,"P.S. KANJA",546,455,0,1001,259,292,0,551,11,0,203,78,8,103,3,2,0,2,1,3,0,0,142,1,0,0,0,1,0,1,2,0,0,1,0,0,551
22,"P.S. PIPRA GOVIND",602,484,0,1086,320,335,0,655,655,0,15,142,14,238,3,1,3,3,3,3,6,4,192,0,1,1,0,4,2,1,1,0,1,6,9,2,655
23,"P.S. DHUSURA",222,173,0,395,108,88,0,196,196,0,4,86,8,90,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,196
24,"P.S. DHUSURA",472,419,0,891,192,265,0,457,457,0,40,86,7,132,0,0,1,1,1,2,1,1,179,0,0,0,0,0,0,0,0,1,0,0,4,1,457
25,"P.S. BHAGURA AHIRANI",571,447,1,1019,279,253,0,532,230,0,24,116,13,286,3,0,0,0,4,1,0,4,45,4,1,7,1,0,0,0,1,5,1,2,10,4,532
26,"P.S. SISWA DAKHILI",742,566,0,1308,299,314,0,613,613,0,179,128,7,15,1,0,0,2,1,2,1,1,256,5,0,3,1,1,0,0,3,1,1,3,1,1,613
27,"P.S. SISWA DAKHILI",330,301,0,631,134,153,0,287,281,0,31,53,2,5,3,0,1,0,0,2,0,2,182,1,0,3,0,0,0,0,0,0,0,1,1,0,287
28,"P.S. PIPRAHANKAR",467,370,0,837,155,244,0,399,391,0,167,89,13,27,6,0,2,0,1,0,1,2,75,1,3,2,5,0,0,1,0,0,0,1,0,3,399
29,"P.S. PIPRAHANKAR",597,423,0,1020,209,234,0,443,441,0,75,87,7,136,2,2,3,2,2,1,1,1,113,2,0,4,1,0,0,1,0,0,0,1,1,1,443
30,"P.S. PARSASHEK UTTARI BHAG",441,399,0,840,165,206,0,371,371,0,298,19,4,25,7,1,1,1,1,1,0,0,6,0,0,1,1,1,0,1,0,0,0,1,1,1,371
31,"P.S. PARSASHEK DASINI BHAG",411,432,0,843,188,234,0,422,422,0,260,107,1,19,4,1,1,1,0,4,1,2,16,0,2,2,0,0,0,0,0,0,0,0,0,1,422
32,"P.S. CHAGULIYA  BAGULIYA",835,657,0,1492,351,328,0,679,513,0,215,230,11,159,6,0,2,1,2,2,1,2,25,4,2,9,1,0,1,0,0,0,0,1,3,2,679
33,"P.S. DIGHWA",514,430,0,944,251,230,0,481,474,0,64,212,6,155,3,1,0,1,2,5,0,0,6,3,3,1,4,3,1,4,0,0,0,2,5,0,481
34,"P.S. CHAPIYA ANANDRAI",371,258,0,629,206,135,0,341,452,0,77,117,14,112,1,0,0,0,0,0,0,2,9,0,1,1,2,0,0,2,0,0,0,1,2,0,341
35,"P.S. AHIRAULI",647,504,0,1151,306,247,0,553,452,0,132,123,12,241,4,0,0,0,1,5,0,2,15,1,0,6,1,1,3,0,0,0,0,0,5,1,553
36,"P.S. MOHAMMADGAD",387,361,0,748,152,215,0,367,367,0,69,157,13,36,2,2,0,1,1,1,0,1,77,0,2,3,0,0,0,1,0,0,0,0,0,1,367
37,"P.S. MADNA",385,359,0,744,147,207,0,354,354,0,100,59,7,27,1,0,0,1,0,1,1,0,146,0,0,0,1,2,2,1,0,1,0,0,0,4,354
38,"P.S. GANGAICHA",504,420,0,924,313,307,0,620,599,0,371,111,4,99,3,0,0,1,1,3,0,0,12,1,1,2,4,0,1,1,0,0,0,0,4,1,620
39,"P.S. BHARVALIYA BUDHAN",646,536,0,1182,220,134,0,354,527,0,100,59,7,27,1,0,0,1,0,1,1,0,146,0,0,0,1,2,2,1,0,1,0,0,0,4,354
40,"MAQTAB JATEDIHA DUBAULIYA",696,591,0,1287,252,280,0,532,6,0,63,127,7,32,2,5,2,1,1,2,1,1,275,2,0,1,2,0,0,0,1,0,0,4,3,0,532
41,"P.S. DUDHARA",682,584,0,1266,217,249,0,466,352,0,93,53,1,33,3,2,1,1,1,1,0,4,263,5,1,0,1,1,0,0,1,1,0,0,0,0,466
42,"P.S. DUDHARA",633,526,0,1159,276,251,0,527,378,0,116,202,12,5,1,0,0,0,0,4,0,0,176,2,0,1,0,0,1,1,1,0,0,1,2,2,527
43,"J.H.S. DUDHARA",715,615,0,1330,226,314,0,540,530,0,162,24,11,40,5,0,3,0,1,2,1,5,264,0,0,6,1,2,1,1,2,0,0,0,4,5,540
44,"P.S. MADARPUR",448,336,0,784,208,208,0,416,416,0,61,95,2,69,0,0,1,1,1,2,0,2,170,1,0,1,1,2,0,2,0,0,2,1,1,1,416
45,"P.S. KATHAKPURWA",726,629,0,1355,248,328,0,576,575,0,68,188,9,41,2,0,1,1,1,4,1,4,244,0,1,5,0,1,1,0,1,0,1,0,1,1,576
46,"P.S. KATHAKPURWA",160,147,0,307,51,72,0,123,123,0,17,40,2,3,0,0,1,0,0,0,0,0,58,0,1,0,0,0,0,0,0,0,0,1,0,0,123
47,"P.S. KATHAKPURWA",223,201,1,425,64,88,0,152,62,0,13,20,0,5,2,1,0,0,1,0,1,0,103,1,2,0,0,0,0,0,0,0,1,0,1,1,152
48,"NATIONAL I.C. MUDADIHAVEG",827,742,0,1569,364,330,0,694,774,0,123,143,7,7,6,1,2,1,1,2,0,2,371,3,6,7,1,1,0,0,2,1,1,3,1,2,694
49,"NATIONAL I.C. MUDADIHAVEG",60,54,0,114,29,26,0,55,35,0,4,4,0,15,0,0,0,1,1,0,0,0,27,0,0,1,0,0,1,0,0,1,0,0,0,0,55
50,"NATIONAL I.C. MUDADIHAVEG",411,358,0,769,160,186,0,346,338,0,107,48,8,75,2,0,0,0,4,1,0,1,83,1,5,5,2,0,1,1,0,2,0,0,0,0,346
51,"J.H.S. VIGRAMEER",517,394,0,911,244,277,0,521,360,0,211,47,6,86,2,1,1,1,0,2,0,0,158,0,0,0,1,0,0,0,0,0,0,1,2,2,521
52,"J.H.S. VIGRAMEER",627,485,0,1112,274,325,0,599,534,0,220,20,7,5,2,1,0,0,0,2,0,1,319,2,0,3,3,0,1,2,1,1,0,6,2,1,599
53,"J.H.S. VIGRAMEER",414,316,0,730,165,209,0,374,300,0,110,11,1,0,1,1,1,0,0,1,1,1,239,1,0,3,0,0,0,1,0,1,0,1,0,0,374
54,"P.S. SEMARIYAWA",550,461,0,1011,335,201,0,536,374,0,140,74,7,237,5,0,0,1,0,3,0,1,42,2,0,4,3,1,2,3,0,1,0,0,10,0,536
55,"J.H.S. SEMARIYAWA",696,663,0,1359,330,316,0,646,458,0,199,295,9,37,2,1,0,0,0,1,0,3,92,0,1,0,0,1,0,0,1,0,0,2,2,0,646
56,"J.H.S. SEMARIYAWA",603,506,0,1109,325,297,0,622,543,0,172,223,16,115,3,1,0,0,3,2,0,1,71,2,0,2,0,1,1,1,0,1,2,1,1,3,622
57,"J.H.S. SEMARIYAWA",550,504,0,1054,340,245,0,585,585,0,269,68,48,89,2,0,1,0,0,1,1,1,99,1,0,1,0,0,0,0,0,0,0,1,2,1,585
58,"MAQTAB SCHOOL BADYAMAFI",643,539,1,1183,298,310,0,608,607,0,275,109,9,15,2,2,2,0,1,4,1,2,162,1,3,5,3,0,0,0,0,1,1,4,3,3,608
59,"P.S. MUDADIHAKHURD",178,148,0,326,111,98,0,209,196,0,7,170,0,2,0,0,0,0,0,1,0,0,9,0,14,0,1,0,1,0,0,1,0,1,2,0,209
60,"P.S. MUDADIHAKHURD",899,720,0,1619,356,307,0,663,365,0,72,119,5,42,6,1,5,0,3,1,0,1,386,2,0,2,2,0,0,1,1,3,0,5,6,0,663
61,"P.S. USRASHAHID",547,432,0,979,202,219,0,421,376,0,49,41,4,20,0,0,1,1,0,1,0,2,279,1,0,3,2,0,2,0,1,1,1,5,4,3,421
62,"P.S. USRASHAHID",768,641,0,1409,352,363,0,715,715,0,118,99,4,69,5,3,1,2,1,3,3,3,377,4,1,4,0,3,0,0,1,0,2,1,5,6,715
63,"J.H.S. USRASHAHID",773,621,0,1394,232,280,0,512,510,0,68,111,8,64,4,2,5,4,3,4,5,4,196,3,1,19,1,1,0,0,1,1,1,1,1,4,512
64,"P.S. KARAHI",729,632,0,1361,347,376,0,723,719,0,50,307,12,85,5,3,1,2,4,2,4,4,210,6,2,6,4,3,3,0,1,2,0,2,2,3,723
65,"J.H.S. KARAHI",817,724,0,1541,407,316,0,723,616,0,50,307,12,85,5,3,1,2,4,2,4,4,210,6,2,6,4,3,3,0,1,2,0,2,2,3,723
66,"J.H.S. KARAHI",645,574,0,1219,221,263,0,484,450,0,181,31,1,36,0,1,0,0,0,2,1,0,216,1,2,5,0,0,0,0,0,1,1,2,2,1,484
67,"P.S. DEVARIYA VIJAI",210,167,0,377,112,108,0,220,203,0,75,13,9,91,6,0,0,0,1,1,0,2,9,0,0,7,0,0,0,0,0,0,0,3,2,1,220
68,"P.S. DHARUI",298,275,0,573,159,151,0,310,205,0,70,112,10,68,2,0,0,0,0,0,1,0,42,1,0,0,0,1,0,1,0,1,0,0,0,1,310
69,"P.S. SEHUDA",570,420,0,990,250,268,0,518,8,0,149,125,19,77,4,1,3,1,4,2,1,4,105,0,4,7,2,0,1,0,0,0,2,2,4,1,518
70,"P.S. SEHUDA",748,590,0,1338,343,315,0,658,658,0,211,119,17,88,1,1,0,1,0,4,0,6,191,0,0,4,5,1,0,0,1,0,0,2,2,4,658
71,"P.S. PAIDI",339,309,0,648,177,246,0,423,355,0,68,163,3,6,1,3,0,0,0,0,0,0,176,1,2,0,0,0,0,0,0,0,0,0,0,0,423
72,"P.S. PAIDI",376,286,0,662,101,151,0,252,130,0,14,15,3,51,1,3,0,1,1,1,0,2,150,0,2,1,1,0,0,0,0,0,3,1,2,0,252
73,"P.S. BAGHNAGAR",394,286,0,680,197,180,0,377,347,0,62,28,4,173,0,0,1,0,0,3,0,2,85,3,1,3,1,1,2,0,0,2,2,2,1,1,377
74,"P.S. BAGHNAGAR",870,664,0,1534,407,405,0,812,563,0,247,175,33,57,6,2,1,3,0,3,1,1,226,3,2,8,8,10,2,2,2,2,3,5,4,6,812
75,"P.S. BHAGURA",572,476,0,1048,200,237,0,437,439,0,69,33,21,130,6,1,0,1,2,1,4,2,128,0,3,7,0,2,2,0,1,2,2,8,5,7,437
76,"P.S. BHAGURA",383,265,0,648,187,174,0,361,339,0,62,131,5,45,1,0,0,1,2,1,1,0,93,0,0,2,2,2,0,3,0,1,0,3,4,2,361
77,"P.S. BHATPARA",517,438,0,955,269,267,0,536,530,0,28,246,8,43,0,1,1,1,0,4,2,2,172,2,3,6,3,2,1,1,1,1,0,1,5,2,536
78,"P.S. BHATPARA",574,496,0,1070,228,277,0,505,505,0,175,59,6,18,2,2,0,4,2,0,0,1,194,1,0,3,3,2,1,4,4,4,2,8,6,4,505
79,"P.S. SISAIMAFI",470,367,0,837,197,220,0,417,118,0,74,117,7,117,1,1,1,1,1,1,0,0,83,2,1,5,1,0,1,0,0,0,0,2,1,0,417
80,"P.S. SISAIMAFI",502,453,0,955,208,261,0,469,469,0,75,173,6,126,2,1,0,1,2,0,2,0,65,1,3,3,1,3,0,0,0,0,1,0,3,1,469
81,"P.S. MAHUVARI",803,599,0,1402,600,116,0,716,600,0,85,168,8,203,3,2,0,0,3,5,0,1,195,3,0,3,2,5,0,3,1,3,2,9,4,8,716
82,"P.S. MAHUVARI",506,393,0,899,250,213,0,463,413,0,62,18,4,109,3,0,1,0,1,1,2,0,189,4,0,52,2,1,0,3,2,1,0,4,2,2,463
83,"MAQTAB SCHOOL PURWA",405,309,0,714,165,159,0,324,312,0,98,14,4,64,0,0,1,1,1,2,1,1,122,2,2,3,1,1,1,0,1,0,0,0,4,0,324
84,"MAQTAB SCHOOL UCAHRAKHURD",620,459,0,1079,225,206,0,431,430,0,111,54,21,39,6,3,2,4,2,5,1,4,144,1,0,4,3,1,0,2,4,4,1,5,2,8,431
85,"MAQTAB SCHOOL UCAHRAKHURD",397,309,0,706,104,106,0,210,208,0,48,27,4,46,2,1,0,2,0,2,0,1,60,3,2,2,1,2,0,2,1,1,1,0,2,0,210
86,"MAQTAB SCHOOL UCAHRAKHURD",865,627,0,1492,265,253,0,518,10,0,150,104,9,41,4,2,4,5,2,4,2,6,169,3,2,2,0,1,1,2,0,0,0,2,2,1,518
87,"P.S. BUDHANNAGAR",599,501,0,1100,208,261,0,469,460,0,49,56,8,5,1,1,2,0,2,1,2,2,330,1,2,1,0,0,0,0,0,0,0,3,1,2,469
88,"P.S. BUDHANNAGAR",743,574,0,1317,290,294,0,584,584,0,79,41,17,15,5,3,2,3,2,3,2,3,398,1,0,6,2,0,0,0,1,0,0,0,0,1,584
89,"P.S. BUDHANNAGAR",515,476,0,991,215,268,0,483,464,0,36,228,5,0,7,0,0,1,1,2,0,0,193,0,0,1,2,0,0,1,0,0,1,2,1,2,483
90,"P.S. NIPANIYA",425,380,0,805,156,171,0,327,9,0,91,44,19,31,5,3,2,1,2,3,0,3,109,0,1,3,1,0,0,2,0,1,1,0,3,2,327
91,"P.S. VASIN",621,473,0,1094,328,239,0,567,468,0,239,70,5,48,1,1,1,3,0,1,1,187,0,2,2,1,2,0,0,0,1,0,1,1,0,0,567
92,"MAQTAB SCHOOL HADHA",579,385,0,964,249,229,0,478,478,0,283,60,5,35,1,0,2,2,1,0,0,0,73,0,1,3,2,1,0,0,3,0,2,1,1,2,478
93,"P.S. CHAPIYA MAFI",522,413,0,935,169,204,0,373,373,0,97,105,6,13,2,1,2,2,1,2,0,0,119,1,1,3,3,1,1,1,3,2,5,0,1,1,373
94,"P.S. CHAPIYA MAFI",323,293,0,616,93,142,0,235,35,0,19,32,6,31,1,2,0,2,1,2,1,3,127,0,0,2,1,1,1,0,0,0,2,1,0,0,235
95,"P.S. CHAPIYA MAFI",185,180,0,365,53,80,0,133,133,0,8,42,2,3,1,0,0,0,0,0,1,1,64,0,0,0,0,4,1,0,1,1,1,2,0,1,133
96,"P.S. CHORAHA",760,606,0,1366,269,343,0,612,612,0,99,182,11,35,4,2,1,0,1,1,1,3,257,1,1,4,0,2,1,1,2,1,0,0,1,1,612
97,"P.S. TINHARI MAFI",844,643,0,1487,360,327,0,687,360,0,107,77,7,23,0,3,1,0,3,3,0,2,434,3,0,1,3,0,0,3,0,1,1,13,2,0,687
98,"J.H.S. PACHDEURA",456,460,0,916,159,200,0,359,240,0,48,49,5,51,2,3,0,0,0,1,1,1,182,1,3,6,0,1,0,0,1,0,0,1,2,1,359
99,"J.H.S. PACHDEURA",389,331,0,720,166,180,0,346,346,0,16,200,4,5,1,2,0,0,1,0,0,2,105,0,2,0,0,1,0,0,0,1,0,2,4,0,346
100,"P.S. NAVIPUR",288,248,0,536,147,136,0,283,252,0,156,59,1,14,0,1,0,0,0,0,1,3,28,0,0,4,1,0,0,1,0,0,0,5,3,6,283
101,"P.S. PARSADPUR",544,448,1,993,212,282,0,494,494,0,107,69,5,64,1,2,0,2,0,2,0,2,214,0,2,1,4,2,1,1,2,3,3,3,3,1,494
102,"P.S. SAFIYABAD",841,612,0,1453,287,287,0,574,542,0,135,76,10,100,3,4,0,6,5,4,1,1,222,0,0,1,2,1,0,0,0,0,0,0,2,1,574
103,"P.S. SAFIYABAD",403,316,0,719,246,132,0,378,257,0,199,16,0,21,1,4,0,0,0,0,0,2,130,0,0,1,0,0,0,0,0,0,0,1,3,0,378
104,"P.S. PACDEURI",282,235,1,518,133,153,0,286,286,0,36,76,4,95,3,0,0,0,0,0,0,1,59,0,0,2,1,0,2,2,0,1,0,1,2,1,286
105,"P.S. SALEHPUR",577,406,0,983,256,184,0,440,62,0,166,60,9,24,0,2,2,0,2,3,2,1,152,2,0,5,0,0,0,0,1,0,0,5,4,0,440
106,"P.S. SALEHPUR",495,378,0,873,248,217,0,465,465,0,50,236,8,42,1,1,1,0,2,0,0,3,90,4,7,0,3,9,1,0,1,0,0,2,3,1,465
107,"P.S. MAJHAUWA SARKARI",633,521,0,1154,298,340,0,638,530,0,241,58,1,52,1,0,0,0,0,0,0,2,266,0,1,0,13,1,0,0,0,1,0,1,0,0,638
108,"P.S. MAJHAUWA SARKARI",551,443,2,996,293,325,0,618,590,0,238,226,9,104,1,1,0,0,1,2,0,0,27,0,0,2,1,1,0,0,1,2,0,0,1,1,618
109,"P.S. CHIUTANA",531,496,0,1027,260,259,0,519,484,0,131,152,5,3,1,0,0,2,0,0,0,1,221,0,0,0,0,1,0,0,0,0,0,0,2,0,519
110,"P.S. TILJA",673,503,0,1176,249,266,0,515,495,0,105,125,16,70,1,0,0,0,0,2,0,3,181,1,1,3,0,1,0,0,0,0,0,0,4,2,515
111,"P.S. TILJA",430,363,0,793,166,176,0,342,342,0,89,53,11,49,0,0,0,0,0,0,2,137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,342
112,"P.S. TILJA",522,388,0,910,168,212,0,380,380,0,54,114,13,76,0,0,1,0,0,5,2,0,103,0,4,4,0,0,0,0,0,0,0,0,2,2,380
113,"P.S. VIGRA AVVAL",787,631,0,1418,329,363,0,692,640,0,43,233,11,76,4,1,0,0,0,5,2,2,292,5,2,6,1,0,0,1,1,0,0,2,2,3,692
114,"P.S. SONAURA GAUSI",729,588,0,1317,305,345,0,650,575,0,174,122,9,100,2,3,1,1,4,5,2,2,162,4,1,1,6,2,2,1,14,5,0,17,7,3,650
115,"P.S. SONAURA GAUSI",428,328,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"J.H.S. SUKRAULI",439,336,0,775,204,188,0,392,390,0,85,234,5,8,0,1,1,0,1,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,392
117,"P.S. AGYA",339,279,0,618,82,132,0,214,213,0,45,25,2,3,1,2,2,1,0,1,1,1,117,0,0,0,3,0,0,0,1,1,1,3,4,0,214
118,"J.H.S. AGYA",402,324,0,726,98,107,0,205,185,0,75,56,5,2,3,0,0,0,0,1,0,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,205
119,"J.H.S. AGYA",433,408,0,841,125,147,0,272,272,0,37,47,7,27,1,0,0,0,0,0,0,0,147,1,0,1,0,0,0,0,2,0,0,0,2,0,272
120,"MAQTAB SCHOOL DASAWA",550,346,0,896,186,163,0,349,65,0,34,32,3,103,3,0,0,0,1,1,1,0,151,0,1,3,4,2,1,1,1,2,0,3,2,0,349
121,"MAQTAB SCHOOL DASAWA",544,441,0,985,194,207,0,401,401,0,42,84,5,82,3,0,0,0,1,0,2,2,166,2,0,0,1,1,0,1,1,0,1,2,2,3,401
122,"P.S. BAJAHRA",687,505,0,1192,234,260,0,494,494,0,209,103,12,61,1,2,0,2,0,3,2,2,70,2,4,10,3,0,0,0,0,0,1,3,2,2,494
123,"P.S. VATSI VATSA",504,415,0,919,207,170,0,377,300,0,85,45,13,148,2,1,0,1,0,0,1,1,69,2,1,4,0,0,0,2,0,0,0,0,0,2,377
124,"P.S. VATSI VATSA",954,754,0,1708,322,404,0,726,724,0,179,144,16,196,8,0,5,3,7,4,3,4,115,3,4,9,4,0,0,0,1,2,0,10,4,5,726
125,"P.S. PURAINA",350,320,0,670,138,206,0,344,343,0,83,40,18,124,6,1,1,1,0,1,1,1,53,3,2,6,0,0,0,0,0,0,1,1,1,0,344
126,"P.S. UJRAUTI KALA",301,272,0,573,115,139,0,254,253,0,10,60,3,116,2,1,1,1,0,0,0,0,46,0,5,1,1,0,0,0,0,2,0,2,2,1,254
127,"P.S. PAIKVALIYA SHIT UJRAUTIKHURD",207,163,0,370,92,96,0,188,188,0,19,46,4,75,3,0,0,0,0,2,0,1,28,1,0,0,2,0,0,0,1,0,1,0,2,3,188
128,"P.S. PAIKVALIYA SHIT UJRAUTIKHURD",403,382,0,785,161,219,0,380,379,0,32,61,18,119,4,0,0,1,1,4,1,0,95,0,2,4,21,1,0,6,1,3,1,2,3,0,380
129,"P.S. BHAISMATHAN",502,427,0,929,202,217,0,419,416,0,90,108,18,170,2,1,1,0,1,3,0,1,7,2,0,5,1,1,0,0,0,1,1,0,3,3,419
130,"P.S. BHAISMATHAN",485,423,0,908,192,180,0,372,339,0,142,15,3,94,1,23,2,0,4,4,3,2,42,0,0,2,11,0,0,5,1,5,0,4,2,7,372
131,"P.S. PARSA JHAKARIYA",770,656,0,1426,353,375,0,728,728,0,134,97,20,389,7,1,2,1,1,4,2,0,35,1,0,1,8,2,1,0,1,4,1,2,13,1,728
132,"A.B.K. BAKHARIYA",302,271,0,573,121,153,0,274,274,0,59,19,3,64,3,0,0,0,1,0,0,0,102,0,0,4,1,1,1,2,3,0,3,2,1,5,274
133,"P.S. SURDAHIYA",270,254,0,524,116,170,0,286,225,0,7,59,5,177,1,1,1,1,0,1,0,1,18,1,0,2,5,1,1,0,0,2,0,0,2,0,286
134,"J.H.S. KESARI",900,706,0,1606,257,315,0,572,572,0,260,93,2,90,3,0,1,5,4,4,0,1,90,0,1,3,1,2,0,3,0,1,1,4,3,0,572
135,"P.S. JAMDIH",439,392,0,831,198,200,0,398,398,0,116,135,12,39,0,1,0,1,0,0,0,2,76,0,0,4,4,0,0,3,0,2,0,1,0,2,398
136,"P.S. SHAHPUR",346,296,0,642,158,180,0,338,338,0,12,33,28,71,3,2,0,3,3,0,0,2,169,1,0,2,0,0,0,1,4,3,0,0,1,0,338
137,"KISAN H.S. SCHOOL PACHPOKHARI",321,291,0,612,125,123,0,248,199,0,36,21,5,61,4,0,0,1,1,0,1,1,110,0,0,1,2,0,0,1,0,0,0,2,1,0,248
138,"P.S. ANTAKHURD",220,181,0,401,97,93,0,190,140,0,17,25,4,125,0,0,1,0,0,0,0,0,7,2,0,0,0,0,4,0,1,0,0,1,0,3,190
139,"P.S. PACHPOKHARI",557,479,0,1036,204,237,0,441,441,0,190,93,10,72,7,1,1,0,0,1,3,0,55,0,0,0,3,1,0,0,0,0,1,1,2,0,441
140,"P.S. PACHPOKHARI",686,514,0,1200,278,305,0,583,404,0,126,41,28,272,1,3,1,0,1,4,4,1,66,1,0,10,4,1,1,0,1,2,1,1,7,6,583
