"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
47,"KARYALAY NICHLI GANGA NAHAR DODPUR, R.NO.-3",710,630,0,1340,352,280,0,632,512,0,26,469,94,7,2,0,0,0,0,3,1,22,0,4,4,632
48,"KARYALAY NICHLI GANGA NAHAR DODPUR, R.NO.-4",590,493,0,1083,296,216,0,512,505,0,19,367,96,3,1,0,1,0,0,1,3,13,1,0,7,512
49,"ZAKIR HUSAIN MODAL SCHOOL DODPUR, R.NO.-1",595,547,0,1142,369,333,0,702,632,0,42,249,118,222,2,2,0,0,0,0,0,26,2,33,6,702
50,"ZAKIR HUSAIN MODAL SCHOOL DODPUR, R.NO.-2",603,575,0,1178,354,274,0,628,608,0,22,340,79,144,3,0,0,0,0,1,0,22,0,12,5,628
51,"ZAKIR HUSAIN MODAL SCHOOL DODPUR, R.NO.-3",529,464,0,993,199,164,0,363,358,0,20,209,82,18,0,0,0,0,0,0,0,32,0,0,2,363
52,"ZAKIR HUSAIN MODAL SCHOOL DODPUR, R.NO.-4",465,408,0,873,201,149,0,350,200,0,32,221,60,6,0,0,0,0,0,0,0,28,0,0,3,350
53,"ZAKIR HUSAIN MODAL SCHOOL DODPUR, R.NO.-5",494,450,0,944,244,192,0,436,425,0,30,260,55,67,0,0,0,0,0,1,2,15,1,4,1,436
54,"ZAKIR HUSAIN MODAL SCHOOL DODPUR, R.NO.-6",450,416,0,866,204,184,0,388,370,0,12,192,64,76,1,0,2,0,0,0,0,20,1,18,2,388
55,"JAMIYA URDU COLLEGE MEDICAL ROAD	, R.NO.-1",529,491,0,1020,231,186,0,417,415,0,39,216,131,5,0,0,1,0,0,0,1,22,0,0,2,417
56,"JAMIYA URDU COLLEGE MEDICAL ROAD	, R.NO.-2",727,664,2,1393,484,213,0,697,682,0,67,380,168,12,0,0,0,0,0,0,2,64,0,1,3,697
