"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.MURLI MANOHAR JOSHI","2 - SALEEM AHMAD","3 - SURENDRA MOHAN AGARWAL","4 - SRIPRAKASH JAISWAL","5 - ANIL AWASTHI","6 - ANAND MEHROTRA","7 - DEVENDRA KUMAR SHARMA","8 - MOHD.NASIR KHAN","9 - DR.NIKHIL GUPTA","10 - MAHMOOD HUSAIN RAHMANI","11 - MOHAMMAD ATEEQ","12 - RAMESH KUMAR GUPTA","13 - VINAYAK RAO TOPE","14 - HIMMAT LAL","15 - ASHOK PASWAN ADVOCATE","16 - KISHOR BAJPAI","17 - PREM CHANDRA PANDEY","18 - BETALAL DIWAKAR","19 - MUZAFFAR HUSAIN KHAN","20 - VISHWANATH KATARIA","21 - KUMARI SARASWATI","22 - None of the Above","Total Votes Secured"
53,"PRIMARY SCHOOL,  NIRALA NAGAR ROOM NO 1 NIRALA NAGAR",837,755,0,1592,427,372,0,799,601,0,519,107,21,137,2,3,0,0,0,4,0,1,0,1,0,1,1,0,1,0,0,1,799
54,"PRIMARY SCHOOL,  NIRALA NAGAR ROOM NO 2  NIRALA NAGAR",588,478,0,1066,294,224,0,518,49,0,275,93,19,117,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,1,1,6,518
55,"PRIMARY SCHOOL,  NIRALA NAGAR ROOM NO 3 NIRALA NAGAR",842,704,0,1546,413,288,0,701,691,0,385,175,12,111,1,0,0,0,0,5,1,0,2,1,1,1,0,1,0,1,0,4,701
56,"PRIMARY SCHOOL,  NIRALA NAGAR ROOM NO 4  NIRALA NAGAR",322,243,0,565,202,149,0,351,351,0,286,12,9,35,0,0,0,0,0,3,0,0,0,1,1,2,2,0,0,0,0,0,351
57,"PRIMARY SCHOOL,  NIRALA NAGAR ROOM NO 5  NIRALA NAGAR",599,515,0,1114,382,323,0,705,705,0,535,19,15,114,3,0,0,0,0,12,0,0,1,0,0,1,1,0,0,0,0,4,705
58,"PRIMARY SCHOOL,  NIRALA NAGAR ROOM NO 6  NIRALA NAGAR",701,601,0,1302,405,314,0,719,410,0,553,55,15,79,2,0,0,0,0,9,0,0,0,1,1,1,0,0,1,0,0,2,719
59,"SUBHASH SMARAK INTER COLLEGE ROOM NO 1 .127  SAKET NAGAR",771,685,0,1456,523,431,0,954,950,0,806,13,10,109,0,1,0,0,0,10,0,0,0,1,1,2,0,0,0,0,0,1,954
60,"SUBHASH  SMARAK INTER COLLEGE ROOM N0 2. 127 SAKET NAGAR",475,426,0,901,272,200,0,472,86,0,406,0,6,51,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,472
61,"SUBHASH SMARAK INTER COLLEGE  ROOM NO 3 . 127  SAKET NAGAR",480,448,0,928,297,262,0,559,551,0,476,4,4,66,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,2,559
62,"SUBHASH SMARAK INTER COLLEGE ROOM NO 4. 127  SAKET NAGAR",680,604,0,1284,444,363,0,807,696,0,698,5,5,74,1,4,0,0,0,17,0,0,0,1,0,1,0,0,0,0,1,0,807
