"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAFISUDDIN","2 - BEGUM NOOR BANO URF MEHTAB","3 - HAJI MOHD YAQOOB","4 - KUNWER SARVESH KUMAR","5 - DR S T HASAN","6 - AMIT KUMAR","7 - KAMAR ALAM","8 - JAIPAL SINGH SAINI","9 - MOHD ZAFAR IQBAL","10 - TEAJ SINGH SAINI","11 - ENGINEER MOHAMMAD IRFAN","12 - VIMAL KUMAR","13 - SATISH CHANDRA SHARMA","14 - SANDEEP KUMAR","15 - SAURABH PRATAP SINGH","16 - HARIOM","17 - RAJ KUMAR GUPTA","18 - ROOPA CHANDRA SINGH","19 - None of the Above","Total Votes Secured"
125,"R.N. INTER COLLEGE ROOM 2",440,322,0,762,173,98,0,271,268,0,2,18,31,186,21,0,0,0,1,0,1,2,2,0,2,3,2,0,0,271
126,"R.N. INTER COLLEGE ROOM 4",421,320,0,741,133,99,0,232,227,0,1,20,28,158,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,232
127,"R.N. INTER COLLEGE ROOM 3",348,307,0,655,151,126,0,277,249,0,0,32,30,182,29,0,0,0,0,1,0,0,0,0,1,0,0,0,2,277
128,"K.C.M. INTER COLLEGE ROOM 1",561,436,0,997,252,146,0,398,384,0,0,48,29,269,38,1,1,0,0,1,1,6,1,0,0,0,0,0,3,398
129,"K.C.M. INTER COLLEGE ROOM 2",634,525,0,1159,258,207,0,465,447,0,1,42,42,308,66,0,0,0,0,0,1,2,0,0,0,1,1,0,1,465
130,"K.C.M. INTER COLLEGE ROOM 3",363,329,1,693,153,108,0,261,261,0,1,50,21,148,35,0,0,0,0,0,0,3,0,0,0,2,0,0,1,261
131,"K.C.M. INTER COLLEGE ROOM 5",632,535,0,1167,310,230,0,540,529,0,3,71,41,372,33,0,1,1,0,0,0,8,0,2,4,3,0,0,1,540
132,"PRIMARY SCHOOL RAILWAY HARTHALA COLONY ROOM 1",720,591,0,1311,390,244,0,634,624,0,0,119,34,439,12,1,0,0,0,0,0,20,0,0,2,5,0,1,1,634
133,"PRIMARY SCHOOL RAILWAY HARTHALA COLONY ROOM 2",585,536,0,1121,301,232,0,533,347,0,1,64,53,382,14,0,1,0,0,0,0,10,0,1,2,1,1,0,3,533
134,"COSMOPOLITON PUBLIC SCHOOL HARTHALA SONAKPUR ROOM 1",512,400,0,912,322,210,0,532,501,0,2,17,80,210,205,1,0,0,0,1,0,9,1,0,2,1,0,0,3,532
135,"COSMOPOLITON PUBLIC SCHOOL HARTHALA SONAKPUR ROOM 2",653,473,0,1126,359,209,0,568,565,0,4,15,75,259,200,1,0,0,0,0,2,4,1,1,2,2,0,1,1,568
136,"COSMOPOLITON PUBLIC SCHOOL HARTHALA SONAKPUR ROOM 3",584,430,0,1014,337,229,0,566,502,0,2,10,132,288,129,0,0,0,0,1,0,1,0,1,0,1,1,0,0,566
