"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAUSHAL KISHORE","2 - R.K CHAUDHARY","3 - NARENDRA GAUTAM","4 - SUSHILA SAROJ","5 - AMIT RAWAT","6 - OM PRAKASH","7 - GOPAL KANAUJIYA","8 - GAUTAM BHARTI","9 - JAGDISH PRASAD GAUTAM","10 - BRIJLAL","11 - MAHENDRA KUMAR RAWAT","12 - MEENA RAWAT","13 - MEERA DEVI","14 - SANTOSH KUMAR DHARKAR","15 - SUNIL GAUTAM","16 - MAHESH KUMAR","17 - REENA CHAUDHARY","18 - SHATROHANLAL RAWAT","19 - None of the Above","Total Votes Secured"
88,"P.S. REVRI  KAMRA NO 2",525,439,0,964,335,293,0,628,61,0,210,160,9,225,5,2,1,0,0,1,4,4,0,1,1,2,0,2,1,628
89,P.S.MEHADAULI,340,286,0,626,220,182,0,402,2,0,95,157,63,75,0,1,0,2,0,0,1,0,1,1,2,1,1,0,2,402
90,"J.H.S. BASAIDIH  KAMRA NO 1",282,228,0,510,191,145,0,336,1,0,54,122,11,133,4,2,1,1,0,0,1,2,0,0,1,2,0,2,0,336
91,"J.H.S. BASAIDIH  KAMRA NO 2",844,696,0,1540,554,508,0,1062,1061,0,166,369,14,435,12,1,1,5,3,0,1,3,3,7,2,14,6,12,8,1062
92,"P.S. THITHURA M0 BASAIDIH",470,398,0,868,327,274,0,601,520,0,71,308,17,190,1,0,0,1,0,1,0,0,1,6,2,0,1,1,1,601
93,"P.S. JATHA",499,424,0,923,400,283,0,683,9,0,200,75,22,363,2,0,0,2,1,0,0,2,3,1,1,3,3,1,4,683
94,"P.S. DHAKHA",673,589,0,1262,545,461,0,1006,1000,0,68,420,17,428,10,3,1,2,0,2,2,6,6,4,9,9,6,6,7,1006
95,"P.S. NAHOIYA",745,617,0,1362,488,487,0,975,10,0,171,177,24,573,8,0,1,2,1,0,0,0,1,1,1,2,5,6,2,975
96,"P.S. KUCHILAI",570,463,0,1033,357,287,0,644,644,0,118,201,14,274,7,0,1,0,0,0,1,0,1,0,2,10,6,4,5,644
97,"SANKUL BHAVAN  KUCHILAI",509,422,0,931,319,302,0,621,421,0,248,207,31,92,1,2,1,1,0,1,2,0,2,4,2,11,8,4,4,621
