"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
44,"RA.K.I.KA. NAUTANWA PURANA BHAWAN K.N.2",954,758,0,1712,446,392,0,838,838,0,276,57,452,27,0,3,2,0,1,0,1,3,1,3,0,5,0,1,1,0,0,0,1,4,838
45,"RA.K.I.KA.NAUTANWA PURANA DO MANJILA BHAWAN K.N.1",780,709,0,1489,391,361,0,752,752,0,319,57,341,24,0,0,1,0,2,1,0,0,0,1,0,0,3,0,0,0,1,0,0,2,752
46,"RA.K.I.KA.NAUTANWA PURANA DO MANJILA BHAWAN K.N.2",434,394,0,828,236,206,0,442,442,0,168,21,195,37,0,0,4,0,1,1,1,0,1,0,2,6,1,2,0,1,0,0,0,1,442
47,"RA.K.I.KA.NAUTANWA PURANA DO MANJILA BHAWAN K.N.3",675,619,0,1294,329,282,0,611,580,0,180,21,353,27,1,0,4,2,1,0,0,1,1,2,1,9,0,1,1,1,1,2,0,2,611
48,"RA.K.I.KA. NAUTANWA PURANA BHAWAN K.N.3",496,412,0,908,292,223,0,515,490,0,148,53,301,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,515
49,"RA.K.I.KA. NAUTANWA NAYA BHAWAN K.N.1",476,416,0,892,272,262,0,534,446,0,300,67,132,7,0,1,0,0,7,0,0,0,0,0,0,5,6,2,3,1,0,0,1,2,534
50,"RA.K.I.KA. NAUTANWANAYA BHAWAN K.N.2",485,447,0,932,262,239,0,501,496,0,153,47,250,28,1,0,4,0,1,0,0,0,0,0,0,0,4,3,2,1,2,3,0,2,501
51,"RA.K.I.KA. NAUTANWANAYA BHAWAN K.N.3",536,440,0,976,255,260,0,515,515,0,178,153,144,27,1,0,2,0,0,0,0,0,0,1,0,0,5,0,1,0,0,2,1,0,515
52,"BHU.PU.SAINIK SCHOOL NAUTANWA K.N.1",424,348,0,772,240,178,0,418,418,0,115,14,272,8,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,0,0,1,1,418
53,"P.P. NAUTANWA PAKKA BHAWAN",453,415,0,868,241,165,0,406,406,0,87,5,284,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,406
54,"MADHUBAN I.KA. NAUTANWA K.N.1",690,586,2,1278,410,411,0,821,817,0,192,45,514,43,0,1,1,2,2,0,4,2,4,4,0,3,1,0,0,0,0,1,0,2,821
55,"MADHUBAN I.KA. NAUTANWA K.N.2",433,337,0,770,240,194,0,434,434,0,200,31,138,34,2,0,2,0,1,0,1,0,0,0,0,1,6,4,3,2,3,2,2,2,434
56,"MADHUBAN I.KA. NAUTANWA K.N.3",475,440,0,915,282,269,0,551,551,0,191,113,184,33,0,1,9,1,2,0,2,1,1,3,2,2,2,2,1,0,0,0,0,1,551
57,"A.JU.HA.SCHOOL NAUTANWA K.N.1",584,461,0,1045,343,258,0,601,601,0,158,14,399,6,1,0,1,1,7,0,1,1,0,0,0,1,1,1,1,0,0,2,0,6,601
58,"A.JU.HA.SCHOOL NAUTANWA K.N.2",440,402,0,842,278,207,0,485,485,0,113,24,314,26,1,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,485
59,"P.P.NAUTANWA PAKKA BHAWAN DASHIN",668,569,0,1237,420,324,0,744,744,0,255,42,399,30,2,0,5,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,744
60,"P.P.NAUTANWA UTTAR",630,548,0,1178,302,232,0,534,534,0,127,24,350,19,0,0,0,1,3,0,0,0,0,1,1,0,2,3,0,0,0,0,2,1,534
61,"A.JU.HA.SCHOOL NAUTANWA K.N.4",811,693,1,1505,557,298,0,855,600,0,214,53,501,46,4,2,7,3,8,1,4,1,1,0,1,2,1,1,0,0,0,1,0,4,855
62,"A.JU.HA.SCHOOL NAUTANWA K.N.3 DASHIN",780,698,0,1478,493,445,0,938,720,0,90,165,556,56,2,2,4,0,1,3,6,1,4,7,6,13,2,4,5,1,1,1,2,6,938
63,"P.P.A.S.URF BAIRIHAWA",651,553,0,1204,349,358,0,707,707,0,257,135,240,32,2,1,2,3,2,3,2,0,2,2,3,8,0,3,2,1,1,2,0,4,707
64,P.P.CHAPAWA,632,506,0,1138,379,343,0,722,722,0,116,121,436,24,0,0,1,0,1,1,5,0,0,6,1,4,3,0,1,0,1,0,0,1,722
65,P.P.SIHORAWA,482,432,0,914,250,307,0,557,557,0,94,245,167,11,1,0,0,1,2,1,3,0,0,6,4,10,2,4,2,0,0,2,0,2,557
66,"P.P. BAGAHA",788,634,0,1422,373,369,0,742,742,0,224,198,206,47,1,2,10,0,15,0,3,0,4,0,2,14,3,4,4,1,0,1,2,1,742
67,"P.P. KHAIRATI PURAB",554,499,0,1053,246,403,0,649,647,0,315,73,182,28,4,2,5,0,1,4,2,0,2,2,6,10,3,1,1,0,2,2,2,2,649
68,"P.P. NAYA BHAWAN KHAIRATI",318,273,0,591,166,146,0,312,311,0,178,39,64,22,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,1,1,0,0,1,312
69,"P.P. KHAIRATI U0",509,420,0,929,292,290,0,582,582,0,247,104,148,58,2,0,1,0,0,1,1,1,0,0,1,7,2,4,2,0,0,1,0,2,582
70,"P.P. ARAJI MAHUWA",321,246,0,567,170,149,0,319,308,0,96,24,104,79,2,1,1,0,1,0,2,0,0,2,0,2,2,0,2,0,0,0,0,1,319
71,"P.P. BARAWA BHOJ",456,426,0,882,318,295,0,613,613,0,147,177,211,22,3,0,4,0,5,1,1,4,3,3,5,15,2,2,3,1,0,0,0,4,613
72,"P.P. LODHASI",302,287,0,589,225,220,0,445,445,0,100,168,106,33,9,0,2,0,1,1,3,2,1,2,2,5,4,1,0,0,0,0,2,3,445
73,P.P.MUDILA,648,586,0,1234,578,251,0,829,814,0,173,156,401,25,1,3,3,0,1,0,2,2,3,5,3,29,4,4,4,0,3,1,3,3,829
74,"P.P. KHARGBARAWA",213,178,0,391,148,136,0,284,247,0,54,101,113,7,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,1,284
75,P.P.MAHUAWA,644,511,0,1155,288,258,0,546,490,0,152,89,213,43,0,2,2,3,3,0,4,2,2,5,2,11,3,3,2,0,1,3,0,1,546
76,"P.P. DURGAPUR",628,560,0,1188,397,372,0,769,769,0,249,67,340,21,0,3,1,3,2,4,5,4,4,6,5,19,6,8,2,2,3,6,2,7,769
77,SA.VI.RAMNAGAR,647,575,1,1223,369,356,0,725,725,0,165,243,214,18,5,1,8,1,1,1,3,3,2,4,0,26,7,5,0,0,5,6,1,6,725
78,P.P.GANESHPUR,822,675,0,1497,482,357,0,839,839,0,268,244,199,53,2,1,9,0,0,1,5,1,2,4,2,18,5,8,2,0,3,4,3,5,839
79,"P.P. KARMAHAWA",377,355,0,732,225,216,0,441,441,0,164,113,134,8,0,1,0,0,1,1,1,1,0,2,1,3,1,2,2,0,3,2,1,0,441
80,P.P.SONPIPARI,466,391,0,857,314,273,0,587,587,0,194,192,107,8,3,3,1,1,0,0,8,2,0,3,7,39,2,3,0,0,5,3,1,5,587
81,"P.P.HATHIHAWA K.N.1",525,459,1,985,320,294,0,614,614,0,275,96,173,18,2,1,20,1,1,1,0,1,4,1,1,14,2,1,0,0,0,1,0,1,614
82,"P.P.HATHIHAWA K.N.2",424,386,0,810,265,236,0,501,497,0,240,61,164,18,1,3,1,0,0,2,2,0,1,1,1,2,2,0,1,1,0,0,0,0,501
83,"SHRI VISHAMBHARNATH I.KA. RATANPU",837,762,0,1599,640,404,0,1044,1044,0,385,84,430,39,6,2,7,3,7,2,8,3,4,4,2,10,8,17,8,1,7,1,3,3,1044
84,P.P.PARASASUMALI,748,633,0,1381,448,405,0,853,853,0,212,51,336,8,4,3,9,2,3,5,8,2,5,8,4,160,6,6,5,1,5,3,1,6,853
85,"P.P. KOHADAWAL",755,648,1,1404,442,436,0,878,869,0,245,319,198,23,1,5,4,1,2,0,2,3,3,6,3,22,6,11,6,2,8,6,0,2,878
86,"P.P.MAHDEIYA K.N1",666,567,0,1233,414,330,0,744,744,0,170,128,292,14,4,3,3,2,4,1,11,5,8,4,9,52,5,4,4,4,5,2,6,4,744
87,P.P.DAGARPURAWA,277,231,0,508,167,123,0,290,290,0,127,60,63,6,0,1,0,1,1,0,0,2,1,0,2,10,4,2,4,1,2,2,0,1,290
88,"P.P.VISHKHOP PURAB",445,378,0,823,262,237,0,499,499,0,200,114,114,9,1,46,0,0,3,0,4,1,1,0,0,2,1,0,2,0,0,1,0,0,499
89,"P.P.VISHKHOP PASCHIM",784,638,0,1422,475,369,0,844,844,0,238,194,345,8,5,16,3,1,3,3,3,2,0,6,2,7,4,1,0,0,1,0,0,2,844
90,"P.P. SISAWA URF KHORIYA UTTAR",853,724,0,1577,502,461,0,963,960,0,186,154,519,27,4,3,2,0,6,1,2,2,1,4,5,8,7,10,4,1,3,3,1,10,963
91,"P.P. SISAWA URF KHORIYA DA.",903,748,0,1651,555,440,0,995,725,0,204,248,430,27,4,6,3,2,3,5,6,2,2,7,3,14,5,6,5,0,2,2,3,6,995
92,P.P.PURUSHOTTAMPUR,395,343,0,738,243,219,0,462,462,0,152,177,92,8,1,1,4,0,1,1,3,1,1,3,4,4,1,5,0,0,0,0,0,3,462
93,"P.P. HARLALGARH K.N.",261,223,0,484,150,122,0,272,120,0,49,79,121,5,1,0,1,2,1,0,2,0,2,1,2,2,0,1,1,1,1,0,0,0,272
