"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KALRAJ MISHRA","2 - NIYAJ AHMAD","3 - BALESHWAR YADAV","4 - SABHA KUNWAR","5 - AROON KUMAR TRIPATHI","6 - AWADH KISHOR NIGAM","7 - INTZARUL","8 - UMESH","9 - RAJU","10 - RAM PRAVESH","11 - RAM PREET","12 - VED PRAKASH MALL","13 - SHYAM SUNDAR","14 - BARKHA KINNAR","15 - HEMANT KISHOR SRIVASTAVA","16 - None of the Above","Total Votes Secured"
84,"NAGAR PANCHAYT SEORHI ROOM NO.1",431,322,1,754,201,159,0,360,15,0,92,203,15,22,3,1,0,2,2,2,1,0,3,1,7,6,360
85,"NAGAR PANCHAYT SEORHI ROOM NO.2",667,589,1,1257,413,311,0,724,200,0,536,107,13,43,2,1,0,2,2,4,2,2,2,2,3,3,724
86,"NAGAR PANCHAYT SEORHI ROOM NO.3",628,529,9,1166,348,258,0,606,201,0,497,46,21,22,5,0,0,0,1,0,1,1,6,0,2,4,606
87,"GIRLS  I.C. SEORAHI",655,508,8,1171,290,300,0,590,490,0,465,42,40,15,5,1,2,0,0,3,0,2,5,3,2,5,590
88,"PRIMARY  SCHOOL PAKADIYAR  TURKWALIYA SAHBGANJ",458,369,1,828,277,211,0,488,487,0,402,42,21,9,0,0,0,0,1,2,1,0,7,0,0,3,488
89,"BALIKA LAGHU MADHAMIK  BIDYA. SEORAHI ROOM NO.1",683,556,2,1241,325,307,0,632,337,0,298,240,28,41,4,1,1,1,4,4,0,0,6,2,0,2,632
90,"BALIKA LAGHU MADHAMIK  BIDYA . SEORAHI ROOM NO.2",409,343,2,754,179,144,0,323,150,0,165,121,14,6,1,0,0,0,1,3,1,1,6,0,2,2,323
91,"BALIKA LAGHU MADHAMIK  BIDYA . SEORAHI ROOM NO.3",670,557,0,1227,343,261,0,604,6,0,320,196,24,25,8,0,0,2,2,2,1,0,9,5,2,8,604
92,"GOV. GIRLS SCHOOL SEORAHI  ROOM NO.1",714,594,0,1308,423,250,0,673,16,0,519,81,24,20,3,2,0,1,0,1,0,0,20,0,0,2,673
93,"GOV. GIRLS SCHOOL SEORAHI ROOM NO.2",499,365,0,864,278,154,0,432,112,0,396,7,9,10,1,0,0,0,0,0,0,0,4,0,0,5,432
94,"LOKMANYA    I.C.   SEORAHI ROOM NO.1",680,451,0,1131,398,239,0,637,418,0,543,35,13,26,2,1,0,0,0,1,0,0,12,1,0,3,637
95,"LOKMANYA    I.C.   SEORAHI ROOM NO 2",618,439,1,1058,318,199,0,517,217,0,389,58,13,31,11,0,0,0,1,1,1,0,8,1,1,2,517
96,"LOKMANYA    I.C.   SEORAHI ROOM NO.3",779,603,0,1382,355,328,0,683,683,0,391,180,38,43,2,0,1,0,1,4,0,0,3,3,6,11,683
97,"PRIMARY  SCHOOL SEORAHI",343,319,0,662,206,197,0,403,75,0,111,237,21,8,1,1,3,1,4,2,0,2,2,3,2,5,403
98,"PRIMARY  SCHOOL   TURKAWALIYA  SAHABGANJ NAW",762,572,1,1335,378,332,0,710,350,0,467,137,32,29,4,0,1,0,6,7,0,1,2,5,6,13,710
99,"PRIMARY  SCHOOL  SUMAHI MOHAN SINGH",534,420,0,954,335,280,0,615,350,0,387,145,20,51,0,0,0,0,0,3,0,0,0,2,2,5,615
100,"PRIMARY  SCHOOL HARAKHAULI",717,483,1,1201,301,338,0,639,369,0,391,121,66,37,1,2,2,3,2,3,1,1,5,0,1,3,639
101,"PRIMARY  SCHOOL AWADAN TOLA",502,412,0,914,232,197,0,429,380,0,285,79,25,19,0,0,0,0,0,3,1,1,6,3,2,5,429
102,"PRIMARY  SCHOOL SUMAHI SANT PATTI ROOM NO.1",292,236,0,528,137,141,0,278,150,0,29,153,79,5,2,0,0,0,2,1,0,0,5,0,2,0,278
103,"PRIMARY  SCHOOL SUMAHI SANT PATTI ROOM NO.2",585,495,0,1080,320,261,0,581,200,0,345,41,148,8,0,0,0,2,2,6,1,2,5,4,6,11,581
104,"GRILSJ.H.SCHOOL GAURI IABRAHIM",809,670,0,1479,455,438,0,893,603,0,375,295,107,84,3,0,7,3,5,3,0,0,1,1,4,5,893
105,"PRIMARY  SCHOOL CHAKHANI DUKHI MISHRA",606,518,0,1124,331,310,0,641,41,0,161,227,166,41,0,1,0,1,2,2,2,3,16,5,3,11,641
106,"PRIMARY  SCHOOL GAURI  NAROTTAM",847,689,0,1536,524,370,0,894,890,0,222,156,410,20,5,1,1,4,15,4,3,4,7,14,10,18,894
107,"PRIMARY  SCHOOL DAWANAHA ROOM NO.1",848,703,0,1551,467,449,0,916,299,0,552,168,131,42,4,0,0,0,5,2,1,0,3,1,0,7,916
108,"PRIMARY  SCHOOL DAWANAHA ROOM NO.2",440,357,0,797,177,190,0,367,129,0,59,248,22,23,2,0,0,0,0,1,2,2,6,0,0,2,367
109,"GRILSJ.H.SCHOOL AHIRAULI  MISHRA ROOM NO.1",545,428,0,973,350,281,0,631,600,0,296,120,146,37,5,0,0,1,3,2,2,1,9,2,3,4,631
110,"GRILSJ.H.SCHOOL AHIRAULI  MISHRA ROOM NO.2",810,676,0,1486,322,389,0,711,682,0,282,143,201,33,2,1,2,2,8,6,2,3,8,6,4,8,711
111,"PRIMARY  SCHOOL  AHIRAULI HANUMAN  SINGH",434,387,0,821,247,233,0,480,310,0,329,59,65,15,0,0,0,1,1,2,1,0,1,1,0,5,480
112,"PRIMARY  SCHOOL  DHOOM  PATTI",445,393,0,838,231,226,0,457,350,0,270,73,34,65,1,1,0,0,0,3,1,1,0,2,2,4,457
113,"PRIMARY  SCHOOL VISHUNPURA ROOM NO.1",480,362,0,842,288,239,0,527,41,0,265,76,13,139,8,1,2,1,8,1,1,1,5,0,1,5,527
114,"PRIMARY  SCHOOL VISHUNPURA ROOM NO.2",485,370,1,856,275,261,0,536,435,0,209,142,58,103,4,0,0,1,3,2,1,1,3,3,3,3,536
115,"J.H.SCHOOL DHURUYA IAMLIYA ROOM NO.1",654,476,0,1130,458,212,0,670,160,0,409,166,35,17,5,0,0,1,4,6,0,2,8,3,1,13,670
116,"J.H.SCHOOL DHURUYA IAMLIYA ROOM NO.2",546,417,0,963,297,300,0,597,50,0,269,260,27,16,2,1,0,3,3,4,1,1,3,1,4,2,597
117,"J.H.SCHOOL DHURUYA IAMLIYA ROOM NO.3",558,437,2,997,258,290,0,548,250,0,356,138,9,15,5,0,0,0,1,3,1,1,8,0,3,8,548
118,"PRIMARY  SCHOOL HATA",658,539,1,1198,345,339,0,684,174,0,190,170,222,31,2,0,3,3,7,6,3,4,2,6,8,27,684
119,"PRIMARY  SCHOOL DHURIYA KOT ROOM NO .1",792,731,0,1523,495,440,0,935,600,0,341,232,232,90,1,3,2,0,11,11,1,1,4,1,1,4,935
120,"PRIMARY  SCHOOL DHURIYA KOT ROOM NO.2",868,639,0,1507,481,384,0,865,50,0,281,210,232,63,1,1,4,0,8,23,0,1,12,7,3,19,865
121,"PRIMARY  SCHOOL  BHATAWALIYA ROOM NO.1",848,687,0,1535,507,466,0,973,50,0,525,255,95,27,10,2,5,2,3,15,1,3,15,2,3,10,973
122,"PRIMARY  SCHOOL  BHATAWALIYA ROOM NO.2",795,611,0,1406,405,372,0,777,350,0,414,206,52,64,4,0,3,4,4,13,0,0,8,0,1,4,777
123,"PRIMARY  SCHOOL  BHATAWALIYA NO.3",520,383,0,903,262,221,0,483,422,0,205,106,52,52,2,0,0,0,3,1,1,4,44,3,4,6,483
124,"PRIMARY  SCHOOL TAMKUHI ROOM NO.1",510,426,0,936,289,269,0,558,67,0,209,206,46,63,10,2,0,0,1,2,0,0,7,3,4,5,558
125,"PRIMARY  SCHOOL TAMKUHI ROOM NO.2",520,467,2,989,235,265,0,500,484,0,194,218,44,22,4,1,2,1,1,0,0,1,4,2,4,2,500
126,"PRIMARY  SCHOOL TAMKUHI ROOM NO.3",448,345,0,793,251,196,0,447,248,0,250,86,25,61,1,1,0,1,1,1,0,4,4,4,4,4,447
127,"PRIMARY  SCHOOL TAMKUHI ATRICT KAKSH",500,415,0,915,287,203,0,490,290,0,344,54,26,46,8,0,1,1,1,0,1,0,1,2,1,4,490
128,"NEW PRIMARY  SCHOOL PURANI  TAMKUHI",818,664,1,1483,410,450,0,860,500,0,349,118,129,70,3,2,4,3,8,14,4,7,120,12,6,11,860
129,"PRIMARY  SCHOOL LAWANIYA",848,692,0,1540,505,449,0,954,400,0,535,208,132,45,7,2,2,3,7,3,2,1,1,1,1,4,954
130,"PRIMARY  SCHOOL  BHARPATIYA ROOM NO.1",565,456,0,1021,313,282,0,595,595,0,383,121,30,8,5,1,2,4,3,5,3,4,1,3,8,14,595
131,"PRIMARY  SCHOOL MAJHAUWA",469,434,0,903,275,260,0,535,450,0,316,59,41,72,7,0,1,2,4,12,3,1,2,3,2,10,535
132,"PRIMARY  SCHOOL  BHARPATIYA ROOM NO.2",589,447,0,1036,304,298,0,602,602,0,244,199,69,40,4,2,2,1,4,9,2,1,2,1,6,16,602
133,"PRIMARY  SCHOOL HARAPUR ROOM NO .1",823,587,0,1410,415,376,0,791,791,0,396,144,130,63,5,0,3,3,5,10,2,1,7,0,8,14,791
134,"PRIMARY  SCHOOL HARAPUR ROOM NO.2",443,379,0,822,201,200,0,401,401,0,203,81,44,40,1,0,1,0,3,3,1,1,10,4,4,5,401
135,"PRIMARY  SCHOOL PURAINA KATAYA ROOM NO.1",621,494,0,1115,326,270,0,596,396,0,420,24,63,59,11,0,2,1,0,0,0,1,5,0,4,6,596
136,"PRIMARY  SCHOOL PURAINA KATAYA ROOM NO.2",373,334,0,707,186,199,0,385,200,0,288,36,22,9,5,0,1,0,5,4,0,0,5,0,5,5,385
137,"J.H. SCHOOL  BIHAR BUJURG ROOM NO.1",889,669,0,1558,451,370,0,821,421,0,620,61,44,21,7,1,1,3,3,6,6,3,5,5,7,28,821
