"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MULAYAM SINGH YADAV","2 - SHATRUGHAN SINGH CHAUHAN","3 - DR. SANGHMITRA MAURYA","4 - ABU NASIM PATHAN","5 - BABA HARDEV SINGH","6 - SHISHUPAL SINGH","7 - SATENDRA VEER SINGH CHAUHAN","8 - ASHOK KUMAR","9 - ALOK NANDAN","10 - MUKESH KUMAR","11 - MUKESH KUMAR SHAKYA","12 - RAJESHWARI","13 - HAKIM SINGH","14 - None of the Above","Total Votes Secured"
17,"PRIMARY SCHOOL NAGLA DAYALPURA",524,426,0,950,466,374,0,840,800,40,807,25,0,0,1,0,0,0,1,0,0,1,0,5,840
18,"DR. RAM MANOHAR LOHIA INTER COLLEGE DHANUA",755,586,0,1341,517,344,0,861,861,0,808,15,31,0,0,0,0,0,0,0,1,0,1,5,861
19,"PRIMARY SCHOOL NAGLA JAGAN",226,204,0,430,217,171,0,388,388,0,384,4,0,0,0,0,0,0,0,0,0,0,0,0,388
20,"PRIMARY SCHOOL NAGLA LAYAK",249,208,0,457,238,183,0,421,421,0,419,1,0,0,0,0,0,0,0,0,0,0,0,1,421
21,"PRIMARY SCHOOL NAGLA FHATEHPURA",429,370,0,799,384,300,0,684,684,0,648,15,14,0,0,0,0,1,1,0,2,0,1,2,684
22,"PRIMARY SCHOOL BIYARI BHATPURA WEST",498,407,0,905,354,232,0,586,586,0,552,16,6,0,0,1,0,1,0,0,0,0,0,10,586
23,"PRIMARY SCHOOL BIYARI BHATPURA EAST",344,292,0,636,242,169,0,411,411,0,330,27,40,1,0,0,0,2,2,0,0,1,2,6,411
24,"PRIMARY SCHOOL BHUJPURA BIBAMAU",240,184,0,424,220,147,0,367,367,0,359,7,1,0,0,0,0,0,0,0,0,0,0,0,367
25,"PRIMARY SCHOOL KAKRAI",532,382,0,914,423,268,0,691,691,0,662,17,1,0,4,0,0,0,1,0,0,0,0,6,691
26,"PRIMARY SCHOOL DARSHANPUR",221,196,0,417,189,136,0,325,325,0,310,15,0,0,0,0,0,0,0,0,0,0,0,0,325
27,"PRIMARY SCHOOL KHERA BUJURG NORTH",636,515,0,1151,407,299,0,706,706,0,611,61,24,0,3,0,0,0,2,0,0,1,1,3,706
28,"PRIMARY SCHOOL KHERA BUJURG SOUTH",269,210,0,479,181,153,0,334,334,0,230,4,86,0,0,0,0,0,0,0,7,1,1,5,334
29,"PRIMARY SCHOOL TULARAMPUR",397,291,0,688,315,203,0,518,518,0,516,1,1,0,0,0,0,0,0,0,0,0,0,0,518
30,"PRIMARY SCHOOL BHAGWANPURA",394,336,0,730,257,287,0,544,544,0,543,1,0,0,0,0,0,0,0,0,0,0,0,0,544
31,"PRIMARY SCHOOL NAGLA KEHRI",322,288,0,610,283,170,0,453,453,0,431,15,5,0,0,1,0,0,0,0,0,0,0,1,453
32,"PRIMARY SCHOOL KURSENA ROOM-1",491,416,0,907,454,336,0,790,790,0,701,53,28,0,2,0,0,0,1,1,1,0,0,3,790
33,"PRIMARY SCHOOL KURSENA ROOM-2",348,300,0,648,287,165,0,452,452,0,389,21,18,19,1,0,0,0,0,1,0,0,2,1,452
34,"PRIMARY SCHOOL HANUMANT KHERA",414,324,0,738,369,239,0,608,608,0,535,45,24,0,0,0,1,0,0,0,1,0,1,1,608
35,"PRIMARY SCHOOL GARI JALIM",429,360,0,789,424,307,0,731,731,0,719,10,2,0,0,0,0,0,0,0,0,0,0,0,731
36,"PRIMARY SCHOOL RUKANPURA",489,394,1,884,485,346,0,831,831,0,827,4,0,0,0,0,0,0,0,0,0,0,0,0,831
37,"PANCHAYATGHAR KANCHANIA",117,87,0,204,81,66,0,147,147,0,95,3,48,0,0,0,0,0,0,0,0,0,1,0,147
38,"PRIMARY SCHOOL NAGLA SUGANDH NAGER",367,318,0,685,249,241,0,490,490,0,458,25,2,1,0,0,0,0,0,0,1,0,0,3,490
39,"PRIMARY SCHOOL AJNORA",470,424,0,894,431,333,0,764,764,0,666,31,61,2,0,1,0,0,0,0,1,0,0,2,764
40,"SAMUDAIK KENDRA PATHAKPURA",350,314,0,664,323,273,0,596,596,0,592,3,0,0,0,0,0,0,0,0,0,0,1,0,596
41,"PRIMARY SCHOOL CHANDANPUR BIBAMAU",380,338,0,718,327,219,0,546,546,0,541,2,3,0,0,0,0,0,0,0,0,0,0,0,546
42,"PRIMARY SCHOOL SHAHJAHANPUR",464,360,0,824,446,344,0,790,790,0,789,1,0,0,0,0,0,0,0,0,0,0,0,0,790
43,"PRIMARY SCHOOL LARKHOR",538,406,0,944,389,256,0,645,645,0,463,137,12,0,1,1,1,3,3,2,1,1,4,16,645
44,"PRIMARY SCHOOL MOHANPURA (LARHHAUR)",540,406,0,946,524,340,0,864,864,0,855,9,0,0,0,0,0,0,0,0,0,0,0,0,864
45,"""PRIMARY SCHOOL KHUSHALPURA (LARHHAUR)""",353,266,0,619,337,227,0,564,564,0,548,12,2,0,0,0,0,0,0,0,0,0,1,1,564
46,"PRIMARY SCHOOL BHAUPURA",473,376,0,849,436,242,0,678,608,0,674,4,0,0,0,0,0,0,0,0,0,0,0,0,678
47,"PRIMARY SCHOOL NAGLA SUBHAN",804,672,0,1476,599,447,0,1046,985,0,1039,1,5,1,0,0,0,0,0,0,0,0,0,0,1046
48,"ZILA PANCHAYAT INTER COLLEGE HEONRA",692,595,0,1287,600,414,0,1014,1012,0,996,13,1,0,0,0,0,0,0,0,0,0,0,4,1014
49,"PRIMARY SCHOOL HENORA NEW BUILDING",777,640,0,1417,489,361,0,850,850,0,777,40,23,1,0,0,4,1,0,1,1,1,0,1,850
50,"PRIMARY SCHOOL NAGLA ANIYA",270,235,0,505,256,202,0,458,454,0,455,2,1,0,0,0,0,0,0,0,0,0,0,0,458
51,"PRIMARY SCHOOL BANAMAI",534,448,0,982,351,274,0,625,611,0,376,140,78,1,0,0,0,1,3,3,6,4,4,9,625
52,"PRIMARY SCHOOL BHAISAN",800,605,0,1405,504,331,0,835,835,0,634,122,63,1,1,0,0,2,4,1,2,1,3,1,835
53,"PRIMARY SCHOOL PARSAOUA",724,636,0,1360,543,394,0,937,933,0,795,75,44,1,2,0,1,1,2,3,0,2,4,7,937
54,"PRIMARY SCHOOL ALAMPUR NARIA",765,641,0,1406,595,385,0,980,977,0,851,85,34,0,2,1,1,1,0,0,1,1,1,2,980
55,"PRIMARY SCHOOL BHAWALPUR",387,318,0,705,305,230,0,535,499,0,404,117,2,0,0,0,0,0,1,1,0,1,2,7,535
56,"PRIMARY SCHOOL NILOI EAST",537,481,0,1018,338,282,0,620,620,0,383,69,154,3,1,1,0,0,2,0,0,1,2,4,620
57,"PRIMARY SCHOOL NILOI WEST",588,485,0,1073,269,343,0,612,598,0,303,73,215,1,5,3,0,0,1,0,3,0,1,7,612
58,"PRIMARY SCHOOL NAGLA RATHORE",290,241,0,531,205,165,0,370,364,0,215,68,72,0,2,0,0,1,1,1,1,4,0,5,370
59,"PRIMARY SCHOOL PRATAPPURA",304,284,0,588,283,228,0,511,510,0,457,40,1,0,4,0,0,0,0,1,0,1,0,7,511
60,"PRIMARY SCHOOL MAHLAI ROOM-1",560,471,0,1031,428,301,0,729,726,0,534,78,90,1,0,0,2,1,1,1,0,1,2,18,729
61,"PRIMARY SCHOOL MAHLAI ROOM-2",362,310,0,672,288,232,0,520,517,0,339,141,33,0,0,0,1,0,2,0,1,0,3,0,520
62,"JODHASINGH INTER COLLEGE HARKOOPUR",307,268,0,575,232,205,0,437,437,0,323,66,39,0,1,0,0,0,1,0,3,0,2,2,437
63,"SHRI MULAYAM SINGH YADAV INTER COLLEGE RAINAGER",531,455,0,986,441,322,0,763,763,0,602,45,101,1,1,0,0,2,3,0,1,1,1,5,763
64,"PRIMARY SCHOOL NAGLA HARE",433,347,0,780,420,269,0,689,689,0,643,42,0,0,2,0,0,0,1,0,0,0,1,0,689
65,"PRIMARY SCHOOL KELOKHAR",615,516,0,1131,421,349,0,770,770,0,590,136,32,2,2,0,0,1,0,0,2,2,1,2,770
66,"PRIMARY SCHOOL NAGLA SEWARAM",220,205,0,425,190,178,0,368,362,0,342,23,1,0,0,0,0,0,0,1,0,0,0,1,368
67,"PRIMARY SCHOOL KUNJPUR",379,315,0,694,272,211,0,483,483,0,418,34,23,0,1,1,0,0,1,0,0,1,0,4,483
68,"PRIMARY SCHOOL JARIKHERA",246,229,0,475,199,166,0,365,352,0,279,60,18,0,2,0,0,0,1,1,0,0,0,4,365
69,"PRIMARY SCHOOL MUHABATPUR NAGLA BHAGAT",710,554,0,1264,479,397,0,876,831,0,205,39,606,3,0,0,1,0,0,1,8,2,2,9,876
70,"KANYA PRIMARY SCHOOL KEST",887,733,0,1620,541,370,0,911,911,0,537,263,58,2,4,1,5,1,10,1,6,3,3,17,911
71,"PRIMARY SCHOOL KEST",829,643,0,1472,471,349,0,820,739,0,286,89,413,4,0,1,2,0,2,4,9,1,4,5,820
72,"PRIMARY SCHOOL NAGLA INCHA",538,449,0,987,423,335,0,758,758,0,590,107,44,0,2,0,1,0,1,0,1,1,2,9,758
73,"PRIMARY SCHOOL DURGAPURA (LUDHPURA)",212,163,0,375,149,128,0,277,242,0,124,7,135,1,0,1,0,0,0,1,2,3,1,2,277
74,"KANYA UCCHATAR PRIMARY SCHOOL JASWANT NAGER (R.N.-1)",564,509,0,1073,408,307,0,715,715,0,574,109,14,0,3,0,1,0,1,0,2,0,1,10,715
75,"KANYA UCCHATAR PRIMARY SCHOOL JASWANT NAGER (R.N.-2)",838,720,0,1558,559,439,0,998,988,0,842,125,17,2,4,0,0,0,2,0,1,0,0,5,998
76,"GOVERNMENT GIRLS INTER COLLEGE JASWANT NAGER (R.N.1)",436,362,0,798,335,240,0,575,546,0,400,124,43,0,4,0,0,0,0,0,1,0,1,2,575
77,"GOVERNMENT GIRLS INTER COLLEGE JASWANT NAGER (R.N.2)",533,478,0,1011,431,343,0,774,759,0,672,61,28,0,6,0,0,0,1,0,1,0,0,5,774
78,"GOVERNMENT GIRLS INTER COLLEGE JASWANT NAGER (R.N.3)",433,343,0,776,290,244,0,534,527,0,428,66,28,1,6,0,0,0,0,0,0,0,2,3,534
79,"GOVERNMENT GIRLS INTER COLLEGE JASWANT NAGER (R.N.4)",454,372,0,826,348,253,0,601,519,0,475,85,29,2,0,0,1,0,2,1,1,0,2,3,601
80,"JUNIOR HIGH SCHOOL JASWANT NAGER (R.N.1)",822,700,1,1523,604,410,0,1014,1000,0,807,187,12,0,0,0,0,0,0,0,1,0,2,5,1014
81,"JUNIOR HIGH SCHOOL JASWANT NAGER (R.N.2)",702,582,0,1284,461,353,0,814,793,0,603,164,36,1,3,1,0,0,2,0,0,0,1,3,814
82,"JUNIOR HIGH SCHOOL JASWANT NAGER (R.N.3)",800,660,0,1460,489,384,0,873,668,0,678,169,10,3,0,0,1,1,4,0,1,1,2,3,873
83,"PRIMARY SCHOOL JASWANT NAGER (R.N. 1)",437,430,0,867,338,295,0,633,633,0,491,120,13,0,6,0,0,1,0,1,0,0,0,1,633
84,"PRIMARYSCHOOL JASWANT NAGER (R.N. 2)",835,673,0,1508,651,373,0,1024,1024,0,782,196,23,4,1,2,0,0,5,1,1,2,1,6,1024
85,"PARIGANIT PRIMARY SCHOOL JASWANT NAGER (R.N. 1)",594,516,0,1110,445,311,0,756,608,0,513,162,63,5,1,0,0,1,1,1,1,0,3,5,756
86,"PARIGANIT PRIMARYSCHOOL JASWANT NAGER (R.N. 2)",702,580,0,1282,506,381,0,887,855,0,806,17,56,3,1,0,0,0,0,0,0,1,1,2,887
87,"HINDU VIDYALAYA INTER COLLEGE. JASWANT NAGER (R.N. 1)",655,604,0,1259,445,378,0,823,813,0,698,95,18,2,3,0,0,0,0,0,1,2,4,0,823
88,"HINDU VIDYALAYA INTER COLLEGE. JASWANT NAGER (R.N. 2)",695,582,0,1277,585,386,0,971,948,0,820,103,43,2,1,0,0,0,0,0,0,0,0,2,971
89,"HINDU VIDYALAYA INTER COLLEGE. JASWANT NAGER (R.N. 3)",675,562,0,1237,442,337,0,779,779,0,596,100,72,0,3,0,0,0,1,1,1,0,1,4,779
90,"HINDU VIDYALAYA INTER COLLEGE. JASWANT NAGER (R.N. 4)",533,442,0,975,354,320,0,674,674,0,522,84,55,1,0,1,0,0,3,0,1,1,2,4,674
91,"PRIMARY SCHOOL SISHAT EAST",628,496,0,1124,494,303,0,797,797,0,666,60,56,1,2,0,0,0,2,1,0,0,2,7,797
92,"PRIMARY SCHOOL SISHAT WEST",316,261,0,577,254,195,0,449,423,0,281,16,146,1,1,0,1,0,0,0,0,0,0,3,449
93,"PRIMARY SCHOOL PIPREDI",350,286,0,636,283,197,0,480,470,0,393,8,77,0,0,0,0,0,0,1,0,0,1,0,480
94,"PANCHAYATGHAR JWALAPUR VILL. PIPREDI",267,230,0,497,236,186,0,422,421,0,409,11,1,0,0,0,1,0,0,0,0,0,0,0,422
95,"PRIMARY SCHOOL RAJPUR TAMERI",384,343,0,727,347,290,0,637,637,0,493,38,101,0,3,0,0,0,0,0,1,0,0,1,637
96,"PRIMARY SCHOOL TAMERI",430,344,0,774,270,216,0,486,486,0,255,3,219,5,0,0,0,0,1,0,3,0,0,0,486
97,"PRIMARY SCHOOL JUGOURA",432,401,0,833,382,362,0,744,744,0,733,5,6,0,0,0,0,0,0,0,0,0,0,0,744
98,"PRIMARY SCHOOL BAHORIPUR",260,200,0,460,215,159,0,374,374,0,359,3,12,0,0,0,0,0,0,0,0,0,0,0,374
99,"ASHOK INTER COLLEGE KUKAWALI (R.N.1)",819,652,0,1471,414,324,0,738,738,0,454,190,64,2,0,1,1,1,7,2,2,2,3,9,738
100,"ASHOK INTER COLLEGEKUKAWALI (R.N.2)",701,597,0,1298,444,323,0,767,767,0,573,137,36,0,9,2,1,0,2,0,0,1,1,5,767
101,"PRIMARY SCHOOL BAHADURPUR NASIRPUR",616,451,0,1067,445,280,0,725,725,0,593,108,4,0,2,0,2,0,3,1,3,0,4,5,725
102,"PRIMARY SCHOOL NIJAMPUR",241,196,0,437,187,146,0,333,333,0,254,19,58,0,0,1,0,0,0,0,0,0,0,1,333
103,"प्रा0 पा0 नगला रामसुन्दर पूर्वी",541,466,0,1007,315,192,0,507,507,0,294,198,0,0,0,0,0,0,5,1,2,0,5,2,507
104,"PRIMARY SCHOOL NAGLA RAMSUNDER WEST",437,328,0,765,242,173,0,415,415,0,251,89,59,0,0,0,0,0,0,1,4,1,3,7,415
105,"PRIMARY SCHOOL NAGLA SALAHDI",767,584,0,1351,500,321,0,821,819,0,646,161,5,0,0,0,0,0,4,0,1,3,0,1,821
106,"PRIMARY SCHOOL BALRAI",778,671,0,1449,578,365,0,943,943,0,594,222,111,1,1,0,0,1,4,0,2,1,2,4,943
107,"PRIMARY SCHOOL DODUA GOPALPUR (GADI RAMDHAN)",651,479,0,1130,390,270,0,660,660,0,459,139,48,1,0,0,0,1,3,0,1,1,3,4,660
108,"PRIMARY SCHOOL BIBAMAU EAST",560,440,0,1000,377,180,0,557,557,0,365,144,36,0,4,0,2,0,2,1,1,1,0,1,557
109,"PRIMARY SCHOOL BIBAMAU WEST",378,299,0,677,213,114,0,327,327,0,208,80,36,0,0,1,0,0,0,0,1,0,0,1,327
110,"PRIMARY SCHOOL AJABPUR BIBAMAU",214,167,0,381,177,122,0,299,299,0,226,67,2,0,1,0,1,0,0,1,0,1,0,0,299
111,"PRIMARY SCHOOL NAGLA VISHUN TIJORA EAST",701,530,0,1231,468,253,0,721,721,0,532,158,14,1,3,0,0,1,2,2,0,0,3,5,721
112,"PRIMARY SCHOOL NAGLA VISHUN TIJORA WEST",583,446,0,1029,396,187,0,583,583,0,449,114,5,0,0,0,2,0,2,0,0,3,1,7,583
113,"PRIMARY SCHOOL PREM NAGER",336,257,0,593,197,157,0,354,354,0,215,61,74,0,0,0,0,0,1,0,1,0,2,0,354
114,"JUNIOR HIGH SCHOOL BAUTH",777,540,0,1317,380,230,0,610,599,0,368,180,26,0,6,0,1,0,9,1,1,0,3,15,610
115,"PRIMARY SCHOOL MADIYA FAKIRE MAUJA BAUTH",344,290,0,634,252,154,0,406,406,0,256,145,0,0,0,0,0,0,2,0,2,1,0,0,406
116,"PRIMARY SCHOOL SARAMAI",320,255,0,575,285,172,0,457,457,0,409,31,14,1,0,0,0,0,0,0,0,1,0,1,457
117,"PRIMARY SCHOOL NAGLA TAUR NORTH",725,566,0,1291,369,241,0,610,610,0,287,267,42,1,1,0,1,1,4,0,0,1,1,4,610
118,"PRIMARY SCHOOL NAGLA TAUR SOUTH",400,340,0,740,202,139,0,341,341,0,149,142,36,0,1,1,1,0,5,0,0,0,2,4,341
119,"PRIMARY SCHOOL NAGLA DHURHA",225,163,0,388,183,114,0,297,297,0,221,59,7,1,0,0,0,0,3,0,0,0,2,4,297
120,"PRIMARY SCHOOL KIRATPUR",235,172,0,407,163,121,0,284,284,0,149,124,3,1,0,0,1,0,1,0,0,0,0,5,284
121,"PRIMARY SCHOOL PEEHARPUR",478,398,0,876,397,280,0,677,677,0,636,20,21,0,0,0,0,0,0,0,0,0,0,0,677
122,"PRIMARY SCHOOL SIRSA BIBMAU",842,677,0,1519,652,350,0,1002,999,0,929,69,2,0,0,0,0,0,0,0,0,0,1,1,1002
123,"PRIMARY SCHOOL SALEMPUR",165,131,0,296,115,88,0,203,203,0,183,16,3,0,1,0,0,0,0,0,0,0,0,0,203
124,"PRIMARY SCHOOL CHAK",203,176,0,379,155,123,0,278,278,0,184,2,86,1,0,0,0,0,0,0,0,1,0,4,278
125,"K.PRIMARY SCHOOL BHIKHANPUR",578,489,0,1067,515,296,0,811,811,0,795,4,11,0,0,0,0,0,0,0,0,0,0,1,811
126,"PRIMARY SCHOOL NAGARIA JASOHAN",277,230,0,507,225,165,0,390,390,0,363,13,8,0,0,0,0,1,0,2,0,0,1,2,390
127,"PRIMARY SCHOOL GARAMPUR",203,175,0,378,155,109,0,264,264,0,174,38,48,0,1,0,2,0,1,0,0,0,0,0,264
128,"JUNIOR HIGH SCHOOL SIRHOL",648,497,0,1145,368,271,0,639,639,0,307,211,106,1,1,0,1,0,4,0,0,1,2,5,639
129,"PRIMARY SCHOOL NAGLA CHHAND",210,186,0,396,181,110,0,291,291,0,262,28,0,0,0,0,0,0,0,0,0,0,0,1,291
130,"PRIMARY SCHOOL MUHABATPUR JASOHAN",691,564,0,1255,479,282,0,761,761,0,500,103,136,3,0,0,1,2,1,0,3,1,3,8,761
131,"PRIMARY SCHOOL BAGIYA JASOHAN",743,537,0,1280,383,270,0,653,653,0,212,123,302,1,4,0,2,0,0,1,1,1,1,5,653
132,"PRIMARY SCHOOL JANAKPUR (R.N. 1)",289,242,0,531,205,166,0,371,371,0,335,26,2,0,3,0,0,1,2,0,0,0,0,2,371
133,"PRIMARY SCHOOL JANAKPUR (R.N. 2)",591,485,0,1076,424,281,0,705,705,0,613,20,55,1,3,0,0,0,2,0,3,2,1,5,705
134,"PRIMARY SCHOOL NAGLA UDAYSINGH",265,223,0,488,157,133,0,290,290,0,137,147,2,1,1,0,0,0,0,1,0,0,0,1,290
135,"PRIMARY SCHOOL NAGLA KESHONRAI",597,464,0,1061,407,336,0,743,743,0,665,53,19,0,0,0,0,0,1,1,2,1,0,1,743
136,"PRIMARY SCHOOL JHALOKHAR",287,223,0,510,264,157,0,421,421,0,416,4,0,0,0,0,0,0,0,0,0,0,0,1,421
137,"PRIMARY SCHOOL SAKHOA",386,305,0,691,277,159,0,436,436,0,215,124,89,1,1,0,0,0,2,0,1,0,0,3,436
138,"PRIMARY SCHOOL JAGSORA EAST",719,568,0,1287,390,283,0,673,673,0,370,135,156,2,0,0,0,0,1,1,3,1,3,1,673
139,"PRIMARY SCHOOL JAGSORA WEST",706,547,0,1253,381,208,0,589,589,0,250,184,144,0,0,0,1,0,6,1,1,1,1,0,589
140,"PRIMARY SCHOOL NAGARIYA BHAT",254,221,0,475,156,146,0,302,302,0,194,98,4,0,0,0,0,0,1,0,2,2,0,1,302
141,"PRIMARY SCHOOL NAGLA NAYA",463,419,0,882,255,221,0,476,476,0,143,154,172,0,1,0,0,1,3,0,0,0,1,1,476
142,"PRIMARY SCHOOL NAGLA DUDHA",698,618,0,1316,468,399,0,867,867,0,479,86,283,2,1,0,0,1,3,1,0,0,3,8,867
143,"PRIMARY SCHOOL MALAJANI NORTH",660,583,0,1243,406,367,0,773,773,0,523,145,76,0,1,2,1,2,5,1,1,2,2,12,773
144,"PRIMARY SCHOOL MALAJANI SOUTH",302,246,0,548,238,191,0,429,429,0,310,48,65,0,0,0,0,0,1,0,1,3,1,0,429
145,"JUNIOR HIGH SCHOOL BHATORA",582,459,0,1041,394,288,0,682,682,0,356,105,199,2,1,1,2,2,2,1,3,4,1,3,682
146,"PRIMARY SCHOOL BHATORA",439,387,0,826,301,224,0,525,525,0,280,196,39,1,0,1,0,0,4,1,0,0,1,2,525
147,"PRIMARY SCHOOL BHOGATAL",259,217,0,476,209,148,0,357,357,0,213,17,122,0,1,1,0,0,0,0,1,0,2,0,357
148,"PRIMARY SCHOOL TAKPURA SARAI JALAL",417,326,0,743,375,257,0,632,632,0,580,46,3,0,0,0,0,0,0,0,0,0,3,0,632
149,"PRIMARY SCHOOL JAINPUR NAGAR",573,459,0,1032,420,314,0,734,734,0,187,204,332,1,3,0,0,0,1,0,2,2,1,1,734
150,"PRIMARY SCHOOL ARAJI SARAIBHOPAT (NAGLA BABA)",273,235,0,508,252,173,0,425,425,0,387,35,1,0,1,0,0,0,0,1,0,0,0,0,425
151,"PRIMARY SCHOOL SARAI BHOPAT",634,547,0,1181,522,461,0,983,983,0,956,17,7,1,2,0,0,0,0,0,0,0,0,0,983
152,"PRIMARY SCHOOL NAGLA VERMAJIT",325,268,0,593,290,205,0,495,495,0,489,5,1,0,0,0,0,0,0,0,0,0,0,0,495
153,"PRIMARY SCHOOL MALOOPUR",455,378,0,833,357,211,0,568,568,0,386,11,161,1,1,0,0,1,0,0,2,2,0,3,568
154,"PRIMARY SCHOOL BALIYAPUR",648,495,0,1143,391,253,0,644,644,0,314,222,90,1,1,0,0,1,8,0,2,0,2,3,644
155,"JUNIOR HIGH SCHOOL BANKATI BUJURG",767,638,0,1405,443,337,0,780,679,0,439,266,53,0,1,1,0,1,3,1,5,1,3,6,780
156,"PRIMARY SCHOOL BIRAMPUR",374,316,0,690,300,212,0,512,512,0,366,33,106,2,0,1,0,0,0,0,0,0,1,3,512
157,"PRIMARY SCHOOL ADHIYAPUR",838,680,0,1518,512,373,0,885,885,0,439,181,240,1,1,0,4,1,2,2,5,5,1,3,885
158,"PRIMARY SCHOOL NAGLA CHHATE",243,191,0,434,168,125,0,293,293,0,25,221,31,0,0,0,1,0,5,3,2,1,2,2,293
159,"PRIMARY SCHOOL BHESRAI",324,255,0,579,228,177,0,405,405,0,134,186,75,0,1,0,0,1,1,0,1,0,1,5,405
160,"KRASAK INTER COLLEGE BICHPURIKERA",636,555,0,1191,433,268,0,701,701,0,117,277,263,4,1,1,2,2,9,4,7,7,4,3,701
161,"PRIMARY SCHOOL PATAJHARI",240,214,0,454,178,149,0,327,327,0,177,139,4,0,0,0,1,0,5,0,1,0,0,0,327
162,"PRIMARY SCHOOL HAJRATPUR",247,222,0,469,201,170,0,371,371,0,247,30,88,2,0,0,0,0,0,0,0,0,1,3,371
163,"JUNIOR HIGH SCHOOL JAITIYA",437,367,0,804,310,260,0,570,570,0,345,10,205,1,1,0,0,0,0,0,2,3,3,0,570
164,"PRIMARY SCHOOL SONAI",339,265,0,604,230,171,0,401,401,0,214,62,110,1,2,1,0,0,2,1,2,2,0,4,401
165,"PRIMARY SCHOOL RAJMAU ROOM-1",550,456,0,1006,381,267,0,648,648,0,405,200,12,0,2,0,2,0,7,3,0,3,2,12,648
166,"PRIMARY SCHOOL RAJMAU ROOM-2",417,339,0,756,277,214,0,491,491,0,219,34,219,5,0,0,0,0,1,0,0,1,6,6,491
167,"PRIMARY SCHOOL KANTIHAR",236,214,0,450,176,116,0,292,292,0,268,23,1,0,0,0,0,0,0,0,0,0,0,0,292
168,"PRIMARY SCHOOL BARRA",791,685,0,1476,570,336,0,906,906,0,657,168,49,2,2,0,3,1,7,3,3,2,3,6,906
169,"PRIMARY SCHOOL BAIDPURA",533,460,0,993,375,240,0,615,615,0,393,118,94,0,3,0,0,1,3,0,0,1,0,2,615
