"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
139,"PRAIMARI PATHSHALA PURVI BHAG  ROOM NO 1 LILON",567,474,0,1041,440,363,0,803,798,0,122,0,111,564,2,0,1,1,0,1,0,1,803
140,"PRAIMARI PATHSHALA ROOM NO 1 LILON",416,368,0,784,323,264,0,587,587,0,46,5,282,248,3,0,0,1,0,1,1,0,587
141,"PRAIMARI PATHSHALA BEECH KA ROOM NO 2   LILON",513,446,0,959,370,305,0,675,675,0,128,3,111,423,2,0,0,0,3,2,0,3,675
142,"PRAIMARI PATHSHALA ROOM NO 3 LILON",402,332,0,734,307,246,0,553,553,0,81,1,61,398,5,1,1,0,1,1,1,2,553
143,"PRATHMIK VIDYALAYA N0 2 LILON",752,559,0,1311,582,419,0,1001,1000,0,50,141,468,330,7,0,0,0,1,2,1,1,1001
144,"HARIJAN CHOPAL UTTARI BHAG  LILON",624,455,0,1079,418,329,0,747,747,0,7,126,52,544,4,6,3,1,2,1,0,1,747
145,"HARIJAN CHOPAL DAKSHINI BHAG  LILON",573,441,0,1014,274,234,0,508,508,0,7,153,136,193,4,0,2,0,2,5,2,4,508
146,"PRAIMARI SCHOOL ROOM NO - 1  BRAHMKHERA",559,425,0,984,441,295,0,736,736,0,5,9,97,609,8,2,0,0,1,2,0,3,736
147,"PRIMARY SCHOOL LOHRIPUR",541,459,0,1000,486,370,0,856,856,0,1,106,737,6,0,0,0,0,1,1,0,4,856
148,"PRIMARY SCHOOL ROOM NO - 1  RASULPUR GUJRAN",532,398,0,930,496,341,0,837,815,0,0,0,3,833,0,0,1,0,0,0,0,0,837
149,"PRIMARY SCHOOL ROOM NO - 2   RASULPUR GUJRAN",484,360,0,844,439,308,0,747,743,0,0,0,0,738,0,0,0,1,8,0,0,0,747
