"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
58,"PS PARSUHI",727,607,0,1334,368,272,0,640,477,0,53,177,60,326,2,2,0,2,0,0,3,6,4,1,4,640
59,"PS LAKSHMANPUR GRANT",217,182,0,399,120,122,0,242,242,0,10,137,29,60,0,0,0,0,0,0,0,1,2,2,1,242
60,"JHS JASARPUR NORTH",671,562,0,1233,316,301,0,617,617,0,9,91,220,271,2,1,0,4,2,1,2,4,3,4,3,617
61,"JHS JASARPUR SOUTH",692,600,0,1292,371,322,0,693,693,0,21,201,141,301,2,0,1,3,0,3,4,3,6,3,4,693
62,"PS JOHAN NORTH",778,707,0,1485,389,331,0,720,711,0,29,213,182,250,4,2,0,2,1,3,0,7,8,2,17,720
63,"PS JOHAN SOUTH",671,599,0,1270,295,240,0,535,528,0,15,97,211,189,1,1,1,4,2,3,0,3,4,2,2,535
64,"PS JOHAN EXTRA ROOM",200,194,0,394,93,77,0,170,170,0,4,5,11,147,1,0,0,0,0,0,0,0,1,0,1,170
65,"PS NANDAUNA",266,247,0,513,144,130,0,274,27,0,10,62,88,99,1,0,0,0,0,2,2,2,1,3,4,274
66,"PS SHANKARPUR",468,386,0,854,208,195,0,403,394,0,13,51,161,166,0,0,0,2,1,1,0,1,5,0,2,403
67,"PS SHANKARPUR EXTRA ROOM",479,394,0,873,220,181,0,401,208,0,5,60,142,175,0,0,1,2,0,0,1,2,3,3,7,401
68,"PS KANAVAN",770,653,0,1423,406,349,0,755,748,0,21,202,127,376,3,3,1,1,1,0,2,5,4,2,7,755
69,"PS GANGAPUR MU. RAMAUPUR",338,302,0,640,180,201,0,381,381,0,26,102,16,214,1,2,0,0,0,2,0,6,5,3,4,381
70,"PS BHULAIPUR NIDHIYAWA",555,464,0,1019,306,234,0,540,540,0,17,150,72,263,0,1,0,6,1,3,3,4,7,4,9,540
71,"JHS BENIPUR",347,289,0,636,194,171,0,365,363,0,7,109,86,147,3,1,0,3,0,0,1,2,1,3,2,365
72,"PS JAMOLIKHURD EAST",512,447,0,959,261,269,0,530,495,0,25,112,121,237,1,3,1,0,0,1,0,11,3,5,10,530
73,"TRILOKINATH INTER COLLEGE BHARHUKHATA",626,556,0,1182,379,360,0,739,737,0,19,132,116,440,6,2,0,3,3,0,0,6,2,3,7,739
