"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
119,"HA. S. SCH. GAJPUR R.N 4",887,607,0,1494,479,346,0,825,5,0,459,238,90,13,2,1,1,0,2,5,1,5,8,825
120,"HA. S. SCH GAJPUR R.N 5",260,189,0,449,137,124,0,261,1,0,104,24,115,3,2,1,0,2,1,3,1,2,3,261
121,"HA.S. SCH. GAJPUR UTTAR",737,495,0,1232,292,273,0,565,1,0,391,75,51,19,2,1,2,1,1,4,5,4,9,565
122,"P.P GAJPUR D.",596,424,0,1020,263,207,0,470,470,0,46,276,119,15,1,0,0,3,2,4,1,1,2,470
123,"P.P BHATPAR",434,356,0,790,154,156,0,310,1,0,54,26,200,12,2,1,0,0,1,1,3,3,7,310
124,"P.P RAUTPAR",372,289,0,661,199,162,0,361,7,0,44,232,71,3,0,0,0,0,1,2,1,4,3,361
125,"P.P BANDWA",312,238,0,550,165,147,0,312,17,0,135,126,36,9,1,0,0,0,0,0,0,0,5,312
126,"P.P UCHER",648,490,0,1138,278,262,0,540,1,0,174,37,299,10,1,0,1,1,3,4,3,2,5,540
127,"P.P UCHER",368,335,0,703,171,211,0,382,150,0,112,54,189,7,2,0,0,1,1,4,2,1,9,382
128,"P.P GIRDHARPUR CHAUBE",248,196,0,444,112,142,0,254,1,0,5,17,214,6,1,1,0,1,0,0,4,2,3,254
129,"P.P GIRDHAR DUBULIYA",625,500,0,1125,264,266,0,530,1,0,326,92,80,18,1,0,1,3,1,1,0,2,5,530
130,"P.P PADPURAWA",397,311,0,708,172,185,0,357,352,0,140,124,74,11,0,0,1,2,1,1,0,0,3,357
131,"P.P KOHADA",286,225,0,511,138,126,0,264,5,0,189,8,55,7,0,0,0,0,0,0,4,0,1,264
