"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - VIPNESH","2 - RAVI PRAKASH VERMA","3 - RAMGOPAL MISHRA","4 - AJAY KUMAR","6 - ARVIND GIRI","7 - ZAFAR ALI NAQVI","10 - DINESH KUMAR","11 - KRISHNA ADHIKARI","12 - ASHRAF ALI","14 - ASHOK","16 - RAMESHWARI","17 - None of the Above","Total Votes Secured"
30,CHAKHARA,605,535,0,1140,517,421,0,938,938,0,61,249,6,171,14,381,6,5,11,3,11,20,938
31,CHAKHARA,554,533,0,1087,459,408,0,867,867,0,22,102,1,406,176,140,4,1,2,2,4,7,867
32,CHAKHARA,752,635,0,1387,615,445,0,1060,1060,0,23,201,1,608,135,44,4,5,7,1,3,28,1060
33,DUBHA,534,458,0,992,429,358,0,787,776,0,12,33,0,543,84,94,4,2,2,1,2,10,787
34,DUBHA,578,479,0,1057,413,348,0,761,740,0,23,90,1,209,236,187,1,0,3,1,3,7,761
35,DUBHA,459,379,0,838,373,282,0,655,655,0,4,37,1,449,116,38,1,1,2,4,1,1,655
36,DUBHA,439,352,0,791,292,204,0,496,480,0,7,91,0,284,79,20,1,3,3,0,0,8,496
37,DAULATAPUR,476,395,0,871,352,266,0,618,618,0,11,26,3,304,192,61,4,3,1,1,1,11,618
38,DAULATAPUR,432,397,0,829,272,237,0,509,497,0,12,17,0,334,63,64,1,2,2,0,2,12,509
39,"SURJIPURWA H/O DAULATAPUR",848,706,0,1554,542,407,0,949,872,0,26,53,2,610,194,46,3,3,1,2,3,6,949
40,"NAUGAWAN H/O DAULATAPUR",543,452,0,995,412,277,0,689,680,0,12,119,2,225,166,143,0,1,3,1,3,14,689
41,"NAUGAWAN H/O DAULATAPUR",466,455,0,921,300,243,0,543,535,0,17,47,2,193,206,58,2,1,2,2,1,12,543
42,LALBOJHI,311,248,0,559,241,199,0,440,440,0,14,263,1,131,10,15,0,1,1,0,0,4,440
43,"JHAUVAPURWA H/O KHAMRIYA",476,358,0,834,351,234,0,585,568,0,9,49,2,116,311,58,3,23,5,0,2,7,585
44,"JHAUVAPURWA H/O KHAMRIYA",447,396,0,843,299,257,0,556,536,0,8,73,2,223,177,41,0,6,2,3,2,19,556
45,MADNAPUR,602,516,0,1118,453,370,0,823,823,0,10,106,2,345,181,146,3,2,3,15,3,7,823
46,BAILAHA,477,413,0,890,336,279,0,615,611,0,8,61,3,314,188,23,0,2,4,1,4,7,615
47,BAILAHA,494,370,0,864,336,175,0,511,510,0,5,67,0,342,71,20,0,0,1,0,1,4,511
48,"DEEH H/O BAILAHA",478,369,0,847,362,273,0,635,624,0,17,199,2,55,283,61,1,3,3,1,2,8,635
49,"DEEH H/O BAILAHA",470,363,0,833,302,220,0,522,486,0,7,192,3,71,204,34,0,1,2,0,4,4,522
50,"GRANT NO. 12",820,639,0,1459,592,454,0,1046,1031,0,19,156,7,473,310,32,6,4,7,0,12,20,1046
51,LALPUR,528,421,0,949,392,296,0,688,688,0,18,99,2,197,71,276,6,2,9,2,3,3,688
52,LALPUR,500,424,0,924,317,259,0,576,571,0,27,62,1,75,47,339,1,0,17,2,4,1,576
53,LALPUR,757,635,0,1392,539,409,0,948,948,0,7,252,2,166,475,28,1,3,2,7,1,4,948
54,"JHANDI H/O LALPUR",383,345,0,728,266,204,0,470,465,0,11,20,2,188,155,75,2,0,2,3,3,9,470
55,"JHANDI H/O LALPUR",515,423,0,938,374,323,0,697,697,0,5,33,0,245,257,143,3,0,0,0,1,10,697
56,"JHANDI H/O LALPUR",480,480,0,960,296,350,0,646,646,0,7,39,3,162,293,127,0,1,2,2,2,8,646
57,ADLABAD,703,555,0,1258,500,404,0,904,890,0,10,349,2,256,213,39,4,2,5,5,7,12,904
58,"BIRJAPURWA H/O LUDHAURI",480,398,0,878,346,287,0,633,624,0,4,31,3,275,247,59,0,1,1,1,3,8,633
59,"BIRJAPURWA H/O LUDHAURI",446,413,0,859,324,270,0,594,567,0,4,33,1,202,297,40,2,0,2,3,3,7,594
60,"JOKHIPURWA H/O LUDHAURI",457,371,0,828,429,170,0,599,597,0,11,72,3,147,306,33,2,6,0,3,4,12,599
61,"JOKHIPURWA H/O LUDHAURI",470,445,0,915,261,226,0,487,465,0,6,48,1,256,152,18,0,0,1,0,1,4,487
62,"LUDHAURI-2 (DURGAPURWA)",794,633,0,1427,595,418,0,1013,1005,0,24,148,2,443,191,187,2,2,6,1,1,6,1013
63,LUDHAURI,533,470,0,1003,398,273,0,671,671,0,16,120,4,300,182,24,1,1,4,0,4,15,671
64,LUDHAURI,705,682,0,1387,501,447,0,948,944,0,5,235,3,433,210,26,7,2,1,1,6,19,948
65,LUDHAURI,536,454,0,990,344,302,0,646,580,0,8,61,4,454,55,37,3,1,3,1,1,18,646
66,LUDHAURI,524,471,0,995,311,290,0,601,594,0,6,109,1,387,47,35,2,0,3,0,0,11,601
67,LUDHAURI-1,434,348,0,782,262,185,0,447,438,0,9,146,1,168,55,55,2,2,1,3,2,3,447
68,LUDHAURI-1,441,363,0,804,217,170,0,387,387,0,2,64,1,205,75,39,0,1,0,0,0,0,387
69,LUDHAURI-1,827,642,0,1469,537,364,0,901,901,0,14,101,3,540,190,25,1,1,1,2,4,19,901
70,BAGALAHAKUTI,501,429,0,930,407,344,0,751,740,0,11,146,2,206,330,31,3,2,3,1,4,12,751
71,BAGALAHAKUTI,463,420,0,883,350,280,0,630,620,0,8,163,0,309,113,25,0,1,2,1,2,6,630
72,NIGHASAN,629,571,0,1200,356,281,0,637,637,0,2,43,3,290,154,122,2,2,2,2,1,14,637
73,NIGHASAN,784,663,0,1447,417,323,0,740,723,0,7,52,2,426,123,122,0,0,1,2,0,5,740
74,NIGHASAN,468,369,0,837,299,204,0,503,501,0,5,31,1,260,71,119,2,4,2,0,1,7,503
75,NIGHASAN,453,357,0,810,224,159,0,383,373,0,2,45,0,231,31,60,0,2,2,5,1,4,383
76,NIGHASAN,907,660,0,1567,550,317,0,867,859,0,22,122,1,299,169,236,3,2,3,2,4,4,867
77,"CHAUDHARIPURWA H/O NIGHASAN",525,450,0,975,382,272,0,654,652,0,12,152,3,227,89,155,1,2,2,1,0,10,654
78,"CHAUDHARIPURWA H/O NIGHASAN",494,440,0,934,334,289,0,623,620,0,15,121,0,134,236,105,0,1,2,2,3,4,623
79,NIGHASAN,577,505,0,1082,421,260,0,681,675,0,2,113,1,495,53,5,0,3,4,1,0,4,681
80,"BIHARIPURWA H/O NIGHASAN",435,389,0,824,338,318,0,656,561,0,4,30,0,494,88,35,0,0,2,1,0,2,656
81,"BIHARIPURWA H/O NIGHASAN",410,344,0,754,309,232,0,541,530,0,1,79,1,351,82,24,0,1,1,1,0,0,541
82,BAROTHA,441,370,0,811,318,257,0,575,563,0,9,44,1,162,128,213,1,1,1,2,7,6,575
83,BAROTHA,448,375,0,823,295,241,0,536,528,0,7,30,1,192,234,59,1,1,4,0,5,2,536
84,BAROTHA,522,404,0,926,361,276,0,637,621,0,4,196,0,274,47,99,2,1,1,4,2,7,637
85,BAROTHA,485,433,0,918,291,255,0,546,543,0,8,106,2,193,130,98,1,3,1,1,0,3,546
86,"KURMINPURWA H/O BAROTHA",558,420,0,978,368,269,0,637,619,0,19,29,4,94,36,440,3,0,4,4,0,4,637
87,HARSINGHPUR,472,389,0,861,376,294,0,670,650,0,26,40,1,229,113,237,3,2,1,3,6,9,670
88,HARSINGHPUR,433,399,0,832,325,238,0,563,515,0,18,30,1,111,159,229,3,0,1,3,3,5,563
89,"PACHPEDI H/O MUDABUJURG",733,643,0,1376,504,468,0,972,969,0,30,89,1,472,158,181,2,13,7,2,5,12,972
90,"PACHPEDI H/O MUDABUJURG",232,218,0,450,201,182,0,383,379,0,1,7,0,154,206,7,0,1,0,1,1,5,383
91,MUDABUJURG,803,745,0,1548,558,392,0,950,937,0,32,50,3,312,212,303,6,3,10,7,3,9,950
92,MUDABUJURG,528,410,0,938,294,236,0,530,530,0,21,106,2,178,118,66,2,9,3,3,5,17,530
93,"GULRIPURWA H/O MUDABUJURG",476,377,0,853,329,210,0,539,539,0,4,19,0,350,127,28,1,0,0,3,1,6,539
94,"MAHARAJNAGAR H/O MUDABUJURG",522,419,0,941,279,278,0,557,557,0,14,12,0,326,59,19,3,104,8,7,5,0,557
95,"MAHARAJNAGAR H/O MUDABUJURG",454,500,0,954,168,256,0,424,422,0,10,33,3,246,34,38,1,27,1,6,5,20,424
96,"MAHARAJNAGAR H/O MUDABUJURG",516,409,0,925,233,224,0,457,454,0,11,76,1,150,27,10,9,152,3,3,1,14,457
97,"MAHARAJNAGAR H/O MUDABUJURG",456,426,0,882,169,172,0,341,341,0,7,39,1,127,22,14,3,108,5,1,4,10,341
98,MIRJAGANJ,720,627,0,1347,569,439,0,1008,989,0,17,420,1,201,158,204,2,1,2,1,0,1,1008
99,KATAHIA,216,189,0,405,194,161,0,355,353,0,5,28,1,41,249,13,1,0,0,1,2,14,355
100,TRIKAULIA,708,607,0,1315,546,472,0,1018,990,0,22,145,1,332,303,191,1,5,1,0,5,12,1018
101,MOHBATIABEHAD,440,322,0,762,346,228,0,574,564,0,12,152,0,281,83,32,2,0,3,1,1,7,574
102,"KATAHA H/O KHARWAHIA NO. 2",543,479,0,1022,382,320,0,702,702,0,5,90,1,146,374,65,2,0,0,3,7,9,702
103,"KATAHA H/O KHARWAHIA NO. 2",486,469,0,955,346,268,0,614,573,0,11,114,0,281,157,41,1,2,1,2,1,3,614
104,"KHARWAHIA NO. 2",625,589,1,1215,465,392,0,857,757,0,7,33,0,507,172,122,3,1,1,1,3,7,857
105,SISAIA,445,346,0,791,386,265,0,651,630,0,13,245,3,160,119,100,1,0,2,2,1,5,651
106,SISAIA,419,365,0,784,296,204,0,500,495,0,2,106,0,212,125,43,0,1,0,2,3,6,500
107,"SUKKHANPURWA H/O RAKEHTI",433,347,0,780,357,244,0,601,599,0,9,134,1,152,185,100,1,1,1,0,5,12,601
108,"SUKKHANPURWA H/O RAKEHTI",429,388,0,817,265,161,0,426,426,0,13,41,0,173,96,94,2,1,2,0,1,3,426
109,RAKEHTI,430,372,0,802,302,212,0,514,484,0,20,66,3,228,21,167,0,0,1,0,2,6,514
110,RAKEHTI,443,383,0,826,349,224,0,573,573,0,17,92,0,283,54,109,3,0,3,1,2,9,573
111,RAKEHTI,466,382,0,848,335,266,0,601,580,0,18,31,4,87,230,218,1,1,1,1,0,9,601
112,"KOLAPURWA H/O RAKEHTI",437,353,0,790,338,283,0,621,580,0,3,22,4,182,356,37,2,1,1,1,4,8,621
113,RAKEHTI,448,359,0,807,329,229,0,558,558,0,2,43,0,202,238,54,0,1,1,1,4,12,558
114,RAKEHTI,403,398,0,801,275,203,0,478,472,0,5,33,0,271,117,42,1,0,1,1,0,7,478
115,RAKEHTI,712,618,0,1330,470,339,0,809,755,0,15,84,4,395,179,84,3,3,3,1,5,33,809
116,"DHAKHERWA GHAT",592,508,0,1100,434,305,0,739,717,0,11,268,0,203,155,88,1,4,2,3,2,2,739
117,"DHAKHERWA GHAT",816,610,0,1426,465,315,0,780,700,0,20,101,1,192,313,117,7,0,3,6,4,16,780
118,NAUBANA,580,545,0,1125,450,409,0,859,840,0,11,100,2,602,29,108,1,0,3,0,0,3,859
119,"MATAHIA H/O NAUBANA",386,351,0,737,337,316,0,653,653,0,9,177,2,150,249,46,1,1,4,2,5,7,653
120,"TAKIAPURWA H/O BANGLAHA TAKIA",562,517,0,1079,412,323,0,735,733,0,10,166,2,361,87,96,1,2,2,0,4,4,735
121,"KARDAHIA H/O BAGLAHA TAKIA",445,417,0,862,340,325,0,665,656,0,32,82,5,248,89,185,2,4,0,1,4,13,665
122,"NPYT SINGAHI",692,594,0,1286,445,310,0,755,755,0,32,49,3,107,26,521,1,2,4,2,1,7,755
123,"NPYT SINGAHI",725,611,0,1336,453,359,0,812,797,0,22,21,2,178,115,463,0,0,1,4,1,5,812
124,"NPYT SINGAHI",149,144,0,293,86,66,0,152,152,0,3,21,0,80,6,40,0,0,0,2,0,0,152
125,"NPYT SINGAHI",505,461,0,966,319,232,0,551,551,0,16,17,1,166,41,302,1,0,3,0,1,3,551
126,"NPYT SINGAHI",493,444,0,937,297,215,0,512,496,0,12,14,1,329,21,129,0,0,0,0,0,6,512
127,"NPYT SINGAHI",634,593,0,1227,426,332,0,758,753,0,17,22,0,361,45,299,2,1,1,1,1,8,758
128,"NPYT SINGAHI",583,550,0,1133,355,340,0,695,695,0,10,25,1,441,17,191,1,2,4,0,1,2,695
129,"NPYT SINGAHI",344,274,0,618,227,181,0,408,400,0,8,12,0,217,16,147,1,1,0,2,0,4,408
130,"NPYT SINGAHI",731,614,0,1345,493,356,0,849,824,0,21,28,2,560,29,184,0,3,1,3,2,16,849
131,"NPYT SINGAHI",568,492,0,1060,343,261,0,604,600,0,12,69,2,119,156,233,2,1,1,0,3,6,604
132,"NPYT SINGAHI",664,540,0,1204,340,273,0,613,611,0,11,28,0,367,29,158,3,2,3,0,1,11,613
133,"NPYT SINGAHI",691,647,0,1338,451,383,0,834,808,0,14,41,0,572,43,136,1,1,2,1,6,17,834
134,"NPYT SINGAHI",643,568,0,1211,375,313,0,688,688,0,26,20,2,291,25,284,3,3,3,5,4,22,688
135,"NPYT SINGAHI",181,163,0,344,124,104,0,228,210,0,8,10,2,28,7,168,0,2,0,1,0,2,228
136,MOTIPUR,779,668,0,1447,573,432,0,1005,1005,0,11,84,0,567,242,84,2,0,2,2,4,7,1005
137,MOTIPUR,655,588,0,1243,508,417,0,925,925,0,30,105,0,439,101,217,0,0,5,2,10,16,925
138,HARDWAHI,608,522,0,1130,492,324,0,816,801,0,9,190,2,359,99,152,0,1,2,1,0,1,816
139,HARDWAHI,552,526,0,1078,359,283,0,642,640,0,13,109,2,271,52,178,1,1,3,1,0,11,642
140,"BHULANPUR H/O BHEDAURI",771,648,0,1419,528,422,0,950,950,0,15,199,4,359,298,45,5,1,2,3,5,14,950
141,"BELRAYAN H/O BHEDAURI",701,595,0,1296,397,346,0,743,741,0,9,86,2,197,239,176,2,0,2,5,4,21,743
142,"BELRAYAN H/O BHEDAURI",605,441,0,1046,302,172,0,474,474,0,3,55,3,261,90,51,1,2,0,3,1,4,474
143,"BELRAYAN H/O BHEDAURI",807,643,0,1450,477,363,0,840,825,0,29,83,0,191,64,453,0,1,4,3,2,10,840
144,"BELRAYAN H/O BHEDAURI",763,577,0,1340,390,274,0,664,622,0,16,82,1,205,105,238,2,0,3,0,4,8,664
145,BHAIRAMPUR,676,533,0,1209,518,390,0,908,813,0,11,168,1,455,188,65,4,2,7,3,2,2,908
146,BHAIRAMPUR,189,154,0,343,131,124,0,255,255,0,1,5,1,39,135,64,1,1,0,0,5,3,255
147,MANJHA,500,433,0,933,366,233,0,599,589,0,8,16,1,367,129,40,0,0,0,0,3,35,599
148,"CHIRKUA H/O MASURAHA",379,341,0,720,276,196,0,472,467,0,6,63,1,273,48,70,1,2,2,1,0,5,472
149,MASURAHA,201,168,0,369,136,144,0,280,273,0,9,13,1,106,58,79,1,2,4,0,0,7,280
150,KHAIRIGARH,825,699,0,1524,513,421,0,934,931,0,27,136,1,255,142,356,0,2,5,1,1,8,934
151,KHAIRIGARH,506,387,0,893,131,124,0,255,255,0,1,5,1,39,135,64,1,1,0,0,5,3,255
152,KHAIRIGARH,399,378,0,777,299,293,0,592,579,0,5,20,0,502,24,31,0,0,0,3,1,6,592
153,SHITLAPUR,521,452,0,973,343,244,0,587,559,0,7,74,1,447,43,6,0,1,1,0,0,7,587
154,UDHAUNAGAR,376,293,0,669,243,220,0,463,451,0,9,100,2,196,106,37,0,1,1,1,3,7,463
155,"PACHPEDA RICHHAIA",322,268,0,590,273,221,0,494,489,0,13,11,0,216,101,142,1,0,1,0,2,7,494
156,"BELA PARSUA",445,447,0,892,259,249,0,508,508,0,6,41,3,135,253,51,0,1,3,4,5,6,508
157,"BELA PARSUA",403,468,0,871,228,258,0,486,486,0,5,50,1,77,270,72,1,1,1,2,1,5,486
158,"BELA PARSUA",520,478,0,998,311,284,0,595,587,0,18,84,0,136,194,155,1,0,2,0,0,5,595
159,"BELA PARSUA",505,509,0,1014,250,277,0,527,500,1,8,59,2,139,202,79,1,4,2,4,6,21,527
160,"DANGA H/O GULRIA PATTHAR SHAH",794,661,0,1455,492,453,0,945,905,0,15,170,3,401,112,212,0,2,7,2,3,18,945
161,"DANGA H/O GULRIA PATTHAR SHAH",722,590,0,1312,506,417,0,923,920,0,13,106,2,532,85,148,5,5,3,2,5,17,923
162,KADIA,710,655,0,1365,456,406,0,862,845,0,10,60,2,373,236,155,3,1,4,1,3,14,862
163,KADIA,610,490,0,1100,445,300,0,745,715,0,13,106,2,219,272,115,2,1,0,1,4,10,745
164,RAYPUR,559,505,0,1064,395,363,0,758,755,0,12,71,1,432,141,74,3,2,1,1,6,14,758
165,KOLHAURI,532,441,0,973,327,277,0,604,574,0,2,45,1,414,102,16,2,1,1,2,4,14,604
166,SISAWARI,479,421,0,900,312,298,0,610,610,0,2,60,3,447,34,52,1,0,1,0,2,8,610
167,LALAPUR-1,473,379,0,852,357,274,0,631,629,0,8,218,3,283,79,30,1,0,0,1,1,7,631
168,LALAPUR-1,471,380,0,851,279,194,0,473,471,0,6,133,1,196,75,53,1,0,0,1,4,3,473
169,UMRA,635,532,0,1167,497,374,0,871,851,0,13,183,2,430,122,91,3,0,1,4,4,18,871
170,UMRA,637,468,0,1105,504,340,0,844,842,0,14,155,2,328,224,111,4,3,0,0,2,1,844
171,"SUTHNA BARSOLA",494,394,0,888,297,232,0,529,514,0,8,44,0,362,23,84,0,0,1,2,1,4,529
172,"SUTHNA BARSOLA",485,452,0,937,285,255,0,540,520,0,2,47,0,397,50,38,0,0,0,1,0,5,540
173,"SUTHNA BARSOLA",513,468,0,981,331,273,0,604,582,0,2,29,1,513,26,29,0,1,0,0,0,3,604
174,"SUTHNA BARSOLA",502,388,0,890,271,233,0,504,504,0,11,51,1,239,27,170,1,0,0,0,3,1,504
175,"SUTHNA BARSOLA",510,400,0,910,323,233,0,556,535,0,17,49,1,209,43,226,2,0,2,0,2,5,556
176,"SUTHNA BARSOLA",654,545,0,1199,435,352,0,787,776,0,14,127,0,470,49,105,1,0,3,1,3,14,787
177,"SUTHNA BARSOLA",711,554,0,1265,428,334,0,762,762,0,19,192,6,240,33,241,4,2,6,2,5,12,762
178,BANVEERPUR,450,343,0,793,371,270,0,641,620,1,3,38,0,474,95,14,0,1,0,0,3,13,641
179,BANVEERPUR,438,347,0,785,307,205,0,512,512,0,2,63,0,334,75,32,0,1,1,0,0,4,512
180,BANVEERPUR,478,415,0,893,380,280,0,660,644,0,3,52,1,485,63,26,1,0,0,2,7,20,660
181,BANVEERPUR,425,405,0,830,308,290,0,598,598,0,1,28,2,467,70,14,0,0,1,1,0,14,598
182,GANGANAGAR,585,465,0,1050,300,358,0,658,658,0,8,209,2,296,52,67,1,1,0,6,6,10,658
183,RANNAGAR,651,505,0,1156,442,316,0,758,720,0,10,75,2,346,190,113,2,3,2,2,2,11,758
184,SURATNAGAR,435,353,0,788,165,108,0,273,264,0,3,45,0,126,45,44,0,2,1,1,3,3,273
185,SURATNAGAR,416,339,0,755,221,159,0,380,277,0,14,24,3,264,14,37,2,1,5,1,4,11,380
186,SURATNAGAR,691,540,0,1231,347,299,0,646,646,0,15,142,2,331,42,97,1,1,4,3,0,8,646
187,"BARSOLA KALAN",607,496,0,1103,345,323,0,668,668,0,11,32,3,345,204,54,2,1,2,2,4,8,668
188,"BARSOLA KALAN",495,401,0,896,362,290,0,652,645,0,13,72,4,352,83,113,2,2,2,2,2,5,652
189,"BARSOLA KALAN",581,457,0,1038,316,245,0,561,554,0,6,44,4,272,192,23,4,2,2,0,1,11,561
190,"BARSOLA KALAN",535,465,1,1001,330,270,0,600,590,0,34,75,1,124,126,222,3,2,4,1,5,3,600
191,"JASNAGAR-1 (KEVTALI)",764,625,0,1389,518,406,0,924,921,0,15,94,3,494,254,49,4,0,2,2,1,6,924
192,"KHAMRIA KOILAR",594,554,0,1148,402,323,0,725,725,0,26,260,0,202,36,179,0,0,7,1,5,9,725
193,"KHAMRIA KOILAR",181,162,0,343,38,39,0,77,73,0,0,11,0,42,11,12,0,0,0,0,0,1,77
194,SAHANKHEDA,543,459,0,1002,375,307,0,682,682,0,26,266,0,123,37,227,0,1,0,0,0,2,682
195,SAHANKHEDA,513,429,0,942,356,278,0,634,632,0,17,235,1,148,103,113,2,1,1,1,2,10,634
196,RAMUWAPUR,404,371,0,775,309,293,0,602,598,0,12,69,3,259,150,84,0,0,5,2,3,15,602
197,"KHAMRIA KOILAR",473,342,0,815,339,244,0,583,583,0,12,239,3,78,74,166,0,1,2,1,1,6,583
198,"KHAMRIA KOILAR",374,386,0,760,272,268,0,540,540,0,29,166,1,122,32,180,1,2,2,1,1,3,540
199,KHAIRATIA,656,590,0,1246,445,439,0,884,882,0,12,193,0,468,134,71,0,0,1,0,2,3,884
200,KHAIRATIA,637,534,0,1171,383,335,0,718,706,0,6,227,0,324,124,30,0,0,0,2,0,5,718
201,DALRAJPIR,642,583,0,1225,446,382,0,828,825,0,9,383,3,234,136,37,3,2,0,0,6,15,828
202,"CHAKKARPUR H/O KHAIRATIA",423,378,0,801,238,197,0,435,435,0,6,109,0,257,46,10,0,1,0,0,1,5,435
203,SIDHAUNA,554,414,0,968,389,236,0,625,623,0,2,64,0,333,116,97,1,0,2,0,5,5,625
204,SIDHAUNA,478,405,0,883,362,263,0,625,625,0,15,84,1,396,41,68,0,0,4,0,2,14,625
205,SIDHAUNA,451,352,0,803,300,211,0,511,511,0,11,38,4,234,172,39,0,0,0,1,2,10,511
206,SIDHAUNA,409,368,0,777,249,192,0,441,437,0,11,58,1,184,103,75,1,0,1,2,0,5,441
207,NIBAURIA,791,654,0,1445,589,464,0,1053,953,0,7,246,2,483,240,40,2,1,4,1,3,24,1053
208,NIBAURIA,206,186,0,392,121,100,0,221,221,0,1,52,0,110,21,34,0,0,0,0,0,3,221
209,"POKHARI H/O NIBAURIA",592,474,0,1066,450,353,0,803,803,0,20,103,3,388,154,110,3,6,1,4,4,7,803
210,"SINGAHA KHURD H/O SINGHA KALAN",510,399,0,909,328,211,0,539,539,0,5,63,1,366,58,35,1,3,1,0,2,4,539
211,"SINGAHA KHURD H/O SINGHA KALAN",545,438,0,983,360,240,0,600,550,0,11,36,2,275,8,257,0,2,2,0,3,4,600
212,"SINGAHA KHURD H/O SINGHA KALAN",394,360,0,754,292,210,0,502,502,0,18,63,1,239,27,137,3,0,1,1,3,9,502
213,"SINGAHA KHURD H/O SINGHA KALAN",415,384,0,799,278,230,0,508,508,0,10,43,1,145,225,58,3,2,1,0,6,14,508
214,"SINGAHA KHURD H/O SINGHA KALAN",716,628,0,1344,510,384,0,894,889,0,6,81,3,632,48,99,2,3,4,3,3,10,894
215,"SINGAHA KALAN",744,623,0,1367,499,346,0,845,845,0,16,118,1,398,156,133,4,2,2,3,6,6,845
216,NAURANGABAD,481,432,0,913,354,286,0,640,640,0,18,63,4,291,154,94,3,0,0,1,3,9,640
217,NAURANGABAD,512,419,0,931,386,303,0,689,689,0,10,154,0,180,266,61,3,2,3,2,2,6,689
218,"FARDAHIA H/O NAURANGABAD",801,654,0,1455,655,438,0,1093,1093,0,21,113,4,553,296,94,3,0,5,1,0,3,1093
219,NAURANGABAD,366,294,0,660,254,206,0,460,448,0,3,64,1,265,82,35,0,0,0,5,2,3,460
