"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. AKHILESH KUMAR DWIVEDI","2 - RAKESH DHAR TRIPATHI","3 - VIRENDRA SINGH","4 - SARTAJ IMAM","5 - SEEMA MISHRA","6 - AJAY KUMAR MAURYA","7 - TEJ BAHADUR YADAV ADVOCATE","8 - RAJESH KUMAR ALIAS KHANNA MAURYA","9 - RAM SAGAR BIND","10 - CHANDRASHEKHAR","11 - JAGJEEVAN RAM","12 - JEEVAN KUMAR MALLAH","13 - RAM SAKHA TRIPATHI","14 - SANTRAJ SINGH","15 - None of the Above","Total Votes Secured"
169,"LAVKUSH I.COL. SITAMADHI R.NO.- 2",609,494,0,1103,357,300,0,657,69,0,4,313,204,4,98,1,4,0,0,3,0,5,2,6,13,657
170,"PRA.VIDY. MAJHAGAWA R.NO.-1",554,520,0,1074,261,252,0,513,300,0,4,25,143,6,268,6,13,1,6,5,3,5,6,11,11,513
171,"PRA.VIDY. MAJHAGAWA R.NO.-2",480,421,0,901,235,228,0,463,8,0,13,124,71,15,185,5,17,2,6,1,3,8,0,2,11,463
172,"PRA.VIDY. KHEDAUPUR R.NO.-1",627,512,0,1139,276,255,0,531,83,0,5,86,178,12,232,1,5,0,4,1,0,1,2,1,3,531
173,"PRA.VIDY. KHEDAUPUR R.NO.-2",762,597,0,1359,356,289,0,645,632,0,8,271,187,5,148,0,11,2,0,3,2,3,0,4,1,645
174,"S.KALIKA INTER COLLAGE KOIRAUNA R.NO.-1",566,479,0,1045,278,251,0,529,39,0,2,84,216,17,187,1,11,2,0,1,0,3,2,3,0,529
175,"S.KALIKA INTER COLLAGE KOIRAUNA R.NO.-2",456,401,0,857,236,221,0,457,205,0,2,25,178,4,233,3,2,0,0,3,3,1,0,1,2,457
176,"S.KALIKA INTER COLLAGE KOIRAUNA R.NO.-3",359,308,0,667,157,133,0,290,47,0,2,23,101,4,143,1,2,1,0,0,0,0,3,3,7,290
177,"PRA.VIDY. BERWAPHADHAPUR  R.NO.-1",491,377,0,868,291,193,0,484,397,0,4,280,129,5,53,1,0,0,0,0,0,1,4,2,5,484
178,"PRA.VIDY. BERWAPHADHAPUR  R.NO.-2",384,334,0,718,211,176,0,387,1,0,0,174,123,4,72,0,0,0,2,1,0,0,3,7,1,387
179,"PRA.VIDY. BERWAPHADHAPUR  R.NO.-3",278,208,0,486,156,119,0,275,5,0,4,199,55,7,2,0,0,0,0,0,0,0,0,5,3,275
180,"PRA.VIDY. MARSADA",560,389,0,949,228,208,0,436,430,0,3,158,132,3,115,1,1,0,1,0,2,0,2,8,10,436
181,"PRA.VIDY. MADANPUR",531,425,1,957,250,234,0,484,4,0,12,120,163,8,150,3,16,1,2,0,1,2,3,1,2,484
182,"PRA.VIDY. GOPALAPUR",448,376,0,824,237,220,0,457,20,0,2,45,189,8,192,5,1,0,1,0,1,1,2,1,9,457
183,"PRA.VIDY. KALINGARA",358,293,0,651,167,196,0,363,14,0,2,122,180,1,49,1,1,0,1,1,0,0,1,0,4,363
184,"PRA.VIDY. FULWARIYA",423,373,0,796,203,205,0,408,3,0,7,73,152,12,110,2,9,5,1,3,1,3,4,6,20,408
185,"PRA.VIDY. BHIKHIPUR R.NO.-1",598,565,1,1164,310,308,0,618,462,0,2,148,247,7,57,1,142,3,1,4,2,1,0,2,1,618
186,"PRA.VIDY. BHIKHIPUR R.NO.-2",302,271,0,573,202,176,0,378,10,0,2,39,286,1,41,2,1,1,1,1,0,3,0,0,0,378
187,"PRA.VIDY. BHAWAPUR",464,405,0,869,204,233,0,437,172,0,5,127,181,1,103,0,4,0,3,1,0,2,0,3,7,437
188,"JU.HA. SCHOOL.JANGALPUR R.NO.-1",527,425,0,952,272,234,0,506,506,0,8,287,115,9,57,8,15,0,0,1,1,4,0,1,0,506
189,"JU.HA. SCHOOL JANGALPUR R.NO.-2",879,713,0,1592,449,426,0,875,875,0,8,354,372,3,118,2,5,0,0,2,3,2,1,1,4,875
190,"PRA.VIDY. KULMANPUR",628,492,0,1120,344,280,0,624,172,0,2,166,272,11,153,1,1,0,2,1,0,0,3,7,5,624
191,"PRA.VIDY. MAILAUNA R.NO.-1",549,421,0,970,309,291,0,600,139,0,0,208,266,14,91,8,3,1,0,1,0,2,2,0,4,600
192,"PRA.VIDY. MAILAUNA R.NO.-2",491,339,0,830,201,155,0,356,108,0,1,113,134,27,62,2,5,1,1,0,1,2,2,2,3,356
193,"PRA.VIDY. JANGIGANJ R.NO.-1",505,393,0,898,352,232,0,584,10,0,1,49,306,6,208,2,5,1,0,0,0,1,2,0,3,584
194,"PRA.VIDY. JANGIGANJ R.NO.-2",659,520,0,1179,374,312,0,686,38,0,4,227,294,7,136,2,1,0,1,0,0,0,4,3,7,686
195,"SA.SAH. SARAYJAGDISH R.NO.-1",544,378,0,922,240,176,0,416,20,0,5,80,66,25,213,3,0,2,3,3,0,4,1,4,7,416
196,"SA.SAH. SARAYJAGDISH R.NO.-2",633,505,0,1138,331,385,0,716,690,0,7,292,234,9,136,3,14,0,1,3,1,1,9,2,4,716
197,"PRA.VIDY. SARAYJAGDISH",576,418,0,994,247,170,0,417,95,0,1,117,82,19,189,2,1,0,1,1,0,0,2,0,2,417
198,"NAURANGI KANYA VIDY. CHANDAPUR R.NO.- 1",563,483,0,1046,297,299,0,596,140,0,5,223,224,11,81,16,15,1,1,0,1,3,1,6,8,596
199,"NAURANGI KANYA VIDY. CHANDAPUR R.NO.- 2",431,377,0,808,205,188,0,393,45,0,4,41,195,7,124,2,11,3,0,0,2,0,2,0,2,393
200,"PRA.VIDY. SADASHIVPATTI R.NO.-1",340,299,0,639,252,155,0,407,5,0,7,130,148,4,93,2,9,0,0,0,0,4,1,1,8,407
201,"PRA.VIDY. SADASHIVPATTI R.NO.-2",512,410,0,922,247,235,0,482,3,0,1,47,275,8,129,0,6,1,0,3,3,0,3,1,5,482
202,"PRA.VIDY. SHIVSEVAKPATTI",562,488,0,1050,267,302,0,569,569,0,6,202,192,13,127,1,8,1,1,2,3,1,2,3,7,569
203,"PRA.VIDY. DASHARAMPATTI",361,233,0,594,191,118,0,309,49,0,1,49,226,4,22,0,1,0,0,0,0,1,3,1,1,309
204,"PRA.VIDY. ARTA",555,486,0,1041,252,301,0,553,503,0,13,268,81,2,166,1,13,1,0,0,2,3,0,1,2,553
205,"PRA.VIDY. SURYABHANPUR R.NO.-1",583,484,0,1067,270,271,0,541,10,0,1,126,279,10,95,1,0,1,4,2,1,6,2,3,10,541
206,"PRA.VIDY. SURYABHANPUR R.NO.-2",430,336,0,766,170,172,0,342,342,0,0,31,215,8,47,10,18,0,3,1,0,1,5,1,2,342
207,"SANKUL VEDY. SURYABHANPUR",823,666,0,1489,457,295,0,752,50,0,2,173,419,4,127,0,2,3,2,0,0,7,2,4,7,752
208,"PRA.VIDY. SHERPUR PINDRA H. JOGAPUR",682,601,0,1283,301,356,0,657,6,0,5,152,368,8,101,1,9,1,2,0,0,2,2,2,4,657
209,"PRA.VIDY. SONPUR INARGAWAN",798,667,0,1465,345,333,0,678,4,0,6,134,262,10,174,7,21,5,5,4,5,8,11,11,15,678
210,"PRA.VIDY. INARGAWAN R.NO.-1",855,668,0,1523,394,307,0,701,400,0,8,44,272,7,273,24,28,2,1,6,6,3,3,3,21,701
211,"PRA.VIDY. INARGAWAN R.NO.-2",815,647,0,1462,440,385,0,825,28,0,12,119,260,15,358,5,24,2,2,4,2,3,3,3,13,825
212,"PRA.VIDY. DUHIYA",842,680,0,1522,360,261,0,621,20,0,9,11,339,6,182,4,48,8,0,5,1,4,0,1,3,621
213,"PRA.VIDY. NAGARDAH R.NO.-1",789,662,0,1451,388,404,0,792,56,0,6,67,332,10,305,13,41,2,1,4,2,0,1,4,4,792
214,"PRA.VIDY. NAGARDAH R.NO.-2",339,296,0,635,211,202,0,413,8,0,2,91,66,5,191,4,38,1,1,1,3,0,1,4,5,413
215,"PRA.VIDY. OJHAPUR",608,438,1,1047,229,207,0,436,307,0,4,165,167,7,84,2,0,0,1,0,0,0,1,3,2,436
216,"JU.HA. SCHOOL SEMRADH R.NO.-1",498,384,0,882,284,178,0,462,34,0,4,141,185,7,98,2,12,3,2,0,0,5,0,2,1,462
217,"JU.HA. SCHOOL SEMRADH R.NO.-2",235,185,0,420,112,101,0,213,23,0,3,21,134,3,40,0,0,0,6,0,0,0,2,4,0,213
218,"PRA.VIDY. MAHMADPUR",318,231,0,549,208,140,0,348,23,0,0,28,70,1,207,3,33,0,0,0,2,0,0,1,3,348
219,"JU.HA. SCHOOL PURWA",792,696,0,1488,449,384,0,833,3,0,5,137,219,7,400,6,31,0,4,3,0,0,5,8,8,833
220,"PRA.VIDY. IBRAHIMPUR R.NO.-1",425,397,1,823,249,251,0,500,3,0,4,111,96,12,240,8,14,2,2,2,1,4,2,1,1,500
221,"PRA.VIDY. IBRAHIMPUR R.NO.-2",479,402,0,881,259,234,0,493,3,0,5,137,190,8,129,1,11,2,2,0,1,2,0,1,4,493
222,"PRA.VIDY. GOPALPUR",453,388,0,841,234,227,0,461,10,0,3,43,255,4,126,0,24,1,0,1,2,1,0,0,1,461
223,"PRA.VIDY. BADARI",425,365,0,790,237,227,0,464,10,0,5,136,201,4,108,0,0,1,0,0,1,4,1,1,2,464
224,"PANCHAYAT BHAWAN JANGDISHPUR",441,361,0,802,263,243,0,506,53,0,6,311,136,3,37,0,6,0,0,1,0,0,1,1,4,506
225,"MATA SEVAK MA.VIDY. BARIBESA R.NO.-1",798,616,0,1414,401,353,0,754,694,0,0,81,351,8,283,1,2,2,1,2,3,5,3,3,9,754
226,"MATA SEVAK MA.VIDY. BARIBISA R.NO.-2",866,691,1,1558,451,419,0,870,148,0,15,311,382,16,88,12,8,3,1,1,2,2,11,5,13,870
227,"MATA SEVAK MA.VIDY. BARIBESA R.NO.-3",543,399,0,942,245,212,0,457,457,0,0,6,317,5,102,4,6,1,0,0,1,2,2,4,7,457
228,"JU.HA. SCHOOL TALIYA",690,543,0,1233,344,257,0,601,24,0,4,84,224,11,136,33,78,1,3,5,2,5,2,6,7,601
229,"PRA.VIDY. JAGAPUR",467,375,0,842,233,209,0,442,442,0,0,24,301,3,106,0,0,1,0,0,0,0,2,1,4,442
230,"PRA.VIDY. SONAICHA",898,689,0,1587,425,390,0,815,237,0,6,207,387,6,178,1,14,1,3,0,0,2,1,2,7,815
231,"PRA.VIDY. BERASPUR",783,682,0,1465,392,376,0,768,140,0,6,146,316,11,242,3,14,0,4,3,4,3,2,5,9,768
232,"JU.HA. SCHOOL KEDARPUR",590,493,0,1083,314,283,0,597,200,0,4,123,318,5,141,0,1,1,0,0,0,3,0,0,1,597
233,"PRA.VIDY. BIHAROJPUR R.NO.-1",465,342,0,807,264,216,0,480,480,0,3,85,145,4,219,2,9,0,3,0,1,3,1,3,2,480
234,"PRA.VIDY. BIHAROJPUR R.NO.-3",431,318,0,749,234,162,0,396,10,0,4,79,167,3,118,1,21,0,0,1,0,0,2,0,0,396
235,"PRA.VIDY. BIHAROJPUR R.NO.-2",327,243,0,570,176,133,0,309,15,0,5,92,89,1,107,1,6,2,2,1,2,0,0,0,1,309
236,"PRA.VIDY. BAIKUNTHAPATTI URAF DHANAPUR",451,334,0,785,252,182,0,434,12,0,0,8,135,9,276,3,1,0,0,0,1,0,0,1,0,434
237,"JU.HA. SCHOOL BIHAROJPUR",168,134,0,302,66,70,0,136,80,0,2,78,29,0,25,0,0,2,0,0,0,0,0,0,0,136
238,"PRA.VIDY. SUJATPUR R.NO.-1",635,474,0,1109,433,305,0,738,15,0,10,276,156,7,274,3,2,1,1,1,0,3,0,0,4,738
239,"PRA.VIDY. SUJATPUR R.NO.-2",462,355,0,817,278,222,0,500,11,0,1,91,152,2,248,0,0,0,0,0,1,3,0,0,2,500
240,"PRA.VIDY. CHERAPUR",790,704,0,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,"JU.HA. SCHOOL BHAGATPATTI VIRNAI",799,676,0,1475,393,415,0,808,168,0,11,181,400,8,171,12,5,1,8,0,0,1,5,2,3,808
242,"PRA.VIDY. CHHATMI R.NO.-1",618,483,0,1101,374,319,0,693,579,0,4,224,233,9,187,5,16,2,0,1,1,1,3,2,5,693
243,"PRA.VIDY. CHHATMI R.NO.-2",312,232,0,544,170,138,0,308,5,0,3,67,100,9,106,3,7,4,1,0,3,3,0,0,2,308
244,"PRA.VIDY. KISHUNDEVPUR",666,509,0,1175,336,254,0,590,25,0,4,63,387,9,113,1,3,0,1,1,2,3,0,1,2,590
245,M.SHI.BRA.LAL.I.CO.RADHASHWAMIDHAM,463,303,0,766,281,170,0,451,8,0,2,38,271,5,114,6,6,1,1,0,2,1,0,3,1,451
246,PRA.VIDY.GHANSHYAMPUR,882,728,1,1611,549,537,0,1086,184,0,10,446,258,18,271,10,4,8,1,1,5,9,15,14,16,1086
247,"PRA.VIDY. TILANGA R.NO.-1",819,590,0,1409,367,293,0,660,360,0,8,67,356,11,207,0,2,0,0,0,0,0,4,1,4,660
248,"PRA.VIDY. TILANGA R.NO.-2",287,229,0,516,123,93,0,216,7,0,0,67,63,2,82,0,1,0,0,0,0,0,0,1,0,216
249,"PRA.VIDY. GULAURI",810,667,0,1477,552,349,0,901,869,0,13,82,471,19,259,3,22,1,6,4,2,6,2,5,6,901
250,"PRA.VIDY. DHANAPUR",704,515,0,1219,443,329,0,772,9,0,0,139,401,16,203,3,5,1,1,0,1,0,0,1,1,772
251,"PRA.VIDY. ANAPUR",652,567,0,1219,367,322,0,689,483,0,11,325,169,6,160,0,8,1,0,0,1,3,1,1,3,689
252,"PRA.VIDY. GAHARPUR R.NO.-1",457,371,0,828,315,282,0,597,111,0,2,226,78,18,248,1,3,2,1,0,4,1,4,2,7,597
253,"PRA.VIDY. GAHARPUR R.NO.-2",509,448,0,957,293,262,0,555,68,0,2,66,163,23,283,1,5,0,0,0,0,1,0,2,9,555
254,"PRA.VIDY. CHAHARPUR",257,224,0,481,200,184,0,384,7,0,4,117,221,1,38,0,0,0,0,0,0,0,0,0,3,384
255,"PRA.VIDY. SONKHARI",724,629,0,1353,398,357,0,755,320,0,6,158,384,18,153,2,3,2,2,3,1,4,2,4,13,755
256,"JU.HA.SCHOOL CHAKMANDHATA R.NO.-1",585,501,0,1086,322,245,0,567,26,0,5,50,351,3,136,0,12,1,3,2,0,1,0,0,3,567
257,"JU.HA.SCHOOL CHAKMANDHATA R.NO.-2",856,649,0,1505,499,408,0,907,117,0,7,286,376,15,208,3,3,2,0,0,0,2,0,2,3,907
258,"PRA.VIDY. BAIDAKHASH",770,596,1,1367,535,401,0,936,4,0,5,204,486,19,196,1,4,0,0,1,0,5,4,5,6,936
259,"PRA.VIDY. CHITAIPUR",445,356,0,801,263,246,0,509,41,0,2,17,292,4,135,7,32,2,2,2,3,1,1,4,5,509
260,"PRA.VIDY. THANIPUR",586,489,0,1075,419,324,0,743,97,0,10,320,316,8,59,15,2,1,3,2,0,0,2,1,4,743
261,"PRA.VIDY. HARIHARPUR",423,344,0,767,230,221,0,451,205,0,2,15,330,9,67,7,2,1,2,1,3,3,2,0,7,451
262,"PRA.VIDY. PURE BHURIYA",535,454,0,989,364,224,0,588,225,0,7,221,216,5,118,3,2,0,1,0,0,5,1,4,5,588
263,"PU.MA.VIDY. JAGAPUR R.NO.-1",546,438,0,984,372,275,0,647,18,0,7,225,231,17,93,1,23,1,4,1,4,5,5,13,17,647
264,"PU.MA.VIDY. JAGAPUR R.NO.-2",392,324,0,716,268,216,0,484,85,0,1,13,304,34,98,3,18,0,2,2,1,1,0,3,4,484
265,"PRA.VIDY. DUHIYA",572,445,1,1018,285,209,0,494,49,0,2,42,256,6,178,1,5,0,1,0,0,1,1,0,1,494
266,"PRA.VIDY. BHAVSINGHPUR",268,229,0,497,135,168,0,303,24,0,2,157,59,3,27,0,43,1,2,1,0,1,3,0,4,303
267,"JU.HA.SCHOOL ANARI KA PURA",454,366,0,820,276,223,0,499,3,0,2,12,275,6,197,0,0,0,0,1,1,3,0,2,0,499
268,"PRA.VIDY. UMARIYA R.NO.-1",557,433,0,990,298,259,0,557,480,0,8,237,148,14,93,2,39,1,1,2,1,5,1,0,5,557
269,"PRA.VIDY. UMARIYA R.NO.-2",658,526,0,1184,316,247,0,563,11,0,1,128,345,3,52,0,21,0,2,2,0,2,1,4,2,563
270,"PRA.VIDY. UMARIYA R.NO.-3",243,229,0,472,128,113,0,241,6,0,0,16,152,5,55,0,7,0,0,2,0,0,1,0,3,241
271,"PRA.VIDY. MILKI",607,523,0,1130,452,335,0,787,10,0,7,173,377,11,141,2,53,5,4,1,3,2,4,1,3,787
272,"PRA.VIDY. KASHIRAMPUR",174,121,0,295,91,70,0,161,147,0,0,16,87,1,46,0,7,0,0,0,0,0,2,0,2,161
273,"U.MA.VIDY. SARIPUR URF UMARPUR R.NO.-1",471,403,0,874,260,252,0,512,21,0,2,175,61,2,102,2,127,4,1,7,4,4,2,8,11,512
274,"U.MA.VIDY. SARIPUR URF UMARPUR R.NO.-2",433,419,0,852,219,243,0,462,6,0,5,86,63,7,199,2,83,3,0,3,1,1,1,3,5,462
275,"PRA.VIDY. CHAKSUNDAR R.NO.-1",401,337,0,738,210,212,0,422,10,0,3,10,195,3,192,3,5,1,0,2,1,1,0,2,4,422
276,"PRA.VIDY. CHAKSUNDAR R.NO.-2",455,398,0,853,226,235,0,461,210,0,1,152,172,2,113,7,1,0,1,0,0,2,2,2,6,461
277,"PRA.VIDY. HINCHHANPUR",864,686,0,1550,442,335,0,777,74,0,5,122,357,17,232,2,20,2,5,3,3,2,3,1,3,777
278,"PRA.VIDY. SANSARAPUR R.NO.-1",479,413,0,892,237,257,0,494,70,0,3,81,120,14,202,4,33,3,4,4,3,2,4,3,14,494
279,"PRA.VIDY. SANSARAPUR R.NO.-2",610,415,0,1025,260,212,0,472,172,0,5,119,152,6,150,2,22,2,1,1,1,1,1,4,5,472
280,"PANCHAYAT BHAWAN CHAKSHAB",504,396,0,900,246,269,0,515,32,0,7,21,90,11,363,2,4,2,1,1,2,3,0,1,7,515
281,"PRA.VIDY. BHAGWAS",565,497,0,1062,266,288,0,554,53,0,7,65,192,3,68,8,177,7,3,9,2,4,5,2,2,554
282,"PRA.VIDY. BHOPATPATTI",641,561,0,1202,309,342,0,651,442,0,12,265,240,6,65,9,43,2,0,4,0,2,2,1,0,651
283,"PRA.VIDY. GHATAMPUR",618,478,0,1096,270,254,0,524,480,0,2,122,271,5,89,4,13,0,0,1,0,2,1,5,9,524
284,"PRA.VIDY. SHIVRAMPUR",681,545,0,1226,306,294,0,600,8,0,4,207,287,11,55,3,14,1,0,2,2,2,1,3,8,600
285,"JU.HA. SCHOOL KSHATRASHAPUR",818,682,0,1500,438,339,0,777,94,0,4,129,215,38,77,28,236,2,1,17,5,3,5,4,13,777
286,"PRA.VIDY. RAYPUR",657,448,0,1105,312,240,0,552,43,0,2,5,434,5,96,3,1,0,0,0,1,0,1,3,1,552
287,"PRA.VIDY. KASIDHA R.NO.-1",852,700,0,1552,402,411,0,813,65,0,4,51,412,11,237,5,43,2,4,2,6,8,7,7,14,813
288,"PRA.VIDY. KASIDHA R.NO.-2",451,404,0,855,212,232,0,444,75,0,2,193,94,14,119,1,0,0,2,1,0,8,1,3,6,444
289,"PRA.VIDY. KASIDHA R.NO.-4",468,331,0,799,179,186,0,365,10,0,4,167,81,12,85,1,10,0,3,0,0,1,0,1,0,365
290,"PRA.VIDY. KASIDHA R.NO.-3",663,553,0,1216,298,243,0,541,326,0,7,216,53,3,188,2,57,3,2,2,2,2,0,2,2,541
291,"PU.MA.VIDY. GANESHRAYPUR R.NO.-1",589,484,0,1073,294,260,0,554,30,0,2,127,282,12,102,1,13,2,0,1,0,3,4,0,5,554
292,"PU.MA.VIDY. GANESHRAYPUR R.NO.-2",740,541,0,1281,346,338,0,684,39,0,7,198,188,20,244,2,8,3,2,1,1,4,1,1,4,684
293,PRA.VIDY.BHIDIURA,722,578,0,1300,333,337,0,670,100,0,1,8,265,11,324,11,2,2,0,2,9,4,3,7,21,670
294,PRA.VIDY.PALI,362,284,0,646,145,147,0,292,7,0,0,56,149,9,69,0,2,0,1,0,0,1,0,1,4,292
295,"JU.HA.SCHOOL PALI R.NO.-1",462,348,0,810,213,216,0,429,8,0,5,179,126,2,103,1,0,0,2,0,1,0,4,3,3,429
296,"JU.HA.SCHOOL PALI R.NO.-2",615,538,0,1153,321,304,0,625,352,0,2,55,299,11,144,8,74,0,3,4,2,5,1,6,11,625
297,"PRA.VIDY.KASIYAPUR R.NO.-1",621,514,0,1135,357,346,0,703,10,0,5,167,186,14,239,35,42,2,1,3,3,1,3,1,1,703
298,"PRA.VIDY.KASIYAPUR R.NO.-2",285,257,0,542,139,168,0,307,205,0,1,96,67,2,57,2,64,0,0,4,2,1,0,6,5,307
299,PRA.VIDY.GHORHA,833,679,0,1512,445,443,0,888,19,0,4,166,324,17,324,5,15,1,2,2,0,3,5,10,10,888
300,"PRA.VIDY.PAKRIKHURDA R.NO.-1",598,484,0,1082,273,310,0,583,15,0,5,57,266,12,190,7,34,2,1,3,1,2,1,1,1,583
301,"PRA.VIDY.PAKRIKHURDA R.NO.-2",648,523,0,1171,337,328,0,665,663,0,3,178,200,16,211,3,37,3,2,2,1,2,1,2,4,665
302,"PRA.VIDY. WARI R.NO.-1",708,633,0,1341,320,302,0,622,572,0,2,110,157,6,204,13,101,4,0,6,4,1,3,3,8,622
303,"PRA.VIDY. WARI R.NO.-2",782,695,0,1477,350,317,0,667,335,0,2,92,193,14,99,104,116,4,3,5,9,5,3,6,12,667
304,"PRA.VIDY. DASHRATHPUR",779,599,0,1378,380,318,0,698,4,0,3,209,276,7,121,26,31,3,1,1,1,2,3,2,12,698
305,"PRA.VIDY. GALHAIYA",474,442,0,916,218,264,0,482,482,0,4,129,143,3,130,6,49,8,1,3,0,1,0,4,1,482
306,PRA.VIDY.CHAKKLUTI,268,246,0,514,166,166,0,332,4,0,2,3,22,0,29,4,251,5,1,7,2,0,0,3,3,332
307,"PRA.VIDY. GAJDHRA",688,512,0,1200,316,267,0,583,313,0,6,93,126,6,141,13,177,3,1,5,5,1,0,5,1,583
308,"PRA.VIDY. KAVAL",877,629,0,1506,417,368,0,785,41,0,6,185,402,12,171,3,6,0,0,0,0,0,0,0,0,785
309,"PRA.VIDY. KAVAL SISTI GRAM CHAKSIKHRI",918,694,0,1612,429,397,0,826,35,0,7,273,305,10,116,3,88,4,8,1,1,3,0,5,2,826
310,"JU.HA.SCHOOL NANDAPUR",546,488,0,1034,293,302,0,595,3,0,5,120,117,5,220,4,102,3,0,1,5,2,3,5,3,595
311,"PRA.VIDY. PURE GADERIYA",541,469,0,1010,310,295,0,605,521,0,9,206,181,8,91,3,74,2,3,8,1,2,5,4,8,605
312,"PRA.VIDY. JAYSINGHPUR",266,254,0,520,162,174,0,336,1,0,3,248,18,2,24,2,34,1,0,2,0,0,0,1,1,336
313,"PRA.VIDY. TINBARWA CHAKKISHUNDAS",717,569,0,1286,426,313,0,739,50,0,1,157,275,7,105,11,155,4,4,5,1,1,0,5,8,739
314,"PRA.VIDY. KESHAVPUR SARPATAHA R.NO.-1",832,638,0,1470,398,368,0,766,730,0,5,47,465,6,151,3,85,1,0,2,0,1,0,0,0,766
315,"PRA.VIDY. KESHAVPUR SARPATAHA R.NO.-2",396,296,0,692,182,160,0,342,200,0,0,172,126,4,30,0,6,0,1,0,0,1,1,0,1,342
316,"PRA.VIDY. DEWAJITPUR",531,428,0,959,352,313,0,665,12,0,2,377,159,13,79,3,0,1,2,1,1,3,4,7,13,665
317,"V.N.I.CO. GYANPUR R.NO.-1",554,393,0,947,333,211,0,544,406,0,1,45,431,15,41,0,8,0,0,0,0,1,0,1,1,544
318,"V.N.I.CO. GYANPUR R.NO.-2",656,551,0,1207,405,332,0,737,737,0,1,53,463,22,167,3,11,2,1,1,1,2,1,1,8,737
319,"V.N.I.CO. GYANPUR R.NO.-3",812,605,0,1417,492,330,0,822,816,0,2,83,441,21,247,2,18,0,1,2,0,2,2,0,1,822
320,"K.N.P.G.COLL. R.NO.-1",641,550,0,1191,324,264,0,588,588,0,2,61,418,32,54,1,9,0,0,0,1,0,5,0,5,588
321,"K.N.P.G.COLL. R.NO.-2",403,356,0,759,230,203,0,433,380,0,2,108,226,17,71,0,1,0,1,1,0,2,0,1,3,433
322,"K.N.P.G.COLL. R.NO.-3",759,573,0,1332,434,313,0,747,337,0,6,181,342,35,127,0,45,0,1,3,0,1,3,1,2,747
323,"KARYAL JILA PA. GYANPUR R.NO.-1",515,438,0,953,243,198,0,441,285,0,0,45,307,16,57,1,10,0,0,0,0,0,0,0,5,441
324,"KARYAL JILA PA. GYANPUR R.NO.-2",381,317,0,698,239,195,0,434,176,0,3,64,219,5,106,0,24,4,0,2,0,3,1,1,2,434
325,"JU.HA.SCHOOL GYANPUR",656,532,0,1188,423,312,0,735,5,0,0,96,229,38,343,5,17,0,1,0,0,1,1,1,3,735
326,"PRA.VIDY. GYANPUR DEHAT",380,348,0,728,247,228,0,475,449,0,2,272,121,5,27,1,31,2,0,1,0,3,2,5,3,475
327,"PRA.VIDY. CHAKTODAR",418,387,0,805,256,239,0,495,15,0,8,150,214,8,87,0,17,4,2,2,1,0,0,1,1,495
328,"PRA.VIDY. JADDUPUR SISTI GRAM CHHOTUPUR",369,307,0,676,213,213,0,426,19,0,3,170,119,2,88,0,20,0,0,1,0,5,1,5,12,426
329,"PRA.VIDY. GIRADHARPUR",492,399,0,891,317,276,0,593,49,0,8,8,252,10,130,6,160,2,3,1,4,0,0,1,8,593
330,"PRA.VIDY. RAM KA PURA",301,248,0,549,198,166,0,364,138,0,1,104,201,6,46,1,0,0,1,0,0,0,1,1,2,364
331,"PANCHAYAT BHAWAN PUREGOSAIDAS",377,346,0,723,263,243,0,506,52,0,4,47,346,6,55,2,17,4,5,3,0,4,6,2,5,506
332,"KANYA PRA. VIDY. GYANPUR",262,233,0,495,144,141,0,285,145,0,1,92,62,11,85,3,23,0,0,3,0,2,1,0,2,285
333,"PANCHAYAT BHAWAN TEJIKAPURA",234,179,0,413,143,118,0,261,98,0,2,33,177,4,31,2,6,0,1,0,0,0,4,1,0,261
334,"JU.HA.SCHOOL TAKTAIYA",297,242,0,539,186,180,0,366,206,0,6,255,50,1,44,0,0,0,0,0,0,2,1,3,4,366
335,"GULABDHAR MISHRA I.CO. GOPIGANJ R.NO.-1",761,554,0,1315,463,324,0,787,35,0,1,83,226,21,432,2,16,1,1,0,0,1,0,1,2,787
336,"GULABDHAR MISHRA I.CO. GOPIGANJ R.NO.-2",447,400,0,847,308,264,0,572,568,0,0,24,222,23,298,0,0,0,1,0,0,0,1,0,3,572
337,"GULABDHAR MISHRA I.CO. GOPIGANJ R.NO.-3",501,431,0,932,349,262,0,611,290,0,1,39,189,18,356,1,3,0,0,1,1,0,0,0,2,611
338,"GULABDHAR MISHRA I.CO. GOPIGANJ R.NO.-4",441,341,0,782,301,209,0,510,13,0,0,6,417,7,78,0,0,0,0,0,0,1,0,0,1,510
339,"GULABDHAR MISHRA I.CO. GOPIGANJ R.NO.-5",754,594,0,1348,445,336,0,781,471,0,2,39,154,40,534,1,0,0,1,2,0,4,1,0,3,781
340,"PRA.VIDY. GOPIGANJ",760,636,0,1396,402,316,0,718,424,0,1,50,526,9,110,1,4,0,3,0,1,3,4,0,6,718
341,"PANCHAYAT BHAWAN PUREBHAGVAT",689,513,0,1202,414,318,0,732,312,0,3,20,417,18,255,4,3,1,1,0,1,2,2,1,4,732
