"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANJU URF MUSKAN","2 - KAMLESH","3 - PRADEEP KUMAR JATAV","4 - BHOLA SINGH","5 - PYARE LAL","6 - RAGHURAJ PRATAP SINGH","7 - DR. RAHUL DIPANKAR","8 - VIJAI PAL","9 - SURESH","10 - HARVIR","11 - None of the Above","Total Votes Secured"
21,"SAIDPUR PRIMARY SCHOOL R.N - 2",592,530,0,1122,357,323,0,680,680,0,83,33,26,516,3,1,3,2,0,3,10,680
22,"SAIDPUR KANYA PATHSALA R.N - 1",422,406,0,828,240,230,0,470,1,0,45,20,25,358,1,1,14,1,1,3,1,470
23,"SAIDPUR MILITRY HIROJ I.C R.N. 1",781,700,0,1481,500,430,0,930,715,0,29,26,361,479,9,1,6,3,0,6,10,930
24,"SAIDPUR MILITRY HIROJ I.C R.N. 2",538,449,0,987,269,208,0,477,67,0,10,5,28,417,3,0,5,4,1,2,2,477
25,"NEEMAPATI PRIMARY SCHOOL R.N - 1",334,300,0,634,206,184,0,390,382,0,3,2,0,380,2,0,2,0,0,1,0,390
26,"KHAIRPUR PRIMARY SCHOOL R.N - 1",479,426,0,905,312,259,0,571,50,0,172,33,2,357,1,0,0,0,1,3,2,571
27,"BHIRAVATI PRIMARY SCHOOL R.N - 1",412,346,0,758,223,178,0,401,140,0,105,10,18,261,2,2,0,3,0,0,0,401
28,"NISHURKHA PRIMARY SCHOOL R.N - 1",408,366,0,774,205,184,0,389,40,0,85,11,32,253,0,1,1,3,1,1,1,389
29,"NISHURKHA PRIMARY SCHOOL R.N - 2",380,343,0,723,223,210,0,433,17,0,128,9,2,287,0,2,0,1,2,1,1,433
30,"NISHURKHA PRIMARY SCHOOL R.N - 3",692,590,0,1282,385,317,0,702,684,0,234,14,240,196,2,1,3,3,3,3,3,702
31,"MADONA JAFARABAD PRIMARY SCHOOL R.N - 1",743,643,0,1386,419,348,0,767,385,0,223,9,3,519,3,1,3,2,0,0,4,767
32,"MADONA JAFARABAD JUNIOR HIGH SCHOOL R.N - 1",441,382,0,823,292,226,0,518,3,0,49,3,337,118,1,1,2,1,5,0,1,518
33,"MADONA JAFARABAD JUNIOR HIGH SCHOOL R.N - 2",466,402,0,868,319,222,0,541,9,0,88,12,280,142,1,1,2,6,4,1,4,541
34,"MADONA JAFARABAD JUNIOR HIGH SCHOOL R.N - 3",774,647,0,1421,384,272,0,656,551,0,105,8,5,527,2,0,0,5,0,1,3,656
35,"SEGAJAGATPUR PRIMARY SCHOOL R.N - 1",519,465,0,984,305,246,0,551,551,0,23,33,129,346,3,1,5,4,2,4,1,551
36,"SEGAJAGATPUR PRIMARY SCHOOL R.N - 2",552,471,1,1024,336,264,0,600,600,0,38,33,15,501,2,0,3,4,0,1,3,600
37,"KHAD MOHAN NAGER PRIMARY SCHOOL R.N - 1",710,621,0,1331,418,338,0,756,703,0,26,4,77,614,6,3,1,6,9,5,5,756
38,"KHAD MOHAN NAGER PRIMARY SCHOOL R.N - 2",600,497,0,1097,372,245,0,617,95,0,35,3,16,554,3,1,1,1,1,2,0,617
39,"KHAD MOHAN NAGER  KANYAPATHSALA",758,627,0,1385,371,300,0,671,34,0,136,9,169,339,2,1,1,1,2,2,9,671
40,"MOHANPUR PRIMARY SCHOOL R.N. -1",400,340,0,740,217,186,0,403,264,0,27,17,58,287,3,0,1,2,2,4,2,403
41,"MOHANPUR PRIMARY SCHOOL R.N. -2",406,346,0,752,208,184,0,392,195,0,35,38,10,283,2,0,17,0,1,2,4,392
42,"CHITSONA ALLIPUR KRISHAK HITKARI INTER COLLEGE R.N. 1",681,561,0,1242,411,296,0,707,1,0,72,4,1,610,4,1,2,6,0,6,1,707
43,"CHITSONA ALLIPUR KRISHAK HITKARI INTER COLLEGE R.N.-2",669,535,0,1204,383,237,0,620,390,0,125,7,42,430,3,1,3,3,3,3,0,620
44,"CHITSONA ALLIPUR PRIMARY SCHOOL R.N - 1",629,541,0,1170,348,306,0,654,244,0,59,10,5,553,7,1,1,3,1,4,10,654
45,"CHITSONA ALLIPUR PRIMARY SCHOOL R.N - 2",613,529,0,1142,336,311,0,647,603,0,10,14,540,71,1,0,6,2,2,1,0,647
46,"B.B. NAGAR PRIMARY SCHOOL R.N - 1",564,509,0,1073,319,269,0,588,1,0,52,6,15,481,2,2,14,2,3,6,5,588
47,"B.B. NAGAR PRIMARY SCHOOL R.N - 2",540,476,0,1016,338,238,0,576,553,0,65,51,5,434,3,0,12,0,1,1,4,576
48,"B.B. NAGAR PRIMARY SCHOOL R.N - 3",317,275,0,592,179,143,0,322,59,0,138,16,4,159,0,0,2,1,0,0,2,322
49,"B.B. NAGAR S.B.I.C.  ROOM NO- 1",468,415,0,883,232,268,0,500,500,0,114,12,13,347,2,0,9,1,1,0,1,500
50,"B.B. NAGAR S.B.I.C.  ROOM NO- 2",380,319,0,699,264,200,0,464,231,0,69,2,1,373,4,0,4,3,1,3,4,464
51,"B.B. NAGAR S.B.I.C.  ROOM NO- 3",612,542,0,1154,338,248,0,586,130,0,137,45,4,390,0,0,3,3,0,2,2,586
52,"B.B. NAGAR RAJKEYA KANYA I.CO.  ROOM NO- 1",659,588,0,1247,375,313,0,688,680,0,62,65,358,189,3,0,2,1,0,3,5,688
53,"B.B. NAGAR RAJKEYA KANYA I.CO.  ROOM NO- 2",651,540,0,1191,369,305,0,674,132,0,128,61,232,238,2,0,6,1,3,2,1,674
54,"BENIPUR PRIMARY SCHOOL ROOM NO-1",479,369,0,848,231,152,0,383,383,0,44,39,15,272,1,2,5,2,0,3,0,383
55,"BENIPUR PRIMARY SCHOOL ROOM NO- 2",503,402,0,905,266,208,0,474,474,0,30,32,153,241,1,0,11,3,1,1,1,474
56,"BAHPUR PRIMARY SCHOOL ROOM NO- 1",777,659,0,1436,465,378,0,843,768,0,76,22,59,668,1,1,10,2,0,2,2,843
57,"BAHPUR PRIMARY SCHOOL ROOM NO- 2",699,607,0,1306,400,336,0,736,736,0,30,9,498,177,2,1,3,2,6,2,6,736
58,"POTAKABULPUR PRIMARY SCHOOL ROOM NO- 1",568,489,0,1057,348,286,0,634,396,0,29,24,207,361,1,0,5,1,1,3,2,634
59,"POTAKABULPUR PRIMARY SCHOOL ROOM NO- 2",611,540,0,1151,459,376,0,835,300,0,15,2,4,803,3,2,2,0,0,2,2,835
60,"TAKARABPUR LADPUR PRIMARY SCHOOL ROOM NO- 1",833,689,0,1522,366,271,0,637,420,0,74,24,8,518,2,0,3,4,0,3,1,637
61,"TAKARABPUR LADPUR PRIMARY SCHOOL ROOM NO- 2",745,661,0,1406,411,310,0,721,1,0,93,15,109,469,3,2,9,5,4,6,6,721
62,"HINGBADA PRIMARY SCHOOL ROOM NO- 1",671,559,0,1230,397,330,0,727,60,0,89,39,233,333,1,0,6,12,3,1,10,727
63,"HINBADA PRIMARY SCHOOL ROOM NO- 2",798,678,0,1476,479,560,0,1039,1029,0,18,5,7,970,9,3,7,3,1,6,10,1039
64,"DARAULI PRIMARY SCHOOL ROOM NO- 1",432,392,0,824,345,293,0,638,608,0,69,3,180,374,0,0,6,1,4,0,1,638
65,"IKLEDI PRIMARY SCHOOL ROOM NO- 1",432,369,0,801,254,222,0,476,476,0,41,24,51,348,1,1,3,0,0,4,3,476
66,"BALIPUR PRIMARY SCHOOL ROOM NO- 1",736,645,0,1381,421,364,0,785,710,0,112,8,152,490,1,0,5,3,2,4,8,785
67,"KESOPUR SATALA PRIMARY SCHOOL ROOM NO- 1",854,700,0,1554,491,380,0,871,870,0,24,53,217,538,6,3,6,2,5,8,9,871
68,"KESOPUR SATALA KANYA PATHSALA ROOM NO- 1",722,632,1,1355,437,408,0,845,845,0,71,81,11,660,4,0,4,5,3,1,5,845
69,"ALAWAS VATRI PRIMARY SCHOOL ROOM NO- 1",573,463,0,1036,356,335,0,691,642,0,4,6,460,206,0,2,2,1,7,1,2,691
70,"NIKHOB PRIMARY SCHOOL ROOM NO- 1",419,365,0,784,278,236,0,514,507,0,11,26,3,461,2,0,4,1,1,2,3,514
71,"NIKHOB PRIMARY SCHOOL ROOM NO- 2",393,358,0,751,240,221,0,461,461,0,8,28,149,265,3,2,0,2,0,1,3,461
72,"THAL INAYT PUR PRIMARY SCHOOL ROOM NO- 1",562,446,0,1008,370,264,0,634,634,0,38,6,3,581,1,1,1,1,0,0,2,634
73,"THAL INAYAT PUR PRIMARY SCHOOL ROOM NO- 2",476,397,0,873,301,266,0,567,259,0,18,6,258,270,0,0,8,1,2,1,3,567
74,"MAHAB PRIMARY SCHOOL ROOM NO- 1",473,395,0,868,362,281,0,643,1,0,63,1,31,535,2,0,5,4,0,0,2,643
75,"MAHAB PRIMARY SCHOOL ROOM NO- 2",407,357,0,764,231,182,0,413,10,0,23,2,176,187,3,3,4,5,3,3,4,413
76,"BADSHAHPUR GADIA PRIMARY SCHOOL ROOM NO- 1",372,340,0,712,280,215,0,495,18,0,1,1,25,458,2,1,2,2,0,2,1,495
77,"BARAULI BASDEVPUR PRIMARY SCHOOL ROOM NO- 1",755,626,0,1381,371,330,0,701,701,0,94,172,9,398,4,0,2,2,2,5,13,701
78,"BARAULI BASDEVPUR PRIMARY SCHOOL ROOM NO- 2",732,649,0,1381,448,339,0,787,1,0,40,76,28,609,2,2,22,3,0,3,2,787
79,"BARAULI BASDEVPUR PRIMARY SCHOOL 2  ROOM NO- 1",430,391,0,821,313,284,0,597,597,0,5,3,162,415,3,0,2,2,0,1,4,597
80,"BARAULI BASDEVPUR PRIMARY SCHOOL 2 ROOM NO- 2",452,397,0,849,297,290,0,587,167,0,2,5,105,444,5,1,5,4,3,4,9,587
81,"HARVANPUR URF BHAGWANPUR PRIMARY SCHOOL ROOM NO- 1",264,236,0,500,187,149,0,336,6,0,54,11,2,257,1,0,1,2,1,1,6,336
82,"CHINGRAVTI PRIMARY SCHOOL ROOM NO- 1",562,471,0,1033,339,258,0,597,55,0,37,2,10,528,6,1,4,1,1,2,5,597
83,"CHINGRAVTI PRIMARY SCHOOL ROOM NO- 2",368,327,0,695,186,147,0,333,228,0,15,10,25,268,4,2,2,3,1,2,1,333
84,"NAYAGAV MAJRA SAHANPUR PRIMARY SCHOOL ROOM NO- 1",599,557,0,1156,477,437,0,914,887,0,53,2,6,802,8,2,3,7,2,13,16,914
85,"NAYAGAV PURV MADHYAMEK SCHOOL ROOM NO. 1",458,404,0,862,254,235,0,489,362,0,74,13,88,281,2,2,6,1,0,7,15,489
86,"NAYABANASH MAJRA SAHANPUR PRIMARY SCHOOL ROOM NO- 1",803,687,0,1490,523,486,0,1009,1007,0,25,60,205,681,2,4,2,10,5,7,8,1009
87,"NAYABANASH MAJRA SAHANPUR PRIMARY SCHOOL ROOM NO- 2",613,515,0,1128,404,428,0,832,425,0,97,91,17,594,3,1,0,4,0,8,17,832
88,"KARAUTHI PRIMARY SCHOOL",552,478,0,1030,332,279,0,611,16,0,36,8,8,548,1,0,5,2,0,2,1,611
89,"BADDA VAJIDPUR PRIMARY SCHOOL ROOM NO- 1",671,587,0,1258,400,336,0,736,682,0,35,4,187,494,4,1,6,1,1,0,3,736
90,"BADDA VAJIDPUR PRIMARY SCHOOL ROOM NO- 2",661,557,0,1218,357,334,0,691,568,0,58,12,222,374,2,0,4,7,1,6,5,691
91,"BEEHTA PRIMARY SCHOOL ROOM NO- 1",584,498,0,1082,337,270,0,607,1,0,9,22,165,398,0,0,7,3,0,2,1,607
92,"BEEHTA PRIMARY SCHOOL ROOM NO- 2",566,474,0,1040,320,272,0,592,142,0,179,22,17,353,2,2,8,3,1,2,3,592
93,"VERA FIROJPUR PRIMARY SCHOOL ROOM NO- 1",461,393,0,854,284,248,0,532,503,0,7,8,177,319,2,1,5,4,0,2,7,532
94,"VERA FIROJPUR PRIMARY SCHOOL ROOM NO- 2",456,379,0,835,251,215,0,466,440,0,13,27,103,291,1,2,16,2,0,8,3,466
95,"VERA FIROJPUR PRIMARY SCHOOL ROOM NO- 3",414,358,0,772,240,231,0,471,407,0,23,11,173,251,6,1,2,0,0,0,4,471
96,"VERA FIROJPUR JUNIAR  HIGH SCHOOL ROOM NO- 1",432,364,0,796,222,209,0,431,431,0,66,92,52,187,0,0,20,4,2,6,2,431
97,"VERA FIROJPUR JUNIAR HIGH SCHOOL ROOM NO- 2",425,377,0,802,240,209,0,449,439,0,22,32,203,174,4,0,5,3,3,1,2,449
98,"VERA FIROJPUR  JUNIOR HIGH SCHOOL ROOM NO- 3",403,354,0,757,213,173,0,386,386,0,12,10,101,257,0,1,0,0,0,3,2,386
99,"RAMPURA MAJRA PRIMARY SCHOOL ROOM NO- 1",452,413,0,865,406,345,0,751,747,0,4,3,4,722,3,3,0,3,0,6,3,751
100,"NAHCHOLI PRIMARY SCHOOL ROOM NO- 1",491,445,0,936,321,315,0,636,19,0,1,5,253,359,1,1,1,7,0,3,5,636
101,"SYANA JUNIOR HIGH SCHOOL ROOM NO- 1",832,708,0,1540,513,479,0,992,980,0,62,25,244,612,5,3,13,5,4,7,12,992
102,"SYANA JUNIOR HIGH SCHOOL ROOM NO- 2",794,697,0,1491,476,375,0,851,851,0,249,45,259,272,1,0,19,0,0,1,5,851
103,"SYANA KANYA PATHSALA ROOM NO- 1",836,698,0,1534,500,363,0,863,434,0,734,53,27,29,0,0,6,6,0,3,5,863
104,"SYANA KANYA PATHSALA ROOM NO- 2",462,364,0,826,258,192,0,450,450,0,262,14,7,153,1,0,4,4,0,1,4,450
105,"SYANA KANYA PATHSALA ROOM NO- 3",407,351,0,758,274,179,0,453,445,0,109,3,160,169,1,0,4,1,1,0,5,453
106,"SYANA KANYA PATHSALA ROOM NO- 4",480,406,0,886,265,233,0,498,498,0,197,141,70,64,0,0,15,1,2,1,7,498
107,"SYANA KANYA PATHSALA ROOM NO- 5",770,697,0,1467,447,330,0,777,777,0,358,35,104,255,3,1,2,9,1,3,6,777
108,"SYANA I.G.K.I.CO. ROOM NO- 1 EAST ROOM",535,469,0,1004,315,277,0,592,590,0,303,98,14,147,0,2,11,5,0,2,10,592
109,"SYANA I.G.K.I.CO. ROOM NO- 2 EAST ROOM",426,377,0,803,266,227,0,493,463,0,218,57,29,173,1,0,4,2,0,2,7,493
110,"SYANA I.G.K.I.CO. ROOM NO- 3",608,537,0,1145,323,267,0,590,588,0,159,90,13,305,0,0,12,6,0,2,3,590
111,"SYANA I.G.K.I.CO. ROOM NO- 4",582,494,0,1076,314,239,0,553,523,0,188,60,20,270,0,0,10,3,0,0,2,553
112,"SYANA TEHSEEL KARYALAY ROOM NO- 1",502,423,0,925,338,284,0,622,338,0,157,29,0,419,1,0,5,0,2,2,7,622
113,"SYANA KHAND VIKAS KARYALAY ROOM NO- 1",495,389,0,884,321,263,0,584,420,0,131,26,323,95,0,1,0,1,3,0,4,584
114,"SYANA KHAND VIKAS KARYALAY ROOM NO- 2",434,378,0,812,216,197,0,413,413,0,246,100,21,24,0,1,10,2,0,4,5,413
115,"SYANA KHAND VIKAS KARYALAY ROOM NO- 3",521,476,0,997,275,277,0,552,548,0,256,134,107,48,0,1,6,0,0,0,0,552
116,"SYANA VIVEKANAND JUNIOR HIGH SCHOOL ROOM - 1",451,416,0,867,235,205,0,440,97,0,139,35,69,161,3,3,14,2,2,3,9,440
117,"SYANA VIVEKANAND JUNIOR HIGH SCHOOL ROOM - 2",477,438,0,915,289,227,0,516,99,0,330,133,32,4,0,0,12,3,0,0,2,516
118,"SYANA VIVEKANAND JUNIOR HIGH SCHOOL ROOM - 3",666,563,0,1229,369,321,0,690,88,0,318,186,56,111,2,1,2,5,3,3,3,690
119,"SYANA BHOOKAN SHARAN GANGHI MEMORIAL I.C. ROOM NO- 1 EAST ROOM",440,400,0,840,317,263,0,580,59,0,55,4,10,501,0,0,5,0,1,3,1,580
120,"SYANA BHOOKAN SHARAN GANGHI MEMORIAL I.C. ROOM NO- 2 EAST ROOM",419,391,0,810,241,206,0,447,438,0,34,9,125,263,2,1,7,2,1,0,3,447
121,"SYANA BHOOKAN SHARAN GANGHI MEMORIAL I.C. ROOM NO- 3 EAST ROOM",413,374,0,787,289,220,0,509,480,0,34,10,38,414,2,0,5,1,1,2,2,509
122,"SYANA BHOOKAN SHARAN GANGHI MEMORIAL I.C. ROOM NO- 4 EAST ROOM",464,425,0,889,268,193,0,461,289,0,42,10,50,351,0,1,1,0,1,1,4,461
123,"SYANA BHOOKAN SHARAN GANGHI MEMORIAL I.C. ROOM NO- 5",867,708,0,1575,505,378,0,883,876,0,225,84,130,417,3,1,6,5,2,6,4,883
124,"SYANA BHOOKAN SHARAN GANGHI MEMORIAL I.C. ROOM NO- 6",830,709,0,1539,500,390,0,890,90,0,309,24,57,475,2,1,10,6,0,1,5,890
125,"SYANA BHOOKAN SHARAN GANGHI MEMORIAL I.C. ROOM NO-7",648,585,0,1233,376,316,0,692,609,0,96,6,31,552,1,0,0,1,1,1,3,692
126,"SYANA ISLAMIA SCHOOL ROOM NO- 1",546,459,0,1005,296,310,0,606,606,0,63,93,229,205,4,1,2,6,3,0,0,606
127,"SYANA ISLAMIA SCHOOL ROOM NO- 2",332,282,0,614,190,158,0,348,271,0,19,14,169,130,0,2,1,1,4,4,4,348
128,"SYANA ISLAMIA SCHOOL ROOM NO- 3",536,442,0,978,289,214,0,503,503,0,49,15,47,372,2,0,4,3,1,5,5,503
129,"SYANA ISLAMIA SCHOOL ROOM NO- 4",311,242,0,553,154,118,0,272,154,0,7,3,72,183,1,1,2,1,2,0,0,272
130,"SRAY MAJRA SYANA PRIMARY SCHOOL ROOM- 1",492,437,0,929,315,296,0,611,611,0,74,11,283,234,3,0,2,2,2,0,0,611
131,"SRAY MAJRA SYANA PRIMARY SCHOOL ROOM- 2",536,480,0,1016,354,336,0,690,25,0,90,5,8,567,4,2,1,4,0,4,5,690
132,"GHANSOORPUR DIGRI COLLEGE SIYANA",642,599,0,1241,421,414,0,835,790,0,19,88,32,676,2,0,3,5,2,6,2,835
133,"BHAISODA PRIMARY SCHOOL ROOM NO- 1",622,513,0,1135,351,330,0,681,1,0,5,7,69,587,1,0,0,3,2,2,5,681
134,"BHAISODA PRIMARY SCHOOL ROOM NO- 2",683,553,0,1236,376,343,0,719,659,0,8,11,306,368,6,0,4,2,2,3,9,719
135,"LONGA PRIMARY SCHOOL ROOM NO- 1",679,590,0,1269,573,484,0,1057,55,0,3,16,0,1021,3,3,3,3,1,1,3,1057
136,"KISHOLA PRIMARY SCHOOL ROOM NO- 1",418,361,0,779,229,209,0,438,436,0,17,0,165,251,1,0,2,1,0,0,1,438
137,"KISHOLA PRIMARY SCHOOL ROOM NO- 2",468,401,0,869,239,198,0,437,177,0,12,1,11,409,1,0,3,0,0,0,0,437
138,"HAJIPUR KANYA PATHSHALA ROOM NO-1",631,519,0,1150,465,345,0,810,137,0,34,8,23,729,3,0,7,1,1,1,3,810
139,"HAJIPUR PRIMARY SCHOOL ROOM NO- 1",662,548,0,1210,405,335,0,740,738,0,62,2,259,403,1,2,3,1,2,2,3,740
140,"HAJIPUR PRIMARY SCHOOL ROOM NO- 2",750,623,0,1373,519,400,0,919,54,0,12,2,11,871,6,2,1,4,0,7,3,919
141,"JALALPUR PRIMARY SCHOOL ROOM NO- 1",445,358,0,803,209,198,0,407,407,0,165,48,18,158,3,0,2,2,2,3,6,407
142,"JALALPUR PRIMARY SCHOOL ROOM NO- 2",460,392,0,852,199,206,0,405,341,0,212,65,9,104,1,1,10,0,0,3,0,405
143,"JALALPUR PRIMARY SCHOOL NEW ROOM NO. 1",415,364,0,779,242,206,0,448,162,0,83,51,10,295,1,0,1,2,0,3,2,448
144,"JALALPUR PRIMARY SCHOOL NEW ROOM NO. 2",449,400,0,849,252,231,0,483,295,0,147,9,224,92,2,1,1,3,2,1,1,483
145,"JALALPUR PANCHAYAT GHAR ROOM NO- 1",584,497,0,1081,356,327,0,683,481,0,10,8,553,84,1,0,19,1,4,2,1,683
146,"SULAILA PRIMARY SCHOOL ROOM NO- 1",434,383,0,817,228,212,0,440,345,0,0,1,119,305,7,2,0,3,0,2,1,440
147,"SULAILA PRIMARY SCHOOL ROOM NO- 2",411,351,0,762,249,186,0,435,21,0,2,2,2,420,2,0,0,1,0,3,3,435
148,"RUKHI MAJRA RAWANI KATIRI PRIMARY SCHOOL ROOKHI ROOM NO. 1",675,597,0,1272,358,301,0,659,385,0,63,3,77,491,1,1,18,0,2,3,0,659
149,"RAWANI KATIRI PRIMARY SCHOOL ROOM NO. 1",662,559,0,1221,460,408,0,868,868,0,37,2,36,769,5,1,3,2,3,6,4,868
150,"BHAGWANPUR MAJRA RAWANI KATIRI PRIMARY SCHOOL ROOM NO- 1",618,504,0,1122,394,332,0,726,726,0,138,31,148,372,4,5,13,2,3,5,5,726
151,"MAHIUDDINPUR BUKLANA PRIMARY SCHOOL ROOM NO- 1",436,371,0,807,285,255,0,540,1,0,2,13,236,275,1,0,0,2,1,3,7,540
152,"MAHIUDDINPUR BUKLANA PRIMARY SCHOOL ROOM NO- 2",439,391,0,830,311,286,0,597,597,0,7,15,40,518,3,1,6,2,1,4,0,597
153,"MAHIUDDINPUR BUKLANA PRIMARY SCHOOL ROOM NO- 3",439,390,0,829,263,223,0,486,486,0,143,3,3,321,0,0,5,1,1,4,5,486
154,"MAHIUDDINPUR BUKLANA PRIMARY SCHOOL ROOM NO- 4",421,358,0,779,210,209,0,419,419,0,8,4,5,391,0,1,6,0,0,2,2,419
155,"BARHANA PRIMARY SCHOOL ROOM NO- 1",780,661,0,1441,410,359,0,769,769,0,68,12,89,574,4,1,7,3,0,3,8,769
156,"BARHANA PRIMARY SCHOOL ROOM NO- 2",732,642,0,1374,359,309,0,668,458,0,15,6,90,544,0,2,5,2,0,3,1,668
157,"BUGRASI JANTA INTER COLLEGE ROOM NO- 1",723,621,0,1344,431,403,0,834,824,0,149,25,401,233,3,2,5,4,4,1,7,834
158,"BUGRASI JANTA INTER COLLEGE ROOM NO- 2",592,497,0,1089,392,366,0,758,400,0,227,10,7,487,2,4,4,6,2,4,5,758
159,"BUGRASI JANTA INTER COLLEGE ROOM NO- 3",665,579,0,1244,431,403,0,834,824,0,149,25,401,233,3,2,5,4,4,1,7,834
160,"BUGRASI JANTA INTER COLLEGE ROOM NO- 4",705,587,0,1292,334,307,0,641,141,0,354,105,9,156,1,0,6,2,0,3,5,641
161,"BUGRASI JANTA INTER COLLEGE ROOM NO- 5",620,572,0,1192,342,340,0,682,143,0,488,40,13,121,1,1,8,3,0,0,7,682
162,"BUGRASI PRIMARY SCHOOL ROOM NO- 1",443,356,0,799,302,258,0,560,395,0,4,2,515,34,0,0,0,1,2,0,2,560
163,"BUGRASI PRIMARY SCHOOL ROOM NO- 2",516,445,0,961,416,375,0,791,500,0,176,5,9,587,1,2,4,3,0,2,2,791
164,"BUGRASI NAGAR PANCHAYAT KARYALAY ROOM NO- 1",535,472,0,1007,258,158,0,416,112,0,373,26,10,1,0,0,2,3,0,0,1,416
165,"BUGRASI NAGAR PANCHAYAT KARYALAY ROOM NO- 2",437,365,0,802,226,190,0,416,52,0,343,14,21,24,0,0,5,5,0,0,4,416
166,"KIRYAWLI PRIMARY SCHOOL ROOM NO- 1",468,410,0,878,309,257,0,566,566,0,2,10,453,83,2,1,3,0,5,3,4,566
167,"KIRYAWLI PRIMARY SCHOOL ROOM NO- 2",519,431,0,950,379,340,0,719,650,0,8,3,3,698,2,0,1,1,0,2,1,719
168,"MAKRI PRIMARY SCHOOL ROOM NO- 1",424,361,0,785,218,183,0,401,401,0,32,1,55,296,1,2,1,3,1,1,8,401
169,"MAKRI PRIMARY SCHOOL ROOM NO- 2",429,354,0,783,216,165,0,381,20,0,55,4,97,213,2,1,1,0,4,1,3,381
170,"MAKRI PRIMARY SCHOOL ROOM NO- 3",750,637,0,1387,310,268,0,578,315,0,91,2,80,393,2,1,2,4,0,1,2,578
171,"PRIMARE PATHSALA LUDHPURA (MAKRI NO-3)  R.NO. 1",568,488,0,1056,312,245,0,557,1,0,49,6,38,441,4,2,3,1,1,5,7,557
