"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
82,"J.H.S.PILKHATRA R.N.1",281,238,0,519,145,101,0,246,88,0,1,46,19,163,2,0,0,1,0,2,4,1,2,3,1,1,246
83,"J.H.S.PILKHATRA R.N.2",738,618,0,1356,349,249,0,598,598,0,6,139,78,354,6,1,0,0,0,2,2,1,2,5,1,1,598
84,"P.P.ABDUL HAIPUR",491,420,0,911,296,223,0,519,342,0,5,64,110,318,2,0,1,2,0,9,3,1,0,1,1,2,519
85,P.P.BUTTPURA,199,170,0,369,146,101,0,247,247,0,2,77,130,36,1,0,0,0,0,0,0,0,0,1,0,0,247
86,"P.P.MAKSOODPUR R.N.1",651,444,0,1095,315,144,0,459,4,0,4,25,410,10,0,0,1,0,0,0,1,2,1,2,0,3,459
87,"P.P.MAKSOODPUR R.N.2",544,418,0,962,187,82,0,269,50,0,4,79,124,50,2,0,0,0,0,3,1,0,3,1,2,0,269
88,J.H.S.SAKRA,621,526,0,1147,367,211,0,578,5,0,24,6,7,523,3,6,0,0,0,0,3,1,2,1,1,1,578
89,P.P.LAKHMIPUR,340,295,0,635,307,240,0,547,100,0,1,533,2,6,0,0,0,0,0,2,0,0,1,1,0,1,547
90,"P.P.GANESHPUR R.N.1",538,463,0,1001,390,287,0,677,141,0,3,86,30,549,3,1,0,0,0,1,1,2,1,0,0,0,677
91,"P.P.GANESHPUR R.N.2",528,453,0,981,422,294,0,716,91,0,0,6,15,688,1,1,0,0,0,1,1,0,0,3,0,0,716
92,P.P.KUSAIT,448,392,0,840,339,165,0,504,504,0,3,2,482,13,0,1,0,0,0,0,0,0,1,1,1,0,504
93,"P.P.JAMALPUR DURJAN",552,447,0,999,346,254,0,600,50,0,6,289,14,283,0,0,0,0,0,0,3,1,2,0,0,2,600
94,P.P.PATNA,708,599,0,1307,485,316,0,801,2,0,4,76,54,654,2,0,0,0,0,1,5,0,1,3,0,1,801
95,"P.P.SIKANDARPUR MADHI",481,379,0,860,395,306,0,701,10,0,6,224,59,401,0,0,0,0,0,0,3,1,0,1,4,2,701
96,P.P.VISHUNIPUR,571,464,0,1035,394,349,0,743,10,0,0,5,714,11,4,0,1,0,0,1,0,0,0,3,3,1,743
97,P.P.BANBARIPUR,343,263,0,606,229,182,0,411,185,0,2,110,45,251,0,0,0,0,0,0,0,0,0,3,0,0,411
98,"U.M.V.MUDHAI PRAHALADNAGAR R.N.1",575,503,0,1078,388,324,0,712,37,0,14,17,116,551,2,0,1,0,0,1,1,2,1,3,1,2,712
99,"U.M.V.MUDHAI PRAHALAD NAGAR R.N.2",360,313,0,673,270,216,0,486,200,0,1,0,3,463,4,0,0,0,0,12,1,0,1,0,0,1,486
