"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATUL KUMAR SINGH ANJAAN","2 - DARA SINGH CHAUHAN","3 - RAJEEV KUMAR RAI","4 - RASHTRA KUNWAR SINGH","5 - HARINARAYAN RAJBHAR","6 - BADRI NATH YADAV","7 - MANISH KUMAR RAI","8 - MOKHTAR ANSARI","9 - RAVI SHANKAR BHARAT","10 - RAJKUMAR CHAUHAN","11 - VIJAY KUMAR UPADHYAY","12 - DR. SHAMEEM ABIDI","13 - HARINATH","14 - HARISH CHANDRA","15 - HEMANT KUMAR","16 - DOODHNATH CHAUHAN","17 - VISHUN DAYAL","18 - SURYA KUMAR","19 - None of the Above","Total Votes Secured"
45,"B.R.K.INTER COLLEGE VALIDPUR",540,338,0,878,335,195,0,530,530,0,1,16,61,5,49,0,3,280,0,1,0,109,0,0,0,4,0,0,1,530
46,"B.R.K.INTER COLLEGE VALIDPUR",514,402,0,916,290,252,0,542,542,0,2,102,34,1,68,2,2,234,1,1,1,86,0,1,0,5,0,1,1,542
47,"B.R.K. INTER COLLAGE VALIDPUR",474,379,0,853,260,260,0,520,520,0,4,283,79,3,115,4,2,12,0,1,3,1,1,3,3,2,0,4,0,520
48,"B.R.K.INTER COLLEGE VALIDPUR",445,433,0,878,267,280,0,547,547,0,3,381,50,2,45,1,0,4,0,0,1,2,0,2,5,3,0,34,14,547
49,"B.R.K.INTER COLLEGE VALIDPUR",938,760,0,1698,576,468,0,1044,1044,0,11,258,47,2,114,3,2,216,3,0,9,349,2,0,4,12,6,4,2,1044
50,"B.R.K. INTER C. VALIDPUR",812,704,0,1516,463,415,0,878,878,0,7,75,65,15,384,10,2,260,5,2,1,21,1,6,2,14,4,2,2,878
51,"K.K.PRIMARY P.VALIDPUR",805,661,0,1466,461,408,0,869,869,0,3,149,75,9,104,3,7,487,2,1,0,19,0,1,2,5,2,0,0,869
52,"K.K.PRIMARY P.VALIDPUR",724,621,0,1345,423,398,0,821,821,0,4,15,96,7,253,4,3,359,2,1,1,65,0,1,1,3,4,0,2,821
53,"K.K.PRIMARY P.VALIDPUR",768,579,0,1347,459,376,0,835,835,0,5,21,57,17,186,2,1,386,6,3,1,145,1,2,1,0,0,0,1,835
54,"PRIMAYRY SCHOOL ATRARI",794,587,0,1381,465,340,0,805,805,0,9,240,49,9,185,2,5,273,0,3,2,16,3,2,0,1,1,2,3,805
55,"PRIMARY SCHOOL ATRARI",690,559,0,1249,533,312,0,845,845,0,5,8,16,0,3,1,3,753,1,1,3,45,0,1,0,2,0,1,2,845
56,"PRIMARY SCHOOL ATRARI",471,422,0,893,241,269,0,510,510,0,8,14,16,2,21,0,1,347,1,0,0,93,0,1,2,3,0,1,0,510
57,"PRIMARY P. CHAKBHAOPAT PUR & SUTRSHSI",665,494,0,1159,379,307,0,686,686,0,16,56,114,11,419,10,6,13,0,11,7,3,2,1,2,6,5,0,4,686
58,"PRIMARY P. CHAKBHOPATPUR & SUTRHI EAST BHAG",639,550,0,1189,316,334,0,650,650,0,7,367,6,22,212,1,1,8,1,2,2,0,1,1,5,4,2,8,0,650
59,"PRIMARY P. ANNUPAR NARTH BHAG",600,527,0,1127,331,335,0,666,666,0,7,143,144,28,268,5,0,53,1,0,0,1,1,0,0,3,8,3,1,666
60,"PRIMARY P. ANNUPAR M.  BHAG",578,484,0,1062,287,240,0,527,527,0,11,101,140,13,191,13,1,19,4,3,2,2,4,5,4,8,2,1,3,527
61,"PRIMARY P. ANNUPAR",557,456,0,1013,310,255,0,565,565,0,4,223,73,21,177,1,1,39,1,0,1,0,1,2,2,8,1,6,4,565
62,"PRIMARY P. HAFIJPUR",716,569,0,1285,379,324,0,703,703,0,16,236,94,5,270,16,5,22,1,1,3,0,0,0,2,3,4,12,13,703
63,"K.PRIMARY P.SAHABUDDINPUR",648,535,0,1183,309,335,0,644,644,0,10,166,54,14,321,11,3,9,4,4,9,6,3,1,3,16,2,1,7,644
64,"PRIMARY P. JURANPUR N. IMART",271,235,0,506,137,146,0,283,283,0,6,42,11,26,169,7,1,0,0,5,0,3,0,1,1,4,3,1,3,283
65,"PRIMARY P. BHUJAHI",437,356,0,793,264,244,0,508,508,0,12,150,71,11,208,8,1,27,3,1,1,1,1,0,1,5,0,6,1,508
66,"PRIMARY P. BHUJAHI",461,360,0,821,226,229,0,455,455,0,10,227,37,11,145,5,1,5,0,1,2,2,0,5,1,2,1,0,0,455
67,"HIGHER P.SCHOOL ALAUDDINPATTI",495,420,0,915,280,268,0,548,548,0,11,59,190,11,224,8,2,25,0,3,4,0,2,1,2,2,4,0,0,548
68,"PRIMARY SCHOOL KUTTUBPUR",388,335,0,723,226,210,0,436,436,0,3,193,61,5,92,3,2,69,1,1,1,0,0,0,2,0,0,3,0,436
69,"K.J.HIGH SCHOOL N.IMART",808,667,0,1475,461,426,0,887,887,0,16,173,130,32,398,5,2,99,4,0,5,2,2,0,4,11,2,1,1,887
70,"PRIMARY P. CHALISAVA",865,704,0,1569,514,491,0,1005,1005,0,52,164,132,12,586,18,3,8,1,2,3,3,0,4,1,7,4,2,3,1005
71,"PRIMARY P. BAHDPUR WEST BHAG",592,470,0,1062,360,310,0,670,670,0,10,8,19,17,572,12,1,17,0,1,1,3,0,0,2,3,3,0,1,670
72,"PRIMARY P. BAHDPUR EAST BHAG",654,552,0,1206,384,336,0,720,720,0,10,206,14,22,366,6,3,62,0,0,6,4,1,2,2,5,6,3,2,720
73,"PRIMARY P. SAIDPUR N. IMART",825,658,0,1483,519,463,0,982,982,0,16,368,181,8,366,8,2,8,1,1,5,1,0,1,1,12,1,1,1,982
74,"M.B.ULUM KHAIRABAD EAST BHAG",820,607,0,1427,548,369,0,917,917,0,22,63,110,6,83,0,6,503,1,2,1,114,0,2,0,4,0,0,0,917
75,"M.B.ULUM KHAIRABAD MADHY BHAG",776,578,0,1354,341,492,0,833,833,0,12,298,50,7,72,4,5,294,3,5,6,36,6,3,18,6,3,1,4,833
76,"M.B.ULUM KHAIRABAD S. BHAG",720,591,0,1311,475,360,0,835,835,0,5,67,55,4,141,2,2,466,2,2,1,78,2,0,0,7,0,1,0,835
77,"M.B.ULUM KHAIRABAD S. BHAG",768,534,0,1302,502,328,0,830,830,0,7,22,36,3,169,4,1,466,1,2,2,110,0,0,0,6,1,0,0,830
78,"MADRSA ASRFIYA JYAUL ULUM KHAIRABAD",498,398,0,896,345,273,0,618,618,0,8,31,107,20,229,5,0,107,0,1,3,86,2,2,2,4,4,3,4,618
79,"MADRSA ASRFIYA JYAUL ULUM KHAIRABAD",567,471,0,1038,344,289,0,633,633,0,5,36,63,5,116,2,1,236,0,2,1,159,0,1,1,5,0,0,0,633
80,"PRIMARY P. KHAIRABAD",536,396,0,932,377,249,0,626,626,0,6,50,46,5,81,1,1,195,1,1,2,220,0,1,2,9,2,1,2,626
81,"PRIMARY P. KHAIRABAD",653,500,0,1153,404,311,0,715,715,0,2,31,33,4,50,1,1,457,6,2,0,120,0,0,2,4,1,0,1,715
82,"P.B.INTER C. BARAMADPUR EAST BHAG",693,640,0,1333,307,335,0,642,642,0,6,25,72,10,137,3,5,351,8,2,3,3,1,4,3,5,0,2,2,642
83,"P.B.INTER C. BARAMADPUR WEST BHAG",565,434,0,999,323,274,0,597,597,0,9,126,34,4,110,4,2,283,1,1,0,9,0,2,3,2,0,5,2,597
84,"P.B.INTER C. BARAMADPUR WEST BHAG",722,536,0,1258,356,297,0,653,653,0,6,123,37,5,120,2,0,347,1,0,0,9,0,0,1,0,1,1,0,653
85,"J.H.SCHOOL M.BAD .N. IMART S. BHAG",782,597,0,1379,450,335,0,785,785,0,1,90,1,17,411,3,2,243,1,1,1,1,0,1,3,3,0,4,2,785
86,"J.H.SCHOOL M.BAD .N. IMART M. BHAG",673,595,0,1268,322,299,0,621,621,0,7,12,21,3,158,4,8,388,2,0,2,7,1,0,2,4,2,0,0,621
87,"J.H.SCHOOL M.BAD .N. IMART M. BHAG",619,518,0,1137,404,355,0,759,759,0,7,46,22,13,476,0,3,185,1,0,2,1,0,0,0,1,0,0,2,759
88,"J.H.SCHOOL M.BAD .N. IMART M. BHAG",769,754,0,1523,388,408,0,796,796,0,3,8,13,9,94,1,4,654,5,0,0,0,0,0,1,2,0,2,0,796
89,"J.H.SCHOOL M.BAD .N. IMART M. BHAG",781,599,0,1380,541,338,0,879,879,0,3,37,211,10,143,4,4,384,3,0,0,71,0,0,1,7,0,0,1,879
90,"PRIMARY P. N.IMART M.BAD EAST BHAG",813,619,1,1433,550,393,0,943,943,0,2,53,78,3,316,2,5,440,2,2,1,29,1,2,1,1,1,1,3,943
91,"PRIMARY P. N.IMART M.BAD",857,721,0,1578,496,422,0,918,918,0,2,18,143,4,21,0,5,709,3,1,0,5,1,0,0,1,2,0,3,918
92,"PRIMARY P. N. IMART M.BAD M.BHAG",815,709,0,1524,511,411,0,922,922,0,9,25,39,27,522,5,4,269,2,3,0,1,0,3,0,6,3,0,4,922
93,"PRIMAY P. N. IMART M.BAD",751,654,0,1405,406,362,0,768,768,0,5,59,48,11,244,2,4,370,3,0,1,2,3,1,3,9,0,0,3,768
94,"T.INTER COLLAGE JAMALPUR",715,604,0,1319,364,345,0,709,709,0,6,187,31,10,377,5,8,52,3,0,6,1,1,1,1,6,1,6,7,709
95,"T.INTER COLLAGE JAMALPUR",417,315,0,732,226,199,0,425,425,0,4,179,22,9,200,1,1,1,0,0,0,1,0,0,1,1,3,1,1,425
96,"CHANDIDAS ADRSH PRIMARY P. FARIDPUR",546,434,0,980,332,286,0,618,618,0,6,241,11,19,264,5,1,38,1,2,3,12,0,4,1,7,0,0,3,618
97,"PRIMARY P. KABIRABAD",424,334,0,758,255,193,0,448,448,0,5,32,80,10,207,1,0,101,0,0,2,0,1,2,1,3,2,0,1,448
98,"PRIMARY P. KYAMPUR",537,531,0,1068,336,330,0,666,666,0,6,188,129,28,242,2,1,51,3,2,0,2,1,1,3,4,1,2,0,666
99,"T.INTER COLLAGE JAMALPUR",500,432,0,932,250,217,0,467,467,0,7,18,12,2,323,4,5,83,0,0,4,3,0,0,4,1,0,0,1,467
100,"TOWN INTEH C. JAMALPUR",500,466,0,966,261,243,0,504,504,0,7,13,39,7,249,1,2,175,2,1,1,2,0,0,0,1,0,2,2,504
101,"PRIMARY P. BARIPUR N. IMART",827,669,0,1496,487,465,0,952,952,0,5,143,76,9,180,1,13,475,3,0,2,12,2,2,1,12,1,10,5,952
102,"PRIMARY P. BARIPUR N. IMART",808,675,0,1483,644,299,0,943,943,0,11,269,90,12,258,8,1,254,6,6,9,5,5,3,0,4,1,0,1,943
103,"PRIMARY P. GALIBPUR EAST BHAG",842,756,0,1598,473,456,0,929,929,0,10,603,16,4,14,4,2,225,0,1,6,1,2,2,5,13,2,14,5,929
104,"PRIMARY P, GALIBPUR WESTBHAG",683,662,0,1345,411,478,0,889,889,0,2,19,14,2,14,0,2,823,4,2,2,0,0,0,2,3,0,0,0,889
105,"PRIMARY P. SARYA",445,374,0,819,188,264,0,452,452,0,3,83,70,22,228,4,1,19,1,0,1,0,0,1,2,4,9,3,1,452
106,"PRIMARY P. PRADHANPUR N, IMART",256,207,0,463,159,173,0,332,332,0,3,76,49,1,50,2,0,134,2,0,0,3,0,2,0,3,1,2,4,332
107,"PRIMARY P. BASATPUR",318,292,0,610,193,215,0,408,408,0,2,278,75,1,44,2,0,3,0,0,3,0,0,0,0,0,0,0,0,408
108,"PRIMARY P. SIGARI N. IMART",343,310,0,653,177,194,0,371,371,0,6,45,50,19,166,2,2,65,2,0,0,3,2,1,1,5,0,1,1,371
109,"PRIMARY P. ALAUDDINPUR",696,580,0,1276,364,377,0,741,741,0,9,434,125,6,54,2,2,80,1,1,8,1,1,1,1,6,3,4,2,741
110,"PRIMARY P. NAGDOPUR EAST BHAG",327,261,0,588,121,138,0,259,259,0,10,12,18,5,123,4,0,79,2,0,2,0,0,0,0,4,0,0,0,259
111,"PRIMARY P. KYAMUDDINPUR N.IMART",239,209,0,448,190,175,0,365,365,0,0,303,9,1,36,1,1,5,0,0,4,0,0,3,0,0,1,1,0,365
112,"PRIMARY P. THAKURIPATTI N. IMART",246,211,0,457,159,173,0,332,332,0,1,304,20,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,332
113,"PRIMARY P. NARAUNI",687,553,0,1240,394,352,0,746,746,0,8,80,77,4,213,4,1,340,3,0,2,3,0,3,2,5,0,1,0,746
114,"PRIMARY P. NAGDOPUR N. IMART",684,583,0,1267,363,350,0,713,713,0,2,307,255,5,31,2,1,89,1,0,0,0,2,0,4,5,1,5,3,713
115,"PRIMARY P. TAVKKALPUR N. IMART",336,302,0,638,199,227,0,426,426,0,7,382,8,1,0,1,0,2,0,0,1,0,2,5,2,6,3,4,2,426
116,"PRIMARY P. KASARI",681,605,0,1286,339,316,0,655,655,0,7,237,114,12,227,4,3,18,2,0,2,2,1,3,6,7,2,8,0,655
117,"PRIMARY P. JAMALPUR",428,401,0,829,271,278,0,549,549,0,4,143,92,9,273,1,1,5,1,0,7,1,0,0,2,9,0,0,1,549
118,"PACHAYAT BHAVAN BHAVREPUR N. IMART",448,384,0,832,339,180,0,519,519,0,11,6,416,2,69,1,1,6,1,0,0,0,0,0,0,0,1,0,5,519
119,"PRIMARY P. HAZIPUR N. IMART",486,383,0,869,337,218,0,555,555,0,1,118,97,3,244,9,0,75,2,0,2,0,0,0,0,3,0,0,1,555
120,"PRIMARY P. AMARHAT N, IMART",509,449,0,958,293,277,0,570,570,0,10,160,143,4,225,2,1,11,2,1,2,2,0,1,0,1,3,1,1,570
121,"SRIRAM CHANDRA P.M. SCHOOL AMARI",366,287,0,653,203,186,0,389,389,0,3,92,36,2,213,4,1,26,1,1,1,0,1,4,0,3,0,0,1,389
122,"SRIRAM CHANDRA P.M. SCHOOL AMARI",569,475,0,1044,294,246,0,540,540,0,9,35,55,10,416,2,2,1,0,0,1,0,2,0,2,2,2,0,1,540
123,"SRIRAM CHANDRA P.M. SCHOOL AMARI",455,384,0,839,267,170,0,437,437,0,1,215,95,1,45,2,1,62,1,1,0,1,0,4,1,4,2,0,1,437
124,"PRIMARY P. BARAGHAV WEST BHAG",745,665,0,1410,496,420,0,916,916,0,11,83,305,16,435,11,4,18,3,1,1,4,0,5,1,9,2,2,5,916
125,"J.H. SCHOOL BARAGAV",463,375,0,838,297,232,0,529,529,0,16,182,164,9,131,1,4,15,1,0,0,0,0,0,1,3,1,1,0,529
126,"J.H. SCHOOL BARAGAV",528,459,0,987,345,263,0,608,608,0,12,272,40,4,238,6,4,7,1,0,1,0,0,0,3,1,1,14,4,608
127,"SAMUDAYIK MILAN KENDRA KAJHA KHURD",605,468,0,1073,358,285,0,643,643,0,5,377,39,2,189,3,0,4,1,0,2,0,1,1,0,3,1,11,4,643
128,"SAMUDAYIK MILAN KENDRA KAJHA KHURD",736,611,0,1347,488,428,0,916,916,0,15,403,257,8,201,5,5,6,1,0,1,2,1,2,0,4,1,0,4,916
129,"CHANDRAJEET P.M. SCHOOL KHANPUR N. IMART",848,657,0,1505,526,451,0,977,977,0,9,135,363,11,361,9,4,59,3,2,6,2,2,2,2,5,0,1,1,977
130,"PRIMARY P. KHANPUR N. IMART",888,689,0,1577,469,463,0,932,932,0,21,461,40,19,281,12,4,44,2,2,4,4,2,7,4,15,2,2,6,932
131,"PRIMARY P. TENDULI",423,375,0,798,276,249,0,525,525,0,14,40,211,5,180,3,1,63,1,1,1,0,1,0,1,1,0,1,1,525
132,"PRIMARY P. TENDULI",483,416,0,899,279,282,0,561,561,0,21,327,75,3,49,1,0,54,1,2,3,0,7,1,4,3,2,8,0,561
133,"PRIMARY P. DAULSEPUR WEST BHAG",699,518,0,1217,392,374,0,766,766,0,12,240,124,9,300,7,0,30,4,1,3,3,4,2,2,13,1,6,5,766
134,"PRIMARY P. DADAULI WEST BHAG",660,540,0,1200,407,319,0,726,726,0,19,37,361,16,217,4,1,27,2,2,8,4,1,3,2,11,3,0,8,726
135,"PRIMARY P. MAHASO SAURTH BHAG",618,502,0,1120,387,290,0,677,677,0,11,158,340,7,58,1,0,69,0,1,4,2,1,9,2,7,0,1,6,677
136,"PRIMARY P. MAHASO UTAR  BHAG",459,403,0,862,271,271,0,542,542,0,5,298,30,10,171,3,2,10,2,1,2,2,0,0,1,4,0,1,0,542
137,"PRIMARY P. BARAR",574,476,0,1050,305,287,0,592,592,0,7,69,16,7,401,5,4,59,3,0,4,2,1,1,0,9,2,0,2,592
138,"PRIMARY P. BARAR WEST BHAG",182,149,0,331,110,110,0,220,220,0,0,202,1,0,5,1,0,2,1,0,0,0,0,1,3,1,0,3,0,220
139,"PRIMARY P. KHIRKHANA N. IMART",435,328,0,763,286,251,0,537,537,0,6,476,7,2,28,0,0,2,0,0,1,0,2,1,4,4,1,3,0,537
140,"PRIMARY P. SONISA WEST BHAG",694,606,0,1300,344,291,0,635,635,0,8,12,127,14,408,13,2,45,0,0,0,2,0,1,2,0,0,0,1,635
141,"PRIMARY P. SONISA EAST BHAG",509,412,0,921,249,257,0,506,506,0,6,288,81,5,112,2,0,6,0,0,3,0,0,0,0,0,1,0,2,506
142,"L.M. SCHOOL RAMPUR BAKHRIA",647,536,0,1183,370,335,0,705,705,0,7,12,169,5,467,7,2,25,1,1,1,2,1,1,1,1,1,0,1,705
143,"PRIMARY P. MAKHUNI",437,335,0,772,231,194,0,425,425,0,8,49,153,20,147,1,0,32,1,1,1,1,0,0,0,3,2,3,3,425
144,"J.HIGH SCHOOL KHURHAT NARTH BHAG",556,485,0,1041,365,295,0,660,660,0,11,8,227,15,349,3,1,26,0,1,2,0,2,2,1,8,1,1,2,660
145,"J.H. SCHOOL KHURHAT",445,373,0,818,300,252,0,552,552,0,13,13,82,11,267,4,3,144,0,0,1,1,1,0,1,3,6,1,1,552
146,"J.H. SCHOOL KHURHAT",524,436,0,960,347,302,0,649,649,0,14,353,72,5,128,5,3,39,0,0,3,1,0,3,5,14,0,0,4,649
147,"PRIMARY P. DHARMSIPUR WEST BHAG",506,370,0,876,229,212,0,441,441,0,25,41,49,11,265,8,3,26,2,2,3,2,0,0,0,4,0,0,0,441
148,"PRIMARY P. DHARMSIPUR WEST BHAG",528,395,0,923,315,259,0,574,574,0,37,186,131,6,170,3,4,18,1,1,4,0,2,0,2,0,8,0,1,574
149,"PRIMARY P. DHARMSIPUR WEST BHAG",705,530,0,1235,375,354,0,729,729,0,67,326,149,6,94,1,0,68,2,0,1,0,2,1,5,3,1,1,2,729
150,"PRIMARY P. DHARMSIPUR WEST BHAG",276,212,0,488,173,148,0,321,321,0,22,70,92,2,103,6,5,7,1,1,0,0,0,0,4,4,1,0,3,321
151,"PRIMARY P. KAMALPUR EAST BHAG",601,438,0,1039,308,246,0,554,554,0,8,167,163,9,137,3,0,24,0,1,8,2,3,5,4,10,2,1,7,554
152,"PRIMARY P. KAMALPUR WEST BHAG",827,682,0,1509,452,386,0,838,838,0,10,131,50,7,584,4,2,25,3,1,5,2,0,1,1,5,4,0,3,838
153,"PRIMARY P. KAMALPUR",478,388,0,866,241,238,0,479,479,0,6,378,11,3,58,3,0,1,0,0,0,0,1,3,3,0,0,10,2,479
