"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
65,"P.P. KAKRASO (EAST)",362,270,0,632,167,140,0,307,307,0,2,101,175,20,1,3,1,0,0,0,1,1,0,2,307
66,"P.P. KAKRASO (WEST)",463,400,0,863,235,227,0,462,462,0,22,335,62,20,1,7,4,0,0,1,1,0,5,4,462
67,"P.P. PIPRAULI (EAST)",731,547,1,1279,332,268,0,600,600,0,31,335,89,59,3,69,1,2,1,0,2,3,2,3,600
68,"P.P. PIPRAULI (MIDDEL)",595,517,0,1112,306,222,0,528,528,0,22,129,90,44,3,225,5,1,4,1,1,1,0,2,528
69,"P.P. PIPRAULI (WEST)",644,539,0,1183,302,259,0,561,561,0,50,379,28,46,2,52,1,0,0,0,1,1,0,1,561
70,"E.P.P. PIPRAULI (NORTH)",705,568,3,1276,328,276,0,604,604,0,74,256,103,116,2,26,6,2,0,0,1,4,4,10,604
71,"E.P.P. PIPRAULI (SOUTH)",759,590,2,1351,354,336,0,690,690,0,9,164,419,73,4,3,3,0,0,1,4,4,2,4,690
72,"P.P. SHEKHPUR",721,582,0,1303,344,335,0,679,679,0,13,316,153,95,5,65,2,3,1,1,6,2,5,12,679
73,"P.P. SHANHPUR AFGA (EAST)",678,569,0,1247,256,249,0,505,505,0,24,240,22,58,2,147,4,1,1,0,1,2,0,3,505
74,"P.P. SHANHPUR AFGA (WEST)",782,631,0,1413,302,324,0,626,626,0,20,415,19,63,7,66,3,1,1,1,21,1,3,5,626
75,"J.H. SCHOOL AFGA",833,661,0,1494,367,331,0,698,698,0,13,327,177,63,6,78,8,2,4,3,6,3,2,6,698
76,"P.P. CHAK MEHARALI URF MAURAHA",523,430,0,953,280,272,0,552,552,0,11,243,183,76,1,31,1,0,0,0,1,1,1,3,552
77,"P.P. RACHHAULI",365,349,1,715,167,162,0,329,329,0,34,112,19,51,3,99,1,2,0,1,3,0,1,3,329
78,"P.P. TELMA JAMALUDINPUR (EAST)",752,609,0,1361,410,333,0,743,743,0,17,533,35,69,4,70,1,0,2,1,2,2,4,3,743
79,"P.P. TELMA JAMALUDINPUR (WEST)",637,565,0,1202,377,243,0,620,620,0,9,243,190,147,3,18,1,0,1,1,2,3,1,1,620
80,"P.P. TENDUA PATTI PHARSATAR",316,275,1,592,201,149,0,350,350,0,2,116,57,157,3,8,1,0,0,1,0,1,2,2,350
81,"P.P. BABHNAULI MU. TELMA",328,267,0,595,152,135,0,287,287,0,31,158,60,19,0,16,0,0,2,1,0,0,0,0,287
82,"P.P. BAHUTA CHAK UPADYAD (EAST)",602,496,0,1098,257,322,0,579,579,0,22,216,199,119,5,1,0,2,0,1,2,3,2,7,579
83,"P.P. BAHUTA CHAK UPADYAD (WEST)",474,392,0,866,252,226,0,478,478,0,12,185,184,60,3,18,0,1,0,0,3,3,3,6,478
84,"P.P. CHANDADIH (EAST)",505,408,0,913,269,247,0,516,516,0,15,274,193,22,1,0,0,0,0,1,0,2,0,8,516
85,"P.P. CHANDADIH (WEST)",516,423,0,939,293,202,0,495,495,0,19,255,82,107,2,23,0,0,0,1,1,1,1,3,495
86,"P.P. LAKHWALIYA",194,160,0,354,96,90,0,186,186,0,24,44,110,0,0,5,2,0,0,0,0,1,0,0,186
87,"J.H. SCHOOL KARSAR (NORTH)",647,560,0,1207,308,294,0,602,602,0,16,414,48,86,4,16,3,3,1,1,3,3,1,3,602
88,"J.H. SCHOOL KARSAR (SOUTH)",594,475,0,1069,290,240,0,530,530,0,21,303,88,82,8,7,1,2,1,1,1,0,5,10,530
89,"P.P. MOLNAPUR",545,477,2,1024,260,220,0,480,480,0,13,289,17,90,5,47,3,1,1,0,3,4,1,6,480
90,"P.P. RAMPUR KANUNGOYAN",557,475,0,1032,282,260,0,542,542,0,3,111,185,12,2,201,5,2,0,2,3,3,3,10,542
91,"GANDHI U.M.V. RAMPUR CHANDELA (EAST)",349,307,0,656,135,118,0,253,253,0,3,110,68,56,1,3,1,1,1,1,2,2,2,2,253
92,"GANDHI U.M.V. RAMPUR CHANDELA (MIDDEL)",378,289,0,667,173,140,0,313,313,0,9,33,36,45,10,168,1,2,2,1,2,0,1,3,313
93,"GANDHI U.M.V. RAMPUR CHANDELA (WEST)",684,525,0,1209,335,297,0,632,632,0,18,258,211,19,3,104,3,1,4,2,2,0,3,4,632
94,"P.P. KARANI (NORTH)",562,442,0,1004,260,255,0,515,515,0,11,327,13,47,4,93,5,2,7,0,3,3,0,0,515
95,"P.P. KARANI (SOUTH)",428,345,0,773,209,201,0,410,410,0,6,82,269,8,3,29,1,0,5,0,3,1,1,2,410
96,"P.P. SADDOPUR",317,250,0,567,158,145,0,303,303,0,11,27,6,250,2,4,0,0,1,0,0,0,0,2,303
97,"P.P. RAJPUR NEW BHAWAN",581,520,0,1101,309,269,0,578,578,0,4,342,164,33,3,25,3,1,0,1,0,0,2,0,578
98,"P.P. RAJPUR OLD BHAWAN",345,298,0,643,179,148,0,327,327,0,0,76,22,81,3,134,1,2,0,0,2,1,0,5,327
99,"P.P. SAMSHUDDINPUR",604,554,3,1161,312,330,0,642,642,0,10,245,95,185,3,79,6,2,1,1,6,4,2,3,642
100,"P.P. PASHUHARI",573,498,0,1071,302,231,0,533,533,0,19,222,91,135,0,62,0,0,1,1,0,0,0,2,533
101,"DEVRAJ INTER COLLAGE PSHUHARI",639,597,0,1236,305,308,0,613,613,0,5,213,10,57,4,303,6,3,0,1,4,0,1,6,613
102,"P.P. PAHARPUR",547,403,0,950,229,212,0,441,441,0,10,235,110,29,2,45,5,0,0,2,1,0,1,1,441
103,"P.P. PALIYA (EAST)",429,359,0,788,263,233,0,496,496,0,17,237,143,79,0,16,2,0,0,0,1,0,1,0,496
104,"P.P. PALIYA (WEST)",388,332,0,720,189,172,0,361,361,0,2,289,52,4,0,2,0,0,0,0,0,1,7,4,361
105,"P.P. FARSATAR (NORTH)",748,571,3,1322,364,342,0,706,706,0,22,454,117,68,5,19,1,0,3,3,1,0,4,9,706
106,"P.P. FARSATAR (MIDDEL)",623,473,0,1096,311,258,0,569,569,0,18,426,39,44,2,20,5,0,1,0,1,0,5,8,569
107,"P.P. FARSATAR (SOUTH)",816,606,0,1422,370,386,0,756,756,0,33,104,511,46,3,53,1,0,0,1,1,0,1,2,756
108,"PANCHAYAT BHAWAN PHARSATAR",800,674,0,1474,304,276,0,580,580,0,16,222,46,202,7,55,2,4,1,0,2,2,5,16,580
109,"E.P.P. AWANYA (EAST)",629,497,0,1126,322,303,0,625,625,0,15,384,59,110,3,35,0,0,8,1,0,3,0,7,625
110,"E.P.P. AWANYA (MIDDEL)",729,556,0,1285,388,282,0,670,670,0,44,171,386,18,0,40,1,1,2,0,1,0,2,4,670
111,"E.P.P. AWANYA (WEST)",904,641,0,1545,417,336,0,753,753,0,47,314,95,87,1,197,1,0,0,1,7,1,1,1,753
112,"SADHAN SAHKARI SAMITI BHUWARI",649,601,0,1250,352,307,0,659,659,0,11,176,259,183,5,4,11,1,3,0,1,1,1,3,659
113,"P.P. MISRAULI",459,408,0,867,326,260,0,586,586,0,14,443,23,39,2,55,1,0,1,0,1,2,2,3,586
114,"ESLAMIYA P.P. KUNDAIL NIYAMAT ALI (EAST)",725,626,2,1353,327,305,0,632,632,0,27,90,32,263,2,197,8,1,0,2,2,0,1,7,632
115,"ESLAMIYA P.P. KUNDAIL NIYAMAT ALI (WEST)",796,680,0,1476,364,361,0,725,725,0,36,212,293,144,1,25,5,1,1,0,1,3,1,2,725
116,"P.P. BHADAURA TARCHHAPAR (EAST)",630,542,0,1172,332,276,0,608,608,0,20,262,164,140,3,1,2,0,0,1,6,2,1,6,608
117,"P.P. BHADAURA TARCHHAPAR (WEST)",742,551,0,1293,383,255,0,638,638,0,15,239,131,122,3,116,1,1,2,1,2,2,1,2,638
118,"P.P. PATNARI KIRTUPUR (NORTH)",545,486,2,1033,242,218,0,460,460,0,18,231,49,46,2,106,2,0,0,0,2,1,1,2,460
119,"P.P. PATNARI KIRTUPUR (SOUTH)",337,235,0,572,163,124,0,287,287,0,12,142,91,17,0,20,2,0,1,1,1,0,0,0,287
120,"P.P. AKHOP (EAST)",708,627,0,1335,330,307,0,637,637,0,16,391,145,40,3,23,3,4,1,1,3,1,4,2,637
121,"P.P. AKHOP (WEST)",512,442,0,954,264,216,0,480,480,0,6,205,164,70,4,3,8,1,2,0,2,4,4,7,480
122,"J. H. SCHOOL AKHOP",523,493,0,1016,240,196,0,436,436,0,7,74,225,112,2,0,6,1,0,0,3,1,1,4,436
123,"DEVENDRA DIGREE COLLAGE BELTHARAROAD",529,475,0,1004,283,265,0,548,548,0,16,166,59,164,6,114,3,0,3,3,2,3,1,8,548
124,"P.P. SASANA BAHADURPUR (EAST)",762,666,0,1428,385,365,0,750,750,0,17,365,272,69,2,5,2,1,2,2,4,3,2,4,750
125,"P.P. SASANA BAHADURPUR (WEST)",707,646,0,1353,371,323,0,694,694,0,9,347,236,59,1,28,3,2,0,3,3,0,0,3,694
126,"P.P. BANKRA SAIAD BUKHARA",627,473,0,1100,290,262,0,552,552,0,12,307,113,8,1,100,0,5,0,1,1,0,2,2,552
127,"P.P. GOVINDPUR DUGAULI (NORTH)",466,405,0,871,229,211,0,440,440,0,13,240,101,36,3,38,0,1,1,0,1,1,2,3,440
128,"P.P. GOVINDPUR DUGAULI (SOUTH)",258,230,0,488,143,123,0,266,266,0,1,18,160,82,0,0,0,0,1,0,0,1,0,3,266
129,"P.P. SUMHA",174,178,0,352,74,97,0,171,171,0,7,133,10,8,1,8,0,0,3,0,0,1,0,0,171
130,"P.P. MALERA",539,426,4,969,247,261,0,508,508,0,22,285,164,18,1,0,0,1,0,2,0,3,3,9,508
131,"J.H. SCHOOL SARAYA (EAST)",624,523,0,1147,300,296,0,596,596,0,22,318,25,62,9,131,3,2,5,1,8,1,1,8,596
132,"J.H. SCHOOL SARAYA (MIDDEL)",626,507,1,1134,312,293,0,605,605,0,32,198,238,40,4,73,3,3,5,2,2,2,1,2,605
133,"J.H. SCHOOL SARAYA (WEST)",241,204,0,445,103,118,0,221,221,0,7,38,109,1,1,55,2,1,0,1,3,1,0,2,221
134,"P.P. MAMPUR MAHDEVA",333,268,0,601,239,117,0,356,356,0,3,181,88,66,4,9,0,0,0,0,1,2,0,2,356
135,"P.P. SEMARI",586,494,0,1080,324,271,0,595,595,0,25,267,90,146,2,51,1,0,1,1,0,1,4,6,595
136,"P.P. GAZIYAPUR",393,326,0,719,203,184,0,387,387,0,16,193,152,7,1,8,1,0,0,0,2,0,4,3,387
137,"P.P. KHUNTA",492,414,0,906,238,274,0,512,512,0,4,125,250,67,1,43,1,0,3,1,5,3,3,6,512
138,"P.P. BAHORWA",336,351,0,687,191,193,0,384,384,0,11,173,146,25,0,17,3,1,0,2,1,2,0,3,384
139,"P.P. SHIURI PREMRAJA",780,659,0,1439,416,360,0,776,776,0,10,343,302,112,1,3,2,0,2,0,0,0,0,1,776
140,"P.P. EBRAHIM PATTI (EAST)",744,628,0,1372,478,467,0,945,945,0,3,86,844,4,1,1,0,0,0,0,0,0,1,5,945
141,"P.P. EBRAHIM PATTI (WEST)",441,375,0,816,340,246,0,586,586,0,6,80,326,28,1,121,4,2,2,1,3,2,4,6,586
142,"P.P. ASDIYA (NORTH)",547,503,0,1050,278,300,0,578,578,0,3,55,268,7,5,227,1,2,0,0,2,3,1,4,578
143,"P.P. ASDIYA (SOUTH)",384,332,0,716,168,179,0,347,347,0,4,127,59,8,5,124,5,0,1,1,4,2,1,6,347
144,"P.P. BHINDLAKHANSINHA",854,753,0,1607,437,435,0,872,872,0,11,294,300,207,7,11,3,2,5,4,8,4,7,9,872
145,"P.P. MUHAMMADPUR (EAST)",672,565,0,1237,329,265,0,594,594,0,7,202,214,112,5,27,4,0,2,3,2,6,3,7,594
146,"P.P. MUHAMMADPUR (WEST)",541,431,0,972,237,206,0,443,443,0,9,195,165,32,2,24,2,1,2,1,3,1,1,5,443
147,"P.P. KUCHAHARA",310,228,0,538,154,129,0,283,283,0,3,162,99,15,1,0,2,0,1,0,0,0,0,0,283
148,"P.P. KUSHHA RASIDPUR (EAST)",580,428,0,1008,299,214,0,513,513,0,9,251,219,19,1,0,2,0,1,2,2,1,1,5,513
149,"P.P. KUSHHA RASIDPUR (WEST)",112,81,0,193,33,27,0,60,60,0,0,14,39,4,0,2,0,0,0,0,0,0,0,1,60
150,"P.P. SIDHAULI",543,370,1,914,262,222,0,484,484,0,5,233,145,45,3,43,3,0,2,0,1,2,1,1,484
151,"P.P. SHAHPUR TITIHAN (NORTH)",623,494,0,1117,370,259,0,629,629,0,14,330,192,33,6,3,4,0,5,1,5,3,9,24,629
152,"P.P. SHAHPUR TITIHAN (SOUTH)",598,507,0,1105,336,280,0,616,616,0,13,255,236,99,2,0,0,0,2,0,2,1,2,4,616
153,"J.H. SCHOOL SHAHPUR TITIHAN",683,526,0,1209,360,309,0,669,669,0,11,326,193,43,3,72,2,0,3,1,1,4,3,7,669
154,"P.P. MAHARI (EAST)",560,439,1,1000,247,237,0,484,484,0,8,182,219,49,1,12,2,0,1,3,3,1,0,3,484
155,"P.P. MAHARI (WEST)",235,166,0,401,90,63,0,153,153,0,8,30,62,34,2,8,1,0,2,1,1,0,0,4,153
156,"P.P. BARNAG BASANTPUR",307,271,0,578,190,161,0,351,351,0,20,64,71,185,3,0,0,0,0,1,2,2,0,3,351
157,"P.P. SAIDPURA",477,395,0,872,252,203,0,455,455,0,10,72,258,110,1,1,0,0,0,0,2,0,0,1,455
158,"P.P. CHAK HABSAPUR",452,399,0,851,272,288,0,560,560,0,8,123,366,52,2,1,0,1,1,0,2,1,1,2,560
159,"J.H. SCHOOL BALAULI (NORTH)",526,448,0,974,261,217,0,478,478,0,19,322,92,27,1,9,2,0,0,1,0,3,1,1,478
160,"J.H. SCHOOL BALAULI (SOUTH)",485,462,0,947,274,216,0,490,490,0,3,177,171,124,1,5,0,0,0,1,1,1,2,4,490
161,"P.P. BARAULI",615,510,0,1125,326,273,0,599,599,0,10,57,385,129,3,9,0,0,0,1,2,0,1,2,599
162,"P.P. TIRNAI MAULARAY",592,481,0,1073,303,251,0,554,554,0,23,206,177,82,5,58,0,0,0,1,1,0,0,1,554
163,"P.P. USKAR GAZIYAPUR (EAST)",477,393,0,870,200,176,0,376,376,0,10,177,50,93,5,32,0,0,0,0,2,2,0,5,376
164,"P.P. USKAR GAZIYAPUR (WEST)",234,216,0,450,117,114,0,231,231,0,1,21,145,36,0,25,1,1,0,0,0,0,0,1,231
165,"P.P. HUNDRHA",310,287,0,597,188,186,0,374,374,0,0,36,82,184,7,55,2,1,0,0,1,1,2,3,374
166,"P.P. AWARAI KHURD (NORTH)",591,461,0,1052,297,258,0,555,555,0,8,173,280,71,3,6,3,0,0,0,2,2,2,5,555
167,"P.P. AWARAI KHURD (SOUTH)",442,397,1,840,241,194,0,435,435,0,2,69,119,229,0,15,0,0,0,0,1,0,0,0,435
168,"P.P. NIGHUWAN",663,636,0,1299,300,326,0,626,626,0,23,240,42,60,4,239,4,1,2,1,2,1,1,6,626
169,"P.P. BRAHIMPUR",388,362,0,750,214,189,0,403,403,0,6,107,34,221,1,25,4,0,0,1,2,1,0,1,403
170,"P.P. AWARAI KALA (EAST)",627,482,0,1109,345,251,0,596,596,0,8,197,274,107,2,0,1,1,1,0,1,0,0,4,596
171,"P.P. AWARAI KALA (WEST)",548,489,0,1037,316,273,0,589,589,0,16,220,213,114,2,13,0,4,1,1,1,1,3,0,589
172,"KANYA P.P. AWARAI KALA",520,515,0,1035,289,223,0,512,512,0,4,105,248,130,4,11,1,2,3,0,2,0,0,2,512
173,"P.P. MAHRAJPUR",640,527,0,1167,314,273,0,587,587,0,17,194,152,171,4,13,1,1,2,1,4,3,5,19,587
174,"P.P. BARADIH LWAI PATTI (NORTH)",515,447,0,962,245,198,0,443,443,0,3,65,3,263,2,102,1,1,0,1,0,0,2,0,443
175,"P.P. BARADIH LWAI PATTI (SOUTH)",563,480,0,1043,281,326,0,607,607,0,2,11,472,109,0,6,0,2,0,0,2,0,0,3,607
176,"P.P. BARAICH (NORTH)",454,400,0,854,183,177,0,360,360,0,56,249,34,16,2,0,0,0,0,0,1,0,0,2,360
177,"P.P. BARAICH (SOUTH)",566,515,0,1081,250,214,0,464,464,0,9,207,168,37,2,27,3,0,3,3,2,0,1,2,464
178,"P.P. RAMAPATTI TASPUR",547,397,0,944,224,192,0,416,416,0,10,96,44,236,2,13,2,0,1,1,2,2,2,5,416
179,"HAZI NAUSE ALI U.M.V. BAHARPUR",314,301,0,615,182,157,0,339,339,0,10,161,52,87,3,20,5,0,0,0,1,0,0,0,339
180,"P.P. NAWADA",302,267,0,569,238,133,0,371,371,0,3,93,77,161,1,27,1,0,0,0,3,0,3,2,371
