"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. AKHILESH KUMAR DWIVEDI","2 - RAKESH DHAR TRIPATHI","3 - VIRENDRA SINGH","4 - SARTAJ IMAM","5 - SEEMA MISHRA","6 - AJAY KUMAR MAURYA","7 - TEJ BAHADUR YADAV ADVOCATE","8 - RAJESH KUMAR ALIAS KHANNA MAURYA","9 - RAM SAGAR BIND","10 - CHANDRASHEKHAR","11 - JAGJEEVAN RAM","12 - JEEVAN KUMAR MALLAH","13 - RAM SAKHA TRIPATHI","14 - SANTRAJ SINGH","15 - None of the Above","Total Votes Secured"
50,"P.S.AMWAMAFI R.NO.1",823,712,0,1535,449,397,0,846,651,0,2,502,251,1,69,2,5,1,1,1,1,2,1,3,4,846
51,"P.S.AMWAMAFI R.NO.2",470,387,0,857,240,231,0,471,471,0,6,100,190,6,138,2,23,1,2,2,0,1,0,0,0,471
52,"P.S.AMWAMAFI R.NO.3",494,372,0,866,217,159,0,376,75,0,10,59,127,23,131,2,8,2,0,2,0,2,2,4,4,376
53,"P.S.AMWAMAFI SECOND SITUATED VILL.UGRASENPUR",560,413,0,973,319,177,0,496,495,0,1,46,227,7,149,4,37,1,1,0,2,3,3,5,10,496
54,P.S.MADHOPUR,683,552,0,1235,425,351,0,776,155,0,9,147,358,6,182,8,46,0,4,0,0,3,5,1,7,776
55,"P.S.LALANAGAR R.NO.1",578,487,2,1067,338,335,0,673,120,0,10,265,330,3,47,1,4,0,1,0,0,3,0,4,5,673
56,"P.S.LALANAGAR R.NO.2",480,380,0,860,258,148,0,406,20,0,2,105,78,30,170,1,16,2,0,0,0,1,0,0,1,406
57,"P.S.LALANAGAR R.NO.3",537,394,0,931,292,175,0,467,13,0,0,118,273,9,34,0,21,1,1,1,2,2,1,2,2,467
58,"P.S.RAMAPUR SITUATED VILL.HARIHARPUR URF SHUKULPUR",595,455,0,1050,337,240,0,577,257,0,4,153,300,6,95,0,6,2,1,0,1,2,1,4,2,577
59,"P.S.DEHARIYA DAYARAMPUR",375,330,0,705,266,226,0,492,492,0,4,132,161,7,155,6,13,3,3,0,2,0,0,3,3,492
60,"P.S.RAMAPUR SECOND SITUATED VILL.VISHUNPUR R.NO.1",669,520,0,1189,319,276,0,595,72,0,7,210,276,9,72,2,0,0,0,1,2,8,6,1,1,595
61,"P.S.RAMAPUR SECOND SITUATED VILL.VISHUNPUR R.NO.2",557,436,0,993,260,218,0,478,17,0,4,246,108,5,87,4,7,0,1,0,3,3,1,6,3,478
62,"P.S.RAMAPUR SECOND SITUATED VILL.VISHUNPUR R.NO.3",430,307,0,737,163,142,0,305,38,0,7,142,106,6,30,0,10,0,1,0,0,1,1,1,0,305
63,P.S.BANDIPATTI,439,308,0,747,198,149,0,347,6,0,3,36,67,3,161,4,57,2,1,1,3,1,2,4,2,347
64,P.S.FAUDIPUR,765,592,1,1358,465,342,0,807,103,0,1,262,177,1,135,0,225,2,0,2,1,0,1,0,0,807
65,"J.H.S.JATHI R.NO.1",900,743,0,1643,434,427,0,861,750,0,9,240,395,3,60,2,111,1,3,3,6,4,4,10,10,861
66,P.S.DABHAKA,756,542,0,1298,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
67,"P.S.KHARAGPUR R.NO.1",689,520,0,1209,404,305,0,709,8,0,9,153,361,14,110,3,36,0,0,3,0,2,8,0,10,709
68,"P.S.KHARAGPUR R.NO.2",231,179,0,410,128,103,0,231,84,0,3,7,180,1,34,0,1,1,0,0,1,1,0,0,2,231
69,"P.S.NEWADA R.NO.1",592,488,0,1080,374,326,0,700,262,0,11,453,131,7,68,1,10,1,1,0,0,3,2,8,4,700
70,"P.S.NEWADA R.NO.2",332,277,0,609,189,171,0,360,194,0,2,23,241,10,70,1,2,0,0,1,0,2,0,1,7,360
71,P.S.GHURIPUR,351,283,0,634,194,202,0,396,396,0,3,293,43,3,44,1,1,0,2,0,0,0,3,1,2,396
72,"U.M.S.AURANGABAD R.NO.1",343,302,0,645,196,164,0,360,116,0,2,152,95,10,92,0,2,0,0,0,1,0,1,0,5,360
73,"U.M.S.AURANGABAD R.NO.3",499,405,0,904,225,180,0,405,194,0,3,120,217,5,51,0,4,1,0,0,0,1,1,0,2,405
74,"U.M.S.AURANGABAD R.NO.2",833,680,0,1513,414,408,0,822,86,0,7,223,199,12,251,6,97,2,3,6,11,1,0,2,2,822
75,"P.S.KOILARA R.NO.1",734,579,0,1313,437,335,0,772,771,0,5,220,358,17,115,23,5,0,2,2,0,6,3,5,11,772
76,"P.S.KOILARA R.NO.2",708,570,0,1278,419,327,0,746,424,0,0,117,418,8,123,33,25,3,6,2,1,3,5,2,0,746
77,"P.S.KOILARA R.NO.3",551,393,0,944,293,202,0,495,81,0,3,24,298,10,138,3,12,2,0,0,1,2,0,1,1,495
78,"P.S.CHANDRAPURA R.NO.1",763,570,0,1333,412,340,0,752,4,0,8,255,205,6,174,17,62,4,1,7,1,2,2,1,7,752
79,"P.S.CHANDRAPURA R.NO.2",677,564,0,1241,350,266,0,616,10,0,7,52,226,11,227,25,32,4,3,2,2,3,7,4,11,616
80,"P.S.JAGARNATHPUR R.NO.1",846,598,0,1444,386,348,0,734,116,0,4,159,379,10,161,1,5,2,1,0,1,4,3,1,3,734
81,"P.S.JAGARNATHPUR R.NO.2",648,507,0,1155,309,288,0,597,206,0,11,273,182,5,94,0,2,1,1,2,1,4,5,8,8,597
82,"P.S.JAGARNATHPUR R.NO.3",321,233,0,554,136,116,0,252,47,0,1,16,159,1,67,0,1,0,1,0,0,1,1,0,4,252
83,P.S.BANJARI,778,616,0,1394,379,365,0,744,220,0,6,227,334,9,75,0,54,3,2,4,1,4,10,8,7,744
84,P.S.JAHANGIRABAD,589,420,0,1009,335,233,0,568,121,0,10,105,284,9,116,2,33,1,2,0,1,1,1,0,3,568
85,"P.S.BHAWANIPUR R.NO.1",533,356,0,889,194,105,0,299,41,0,1,2,165,0,110,2,16,0,0,0,0,1,1,0,1,299
86,"P.S.BHAWANIPUR R.NO.2",672,569,0,1241,314,255,0,569,300,0,4,136,176,8,179,4,40,2,0,0,3,1,5,1,10,569
87,"P.S.DERWA R.NO.1",654,519,0,1173,373,301,0,674,18,0,5,169,277,16,104,4,61,6,4,5,5,2,8,4,4,674
88,"P.S.DERWA R.NO.2",291,238,0,529,148,124,0,272,36,0,2,32,146,9,37,8,9,0,3,4,1,9,0,3,9,272
89,P.S.MULAPUR,642,505,0,1147,325,239,0,564,562,0,5,40,207,10,259,12,14,0,2,2,1,2,3,2,5,564
90,"K.U.M.S.MULAPUR SITUATED VILL.BARJIKHURD",559,391,0,950,286,201,0,487,354,0,5,177,91,14,153,5,27,0,1,1,0,0,2,7,4,487
91,P.S.BARJIKALA,777,544,0,1321,322,282,0,604,103,0,5,48,364,15,134,2,15,0,0,5,3,3,2,4,4,604
92,P.S.NARAUR,311,250,0,561,143,101,0,244,142,0,1,28,44,4,126,1,32,0,1,1,0,0,2,1,3,244
93,"PANCHAYAT BHAWAN KHETALPUR",421,311,0,732,240,213,0,453,14,0,2,98,185,1,143,1,2,0,0,0,0,2,4,3,12,453
94,P.S.CHAKBESAHU,475,355,0,830,250,203,0,453,72,0,6,167,197,4,38,0,35,1,1,0,2,0,0,0,2,453
95,"U.M.S.KHAMARIYA SITUATED VILL.AHIMANPUR R.NO.1",520,378,0,898,318,206,0,524,516,0,3,81,301,15,112,0,1,1,1,0,1,0,2,0,6,524
96,"U.M.S.KHAMARIYA SITUATED VILL.AHIMANPUR R.NO.3",547,436,0,983,291,208,0,499,5,0,5,245,158,14,45,1,3,1,1,3,3,3,5,4,8,499
97,"U.M.S.KHAMARIYA SITUATED VILL.AHIMANPUR R.NO.2",403,320,0,723,251,193,0,444,442,0,3,97,112,7,195,3,13,0,2,1,2,1,5,1,2,444
98,P.S.NATWA,827,614,1,1442,551,399,0,950,950,0,5,266,336,7,308,2,6,0,0,0,2,3,1,10,4,950
99,"U.M.S.MADHAIPUR KHAMARIYA R.NO.1",373,306,0,679,223,202,0,425,396,0,1,15,268,16,119,2,0,0,0,0,1,1,2,0,0,425
100,"U.M.S.MADHAIPUR KHAMARIYA R.NO.2",538,438,0,976,319,234,0,553,346,0,3,50,354,17,114,2,0,0,1,2,1,1,3,0,5,553
101,"U.M.S.MADHAIPUR KHAMARIYA R.NO.3",617,500,0,1117,363,291,0,654,362,0,0,48,459,25,96,3,4,0,2,1,1,1,5,5,4,654
102,"R.S.L.I.C.KHAMARIYA R.NO.1",417,320,0,737,239,171,0,410,224,0,5,21,172,6,149,3,33,1,1,1,3,2,5,7,1,410
103,"R.S.L.I.C.KHAMARIYA R.NO.2",707,551,0,1258,450,288,0,738,726,0,6,85,420,15,165,2,8,2,6,1,2,5,3,7,11,738
104,"P.S.KHAMARIYA SECOND R.NO.1",474,376,0,850,300,234,0,534,516,0,2,54,412,9,35,5,8,0,0,0,1,2,0,0,6,534
105,"P.S.KHAMARIYA SECOND R.NO.3",516,416,0,932,304,248,0,552,322,0,7,249,223,13,42,5,0,0,0,0,1,3,2,2,5,552
106,"K.U.M.S.KHAMARIYA R.NO.3",787,652,0,1439,498,387,0,885,883,0,5,53,622,13,129,27,4,1,4,1,2,2,6,2,14,885
107,"K.U.M.S.KHAMARIYA R.NO.1",655,550,0,1205,382,301,0,683,200,0,0,47,372,53,164,22,3,2,4,1,1,2,1,2,9,683
108,"K.U.M.S.KHAMARIYA R.NO.2",490,426,0,916,289,258,0,547,65,0,17,273,130,18,64,33,3,0,0,0,1,3,2,0,3,547
109,"P.S.KHAMARIYA R.NO.1",687,527,0,1214,433,256,0,689,65,0,1,123,225,108,205,3,0,3,7,0,1,1,3,2,7,689
110,"P.S.KHAMARIYA R.NO.2",505,364,0,869,351,192,0,543,45,0,0,148,68,109,206,1,1,1,2,0,0,4,1,0,2,543
111,"P.S.KHAMARIYA R.NO.4",554,374,0,928,353,190,0,543,541,0,3,123,47,130,229,0,2,0,3,0,0,1,0,3,2,543
112,"P.S.KHAMARIYA R.NO.5",833,689,0,1522,464,308,0,772,147,0,2,70,327,45,308,1,8,1,1,1,2,3,1,1,1,772
113,"R.S.L.I.C.KHAMARIYA R.NO.3",523,346,0,869,283,156,0,439,360,0,2,81,97,138,115,0,0,1,3,0,0,0,0,1,1,439
114,"R.S.L.I.C.KHAMARIYA R.NO.4",436,357,0,793,240,155,0,395,4,0,2,100,40,129,108,0,6,0,0,0,0,4,2,1,3,395
115,"R.S.L.I.C.KHAMARIYA R.NO.5",578,472,0,1050,330,250,0,580,570,0,4,176,338,22,25,2,1,1,1,0,3,2,1,2,2,580
116,"P.S.DALPATPUR R.NO.1",801,576,0,1377,430,288,0,718,655,0,4,154,393,29,121,0,4,0,0,0,0,1,3,5,4,718
117,"P.S.DALPATPUR R.NO.2",286,234,0,520,127,114,0,241,155,0,1,102,75,1,44,3,1,0,0,0,1,3,2,1,7,241
118,"P.S.LASMADIA R.NO.1",871,660,0,1531,473,379,0,852,121,0,6,71,314,14,373,9,37,0,2,5,4,2,4,2,9,852
119,"PUBLIC SCHOOL MADHAOSINGH R.NO.1",840,615,0,1455,423,401,0,824,784,0,3,78,177,84,469,3,0,0,1,1,1,2,1,1,3,824
120,"PUBLIC SCHOOL MADHAOSINGH R.NO.2",851,476,0,1327,420,303,0,723,20,0,0,65,96,122,430,0,2,1,0,0,4,0,0,0,3,723
121,P.S.GHATAMAPUR,830,632,0,1462,480,390,0,870,486,0,7,79,354,206,181,7,21,1,3,3,3,2,1,0,2,870
122,"P.S.BHABHAURA R.NO.1",583,401,0,984,285,229,0,514,514,0,4,73,109,67,245,2,7,0,1,1,2,2,0,1,0,514
123,"P.S.BHABHAURA R.NO.3",573,469,0,1042,256,245,0,501,356,0,5,69,50,57,302,3,9,1,0,2,0,2,0,0,1,501
124,"P.S.BHABHAURA R.NO.2",377,274,0,651,241,149,0,390,140,0,3,149,78,6,72,2,73,1,3,0,0,1,0,1,1,390
125,"P.S.TRILOKPUR R.NO.1",670,424,0,1094,326,229,0,555,57,0,4,96,64,74,315,0,1,0,0,0,1,0,0,0,0,555
126,"P.S.TRILOKPUR R.NO.2",645,569,0,1214,461,361,0,822,2,0,7,302,360,6,77,2,39,4,4,1,2,2,1,4,11,822
127,"P.S.SEUR R.NO.1",670,581,1,1252,393,388,0,781,461,0,10,317,249,10,176,1,4,2,0,0,2,3,2,2,3,781
128,"P.S.SEUR R.NO.2",816,645,0,1461,470,434,0,904,304,0,8,470,247,17,137,0,3,0,4,0,3,7,1,6,1,904
129,"J.H.S.GHOSIA SITUATED VILL.JAYRAMPUR R.NO.1",948,613,1,1562,306,357,0,663,202,0,2,45,71,147,370,2,8,1,5,0,3,2,0,3,4,663
130,"J.H.S.GHOSIA SITUATED VILL.JAYRAMPUR R.NO.2",864,627,0,1491,480,353,0,833,269,0,9,167,338,65,181,3,28,5,5,3,2,4,5,9,9,833
131,"J.H.S.GHOSIA SITUATED VILL.JAYRAMPUR R.NO.3",548,417,0,965,280,227,0,507,198,0,0,41,41,7,398,5,3,0,2,0,2,2,0,3,3,507
132,"J.H.S.GHOSIA SITUATED VILL.JAYRAMPUR R.NO.4",489,324,0,813,309,208,0,517,12,0,1,184,126,9,183,1,9,0,0,0,0,0,2,2,0,517
133,"J.H.S.GHOSIA SITUATED VILL.JAYRAMPUR R.NO.8",511,333,0,844,279,165,0,444,53,0,1,86,18,19,310,0,2,0,2,0,0,1,1,1,3,444
134,"J.H.S.GHOSIA SITUATED VILL.JAYRAMPUR R.NO.5",543,397,0,940,240,218,0,458,380,0,1,50,93,12,271,2,17,1,0,0,0,5,1,0,5,458
135,"J.H.S.GHOSIA SITUATED VILL.JAYRAMPUR R.NO.6",478,334,0,812,294,203,0,497,10,0,0,76,294,11,114,1,0,0,0,0,0,1,0,0,0,497
136,"J.H.S.GHOSIA SITUATED VILL.JAYRAMPUR R.NO.7",788,626,0,1414,481,342,0,823,700,0,1,122,220,20,426,2,1,2,1,1,2,4,7,4,10,823
137,"P.S.GHOSIA SITUATED VILL. JAYRAMPUR",560,412,0,972,312,212,0,524,2,0,1,118,89,10,296,2,0,0,0,1,0,1,2,2,2,524
138,"S.S.SAMITI GHOSIA R.NO.1",856,613,0,1469,420,325,0,745,300,0,2,114,1,29,591,2,0,1,0,1,0,3,0,0,1,745
139,"S.S.SAMITI GHOSIA R.NO.2",853,598,0,1451,499,276,0,775,768,0,2,154,72,35,491,4,5,2,2,1,0,2,2,1,2,775
140,"S.S.SAMITI GHOSIA R.NO.3",766,606,0,1372,451,338,0,789,25,0,11,161,87,26,492,4,0,0,2,1,0,3,0,1,1,789
141,"PANCHAYAT BHAWAN CHAURA",751,514,0,1265,479,312,0,791,220,0,5,90,155,36,487,3,0,3,1,1,0,0,0,2,8,791
142,"P.S.BHAWANIPUR R.NO.1",590,463,0,1053,360,343,0,703,703,0,5,163,292,12,192,17,1,1,3,2,1,0,2,1,11,703
143,"P.S.BHAWANIPUR R.NO.2",589,478,0,1067,367,270,0,637,112,0,4,59,333,9,219,0,3,0,0,1,0,2,1,0,6,637
144,P.S.JETHUPUR,533,445,0,978,368,317,0,685,14,0,11,240,268,10,93,2,25,2,2,1,3,5,6,9,8,685
145,"P.S.HAMIDPATTI SITUATED VILL. BHAIDPUR",336,267,0,603,154,73,0,227,78,0,0,6,101,3,87,0,18,2,1,1,0,0,2,3,3,227
146,"P.S.GORI R.NO.1",603,480,0,1083,296,232,0,528,302,0,5,105,285,10,76,2,25,0,1,1,2,4,2,0,10,528
147,"P.S.GORI R.NO.2",544,463,0,1007,277,240,0,517,106,0,7,140,223,35,81,7,1,2,3,3,1,3,2,3,6,517
148,"J.H.S.SAHASEPUR R.NO.1",558,456,0,1014,338,292,0,630,448,0,9,148,357,12,75,3,11,1,2,4,1,3,3,1,0,630
149,"J.H.S.SAHASEPUR R.NO.2",468,350,0,818,280,218,0,498,2,0,5,262,156,14,50,0,0,1,0,0,0,1,1,5,3,498
150,"J.H.S.SAHASEPUR R.NO.3",294,222,0,516,134,107,0,241,134,0,0,21,180,6,32,0,0,0,0,0,1,0,0,1,0,241
151,K.P.S.UMAPUR,773,614,0,1387,341,270,0,611,132,0,3,121,364,9,77,3,10,1,3,0,1,4,3,5,7,611
152,"P.S.KATHARI R.NO.1",649,504,0,1153,348,252,0,600,118,0,3,25,296,4,180,7,59,3,1,2,4,2,2,3,9,600
153,"P.S.KATHARI R.NO.2",329,268,0,597,184,147,0,331,55,0,2,101,96,2,48,2,61,4,0,0,0,2,3,5,5,331
154,"P.S.KATHARI R.NO.3",666,519,0,1185,395,302,0,697,197,0,4,111,300,60,194,0,4,0,4,2,2,2,2,5,7,697
155,"P.S.HAMIDPATTI R.NO.2",328,294,0,622,233,222,0,455,265,0,9,267,76,5,78,0,4,0,0,1,2,7,0,3,3,455
156,"P.S.PARSOTTAMPUR R.NO.1",776,682,0,1458,480,435,0,915,30,0,1,36,563,12,252,4,24,3,2,2,1,2,2,1,10,915
157,"SANKUL VID. NUAAW NEW BHAWAN",559,459,0,1018,311,267,0,578,226,0,1,159,154,6,251,0,1,1,0,0,0,2,2,0,1,578
158,P.S.NUAAW,237,213,0,450,135,131,0,266,264,0,5,117,79,1,64,0,0,0,0,0,0,0,0,0,0,266
159,"P.S.KAIYARMAU R.NO.1",748,579,0,1327,383,320,0,703,703,0,3,278,269,9,124,0,4,0,0,0,1,1,3,7,4,703
160,"P.S.KAIYARMAU R.NO.2",687,565,0,1252,321,315,0,636,636,0,5,110,367,4,130,2,1,0,1,1,2,1,3,3,6,636
161,"P.S.KAIYARMAU R.NO.3",650,531,0,1181,326,261,0,587,477,0,7,235,220,5,108,1,3,0,2,0,0,0,1,3,2,587
162,P.S.KOTHARA,486,431,1,918,293,260,0,553,375,0,4,24,207,9,266,2,31,3,1,1,0,2,1,1,1,553
163,P.S.VITHTHALPUR,618,508,0,1126,354,366,0,720,710,8,8,156,282,17,221,2,15,2,0,4,0,2,2,2,7,720
164,P.S.BARIGANV,387,350,0,737,278,259,0,537,356,0,1,246,46,2,59,0,157,3,0,9,1,0,2,8,3,537
165,"K.R.M.V.I.C. AURAI R.NO.1",849,682,0,1531,490,369,0,859,850,0,1,58,529,13,189,5,43,3,0,3,3,1,2,1,8,859
166,"K.R.M.V.I.C. AURAI R.NO.2",757,578,0,1335,514,376,0,890,880,0,8,408,254,20,101,4,66,4,0,5,3,4,8,1,4,890
167,"P.S.NARATHUA R.NO.1",636,471,0,1107,343,284,0,627,180,0,9,199,231,6,113,1,48,3,1,3,1,2,2,6,2,627
168,"P.S.NARATHUA R.NO.2",342,295,0,637,200,155,0,355,200,0,4,86,169,4,67,1,19,0,1,1,0,1,0,0,2,355
169,"P.S.UPRAUTH R.NO.1",868,681,0,1549,509,376,0,885,385,0,5,123,317,17,252,10,112,5,6,8,3,5,2,4,16,885
170,"P.S.UPRAUTH R.NO.2",703,575,1,1279,411,289,0,700,684,0,2,274,145,12,209,1,43,0,2,3,1,3,1,3,1,700
171,"P.S.UPRAUTH R.NO.3",663,545,0,1208,363,305,0,668,60,0,5,271,167,4,97,2,83,4,2,7,3,6,1,4,12,668
172,P.S.GAMBHIRSINGHPUR,401,359,0,760,220,206,0,426,26,0,2,136,235,3,20,10,4,0,1,1,0,4,3,1,6,426
173,"P.S.SANVARA URF RAGHUNATHPUR",386,315,0,701,235,190,0,425,42,0,9,107,255,4,18,16,2,0,0,1,0,4,2,3,4,425
