"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - CHANDAN SINGH","2 - JAYANT CHAUDHARY","3 - PT. YOGESH KUMAR DWIVEDI","4 - HEMA MALINI","5 - ANUJ KUMAR GARG","6 - PT. UDYAN SHARMA","7 - PARSOTTAM","8 - BHUPENDRA KUMAR  DHANGAR","9 - MAHARAM SINGH","10 - MAHESH PRATAP SHARMA","11 - MOHAN SHYAM","12 - THAKUR HEMENDRA VEER SINGH","13 - OM PRAKASH","14 - PRAMOD KRISHNA","15 - FAKKAR BABA RAMAYANI","16 - BHUDEV","17 - RADHACHARAN","18 - RAM BABU SAINI","19 - SATISH CHANDRA SHARMA","20 - HEMA MALINI","21 - None of the Above","Total Votes Secured"
27,"PRIMARY SCHOOL  FALAIN",687,552,0,1239,492,314,0,806,806,0,18,168,17,510,4,3,1,4,1,3,0,1,1,1,1,1,10,11,9,40,2,806
28,"JNTA INTER COLLEGE FALAIN RON0 .1",668,488,0,1156,448,298,0,746,746,0,17,184,144,368,9,0,0,0,0,4,1,2,0,1,1,3,2,1,1,7,1,746
29,"JNTA INTER COLLEGE FALAIN R.N0 .2",558,438,0,996,419,272,0,691,691,0,7,196,51,396,9,0,0,1,0,3,4,3,0,2,0,2,1,4,0,12,0,691
30,"JANTA INTER COLLEGE FALAIN R.NO3",357,284,0,641,268,213,0,481,481,0,1,102,143,219,0,1,0,1,0,1,0,2,1,0,1,0,3,2,1,3,0,481
31,"PRIMARY SCHOOL  SUPANA",892,679,0,1571,630,409,0,1039,1039,0,5,323,226,439,3,1,4,3,0,2,1,3,8,3,4,3,3,0,2,3,3,1039
32,"PRIMARY SCHOOL  BALLGADHI",181,141,0,322,165,114,0,279,279,0,23,11,2,235,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,279
33,"PRIMARY SCHOOL GUHETA 3 VISVA",513,439,0,952,357,269,0,626,626,0,5,241,6,346,10,1,0,0,1,3,0,2,2,0,1,1,0,0,0,6,1,626
34,"PRIMARY SCHOOL GUHETA 10 VISVA",590,508,0,1098,403,334,0,737,737,0,5,209,226,281,2,0,0,0,0,1,1,3,1,1,3,2,1,1,0,0,0,737
35,"PRIMARY SCHOOL GUHETA 7 VISVA",734,542,0,1276,557,384,0,941,941,0,16,402,230,261,2,0,2,0,0,2,3,2,1,3,2,1,2,2,5,2,3,941
36,"PRIMARY SCHOOL  AJEEJPUR  R. N0 1",583,507,0,1090,442,398,0,840,840,0,18,61,18,728,1,0,0,0,0,0,1,0,3,0,0,0,1,0,1,7,1,840
37,"PRIMARY SCHOOL  AJEEJPUR  RO N0 2",462,403,0,865,351,316,0,667,667,0,23,3,397,225,7,0,0,0,0,3,0,0,2,2,0,0,0,0,0,3,2,667
38,"PRIMARY SCHOOL NAGLA PARSADI",489,410,0,899,322,268,0,590,590,0,2,17,420,129,2,1,0,0,0,0,1,2,0,1,2,2,0,0,7,4,0,590
39,"PRIMARY SCHOOL  GOPAL BAG R.N0 1",791,633,1,1425,548,438,0,986,986,0,13,76,319,537,11,1,0,0,1,1,0,2,1,3,1,3,2,1,5,9,0,986
40,"PRIMARY SCHOOL GOPAL BAG R.NO.2",574,418,0,992,408,246,0,654,654,0,26,150,37,418,8,1,1,1,1,1,0,0,0,0,2,5,1,0,0,2,0,654
41,"N.P. BALIKA INTER COLLEGE KOSIKALAN R.N0. 1",644,567,0,1211,458,325,0,783,783,0,71,172,74,435,4,0,0,0,0,4,0,2,2,0,2,0,4,0,2,10,1,783
42,"N.P. BALIKA INTER COLLEGE KOSIKALAN R.NO.2",374,307,0,681,280,215,0,495,495,0,1,36,303,150,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,495
43,"N.P. BALIKA INTER COLLEGE KOSIKALAN R.N0.3",614,523,0,1137,381,295,0,676,676,0,20,89,4,527,3,0,0,1,0,0,0,0,1,0,1,0,2,1,1,25,1,676
44,"N.P. BALIKA INTER COLLEGE KOSIKALAN R.NO.4",435,349,0,784,301,230,0,531,531,0,60,202,73,177,1,1,0,0,0,4,1,0,1,0,1,2,4,2,1,0,1,531
45,"PRIMARY SCHOOL GANDHI PARK KOSIKALAN  R.NO1",700,600,0,1300,399,320,0,719,719,0,35,175,13,469,3,1,0,0,0,4,0,1,0,2,1,3,5,1,1,5,0,719
46,"PRIMARY SCHOOL GADHI PARK KOSIKALAN R.N0.2",582,497,0,1079,356,247,0,603,603,0,7,104,10,460,3,0,1,0,0,1,1,1,0,0,2,0,3,0,0,10,0,603
47,"PRIMARY SCHOOL GANDHI PARK KOSIKALAN  R.N0 3",352,293,0,645,197,147,0,344,344,0,1,13,8,316,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,344
48,"PRIMARY SCHOOL TANGDA KOSIKALAN R.N0.1",651,520,0,1171,433,336,0,769,769,0,43,153,20,463,21,2,2,0,4,8,2,4,7,2,6,8,5,2,0,14,3,769
49,"PRIMARY SCHOOL TANGDA KOSIKALAN R.N0.2",349,296,0,645,248,193,0,441,441,0,9,45,3,371,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,441
50,"KISAN BHAWAN MANDI SAMITI  KOSIKALAN",502,436,0,938,307,263,0,570,570,0,8,10,256,277,2,1,0,0,0,0,2,0,1,1,0,0,0,0,3,8,1,570
51,"PRIMARY SCHOOL HOLIGATE PRATHAM KOSIKALAN R.N0 1",417,386,0,803,276,226,0,502,502,0,37,87,30,334,3,0,0,1,0,0,0,0,0,0,0,1,1,1,0,6,1,502
52,"PRIMARY SCHOOL HOLIGATE PRATHAM KOSIKALAN R.N0 2",596,542,1,1139,379,326,0,705,705,0,15,81,89,473,13,1,0,1,2,2,1,4,4,1,0,3,3,0,1,10,1,705
53,"PRIMARY SCHOOL HOLIGATE PRATHAM KOSIKALAN R.N0 3",302,266,0,568,231,182,0,413,413,0,5,66,11,312,1,0,0,1,0,0,0,1,2,1,1,0,0,2,0,9,1,413
54,"PRIMARY SCHOOL  HOLIGATE SECOND KOSIKALAN RO.N01",987,745,0,1732,295,197,0,492,492,0,44,100,48,274,3,1,0,0,3,4,1,3,0,0,3,2,1,1,2,1,1,492
55,"PRIMAY SCHOOL SECOND  HOLIGATE KOSIKALAN R0.N0 2",583,459,0,1042,312,216,0,528,528,0,13,40,43,381,6,1,1,2,1,2,1,1,2,1,1,5,9,5,2,11,0,528
56,"PRIMAY SCHOOL BALDEV GANJ PRATHAM KOSIKALAN  R.N0 1",383,332,0,715,337,264,0,601,601,0,3,10,75,499,5,0,0,0,0,0,0,1,1,0,0,1,1,0,0,5,0,601
57,"PRIMARY SCHOOL BALDEV GANJ PRATHAM  KOSIKALAN R.N0 2",339,292,0,631,286,206,0,492,492,0,9,10,11,451,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,492
58,"PRIMARY SCHOOL BALDEV GANJ SECOND KOSIKALAN R.N0 1",513,466,0,979,376,318,0,694,694,0,13,17,3,642,3,1,0,0,0,0,1,1,1,0,0,1,0,0,1,9,1,694
59,"PRIMARY SCHOOL BALDEV GANJ SECOND KOSIKALAN R.N0 2",364,319,0,683,278,220,0,498,498,0,8,4,17,453,4,0,0,0,0,0,0,0,2,0,0,2,1,0,0,7,0,498
60,"NAGAR PALIKA INTER COLLEGE KOSIKALAN R.NO.1",641,500,0,1141,314,247,0,561,561,0,8,58,4,467,7,1,2,1,0,0,0,0,0,0,1,0,2,1,2,7,0,561
61,"NAGAR PALIKA INTER COLLEGE KOSIKALAN R.NO.2",340,267,0,607,153,177,0,330,330,0,5,30,8,277,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,330
62,"NAGAR PALIKA INTER COLLEGE KOSIKALAN R.NO.3",515,430,0,945,385,274,0,659,659,0,40,56,14,538,1,0,0,0,1,0,0,1,0,0,0,1,0,2,1,4,0,659
63,"NAGAR PALIKA  INTER COLLEGE KOSIKALAN R.NO.4",740,581,0,1321,484,343,0,827,827,0,171,105,15,476,6,3,1,0,1,2,1,0,2,1,1,2,6,3,2,26,3,827
64,"NAGAR PALIK  INTER COLLEGE KOSIKALAN R.NO.5",581,419,0,1000,361,193,0,554,554,0,184,106,94,155,0,0,1,1,0,1,0,1,0,0,1,4,3,1,2,0,0,554
65,"NAGAR PALIKA  INTER COLLEGE KOSIKALAN R.NO.6",377,298,0,675,277,199,0,476,476,0,7,13,7,429,4,0,1,0,0,0,0,1,4,0,1,1,0,0,0,7,1,476
66,"HINDU INTER COLLEGE KOSIKALAN R.NO.1",479,402,0,881,300,243,0,543,543,0,15,56,20,419,12,0,0,0,0,0,0,0,3,0,1,1,2,1,0,12,1,543
67,"HINDU INTER COLLEGE KOSIKALAN R.NO.2",704,545,0,1249,434,300,0,734,734,0,13,64,22,601,12,0,1,2,0,1,2,1,3,0,0,1,2,1,1,4,3,734
68,"HINDU INTER COLLEGE KOSIKALAN R.NO.3",647,485,0,1132,395,286,0,681,681,0,5,30,111,502,9,0,0,0,0,1,1,1,3,0,1,1,3,0,0,12,1,681
69,"HINDU INTER COLLEGE KOSIKALAN R.NO.4",598,426,0,1024,346,233,0,579,579,0,9,29,124,386,4,0,0,1,0,0,1,1,0,0,0,0,2,0,1,21,0,579
70,"HINDU INTER COLLEGE KOSIKALAN R.NO.5",743,628,0,1371,502,352,0,854,854,0,5,45,24,742,14,0,0,0,0,1,0,2,0,1,0,0,2,0,0,17,1,854
71,"PRIMARY SCHOOL NADUVAS KOSIKALAN RO.N0 1",866,700,0,1566,575,396,0,971,971,0,136,208,5,581,5,0,0,0,1,6,2,2,2,0,2,3,6,2,1,9,0,971
72,"PRIMARY SCHOOL NADUVAS KOSIKALAN RO.N0 2",587,433,0,1020,363,200,0,563,563,0,66,367,70,37,0,0,0,0,1,9,0,0,0,2,2,3,5,1,0,0,0,563
73,"PRIMARY SCHOOL NADUVAS KOSIKALAN RO.N0 3",446,339,0,785,251,164,0,415,415,0,110,187,69,32,2,0,1,1,1,0,0,1,0,0,3,2,4,0,1,1,0,415
74,"PRIMARY SCHOOL JAWAHAR PARK KOSIKALAN R.NO.1",379,315,0,694,245,190,0,435,435,0,9,13,0,401,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,435
75,"PRIMARY SCHOOL JAWAHAR PARK KOSIKALAN R.NO.2",674,502,1,1177,388,233,0,621,621,0,409,103,27,61,1,2,0,1,1,2,0,0,0,1,2,3,4,0,1,2,1,621
76,"PRIMARY SCHOOL JAWAHAR PARK KOSIKALAN R.NO.3",664,460,0,1124,373,203,0,576,576,0,382,127,30,17,0,1,0,1,0,3,0,0,1,1,2,3,4,0,1,1,2,576
77,"PRIMARY SCHOOL JAWAHAR PARK KOSIKALAN R.NO.4",319,251,0,570,214,168,0,382,382,0,120,16,112,111,2,0,0,0,0,1,0,3,2,0,3,3,1,1,4,1,2,382
78,"PRIMARY SCHOOL  NAGLA HASANPUR",482,397,1,880,363,290,0,653,653,0,4,138,80,399,3,0,0,1,0,0,0,2,2,3,2,4,2,0,1,9,3,653
79,"POORV MADYAMIK VIDYALAY KHARAUT  R.NO. 1",805,622,0,1427,624,394,0,1018,1018,0,3,81,1,896,15,1,0,0,2,1,1,1,1,2,3,1,0,2,1,5,1,1018
80,"POORV MADYAMIK VIDYALAY KHARAUT  R.N0. 2",659,551,0,1210,470,383,0,853,853,0,17,121,284,382,4,1,0,2,3,0,0,3,4,2,1,4,1,3,2,16,3,853
81,"PRIMARY  SCHOOL NAGLA ALIPUR",253,177,0,430,138,105,0,243,243,0,150,75,4,1,0,0,0,1,0,4,0,0,1,0,1,0,5,1,0,0,0,243
82,"PRIMARY SCHOOL HATANA R.N0 1",687,572,0,1259,542,380,0,922,922,0,187,99,10,586,4,2,0,2,0,0,0,1,1,1,1,1,4,2,1,8,12,922
83,"PRIMARY SCHOOL  HATANA R.N0. 2",747,634,0,1381,585,478,0,1063,1063,0,63,68,637,258,1,1,0,1,1,2,2,7,3,2,1,3,5,1,1,6,0,1063
84,"POORV MADHYAMIK VIDYALAY HATANA",588,444,0,1032,459,329,0,788,788,0,60,164,3,529,5,1,1,0,0,1,1,0,2,0,1,2,3,0,0,15,0,788
85,"PRIMARY SCHOOL SHESHSAI",117,87,0,204,75,56,0,131,131,0,11,31,16,68,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,131
86,"POORV MADHYAMIK VIDYALAY KOTWAN R.N0. 1",858,717,0,1575,597,505,0,1102,1102,0,18,123,214,702,3,2,0,1,0,5,0,4,2,0,1,5,4,0,2,14,2,1102
87,"POORV MADHYAMIK VIDYALAY KHARAUT  R.N0. 2",578,443,0,1021,473,325,0,798,798,0,36,186,27,525,8,0,0,0,0,2,0,1,0,0,0,1,5,0,0,7,0,798
88,"POORV MADHYAMIK VIDYALAY KOTWAN R.N0. 3",306,269,0,575,266,216,0,482,482,0,0,135,24,303,0,1,0,0,0,1,0,1,2,0,1,1,4,2,1,6,0,482
89,"PRIMARY SCHOOL  UMARALA",396,350,0,746,314,272,0,586,586,0,20,162,129,237,1,0,1,0,0,4,0,4,1,4,2,2,1,4,4,10,0,586
90,"POORV MADHYAMIK VIDYALAY DAHAGAON R.NO 1",836,668,0,1504,591,460,0,1051,1051,0,10,274,45,679,8,0,1,1,0,5,1,1,9,3,5,0,2,0,1,4,2,1051
91,"POORV MADHYAMIK VIDYALAY DAHAGAON R.N0. 2",755,602,0,1357,506,411,0,917,917,0,11,251,202,397,5,1,0,3,2,8,3,5,2,1,3,3,4,3,2,11,0,917
92,"PRIMARY SCHOOL NAVIPUR",602,467,0,1069,448,339,0,787,787,0,68,64,158,449,28,2,0,0,1,0,0,2,0,0,0,1,1,0,3,10,0,787
93,"PRIMARY SCHOOL  BATHAINKHURD R.N0. 1",690,483,0,1173,470,298,0,768,768,0,13,150,42,521,7,1,0,1,0,2,1,5,6,4,3,4,4,0,2,2,0,768
94,"PRIMARY SCHOOL BATHAINKHURD R.N0. 2",272,242,0,514,202,176,0,378,378,0,7,23,95,243,2,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,378
95,"POORV MADHYAMIK VIDYALAY  HULWANA  R. N0. 1",621,462,0,1083,437,325,0,762,762,0,7,88,21,615,5,0,0,0,0,2,0,2,3,4,1,1,0,3,1,9,0,762
96,"POORV MADHYAMIK VIDYALAY HULWANA R.N0.2",625,480,0,1105,461,330,0,791,791,0,62,137,104,480,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,791
97,"PRIMARY SCHOOL  LALPUR R0. N0. 1",563,486,0,1049,405,346,0,751,751,0,1,146,205,374,1,0,1,0,1,1,0,1,0,1,5,2,2,1,1,8,0,751
98,"PRIMARY SCHOOL LALPUR R0. N0. 2",555,422,0,977,422,291,0,713,713,0,30,292,4,364,2,2,0,0,0,6,0,1,1,0,1,3,3,0,0,4,0,713
99,"POORV MADHYAMIK VIDYALAY KAMAR  R. N0.1",761,542,0,1303,519,358,0,877,877,0,17,130,44,661,4,3,0,0,0,4,0,1,3,0,1,1,2,0,1,4,1,877
100,"POORV MADHYAMIK VIDYALAY KAMAR  R.N0. 2",876,641,0,1517,609,433,0,1042,1042,0,3,81,35,890,9,1,0,1,1,2,0,2,1,1,0,2,3,2,0,7,1,1042
101,"PRIMARY SCHOOL  KAMAR",884,666,0,1550,534,367,0,901,901,0,15,62,165,644,2,0,1,0,2,0,0,0,1,1,0,0,0,1,1,6,0,901
102,"PRIMARY SCHOOL  GADHI  BARVARI",473,346,0,819,260,218,0,478,478,0,35,103,14,305,4,2,0,0,0,1,0,2,4,0,2,1,0,0,0,5,0,478
103,"PRIMARY SCHOOL  PAKHARPUR",155,146,0,301,130,120,0,250,250,0,20,11,8,202,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,250
104,"PRIMARY SCHOOL  SIRTHALA",770,589,0,1359,488,333,0,821,821,0,12,122,89,570,3,0,0,0,1,0,0,2,1,2,0,0,6,0,1,12,0,821
105,"PRIMARY  SCHOOL  NAGLA BANJARA",134,140,0,274,97,108,0,205,205,0,1,53,2,138,5,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,205
106,"PRIMARY  SCHOOL  KADAUNA R0. N0 . 1",600,455,0,1055,428,294,0,722,722,0,17,92,81,510,1,1,0,0,0,0,0,1,1,0,0,0,1,1,3,13,0,722
107,"PRIMARY SCHOOL  KADAUNA  R0. N0.2",617,472,0,1089,427,308,0,735,735,0,6,204,62,450,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,5,1,735
108,"PRIMARY  SCHOOL POOTHARI",229,200,0,429,182,128,0,310,310,0,3,11,0,292,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,310
109,"PRIMARY  SCHOOL  SANCHAULI  R.N0. 1",570,453,0,1023,284,211,0,495,495,0,150,125,97,96,2,0,0,0,0,0,1,3,3,4,5,2,3,1,1,1,1,495
110,"PRIMARY  SCHOOL SANCHAULI R. N0. 2",601,445,0,1046,378,247,0,625,625,0,18,178,100,314,2,0,0,0,0,1,0,2,3,1,1,1,0,0,1,2,1,625
111,"PRIMARY SCHOOL  KHITAVITA",620,511,0,1131,483,262,0,745,745,0,42,307,69,278,8,1,1,1,2,6,1,4,3,0,4,4,7,0,0,5,2,745
112,"PRIMARY SCHOOL  GIDOH R0.N0. 1",652,532,0,1184,447,347,0,794,794,0,28,312,81,351,0,0,1,0,0,2,0,1,3,0,2,4,4,2,0,3,0,794
113,"PRIMARY SCHOOL  GIDOH  R0.N0. 2",227,190,0,417,189,146,0,335,335,0,13,154,103,50,0,0,0,0,0,4,1,0,1,0,2,1,4,1,1,0,0,335
114,"PRIMARY SCHOOL  GIDOH R0.N0. 3",820,688,0,1508,624,497,0,1121,1121,0,9,579,23,465,4,1,0,0,0,5,1,0,0,0,2,0,1,0,2,29,0,1121
115,"POORV MADHYAMIK VIDYALAY  BATHAINKALAN R.N0.1",555,429,0,984,361,302,0,663,663,0,1,115,249,282,1,0,0,0,0,3,0,1,2,3,0,2,1,1,0,2,0,663
116,"POORV MADHYAMIK VIDYALAY BATHAINKALAN R .N0.2",361,295,0,656,229,212,0,441,441,0,2,120,3,288,2,0,0,0,0,5,0,0,1,1,2,1,4,3,1,8,0,441
117,"POORV MADHYAMIK VIDYALAY  BATHAINKALAN R.N0 3",738,561,0,1299,440,359,0,799,799,0,5,89,154,523,8,1,0,0,1,1,1,4,2,0,0,1,0,0,3,6,0,799
118,"PRIMARI  SCHOOL SECOND BATHAINKALAN",708,532,0,1240,469,377,0,846,846,0,12,190,3,609,3,1,0,0,1,1,0,1,4,0,0,0,4,0,1,15,1,846
119,"PRIMARY  SCHOOL  DHARMNAGAR",245,199,0,444,182,159,0,341,341,0,1,144,2,186,0,0,0,0,0,0,0,0,3,1,1,0,1,2,0,0,0,341
120,"POORV MADHYAMIK VIDYALAY JAV  R0.N0.1",789,656,0,1445,608,457,0,1065,1065,0,74,231,8,690,9,1,1,1,1,0,0,4,7,3,2,0,3,4,3,20,3,1065
121,"POORV MADHYAMIK VIDYALAY JAV  R.N0.2",712,581,0,1293,565,360,0,925,925,0,36,131,222,497,2,0,0,0,0,0,0,2,6,1,1,1,4,1,6,13,2,925
122,"PRIMARY SCHOOL BARHANA R.N0. 1",536,425,0,961,424,327,0,751,751,0,87,33,91,487,3,0,0,1,1,0,0,5,4,0,0,3,9,0,5,21,1,751
123,"PRIMARY SCHOOL BARHANA R.N0. 2",458,333,0,791,292,203,0,495,495,0,36,25,18,391,5,0,1,1,1,1,1,0,0,0,2,1,3,1,4,3,1,495
124,"PRIMARY  SCHOOL MEENANAGAR",699,566,0,1265,581,284,0,865,665,0,66,201,23,518,11,2,1,2,3,4,2,5,2,1,2,1,10,1,3,5,2,865
125,"PRIMARY SCHOOL SURVARI",528,451,0,979,412,334,0,746,746,0,1,204,316,214,2,0,0,0,0,3,0,0,0,0,1,0,2,1,0,2,0,746
126,"PRIMARY  SCHOOL  TUMAULA  R.N0. 1",777,658,0,1435,662,340,0,1002,1002,0,5,429,19,530,2,0,0,0,0,1,0,1,0,0,2,0,3,2,0,6,2,1002
127,"PRIMARY SCHOOL  TUMAULA  R.N0.  2",850,700,0,1550,672,509,0,1181,1181,0,3,451,312,397,6,0,0,0,0,2,0,0,0,2,0,0,3,0,0,5,0,1181
128,"PRIMARY SCHOOL  DHAMSINGA",706,596,0,1302,449,353,0,802,802,0,4,29,173,583,2,1,0,0,0,0,0,1,3,2,0,2,0,0,1,1,0,802
129,"PRIMARY SCHOOL  JALALPUR",411,350,0,761,286,228,0,514,514,0,7,266,49,177,2,0,0,1,0,5,0,0,0,1,1,0,4,1,0,0,0,514
130,"PRIMARY SCHOOL  NAGARIYA",326,270,0,596,274,200,0,474,474,0,1,0,2,467,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,474
131,"PRIMARY SCHOOL  GAUHARI",736,624,0,1360,592,491,0,1083,1083,0,16,169,229,639,17,1,0,0,0,3,0,0,2,1,0,0,2,0,1,1,2,1083
132,"PRIMARY SCHOOL  DAUTANA R.N0. 1",662,490,0,1152,381,234,0,615,615,0,97,297,2,183,4,1,0,0,1,3,2,1,1,2,1,0,13,3,1,2,1,615
133,"PRIMARY SCHOOL  DAUTANA  R.N0.2",900,731,0,1631,522,390,0,912,912,0,155,424,42,200,3,4,0,1,0,7,3,4,2,3,4,5,28,13,3,8,3,912
134,"PRIMARY SCHOOL  GADHI MALIYAN",473,408,0,881,389,309,0,698,698,0,24,15,41,590,3,0,0,0,0,0,0,3,1,1,1,3,2,1,2,11,0,698
135,"PRIMARY SCHOOL  NAGLA SEVALGARH",173,170,0,343,130,133,0,263,263,0,2,2,226,6,2,0,0,0,0,0,0,0,1,0,0,4,2,3,14,1,0,263
