"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
39,"PANT NAGAR",761,741,0,1502,397,370,0,767,767,0,174,16,346,63,35,0,3,115,4,1,0,0,3,2,1,4,767
40,BARGANV,799,684,0,1483,361,301,0,662,502,0,29,5,277,144,165,1,1,30,0,2,0,1,3,0,0,4,662
41,BARGAON,784,716,0,1500,439,339,0,778,778,0,24,8,454,87,160,1,0,12,0,7,1,2,5,3,1,13,778
42,BARGOAN,741,606,1,1348,347,258,0,605,605,0,8,4,330,164,87,1,0,2,0,2,0,1,2,0,0,4,605
43,BARGAON,455,455,0,910,179,135,0,314,268,0,14,1,234,39,23,0,0,1,0,0,0,0,0,0,0,2,314
44,BARGAON,603,553,0,1156,383,272,0,655,655,0,37,9,535,32,29,0,1,8,0,0,0,0,0,0,0,4,655
45,BADGAON,539,504,1,1044,366,259,0,625,625,0,5,5,549,28,20,0,1,12,0,2,0,0,0,0,0,3,625
46,BARGAON,337,319,0,656,211,139,0,350,350,0,5,4,273,24,36,0,1,5,0,1,0,0,0,0,0,1,350
47,"SEMRA COLONEY",685,558,0,1243,262,150,0,412,412,0,29,2,207,48,98,1,0,25,0,1,0,0,1,0,0,0,412
48,"SEMRA COLONEY",594,433,0,1027,215,135,0,350,350,0,26,2,217,14,83,0,1,1,0,2,0,0,1,1,0,2,350
49,"SEMRA COLONEY",947,691,0,1638,317,245,0,562,510,0,35,4,398,24,74,0,0,3,0,14,0,0,2,2,0,6,562
50,"DADUWA BAZAR",860,751,0,1611,482,361,0,843,843,0,86,16,472,52,84,1,0,113,3,1,0,4,1,4,1,5,843
51,"DADUWA BAZAR",840,739,0,1579,411,279,0,690,690,0,7,3,540,45,70,0,1,10,0,5,0,1,2,2,1,3,690
52,"DADUWA BAZAR",737,603,0,1340,399,254,0,653,635,0,18,8,465,55,78,0,0,16,0,4,0,0,1,5,0,3,653
53,CHHEDIPURWA,578,480,0,1058,327,232,0,559,555,0,61,7,187,31,199,2,0,65,0,3,0,0,0,0,1,3,559
54,CHHEDIPURWA,366,352,0,718,190,182,0,372,372,0,25,4,137,42,101,1,0,59,0,1,0,1,0,0,1,0,372
55,CHHEDIPURWA,462,418,0,880,213,191,0,404,395,0,29,6,227,20,85,1,0,24,0,2,0,2,1,1,0,6,404
56,CHHEDIPURWA,432,425,0,857,244,199,0,443,433,0,38,4,261,48,64,1,0,22,0,0,0,0,0,0,0,5,443
57,CHHEDIPURWA,418,347,0,765,149,113,0,262,244,0,7,2,175,43,25,0,0,4,0,1,0,0,2,1,0,2,262
58,CHHEDIPURWA,469,382,0,851,189,155,0,344,333,0,6,1,279,16,32,0,1,2,0,3,0,0,2,0,0,2,344
59,CHHEDIPURWA,808,714,0,1522,289,201,0,490,411,0,32,6,300,50,53,3,1,24,1,2,0,1,14,1,0,2,490
60,CHHEDIPURWA,744,667,0,1411,288,252,0,540,540,0,30,0,367,46,48,2,0,26,0,7,2,0,0,6,0,6,540
61,CHHEDIPURWA,817,772,0,1589,359,279,0,638,627,0,15,1,487,75,44,0,1,1,0,4,0,1,0,3,0,6,638
62,CHHEDIPURWA,795,695,0,1490,380,278,0,658,622,0,38,7,83,81,284,2,0,153,2,0,0,0,4,3,0,1,658
63,CHHEDIPURWA,915,775,1,1691,483,302,0,785,783,0,48,11,211,119,263,0,0,111,2,7,1,1,1,2,2,6,785
64,CHHEDIPURWA,476,414,0,890,190,107,0,297,297,0,83,1,73,38,41,0,0,53,1,0,0,0,0,4,1,2,297
65,CHHEDIPURWA,620,547,0,1167,287,222,0,509,499,0,20,3,370,41,53,0,0,15,0,1,0,0,1,0,0,5,509
66,CHHEDIPURWA,702,585,0,1287,241,169,0,410,410,0,39,1,121,64,102,0,0,61,0,14,1,5,0,1,0,1,410
67,CHHEDIPURWA,600,535,0,1135,235,234,0,469,469,0,24,5,325,56,42,0,0,10,0,2,0,0,0,0,0,5,469
68,"PATEL NAGAR",542,450,0,992,275,213,0,488,483,0,59,3,268,113,26,0,0,12,2,2,0,0,0,0,0,3,488
69,"PATEL NAGAR",437,364,0,801,178,166,0,344,316,0,20,7,192,55,30,0,0,26,0,11,0,0,1,0,0,2,344
70,"PATEL NAGAR",644,591,0,1235,325,243,0,568,568,0,28,7,378,42,51,0,0,53,0,2,0,0,0,0,0,7,568
71,"PATEL NAGAR",516,473,0,989,263,192,0,455,378,0,21,5,237,51,33,0,1,101,1,3,0,2,0,0,0,0,455
72,"PATEL NAGAR",591,497,0,1088,281,201,0,482,482,0,44,8,165,62,35,0,0,162,2,1,0,1,1,0,0,1,482
73,"PATEL NAGAR",577,490,0,1067,308,189,0,497,497,0,44,2,47,107,45,0,1,231,3,10,0,0,2,0,0,5,497
74,"PATEL NAGAR",568,495,0,1063,272,205,0,477,461,0,29,2,159,103,33,0,4,134,3,1,1,3,3,0,1,1,477
75,"PATEL NAGAR",432,358,0,790,242,167,0,409,379,0,35,3,205,51,20,0,0,87,2,1,0,0,2,1,0,2,409
76,"PATEL NAGAR",605,564,0,1169,277,232,0,509,500,0,42,4,256,41,31,0,1,122,2,6,0,0,0,0,0,4,509
77,"PATEL NAGAR",635,546,0,1181,297,227,0,524,488,0,30,2,306,42,21,0,1,116,0,0,0,0,1,1,0,4,524
78,"PATEL NAGAR",474,430,1,905,252,196,0,448,410,0,6,1,341,36,20,2,0,35,0,3,0,0,0,1,0,3,448
79,"PATEL NAGAR",558,498,0,1056,282,221,0,503,475,0,23,4,305,87,24,0,0,52,1,1,0,0,0,1,0,5,503
80,MAHARAJGANJ,614,531,0,1145,280,193,0,473,473,0,114,0,46,121,51,0,0,131,2,2,0,0,1,0,1,4,473
81,MAHARAJGANJ,425,344,0,769,198,147,0,345,300,0,61,2,54,64,56,2,1,95,1,1,1,1,2,3,1,0,345
82,MAHARAJGANJ,874,769,0,1643,429,367,0,796,796,0,72,1,407,99,42,3,1,158,1,3,0,0,1,4,0,4,796
83,MAHARAJGANJ,534,482,0,1016,203,158,0,361,346,0,108,4,115,46,11,1,3,68,1,2,0,0,1,0,0,1,361
84,MAHARAJGANJ,628,643,0,1271,245,206,0,451,451,0,164,3,188,32,8,2,0,49,1,3,0,0,0,0,0,1,451
85,MAHARAJGANJ,852,744,0,1596,476,265,0,741,741,0,29,2,308,135,43,2,1,212,1,1,0,0,0,2,1,4,741
86,"SUBHASH NAGAN",508,480,0,988,280,230,0,510,510,0,18,7,313,107,37,0,1,17,0,2,0,0,0,2,0,6,510
87,"SUBHASH NAGAR",392,372,0,764,219,177,0,396,396,0,18,3,266,59,17,0,0,30,0,1,0,0,0,1,0,1,396
88,"MALVIYA NAGAR",588,538,1,1127,349,229,0,578,500,0,54,3,403,46,25,0,0,43,0,2,0,0,0,0,0,2,578
89,"MALVIYA NAGAR",672,646,0,1318,427,365,0,792,700,0,204,4,454,74,28,0,1,23,0,0,1,0,0,0,0,3,792
90,"MALVIYA NAGAR",547,498,0,1045,307,228,0,535,535,0,10,2,441,40,29,0,0,8,1,1,0,0,0,0,0,3,535
91,"MALVIYA NAGAR",306,268,0,574,180,121,0,301,301,0,5,3,252,22,16,0,0,0,0,0,0,0,0,0,0,3,301
92,"MALVIYA NAGAR",596,567,0,1163,325,235,0,560,500,0,20,10,425,57,28,1,0,6,0,2,0,0,0,0,0,11,560
93,"MALVIYA NAGAR",807,705,0,1512,441,339,0,780,774,0,13,5,622,65,56,0,0,4,0,3,0,1,0,4,1,6,780
94,"CIVIL LINES",574,524,0,1098,282,210,0,492,492,0,24,1,280,62,29,1,0,90,0,4,0,0,0,0,0,1,492
95,"CIVIL LINES",333,284,0,617,145,84,0,229,217,0,25,0,61,55,27,0,0,56,3,1,0,1,0,0,0,0,229
96,"CIVIL LINES",583,507,0,1090,247,174,0,421,404,0,57,1,20,129,56,0,0,149,1,7,0,0,0,0,0,1,421
97,"CIVIL LINES",322,266,0,588,134,90,0,224,215,0,14,4,93,44,16,0,0,45,1,5,1,0,0,0,0,1,224
98,"CIVIL LINES",799,700,0,1499,346,260,0,606,600,0,34,2,38,156,158,0,1,201,2,9,1,0,2,1,0,1,606
99,"CIVIL LINES",591,508,0,1099,250,201,0,451,448,0,48,1,70,111,104,0,1,105,1,5,1,0,1,0,0,3,451
100,"CIVIL LINES",402,322,0,724,183,117,0,300,300,0,21,0,43,61,86,0,1,82,3,2,0,0,1,0,0,0,300
101,"RADHA KUND",445,434,0,879,232,211,0,443,443,0,62,6,170,82,54,1,0,63,0,5,0,0,0,0,0,0,443
102,"RADHA KUND",476,428,0,904,276,194,0,470,470,0,84,5,113,111,94,1,2,53,0,4,0,0,1,1,0,1,470
103,"RADHA KUND",422,411,0,833,205,178,0,383,383,0,80,6,153,80,26,1,0,26,0,5,0,1,1,0,0,4,383
104,"RADHA KUND",512,418,0,930,245,168,0,413,400,0,45,2,244,58,25,0,0,35,0,2,0,0,0,0,0,2,413
105,"RADHA KUND",733,641,0,1374,352,295,0,647,617,0,41,7,453,80,27,0,0,29,0,4,0,0,1,0,0,5,647
106,"RADHA KUND",681,486,0,1167,256,152,0,408,350,0,45,5,169,53,73,2,0,46,0,7,0,0,2,0,1,5,408
107,"RADHA KUND",528,428,1,957,223,134,0,357,308,0,55,0,183,32,35,0,0,35,0,5,1,0,1,7,1,2,357
108,"RADHA KUND",791,676,2,1469,407,208,0,615,611,0,48,3,163,103,59,1,0,221,2,1,0,1,5,0,0,8,615
109,"RADHA KUND",854,761,0,1615,343,220,0,563,563,0,27,3,325,133,30,1,1,30,1,6,0,0,2,0,1,3,563
110,"RADHA KUND",598,502,0,1100,239,146,0,385,383,0,78,3,33,97,39,1,1,128,0,1,1,1,0,0,0,2,385
111,"RADHA KUND",581,512,0,1093,197,143,0,340,340,0,52,2,96,34,44,1,0,95,0,1,1,2,5,1,1,5,340
112,"RADHA KUND",577,453,1,1031,199,114,0,313,313,0,24,0,115,59,44,0,1,58,1,2,0,0,1,0,0,8,313
113,"RADHA KUND",444,377,0,821,162,96,0,258,257,0,19,1,171,25,11,0,0,24,0,1,0,0,0,0,0,6,258
114,RAKABGANJ,790,747,0,1537,423,311,0,734,734,0,114,3,97,233,183,2,1,93,1,3,0,0,0,2,0,2,734
115,RAKABGANJ,681,657,0,1338,312,231,0,543,541,0,110,6,48,217,72,0,0,86,0,1,0,1,0,1,0,1,543
116,RAKABGANJ,326,256,0,582,169,121,0,290,290,0,36,1,140,46,41,0,1,22,0,0,0,0,0,1,0,2,290
117,"GIRD GONDA",594,504,0,1098,294,224,0,518,490,0,254,5,41,104,50,1,4,51,0,3,0,0,0,0,0,5,518
118,"GIRD GONDA",547,500,0,1047,304,264,0,568,567,0,284,2,10,147,34,1,3,74,2,3,0,0,0,1,0,7,568
119,"GIRD GONDA",814,687,0,1501,421,237,0,658,620,0,169,2,10,210,54,1,1,198,1,8,0,0,2,0,0,2,658
120,"GIRD GONDA",429,414,1,844,202,157,0,359,359,0,61,1,15,119,107,0,0,54,1,0,0,0,0,0,0,1,359
121,NAUSHAHRA,533,495,1,1029,272,233,0,505,421,0,38,3,264,56,70,0,0,65,1,5,0,1,0,0,0,2,505
122,NAUSHAHRA,510,469,0,979,248,180,0,428,426,0,110,4,54,84,100,0,0,67,0,7,0,0,1,0,1,0,428
123,RAKABGANJ,601,527,0,1128,331,205,0,536,536,0,206,1,105,116,41,0,1,60,0,2,1,0,0,1,0,2,536
124,RAKABGANJ,739,668,0,1407,415,313,0,728,728,0,194,11,280,80,70,1,0,73,0,1,0,2,5,4,0,7,728
125,"CIVIL LINES",562,439,0,1001,152,112,0,264,261,0,120,2,100,12,22,0,1,5,0,0,0,0,1,0,1,0,264
126,"CIVIL LINES",520,402,1,923,180,97,0,277,277,0,42,2,169,44,13,0,0,2,0,2,2,0,0,0,1,0,277
127,"CIVIL LINES",794,710,0,1504,266,201,0,467,447,0,43,4,332,61,20,0,0,0,0,5,1,0,0,0,0,1,467
128,"CIVIL LINES",853,704,0,1557,295,277,0,572,570,0,101,4,357,50,46,1,1,0,0,0,0,1,1,4,1,5,572
129,"CIVIL LINES",817,644,0,1461,301,216,0,517,517,0,65,2,300,77,55,0,0,6,0,5,0,0,0,1,1,5,517
130,"CIVIL LINES",517,431,0,948,196,160,0,356,341,0,5,3,262,53,23,0,1,5,0,0,1,0,0,0,0,3,356
131,"CIVIL LINES",486,441,0,927,215,132,0,347,340,0,3,0,261,56,20,0,0,3,0,1,0,0,0,1,0,2,347
132,"CIVIL LINES",496,405,0,901,189,165,0,354,304,0,8,2,278,38,23,0,0,1,0,0,0,0,1,0,1,2,354
133,"CIVIL LINES",471,385,0,856,203,149,0,352,352,0,35,4,240,36,28,0,0,0,1,3,0,0,0,0,0,5,352
134,"CIVIL LINES",453,387,0,840,142,125,0,267,255,0,11,2,176,31,40,0,0,1,1,2,0,0,1,0,0,2,267
135,"CIVIL LINES",1084,790,0,1874,397,196,0,593,591,0,85,7,312,113,51,0,0,16,0,0,0,1,1,1,0,6,593
136,"RANI PURWA",694,608,0,1302,368,274,0,642,642,0,239,9,162,166,18,0,0,17,3,4,2,4,1,5,3,9,642
137,"RANI PURWA",455,418,0,873,254,235,0,489,477,0,152,4,124,90,63,1,0,39,0,4,0,0,2,5,3,2,489
138,"JANKI NAGAR",500,472,0,972,327,241,0,568,566,0,71,6,367,86,18,2,0,1,1,4,2,1,1,1,2,5,568
139,"JANKI NAGAR",517,452,0,969,275,210,0,485,485,0,24,10,386,37,16,0,0,0,0,1,2,1,1,3,0,4,485
140,"JANKI NAGAR",713,593,0,1306,380,289,0,669,668,0,16,12,521,81,22,0,0,2,0,11,0,0,2,0,1,1,669
141,"JANKI NAGAR",734,638,0,1372,297,237,0,534,534,0,39,10,413,48,12,1,0,4,2,1,1,0,1,0,0,2,534
142,"JANKI NAGAR",750,578,0,1328,353,238,0,591,500,0,78,4,381,80,29,0,3,0,1,1,2,0,0,1,0,11,591
143,"IMILIYA GURU DAYAL",773,661,0,1434,442,342,0,784,784,0,64,16,573,39,53,3,2,3,1,3,5,2,4,7,1,8,784
144,"IMILIYA GURU DAYAL",729,648,0,1377,401,302,0,703,703,0,49,8,502,43,75,1,0,6,0,4,0,2,3,2,0,8,703
145,"DUTT NAGAR VISHEN",550,469,0,1019,355,233,0,588,580,0,88,18,374,62,22,1,0,12,1,2,2,0,2,1,0,3,588
146,"DUTT NAGAR VISHEN",356,324,0,680,196,132,0,328,326,0,94,5,152,24,16,1,0,2,1,12,2,2,2,8,1,6,328
147,"RUDRAPUR VISHEN",554,476,0,1030,355,242,0,597,597,0,106,12,410,45,16,0,0,1,0,2,0,1,1,1,0,2,597
148,"RUDRAPUR VISHEN",390,351,0,741,355,149,0,504,504,0,24,2,376,80,9,1,0,1,1,0,0,1,0,4,0,5,504
149,"PANDARI SHANKAR",760,654,0,1414,491,329,0,820,815,0,195,14,322,111,134,2,2,7,2,3,4,1,7,8,2,6,820
150,"IMRITI VISHEN",705,648,0,1353,397,285,0,682,664,0,137,16,360,39,43,3,2,53,3,3,0,1,7,3,4,8,682
151,"NARAUHJ ARJUN",840,686,0,1526,507,318,0,825,825,0,281,24,290,121,65,4,4,3,2,3,1,3,2,7,2,13,825
152,"KHAIRA KHAS",483,400,0,883,410,244,0,654,654,0,86,1,261,271,23,3,0,1,1,2,1,1,0,2,0,1,654
153,"KHAIRA KUMBH NAGAR",565,464,0,1029,316,203,0,519,512,0,70,7,224,126,65,0,1,19,0,0,1,2,0,2,0,2,519
154,"KHAIRA KUMBH NAGAR",488,386,0,874,253,181,0,434,434,0,22,4,252,72,62,0,1,11,1,1,0,0,1,1,2,4,434
155,INDRAPUR,822,744,0,1566,524,410,0,934,921,0,99,18,535,118,114,2,0,25,3,1,2,0,6,4,1,6,934
156,"KHAIRA BAG BARGAON",508,460,0,968,283,225,0,508,401,0,44,10,177,54,161,2,2,37,1,2,1,0,3,5,3,6,508
157,"KHAIRA BAG BARGAON",417,375,0,792,226,200,0,426,410,0,24,3,242,28,77,1,2,42,1,3,0,1,1,0,0,1,426
158,TURKAULIYA,230,204,0,434,167,139,0,306,302,0,3,5,116,155,8,2,0,9,3,0,2,0,0,2,0,1,306
159,"PANDARI KRIPAL",836,731,0,1567,412,428,0,840,840,0,113,21,329,232,89,4,2,19,5,7,3,3,3,3,2,5,840
160,BHANDAHA,303,256,0,559,194,124,0,318,294,0,41,5,170,61,28,0,1,1,1,0,1,2,0,2,1,4,318
161,LUVAI,560,466,0,1026,315,240,0,555,552,0,149,13,142,162,60,1,0,1,0,1,0,4,4,5,3,10,555
162,VAINIYA,813,692,0,1505,472,349,0,821,394,0,253,20,281,109,116,5,4,6,1,1,5,1,3,9,1,6,821
163,"TELIYANI UPADHYAY",724,549,0,1273,321,243,0,564,564,0,163,20,171,85,49,5,1,55,0,0,3,1,1,1,2,7,564
164,"TULSIPUR KODARI",466,394,0,860,314,172,0,486,486,0,29,10,285,136,16,1,2,0,0,0,0,1,1,1,2,2,486
165,SUBHAGPUR,491,450,0,941,282,223,0,505,505,0,58,30,251,61,77,1,1,10,1,3,1,1,3,2,2,3,505
166,SUBHAGPUR,522,404,0,926,236,148,0,384,384,0,33,7,184,40,91,1,0,15,0,0,1,1,3,2,1,5,384
167,BAKTHORWA,502,436,0,938,189,147,0,336,336,0,52,4,141,77,23,0,1,32,0,0,0,0,4,1,1,0,336
168,BAKTHORWA,468,380,0,848,278,190,0,468,468,0,71,12,201,114,37,3,3,19,0,0,0,1,4,2,0,1,468
169,"BEERPUR SUBEDAR",303,268,0,571,212,186,0,398,398,0,25,12,167,102,72,2,0,3,0,0,1,1,5,0,1,7,398
170,"TARI PARSOHIYA",650,554,0,1204,379,302,0,681,671,0,79,19,325,120,110,5,0,4,0,1,0,2,3,8,1,4,681
171,GILAULI,719,632,0,1351,457,362,0,819,362,0,190,16,447,92,54,2,1,11,0,2,0,1,1,2,0,0,819
172,DHANOHARI,487,415,0,902,294,245,0,539,420,0,91,17,167,107,63,2,3,65,0,0,3,4,0,6,1,10,539
173,CHORSIHA,408,345,0,753,212,154,0,366,363,0,26,12,165,123,15,1,1,9,0,1,0,1,0,10,0,2,366
174,BHADWAL,664,512,0,1176,383,280,0,663,663,0,150,22,240,74,136,4,3,14,0,3,3,2,0,2,3,7,663
175,UKRA,362,283,0,645,248,179,0,427,426,0,50,12,173,61,101,2,3,1,1,0,0,2,4,7,0,10,427
176,"NIGWA BODH",445,358,0,803,276,144,0,420,420,0,40,11,117,66,173,2,0,4,0,4,0,2,0,0,0,1,420
177,KARVALIYA,254,195,0,449,162,84,0,246,222,0,9,2,78,31,120,3,1,0,0,0,0,0,0,1,0,1,246
178,PILKHAWA,643,523,0,1166,340,219,0,559,559,0,146,24,193,46,120,2,3,2,0,2,0,0,2,5,0,14,559
179,KEVALPUR,451,374,0,825,278,239,0,517,517,0,7,18,232,87,125,4,1,21,1,1,1,2,2,5,0,10,517
180,"KANDHARA TEJI",526,448,0,974,298,249,0,547,547,0,137,2,211,32,77,2,3,61,1,3,1,0,4,4,3,6,547
181,TURKADEEHA,591,539,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,BHATWALIYA,348,290,0,638,250,202,0,452,451,0,92,8,107,212,11,6,0,4,0,0,0,0,1,7,0,4,452
183,DHANAULI,469,361,0,830,269,158,0,427,427,0,70,11,145,15,42,1,1,127,4,0,0,1,1,1,1,7,427
184,DHANAULI,687,598,0,1285,335,243,0,578,570,0,94,3,124,60,104,3,1,171,3,2,3,0,1,5,1,3,578
185,RAUTAVA,353,272,0,625,204,140,0,344,342,0,40,1,201,77,21,0,0,0,0,0,0,0,1,1,0,2,344
186,MAHADEVA,755,650,0,1405,489,287,0,776,776,0,95,19,289,124,151,1,2,55,3,1,2,3,6,5,4,16,776
187,MAHADEVA,511,489,0,1000,293,184,0,477,477,0,125,7,183,50,12,2,1,71,2,0,2,2,3,5,0,12,477
188,KHARHATIYA,285,253,0,538,187,158,0,345,345,0,17,5,118,26,163,3,0,0,1,5,0,1,4,1,0,1,345
189,"PANDARI BALLABH",648,547,0,1195,411,287,0,698,698,0,99,28,346,49,132,3,0,16,1,2,3,4,5,5,1,4,698
190,TIKRIYA,727,562,1,1290,423,257,0,680,600,0,131,5,178,207,92,2,1,47,1,3,2,1,5,1,2,2,680
191,TIKRIYA,582,468,0,1050,349,268,0,617,617,0,39,9,92,178,166,5,1,104,1,5,3,1,5,3,2,3,617
192,"RAMVAPUR SHAYAM",612,484,0,1096,372,256,0,628,622,0,49,23,205,60,235,11,3,20,0,2,1,2,3,1,3,10,628
193,"SISAUR ANDUPUR",413,334,0,747,282,200,0,482,482,0,28,11,126,118,172,1,2,6,0,7,4,2,2,2,0,1,482
194,"SISAUR ANDUPUR",345,266,0,611,223,132,0,355,349,0,7,5,69,70,180,4,0,5,1,1,0,1,2,2,1,7,355
195,"SALPUR SEMRA",633,527,0,1160,384,333,0,717,717,0,78,23,268,79,209,2,1,29,1,4,3,3,4,4,1,8,717
196,"VISHVA GANESH",303,259,0,562,254,172,0,426,402,0,17,8,156,73,137,1,2,10,0,13,0,0,2,5,2,0,426
