"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
48,"S. K. INTER COLLEGE NIWARI",444,364,0,808,243,161,0,404,404,0,12,39,70,270,2,0,1,5,1,0,2,0,0,1,1,404
49,"S. K. INTER COLLEGE NIWARI",789,648,0,1437,498,320,0,818,818,0,27,98,165,514,0,0,0,3,1,2,3,1,3,0,1,818
50,"S. K. INTER COLLEGE NIWARI",598,343,0,941,290,187,0,477,254,0,6,110,144,208,0,0,0,3,0,0,1,2,1,2,0,477
51,"S. K. INTER COLLEGE NIWARI",664,554,0,1218,413,293,0,706,706,0,14,233,308,136,0,0,0,3,0,1,3,0,2,1,5,706
52,"PRI. SCHOOL YAKUTPUR MAVI",760,604,0,1364,482,333,0,815,760,0,132,66,242,347,2,1,2,6,0,2,2,5,2,2,4,815
53,"PRI. SCHOOL MAKARMAT PUR SIKEDA",667,558,0,1225,509,389,0,898,863,0,208,31,237,399,1,1,0,2,1,1,6,3,0,0,8,898
54,"NEW KANYA PRI. SCHOOL SARA",529,410,1,940,426,306,0,732,731,0,3,7,580,121,2,0,1,9,0,1,0,3,3,0,2,732
55,"NEW KANYA PRI. SCHOOL SARA",592,447,0,1039,441,349,0,790,790,0,21,632,84,35,0,1,0,0,1,1,2,0,0,6,7,790
56,"NEW KANYA PRI. SCHOOL SARA",627,457,1,1085,493,303,0,796,19,0,18,97,15,652,1,2,0,0,0,0,3,4,2,0,2,796
57,"NEW KANYA PRI. SCHOOL SARA",354,295,0,649,227,188,0,415,180,0,14,2,55,335,2,0,0,3,0,1,1,2,0,0,0,415
58,"ISLAMIYA MADRASA JIYA-UL KURAN BISOKAR",736,545,0,1281,547,373,0,920,560,0,44,696,30,133,0,0,0,12,0,0,1,0,1,2,1,920
59,"ISLAMIYA MADRASA JIYA-UL KURAN BISOKAR",610,505,0,1115,464,280,0,744,740,0,118,136,101,364,2,0,0,15,1,1,3,1,1,0,1,744
60,"ISLAMIYA MADRASA JIYA-UL KURAN BISOKAR",869,721,1,1591,559,462,0,1021,856,0,72,92,129,648,15,4,2,26,3,0,19,4,0,1,6,1021
61,"ISLAMIYA MADRASA JIYA-UL KURAN BISOKAR",555,419,2,976,343,234,2,579,551,0,49,68,106,318,8,1,4,11,1,3,2,1,3,1,3,579
62,"PRI. SCHOOL KADRABAD",602,521,0,1123,375,298,0,673,672,0,164,27,212,240,3,2,1,10,0,1,4,0,5,2,2,673
63,"PRI. SCHOOL KADRABAD",511,426,0,937,282,244,0,526,93,0,150,29,49,282,3,1,0,6,0,1,3,1,0,0,1,526
64,"PRI. SCHOOL KADRABAD",519,429,0,948,350,270,0,620,620,0,75,23,240,269,1,0,0,7,0,0,3,1,1,0,0,620
65,"PRI. SCHOOL KADRABAD",478,381,2,861,300,232,0,532,532,0,99,5,207,198,2,2,1,12,1,0,1,0,2,0,2,532
66,"PRI. SCHOOL NO.2 RORI",644,540,0,1184,468,385,0,853,851,0,229,54,277,252,2,0,0,4,4,5,2,5,5,8,6,853
67,"PRI. SCHOOL NO.2 RORI",695,560,0,1255,501,394,0,895,895,0,56,15,304,461,8,2,2,26,1,2,8,0,3,3,4,895
68,"PRI SCHOOL NEW RORI",460,427,0,887,351,286,0,637,636,0,168,151,93,197,3,1,0,16,0,2,2,1,0,1,2,637
69,"PRI SCHOOL NEW RORI",387,327,0,714,306,245,0,551,539,0,179,57,145,160,2,0,0,4,0,1,1,1,1,0,0,551
70,"G. S. R. PUBLIC SCHOOL VIJAYNAGAR",580,484,0,1064,424,323,0,747,712,0,35,475,34,171,8,0,0,11,0,0,0,2,1,4,6,747
71,"G. S. R. PUBLIC SCHOOL VIJAYNAGAR",602,487,0,1089,406,323,0,729,726,0,115,231,59,290,3,1,1,24,1,0,2,0,0,0,2,729
72,"G. S. R. PUBLIC SCHOOL VIJAYNAGAR",647,574,0,1221,414,356,0,770,743,0,35,40,418,237,2,2,1,18,0,0,7,0,2,1,7,770
