"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
14,"PANCHYAT BHAWAN GAURABARAN R. NO. 1",284,234,0,518,173,147,0,320,200,0,13,81,135,73,0,0,0,0,1,0,3,1,5,5,1,2,320
15,"P.S. TIKAR UTTARI BHAG",669,564,0,1233,450,383,0,833,805,0,18,335,378,28,1,0,2,2,0,1,36,3,5,15,7,2,833
16,"P.S. TIKAR SOUTH BHAG",365,312,0,677,222,209,0,431,431,0,10,198,192,12,0,0,1,0,0,1,9,0,3,4,1,0,431
17,"P.S. SARAIYABIRAN R. NO. 1",291,233,0,524,162,143,0,305,305,0,7,130,108,38,1,0,1,2,0,0,2,0,3,13,0,0,305
18,"P.S. MAYANG PURVI BHAG",935,806,0,1741,598,535,0,1133,1046,0,33,27,966,18,4,4,2,0,2,1,2,5,16,46,3,4,1133
19,"P.S. MAYANG PASCHIMI BHAG",682,598,0,1280,478,341,0,819,500,0,11,41,715,6,4,1,1,3,1,1,1,0,3,30,0,1,819
20,"P.S. PURE LAL TIWARI MAYANGR. NO. 1",436,377,0,813,267,216,0,483,392,0,10,59,368,17,3,1,0,2,0,1,2,0,2,14,2,2,483
21,"GIRLS P.S. MAYANG UTTARI BHAG",303,265,0,568,201,140,0,341,341,0,0,6,321,7,0,0,1,0,0,0,0,0,0,5,1,0,341
22,"GIRLS P.S. MAYANG SOUTH BHAG",697,627,0,1324,392,328,0,720,510,0,9,40,633,13,3,0,0,2,1,1,2,0,1,12,0,3,720
23,"P.S. PURE MADHUKARA  R.N.2",684,617,0,1301,354,303,0,657,632,0,15,213,243,111,2,4,4,3,2,2,4,2,13,22,9,8,657
24,"P.S. PURE MADHUKARA  R.N.3",703,575,0,1278,312,288,0,600,600,0,21,159,285,96,2,5,0,2,2,2,5,1,7,6,3,4,600
25,"P.S. PURE MADHUKARA R. NO. 1",623,543,0,1166,291,265,0,556,556,0,17,178,243,86,1,1,1,2,2,1,2,2,4,7,6,3,556
26,"P.S. LOHANGI PURVI BHAG",468,406,0,874,270,205,0,475,475,0,18,104,262,72,3,1,0,0,0,2,0,2,2,5,3,1,475
27,"P.S. LOHNAGI EXTRA ROOM",451,392,0,843,290,203,0,493,493,0,5,68,317,70,1,4,1,0,1,1,2,2,4,13,1,3,493
28,"P.S. LOHANGI PASCHIMI BHAG",442,398,0,840,345,224,0,569,549,0,11,53,480,19,0,1,0,0,0,0,0,0,0,5,0,0,569
29,"P.S. BAGHRAJPUR",243,213,0,456,216,136,0,352,351,0,26,60,246,10,0,0,0,0,0,0,5,0,2,1,0,2,352
30,"P.S. KUTTA R. NO. 1",747,647,0,1394,455,449,0,904,869,0,27,250,566,16,5,1,1,0,1,1,1,4,7,14,4,6,904
31,"P.S. SARAIYABHARATHI UTTARI BHAG",558,499,0,1057,293,297,0,590,584,0,19,157,218,165,5,0,1,1,2,2,3,2,2,10,1,2,590
32,"P.S. SARAIYABHARATHI SOUTH BHAG",325,296,0,621,165,136,0,301,280,0,17,59,179,23,0,2,0,0,4,0,0,1,6,8,0,2,301
33,"P.S. DHOBIBHAR R. NO. 1",493,390,0,883,244,158,0,402,244,0,10,88,155,120,3,2,0,0,3,2,6,1,1,7,2,2,402
34,"P.S. SEMRAUNA R. NO. 1",646,530,0,1176,344,295,0,639,551,0,16,248,315,20,0,2,1,1,1,1,1,2,1,15,9,6,639
35,"P.S. SEMRAUNA R. NO. 2",389,290,0,679,227,171,0,398,316,0,7,147,181,39,2,1,1,2,0,2,1,1,1,8,2,3,398
36,"P.S. PIPARISAINATHPUR R. NO. 1",502,431,0,933,275,262,0,537,532,0,8,194,275,22,4,3,2,1,1,3,0,1,6,10,5,2,537
37,"P.S. KARMAULI R. NO. 1",269,243,0,512,161,150,0,311,311,0,2,81,206,12,0,1,1,1,0,0,0,0,3,2,1,1,311
38,"P.S. ATARSUMAKALAN R. NO. 1",453,385,0,838,252,227,0,479,429,0,9,132,236,70,2,0,0,3,1,2,0,0,5,13,4,2,479
39,"J.H.S. ATARSUMAKALAN R. NO. 1",683,541,0,1224,423,307,0,730,711,0,16,99,546,38,2,1,0,1,1,2,0,1,2,16,5,0,730
40,"P.S. KAURO PURVI BHAG",608,543,0,1151,432,330,0,762,442,0,36,203,451,35,2,0,0,2,0,0,1,0,6,23,2,1,762
41,"P.S. KAURO PASCHIMI BHAG",341,333,0,674,221,233,0,454,454,0,7,155,250,21,1,0,0,0,0,1,1,0,5,10,2,1,454
42,"P.S. BHIKHARPUR R. NO.",336,306,0,642,198,157,0,355,261,0,8,97,169,64,0,0,1,0,1,0,4,0,3,5,2,1,355
43,"P.S. DHANJAI UTTARI BHAG",689,602,0,1291,402,351,0,753,380,0,20,216,443,34,0,1,2,3,2,2,3,4,6,13,2,2,753
44,"P.S. DHANJAI SOUTH BHAG",410,393,0,803,248,273,0,521,521,0,29,221,190,53,0,2,0,3,0,1,2,0,2,9,4,5,521
45,"P.S. BHAUNSAH R. NO.1",194,163,0,357,152,130,0,282,200,0,1,64,209,2,0,0,0,0,0,0,0,2,2,2,0,0,282
46,"P.S. ISMAILPUR R. NO. 1",434,362,0,796,253,213,0,466,466,0,15,66,218,127,2,1,1,4,2,1,5,2,5,6,6,5,466
47,"P.S. SARAIYA MAJHAUA R. NO. 1",710,622,0,1332,433,358,0,791,402,0,42,211,477,40,2,0,0,0,1,1,3,4,3,2,1,4,791
48,"P.S. AINPUR R. NO.1",473,417,0,890,289,251,0,540,540,0,26,88,307,94,6,0,0,1,0,5,3,0,1,8,1,0,540
49,"P.S. SHERPUR MAHMANDIPUR R. NO.1",298,243,0,541,169,154,0,323,320,0,6,57,183,63,1,0,0,0,0,0,0,2,2,6,2,1,323
50,"PANCHAYAT GHAR PURE PITAI R. NO.1",171,160,0,331,83,80,0,163,163,0,17,37,97,4,0,1,0,0,2,0,0,0,0,5,0,0,163
51,"GRAN SACHIVALAY DHAURAHARA R. NO. 1",390,320,0,710,216,190,0,406,278,0,3,82,112,191,3,1,0,1,0,0,3,1,2,0,3,4,406
52,"P.S. BHATWARA R. NO.1",290,293,0,583,227,208,0,435,435,0,15,85,214,111,2,1,0,1,0,0,1,0,2,1,1,1,435
53,"P.S. BABHANGAWAN R. NO.1",347,295,0,642,192,194,0,386,331,0,3,122,170,74,0,0,0,0,0,2,2,0,1,7,4,1,386
54,"P.S. ITWAMOLANAPUR R. NO.1",493,426,0,919,264,292,0,556,555,0,26,169,278,34,1,0,1,4,0,1,6,5,6,20,4,1,556
55,"P.S. JUDAPATTI PURVI BHAG",560,485,0,1045,273,246,0,519,494,0,15,92,201,188,1,3,0,0,0,0,5,0,3,9,0,2,519
56,"P.S. JUDAPATTI PASHCHIMI BHAG",527,436,0,963,311,268,0,579,579,0,11,227,250,54,0,2,2,2,0,0,7,2,2,11,3,6,579
57,"P.S. SAIDKHANPUR UTTARI BHAG",689,635,0,1324,385,377,0,762,762,0,24,215,262,197,3,7,1,2,3,2,16,1,3,14,3,9,762
58,"P.S. SAIDKHANPUR MIDDILE BHAG",637,552,0,1189,387,343,0,730,730,0,21,276,206,168,2,3,0,3,1,3,11,2,3,12,14,5,730
59,"P.S. SAIDKHANPUR SOUTH BHAG",493,425,0,918,280,237,0,517,510,0,6,109,212,155,2,3,0,1,0,0,13,2,3,4,3,4,517
60,"P.S. DAKHINWARA R. NO.1",605,535,0,1140,325,315,0,640,640,0,31,198,273,106,1,1,1,2,1,0,4,1,1,10,4,6,640
61,"P.S. DAKHINWARA R. NO.2",522,475,0,997,319,278,0,597,503,0,19,188,310,42,0,0,1,0,1,1,4,1,6,11,7,6,597
62,"P.S. ICHHURI R. NO.1",382,353,0,735,200,245,0,445,315,0,13,192,191,25,1,0,1,0,0,1,7,1,2,5,4,2,445
63,"P.S. PURKHIPUR R. NO. 1",530,496,0,1026,282,281,0,563,546,0,20,220,200,100,1,1,1,0,0,1,3,1,1,8,1,5,563
64,"P.S. BHATPURA R. NO.1",668,590,0,1258,391,368,0,759,755,0,20,192,273,237,2,4,1,3,0,2,5,2,3,9,4,2,759
65,"J.H.S RAMDASPUR R. NO. 1",708,644,0,1352,419,412,0,831,801,0,14,270,296,194,2,3,0,0,3,3,11,4,8,14,4,5,831
66,"PANCHAYAT BHAWAN SUDNAPUR R. NO.",301,259,0,560,208,180,0,388,258,0,16,82,204,69,3,1,2,0,0,0,2,1,1,4,2,1,388
67,"P.S. TIHRA R. NO. 1",813,682,0,1495,491,390,0,881,610,0,36,101,517,204,6,2,0,0,0,0,5,0,3,5,2,0,881
68,"P.S. KHEDI R. NO.1",830,767,0,1597,509,501,0,1010,700,0,15,138,487,323,8,4,1,1,1,0,4,1,8,12,2,5,1010
69,"P.S. MALIKPUR R. NO. 1",679,629,0,1308,403,372,0,775,400,0,15,160,377,182,5,2,2,1,0,3,4,2,3,6,2,11,775
70,"P. S. MAHILOASHAPUR UTTARI BHAG",685,616,0,1301,374,362,0,736,536,0,35,204,356,80,6,3,2,2,1,1,13,2,4,14,8,5,736
71,"P.S. MAHILOASHAPUR SOUTH BHAG",660,587,0,1247,339,305,0,644,644,0,20,132,325,126,0,1,0,0,1,0,5,0,4,11,8,11,644
72,"P.S. TEARIMACHHRAULI PURVI BHAG",590,548,0,1138,241,243,0,484,469,0,23,137,76,230,1,2,1,0,1,0,4,1,2,5,0,1,484
73,"P.S. TEARI MACHHRAULI PASHCHIMI BHAG",536,457,0,993,204,182,0,386,366,0,7,3,13,341,1,0,0,0,0,0,18,0,0,1,0,2,386
74,"P.S. TEARIMACHHRAULI MIDDILE BHAG",810,687,0,1497,403,320,0,723,413,0,9,136,9,537,3,0,0,1,0,0,12,1,6,1,3,5,723
75,"P.S. INAYATPUR PASCHIMI BHAG",756,693,0,1449,416,444,0,860,848,0,20,97,133,592,1,1,1,2,0,0,2,1,4,4,2,0,860
76,"P.S. INAYATPUR PURVI BHAG",323,281,0,604,171,167,0,338,338,0,11,102,76,144,0,0,0,0,0,0,0,0,1,1,3,0,338
77,"P.S. KASMAU R. NO. 1",337,277,0,614,220,190,0,410,410,0,2,112,80,197,1,1,1,1,1,0,2,1,3,3,2,3,410
78,"P.S. KATKAKHANPUR SOUTH BHAG",610,561,0,1171,448,299,0,747,747,0,15,293,344,56,3,3,1,0,1,1,4,1,8,10,3,4,747
79,"P.S. KATAKAKHANPUR UTTARI BHAG",675,599,0,1274,416,366,0,782,782,0,16,90,467,166,2,2,0,3,2,2,5,0,8,14,4,1,782
80,"P.S. KATKAKHANPUR MIDDILE BHAG",546,467,0,1013,246,175,0,421,400,0,14,172,147,73,3,1,0,1,0,0,3,0,3,2,2,0,421
81,"P.S. SARWAN R. NO. 1",808,670,0,1478,402,322,0,724,723,0,29,236,390,21,2,2,1,1,1,3,1,2,8,14,8,5,724
82,"P.S. CHANDPUR SAIDOPATTI R. NO. 1",650,555,0,1205,375,425,0,800,800,0,22,104,253,387,5,4,0,2,0,0,0,3,3,11,2,4,800
83,"P.S. SEMARIDARGAH R. NO. 1",484,387,0,871,350,289,0,639,410,0,4,162,18,441,5,1,0,0,0,0,0,2,0,1,4,1,639
84,"P.S. ANGANAKOL  R. NO. 1",597,532,0,1129,429,357,0,786,481,0,13,277,76,403,2,1,2,1,0,0,2,0,3,2,0,4,786
85,"PANCHYAT BHAWAN AMKOL R. NO. 1",687,614,0,1301,477,424,0,901,850,0,14,100,133,609,4,4,1,1,1,0,2,1,9,17,2,3,901
86,"P.S. RATANPUR R. NO. 1",552,455,0,1007,260,289,0,549,500,0,12,19,319,146,1,2,14,1,1,1,5,1,6,15,3,3,549
87,"P.S. SAIDPUR R. NO. 1",684,616,0,1300,415,444,0,859,500,0,9,27,205,338,2,6,194,4,1,2,6,5,5,27,13,15,859
88,"P.S. BASAUDHI R. NO. 1",795,723,0,1518,399,371,0,770,761,0,12,30,385,203,5,5,66,0,5,3,12,3,4,25,4,8,770
89,"P.S. KASBA SULTANPUR PURVI BHAG R. NO. 1",738,602,0,1340,432,332,0,764,764,0,15,19,265,420,6,4,1,2,0,0,9,1,5,10,2,5,764
90,"P.S. KASBA SULTANPUR PASCHIMI BHAG R. NO.2",329,273,0,602,179,149,0,328,169,0,4,11,89,216,0,0,1,0,1,1,1,1,0,2,0,1,328
91,"FOREST RANGE OFFICE UTTARI BHAG R. NO. 1",513,412,0,925,214,203,0,417,404,0,6,49,136,208,0,2,2,0,0,0,5,0,1,4,1,3,417
92,"FOREST RANGE OFFICE SOUTH BHAG R.NO. 2",703,583,0,1286,339,273,0,612,580,0,8,22,85,478,4,1,1,0,0,0,4,2,0,5,0,2,612
93,"PANCHAYAT BHAWAN KASBA SULTANPUR UTTARI BHAG R. NO. 1",598,519,0,1117,361,293,0,654,630,0,6,24,153,448,3,2,10,0,0,0,5,0,1,2,0,0,654
94,"PANCHYAT BHAWAN KASBA SULTANPUR SOUTH BHAG R. NO.2",565,438,0,1003,359,279,0,638,638,0,9,18,86,515,1,1,5,2,0,0,1,0,0,0,0,0,638
95,"J.H.S. MOLANAPUR R. NO. 1",510,475,0,985,303,310,0,613,613,0,9,16,202,175,5,18,139,4,1,7,6,3,2,16,5,5,613
96,"P.S. WALLIPUR R. NO. 1",543,525,0,1068,361,365,0,726,726,0,8,15,564,28,3,12,22,4,1,4,3,5,8,35,5,9,726
97,"P.S. SAIFULLAGANJ UTTARI BHAG",674,560,0,1234,316,288,0,604,604,0,10,89,146,338,2,1,10,2,1,0,1,0,0,3,0,1,604
98,"P.S. SAIFULLAGANJ SOUTH BHAG",749,657,0,1406,446,390,0,836,436,0,14,169,162,419,5,3,23,3,0,3,3,7,7,9,4,5,836
99,"P.S. SAIFULLAGANJ PURVI BHAG",643,576,0,1219,355,329,0,684,684,0,19,177,144,312,3,4,6,1,0,0,2,3,2,9,1,1,684
100,"J.H.S. ITKAUKLI PURVI BHAG",679,568,0,1247,321,275,0,596,488,0,24,108,72,358,2,1,0,0,0,0,22,1,1,0,1,6,596
101,"J.H.S. ITKAULI PASCHIMI BHAG",639,532,0,1171,268,223,0,491,354,0,34,123,19,302,3,1,0,1,1,0,4,0,1,1,1,0,491
102,"P.S. DHARAMDASPUR PURVI BHAG",561,484,0,1045,328,265,0,593,593,0,18,117,203,228,3,3,1,0,3,1,1,3,2,8,1,1,593
103,"P.S. DHARANDASPUR PASCHIMI BHAG",521,442,0,963,290,236,0,526,526,0,43,74,343,46,1,1,1,0,0,1,0,2,2,7,2,3,526
104,"P.S. PATANA R. NO. 1",775,653,0,1428,395,310,0,705,705,0,25,200,304,131,4,10,2,1,0,1,4,2,3,12,2,4,705
105,"P.S. PRATAPPUR R. NO. 1",767,661,0,1428,483,414,0,897,893,0,19,286,403,124,2,4,1,1,2,1,7,4,7,15,15,6,897
106,"P.S. RATAPUR R. NO. 1",452,422,0,874,235,228,0,463,453,0,11,211,152,57,3,1,2,0,0,2,2,0,2,9,7,4,463
107,"P.S. KALKHURA R. NO.1",508,456,0,964,336,338,0,674,673,0,15,89,489,6,1,4,14,2,1,1,1,2,7,29,6,7,674
108,"P.S. KHUNKA UTTARI BHAG",776,693,0,1469,373,354,0,727,627,0,40,158,318,175,0,4,2,0,1,0,0,0,3,20,3,3,727
109,"P.S. KHUNKA SOUTH BHAG",721,608,0,1329,346,276,0,622,597,0,19,116,367,22,6,7,8,4,0,2,3,2,7,42,5,12,622
110,"GIRLS P.S. MAHMOODPUR PASCHIMI BHAG",902,745,0,1647,496,399,0,895,860,0,17,71,691,38,4,5,2,1,1,2,2,5,10,29,4,13,895
111,"GIRLS P.S. MAHMUDPUR PURVI BHAG",684,564,0,1248,400,333,0,733,733,0,13,40,616,40,1,0,3,0,0,1,1,1,7,10,0,0,733
112,"P. S. SARAYGOKUL PURVI BHAG",599,500,0,1099,394,235,0,629,400,0,21,165,363,29,0,3,3,2,2,1,4,2,12,13,4,5,629
113,"P.S.  SARAYGOKUL PASCHIMI BHAG",511,418,0,929,292,256,0,548,548,0,26,205,260,30,1,1,0,2,1,2,2,1,1,7,5,4,548
114,"P.S. GARTHAULI R. NO. 1",460,392,0,852,309,264,0,573,573,0,16,116,201,227,0,0,1,0,1,0,3,0,3,4,1,0,573
115,"P.S. PARWAR R. NO. 1",667,589,0,1256,354,360,0,714,714,0,18,122,82,468,1,2,1,1,1,1,1,0,1,7,3,5,714
116,"P.S. CHANDAPUR R. NO. 1",376,319,0,695,209,194,0,403,403,0,5,112,242,16,2,0,0,0,1,0,3,3,3,11,2,3,403
117,"P.S. SHIVNAGAR R. NO. 1",545,474,0,1019,277,242,0,519,519,0,25,125,263,84,3,4,1,1,0,0,0,0,1,10,1,1,519
118,"P.S.DHESARUA GUPTARGANJ UTTARI BHAG",719,617,0,1336,412,421,0,833,833,0,37,323,259,179,5,3,2,3,1,1,0,3,6,5,3,3,833
119,"P.S.DHESARUA  GUPTARGANJ SOUTH BHAG",798,679,0,1477,400,460,0,860,860,0,17,86,501,217,5,0,0,3,2,1,2,1,9,6,4,6,860
120,"P.S. CHURKUNA ASHRAFPUR R. NO. 1",808,678,0,1486,589,323,0,912,912,0,41,254,442,134,2,7,1,0,2,1,7,1,4,8,1,7,912
121,"P.S. MUJESH PURVI BHAG",432,398,0,830,257,260,0,517,490,0,10,235,179,83,0,2,0,0,0,0,2,0,0,4,2,0,517
122,"P.S. MUJESH PASCHIMI BHAG",414,373,0,787,214,220,0,434,434,0,5,141,269,10,1,1,0,0,0,0,0,0,1,4,1,1,434
123,"J.H.S. BHARATHIPUR PASCHIMI BHAG",720,695,0,1415,362,426,0,788,778,0,19,192,264,289,0,2,1,1,0,3,3,0,3,8,3,0,788
124,"J.H.S. BHARATHIPUR PURVI BHAG",377,347,0,724,204,258,0,462,398,0,9,190,210,45,0,1,0,0,0,0,1,0,0,2,2,2,462
125,"P.S. AMETHA PURVI BHAG",434,446,0,880,279,272,0,551,538,0,16,59,285,167,1,2,0,3,1,0,5,2,1,6,1,2,551
126,"P.S. AMETHA PASCHIMI BHAG",181,160,0,341,100,110,0,210,178,0,6,87,102,8,0,3,0,0,0,0,0,0,0,2,2,0,210
127,"P.S. RAMPUR R. NO.1",339,351,0,690,225,231,0,456,456,0,11,152,176,69,2,1,33,2,1,1,0,2,4,2,0,0,456
128,"P.S. LAUHAR PASCHIM R.N.1",660,594,0,1254,433,431,0,864,864,0,30,129,426,211,5,2,4,0,2,1,16,2,5,20,4,7,864
129,"P.S. LAUHAR PASCHIM R.N.2",652,533,0,1185,405,340,0,745,745,0,34,111,336,215,2,4,0,2,3,0,6,5,9,13,1,4,745
130,"ISLAMIYA P.S. BANKEPUR UTTARI BHAG",840,731,0,1571,338,388,0,726,726,0,37,36,47,579,3,2,2,0,0,2,4,3,3,3,0,5,726
131,"ISLAMIYA P.S. BANKEPUR SOUTH BHAG",779,684,0,1463,321,381,0,702,625,0,38,18,48,584,1,0,0,0,0,1,4,0,4,0,1,3,702
132,"ISLAMIYA P.S. BANKEPUR MIDDILE BHAG",531,490,0,1021,292,321,0,613,613,0,19,182,221,163,0,5,1,0,1,0,0,2,3,7,4,5,613
133,"P.S. BAHLOLPUR R. NO. 1",500,410,0,910,352,298,0,650,525,0,6,96,339,176,1,3,0,0,2,0,9,4,1,6,4,3,650
134,"P.S. CHHARAULI  R.NO.1",358,306,0,664,265,208,0,473,473,0,9,110,249,85,0,0,2,2,0,0,3,1,2,9,1,0,473
135,"PANCHAYAT BHAWAN AKARIPUR R.NO.1",249,244,0,493,202,181,0,383,383,0,31,118,155,72,0,1,0,0,0,0,1,0,2,2,1,0,383
136,"P.S. DADUPUR PURVI BHAG",262,242,0,504,183,151,0,334,334,0,14,136,128,43,2,2,1,0,0,0,3,0,1,1,2,1,334
137,"P.S. DADUOUR IASCHIMI BHAG",640,597,0,1237,373,372,0,745,647,0,18,34,342,332,3,3,0,0,3,0,4,0,2,2,1,1,745
138,"PANCHYAT BHAWAN SONBARASA R. NO.1",381,340,0,721,233,245,0,478,391,0,18,110,144,182,5,1,0,0,2,0,4,2,2,4,1,3,478
139,"P.S. FTEHPUR R. NO. 1",572,523,0,1095,363,338,0,701,701,0,18,77,326,273,2,0,0,0,0,0,0,0,1,3,1,0,701
140,"P.S. DHAHAFIROJPUR R. NO. 1",743,662,0,1405,397,396,0,793,678,0,15,72,121,554,5,3,1,0,3,1,1,1,2,6,4,4,793
141,"P.S. SARAIYA UTTARI BHAG",628,555,0,1183,371,360,0,731,730,0,37,94,264,298,4,4,1,1,2,1,1,5,5,7,3,4,731
142,"P.S. SARAIYA SOUTH BHAG",263,225,0,488,131,135,0,266,265,0,4,39,131,86,0,2,0,0,0,0,0,1,1,2,0,0,266
143,"P.S. BANSI OLD BHAWAN",691,582,0,1273,471,417,0,888,800,0,28,289,472,61,2,3,0,2,1,0,2,1,2,13,11,1,888
144,"P.S. BANSI NEW BHAWAN",204,184,0,388,103,84,0,187,103,0,4,86,84,11,0,0,0,0,0,0,0,0,0,1,1,0,187
145,"GIRLS J.H.S.KHAICHILAKALA R. NO. 1",632,591,0,1223,396,420,0,816,816,0,12,112,548,112,1,3,0,3,2,0,5,0,2,13,2,1,816
146,"GIRLS J.H.S. KATAWAN R. NO. 1",476,434,0,910,268,238,0,506,406,0,18,117,330,9,5,0,9,1,0,1,4,0,1,5,2,4,506
147,"GIRLS J.H.S. KATAWAN R. NO.2",397,338,0,735,244,182,0,426,426,0,14,175,141,66,3,2,0,0,3,0,3,1,3,8,4,3,426
148,"GIRLS J.H.S. KATAWAN PASCHIMI BHAG",617,574,0,1191,329,308,0,637,637,0,17,77,405,3,1,6,85,3,0,2,4,1,5,22,3,3,637
149,"P.S. JADIYAPUR R. NO. 1",285,220,0,505,160,158,0,318,312,0,6,90,198,7,1,1,1,0,0,0,2,0,1,7,2,2,318
150,"P.S. BHATTHIJARAULI R.NO. 1",742,722,0,1464,563,437,0,1000,880,0,3,27,64,875,9,3,0,0,0,0,3,2,7,2,1,4,1000
151,"J.H.S. AMILIYA KALAN UTTARI BHAG",557,441,0,998,272,206,0,478,380,0,14,40,177,210,9,2,0,0,2,1,5,4,0,6,0,8,478
152,"J.H.S. AMILIYA KALAN SOUTH BHAG",425,348,0,773,174,172,0,346,346,0,23,52,170,57,1,2,6,1,1,2,4,2,10,7,4,4,346
153,"P.S. AMILIYA KHURD R.NO.1",471,377,0,848,262,230,0,492,485,0,20,51,251,141,2,2,4,1,1,0,8,1,0,6,3,1,492
154,"P.S. KABARI R.NO.1",376,362,0,738,261,218,0,479,457,0,16,110,215,92,2,2,18,0,0,1,1,0,3,12,5,2,479
155,"P.S. RAMNAGAR KOT R. NO.1",440,383,0,823,265,255,0,520,520,0,16,46,373,64,2,1,0,1,1,0,6,0,2,6,1,1,520
156,"P.S. GODWA R. NO.1",702,575,0,1277,527,340,0,867,867,0,29,188,352,265,2,4,3,3,0,0,0,1,4,9,3,4,867
157,"P.S. DHAKHAWA PURVI BHAG",583,528,0,1111,346,357,0,703,697,0,25,42,542,15,2,9,39,1,1,3,2,0,3,14,3,2,703
158,"P.S. DHAKHAWA PASCHIMI BHAG",648,538,0,1186,402,381,0,783,758,0,19,143,464,120,0,0,0,1,1,2,1,5,4,14,5,4,783
159,"P.S. PAIGAPUR R. NO. 1",609,564,0,1173,347,410,0,757,757,0,6,36,67,637,2,2,1,0,1,0,0,1,1,2,0,1,757
160,"P.S. CHUNHA PURVI BHAG",875,707,0,1582,454,390,0,844,844,0,17,23,346,427,1,1,6,0,2,2,1,0,2,13,0,3,844
161,"P.S. CHUNHA PASCHIMI BHAG",856,745,0,1601,405,402,0,807,701,0,18,11,302,413,3,3,7,1,1,2,2,4,7,23,2,8,807
162,"J.H.S. PALAHIPUR UTTARI BHAG",765,689,0,1454,603,417,0,1020,600,0,21,188,516,250,5,1,0,1,2,0,3,0,4,21,5,3,1020
163,"J.H.S. PALAHIPUR SOUTH BHAG",730,619,0,1349,472,341,0,813,813,0,6,130,360,278,7,3,2,2,1,1,4,0,4,10,0,5,813
164,"P.S. AFLEPUR R. NO. 1",645,578,0,1223,382,368,0,750,750,0,39,177,57,459,4,1,1,0,1,0,2,1,5,2,1,0,750
165,"J.H.S. HARIHARISHAPUR R. NO.1",690,614,0,1304,387,374,0,761,747,0,6,38,75,619,5,1,0,1,0,0,1,1,6,4,2,2,761
