"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAUSHAL KISHORE","2 - R.K CHAUDHARY","3 - NARENDRA GAUTAM","4 - SUSHILA SAROJ","5 - AMIT RAWAT","6 - OM PRAKASH","7 - GOPAL KANAUJIYA","8 - GAUTAM BHARTI","9 - JAGDISH PRASAD GAUTAM","10 - BRIJLAL","11 - MAHENDRA KUMAR RAWAT","12 - MEENA RAWAT","13 - MEERA DEVI","14 - SANTOSH KUMAR DHARKAR","15 - SUNIL GAUTAM","16 - MAHESH KUMAR","17 - REENA CHAUDHARY","18 - SHATROHANLAL RAWAT","19 - None of the Above","Total Votes Secured"
83,"PRIMARY SCHOOL JHAUBERIYA",369,249,0,618,212,139,0,351,351,0,292,10,2,29,3,1,0,0,1,0,0,0,0,2,1,7,3,0,0,351
84,"JUNIOR HIGH SCHOOL SAHIJANA ROOM NO-1",544,422,0,966,390,267,0,657,657,0,250,92,4,285,4,1,0,3,1,1,1,1,0,0,3,7,4,0,0,657
85,"JUNIOR HIGH SCHOOL SAHIJANA ROOM NO-2",386,296,0,682,273,188,0,461,461,0,197,14,4,227,3,1,1,0,1,0,0,0,0,2,3,3,5,0,0,461
86,"PRIMARY SCHOOL TARAUNA ROOM NO-1",571,429,0,1000,302,219,0,521,521,0,302,19,1,180,3,0,1,1,1,0,0,0,0,2,3,5,2,0,1,521
87,"PRIMARY SCHOOL TARAUNA ROOM NO-2",757,544,0,1301,420,282,0,702,702,0,381,158,8,116,1,0,2,3,3,3,0,2,5,7,0,6,3,2,2,702
88,"PRIMARY SCHOOL TILAN",373,316,0,689,254,213,0,467,467,0,342,67,4,39,3,0,0,1,1,0,1,0,0,4,0,3,2,0,0,467
89,"PRIMARY SCHOOL GADIYA KHEDA",191,160,0,351,115,100,0,215,215,0,111,63,1,29,1,0,0,0,0,0,0,1,1,1,3,1,1,2,0,215
90,"PRIMARY SCHOOL CHAUSJHA",215,205,0,420,168,141,0,309,309,0,129,3,3,160,2,0,0,1,0,1,0,1,2,1,2,3,1,0,0,309
91,"PRIMARY SCHOOL JAURIYA",651,536,0,1187,429,378,0,807,807,0,313,161,5,275,7,0,1,0,2,0,0,2,3,3,1,8,19,4,3,807
92,"PRIMARY SCHOOL JAMAULIYA ROOM NO-1",575,466,0,1041,403,315,0,718,718,0,453,149,10,75,6,0,1,2,0,1,0,2,0,4,0,3,7,4,1,718
93,"PRIMARY SCHOOL JAMAULIYA ROOM NO-2",318,241,0,559,183,113,0,296,296,0,119,77,4,70,3,1,1,2,0,0,0,2,2,2,2,6,3,1,1,296
94,"PRIMARY SCHOOL KUSHAL KHEDA",235,210,0,445,131,141,0,272,272,0,200,11,4,37,3,1,1,0,1,0,0,0,1,0,0,9,4,0,0,272
95,"PRIMARY SCHOOL LODHAI",368,329,0,697,246,180,0,426,426,0,126,190,15,86,2,1,1,0,0,0,0,1,1,1,0,2,0,0,0,426
96,"PRIMARY SCHOOL GOSWA(CHANDIKHEDA)",593,505,0,1098,346,331,0,677,677,0,367,108,8,162,2,0,2,0,1,2,1,1,1,2,3,7,9,0,1,677
97,"PRIMARY SCHOOL BELWA",155,145,0,300,108,100,0,208,208,0,40,156,2,5,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,208
98,"PRIMARY SCHOOL TERWA",172,154,0,326,122,98,0,220,220,0,92,58,1,56,0,0,0,0,1,0,0,1,1,1,2,2,2,1,2,220
99,"JUNIOR HIGH SCHOOL KAITHULIYA ROOM NO-1",445,400,0,845,282,239,0,521,521,0,381,32,2,82,1,1,0,1,0,0,0,1,1,2,0,3,11,1,2,521
100,"JUNIOR HIGH SCHOOL KAITHULIYA ROOM NO-2",479,389,0,868,309,222,0,531,531,0,292,190,5,19,3,2,2,1,1,0,1,1,0,2,4,2,5,1,0,531
101,"PANCHAYAT GHAR DILAWARNAGAR SITUATED CHEDAN KHEDA",407,340,0,747,265,196,0,461,461,0,212,92,12,109,6,2,1,4,2,0,1,2,1,5,1,5,4,2,0,461
102,"JUNIOR HIGH SCHOOL DILAWARNAGAR",868,693,0,1561,442,358,0,800,800,0,332,181,17,211,8,1,2,5,1,4,2,2,2,3,8,3,9,5,4,800
103,"JUNIOR HIGH SCHOOL KEHLA ROOM NO-1",443,334,0,777,211,143,0,354,354,0,98,19,9,225,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,354
104,"JUNIOR HIGH SCHOOL KEHLA ROOM NO-2",460,354,0,814,242,149,0,391,391,0,69,43,9,262,4,0,0,0,0,0,0,0,0,0,0,1,2,0,1,391
105,"PRIMARY SCHOOL KEHLA",634,483,0,1117,350,218,0,568,568,0,215,170,12,152,3,0,0,3,0,0,2,1,2,0,0,4,2,0,2,568
106,"PRIMARY SCHOOL MUDIYARA ROOM NO-1",387,340,0,727,267,226,0,493,493,0,243,195,6,19,2,1,0,0,0,4,1,1,2,4,4,5,5,1,0,493
107,"PRIMARY SCHOOL MUDIYARA ROOM NO-2",612,499,0,1111,371,268,0,639,639,0,229,318,3,55,4,0,0,2,3,0,0,1,3,5,4,7,0,1,4,639
108,"PRIMARY SCHOOL FULLAUR",401,324,0,725,267,199,0,466,466,0,172,152,13,89,2,0,0,4,2,0,0,2,1,1,6,9,4,5,4,466
109,"PRIMARY SCHOOL KHANDSARA ROOM NO-1",313,260,0,573,149,112,0,261,261,0,116,61,5,67,2,1,0,2,1,0,0,0,0,0,0,1,4,1,0,261
110,"PRIMARY SCHOOL KHANSARA ROOM NO-2",714,571,0,1285,445,320,0,765,765,0,296,276,11,154,4,1,3,0,1,3,1,2,3,1,2,3,1,2,1,765
111,"PRIMARY SCHOOL HARIHARPUR",570,446,0,1016,315,221,0,536,536,0,244,84,18,162,5,0,1,0,1,2,2,0,2,9,0,2,4,0,0,536
112,"PRIMARY SCHOOL ISAPUR",564,541,0,1105,383,320,0,703,703,0,310,130,21,205,3,0,0,1,1,0,1,1,2,4,2,9,5,2,6,703
113,"JUNIOR HIGH SCHOOL SENDHARWA ROOM NO-1",447,403,0,850,304,240,0,544,544,0,217,143,4,144,4,4,3,0,3,1,0,1,1,3,1,7,6,2,0,544
114,"JUNIOR HIGH SCHOOL SENDHARWA ROOM NO-2",508,387,0,895,321,233,0,554,554,0,244,84,16,182,5,1,1,1,1,0,0,0,0,2,1,5,7,3,1,554
115,"PRIMARY SCHOOL BANJHI",230,199,0,429,177,135,0,312,312,0,173,93,1,27,1,1,0,0,0,0,0,0,1,3,1,1,3,5,2,312
116,"JUNIOR HIGH SCHOOL NAVIPANAH ROOM NO-1",896,741,0,1637,516,352,0,868,868,0,444,149,8,220,10,0,0,2,3,2,3,0,2,1,4,10,8,1,1,868
117,"JUNIOR HIGH SCHOOL NAVIPANAH ROOM NO-2",538,445,0,983,315,251,0,566,566,0,317,126,5,97,4,0,0,0,1,1,0,0,0,3,0,8,3,0,1,566
118,"JUNIOR HIGH SCHOOL NAVIPANAH ROOM NO-3",536,441,0,977,332,248,0,580,580,0,195,307,11,40,2,0,0,0,1,0,1,1,1,2,1,4,7,6,1,580
119,"PRIMARY SCHOOL BHANPUR",527,463,0,990,351,283,0,634,634,0,383,170,9,35,2,2,0,0,1,0,0,0,1,8,2,4,12,4,1,634
120,"PRIMARY SCHOOL MASIDA HAMEER",830,742,0,1572,515,435,0,950,950,0,567,189,9,104,4,4,2,5,2,2,5,3,6,9,6,15,9,1,8,950
121,"PRIMARY SCHOOL MASIDA RATAN ROOM NO-1",474,434,0,908,339,281,0,620,620,0,379,71,8,107,2,1,4,3,0,2,3,1,6,6,7,15,1,2,2,620
122,"PRIMARY SCHOOL MASIDA RATAN ROOM NO-2",541,482,0,1023,400,356,0,756,756,0,219,296,2,192,4,2,2,3,0,1,0,2,1,2,1,5,9,8,7,756
123,"JUNIOR HIGH SCHOOL MALL ROOM NO-1",844,674,0,1518,459,364,0,823,823,0,421,94,20,249,3,1,3,1,1,4,1,0,2,4,8,4,4,1,2,823
124,"JUNIOR HIGH SCHOOL MALL ROOM NO-2",564,464,0,1028,351,246,0,597,597,0,407,46,7,118,1,0,0,0,0,2,2,0,0,0,4,0,2,1,7,597
125,"JUNIOR HIGH SCHOOL MALL ROOM NO -3",523,483,0,1006,322,272,0,594,594,0,354,89,5,124,2,0,1,2,3,1,0,0,1,2,0,7,1,1,1,594
126,"JUNIOR HIGH SCHOOL MALL ROOM NO-4",521,445,0,966,382,298,0,680,680,0,454,124,17,56,2,0,2,3,3,2,1,0,0,3,1,5,5,1,1,680
127,"JUNIOR HIGH SCHOOL MALL ROOM NO-5",494,446,0,940,320,261,0,581,581,0,200,307,11,38,1,2,1,0,0,0,2,1,2,5,5,4,0,1,1,581
128,"PRIMARY SCHOOL GAAGAN BARAULI",239,229,0,468,184,160,0,344,344,0,224,42,14,47,2,2,0,0,1,0,0,0,0,5,4,1,2,0,0,344
129,"PRIMARY SCHOOL VIDHISHYAMA",269,271,0,540,218,206,0,424,424,0,277,74,2,31,2,0,1,0,0,0,0,0,1,3,4,6,16,3,4,424
130,"PRIMARY SCHOOL RAMNAGAR",632,550,0,1182,454,363,0,817,817,0,424,243,15,80,6,4,0,0,1,1,3,3,1,10,6,8,6,4,2,817
131,"PRIMARY SCHOOL NAIBASTI",520,466,0,986,376,325,0,701,701,0,248,81,1,326,6,0,3,5,2,0,2,0,3,8,3,4,7,1,1,701
132,"PRIMARY SCHOOL BHITAURA",170,167,0,337,159,125,0,284,284,0,84,5,2,184,1,0,0,0,1,2,0,0,0,1,0,1,2,0,1,284
133,"PRIMARY SCHOOL SUKKHAKHEDA",336,297,0,633,276,208,0,484,484,0,209,160,6,80,2,2,0,4,0,2,1,0,1,2,2,5,5,2,1,484
134,"PRIMARY SCHOOL LATIFPUR",377,330,0,707,231,210,0,441,441,0,293,30,5,92,2,2,0,0,0,1,0,0,0,2,1,5,4,4,0,441
135,"PRIMARY SCHOOL NARAINPUR",523,452,0,975,342,292,0,634,634,0,277,138,12,148,5,1,1,0,1,0,0,1,2,4,1,6,24,7,6,634
136,"PRIMARY SCHOOL GAURAIYA",316,284,0,600,276,246,0,522,522,0,330,151,6,27,0,1,0,0,0,0,0,0,2,1,0,3,1,0,0,522
137,"JUNIOR HIGH SCHOOL SHAHPUR GODWA",417,386,0,803,347,291,0,638,638,0,347,180,6,59,4,2,2,0,3,0,2,1,1,6,3,5,5,6,6,638
138,"PRIMARY SCHOOL MAJHAUWA",314,295,0,609,255,196,0,451,451,0,305,35,8,61,1,2,2,1,1,2,0,0,0,2,2,9,14,2,4,451
139,"PRIMARY SCHOOL AAUMAU",570,526,0,1096,394,327,0,721,721,0,294,234,7,151,5,0,2,2,1,1,0,1,2,3,0,7,6,1,4,721
140,"PRIMARY SCHOOL LODHKHEDA",336,316,0,652,262,214,0,476,476,0,378,8,7,68,2,0,0,1,0,0,1,1,0,2,2,2,3,0,1,476
141,"PRIMARY SCHOOL NIKROJPUR",285,245,0,530,202,131,0,333,333,0,298,16,7,3,5,0,0,1,0,1,0,0,0,0,0,1,1,0,0,333
142,"PRIMARY SCHOOL MANJHI",602,535,0,1137,458,329,0,787,787,0,255,203,8,268,7,2,1,3,3,2,2,2,1,4,3,6,10,4,3,787
143,"PRIMARY SCHOOL TEHTANA",189,174,0,363,141,120,0,261,261,0,28,10,7,206,2,0,0,3,1,0,1,0,0,1,0,1,1,0,0,261
144,"PRIMARY SCHOOL KOLWA BHANAURA",452,418,0,870,301,262,0,563,563,0,82,98,6,355,2,0,0,2,0,2,1,0,1,4,2,1,4,1,2,563
145,"PRIMARY SCHOOL BHANAURA",298,278,0,576,212,170,0,382,382,0,171,118,5,70,3,0,0,0,0,0,0,0,1,2,7,3,0,1,1,382
146,"JUNIOR HIGH SCHOOL GADTHANBHA",194,179,0,373,152,124,0,276,276,0,139,90,2,36,0,0,0,1,0,0,0,0,0,1,0,3,3,1,0,276
147,"PRIMARY SCHOOL JAGDISHPUR BUJURG",293,262,0,555,215,181,0,396,396,0,191,95,8,81,1,3,1,1,0,0,2,0,0,2,1,7,1,1,1,396
148,"PRIMARY SCHOOL ADAMPUR",243,226,0,469,200,164,0,364,364,0,334,9,2,15,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,364
149,"PRIMARY SCHOOL PATAUNA",619,573,0,1192,468,406,0,874,874,0,417,256,19,150,2,1,0,2,2,0,0,0,3,2,1,7,2,9,1,874
150,"PRIMARY SCHOOL SARTHARA",530,499,0,1029,409,357,0,766,766,0,248,230,5,249,7,1,0,0,2,1,0,2,1,5,2,5,4,2,2,766
