"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - COMANDO KAMAL KISHOR","2 - DR.VIJAY KUMAR","3 - SHABBIR AHMAD","4 - SADHVI SAVITRI BAI FOOLE","5 - JAGAT RAM","6 - MADHAV","7 - RAMASHANKER GOND","8 - VINOD KUMAR","9 - HIRA LAL RAO","10 - RAM NARESH","11 - None of the Above","Total Votes Secured"
36,"GOVINDPUR PANDIT",348,318,0,666,201,156,0,357,357,0,2,18,252,78,0,1,1,0,0,0,5,357
37,"GOVINDPUR PANDIT",321,296,0,617,175,162,0,337,337,0,13,16,252,45,1,1,1,0,0,1,7,337
38,DHARMNAGAR,780,669,0,1449,410,316,0,726,726,0,24,45,372,221,2,7,6,7,5,7,30,726
39,DHARMNAGAR,428,361,0,789,215,227,0,442,442,0,12,56,305,49,4,2,1,2,1,4,6,442
40,"RAMNAGAR SEMRA",632,576,0,1208,443,328,0,771,771,0,9,15,104,601,7,3,3,4,6,3,16,771
41,"RAMNAGAR SEMRA",580,544,0,1124,385,351,0,736,736,0,13,126,278,277,10,1,5,6,2,5,13,736
42,"PEER NASRUDDIN",678,558,0,1236,411,369,0,780,780,0,17,55,324,355,4,1,5,6,6,3,4,780
43,"JAMUNAHA NAUBASTA",634,554,0,1188,338,318,0,656,656,0,6,62,253,295,6,3,5,2,11,4,9,656
44,"SHIVPUR SEMRA",653,583,0,1236,381,261,0,642,642,0,8,20,284,289,10,3,0,2,5,4,17,642
45,"SHIVPUR SEMRA",380,358,0,738,235,190,0,425,425,0,6,20,121,258,7,0,1,3,2,0,7,425
46,"MANSOORGANJ SAI GAAV",416,364,0,780,265,194,0,459,459,0,9,24,64,343,3,0,3,2,1,1,9,459
47,DEWRA,624,517,0,1141,413,339,0,752,752,0,20,46,323,346,6,3,0,2,0,5,1,752
48,DEWRA,476,415,0,891,308,244,0,552,552,0,14,31,68,422,4,1,0,2,5,1,4,552
49,BADEHARA,424,355,0,779,222,184,0,406,406,0,8,27,195,147,5,1,1,4,4,6,8,406
50,BADEHARA,467,424,0,891,303,271,0,574,574,0,6,10,480,63,3,0,1,5,2,0,4,574
51,BADEHARA,322,310,0,632,191,152,0,343,343,0,7,42,206,86,0,1,0,0,0,1,0,343
52,MASUPUR,590,498,0,1088,326,234,0,560,560,0,35,44,353,112,1,1,5,0,2,5,2,560
53,MASUPUR,387,335,1,723,176,162,0,338,338,0,29,12,205,73,3,1,1,0,1,2,11,338
54,PIPRAHAWA,372,319,0,691,278,210,0,488,488,0,3,2,452,26,0,0,0,0,0,1,4,488
55,"PURERAM DEEN",570,497,0,1067,378,308,0,686,686,0,23,9,375,249,7,3,4,0,5,4,7,686
56,KEWALPUR,557,430,0,987,360,249,0,609,609,0,27,24,328,209,4,1,1,4,3,2,6,609
57,KEWALPUR,415,308,0,723,210,197,0,407,407,0,8,16,258,110,2,1,2,0,1,5,4,407
58,"ALINAGAR KHURD",557,478,0,1035,316,271,0,587,587,0,28,44,335,169,2,3,0,2,3,0,1,587
59,"ALINAGAR KHURD",455,358,0,813,200,156,0,356,356,0,17,22,194,115,3,0,2,0,0,3,0,356
60,"LAXMANPUR SHANKARPUR",493,432,0,925,242,229,0,471,471,0,9,15,302,116,3,1,3,3,7,4,8,471
61,"LAXMANPUR SHANKARPUR",515,448,0,963,320,294,0,614,614,0,21,48,232,283,8,4,2,1,5,3,7,614
62,"LAXMANPUR SHANKARPUR",569,430,0,999,229,186,0,415,415,0,13,23,310,63,3,0,0,0,0,0,3,415
63,MADARAGADHI,687,594,0,1281,329,295,0,624,624,0,41,20,520,29,1,0,1,0,1,1,10,624
64,MADARAGADHI,454,392,0,846,202,201,0,403,403,0,4,13,344,21,2,2,1,0,1,3,12,403
65,MADARAGADHI,367,334,0,701,183,98,0,281,281,0,3,30,167,68,1,0,1,0,0,6,5,281
66,JOKHA,452,391,0,843,234,151,0,385,385,0,11,10,344,13,0,1,0,1,0,0,5,385
67,JOKHA,456,368,0,824,182,201,0,383,383,0,8,5,286,66,2,1,0,1,2,0,12,383
68,KALPIPARA,517,449,0,966,145,158,0,303,303,0,3,35,218,32,3,0,2,1,1,2,6,303
69,"PURE ALAST KHAN",749,645,0,1394,367,316,0,683,683,0,11,43,471,146,4,0,2,1,3,2,0,683
70,MOHARBA,481,428,0,909,317,255,0,572,572,0,8,12,347,186,2,1,2,2,4,5,3,572
71,MOHARBA,440,355,0,795,257,203,0,460,460,0,7,102,212,123,2,1,1,1,0,3,8,460
72,MOHARBA,603,489,0,1092,367,332,0,699,699,0,8,26,116,489,21,6,5,4,5,6,13,699
73,MOHARBA,410,371,0,781,188,152,0,340,340,0,25,23,213,70,1,2,1,0,0,1,4,340
74,MOHARBA,635,558,0,1193,344,283,0,627,627,0,14,15,464,121,4,0,1,1,2,1,4,627
75,"AMWA MOLVI",610,518,0,1128,346,284,0,630,630,0,6,50,474,81,1,1,0,1,0,5,11,630
76,"AMWA MOLVI",521,371,0,892,258,224,0,482,482,0,9,12,424,26,2,0,0,2,0,1,6,482
77,"AMWA MOLVI",502,385,0,887,264,217,0,481,481,0,1,1,215,239,6,1,2,2,4,6,4,481
78,"AMWA MOLVI",440,374,0,814,188,199,0,387,387,0,2,3,253,123,3,0,0,1,0,0,2,387
79,"LEELA PARA",639,545,1,1185,301,302,0,603,603,0,20,52,269,239,6,0,1,1,3,2,10,603
80,"LEELA PARA",669,554,0,1223,231,223,0,454,454,0,10,8,412,9,2,1,2,1,3,1,5,454
81,RAMBATTI,688,618,0,1306,331,338,0,669,669,0,25,23,326,250,6,2,4,8,2,6,17,669
82,JAMUNAHA,600,523,0,1123,351,323,0,674,674,0,17,49,309,271,5,4,2,3,3,3,8,674
83,"HUSAINI PURA",681,517,0,1198,417,251,0,668,668,0,13,40,505,86,5,0,0,4,3,3,9,668
84,"HUSAINI PURA",380,389,0,769,213,203,0,416,416,0,4,31,225,141,3,1,1,1,1,1,7,416
85,BARAIPARA,703,465,0,1168,180,186,0,366,366,0,17,5,323,11,1,1,1,2,0,2,3,366
86,BARAIPARA,612,534,0,1146,318,347,0,665,665,0,7,24,379,220,6,2,2,1,4,9,11,665
87,"BHAVANIYAIPUR RA,GADHI",856,692,0,1548,508,410,0,918,918,0,21,87,357,407,7,3,4,2,4,5,21,918
88,BANGAI,274,233,0,507,165,150,0,315,315,0,3,11,86,204,4,1,1,2,2,1,0,315
89,PARASPUR,844,698,0,1542,414,341,0,755,755,0,42,19,619,52,5,3,1,6,2,2,4,755
90,PARASPUR,603,455,0,1058,320,210,0,530,530,0,16,76,361,67,4,0,0,0,2,2,2,530
91,SMOKHAN,646,527,0,1173,411,272,0,683,683,0,25,27,344,266,5,0,0,3,0,4,9,683
92,SAMOKHAN,563,468,0,1031,282,240,0,522,522,0,8,9,414,80,1,1,0,0,3,0,6,522
93,"PARSA KHARGAMAN PUR",621,557,0,1178,370,238,0,608,608,0,17,56,235,262,4,3,3,7,4,7,10,608
94,KAGGAR,496,421,0,917,285,245,0,530,530,0,23,65,234,175,7,2,1,1,4,6,12,530
95,KAGGAR,383,326,1,710,210,200,0,410,410,0,9,34,283,71,3,1,0,0,4,1,4,410
96,RAGHUNATHPUR,605,522,0,1127,362,327,0,689,689,0,34,130,190,281,7,1,1,1,5,13,26,689
97,RAGHUNATHPUR,615,481,0,1096,322,209,0,531,531,0,21,152,127,199,2,0,1,1,6,8,14,531
98,"DHANAULI KHURD",543,437,0,980,308,249,0,557,557,0,74,44,102,311,2,1,2,2,6,6,7,557
99,"GAURA DHANAULI",623,570,0,1193,409,316,0,725,725,0,26,42,147,484,5,3,1,1,2,3,11,725
100,"GAURA DHANAULI",378,339,0,717,252,213,0,465,465,0,25,45,115,261,3,0,1,2,3,4,6,465
101,"NIBIYA BEGUMPUR",460,407,0,867,288,253,0,541,541,0,9,25,260,226,4,1,2,1,2,1,10,541
102,"NIBIYA BEGUMPUR",462,399,0,861,238,225,0,463,463,0,8,58,253,119,4,3,1,2,3,3,9,463
103,BHAUKHARA,844,761,0,1605,454,398,0,852,852,0,35,16,542,238,3,1,2,1,1,2,11,852
104,BHAUKHARA,622,619,0,1241,432,353,0,785,785,0,22,24,99,618,8,1,1,0,2,3,7,785
105,BHAUKHARA,736,634,0,1370,429,335,0,764,764,0,10,178,100,445,4,0,1,1,6,8,11,764
106,KHUDAADBHARI,651,628,0,1279,378,292,0,670,670,0,18,74,241,292,7,3,6,4,6,4,15,670
107,KHUDAADBHARI,554,448,0,1002,195,119,0,314,314,0,10,80,81,132,3,0,1,1,1,1,4,314
108,"ELASPUR AGAIYA",747,624,0,1371,497,353,0,850,850,0,27,95,258,409,8,3,2,11,3,8,26,850
109,"ELASPUR AGAIYA",678,578,0,1256,377,297,0,674,674,0,10,28,320,281,4,2,1,1,7,3,17,674
110,"JAMLUDDIN JOT",514,453,0,967,341,234,0,575,575,0,21,59,107,375,7,1,3,1,0,1,0,575
111,BADAGAWA,563,466,0,1029,424,300,0,724,724,0,17,6,192,465,4,2,1,4,7,7,19,724
112,"HUSAINPUR MRINDAGI",282,284,0,566,229,194,0,423,423,0,8,49,41,319,4,1,0,0,0,1,0,423
113,MAHROO,548,458,0,1006,373,320,0,693,693,0,12,166,54,424,5,3,3,4,1,5,16,693
114,PADRITARA,426,416,0,842,330,243,0,573,573,0,4,11,138,397,4,3,1,2,1,3,9,573
115,PADRITARA,490,434,0,924,259,226,0,485,485,0,3,39,414,15,1,0,1,3,0,2,7,485
116,CHARSNADAMAFI,743,643,0,1386,431,266,0,697,697,0,8,54,471,130,3,2,3,1,4,3,18,697
117,KARAUNDA,651,578,2,1231,398,288,0,686,686,0,11,90,57,482,8,3,4,2,4,8,17,686
118,KARAUNDA,352,288,0,640,190,119,0,309,309,0,7,59,114,108,4,0,0,2,3,3,9,309
119,"BHOPATPUR CHOWKI",570,539,0,1109,276,246,0,522,522,0,109,26,297,72,1,0,0,1,1,6,9,522
120,"BHOPATPUR CHOWKI",675,619,0,1294,366,369,0,735,735,0,99,116,469,15,5,1,1,1,10,6,12,735
121,LAUKI,447,378,0,825,266,226,0,492,492,0,25,82,266,104,3,1,0,2,2,3,4,492
122,LAUKI,487,446,0,933,278,255,0,533,533,0,37,85,321,74,2,1,1,2,0,3,7,533
123,"RAMPUR BARAI",724,642,0,1366,401,408,0,809,809,0,15,62,329,374,0,4,1,6,7,3,8,809
124,"RAMPUR BARAI",336,297,0,633,204,156,0,360,360,0,4,16,8,322,4,0,3,1,0,0,2,360
125,BHAISAHA,381,357,0,738,266,185,0,451,451,0,5,27,28,372,6,1,1,1,2,0,8,451
126,BHAISAHA,425,383,0,808,293,281,0,574,574,0,10,93,346,111,1,0,0,2,3,4,4,574
127,BABHNI,635,549,0,1184,506,383,0,889,889,0,25,18,640,176,7,2,0,4,4,6,7,889
128,JAHANCHAK,208,176,0,384,155,106,0,261,261,0,1,0,31,213,8,0,1,3,2,1,1,261
129,"MALUWA BHKURAHA",546,463,0,1009,385,326,0,711,711,0,13,58,88,513,12,1,1,2,3,6,14,711
130,"MALUWA BHAKURAHA",427,351,0,778,223,218,0,441,441,0,16,18,35,355,5,0,1,2,1,1,7,441
131,"HUSAIN PUR MOHAMMAD PUR",622,552,0,1174,338,310,0,648,648,0,19,45,408,134,2,3,27,3,1,1,5,648
132,BANGLA,552,468,0,1020,376,300,0,676,676,0,20,34,456,131,2,1,1,6,2,6,17,676
133,BANGLA,381,367,0,748,236,188,0,424,424,0,8,28,220,144,2,1,2,1,3,4,11,424
134,BANGLA,246,226,0,472,153,118,0,271,271,0,2,8,74,182,2,0,0,0,0,2,1,271
135,BANGLA,519,459,0,978,359,227,0,586,586,0,8,54,297,200,4,3,3,2,0,4,11,586
136,BANGLA,640,521,0,1161,344,219,0,563,563,0,13,51,324,166,3,2,0,0,1,1,2,563
137,"RISIYA BAZAR (DEVAPURA)",616,554,0,1170,309,235,0,544,544,0,9,7,403,114,1,0,0,1,4,1,4,544
138,"RISIYA BAZAR (DEVAPURA)",636,544,0,1180,397,372,0,769,769,0,22,21,668,44,2,3,0,1,2,1,5,769
139,"RISIYA BAZAR (INDIRA NAGAR)",511,542,0,1053,313,291,0,604,604,0,13,24,197,360,0,1,1,0,2,2,4,604
140,"RISIYA BAZAR (INDIRA NAGAR)",658,571,0,1229,326,239,0,565,565,0,5,27,375,134,3,2,0,5,3,5,6,565
141,"RISIYA BAZAR (INDIRA NAGAR)",379,349,0,728,261,212,0,473,473,0,8,5,56,397,4,0,0,1,0,1,1,473
142,"MAJHAUWA MUJHENA",221,211,0,432,155,128,0,283,283,0,3,5,37,221,6,2,1,0,0,3,5,283
143,"MAJHAUWA MUJHENA",482,407,0,889,342,289,0,631,631,0,4,45,182,363,8,3,2,3,7,3,11,631
144,BALBHADDAR,728,613,0,1341,488,280,0,768,768,0,7,29,307,407,4,1,2,1,1,0,9,768
145,BALBHADDAR,711,605,0,1316,444,329,0,773,773,0,19,78,202,429,6,6,4,3,10,8,8,773
146,BALBHADDAR,814,671,0,1485,465,350,0,815,815,0,18,21,466,277,14,1,1,2,2,6,7,815
147,BALBHADDAR,701,607,1,1309,464,269,0,733,733,0,13,67,369,255,4,1,4,3,4,8,5,733
148,BISHUNAPUR,585,512,0,1097,336,332,0,668,668,0,10,17,476,123,5,4,1,4,5,6,17,668
149,BISHUNAPUR,617,510,0,1127,456,278,0,734,734,0,11,62,72,501,16,9,3,5,5,16,34,734
150,GOKULPUR,543,423,0,966,324,252,0,576,576,0,19,41,176,312,7,0,2,5,2,2,10,576
151,GOKULPUR,398,359,0,757,232,186,0,418,418,0,7,24,88,279,6,1,2,0,1,2,8,418
152,GOKULPUR,818,692,0,1510,507,429,0,936,936,0,22,22,487,379,4,4,5,2,5,4,2,936
153,BHAGTAPUR,705,524,0,1229,384,314,0,698,698,0,13,29,286,340,5,5,0,5,4,4,7,698
154,BAHGTAPUR,446,361,0,807,226,162,0,388,388,0,7,51,98,210,1,5,1,3,3,4,5,388
155,BULBULNEWAZ,749,599,0,1348,336,276,0,612,612,0,46,60,396,80,1,1,2,3,1,6,16,612
156,"BULBUL NEWAZ",747,515,0,1262,384,251,0,635,635,0,47,81,362,123,4,1,1,1,2,4,9,635
157,BHADWARA,704,575,0,1279,366,294,0,660,660,0,22,29,338,227,7,2,5,3,3,4,20,660
158,BHADWARA,491,431,0,922,234,203,0,437,437,0,10,45,212,154,3,1,3,2,1,4,2,437
159,MAHRATHA,873,667,0,1540,434,312,0,746,746,0,15,46,510,141,7,3,2,4,5,3,10,746
160,"AMWA JAUHAR SISAI",572,493,0,1065,413,247,0,660,660,0,90,14,400,118,3,1,3,5,3,5,18,660
161,"AMWA JAUHAR SISAI",351,318,0,669,147,168,0,315,315,0,89,4,192,24,1,0,0,0,1,1,3,315
162,KARIJOR,806,672,0,1478,399,355,0,754,754,0,24,47,394,242,5,2,7,6,2,8,17,754
163,"BAHGWANPUR KATGHARA",787,654,0,1441,352,349,0,701,701,0,17,105,445,96,2,0,2,3,5,3,23,701
164,"BHAGWANPUR KATGHARA",390,322,0,712,181,150,0,331,331,0,5,130,144,40,0,0,0,1,1,2,8,331
165,BAIJNATHPUR,512,436,0,948,274,250,0,524,524,0,7,22,366,118,3,2,0,0,3,2,1,524
166,BAIJNATHPUR,548,431,0,979,259,203,0,462,462,0,11,6,395,34,1,1,1,2,2,0,9,462
167,"LAKHHIYA JADID",820,676,0,1496,354,536,0,890,890,0,13,115,415,330,5,2,0,6,0,2,2,890
168,DIHWA,632,470,0,1102,346,305,0,651,651,0,22,17,346,247,2,0,2,4,2,2,7,651
169,DIHWA,415,380,0,795,207,249,0,456,456,0,17,13,247,160,6,3,1,0,1,1,7,456
170,DIHWA,299,267,0,566,172,170,0,342,342,0,28,71,188,53,1,0,0,0,0,1,0,342
171,GONDAURA,412,371,0,783,281,251,0,532,532,0,10,14,79,407,8,1,2,1,1,2,7,532
172,"NARSINGH DIHA",837,735,1,1573,488,488,0,976,976,0,26,85,390,420,16,4,2,4,6,9,14,976
173,UTTAMPUR,471,420,0,891,260,248,0,508,508,0,2,17,267,211,3,2,1,2,0,0,3,508
174,PARSOKODI,418,352,0,770,267,275,0,542,542,0,7,17,499,5,3,0,0,0,2,0,9,542
175,BHAISAHI,437,385,0,822,397,277,0,674,674,0,13,9,74,570,1,2,2,1,0,1,1,674
176,KARNIYA,515,443,0,958,407,313,0,720,720,0,10,25,572,108,1,0,0,1,1,1,1,720
177,SHANKARPUR,556,481,0,1037,270,249,0,519,519,0,18,16,398,71,0,2,1,2,4,2,5,519
178,SHANKARPUR,477,391,0,868,260,214,0,474,474,0,17,86,128,219,3,0,1,2,2,6,10,474
179,MUKAM,603,528,0,1131,278,274,0,552,552,0,10,171,313,52,1,0,0,2,0,1,2,552
180,"NIBIYA HUSAINPUR",750,689,0,1439,523,467,0,990,990,0,6,75,845,48,3,2,0,1,4,1,5,990
181,"KAMLA JOT",633,527,0,1160,381,323,0,704,704,0,16,88,99,484,4,2,2,0,2,5,2,704
182,"RAIPUR KABULA",819,745,0,1564,543,483,0,1026,1026,0,26,52,610,292,6,2,1,7,8,5,17,1026
183,"BAHBOLIYA MAHADA",912,758,0,1670,477,516,0,993,993,0,57,28,649,240,4,2,3,1,5,1,3,993
184,"BAHBOLIYA MAHADA",789,624,0,1413,414,382,0,796,796,0,74,28,466,192,3,0,2,6,1,5,19,796
185,RAMWAPUR,632,553,0,1185,465,346,0,811,811,0,20,51,104,591,13,2,2,4,4,7,13,811
186,"PATNA GHOSIYARI",741,627,0,1368,490,365,0,855,855,0,16,132,170,465,8,6,4,2,3,10,39,855
187,"KHAIRI DIKAULI",451,383,0,834,268,263,0,531,531,0,9,17,141,327,7,2,5,2,7,3,11,531
188,UTGHANIYA,818,729,1,1548,591,525,0,1116,1116,0,71,64,543,388,11,2,4,9,6,7,11,1116
189,ACHRAURA,777,633,0,1410,515,528,0,1043,1043,0,18,28,608,370,5,4,2,3,1,2,2,1043
190,SAIDA,440,395,0,835,334,286,0,620,620,0,5,28,274,278,5,2,4,1,3,9,11,620
191,SAIDA,442,388,0,830,340,274,0,614,614,0,6,33,429,128,2,3,3,0,2,2,6,614
192,"MOHMMAD NAGAR",486,446,0,932,320,275,0,595,595,0,16,22,252,274,7,1,0,5,4,1,13,595
193,"SISAI SALOAN (RISIYA)",513,465,0,978,306,263,0,569,569,0,20,12,114,414,2,1,0,1,0,3,2,569
194,"SISAI SALOAN (RISIYA)",575,528,0,1103,302,259,0,561,561,0,7,12,152,370,8,1,0,1,2,0,8,561
195,"GAYTRI NAGAR",428,344,0,772,258,200,0,458,458,0,18,22,70,333,3,0,1,1,2,2,6,458
196,"GAYTRI NAGAR",651,526,0,1177,380,317,0,697,697,0,24,18,322,302,6,1,4,2,5,6,7,697
197,ITKAURI,292,259,0,551,233,208,0,441,441,0,6,12,372,44,2,1,1,1,0,1,1,441
198,PAREWAKHAN,428,384,0,812,247,204,0,451,451,0,8,58,277,94,1,0,1,3,1,1,7,451
199,PAREWAKHAN,440,376,0,816,236,231,0,467,467,0,13,84,285,75,0,1,0,2,1,3,3,467
200,"KATELIYABHUP SINGH",739,599,0,1338,427,425,0,852,852,0,11,6,813,11,2,2,0,2,0,3,2,852
201,MAKOLIYA,647,510,0,1157,361,300,0,661,661,0,14,106,467,63,0,2,0,0,3,2,4,661
202,MAKOLIYA,790,675,0,1465,366,340,0,706,706,0,7,30,606,27,2,3,0,2,7,4,18,706
203,"MAJHAUWA BUJURG",597,495,0,1092,374,268,0,642,642,0,41,113,156,294,6,2,0,3,5,6,16,642
204,KHAIRAHASAN,435,377,0,812,263,210,0,473,473,0,17,72,178,185,4,2,1,3,1,4,6,473
205,KHAIRAHASAN,429,427,0,856,285,234,0,519,519,0,14,96,159,225,6,1,1,1,4,2,10,519
206,"TURHANI RAJJAB",559,518,0,1077,327,268,0,595,595,0,18,55,423,70,2,1,1,6,5,4,10,595
207,"TANDA JALAL",332,238,3,573,152,197,0,349,349,0,16,111,101,102,4,0,0,4,0,5,6,349
208,JAUHARA,615,492,0,1107,449,312,0,761,761,0,14,33,479,220,3,4,2,0,1,1,4,761
209,JAUHARA,409,333,0,742,305,185,0,490,490,0,10,29,63,363,6,0,1,2,3,5,8,490
210,PHATNA,319,280,0,599,207,170,0,377,377,0,13,44,77,204,9,3,2,1,4,3,17,377
211,"BARAI BILASA",490,395,0,885,343,204,0,547,547,0,7,220,135,163,4,1,3,3,3,4,4,547
212,"SUJAT PUR",268,217,0,485,126,144,0,270,270,0,9,50,11,188,5,0,1,1,2,2,1,270
213,"UCHWA PURAINI",766,622,0,1388,373,344,0,717,717,0,6,12,329,331,8,2,2,0,3,5,19,717
214,"KATEHBAAN GIRANT",219,197,1,417,146,140,0,286,286,0,5,133,125,10,1,0,0,0,1,5,6,286
215,"NAWWA GAAV",578,461,0,1039,307,240,0,547,547,0,11,13,358,152,6,0,1,0,2,1,3,547
216,"JALAL PATTI",445,378,0,823,248,278,0,526,526,0,14,45,248,178,13,1,0,5,4,7,11,526
217,"JAGDISHPUR SHOKHA",352,307,0,659,248,169,0,417,417,0,7,16,313,65,3,1,0,0,1,3,8,417
218,"GODNI BASAHI",399,353,0,752,249,257,0,506,506,0,11,377,30,48,0,1,26,3,2,4,4,506
219,"GODNI BASAHI",519,440,0,959,261,285,0,546,546,0,14,142,36,256,3,0,56,4,3,10,22,546
220,"SAMSA TARHAR",782,632,0,1414,443,483,0,926,926,0,16,409,30,440,5,0,0,6,2,5,13,926
221,ALIYABULBUL,731,563,0,1294,422,328,0,750,750,0,12,202,409,105,2,1,0,0,3,5,11,750
222,"RISIYA JAMAL",721,579,0,1300,374,510,0,884,884,0,16,246,196,355,12,2,1,11,9,4,32,884
223,"RISIYA JAMAL",357,353,0,710,165,178,0,343,343,0,9,75,79,166,4,1,1,2,0,2,4,343
224,KAMALI,213,181,0,394,102,83,0,185,185,0,4,19,114,41,0,0,1,0,0,1,5,185
225,SHAHNEWAJPUR,687,552,0,1239,354,378,0,732,732,0,10,53,39,498,4,4,94,8,0,10,12,732
226,SHAHNEWAJPUR,722,578,0,1300,432,358,0,790,790,0,16,26,29,688,9,2,13,0,3,3,1,790
227,"BAHGWAN PUR MAFI",680,607,0,1287,488,387,0,875,875,0,10,51,392,371,8,0,4,3,3,5,28,875
228,BEGUMPUR,772,640,1,1413,481,389,0,870,870,0,11,23,286,516,4,1,2,3,3,6,15,870
229,"RASOOLI CHAK",506,407,0,913,339,236,0,575,575,0,11,15,264,259,2,1,2,2,4,3,12,575
230,RAIPUR,680,570,0,1250,382,321,0,703,703,0,12,43,218,402,8,1,5,4,1,1,8,703
231,RAIPUR,579,484,0,1063,272,203,0,475,475,0,10,14,124,304,4,1,0,1,1,4,12,475
232,RAIPUR,437,388,0,825,285,238,0,523,523,0,11,64,326,105,6,0,0,1,1,1,8,523
