"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA KUMAR OJHA","2 - BRIJ BHUSAN SHARAN SINGH","3 - MUKESH SRIVASTAV ALIAS GYANENDRA PRATAP","4 - VINOD KUMAR ALIAS  PANDIT SINGH","5 - GOVIND PRASAD","6 - CHAMAN LAL KASAUNDHAN","7 - NIRHU","8 - NIHALUDDIN AHAMAD","9 - RIZWAN AHMAD","10 - JAMEER AHMAD","11 - NISHANT KANCHAN","12 - PRAHLAD  NATH MISHRA","13 - MUNNI","14 - RAMPHER  ALIAS  CHUNTI","15 - None of the Above","Total Votes Secured"
33,RAUNDOPUR,605,582,0,1187,443,358,0,801,801,0,35,516,40,158,3,0,0,1,3,5,4,1,7,10,18,801
34,SUAGADA,267,224,0,491,169,128,0,297,297,0,24,181,2,71,1,0,1,0,0,1,0,3,2,8,3,297
35,INDOOR,714,599,0,1313,464,346,0,810,810,0,56,429,18,251,4,1,1,2,0,5,1,5,8,15,14,810
36,"BHILAURA KAZI",600,576,0,1176,430,374,0,804,804,0,55,557,17,131,1,3,3,2,2,4,1,1,6,9,12,804
37,"BHILAURA KAZI",621,533,0,1154,410,264,0,674,674,0,59,365,26,176,1,0,2,0,1,3,1,4,7,17,12,674
38,ACCHAULIYA,436,352,0,788,322,248,0,570,570,0,92,229,35,172,6,1,2,2,2,4,6,7,1,8,3,570
39,ACCHAULIYA,458,440,0,898,310,257,0,567,567,0,68,318,34,125,2,1,1,1,0,3,0,1,4,6,3,567
40,DAHAURA,504,431,0,935,364,225,0,589,589,0,27,407,23,93,3,2,0,1,1,2,2,4,6,8,10,589
41,DAHAURA,421,432,0,853,253,182,0,435,435,0,12,207,18,182,3,0,1,0,1,0,2,1,1,1,6,435
42,HOLPARA,837,723,0,1560,576,457,0,1033,1033,0,112,651,49,167,4,3,2,0,3,5,6,5,2,9,15,1033
43,SINGRO,480,402,0,882,369,237,0,606,606,0,73,320,50,112,2,1,1,1,2,2,4,2,1,16,19,606
44,BASAUNA,513,451,0,964,336,332,0,668,668,0,15,293,19,298,5,3,0,2,3,5,2,5,4,8,6,668
45,SUPANI,503,460,0,963,366,274,0,640,640,0,48,416,24,117,5,0,0,2,2,1,3,4,1,8,9,640
46,BHUPANI,527,422,0,949,360,287,0,647,647,0,65,320,17,194,4,0,1,0,1,6,1,4,4,12,18,647
47,JAGTAPUR,438,373,0,811,333,250,0,583,583,0,76,416,22,34,3,0,0,1,3,4,4,1,4,11,4,583
48,JAGTAPUR,489,415,0,904,282,214,0,496,496,0,46,346,23,62,3,3,0,0,2,2,0,0,2,5,2,496
49,SASNA,551,501,0,1052,337,240,0,577,577,0,52,253,21,205,2,1,0,1,3,6,2,3,7,9,12,577
50,"RAJAPUR KHURD",420,364,0,784,244,199,0,443,443,0,27,293,33,64,2,0,0,1,0,4,0,2,2,3,12,443
51,"BHILAURA BANSU",616,508,0,1124,426,338,0,764,764,0,38,565,17,111,2,0,0,2,1,1,3,2,1,8,13,764
52,"BHILAURA BANSU",674,580,0,1254,380,295,0,675,675,0,52,472,26,86,2,0,0,3,1,0,1,3,3,8,18,675
53,KALHAPARA,334,270,0,604,204,157,0,361,361,0,98,183,13,38,2,1,0,1,0,2,2,2,4,4,11,361
54,MACHHIYA,399,364,0,763,256,205,0,461,461,0,81,286,13,63,3,2,0,1,0,2,1,1,2,4,2,461
55,GHARUA,329,305,0,634,217,176,0,393,393,0,40,207,21,84,3,2,1,4,1,1,2,2,1,13,11,393
56,SARADPARA,451,352,0,803,320,205,0,525,525,0,30,314,32,131,1,0,1,3,1,1,0,1,1,8,1,525
57,SARADPARA,375,399,0,774,238,195,0,433,433,0,28,305,9,67,3,0,0,0,1,2,1,2,2,3,10,433
58,SARADPARA,539,432,0,971,309,206,0,515,515,0,31,311,15,138,3,1,0,0,1,1,0,2,1,9,2,515
59,PAYREPUR,406,324,0,730,257,194,0,451,451,0,79,244,33,68,2,1,0,0,0,1,3,2,2,3,13,451
60,DATAULI,323,300,0,623,263,212,0,475,475,0,53,341,12,48,3,2,0,1,1,3,2,0,2,3,4,475
61,TAKHWA,491,424,0,915,317,265,0,582,582,0,99,267,12,169,3,2,0,1,0,2,3,1,8,8,7,582
62,"TENDWA ALPI MISHRA",460,411,0,871,305,235,0,540,540,0,54,315,16,133,0,1,1,0,4,1,0,0,2,10,3,540
63,"TENDWA ALPI MISHRA",450,392,0,842,268,211,0,479,479,0,37,332,9,85,0,1,0,0,0,0,0,1,4,8,2,479
64,"TENDWA ALPI MISHRA",287,233,1,521,181,102,0,283,283,0,33,199,8,33,2,1,0,0,2,1,0,0,0,2,2,283
65,"ARAI KALA",718,649,0,1367,463,403,0,866,866,0,167,450,22,190,3,0,0,0,2,2,4,2,5,9,10,866
66,KHAPURWA,554,435,1,990,355,235,0,590,590,0,29,360,18,144,4,1,4,3,1,2,4,1,3,5,11,590
67,KHAPURWA,512,430,0,942,337,277,0,614,614,0,119,282,33,156,2,0,2,0,1,2,2,1,3,3,8,614
68,ANGANAPARA,644,488,0,1132,351,305,0,656,656,0,66,352,18,192,2,0,1,0,1,5,2,3,4,6,4,656
69,GHASIPUR,173,184,0,357,122,139,0,261,261,0,9,141,3,101,1,0,0,0,0,0,0,1,0,3,2,261
70,GHASIPUR,496,399,0,895,285,212,0,497,497,0,21,21,7,438,3,1,0,0,2,0,0,0,0,1,3,497
71,GHASIPUR,543,377,0,920,184,165,0,349,349,0,16,16,7,295,4,0,0,0,1,0,2,1,1,1,5,349
72,GHASIPUR,545,431,0,976,305,257,0,562,562,0,12,37,8,485,9,0,0,0,1,1,2,1,0,1,5,562
73,GHASIPUR,528,338,0,866,233,172,0,405,405,0,4,87,7,299,0,0,0,0,1,1,0,0,1,2,3,405
74,KHALIDPUR,820,596,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,KHALIDPUR,451,407,0,858,174,189,0,363,363,0,16,116,6,214,4,0,0,0,0,1,0,2,0,1,3,363
76,KHALIDPUR,530,403,0,933,248,198,0,446,446,0,9,27,2,390,11,1,1,1,0,0,1,0,0,1,2,446
77,PARSHURAMPUR,772,669,0,1441,479,458,0,937,937,0,38,77,4,797,9,1,0,1,0,0,2,1,2,1,4,937
78,MADHAUPUR,463,382,0,845,323,268,0,591,591,0,43,256,27,236,5,0,0,0,4,1,1,3,3,2,10,591
79,MADHAUPUR,433,377,0,810,226,183,0,409,409,0,23,133,7,225,5,1,0,0,0,0,0,2,2,3,8,409
80,MANJHAURA,568,459,0,1027,460,299,0,759,759,0,32,608,35,62,1,1,0,3,2,0,2,0,3,6,4,759
81,MUSEPATTI,619,568,0,1187,352,344,0,696,696,0,18,254,11,368,9,3,0,2,3,4,4,4,2,10,4,696
82,SIDDHA,378,279,0,657,260,202,0,462,462,0,100,299,20,22,1,0,0,0,1,1,0,2,1,6,9,462
83,MOHAMMADPUR,328,272,0,600,267,227,0,494,494,0,8,269,5,195,4,2,0,0,0,1,1,0,2,5,2,494
84,"SHIVRAJ PUR",387,325,0,712,303,216,0,519,519,0,32,372,10,95,0,1,0,2,1,3,0,0,1,1,1,519
85,"SHIVRAJ PUR",484,446,1,931,312,262,0,574,574,0,16,406,22,109,8,0,0,0,0,0,1,1,4,3,4,574
86,AKHTIYARAPUR,462,408,0,870,329,247,0,576,576,0,14,244,4,302,3,0,1,0,0,0,1,0,0,3,4,576
87,BABHANDEEHA,420,413,0,833,258,287,0,545,545,0,63,56,17,378,11,1,1,0,0,4,1,1,3,4,5,545
88,"SAHBAPUR MAHIPAL SINGH",483,447,0,930,277,288,0,565,565,0,167,81,10,272,5,4,1,1,3,5,2,1,2,4,7,565
89,"SAHBAPUR MAHIPAL SINGH",507,460,1,968,235,226,0,461,461,0,129,127,5,169,5,0,2,3,0,0,2,3,3,7,6,461
90,"AKBARPUR BUJURG",736,709,0,1445,401,360,0,761,761,0,53,207,12,450,13,1,2,1,2,2,1,2,4,3,8,761
91,DEWLAKHA,608,539,0,1147,356,317,0,673,673,0,109,383,10,147,6,0,0,0,3,2,0,1,1,5,6,673
92,KUNDASPARA,790,600,0,1390,312,340,0,652,652,0,58,109,10,438,7,2,0,2,2,1,2,2,2,7,10,652
93,KUNDASPARA,465,372,1,838,182,255,0,437,437,0,31,88,4,282,4,1,0,3,1,3,3,0,3,4,10,437
94,KUNDASPARA,844,707,0,1551,372,400,0,772,772,0,44,178,20,498,4,0,0,7,3,2,3,3,2,5,3,772
95,SARAYKAJI,551,436,0,987,302,303,0,605,605,0,55,30,33,460,9,1,0,1,2,1,2,2,0,4,5,605
96,SARAYKAJI,558,357,0,915,254,219,0,473,473,0,63,19,81,290,5,0,1,2,0,3,1,1,1,4,2,473
97,SARAYKAJI,453,448,0,901,187,217,0,404,404,0,46,18,51,268,2,2,1,1,0,1,2,2,1,3,6,404
98,GAJADHARPUR,661,535,0,1196,408,360,0,768,768,0,41,337,13,336,3,1,1,0,1,6,3,2,5,7,12,768
99,GAJADHARPUR,582,462,1,1045,363,292,0,655,655,0,32,371,11,225,2,1,0,1,1,1,1,0,3,4,2,655
100,"TENDWA UZAR",492,378,0,870,413,149,0,562,562,0,16,224,56,252,2,1,2,0,0,0,0,3,1,4,1,562
101,BENDAURA,478,425,0,903,322,258,0,580,580,0,62,222,17,251,3,0,1,0,0,2,3,3,3,2,11,580
102,AJIJPUR,634,558,0,1192,370,371,0,741,741,0,60,314,15,320,4,0,0,4,1,4,2,1,1,6,9,741
103,SARAYJAGNA,623,616,0,1239,370,386,0,756,756,0,42,72,10,605,9,0,0,1,1,3,0,3,3,1,6,756
104,SARAYJAGNA,274,291,0,565,159,166,0,325,325,0,64,117,3,129,0,1,0,1,0,2,1,0,0,2,5,325
105,GHARUA,174,169,0,343,100,145,0,245,245,0,7,89,8,131,0,1,0,0,0,2,0,0,0,5,2,245
106,"BHILAURA BASANTI",431,388,0,819,313,217,0,530,530,0,70,247,17,180,3,1,1,0,4,1,2,1,0,3,0,530
107,KANDAUSA,445,405,0,850,188,169,0,357,357,0,54,21,6,264,3,1,1,0,1,2,1,1,0,2,0,357
108,KANDAUSA,574,504,0,1078,169,173,0,342,342,0,35,85,11,186,4,0,0,0,4,2,1,1,5,3,5,342
109,KANDAUSA,284,222,0,506,82,101,0,183,183,0,30,22,0,114,3,0,0,0,0,1,0,0,1,3,9,183
110,DHAKHERWA,585,475,0,1060,311,278,0,589,589,0,69,232,19,245,4,2,1,4,1,1,1,2,1,6,1,589
111,"KOTHWAL KHURD",269,256,0,525,179,192,0,371,371,0,158,99,6,92,2,0,0,1,0,1,0,4,0,5,3,371
112,"SIRAULA KALAN",303,241,0,544,202,182,0,384,384,0,22,300,14,23,2,0,0,4,1,0,2,3,2,6,5,384
113,"RASOOLPOOR DAREHATA",155,125,0,280,101,84,0,185,185,0,25,57,8,75,0,0,0,0,0,0,2,2,3,5,8,185
114,"RASOOLPOOR DAREHATA",251,156,0,407,95,63,0,158,158,0,51,35,3,64,2,0,0,1,0,1,0,1,0,0,0,158
115,"RASOOLPOOR DAREHATA",693,554,0,1247,335,308,0,643,643,0,197,135,18,256,5,1,1,1,2,2,2,1,4,9,9,643
116,"RASOOLPOOR DAREHATA",409,403,1,813,133,175,0,308,308,0,112,45,14,120,2,0,1,0,0,1,0,2,2,1,8,308
117,"KOTHWAL KALAN",758,614,0,1372,346,468,0,814,814,0,45,443,14,271,6,2,1,1,0,2,2,6,5,9,7,814
118,"ALLIPUR DARAUNA",437,356,0,793,247,224,0,471,471,0,39,186,11,214,6,0,0,0,1,1,1,3,3,1,5,471
119,"ALLIPUR DARAUNA",397,359,0,756,201,199,0,400,400,0,13,134,8,232,1,0,2,1,0,0,1,4,1,2,1,400
120,NANDWAL,574,465,0,1039,175,434,0,609,609,0,35,289,23,212,7,0,0,2,2,7,3,7,3,11,8,609
121,NANDWAL,508,434,0,942,259,200,0,459,459,0,34,213,7,193,1,0,0,0,0,1,0,0,2,4,4,459
122,NANDWAL,500,446,0,946,269,286,0,555,555,0,84,250,10,178,0,1,1,0,0,7,1,4,4,7,8,555
123,DIKAULIYA,720,703,0,1423,549,345,0,894,894,0,144,240,38,454,5,0,0,0,1,0,1,1,3,4,3,894
124,DIKAULIYA,481,431,0,912,273,221,0,494,494,0,82,300,14,70,0,1,0,0,1,0,2,1,5,6,12,494
125,BELAHARI,552,451,0,1003,258,259,0,517,517,0,51,134,23,302,2,1,0,2,1,0,1,0,0,0,0,517
126,BELAHARI,501,501,0,1002,170,290,0,460,460,0,32,104,18,290,6,1,0,1,0,0,0,2,0,2,4,460
127,BELAHARI,531,453,0,984,313,241,0,554,554,0,106,149,14,265,2,1,0,1,2,1,2,3,2,2,4,554
128,"SARAY ALI",322,306,0,628,216,184,0,400,400,0,33,248,10,91,3,1,0,1,0,1,1,1,2,6,2,400
129,MAJGAWANA,293,238,0,531,220,142,0,362,362,0,23,152,3,168,5,0,0,2,1,3,2,0,0,1,2,362
130,SAUGAHNA,426,337,0,763,187,216,0,403,403,0,52,25,6,313,1,0,0,0,0,0,1,0,0,2,3,403
131,SAUGAHNA,428,423,0,851,188,260,0,448,448,0,28,170,11,219,1,0,0,1,1,1,1,1,12,1,1,448
132,"MANJHARA TAUKALI",522,447,0,969,337,265,0,602,602,0,185,77,18,288,4,1,0,2,4,2,1,2,3,11,4,602
133,"MANJHARA TAUKALI",513,477,0,990,299,225,0,524,524,0,105,150,24,232,2,1,1,1,2,3,0,0,2,1,0,524
134,"MANJHARA TAUKALI",559,437,0,996,393,290,0,683,683,0,20,322,27,263,5,1,2,1,1,3,0,1,6,18,13,683
135,"MANJHARA TAUKALI",536,509,0,1045,353,301,0,654,654,0,33,270,12,305,6,1,1,4,2,3,2,2,4,2,7,654
136,"MANJHARA TAUKALI",536,470,0,1006,381,276,0,657,657,0,127,160,9,320,2,1,2,3,2,4,2,5,2,8,10,657
137,"MANJHARA TAUKALI",381,395,0,776,237,237,0,474,474,0,124,97,8,215,3,2,0,4,2,0,4,2,3,1,9,474
138,"MANJHARA TAUKALI",614,472,0,1086,408,295,0,703,703,0,42,413,24,151,3,3,1,5,2,7,5,6,8,15,18,703
139,"MANJHARA TAUKALI",496,471,0,967,367,218,0,585,585,0,31,232,14,259,5,3,1,3,1,2,5,5,5,6,13,585
140,"MANJHARA TAUKALI",469,369,0,838,387,131,0,518,518,0,25,274,25,154,3,2,1,2,1,4,3,5,4,8,7,518
141,"MANJHARA TAUKALI",636,594,0,1230,317,296,0,613,613,0,69,328,12,176,5,2,0,1,2,3,3,2,0,7,3,613
142,"MANJHARA TAUKALI",477,341,0,818,236,188,0,424,424,0,31,281,11,85,2,2,0,4,1,1,0,2,1,3,0,424
143,"MANJHARA TAUKALI",422,379,0,801,156,120,0,276,276,0,72,156,6,26,0,0,1,0,2,1,1,0,2,2,7,276
144,METHAURA,346,349,0,695,244,230,0,474,474,0,58,206,9,168,0,0,1,2,4,1,2,8,3,6,6,474
145,MUSEPUR,440,370,0,810,259,196,0,455,455,0,40,200,16,167,1,4,1,0,2,1,2,0,5,9,7,455
146,KANDAULI,461,405,0,866,331,238,0,569,569,0,74,252,13,199,3,2,2,2,1,4,2,2,4,5,4,569
147,KOHALI,554,483,0,1037,320,245,0,565,565,0,24,268,28,219,7,0,0,0,0,1,1,1,3,5,8,565
148,"SAHBAPUR PACHALKHI",473,396,0,869,351,273,0,624,624,0,145,314,12,131,0,0,0,0,2,4,3,1,2,5,5,624
149,"BHAKHRAULI MUNGESHPUR",713,619,0,1332,405,370,0,775,775,0,62,312,19,330,5,1,0,0,2,2,4,6,8,12,12,775
150,"BHAKHRAULI KANPURWA",858,730,0,1588,518,390,0,908,908,0,154,636,30,36,4,1,2,0,0,1,1,4,5,12,22,908
151,BAMBHIWA,239,244,0,483,173,185,0,358,358,0,9,245,13,79,1,1,1,0,1,1,0,0,1,4,2,358
152,NAKUDA,742,691,0,1433,517,430,0,947,947,0,115,573,73,125,3,2,0,1,2,6,5,3,6,16,17,947
153,BHAKLA,564,483,0,1047,337,224,0,561,561,0,97,313,28,99,4,0,1,1,2,1,1,1,2,10,1,561
154,KUNDASAR,459,408,0,867,292,244,0,536,536,0,39,321,13,132,3,1,0,0,2,4,2,2,2,12,3,536
155,KUNDASAR,468,424,0,892,221,205,0,426,426,0,12,237,33,128,1,1,0,0,0,1,1,3,1,3,5,426
156,KUNDASAR,465,416,0,881,231,197,0,428,428,0,86,174,26,127,1,2,1,0,2,0,0,1,0,4,4,428
157,BADRAULI,655,547,0,1202,327,219,0,546,546,0,133,234,26,135,0,1,0,0,1,2,2,4,2,3,3,546
158,BADRAULI,571,512,0,1083,340,264,0,604,604,0,55,318,30,174,2,1,1,1,3,1,3,1,0,6,8,604
159,BADRAULI,478,351,0,829,307,174,0,481,481,0,59,37,13,336,4,2,2,0,1,3,5,4,3,3,9,481
160,BADRAULI,852,723,0,1575,460,271,0,731,731,0,104,201,18,346,12,2,0,3,4,3,2,6,6,12,12,731
161,KUDAUNI,520,440,0,960,319,300,0,619,619,0,50,74,61,402,6,1,1,1,1,2,1,4,3,4,8,619
162,KUDAUNI,548,492,0,1040,265,300,0,565,565,0,49,29,44,429,1,0,0,1,3,2,0,0,1,1,5,565
163,DEWLAKHA,447,361,0,808,323,266,0,589,589,0,69,388,16,92,0,0,1,1,1,1,0,1,2,15,2,589
164,DEWLAKHA,309,352,0,661,189,223,0,412,412,0,34,263,7,79,1,0,1,0,0,3,1,5,2,7,9,412
165,"KADSAR BETAURA",782,772,0,1554,486,480,0,966,966,0,103,432,20,359,10,2,0,0,0,4,2,4,5,13,12,966
166,"KADSAR BETAURA",428,400,0,828,250,230,0,480,480,0,34,250,21,157,1,0,2,0,1,1,1,0,2,8,2,480
167,"BARKHURDWARA PUR",561,507,0,1068,343,358,0,701,701,0,66,103,14,488,6,0,1,1,3,3,0,2,2,6,6,701
168,GUTHIYA,354,299,0,653,244,191,0,435,435,0,47,292,8,73,1,0,0,0,0,0,0,0,5,3,6,435
169,"KASEHRI BUJURG",632,563,0,1195,394,355,0,749,749,0,82,398,18,227,2,1,0,1,1,3,1,3,2,7,3,749
170,VIJAYPUR,614,596,0,1210,394,355,0,749,749,0,82,398,18,227,2,1,0,1,1,3,1,3,2,7,3,749
171,CHAKPIHANI,690,625,0,1315,497,369,0,866,866,0,38,527,20,236,2,2,2,2,3,5,1,4,3,8,13,866
172,"KASEHRI KHURD",261,270,0,531,238,183,0,421,421,0,42,275,4,88,2,1,0,0,0,1,0,2,0,2,4,421
173,SATHA,737,707,0,1444,460,385,0,845,845,0,49,187,51,498,21,6,3,2,1,5,2,3,1,6,10,845
174,JHALLA,519,477,0,996,295,300,0,595,595,0,13,97,7,467,6,0,0,1,2,1,0,0,0,0,1,595
175,VAIRIMAHESPUR,553,445,0,998,369,330,0,699,699,0,8,127,8,527,9,3,1,0,0,2,3,1,3,4,3,699
176,VAIRIMAHESPUR,446,466,0,912,262,329,0,591,591,0,10,223,11,326,3,1,2,0,0,2,6,0,3,1,3,591
177,BASHIYAJALALAPUR,228,204,0,432,75,116,0,191,191,0,7,11,121,42,2,0,1,0,1,0,2,0,2,1,1,191
178,BASHIYAJALALAPUR,239,173,0,412,95,114,0,209,209,0,14,4,13,171,0,0,0,0,0,1,2,0,0,1,3,209
179,KAHRAI,793,713,0,1506,482,456,0,938,938,0,64,299,22,530,1,1,1,1,3,1,3,0,3,5,4,938
180,TAWKKALPUR,292,246,0,538,169,168,0,337,337,0,53,86,26,160,0,0,0,1,3,1,0,0,0,4,3,337
181,"HATINSA SAMSPUR",574,524,0,1098,329,358,0,687,687,0,57,217,61,313,9,0,1,1,0,3,5,8,3,4,5,687
182,PACHAMBHA,612,554,0,1166,322,322,0,644,644,0,78,91,45,405,2,1,2,0,0,1,1,3,2,7,6,644
183,BAIRAKAZI,518,416,0,934,242,228,0,470,470,0,22,173,21,215,4,2,0,2,5,4,3,5,2,8,4,470
184,BAIRAKAZI,506,393,0,899,217,216,0,433,433,0,12,137,23,244,5,0,0,1,0,1,0,2,0,3,5,433
185,BAIRAKAZI,492,422,0,914,192,193,0,385,385,0,40,94,32,195,6,3,1,0,2,0,2,3,0,1,6,385
186,"AINI HATANSI",549,459,0,1008,290,243,0,533,533,0,30,219,32,227,1,0,0,0,1,2,1,1,7,9,3,533
187,"AINI HATANSI",504,490,0,994,168,252,0,420,420,0,28,78,17,290,3,0,0,0,0,0,0,1,2,0,1,420
188,"AINI HATANSI",452,302,0,754,192,157,0,349,349,0,28,0,11,297,4,0,1,0,0,2,0,1,1,1,3,349
189,"AINI HATANSI",411,424,0,835,126,254,0,380,380,0,26,4,21,316,3,1,0,1,0,1,2,1,2,2,0,380
190,"AINI HATANSI",714,598,0,1312,271,288,0,559,559,0,17,17,41,467,1,2,0,1,0,3,2,4,1,2,1,559
191,"DIHWASHERBAHADUR SINGH",704,594,0,1298,305,222,0,527,527,0,26,188,11,294,0,0,0,1,0,2,0,0,1,0,4,527
192,"DIHWASHERBAHADUR SINGH",563,500,0,1063,205,174,0,379,379,0,7,185,5,168,0,1,0,0,2,0,0,1,6,0,4,379
193,"DIHWASHERBAHADUR SINGH",724,606,0,1330,412,318,0,730,730,0,33,405,15,241,2,2,0,1,7,2,2,2,4,8,6,730
194,"DIHWASHERBAHADUR SINGH",556,450,0,1006,270,190,0,460,460,0,24,224,19,184,2,0,0,0,1,1,1,1,2,1,0,460
195,PAWANA,467,411,0,878,295,310,0,605,605,0,22,226,23,307,2,2,0,1,4,1,3,5,3,1,5,605
196,PAWANA,465,400,1,866,282,269,0,551,551,0,46,243,20,231,4,0,0,1,0,1,2,0,0,3,0,551
197,JAMALUDDEENPUR,207,183,0,390,185,137,0,322,322,0,24,277,6,8,0,0,0,1,1,0,0,0,1,0,4,322
198,NAUGOIYAN,510,448,0,958,299,250,0,549,549,0,26,295,10,192,5,1,0,1,0,4,1,4,0,5,5,549
199,NAUGOIYAN,695,568,0,1263,338,324,0,662,662,0,17,97,30,477,13,2,0,1,2,1,1,2,5,6,8,662
200,NAUGOIYAN,538,476,0,1014,318,305,0,623,623,0,58,260,14,263,3,0,1,0,2,4,0,2,4,8,4,623
201,NAUGOIYAN,495,420,0,915,310,224,0,534,534,0,61,261,8,187,4,1,0,0,1,1,1,0,2,6,1,534
202,REWALI,774,664,0,1438,404,399,0,803,803,0,98,302,20,290,9,1,2,2,33,4,4,4,7,13,14,803
203,CHILWA,338,327,0,665,231,204,0,435,435,0,46,305,16,57,0,1,1,1,0,1,0,1,0,6,0,435
204,DANAWAL,218,189,0,407,159,147,0,306,306,0,53,102,5,119,2,3,0,2,1,6,2,3,3,2,3,306
