"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR RATANJIT PRATAP NARAIN SINGH","2 - RAJESH PANDEY URF GUDDU","3 - RADHE SHYAM SINGH","4 - DR. SANGAM MISHRA","5 - AKHAND","6 - AMEERUDDIN","7 - ARVIND","8 - KASHEEM ALI","9 - GOBARDHAN PRASAD","10 - JAHID","11 - BACHCHOOLAAL","12 - MARKANDE","13 - RAMDHANEE","14 - RAMPRATAP","15 - None of the Above","Total Votes Secured"
137,"PRIMARY SCHOOL BAHADURGANJ",314,246,0,560,189,152,0,341,341,0,118,177,30,1,0,1,2,0,1,1,1,4,1,2,2,341
138,"PRIMARY SCHOOL SIRSIYAN",700,589,0,1289,383,307,0,690,690,0,52,568,24,33,1,1,1,0,0,1,1,1,2,2,3,690
139,"PANCHAYAT BHAWAN BADHARA",558,394,1,953,337,265,0,602,601,0,89,427,12,56,1,0,3,1,3,1,0,0,2,5,2,602
140,"PRIMARY SCHOOL BADHARAGANJ",446,389,0,835,268,270,0,538,538,0,102,297,17,90,2,2,3,17,0,1,0,1,1,2,3,538
141,"JUNIOR HIGH SCHOOL BADHARAGANJ ROOM NU. 1",681,569,0,1250,326,328,0,654,654,0,397,41,63,50,2,2,1,91,1,0,0,0,1,0,5,654
142,"JUNIOR HIGH SCHOOL BADHARAGANJ ROOM NU. 2",420,359,0,779,216,213,0,429,429,0,253,10,33,69,0,1,1,58,0,0,0,1,1,0,2,429
143,"PRIMARY SCHOOL BADHARAGANJ",448,345,0,793,212,222,0,434,434,0,289,6,33,22,0,0,2,75,0,0,2,0,1,1,3,434
144,"PRIMARY SCHOOL KHADDA BUJURG ROOM NU. 1",366,314,0,680,203,199,0,402,402,0,88,150,8,139,1,0,3,0,0,0,1,0,7,1,4,402
145,"PRIMARY SCHOOL KHADDA BUJURG ROOM NU. 2",763,573,0,1336,375,357,0,732,722,0,331,327,45,5,1,2,1,9,1,0,0,2,2,3,3,732
146,"PRIMARY SCHOOL MAILA ROOM NU. 1",691,591,0,1282,326,387,0,713,713,0,350,207,30,96,3,2,1,7,0,1,1,1,4,0,10,713
147,"PRIMARY SCHOOL MAILA ROOM NU. 2",717,568,0,1285,373,301,0,674,665,0,334,197,33,87,0,1,4,9,0,1,1,0,2,1,4,674
148,"PRIMARY SCHOOL JUNGLE JUGDISHPUR ROOM NU. 1",565,453,0,1018,328,273,0,601,600,0,213,214,44,92,1,3,4,3,1,3,2,3,2,5,11,601
149,"PRIMARY SCHOOL JUNGLE JUGDISHPUR ROOM NU. 2",405,295,0,700,201,164,0,365,365,0,146,75,64,60,0,5,3,1,2,0,0,3,2,2,2,365
150,"PRIMARY SCHOOL JUNGLE JUGDISHPUR ROOM NU. 3",881,675,0,1556,483,335,0,818,818,0,375,217,16,184,2,2,3,13,0,0,0,1,2,0,3,818
151,"PRIMARY SCHOOL JUNGLE CHAURIYA ROOM NU. 1",377,265,0,642,175,110,0,285,285,0,131,38,99,2,0,0,0,7,0,1,0,1,0,1,5,285
152,"PRIMARY SCHOOL JUNGLE CHAURIYA ROOM NU. 2",713,549,0,1262,540,297,0,837,800,0,322,268,181,21,4,3,4,2,1,4,3,3,5,7,9,837
