"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
34,"PRATHMIK VIDYALAYA MOHABBATGANJ ROOM NO.1",474,358,0,832,289,163,0,452,16,0,30,16,202,174,2,1,0,1,0,3,2,1,0,6,0,5,0,1,2,2,0,0,1,3,452
35,"PRATHMIK VIDYALAYA MOHABBATGANJ ROOM NO. 2",419,383,0,802,255,161,0,416,390,0,13,7,277,85,3,1,1,0,1,4,3,2,1,1,4,4,0,0,0,4,1,2,0,2,416
36,"PRATHMIK VIDYALAYA MOHABBATGANJ ROOM NO.3",661,522,0,1183,487,292,0,779,779,0,97,14,478,134,3,3,1,2,1,2,2,2,4,5,4,7,2,1,0,7,0,2,0,8,779
37,"PRATHMIK VIDYALAYA DABHAV ROOM NO. 1",672,551,0,1223,409,294,0,703,687,0,214,86,226,133,3,2,0,2,6,2,2,3,1,2,5,11,2,1,0,1,0,1,0,0,703
38,"PRATHMIK VIDYALAYA DABHAV ROOM NO.2",748,592,0,1340,459,349,0,808,801,0,150,46,422,108,6,6,1,0,7,17,3,2,3,5,3,8,4,1,2,4,2,0,2,6,808
39,"PRATHMIK VIDYALAYA CHAKA ROOM NO 1",600,468,0,1068,370,238,0,608,592,0,53,31,290,215,2,4,1,0,0,1,0,0,2,1,1,1,2,0,1,1,1,1,0,0,608
40,"PRATHMIK VIDYALAYA CHAKA ROOM NO 2",487,370,0,857,293,180,0,473,461,0,57,11,228,154,1,0,1,0,2,1,1,0,0,0,2,2,1,0,2,4,1,1,1,3,473
41,"PRATHMIK VIDYALAYA CHAKA ROOM NO 3",673,542,0,1215,362,260,0,622,620,0,135,37,193,210,8,6,1,1,0,4,1,1,0,0,5,4,4,1,1,3,2,0,1,4,622
42,"PRATHMIK VIDYALAYA CHAKA ROOM NO 4",634,493,0,1127,329,238,0,567,520,0,214,31,147,130,1,5,0,1,2,12,0,0,1,2,2,7,4,0,3,0,0,1,0,4,567
43,"PRATHMIK VIDYALAYA CHHIVAKI ROOM NO. 1",411,302,0,713,196,122,0,318,300,0,106,27,118,48,1,3,0,0,0,1,1,1,0,0,1,4,3,0,0,0,0,0,0,4,318
