"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
62,"PRIMARY  SCHOOL SAMADPUR",484,370,0,854,202,224,0,426,426,0,29,142,182,47,5,0,1,3,0,4,0,5,8,426
63,"PRIMARY  SCHOOL ALAWALPUR",484,414,0,898,223,233,0,456,456,0,181,69,183,11,2,1,0,2,0,4,0,2,1,456
64,"PRIMARY SCHOOL DURIYAPAR UTTAR",434,363,0,797,225,166,0,391,391,0,128,36,176,47,0,0,0,0,0,0,2,0,2,391
65,"PRIMARY SCHOOL DURIYAPAR DAKSHIN",799,629,0,1428,396,365,0,761,759,0,283,50,258,143,3,0,1,0,2,3,1,3,14,761
66,"P.M.V DURIYAPAR",611,478,0,1089,230,220,0,450,450,0,44,137,175,73,3,0,1,2,2,2,1,5,5,450
67,"R. U. M.SCHOOL RUJADARGAH PURAV",791,645,0,1436,308,331,0,639,639,0,38,177,339,58,1,1,3,2,1,2,0,1,16,639
68,"R.U. M. SCHOOL RUJADARGAH PASHCHIM",371,291,0,662,127,155,0,282,282,0,17,31,154,74,0,0,1,1,0,0,2,0,2,282
69,"PRIMARY  SCHOOL PAHADPUR",746,541,0,1287,343,285,0,628,627,0,60,251,226,64,1,0,2,12,0,5,2,2,3,628
70,"PRIMARY  SCHOOL BANKAT",643,538,0,1181,279,313,0,592,581,0,170,171,216,18,2,0,1,0,1,1,2,1,9,592
71,"PRIMARY  SCHOOL RAIPUR",389,371,0,760,208,206,0,414,414,0,180,69,136,10,1,2,1,2,1,0,2,2,8,414
72,"I. P. SCHOOL DEWRAJPAR BUJURG UTTAR",579,468,0,1047,244,276,0,520,520,0,172,142,161,27,2,0,0,1,0,5,2,3,5,520
73,"I. P. SCHOOL DEWRAJPAR BUJURG DAKSHIN",735,591,0,1326,340,340,0,680,670,0,146,284,196,33,3,1,3,2,0,3,1,1,7,680
74,"PRIMARY  SCHOOL GOLIPAR",490,392,0,882,267,195,0,462,461,0,164,221,47,12,3,0,0,5,0,1,1,3,5,462
75,"PRIMARY  SCHOOL VIRAI KHURD",783,683,0,1466,378,362,0,740,690,0,238,136,304,22,2,1,2,0,1,8,4,4,18,740
76,"PRIMARY  SCHOOL DEVAPAR PURAV",406,356,0,762,196,171,0,367,367,0,137,110,78,31,0,1,0,2,1,2,1,0,4,367
77,"PRIMARY  SCHOOL DEVAPAR PASHCHIM",628,444,0,1072,274,205,0,479,478,0,166,30,194,72,0,0,1,6,1,1,3,2,3,479
78,"PRIMARY  SCHOOL BARPAR MAFI",718,522,0,1240,292,265,0,557,557,0,265,137,81,35,2,1,2,1,5,5,3,9,11,557
79,"PRIMARY  SCHOOL NAGWABHAGWAN",664,510,0,1174,357,234,0,591,591,0,128,235,183,19,0,2,1,3,1,5,2,5,7,591
80,"PRIMARY  SCHOOL BADYA BUJURG",711,545,0,1256,319,322,0,641,641,0,230,58,137,186,1,0,0,5,2,7,5,0,10,641
81,"PRIMARY  SCHOOL MOHIUDDINPUR",437,361,0,798,222,197,0,419,419,0,32,233,143,4,1,0,0,0,0,1,0,0,5,419
82,"PRIMARY  SCHOOL MATH BAHTADI",310,254,0,564,166,131,0,297,297,0,86,122,66,5,1,1,0,1,3,4,1,0,7,297
83,"PRIMARY  SCHOOL MURARPUR",563,432,0,995,200,282,0,482,482,0,140,49,259,17,1,1,0,1,2,1,5,0,6,482
84,"PRIMARY  SCHOOL BHAWANIPUR",392,323,1,716,203,193,0,396,396,0,129,58,180,12,0,0,1,0,0,6,5,0,5,396
85,"PRIMARY  SCHOOL JEEGANI BUJURG UTTAR",465,382,0,847,172,195,0,367,367,0,304,8,33,18,1,1,0,0,0,2,0,0,0,367
86,"PRIMARY  SCHOOL JEEGANI BUJURG DAKSHIN",534,452,0,986,252,249,0,501,501,0,75,37,334,10,1,1,1,1,6,6,5,5,19,501
87,"PRIMARY  SCHOOL RAMA LAKHNA",366,261,0,627,154,171,0,325,325,0,150,11,100,50,2,0,0,4,0,2,2,1,3,325
88,"PRIMARY  SCHOOL AHIRAULI",615,466,0,1081,263,198,0,461,459,0,157,72,187,19,0,1,1,4,3,7,2,2,6,461
89,"PRIMARY  SCHOOL BHAWAJEETPUR",396,324,0,720,164,158,0,322,322,0,78,63,162,4,1,1,1,3,0,2,2,0,5,322
90,"PRIMARY  SCHOOL HARIHARPUR",271,230,0,501,112,116,0,228,228,0,147,6,68,4,1,0,0,0,0,1,0,0,1,228
91,"PRIMARY  SCHOOL RATANPUR",574,472,1,1047,281,287,0,568,568,0,186,115,214,20,0,1,1,2,4,7,3,3,12,568
92,"PRIMARY  SCHOOL BANKATI",384,282,0,666,129,147,0,276,276,0,91,33,125,14,3,0,1,1,0,5,1,1,1,276
93,"PRIMARY SCHOOL BARA NAGER PASHCHIM",571,463,0,1034,230,206,0,436,432,0,266,25,59,33,1,2,5,7,0,11,5,6,16,436
94,"PRIMARY  SCHOOL BARANAGER PURAV",657,475,0,1132,302,269,0,571,571,0,195,94,206,34,6,2,2,2,4,8,4,3,11,571
95,"PRIMARY  SCHOOL DURUI",658,499,0,1157,324,310,0,634,630,0,166,80,332,33,2,1,2,2,2,4,2,0,8,634
96,"PRIMARY  SCHOOL DADIYA",413,333,1,747,212,215,0,427,427,0,78,49,280,11,1,0,1,0,1,2,1,1,2,427
97,"PRIMARY  SCHOOL MANNIPUR",363,320,0,683,146,162,0,308,308,0,162,28,100,4,0,2,0,1,1,4,0,3,3,308
98,"PRIMARY  SCHOOL NAWALI",568,476,0,1044,265,242,0,507,507,0,251,30,183,26,1,0,1,0,0,2,3,2,8,507
99,"P. M V MANNIPUR SAHDAULI",529,403,0,932,265,186,0,451,449,0,392,1,34,16,0,0,0,1,0,0,2,0,5,451
100,"PRIMARY  SCHOOL UNAULLI",630,595,0,1225,322,339,0,661,659,0,94,15,453,79,0,2,1,4,2,1,2,4,4,661
101,"PRIMARY  SCHOOL KAUDIYA",462,363,0,825,201,164,0,365,365,0,128,144,69,14,0,0,2,2,1,1,1,1,2,365
102,"A. N.TIRAGAW",359,278,0,637,160,161,0,321,321,0,62,134,101,17,1,0,0,0,1,2,1,1,1,321
103,"PRIMARY  SCHOOL SARSADA BUJURG",359,285,0,644,168,181,0,349,330,0,113,60,130,38,1,0,1,0,0,1,2,2,1,349
104,"PRIMARY  SCHOOL TARYAPAR",268,219,0,487,122,112,0,234,234,0,87,16,120,6,1,0,0,1,1,0,1,1,0,234
105,"PRIMARY  SCHOOL MATHIYA",796,638,1,1435,315,297,0,612,602,0,370,36,101,68,4,2,2,9,2,6,2,2,8,612
106,"PRIMARY  SCHOOL KHOPAPAR",529,429,0,958,238,192,0,430,430,0,139,80,149,39,4,2,0,4,0,3,1,2,7,430
107,"PRIMARY SCHOOL BARIPAR RAMRUP",669,617,0,1286,282,280,0,562,562,0,133,256,85,41,1,1,4,5,0,6,5,7,18,562
108,"PRIMARY SCHOOL BHWAJITPUR",517,473,0,990,196,205,0,401,401,0,159,158,37,28,1,0,0,0,1,9,0,2,6,401
109,"PRIMARY SCHOOL BANWARPAR",560,449,0,1009,255,226,0,481,481,0,240,125,43,51,2,0,1,6,1,3,1,4,4,481
110,"PRIMARY SCHOOL  DEIDIHA",404,333,0,737,213,160,0,373,373,0,146,29,141,37,3,0,2,3,2,1,2,2,5,373
111,"PRIMARY SCHOOL  SISAI",468,425,0,893,250,201,0,451,451,0,233,8,177,18,1,0,1,1,1,0,3,1,7,451
112,"PRIMARY SCHOOL PARSIYA SHUKLA PURAV",577,455,0,1032,242,260,0,502,500,0,111,94,228,23,5,2,0,6,20,5,2,0,6,502
113,"PRIMARY SCHOOL PARSIYA SHUKLA PASHCHIM",375,324,0,699,184,191,0,375,367,0,62,100,123,70,1,0,2,0,1,5,2,1,8,375
114,"PRIMARY SCHOOL  CHANDULI PURAV",471,346,0,817,200,186,0,386,386,0,220,27,88,38,0,0,0,2,2,4,3,0,2,386
115,"PRIMARY SCHOOL  CHANDULI PASHCHIM",474,365,0,839,215,191,0,406,401,0,103,15,241,28,1,0,1,2,4,3,5,0,3,406
116,"PRIMARY SCHOOL CHADPAR",444,373,0,817,216,202,0,418,418,0,183,48,115,53,4,0,1,0,1,3,4,2,4,418
117,"H. S.SCHOOL UCHAGAW",553,416,0,969,238,246,0,484,484,0,201,4,218,35,1,2,0,3,0,3,4,2,11,484
118,"J.L.H.S. SCHOOL NAGWA PREM",533,467,0,1000,228,221,0,449,449,0,296,36,39,54,1,2,1,9,0,9,0,0,2,449
119,"PRIMARY SCHOOL  CHAKSARYA",532,444,0,976,237,249,0,486,486,0,214,54,189,15,0,1,1,1,2,2,2,3,2,486
120,"PRIMARY SCHOOL  BATH BUJURG PURAV",541,432,0,973,231,221,0,452,452,0,256,15,132,10,2,1,1,6,2,5,8,3,11,452
121,"PRIMARY SCHOOL  BATH BUJURG PASHCHIM",383,316,0,699,173,149,0,322,322,0,69,65,162,4,1,2,0,0,2,2,4,2,9,322
122,"PRIMARY SCHOOL  TADHWA SHRIRAM",689,565,0,1254,307,282,0,589,589,0,286,3,242,37,0,2,1,1,2,3,2,4,6,589
123,"PRIMARY SCHOOL  BHAISAW",758,573,0,1331,321,291,0,612,612,0,248,68,222,49,0,0,1,0,2,3,4,5,10,612
124,"PRIMARY SCHOOL  NAWADA",259,203,0,462,135,131,0,266,266,0,80,6,169,4,1,0,0,0,1,0,2,0,3,266
125,"P. M. V. VISUNPUR RAJA",623,469,0,1092,251,214,0,465,462,0,103,168,139,26,1,2,1,5,2,8,2,3,5,465
126,"PRIMARY SCHOOL  VIMUTI",401,349,1,751,175,147,0,322,317,0,110,136,41,21,1,0,2,3,1,2,0,1,4,322
127,"PRIMARY SCHOOL  VIJAE URPH MEERPUR",604,474,0,1078,284,230,0,514,514,0,77,287,127,9,0,0,1,2,1,1,0,0,9,514
128,"PRIMARY SCHOOL DADHI KHAS PURAV",773,596,0,1369,371,313,0,684,684,0,281,205,156,22,0,0,4,1,1,3,2,3,6,684
129,"PRIMARY SCHOOL  DADI KHAS PASHCHIM",186,139,0,325,71,59,0,130,130,0,76,4,42,1,0,0,0,1,5,0,1,0,0,130
130,"PRIMARY SCHOOL  BADEPAR",669,544,1,1214,299,286,0,585,585,0,276,71,150,60,3,0,3,1,1,6,2,5,7,585
131,"PRIMARY SCHOOL BARHAJPAR PURAV",514,452,0,966,257,237,0,494,494,0,227,71,127,28,7,0,2,1,1,7,1,6,16,494
132,"PRIMARY SCHOOL BARHAJPAR PASHCHIM",315,282,0,597,125,130,0,255,255,0,71,14,145,14,1,0,0,0,0,3,3,0,4,255
133,"K. PRIMARY SCHOOL BHARSI BUJURG PURAV",521,423,0,944,167,177,0,344,344,0,219,67,42,10,1,0,0,4,0,1,0,0,0,344
134,"K.PRIMARY SCHOOL BHARSI BUJURG PASHCHIM",483,403,0,886,180,166,0,346,346,0,140,11,165,21,1,0,0,0,0,3,2,0,3,346
135,"PRIMARY SCHOOL GHARAWAL",358,339,0,697,185,211,0,396,396,0,215,8,141,17,0,0,1,1,2,1,2,3,5,396
136,"PRIMARY SCHOOL CHILAWA PURAV",533,436,0,969,200,156,0,356,356,0,147,150,39,7,0,0,0,2,2,1,1,2,5,356
137,"PRIMARY SCHOOL CHILAWA PASHCHIM",385,320,0,705,134,144,0,278,278,0,119,13,121,13,0,0,2,3,1,3,2,1,0,278
138,"PRIMARY SCHOOL PAHARPUR",547,473,0,1020,261,261,0,522,507,0,241,20,215,19,1,0,2,2,2,7,6,1,6,522
139,"PRIMARY SCHOOL PDAINIYA",403,341,0,744,210,180,0,390,390,0,121,65,164,22,0,0,1,2,4,2,1,3,5,390
140,"PRIMARY SCHOOL PATAUHA",460,455,1,916,339,261,0,600,600,0,346,34,174,24,1,0,6,3,0,3,4,3,2,600
141,"P. BHAWAN  KOTIYA NAYAK",416,368,1,785,194,197,0,391,391,0,86,169,101,15,0,1,2,0,0,6,3,4,4,391
142,"PRIMARY SCHOOL KAKRAHI UTTAR",731,645,0,1376,280,241,0,521,521,0,320,26,81,57,3,0,3,1,2,5,3,4,16,521
143,"PRIMARY SCHOOL KAKRAHI DAKSHIN",598,504,0,1102,277,236,0,513,513,0,124,12,315,28,0,0,2,2,2,1,4,1,22,513
144,"K. PRIMARY SCHOOL GOPALAPUR PURAV",459,430,0,889,210,196,0,406,406,0,224,47,75,41,2,2,3,1,0,1,0,2,8,406
145,"K. PRIMARY SCHOOL GOPALAPUR PASHCHIM",414,335,0,749,200,184,0,384,384,0,170,25,150,30,1,1,0,3,1,0,1,2,0,384
146,"PRIMARY SCHOOL PARSA URF  AGLAHAVA PURAV",609,511,0,1120,276,262,0,538,537,0,146,223,85,21,2,1,1,2,2,13,5,8,29,538
147,"PRIMARY SCHOOL PARSA  URF AGLAHAVA PASHCHIM",404,310,0,714,185,150,0,335,334,0,83,132,77,27,1,0,0,2,1,3,0,2,7,335
148,"PRIMARY SCHOOL ROHINIDIH PURAV",274,210,0,484,128,102,0,230,230,0,112,50,63,3,1,0,0,0,0,0,1,0,0,230
149,"PRIMARY SCHOOL ROHINIDIH PASHCHIM",579,512,0,1091,201,225,0,426,425,0,50,178,169,18,0,0,0,0,2,1,1,1,6,426
150,"PRIMARY SCHOOL DHANRAJPUR",182,188,0,370,87,104,0,191,191,0,38,4,122,22,0,0,1,0,1,0,0,0,3,191
151,"PRIMARY SCHOOL GOPALPUR UTTAR",657,531,0,1188,278,248,0,526,525,0,331,13,124,38,0,0,0,4,0,12,0,2,2,526
152,"PRIMARY SCHOOL GOPALPUR MADHAY",516,468,0,984,233,241,0,474,473,0,121,35,194,88,3,0,0,2,2,9,7,2,11,474
153,"PRIMARY SCHOOL GOPALPUR DAKSHIN",434,352,0,786,184,176,0,360,360,0,164,23,114,43,1,1,0,0,2,2,1,3,6,360
154,"PRIMARY SCHOOL ABRUS",623,501,0,1124,282,303,0,585,585,0,124,36,377,24,0,0,0,6,7,5,0,1,5,585
155,"PRIMARY SCHOOL SODHAVEER UTTAR",411,336,0,747,199,192,0,391,391,0,99,55,207,8,1,0,2,1,1,4,4,2,7,391
156,"PRIMARY SCHOOL SODHAVEER DAKSHIN",556,423,0,979,264,230,0,494,493,0,159,71,227,24,4,0,1,3,0,0,2,0,3,494
157,"PRIMARY SCHOOL KOHARI BUJURG",629,565,0,1194,275,293,0,568,567,0,56,114,253,125,3,1,1,0,0,7,4,1,3,568
158,"PRIMARY SCHOOL HATWA",578,437,0,1015,257,234,0,491,491,0,176,25,229,39,1,0,0,1,5,3,1,2,9,491
159,"PANCHAYAT BHAWAN DEVKALI PURAV",613,475,0,1088,297,237,0,534,534,0,395,11,84,33,0,0,1,1,0,1,0,2,6,534
160,"PANCHAYAT BHAWAN DEVKALI PASHCHIM",796,590,0,1386,341,270,0,611,610,0,345,33,161,47,2,2,1,4,0,5,2,3,6,611
161,"PRIMARY SCHOOL RKAULI",482,415,0,897,219,219,0,438,336,0,126,190,78,10,0,0,3,3,1,7,4,6,10,438
162,"PRIMARY SCHOOL GODSARI PURAV",713,578,0,1291,334,347,0,681,681,0,108,21,509,22,1,3,2,4,4,5,1,1,0,681
163,"PRIMARY SCHOOL GODSARI PASHCHIM",482,342,0,824,250,144,0,394,394,0,231,2,108,21,0,1,0,14,0,7,3,1,6,394
164,"PRIMARY SCHOOL RANIPUR",549,482,0,1031,282,230,0,512,512,0,253,133,49,52,1,2,1,2,2,5,1,2,9,512
165,"PRIMARY SCHOOL RANIPUR ( SANKUL BHAWAN)",380,288,0,668,196,170,0,366,363,0,218,4,101,19,0,0,2,3,3,4,4,2,6,366
166,"PRIMARY SCHOOL BARRAH 1",510,405,0,915,206,227,0,433,433,0,169,15,166,55,1,0,0,2,2,2,4,6,11,433
167,"PRIMARY SCHOOL BARRAH 2",473,372,0,845,204,175,0,379,379,0,141,44,124,33,3,2,8,3,2,7,3,1,8,379
168,"PRIMARY SCHOOL GHODALOTAN",386,360,0,746,197,208,0,405,405,0,79,12,281,18,1,0,0,0,6,2,3,0,3,405
169,"P. M. V VISRA PURAV",731,608,0,1339,319,302,0,621,621,0,400,38,101,39,4,1,3,3,2,12,4,3,11,621
170,"P. M. V. VISRA PASHCHIM",223,172,0,395,69,75,0,144,143,0,79,16,24,8,1,1,0,2,1,6,1,0,5,144
171,"PRIMARY SCHOOL PARNAI URF ARJUN PURA",491,379,0,870,240,228,0,468,467,0,86,16,345,8,1,1,2,1,0,3,1,1,3,468
172,"K. PRIMARY SCHOOL GOLA UTTAR",600,465,0,1065,359,253,0,612,574,0,93,21,336,135,1,2,0,2,3,3,1,1,14,612
173,"PRIMARY SCHOOL GOLA PASHCHIM 1",482,324,0,806,261,157,0,418,375,0,195,10,54,136,3,0,1,3,3,3,2,3,5,418
174,"K. PRIMARY SCHOOL GOLA UTTAR 1",699,580,0,1279,349,279,0,628,578,0,259,20,71,256,4,0,1,2,1,3,1,4,6,628
175,"PRIMARY SCHOOL GOLA PASHCHIM 2",752,577,0,1329,372,297,0,669,669,0,295,47,63,249,3,3,1,1,3,1,0,1,2,669
176,"K. PRIMARY SCHOOL GOLA UTTAR 2",777,584,0,1361,386,315,0,701,701,0,377,51,71,180,2,0,0,3,3,5,1,3,5,701
177,"PRIMARY SCHOOL GOLA PASHCHIM 3",650,496,0,1146,346,262,0,608,607,0,464,19,13,90,2,1,1,3,0,7,0,1,7,608
