"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
57,"SHAHABAD N.P.P.",663,532,0,1195,308,217,0,525,210,0,3,175,263,75,1,0,0,0,0,0,1,2,0,3,2,0,525
58,"SHAHABAD N.P.P.",629,546,1,1176,369,252,0,621,621,0,5,153,311,144,2,0,0,0,0,0,0,2,4,0,0,0,621
59,"SHAHABAD N.P.P.",565,492,0,1057,309,242,0,551,145,0,46,144,299,56,0,0,0,0,0,0,0,0,0,4,1,1,551
60,"SHAHABAD N.P.P.",419,362,0,781,242,206,0,448,448,0,198,59,144,44,0,0,0,0,0,1,0,0,0,0,0,2,448
61,"SHAHABAD N.P.P.",421,364,0,785,200,189,0,389,220,0,83,93,184,27,0,0,0,0,0,0,0,2,0,0,0,0,389
62,"SHAHABAD N.P.P.",549,441,0,990,331,245,0,576,525,0,155,85,234,89,2,1,0,0,1,0,0,0,1,3,3,2,576
63,"SHAHABAD N.P.P.",806,686,0,1492,422,233,0,655,285,0,113,148,215,168,2,1,0,0,0,0,1,2,1,0,0,4,655
64,"SHAHABAD N.P.P.",473,430,0,903,261,166,0,427,196,0,23,154,107,140,1,0,0,0,0,0,0,0,0,0,1,1,427
65,"SHAHABAD N.P.P.",501,425,1,927,283,166,0,449,165,0,23,77,125,215,1,0,1,0,0,2,1,1,1,0,0,2,449
66,"SHAHABAD N.P.P.",688,610,0,1298,304,249,0,553,553,0,105,184,197,63,0,0,0,0,1,0,0,1,0,1,1,0,553
67,"SHAHABAD N.P.P.",909,689,0,1598,595,416,0,1011,1002,0,388,165,303,130,3,2,1,0,0,2,3,2,2,2,2,6,1011
68,"SHAHABAD N.P.P.",578,481,0,1059,319,182,0,501,501,0,131,67,152,138,2,0,1,0,0,1,2,2,2,0,3,0,501
69,"SHAHABAD N.P.P.",357,314,0,671,165,134,0,299,11,0,8,67,160,56,2,1,0,0,1,0,1,0,1,0,1,1,299
70,"SHAHABAD N.P.P.",939,761,0,1700,499,354,0,853,853,0,17,411,346,71,0,0,0,0,0,0,0,2,1,0,3,2,853
71,"SHAHABAD N.P.P.",130,109,0,239,69,54,0,123,123,0,1,62,44,16,0,0,0,0,0,0,0,0,0,0,0,0,123
72,"SHAHABAD N.P.P.",808,666,0,1474,512,360,0,872,540,0,100,272,427,63,3,2,1,0,0,0,0,0,0,3,0,1,872
73,"SHAHABAD N.P.P.",703,598,0,1301,438,300,0,738,710,0,191,138,334,57,0,1,1,0,0,0,0,0,0,8,0,8,738
74,"SHAHABAD N.P.P.",415,380,0,795,263,225,0,488,446,0,259,55,141,18,0,0,0,0,0,0,1,2,4,2,2,4,488
75,"SHAHABAD N.P.P.",451,410,0,861,248,214,0,462,462,0,238,60,146,17,0,0,0,0,0,0,0,0,0,0,0,1,462
76,"SHAHABAD N.P.P.",409,350,0,759,254,220,0,474,474,0,220,35,168,38,1,0,0,0,0,3,0,4,0,2,1,2,474
77,"SHAHABAD N.P.P.",520,440,0,960,294,234,0,528,472,0,160,52,280,21,2,0,0,0,0,1,0,3,1,4,3,1,528
78,"SHAHABAD N.P.P.",617,529,0,1146,358,305,0,663,66,0,339,59,203,37,0,1,1,1,1,0,1,4,6,5,1,4,663
79,"SHAHABAD N.P.P.",599,519,0,1118,303,212,0,515,515,0,136,83,205,65,0,0,0,1,0,0,2,5,3,2,3,10,515
80,"SHAHABAD N.P.P.",436,374,0,810,230,180,0,410,410,0,273,31,81,12,1,0,0,0,0,2,0,0,1,3,1,5,410
81,"SHAHABAD N.P.P.",656,575,0,1231,430,382,0,812,812,0,66,38,620,79,0,0,1,0,0,1,0,0,2,1,1,3,812
82,"MALKAPUR H/0 SHAHABAD DEHAT",622,545,0,1167,486,323,0,809,7,0,18,192,484,89,2,0,0,1,0,3,4,2,4,4,1,5,809
83,"JAMLAPUR H/0 SHAHABAD DEHAT",261,224,0,485,177,153,0,330,330,0,164,36,122,6,0,0,0,0,0,0,0,2,0,0,0,0,330
84,BHDASI,486,432,0,918,354,334,0,688,688,0,418,21,215,21,1,0,2,0,1,1,0,0,1,1,2,4,688
85,"MANIKAPUR BAMIYARI",627,516,0,1143,420,262,0,682,510,0,462,69,117,13,2,1,2,0,1,0,0,2,1,2,3,7,682
86,GAHORA,566,493,0,1059,430,322,0,752,752,0,552,40,129,4,2,2,0,0,4,0,1,2,2,5,3,6,752
87,"MUREEDAPUR H/0 GAHORA",337,297,0,634,261,189,0,450,450,0,394,33,16,3,0,0,0,0,0,2,0,1,0,0,1,0,450
88,SAHORA,481,405,0,886,348,278,0,626,11,0,321,107,155,24,0,0,0,0,0,1,2,2,0,6,1,7,626
89,GAOUHANIYA,288,255,0,543,190,153,0,343,330,0,130,136,57,1,3,2,0,1,1,2,1,0,1,0,2,6,343
90,AGAMPUR,456,402,0,858,275,209,0,484,484,0,264,72,134,6,0,0,1,0,1,0,0,1,0,1,0,4,484
91,AGAMPUR,499,447,0,946,285,191,0,476,267,0,241,67,155,4,2,0,1,0,1,2,0,0,0,1,1,1,476
92,AGAMPUR,421,374,0,795,255,199,0,454,454,0,286,33,110,5,2,0,2,0,3,0,0,1,2,6,1,3,454
93,PEDHATHA,484,405,0,889,312,238,0,550,550,0,323,23,189,5,0,0,0,0,1,1,0,3,1,1,2,1,550
94,DAULATIYAPUR,553,482,0,1035,405,306,0,711,711,0,532,39,106,14,0,0,1,0,1,0,2,3,3,1,4,5,711
95,TADER,687,588,1,1276,477,380,0,857,807,0,519,59,209,21,3,1,0,0,2,2,2,9,6,7,6,11,857
96,LALPUR,404,340,0,744,250,209,0,459,456,0,221,28,181,5,2,1,1,1,0,0,0,5,1,1,5,7,459
97,NAGLALOTHU,762,662,0,1424,457,340,0,797,11,0,307,180,253,23,2,0,0,0,1,1,1,6,3,5,9,6,797
98,"GADHI CHAND KHAN",581,515,0,1096,350,244,0,594,461,0,18,226,300,39,1,1,0,0,1,0,0,3,1,1,3,0,594
99,"RAMPUR HRADAY",526,462,0,988,361,274,0,635,635,0,323,81,199,10,1,1,0,0,0,0,0,5,3,5,2,5,635
100,MANGLIPUR,502,427,0,929,303,259,0,562,561,0,193,56,264,22,3,0,1,2,3,0,3,2,3,1,1,8,562
101,KAKARGHATA,779,667,0,1446,448,330,0,778,91,0,475,48,187,29,4,4,0,0,1,1,0,2,3,6,2,16,778
102,"DARIYAPUR VIKKU",632,562,0,1194,430,328,0,758,758,0,299,157,267,8,1,0,0,3,4,2,3,2,0,2,5,5,758
103,"MEERPUR GANNU",211,184,0,395,176,133,0,309,229,0,12,1,274,8,0,0,0,0,1,1,0,4,1,4,2,1,309
104,"NAGLA KALLU",472,388,0,860,302,216,0,518,518,0,171,102,210,21,1,2,3,0,1,1,0,0,0,1,0,5,518
105,MAGIYANWAN,836,712,0,1548,464,434,0,898,884,0,399,101,315,20,3,1,1,3,2,3,1,9,9,10,1,20,898
106,"SARAI KAMALUDDINPUR",345,303,0,648,296,232,0,528,528,0,90,215,199,7,1,0,0,1,0,0,0,3,3,3,4,2,528
107,PEELAPUR,202,158,0,360,148,115,0,263,263,0,41,94,116,4,1,0,0,0,1,0,2,1,1,1,0,1,263
108,"KODRA SARAIYAN",756,644,0,1400,519,394,0,913,913,0,388,109,352,16,4,0,2,0,0,2,4,9,3,8,3,13,913
109,SHIROMANNAGR,492,420,0,912,267,154,0,421,421,0,306,40,46,15,0,0,0,1,0,2,0,1,1,2,3,4,421
110,SHIROMANNAGR,768,639,0,1407,436,294,0,730,730,0,437,30,223,22,1,2,0,0,0,1,1,3,1,4,2,3,730
111,HUMAIYUNPUR,585,501,0,1086,320,243,0,563,563,0,285,52,191,4,2,0,3,0,0,1,2,4,2,7,0,10,563
112,TIUR,469,403,0,872,297,229,0,526,524,0,92,25,363,11,1,1,0,1,0,0,2,6,3,12,3,6,526
113,JASRATHPUR,475,395,0,870,293,230,0,523,523,0,124,72,305,8,0,0,1,0,1,0,0,4,4,1,2,1,523
114,ROOPAPUR,207,179,0,386,154,133,0,287,4,0,89,7,175,7,0,0,0,0,0,1,0,1,2,3,0,2,287
