"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BHAL CHANDRA YADAV","2 - BHISM SHANKAR ALIAS KUSHAL TIWARI","3 - ROHIT KUMAR PANDEY","4 - SHARAD TRIPATHI","5 - AFTAB ALAM KHAN","6 - JANTRI LAL CHAUHAN","7 - JYOTI SINGH","8 - PREM PRAKASH","9 - SANT SIROMANI BABOOLAL YADAV MAHARAJ JI","10 - MOHAMMAD ALI","11 - RAVIKANT","12 - RAJMANI","13 - RAJARAM","14 - RAJENDRA KUMAR","15 - LOTAN URF LAUTAN PRASAD","16 - SHABBEER HUSEN","17 - APARNA","18 - AMIT","19 - KRIPANARAYAN RAI","20 - KAILASH NATH BELDAR","21 - JAIYANTRI PRASAD","22 - MOHAMMAD IRFAN","23 - SHAYAM LAL","24 - SUBODH CHANDRA","25 - SURENDRA KUMAR CHAUDHARY","26 - None of the Above","Total Votes Secured"
40,"P.S. HARRAIYA STHITH PATHRAHAT DASHINI KACHH",321,213,0,534,124,124,0,248,247,0,4,163,9,53,0,0,0,0,0,0,1,0,0,0,0,2,1,7,0,3,0,1,1,0,2,1,248
41,"P.S. HARRAIYA STHITH PATHARAHT",343,263,0,606,151,142,0,293,293,0,54,35,17,143,5,0,1,1,0,0,2,0,13,0,0,6,3,0,0,1,1,1,2,1,6,1,293
42,"P.S. KATHA",242,195,0,437,109,129,0,238,138,0,16,16,9,166,3,0,1,0,0,2,0,1,9,1,1,2,3,0,0,0,1,0,0,1,4,2,238
43,"P.S. BARAIPAAR",397,321,0,718,223,187,0,410,350,0,48,60,29,223,4,0,1,2,0,1,1,4,1,4,3,5,1,2,2,6,1,1,1,3,3,4,410
44,"P.S. AMRAHA PRATHAM KACHH",628,453,0,1081,295,188,0,483,275,0,81,128,6,228,2,2,3,1,0,5,1,1,3,0,0,1,7,1,1,1,2,0,3,3,3,0,483
45,"P.S. AMRAHA DIVTIYA KACHH",209,158,1,368,81,80,0,161,161,0,16,73,2,46,1,1,0,1,0,5,0,0,0,1,1,0,4,0,1,0,1,1,0,2,4,1,161
46,"SAMRAT ASHOK U.P.S. KARHANA",233,178,0,411,125,105,0,230,230,0,31,36,13,133,1,1,0,0,3,0,0,1,1,0,0,2,0,1,0,0,0,0,0,2,2,3,230
47,"PURV MADHAYAMIK VIDYALAY ETAUA PRATHAM KACHH",173,164,0,337,89,103,0,192,192,0,34,30,4,98,0,0,1,0,1,5,0,0,3,2,2,0,1,1,1,0,3,1,0,1,3,1,192
48,"PURV MADHAYMIK VIDYALAY ETAUA DIVTIYA KACHH",212,170,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"P.S. MAHDEVA NANKAR",549,480,0,1029,262,317,0,579,579,0,124,258,43,87,0,0,0,0,1,4,0,2,11,1,6,2,2,18,2,6,2,1,0,1,5,3,579
50,"P.S. RAIDHARPAAR",451,375,0,826,241,166,0,407,407,0,62,82,15,228,2,0,0,0,1,0,0,1,5,1,2,5,1,0,0,0,0,1,0,0,1,0,407
51,"R.I.C. BAUR BYAS PRATHAM KACHH",842,690,1,1533,368,312,0,680,410,0,124,69,79,301,5,3,0,1,1,2,1,5,16,0,2,15,5,5,2,2,1,2,6,5,17,11,680
52,"R.I.C. BAUR BYAS DIVTIYA KACHH",653,554,0,1207,305,265,0,570,550,0,126,236,36,120,1,0,0,3,2,2,2,2,5,3,4,12,2,4,0,0,1,0,0,2,0,7,570
53,"P.S. PATNI NANKAR",164,148,0,312,68,55,0,123,100,0,29,48,5,34,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,1,0,123
54,"J.H.S. PATNAKHAS",268,234,0,502,123,134,0,257,257,0,13,83,6,131,3,1,0,0,1,0,0,2,3,0,1,0,1,3,1,4,0,1,0,2,1,0,257
55,"P.S. SUKRAULI",568,501,0,1069,192,263,0,455,455,0,305,82,17,12,2,0,0,1,0,2,0,0,30,0,0,0,0,1,0,1,0,0,0,1,1,0,455
56,"P.S. POKHARBHITWA",461,371,0,832,189,207,0,396,396,0,153,75,4,78,3,0,1,2,1,3,1,2,55,1,0,3,1,2,0,0,0,1,0,3,1,6,396
57,"P.S. KAVAR KAVARI",396,298,0,694,197,186,0,383,363,0,79,93,12,187,1,0,2,3,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,383
58,"SAMUDAYIK SWSTH KENDRA RAMVAPUR",402,300,0,702,179,194,0,373,373,0,97,68,42,126,4,0,2,0,1,4,1,4,1,0,0,2,13,1,1,1,0,1,0,1,2,1,373
59,"SADHAN SAHKARI SAMITI RAMVAPUR",326,247,0,573,165,131,0,296,290,0,60,25,7,158,1,0,0,0,2,0,3,1,4,1,2,2,7,2,0,8,2,1,1,1,5,3,296
60,"P.S. PRATAPPUR",581,537,0,1118,301,275,0,576,494,0,131,141,19,258,4,1,1,2,1,4,1,0,1,0,4,0,2,0,1,0,0,0,1,0,2,2,576
61,"P.S. RAJUR",294,228,0,522,143,128,0,271,271,0,49,98,24,77,3,0,0,0,1,1,0,1,4,1,2,2,1,2,0,1,0,0,1,1,2,0,271
62,"P.S. BAJHI",600,503,0,1103,270,292,0,562,439,0,235,72,7,174,2,1,1,0,1,4,3,3,47,0,0,4,2,1,0,0,0,1,0,1,1,2,562
63,"P.S. BHAGWATPUR",350,296,0,646,158,152,0,310,302,0,36,52,19,189,2,1,1,2,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,310
64,"P.S. KHAJURI PRATHAM KACHH",515,386,0,901,207,205,0,412,326,0,242,69,8,38,1,0,1,4,4,2,0,1,36,2,0,1,0,1,0,0,0,0,0,0,0,2,412
65,"P.S. KHJURI DIVTIYA KACHH",698,680,0,1378,256,296,0,552,471,0,355,90,7,25,5,1,0,0,2,5,0,1,55,1,0,1,0,1,0,0,1,0,0,1,0,1,552
66,"P.S. RAJEDEEHA",529,439,0,968,290,258,0,548,548,0,103,168,10,170,2,2,0,2,2,0,0,2,38,1,2,3,7,3,2,8,4,3,3,1,9,3,548
67,"J.H.S RAJEDEEHA",371,287,0,658,121,118,0,239,219,0,33,51,5,116,1,0,0,1,1,3,0,1,7,0,1,1,2,2,0,3,5,2,1,0,1,2,239
68,"P.S. SAURAHA PRATHAM KACHH",694,555,0,1249,350,352,0,702,700,0,238,75,9,310,4,1,4,4,3,1,1,0,38,1,1,0,3,0,0,4,1,1,0,1,2,0,702
69,"P.S. SAURAHA DIVTIYA KACHH",270,208,0,478,140,117,0,257,252,0,43,22,4,166,1,1,0,1,2,1,0,0,8,0,0,3,1,0,0,0,0,1,0,0,3,0,257
70,"P.S. DABRA PRATHAM KACHH",346,264,0,610,155,133,0,288,165,0,16,134,8,121,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,288
71,"P.S. DABRA DIVTIYA KACHH",242,214,0,456,120,116,0,236,146,0,11,74,6,124,1,0,0,1,0,1,0,0,10,1,1,1,0,2,0,0,0,0,0,0,0,3,236
72,"P.S. PASAI PRATHAM KACHH",644,519,0,1163,258,251,0,509,428,0,86,116,5,36,4,2,1,3,3,5,1,4,209,6,1,7,3,2,1,2,1,1,3,3,1,3,509
73,"P.S. PASAI DIVTIYA KACHH",780,628,0,1408,295,346,0,641,638,0,155,44,14,36,0,1,1,0,3,6,1,8,326,4,5,10,2,3,2,0,0,1,5,5,4,5,641
74,"J.H.S. MAHLA",390,358,0,748,175,202,0,377,377,0,233,30,4,58,1,0,2,1,0,2,0,0,43,0,0,0,0,0,0,1,0,0,0,1,0,1,377
75,"P.S. LEDVA SHRIPAL",563,511,0,1074,323,345,0,668,331,0,419,69,9,44,2,0,0,0,1,2,0,55,52,0,0,3,4,2,1,0,1,2,1,0,0,1,668
76,"P.S. PARSA SHUKL",429,373,0,802,220,215,0,435,276,0,18,194,2,197,1,0,0,0,0,1,1,0,2,0,2,4,3,3,0,2,0,0,1,2,2,0,435
77,"J.H.S. PARSAMAFI",373,400,0,773,174,253,0,427,415,0,198,103,9,92,1,0,1,2,2,0,0,1,7,3,0,2,2,0,1,0,0,0,0,2,0,1,427
78,"P.S. GOTHAHA",531,444,0,975,288,288,0,576,576,0,106,144,20,251,4,0,1,0,2,4,1,2,20,2,3,11,0,1,1,0,0,1,0,0,2,0,576
79,"P.S. AKOLHI",388,315,0,703,176,190,0,366,345,0,52,106,9,137,6,0,2,2,1,0,2,0,28,3,2,6,1,0,0,1,0,0,1,1,4,2,366
80,"P.S. NETARI KALA",415,389,0,804,177,246,0,423,307,0,188,51,12,42,5,3,0,1,1,2,0,1,112,2,0,0,1,0,0,0,0,0,0,0,1,1,423
81,"P.S. JOGIBEER",395,308,0,703,194,179,0,373,373,0,144,94,16,86,2,1,0,0,1,0,0,6,17,1,0,1,3,0,0,1,0,0,0,0,0,0,373
82,"P.S. PRASADPUR",304,249,0,553,133,131,0,264,216,0,113,54,25,17,0,3,0,0,0,0,0,0,42,0,0,0,4,0,0,4,0,0,0,2,0,0,264
83,"P.S. GOBDAURI",469,366,0,835,238,200,0,438,438,0,262,78,27,29,0,3,0,1,1,6,1,3,6,0,0,7,4,6,0,0,0,0,0,2,1,1,438
84,"P.S. RAMVAPUR",786,731,0,1517,348,380,0,728,690,0,255,75,8,259,15,2,1,5,6,9,0,8,12,4,3,3,8,8,7,8,4,4,2,7,8,7,728
85,"P.S. PASNARA",636,536,0,1172,273,301,0,574,570,0,230,123,28,102,6,1,3,0,2,5,1,7,43,2,2,6,5,1,0,1,0,1,1,1,2,1,574
86,"P.S. FULVARIYA UTTARI KACHH",748,580,0,1328,317,331,0,648,486,0,217,104,34,191,3,1,1,5,2,4,4,3,37,2,4,17,1,2,0,2,3,0,2,4,4,1,648
87,"P.S. FULVARIYA DAKSHINI KACHH",323,255,0,578,172,156,0,328,313,0,107,82,17,101,1,0,1,1,2,1,1,0,2,1,0,6,0,0,1,0,1,0,0,0,3,0,328
88,"P.S. HASVAPAAR",405,349,0,754,290,160,0,450,450,0,114,104,55,109,3,2,3,2,4,1,3,11,3,2,4,6,0,1,0,0,0,4,2,3,8,6,450
89,"P.S. KATYA PRATHAM KACHH",378,296,0,674,180,169,0,349,279,0,2,46,5,259,7,1,1,1,1,1,1,0,3,1,1,3,4,0,1,0,1,1,0,2,3,4,349
90,"P.S. KATYA DIVTIYA KACHH",344,297,0,641,158,154,0,312,312,0,10,59,17,192,10,0,0,2,1,3,0,1,5,1,3,4,0,0,0,0,1,0,0,2,1,0,312
91,"P.S. BANETHOO PURVI KACHH",583,441,0,1024,224,232,0,456,442,0,184,100,10,48,3,0,2,1,4,4,1,0,86,0,3,5,1,0,0,0,0,0,0,0,1,3,456
92,"P.S. BANETHOO PASCHIMI KACHH",690,556,0,1246,281,270,0,551,489,0,291,65,14,35,1,3,4,0,6,3,1,1,94,2,2,7,4,0,0,0,1,1,1,4,3,8,551
93,"ADARSH MADHYAMIK VIDYALAY AMTHARI STHITH NIGHURI",680,537,0,1217,286,254,0,540,310,0,192,26,31,154,1,1,4,0,2,1,0,3,95,0,0,4,5,1,1,3,2,1,0,5,6,2,540
94,"P.S. JIGINA",377,245,0,622,150,176,0,326,246,0,226,4,10,31,1,0,0,0,0,1,0,2,36,1,1,4,1,0,0,2,0,1,1,2,1,1,326
95,"P.S. AMTHARI PRATHAM KACHH",511,350,0,861,193,180,0,373,345,0,115,74,6,21,3,1,1,0,0,1,1,1,140,4,0,2,0,1,0,0,0,0,0,1,0,1,373
96,"P.S. AMTHARI DAKSHINI KACHH",397,311,0,708,186,170,0,356,326,0,101,22,8,76,2,1,0,0,0,4,0,0,125,2,0,3,3,0,0,3,0,2,1,1,1,1,356
97,"J.H.S. JASVAL",424,354,0,778,247,212,0,459,320,0,94,124,8,207,0,0,0,0,2,2,0,9,0,0,2,2,0,0,0,3,0,3,0,1,2,0,459
98,"P.S. PURAINA",285,227,0,512,159,135,0,294,291,0,31,126,10,108,4,0,0,0,0,2,0,0,0,0,3,4,1,2,0,0,0,0,0,1,2,0,294
99,"J.H.S. DEVKALI",468,364,0,832,220,214,0,434,362,0,127,119,3,66,0,1,0,0,0,1,2,73,31,1,2,0,1,1,1,0,1,0,0,1,2,1,434
100,"P.S. RASOOLPUR CHAUDHARI",223,207,0,430,102,123,0,225,225,0,21,112,1,32,1,1,0,0,0,2,2,6,42,1,0,0,1,0,1,0,1,0,0,0,1,0,225
101,"P.S. BHATAURA",722,593,0,1315,356,317,0,673,673,0,118,162,19,270,3,1,0,3,0,3,1,67,6,1,0,3,3,4,0,1,0,0,0,2,4,2,673
102,"P.S. ATHLOHIYA",397,351,0,748,222,202,0,424,395,0,46,183,16,137,3,0,0,4,2,3,0,0,3,0,3,9,2,2,3,0,0,0,0,1,2,5,424
103,"P.S. DHOBHA",622,515,0,1137,263,302,0,565,450,0,33,111,13,86,3,3,3,2,3,4,0,2,250,0,0,5,6,2,3,5,4,7,2,9,8,1,565
104,"P.S.  DHOBHA",299,253,0,552,200,118,0,318,318,0,39,24,1,58,1,1,0,0,0,1,1,1,181,0,0,2,2,0,0,0,1,0,0,5,0,0,318
105,"P.S. KARMA KALA PRATHAM KACHH",535,430,0,965,242,253,0,495,492,0,73,161,17,146,4,1,1,0,0,5,1,9,55,4,1,4,3,0,0,2,2,1,0,1,2,2,495
106,"P.S. KARMA KALA DIVTIYA KACHH",181,144,0,325,87,82,0,169,118,0,1,33,6,105,4,0,0,0,0,0,0,0,2,1,1,5,1,0,1,4,0,0,1,0,2,2,169
107,"P.S. JHUDIYA",697,547,1,1245,350,360,0,710,660,0,131,273,10,227,3,1,2,2,3,8,0,4,9,3,4,9,3,1,0,1,0,3,0,1,7,5,710
108,"J.H.S. SANTHA PRATHAM KACHH",800,601,0,1401,338,325,0,663,503,0,90,118,35,162,2,0,0,1,1,2,1,1,226,1,1,1,3,4,2,3,2,1,2,0,3,1,663
109,"J.H.S. SANTHA DIVTIYA KACHH",386,286,2,674,153,141,0,294,284,0,158,23,3,1,0,0,0,3,0,3,1,3,83,0,1,2,5,0,0,1,1,0,1,1,3,1,294
110,"P.S. RAMVAPUR MISHR",312,262,0,574,166,181,0,347,310,0,127,83,8,81,1,0,0,2,1,3,0,0,32,0,0,1,3,0,0,2,0,1,0,0,2,0,347
111,"P.S. SANDA",575,450,0,1025,244,262,0,506,461,0,131,192,3,15,4,1,1,1,2,0,0,0,130,4,3,5,1,1,0,2,2,0,0,4,2,2,506
112,"SADHAN SAHKARI SAMITI GANVARIYA",533,423,0,956,283,203,0,486,386,0,11,22,15,379,7,0,2,2,2,3,4,1,8,1,0,10,1,0,1,0,2,2,1,4,2,6,486
113,"P.S. LOHARSAN PRATHAM KACHH",757,659,0,1416,330,394,0,724,719,0,56,5,7,120,3,1,3,4,1,3,3,2,483,2,1,9,4,0,0,2,2,3,1,4,3,2,724
114,"P.S. LOHARSAN MADHAYA KACHH",776,650,0,1426,334,367,0,701,701,0,190,15,15,160,6,6,3,1,1,3,2,6,269,3,1,6,2,0,1,0,1,1,2,2,2,3,701
115,"P.S. LOHARSAN DAKSHINI KACHH",685,513,0,1198,377,256,0,633,504,0,174,57,2,131,4,1,1,0,0,6,2,2,231,5,0,0,2,0,1,1,1,2,0,2,6,2,633
116,"P.S. MAHDEVA",313,203,0,516,143,122,0,265,265,0,19,68,7,146,2,0,1,1,0,0,1,1,5,2,1,0,2,2,1,1,0,1,0,1,1,2,265
117,"SADHAN SAHKARI  MUDILA KALA",610,504,0,1114,235,286,0,521,404,0,88,87,4,126,2,3,2,5,1,5,4,2,151,1,3,11,1,3,1,0,1,0,1,4,10,5,521
118,"P.S. SEKHUI URF KOTIYA",517,385,3,905,240,211,0,451,441,0,21,105,11,282,5,1,0,0,0,2,0,1,8,0,1,1,0,0,1,2,0,2,0,3,4,1,451
119,"MADARSA MADINUL ULOOM KARANJOT",670,485,0,1155,252,297,0,549,534,0,155,44,2,104,3,0,4,0,0,1,1,2,218,1,0,3,2,0,1,1,2,0,1,2,2,0,549
120,"P.S. BANKHORIYA",303,226,0,529,148,146,0,294,294,0,39,106,7,119,2,2,1,0,0,1,0,1,1,0,0,2,2,1,0,0,0,1,2,4,2,1,294
121,"P.S. BANAULI",567,498,0,1065,276,276,0,552,400,0,59,29,23,399,7,2,5,6,0,7,3,0,2,1,2,0,0,1,1,1,1,1,0,0,2,0,552
122,"P.S. MOTIPUR",523,449,0,972,241,262,0,503,503,0,149,148,21,77,2,1,0,2,3,4,1,2,66,3,1,9,4,1,0,0,0,2,0,2,5,0,503
123,"P.S. PARSIYA",471,376,0,847,265,251,0,516,516,0,75,45,23,283,5,2,3,4,22,3,1,1,22,2,2,9,0,0,1,2,0,2,0,4,4,1,516
124,"P.S. AGIYAUNA",304,259,0,563,157,189,0,346,250,0,141,90,15,83,2,0,1,0,1,0,1,0,1,0,1,6,2,0,0,0,0,0,0,0,0,2,346
125,"P.S. KOILBHAR",595,501,0,1096,242,321,0,563,563,0,167,97,12,23,3,6,4,2,1,4,1,4,220,3,1,2,0,0,0,2,1,1,2,4,2,1,563
126,"P.S. MAHDEVA PRATHAM KACHH",175,139,0,314,94,95,0,189,135,0,48,113,2,17,0,0,0,0,1,2,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,189
127,"P.S. MAHDEVA DIVTIYA KACHH",302,214,0,516,161,131,0,292,292,0,34,70,19,149,2,1,0,2,1,1,0,1,1,3,1,5,0,0,0,1,1,0,0,0,0,0,292
128,"P.S. BALEPAAR",594,508,0,1102,305,280,0,585,466,0,248,134,10,123,7,1,2,1,2,6,3,1,4,3,4,24,1,0,0,2,1,0,0,4,0,4,585
129,"PURV MADHYAMIK VIDYALAY KANHARAPAARSTHITH BARIYAUNA",398,321,0,719,217,197,0,414,352,0,120,95,20,151,3,1,3,0,1,4,0,3,0,1,1,3,2,0,0,0,1,0,2,0,1,2,414
130,"PURV MADHYAMIK VIDYALAY STHITH BARIYAUNA",245,183,0,428,113,117,0,230,208,0,43,32,12,96,3,2,1,1,0,0,1,0,12,0,1,5,4,1,0,1,1,3,2,0,5,4,230
131,"P.S. BELVA SENGAR PRATHAM KACHH",329,338,0,667,174,169,0,343,302,0,26,50,7,233,3,0,3,0,1,0,0,2,13,2,0,1,0,0,0,0,1,0,0,0,0,1,343
132,"P.S. BELVA SENGAR DIVTIYA KACHH",579,509,0,1088,274,234,0,508,441,0,131,57,21,248,1,0,0,0,0,3,3,4,6,3,0,7,3,2,0,4,1,4,2,1,4,3,508
133,"P.S. CHIRAIHA",373,266,0,639,160,127,0,287,287,0,113,77,6,78,3,1,0,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,287
134,"P.S. CHIRAIHA",384,298,0,682,189,166,0,355,341,0,37,95,16,147,3,0,2,5,3,5,0,1,7,1,2,11,2,1,1,1,1,0,2,1,9,2,355
