"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
34,"PRA0 PATHSHALA ATRI AMILIYA",645,577,0,1222,322,353,0,675,47,0,114,52,168,266,6,3,2,9,2,2,3,6,6,8,6,11,0,3,1,2,2,0,3,0,675
35,"PRA0 PATHSHALA BASAHRA UT0BHAG",851,626,0,1477,402,293,0,695,658,0,98,210,145,177,4,17,0,0,1,2,3,1,3,3,3,14,1,4,1,2,0,0,2,4,695
36,"PRA0 PATHSHALA BASAHRA DH0BHAG",797,598,0,1395,279,192,0,471,156,0,65,167,86,88,5,1,1,0,3,3,5,5,9,4,4,10,3,0,2,5,0,0,0,5,471
37,"JUNOR HIGH SCHOOL SIKI KALA UT0BHAG",720,608,0,1328,377,318,0,695,360,0,224,182,57,163,8,4,0,1,5,0,1,3,2,2,11,12,4,0,0,2,2,0,2,10,695
38,"JUNIR HIGH SCHOOL SINKI KALA DH0BHAG",792,655,0,1447,463,343,0,806,26,0,142,301,145,119,2,15,1,3,4,19,9,4,2,7,5,11,1,1,1,3,2,0,2,7,806
39,"PRA0 PATHSHALA BHAIYA PURAVI BHAG",814,656,0,1470,466,326,0,792,791,0,72,237,314,131,0,1,2,1,3,2,5,1,1,3,3,10,1,1,2,0,1,0,0,1,792
40,"PRA0 PATHSHALA BHAIYA PASHICHAM BHAG",749,569,0,1318,377,201,0,578,540,0,102,111,173,138,3,4,1,2,1,5,2,1,2,2,4,10,2,1,2,6,1,3,0,2,578
41,"PRA0 PATHSHALA CHANDR DAS",264,244,0,508,190,136,0,326,53,0,55,81,90,89,2,1,0,0,0,0,0,0,1,0,1,3,0,1,1,0,0,0,1,0,326
42,"PURVA MADHYMIK VIDYALAY HARGARH PURVI BHAG",661,576,0,1237,376,269,0,645,1,0,213,97,141,120,5,3,1,5,5,0,2,3,1,1,7,16,5,3,0,5,1,1,3,7,645
43,"PURVA MADHYMIK VIDAYALAY HARGARH PASHIAMI BHAG",361,309,0,670,148,90,0,238,10,0,105,22,81,20,1,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,1,238
44,"PRA0 PATHSHALA HARDIHA PURVA BHAG",469,395,0,864,347,255,0,602,23,0,215,36,279,43,0,1,2,0,0,1,0,0,1,4,0,2,11,0,4,1,0,0,1,1,602
45,"PRA0 PATHSHALA HARDIHA MADHAY BHAG",868,703,0,1571,421,309,0,730,725,0,128,296,177,84,6,1,3,0,3,0,1,2,3,4,4,4,1,3,1,2,1,1,3,2,730
46,"PRA0 PATHSHALA  SURAUCHA",515,438,0,953,340,251,0,591,15,0,122,111,258,51,1,3,2,2,3,1,0,6,1,4,7,9,1,0,6,2,0,0,1,0,591
47,"PRA0 PATHSHALA SILAUDHI KALA UT0 BHAG",687,592,0,1279,367,288,0,655,596,0,77,47,195,270,6,25,1,0,2,1,2,2,4,1,3,4,3,0,0,3,0,1,2,6,655
48,"PRA0 PATHSHALA SILAUDHI KALA UT0MA0BHAG",778,644,0,1422,428,343,0,771,771,0,43,33,270,334,10,11,2,0,2,1,4,8,16,8,5,9,2,1,3,1,1,1,4,2,771
49,"PRA0 PATHSHALA KUL BHSA",700,563,1,1264,366,253,0,619,213,0,48,217,182,120,3,2,0,0,2,3,1,5,2,5,4,10,2,2,2,2,3,1,0,3,619
50,"PRA0 PATHSHALA  SIRHIR UT0BHAG",828,703,0,1531,371,302,0,673,647,0,169,72,256,141,2,3,0,0,4,1,5,3,1,3,2,9,1,0,0,0,0,1,0,0,673
51,"PRA0 PATHSHALA SIRHIR DH0BHAG",471,394,0,865,236,188,0,424,13,0,123,65,100,111,3,3,0,0,2,1,1,0,2,2,1,5,0,0,0,2,0,0,1,2,424
52,"JUNIR HIGH SCHOOL PATEHRA",781,647,1,1429,378,305,0,683,137,0,210,115,143,173,4,4,1,1,2,1,1,6,7,2,3,7,1,1,0,0,1,0,0,0,683
53,"PRA0 PATHSHALA SALAUYA KHUDAR PURVI BHAG",471,383,1,855,289,235,0,524,517,0,93,171,61,152,5,1,0,0,0,0,3,2,4,4,5,11,3,1,2,0,1,0,1,4,524
54,"PRA0 PATHSHALA SALAUYA KHURAD PASHICHAM BHAG",453,365,0,818,277,135,0,412,1,0,42,142,63,129,4,0,0,0,0,1,1,2,2,4,2,10,2,2,1,1,0,1,2,1,412
55,"JUNIOR HIGH SCHOOL KHUTA",686,537,0,1223,430,317,0,747,12,0,23,173,258,240,6,1,0,1,1,2,1,1,5,2,7,6,1,5,4,3,3,0,1,3,747
56,"CHANDRSHEKHAR AAJAD JUNIOR HIGHSCHOOL SINGHPUR KHURD PASHICHAM BHAG",648,525,0,1173,387,278,0,665,665,0,140,92,149,245,4,3,1,1,1,3,2,1,1,2,1,5,3,2,2,4,0,0,3,0,665
57,"CHANDRSHEKHAR AAJAD JUNIOR HIGHSCHOOL SINGHPUR KHURD PURVI BHAG",437,346,0,783,280,160,0,440,440,0,174,32,111,78,3,6,1,0,2,1,6,2,0,2,4,5,4,1,2,2,0,0,0,4,440
58,"PRA0VID0CHAND KHAMHRIYA PURVI BHAG",806,606,0,1412,442,297,0,739,41,0,175,238,167,97,2,5,1,1,2,1,2,3,3,4,14,10,4,2,0,2,0,0,2,4,739
59,"PRA.V.CHANDKHAMHARIYA W.PART",489,414,0,903,271,204,0,475,47,0,67,125,121,113,2,6,1,3,1,1,3,0,1,0,8,8,2,1,2,1,1,1,1,6,475
60,"PRA0PATHSHALA SUHAS",669,510,0,1179,394,304,0,698,198,0,124,84,335,105,5,1,1,2,1,3,0,3,4,4,1,9,2,1,6,2,1,0,1,3,698
61,"PRA0PATHSHALA PATHRA",675,579,0,1254,444,368,0,812,62,0,303,176,241,72,3,0,1,1,1,5,2,0,0,0,1,2,2,0,1,1,0,0,0,0,812
62,"PRA0PATHSHALA NEVADA",454,382,0,836,306,233,0,539,139,0,74,116,246,62,0,0,1,0,2,1,2,2,0,2,1,5,6,5,8,3,0,0,2,1,539
63,"PRA0PATHSHALA BISARI",552,486,0,1038,361,275,0,636,1,0,43,112,338,88,3,1,10,0,1,3,0,1,2,3,6,7,4,1,2,3,0,2,0,6,636
64,"PRA0PATHSHALA BAHIYARI KHUDAR PURVI BHAG",470,395,0,865,287,230,0,517,269,0,62,124,170,116,3,2,1,0,0,0,1,0,0,0,3,1,2,6,8,6,2,2,5,3,517
65,"PRA0PATHSHALA CAHIYARI KHURAD PASHICHAM BHAG",598,538,0,1136,318,273,0,591,125,0,106,112,194,113,4,2,1,1,3,2,3,1,1,3,3,7,4,1,2,9,1,2,9,7,591
66,"PRA0PATHSHALA SAYAUYA",618,416,0,1034,310,152,0,462,59,0,14,11,37,307,6,39,1,3,0,2,1,1,7,0,2,12,3,0,1,6,1,0,4,4,462
67,"PRA0PATHSHALA SUJANI SAMODHA PURVI BHAG",757,555,0,1312,348,255,0,603,41,0,19,83,121,327,6,1,2,1,2,1,1,2,2,5,4,9,1,1,3,2,1,1,1,7,603
68,"PRA0PATHSHALA SUJANI SAMODHA PASHICHAM BHAG",479,392,0,871,249,187,0,436,3,0,31,119,125,127,5,5,1,0,1,2,1,4,1,3,3,2,1,2,0,2,1,0,0,0,436
69,"PRA0PATHSHALA KAUHAT",563,419,0,982,371,290,0,661,273,0,112,6,130,370,10,2,0,0,0,0,0,2,0,0,1,2,7,0,3,11,3,2,0,0,661
70,"PRA0PATHSHALA MAHULI KALA",544,380,0,924,263,166,0,429,34,0,96,37,160,90,3,7,0,0,1,0,1,2,1,2,1,2,6,4,4,3,1,2,2,4,429
71,"PRA0PATHSHALA ITAVA KALA",831,744,0,1575,470,399,0,869,326,0,66,177,266,316,6,1,2,0,4,1,2,1,2,4,2,8,7,0,0,1,1,1,1,0,869
72,"PRA0PATHSHALA GHORHA",563,469,0,1032,334,268,0,602,602,0,97,130,100,178,4,4,0,1,5,0,1,1,2,1,4,11,19,8,7,15,2,1,5,6,602
73,"PRA0PATHSHALA SHIROKHAR NAYA DHVAN",620,514,0,1134,304,244,0,548,458,0,97,127,207,75,6,2,0,0,1,1,1,0,0,3,4,10,1,5,1,3,2,0,1,1,548
74,"PRA0PATHSHALA JOKHAI",916,780,0,1696,465,405,0,870,620,0,174,212,130,307,3,11,0,0,1,2,1,1,1,3,5,4,5,2,1,2,2,1,0,2,870
75,"PRA0PATHSHALA AKBAR SHAHPUR",618,469,0,1087,332,255,0,587,1,0,95,52,158,207,8,5,0,2,2,1,0,3,1,3,1,8,7,4,7,8,1,1,3,10,587
76,"PRA0PATHSHALA SIRIYARI NAYA BHAVN PURVI BHAG",713,511,0,1224,338,257,0,595,83,0,60,157,52,282,9,5,2,0,2,2,1,0,2,3,4,5,2,0,2,3,1,0,0,1,595
77,"PRA0PATHSHALA  SIRIYARI NAYA BHAVN PASHIMI",294,253,0,547,165,139,0,304,304,0,88,37,102,53,1,0,0,1,0,0,1,0,0,2,3,9,3,2,0,0,0,0,1,1,304
78,PRA..PA.DHERAHAN,733,601,0,1334,443,347,0,790,183,0,102,130,241,242,3,7,3,2,4,3,4,5,4,2,7,17,2,1,1,3,3,1,0,3,790
79,PRA.PA.GHORI,289,253,0,542,203,170,0,373,24,0,40,94,25,178,2,5,2,3,1,3,3,1,1,1,3,5,1,0,0,0,1,1,2,1,373
80,"PRA.PA.JORVAT PURVI BHAG",567,497,0,1064,403,329,0,732,1,0,19,215,205,228,9,1,1,2,0,0,4,4,10,7,7,8,0,3,2,0,3,0,1,3,732
81,"PRA.PA.JORAVT PASCHIMI BHAG",277,232,0,509,180,160,0,340,17,0,0,134,144,51,0,2,1,0,0,0,0,0,1,1,1,0,0,2,1,1,0,0,1,0,340
82,PRA.PA.PATHAKPUR,319,280,0,599,232,199,0,431,1,0,57,100,200,50,4,0,0,0,0,0,3,0,2,2,5,4,2,0,1,0,0,0,1,0,431
83,"PRA.PA.TAUGA KALA",800,719,0,1519,494,430,0,924,824,0,276,140,177,246,6,1,1,3,6,2,2,0,2,5,1,1,21,3,3,7,1,1,9,10,924
84,"ADIVASHI KHARKA KHASH",706,596,0,1302,436,399,0,835,3,174,174,86,136,341,8,1,2,2,3,1,2,3,3,5,5,11,16,3,2,8,4,0,9,10,835
85,"PRA.PA.CHHAPAR PURVI BHAX",679,582,0,1261,394,285,0,679,670,0,32,261,176,150,3,4,1,2,1,2,0,4,5,3,9,12,2,2,0,5,2,0,2,1,679
86,"PRA.PA.CHHAPAR PASCHIMI BHAX",683,594,0,1277,410,291,0,701,701,0,202,185,100,140,4,4,0,3,3,0,2,2,3,1,8,19,12,3,3,2,1,0,2,2,701
87,"PRA.PA.KUNDHVA URF UCHGAV",668,656,0,1324,462,366,0,828,98,0,59,31,282,373,13,1,3,2,2,3,7,4,8,4,2,8,2,3,5,10,3,1,0,2,828
88,JU.HA.SC.NADAURA,462,386,0,848,208,192,0,400,19,0,8,119,57,173,2,3,0,0,1,2,1,1,0,1,0,5,4,2,2,5,2,1,4,7,400
89,"PRA.PA.DHIHI PATAKHA",269,251,0,520,208,192,0,400,19,0,8,119,57,173,2,3,0,0,1,2,1,1,0,1,0,5,4,2,2,5,2,1,4,7,400
90,".UCHCHPRA.PA. KHIRI PURV BHAG",801,695,0,1496,544,431,0,975,100,0,54,284,268,341,7,4,0,2,0,1,2,1,1,1,5,2,0,0,1,1,0,0,0,0,975
91,"UCCHPRA.PA.KHIRIUTTAR MADYBHAG",774,728,0,1502,527,402,0,929,929,0,46,394,211,218,4,8,0,1,5,1,2,3,1,8,11,9,1,0,2,2,0,0,0,2,929
92,"UCCHPRA.PA.KHIRI D.BHAG",698,597,0,1295,495,366,0,861,861,0,141,218,172,290,7,0,2,2,0,0,1,1,4,4,4,7,2,0,0,0,0,0,2,4,861
93,PRA.PA.KHAPTIHA,377,325,0,702,309,209,0,518,68,0,136,114,193,39,3,0,1,1,1,1,1,0,1,0,1,3,5,5,3,1,2,0,1,6,518
94,PRA.PA.BELSHA,518,480,0,998,289,298,0,587,1,0,32,241,164,118,9,4,1,3,1,2,2,0,1,1,1,3,0,1,1,1,1,0,0,0,587
95,PRA.PA.KHAURIYA,371,322,0,693,237,190,0,427,427,0,16,172,136,75,3,0,2,2,0,2,4,1,2,1,5,5,1,0,0,0,0,0,0,0,427
96,PU.EK.VI.PURADATTU,521,475,0,996,323,311,0,634,63,0,32,211,222,117,4,1,0,1,0,0,1,2,3,7,14,7,2,3,3,1,0,0,2,1,634
97,PRA.PA.KALYANPUR,515,409,0,924,321,185,0,506,196,0,59,59,207,148,7,1,1,1,1,1,3,2,2,3,2,4,1,1,0,2,0,0,0,1,506
98,"PRA.PA.IATAVA KHURD",633,495,0,1128,394,337,0,731,30,0,20,136,183,349,5,5,1,1,1,1,2,0,4,0,3,14,1,2,0,1,0,0,1,1,731
99,"PRA.PA.BAHARAICHA PURVI BHAG",639,563,0,1202,380,301,0,681,448,0,131,252,158,90,1,3,1,2,1,0,0,1,5,1,5,5,7,1,1,4,0,1,2,9,681
100,"PRA.PA.BAHRAICHA P.BHAG",588,512,0,1100,319,247,0,566,566,0,44,201,245,38,1,3,0,0,2,1,3,0,4,6,9,1,2,0,1,0,0,0,1,4,566
101,PRA.PA.BAGHOL,740,647,0,1387,379,380,0,759,500,0,74,276,191,195,7,5,2,1,0,1,0,0,0,1,1,2,2,0,0,0,0,0,1,0,759
102,"PRA.PA.KIHUNI KHURD",612,501,0,1113,374,282,0,656,529,0,42,141,345,106,4,0,2,0,0,0,0,1,0,0,0,8,1,3,2,0,1,0,0,0,656
103,"PRA.PA.KIHUNI KALA",422,330,0,752,280,216,0,496,108,0,259,44,124,30,1,2,3,1,0,2,4,1,0,1,3,2,9,1,5,2,0,0,1,1,496
104,"PRA.PA.PANVARI PU.BHAG",512,456,0,968,277,214,0,491,367,0,195,67,112,65,7,4,1,0,1,0,3,1,0,3,8,12,2,1,3,2,0,0,1,3,491
105,PRA.PA.M.BHAG,632,623,0,1255,380,321,0,701,683,0,120,221,182,66,1,0,4,2,1,0,3,2,3,2,10,14,18,21,13,6,3,1,1,7,701
106,PRA.PA.JAMSOT,383,327,0,710,253,194,0,447,14,0,85,95,126,113,3,1,0,0,1,1,1,2,1,3,2,11,1,0,0,0,0,0,0,1,447
107,PRA.PA.CHAPARO,589,477,0,1066,343,262,0,605,7,0,75,107,249,138,3,4,0,0,1,1,1,1,1,3,2,10,0,2,2,0,1,0,0,4,605
108,PRA.PA.OBARI,280,247,0,527,180,164,0,344,100,0,41,35,75,162,4,2,11,0,1,0,0,1,1,0,2,5,1,1,0,1,0,0,0,1,344
109,"PRA.PA.SHAMLIPUR P.BHAG",578,509,0,1087,390,309,0,699,699,0,111,218,166,160,4,2,3,1,0,2,1,0,0,0,5,7,4,3,3,3,0,3,0,3,699
110,"PRA.PA.SAMALIPUR P.BHAG",557,495,0,1052,330,206,0,536,536,0,61,178,203,63,1,0,0,0,1,3,1,1,4,3,6,5,0,0,2,3,0,0,0,1,536
111,PU.MA.VI.PURACHNDEAL,230,210,0,440,150,153,0,303,290,0,36,22,33,190,2,0,0,0,1,1,0,1,2,0,5,3,0,0,1,1,1,0,1,3,303
112,PRA.PA.PASANAPU.BHAG,813,731,0,1544,468,411,0,879,12,0,71,357,166,164,11,3,3,0,2,1,3,2,2,8,3,16,10,17,7,14,5,1,5,8,879
113,"PRA.PA.PASANA P.BHAG",436,371,0,807,310,175,0,485,485,0,45,60,322,40,1,4,2,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,485
114,PRA.PA.BABHANPATTI,388,339,0,727,238,220,0,458,2,0,63,32,214,111,6,1,1,0,1,1,1,2,4,0,1,4,1,1,9,3,1,0,1,0,458
115,PRA.PA.BELHAT,783,689,0,1472,483,426,0,909,909,0,428,122,223,74,3,5,2,1,4,1,1,1,3,6,3,12,10,1,1,2,1,3,0,2,909
116,"PRA.PA.BELAVANIYA PRATHAM BHAG",508,445,0,953,297,261,0,558,558,0,151,45,230,92,2,1,1,0,2,0,0,1,0,6,1,8,1,1,4,4,1,0,2,5,558
117,"PRA.PA.BELAVANIYA DUTIYABHAG",640,553,0,1193,330,266,0,596,129,0,131,23,171,196,3,0,0,0,4,5,2,1,1,3,3,9,15,2,3,8,2,2,7,5,596
118,PRA.PA.PARA,361,321,0,682,231,197,0,428,428,0,121,128,137,24,1,1,1,0,1,2,0,0,0,0,1,3,3,1,1,0,2,0,0,1,428
119,PRA.PA.RATYORA,705,625,0,1330,375,355,0,730,730,0,164,115,137,252,6,2,1,1,5,4,2,1,5,3,3,12,0,4,0,1,1,4,4,3,730
120,PRA.PA.BAKHAR,541,427,0,968,263,232,0,495,60,0,72,112,175,120,2,0,1,0,0,0,2,0,0,0,1,8,0,0,0,2,0,0,0,0,495
121,"GOMATIDEVI JU.HA.GIRGOTHA PU.BHAG",636,549,0,1185,308,257,0,565,101,0,89,73,147,221,2,1,1,3,2,2,0,2,2,1,5,2,3,2,0,1,1,1,2,2,565
122,"GOMATIDEVI JU.HA.GIRGOTHA P.BHAG",292,256,0,548,158,142,0,300,18,0,119,96,16,42,2,4,1,1,3,0,2,0,2,0,2,4,1,0,0,1,0,1,0,3,300
123,PRA.PA.KURAHARA,592,521,0,1113,307,234,0,541,31,0,233,21,155,91,3,3,1,0,0,3,1,1,1,3,4,9,4,0,2,1,0,1,0,4,541
124,"PRA.PA.UNCHDHIH U.BHAG",642,575,0,1217,343,274,0,617,20,0,108,87,236,134,6,6,1,1,5,1,2,1,1,3,4,5,2,4,1,2,2,1,0,4,617
125,"PRA.PA.UNCHDHIH P..BHAG",337,276,0,613,209,149,0,358,20,0,81,55,131,78,0,1,0,0,0,0,1,0,1,1,0,3,2,2,0,0,0,0,0,2,358
126,PRA.PA.SIRAUTHI,649,579,0,1228,418,348,0,766,166,0,83,141,229,263,3,6,1,1,3,4,0,1,2,2,5,9,2,1,3,0,1,0,2,4,766
127,"PRA.PA.DASVAR U.BHAG",502,435,0,937,290,203,0,493,487,0,86,16,295,77,0,3,0,0,0,1,0,1,0,2,0,7,2,0,0,0,0,0,1,2,493
128,"PRA.PA.DASVAR D.BHAG",437,387,0,824,226,235,0,461,117,0,185,40,182,24,1,1,2,1,1,0,0,1,2,1,4,8,4,0,1,0,2,1,0,0,461
129,PRA.PA.GERUVADHIHA,818,713,0,1531,453,385,0,838,819,0,180,91,246,269,4,4,0,1,0,2,4,4,1,3,3,9,3,2,0,0,3,1,3,5,838
130,PRA.PA.DHRI,275,227,0,502,193,148,0,341,321,0,70,3,128,125,1,1,0,0,3,1,0,1,0,1,1,1,1,0,1,0,0,2,0,1,341
131,"PRA.PA.BANAVARI KHAS",741,640,0,1381,428,379,0,807,752,0,221,30,177,307,11,2,1,1,3,2,1,1,5,5,4,9,2,0,2,7,1,3,6,6,807
132,PRA.PA.MEHAJAGEER,787,680,0,1467,500,392,0,892,892,0,228,29,285,281,4,4,2,2,4,3,3,1,5,3,3,19,5,2,1,4,1,0,1,2,892
133,"PRA.PA. KOSADHA KHURD",595,494,0,1089,404,341,0,745,745,0,191,24,396,104,3,0,0,2,2,3,1,2,2,1,3,6,0,0,1,2,1,0,0,1,745
