"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NEERAJ SHEKHAR","2 - BHARAT SINGH","3 - VIRENDRA KUMAR PATHAK","4 - SUDHA RAI","5 - AFZAL ANSARI","6 - AVADHESH VERMA","7 - COL RETD. BHARAT SINGH SHAURYA CHAKRA","8 - MANNU YADAV","9 - RAMJI","10 - RAMROOP","11 - SUCHIT GOND","12 - BHOLA NATH","13 - MANISH","14 - MANOJ","15 - SHESHNATH","16 - None of the Above","Total Votes Secured"
66,"P.P. BABUBEL SATHIT BAGHAUCH SOUTH",493,372,0,865,208,164,0,372,372,0,124,149,65,8,13,0,1,0,0,1,0,0,1,5,2,3,372
67,"P.P. BELHARI WEST",456,387,0,843,197,165,0,362,362,0,97,162,44,6,30,2,1,0,0,1,1,2,3,7,2,4,362
68,"P.P. BELHARI MIDDLE",595,464,0,1059,231,202,0,433,433,0,75,179,116,14,19,2,1,1,0,5,6,3,2,2,3,5,433
69,"P.P. BELHARI EAST",770,587,0,1357,326,238,0,564,564,0,184,210,35,12,97,1,0,0,1,7,0,2,2,5,5,3,564
70,"JUNIOR HIGH SCHOOL RUDRAPUR SATHIT BELHARI NORTH",583,428,0,1011,214,170,0,384,384,0,40,276,41,11,6,0,1,0,1,0,0,1,0,1,4,2,384
71,"JUNIOR HIGH SCHOOL RUDRAPUR SATHIT BELHARI SOUTH",747,547,0,1294,301,243,0,544,544,0,82,343,74,4,5,1,1,1,0,2,2,1,8,5,8,7,544
72,"P.P. SHUKALCHHAPARA EAST",859,601,0,1460,331,230,0,561,561,0,23,235,155,10,85,2,1,3,1,6,1,3,7,14,5,10,561
73,"P.P. SHUKALCHHAPARA WEST",637,470,0,1107,239,179,0,418,418,0,74,211,71,9,22,1,2,1,0,4,0,1,4,5,5,8,418
74,"P.P. DHARAMPURA BELHARI",677,499,0,1176,409,322,0,731,731,0,143,452,99,4,15,0,1,0,0,0,0,1,3,7,6,0,731
75,"P.P. GARYA SATHIT BELHARI",374,295,0,669,155,109,0,264,264,0,87,122,18,7,21,2,0,1,0,0,0,0,1,1,1,3,264
76,"P.P. GARYA SATHIT BELHARI",465,366,0,831,222,173,0,395,395,0,28,158,105,4,90,1,0,0,0,1,0,3,0,5,0,0,395
77,"P.P. MAJHAUA EAST",492,390,0,882,196,165,0,361,361,0,64,264,6,3,3,0,0,0,1,0,4,1,2,2,5,6,361
78,"P.P. MAJHAUA WEST",480,365,0,845,168,168,0,336,336,0,35,156,82,16,13,0,1,0,0,3,14,1,6,4,1,4,336
79,"P.P. MAJHAUA EAST NAYA BHAWAN",480,373,0,853,208,182,0,390,390,0,103,208,27,25,9,0,6,1,1,2,2,1,1,2,2,0,390
80,"P.P. MAJHAUA WEST NAYA BHAWAN",448,360,0,808,187,166,0,353,353,0,84,230,21,7,3,0,3,0,0,0,0,1,1,0,2,1,353
81,"P.P. MALIKPURA",300,260,0,560,164,111,0,275,275,0,30,220,7,8,1,0,0,0,0,0,0,0,5,2,1,1,275
82,"P.P. NARAYANPUR SATHIT GANGAPUR",469,396,1,866,181,149,0,330,330,0,47,198,51,6,5,1,0,0,1,1,2,2,1,4,6,5,330
83,"P.P. NARAYANPUR SATHIT GANGAPUR",425,332,0,757,174,131,0,305,305,0,24,157,93,5,8,1,0,0,0,0,2,2,3,7,1,2,305
84,"P.P. NARAYANPUR SATHIT GANGAPUR MIDDLE",581,446,1,1028,271,184,0,455,455,0,62,295,29,15,15,0,1,1,2,1,2,3,9,13,5,2,455
85,"P.P. PIYARAUTA EAST",635,505,1,1141,238,183,0,421,421,0,108,264,16,4,7,0,1,1,0,2,11,1,0,2,0,4,421
86,"P.P. PIYARAUTA MIDDLE",466,344,0,810,187,153,0,340,340,0,23,280,9,4,2,0,2,0,2,2,7,0,3,4,1,1,340
87,"P.P. PIYARAUTA WEST",566,409,0,975,229,162,0,391,391,0,60,212,87,3,11,0,0,0,0,0,0,1,0,4,5,8,391
88,"P.P. DIGHAR EAST",799,569,0,1368,335,221,0,556,556,0,62,333,104,18,20,1,0,0,2,1,1,1,1,12,0,0,556
89,"P.P. MIDDLE",418,361,0,779,178,125,0,303,303,0,39,101,98,7,42,1,1,0,0,1,6,0,1,2,2,2,303
90,"P.P. DIGHAR WEST",363,301,0,664,144,131,0,275,275,0,65,83,80,4,18,1,2,1,0,1,12,2,2,2,0,2,275
91,"S.M. CONVENT SCHOOL GANGAPUR",335,246,0,581,115,96,0,211,211,0,39,102,51,6,5,1,0,0,0,0,2,1,1,2,1,0,211
92,"S.M. CONVENT SCHOOL GANGAPUR",163,103,0,266,79,47,0,126,126,0,49,68,4,0,2,0,0,0,0,0,0,0,0,2,0,1,126
93,"S.M. CONVENT SCHOOL GANGAPUR",393,290,0,683,162,133,0,295,295,0,82,106,100,2,3,0,0,0,0,0,0,0,0,2,0,0,295
94,"P.P. DURJANPUR STHIT GANGAPUR",483,392,0,875,225,183,0,408,408,0,97,133,148,9,0,1,0,0,0,0,1,1,2,5,2,9,408
95,"SADHAN SAHAKARI SAMITI RAMGAR STHIT GANGAPUR",593,455,0,1048,257,173,0,430,430,0,68,198,28,8,100,3,4,1,1,4,0,1,3,4,5,2,430
96,"SADHAN SAHAKARI SAMITI RAMGAR STHIT GANGAPUR",649,537,0,1186,270,199,0,469,469,0,77,272,47,18,8,1,2,1,0,3,4,5,4,7,11,9,469
97,"DHUPARAM PYARI DEVI BALIKA VIDHAYALAY BALIHAR NORTH",695,541,0,1236,288,227,0,515,515,0,57,240,144,9,26,3,2,0,1,3,0,4,10,8,3,5,515
98,"DHUPARAM PYARI DEVI BALIKA VIDHAYALAY BALIHAR SOUTH",846,606,0,1452,316,299,0,615,615,0,172,147,138,4,120,2,8,2,0,3,2,2,4,6,0,5,615
99,"P.P. SHIVCHAK TANDI SATHIT NAUKAGAO",493,351,0,844,305,190,0,495,495,0,65,307,62,4,11,7,2,1,0,0,6,2,7,12,3,6,495
100,"P.P. NAUKAGAO EAST",632,537,0,1169,339,248,0,587,587,0,83,363,121,8,1,0,1,0,0,0,0,1,0,4,2,3,587
101,"P.P. NAUKAGAO EAST",697,553,0,1250,388,233,0,621,621,0,170,320,96,8,16,3,1,0,0,1,1,1,0,2,0,2,621
102,"P.P. DAYACHHAPARA N0-2",444,374,0,818,222,180,0,402,402,0,172,148,34,8,11,0,1,1,1,3,11,1,3,4,0,4,402
103,"P.P. DAYACHHAPARA N0-2",449,396,1,846,265,213,0,478,478,0,236,188,12,3,19,1,1,1,0,1,4,0,3,4,3,2,478
104,"P.P. DAYACHHAPARA N0-1",716,533,0,1249,331,260,0,591,591,0,110,334,72,28,0,2,1,0,2,1,22,0,2,7,6,4,591
105,"JUNIOR HIGH SCHOOL DAYACHHAPARA",429,348,0,777,221,171,0,392,392,0,32,119,219,12,0,1,0,1,1,0,2,0,1,3,0,1,392
106,"JUNIOR HIGH SCHOOL DAYACHHAPARA",391,315,0,706,195,130,0,325,325,0,64,135,104,1,1,0,1,1,2,0,0,1,0,6,1,8,325
107,"P.P. BADHANCHAK SATHIT DAYACHHAPARA",415,312,0,727,221,145,0,366,366,0,189,115,8,0,47,0,1,0,0,1,0,1,0,1,1,2,366
108,"JUNIOR HIGH SCHOOL BUDHANCHAK SATHIT DAYACHHAPARA",487,387,0,874,249,173,0,422,422,0,76,225,53,6,42,1,1,0,0,6,10,0,0,1,1,0,422
109,"P.P.  DALAPATPUR NORTH",507,384,0,891,260,185,0,445,445,0,257,103,46,7,1,0,1,0,1,1,5,1,9,3,4,6,445
110,"P.P. DALAPATPUR SOUTH",460,361,0,821,260,206,0,466,466,0,306,84,43,2,14,3,0,1,1,0,0,0,1,3,1,7,466
111,"P.N. INTER COLLAGE DUBEYCHHAPARA",735,608,0,1343,281,236,0,517,517,0,222,149,59,7,43,1,0,0,0,5,4,1,4,8,2,12,517
112,"P.N. INTER COLLAGE DUBEYCHHAPARA",420,414,0,834,190,162,0,352,352,0,39,222,71,7,2,2,1,0,1,1,0,1,1,2,1,1,352
113,"P.N.  INTER COLLAGE DUBEYCHHAPARA MIDDLE",483,414,0,897,241,154,0,395,395,0,53,186,127,7,1,0,0,1,0,1,1,1,3,3,3,8,395
114,"P.P. UDAICHHAPARA",376,313,0,689,216,162,0,378,378,0,147,87,107,5,16,0,0,0,0,1,4,1,1,2,2,5,378
115,"P.P. PRASAD CHHAPARA",269,219,0,488,168,115,0,283,283,0,51,173,20,3,30,1,0,0,0,0,0,1,1,2,1,0,283
116,"P.P. SUGHARCHHAPARA SATHIT GRAM KEHARPUR",620,518,0,1138,247,189,0,436,436,0,103,192,33,14,82,2,1,0,0,0,2,0,2,5,0,0,436
117,"JUNIOR HIGH SCHOOL SUGHARCHHPARA SATHIT GRAM KEHARPUR",502,452,0,954,212,213,0,425,425,0,118,154,107,5,15,0,5,0,0,11,0,0,1,3,4,2,425
118,"P.P. SHRINAGAR",496,387,1,884,266,164,0,430,430,0,46,315,50,9,3,1,0,0,0,0,0,0,0,3,3,0,430
119,"P.P. RAMPUR MISHRA SATHIT JAGDEVA EAST",725,563,0,1288,356,261,0,617,617,0,60,327,70,7,115,2,1,1,2,3,2,2,3,10,6,6,617
120,"P.P. RAMPUR MISHRA SATHIT JAGDEVA WEST",718,577,0,1295,330,254,0,584,584,0,83,386,77,11,16,2,0,1,1,1,0,0,1,3,0,2,584
121,"JUNIOR HIGH SCHOOL PANDEYPUR SATHIT JAGDEVA EAST",410,359,0,769,179,171,0,350,350,0,56,209,15,4,58,0,0,0,0,1,0,0,1,2,4,0,350
122,"JUNIOR HIGH SCHOOL PANDEYPUR SATHIT JAGDEVA MIDDLE",429,321,0,750,215,134,0,349,349,0,73,167,28,7,60,1,1,0,0,1,0,3,3,2,0,3,349
123,"JUNIOR HIGH SCHOOL PANDEYPUR SATHIT JAGDEVA WEST",668,500,0,1168,267,174,0,441,441,0,80,252,38,4,53,2,1,0,1,2,0,0,2,5,0,1,441
124,"P.P. TENGARAHI NORTH",532,459,0,991,222,191,0,413,413,0,158,201,18,16,1,1,1,0,0,0,0,1,3,4,2,7,413
125,"P.P. TENGARAHI SOUTH",612,479,0,1091,309,214,0,523,523,0,104,303,72,17,4,1,1,1,0,1,1,0,7,4,3,4,523
126,"P.P. TENGARAHI EAST",553,452,0,1005,250,191,0,441,441,0,141,203,73,9,1,0,2,1,0,0,0,1,2,4,1,3,441
127,"ADARSH P.P. CHANDPUR EAST",781,570,0,1351,400,333,0,733,733,0,219,421,44,7,13,0,0,2,1,0,2,3,6,3,3,9,733
128,"ADARSH P.P. CHANDPUR MIDDLE",733,571,0,1304,350,244,0,594,594,0,152,330,24,6,44,1,6,1,0,2,1,1,1,13,3,9,594
129,"ADARSH P.P. CHANDPUR WEST",546,401,0,947,284,210,0,494,494,0,31,205,173,3,54,0,0,0,0,6,1,2,5,5,2,7,494
130,"RAMIKBAL BABA JUNIOR HIGH SCHOOL CHANDPUR",215,131,0,346,100,78,0,178,178,0,73,78,5,1,13,0,3,0,0,2,0,0,0,0,0,3,178
131,"P.P. GOVINDPUR",349,305,0,654,182,149,0,331,331,0,24,222,48,11,14,1,1,1,0,0,0,1,5,1,2,0,331
132,"P.P. CHARAJPURA",283,256,0,539,173,146,0,319,319,0,15,212,71,10,1,1,2,1,0,0,1,0,2,2,0,1,319
133,"P.P. SHRIPALPUR",389,274,0,663,235,138,0,373,373,0,184,115,61,7,3,0,0,0,0,0,0,0,0,0,0,3,373
134,P.P.LAXMIPUR,457,379,0,836,243,207,0,450,450,0,81,130,210,5,3,0,6,0,1,0,0,0,4,6,1,3,450
135,"P.P. SAVANCHHAPARA NORTH",358,306,0,664,161,131,0,292,292,0,150,122,7,2,1,1,0,0,0,1,0,0,0,3,3,2,292
136,"P.P. SAVANCHHAPARA SOUTH",441,378,0,819,272,236,0,508,508,0,145,117,168,9,23,2,5,1,2,2,7,2,2,10,2,11,508
137,"P.P. CHIRANJICHHAPARA EAST",530,387,0,917,293,182,0,475,475,0,138,217,24,4,71,2,4,4,0,2,0,3,3,2,1,0,475
138,"P.P. CHIRANJICHHAPARA WEST",410,307,0,717,205,190,0,395,395,0,54,122,5,8,193,3,0,0,0,3,0,0,2,0,2,3,395
139,"A.N.DEV U.M.V. BAHUARA SOUTH",633,517,0,1150,247,201,0,448,448,0,69,285,63,13,5,0,3,0,0,0,0,1,2,3,2,2,448
140,"A.N.DEV U.M.V. BAHUARA NORTH",732,559,0,1291,276,237,0,513,513,0,106,338,29,4,11,0,2,0,0,1,0,0,3,6,6,7,513
141,"P.P. JAICHHAPARA",682,511,0,1193,295,235,0,530,530,0,236,213,36,16,4,1,0,0,1,0,1,3,4,5,1,9,530
142,"JUNIOR HIGH SCHOOL BHUSAULA NORTH",501,380,0,881,239,173,0,412,412,0,77,243,32,10,29,0,2,0,0,0,1,1,8,2,2,5,412
143,"JUNIOR HIGH SCHOOL BHUSAULA SOUTH",483,321,0,804,242,179,0,421,421,0,50,274,46,32,1,1,1,0,2,0,0,1,3,6,3,1,421
144,"P.P. JAGDIPUR",399,253,0,652,199,138,0,337,337,0,19,283,7,17,5,0,1,0,0,0,2,0,0,0,1,2,337
145,"JUNIOR HIGH SCHOOL NAURNGA NORTH",582,449,0,1031,398,217,0,615,615,0,19,482,6,5,30,0,0,0,1,60,0,2,2,3,2,3,615
146,"JUNIOR HIGH SCHOOL NAURNGA MIDDLE",528,473,0,1001,331,300,0,631,631,0,85,303,165,3,7,0,1,0,0,57,1,0,2,0,0,7,631
147,"JUNIOR HIGH SCHOOL NAURANGA MIDDLE",497,399,0,896,351,219,0,570,570,0,26,504,28,5,1,0,0,1,0,0,0,0,1,3,1,0,570
148,"JUNIOR HIGH SCHOOL NAURANGA MIDDLE",398,316,0,714,345,214,0,559,559,0,2,518,2,0,27,1,0,0,0,6,0,1,0,1,0,1,559
149,"JUNIOR HIGH SCHOOL SOUTH",468,381,0,849,369,221,0,590,590,0,4,582,1,1,0,0,0,0,0,0,0,0,1,0,1,0,590
150,"P.P. BHAGWANPUR CHAKKI NAURANGA",429,381,0,810,209,188,0,397,397,0,15,207,125,13,5,1,1,0,0,0,0,1,4,7,7,11,397
151,"P.P. SHIVPUR KAPUR DIAR EAST",496,365,0,861,248,159,0,407,407,0,209,164,7,9,1,1,3,0,0,0,1,0,4,3,1,4,407
152,"P.P. SHIVPUR KAPUR DIAR WEST",575,492,0,1067,253,170,0,423,423,0,205,133,63,4,11,1,0,0,0,1,1,0,0,3,1,0,423
153,"P.P. SEMARIA",620,540,0,1160,278,235,0,513,513,0,136,241,60,12,19,2,2,1,1,4,2,2,7,11,6,7,513
154,"P.P. GARERIYA SATHIT SHIVPUR KAPUR DIAR",565,462,0,1027,273,233,0,506,506,0,58,285,132,6,14,4,1,0,0,3,1,0,0,0,1,1,506
155,"P.P. DALAKI N0-1",552,360,0,912,212,168,0,380,380,0,144,178,26,3,6,2,1,0,0,3,2,0,3,4,1,7,380
156,"P.P. LACHHU TOLA NORTH",545,375,0,920,278,139,0,417,417,0,301,77,7,1,6,0,0,0,0,3,0,0,2,1,4,15,417
157,"P.P. LACHHU TOLA SOUTH",537,375,0,912,280,178,0,458,458,0,216,132,42,4,23,0,2,0,0,3,2,2,0,11,8,13,458
158,"P.P. ARAJI MAFI BAL GOVIND RAI UPADHYAY NORTH",390,297,0,687,188,137,0,325,325,0,198,108,3,2,5,1,1,0,0,0,0,0,1,2,1,3,325
159,"P.P. ARAJI MAFI BAL GOVIND RAI UPADHYAY SOUTH",521,394,0,915,229,191,0,420,420,0,106,203,43,15,22,2,1,0,0,2,0,2,6,6,7,5,420
160,"RAMNATH INTER COLLAGE MAURARPATTI EAST",572,444,0,1016,227,178,0,405,405,0,31,261,84,11,1,0,0,0,0,1,0,2,2,1,7,4,405
161,"RAMNATH INTER COLLAGE MURARPATTI WEST",706,607,0,1313,397,290,0,687,687,0,265,171,183,5,28,0,2,1,1,1,1,0,4,10,5,10,687
162,"P.P. HRIDAYCHAK",657,511,0,1168,344,285,0,629,629,0,65,144,383,8,5,2,4,3,0,1,0,1,3,6,2,2,629
163,"P.P. GARERIYA SATHIT GRAM MURARPATTI",567,461,0,1028,336,299,0,635,635,0,25,436,122,34,2,0,0,0,0,2,0,0,4,6,3,1,635
164,"P.P. VAJIDPUR NORTH",694,530,0,1224,251,185,0,436,436,0,138,263,27,0,0,0,4,0,0,0,0,0,2,1,0,1,436
165,"P.P. DALANCHHAPARA N0-1",698,540,0,1238,371,217,0,588,588,0,54,221,271,11,16,0,2,2,0,2,0,1,2,4,2,0,588
166,"P.P. RAMPUR KODAHARA",545,458,0,1003,422,294,0,716,716,0,656,44,3,0,6,1,1,0,0,4,1,0,0,0,0,0,716
