"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA KUMAR OJHA","2 - BRIJ BHUSAN SHARAN SINGH","3 - MUKESH SRIVASTAV ALIAS GYANENDRA PRATAP","4 - VINOD KUMAR ALIAS  PANDIT SINGH","5 - GOVIND PRASAD","6 - CHAMAN LAL KASAUNDHAN","7 - NIRHU","8 - NIHALUDDIN AHAMAD","9 - RIZWAN AHMAD","10 - JAMEER AHMAD","11 - NISHANT KANCHAN","12 - PRAHLAD  NATH MISHRA","13 - MUNNI","14 - RAMPHER  ALIAS  CHUNTI","15 - None of the Above","Total Votes Secured"
31,BARSADA,394,345,0,739,287,216,0,503,503,0,46,200,21,196,6,0,0,0,3,2,1,5,4,4,15,503
32,BARSADA,585,528,0,1113,329,297,0,626,626,0,59,276,47,198,6,1,0,2,1,4,4,2,5,10,11,626
33,KHADAURA,656,580,0,1236,442,356,0,798,798,0,230,268,69,171,4,2,2,1,4,3,3,2,6,7,26,798
34,SISAE,715,644,0,1359,379,398,0,777,777,0,205,324,12,202,4,0,1,2,1,2,1,4,1,10,8,777
35,KHAMHRAUNI,677,620,0,1297,356,404,0,760,760,0,177,291,35,219,4,2,0,2,0,4,3,0,4,7,12,760
36,BANJARWA,321,266,0,587,199,173,0,372,372,0,46,163,17,137,1,0,0,0,0,2,2,0,1,0,3,372
37,LILOEKHURD,514,451,0,965,286,267,0,553,553,0,126,212,25,163,2,1,0,1,0,2,4,2,2,10,3,553
38,PAKWANGAON,809,716,0,1525,451,367,0,818,818,0,122,296,111,212,6,2,7,4,3,5,6,5,6,3,30,818
39,PAKWANGAON,601,513,0,1114,324,256,0,580,580,0,168,298,12,82,3,0,0,0,3,0,2,1,0,6,5,580
40,PAKWANGAON,621,551,0,1172,304,235,0,539,539,0,98,285,28,87,1,1,1,1,7,4,3,1,5,12,5,539
41,BAKIYAPUR,569,480,0,1049,309,273,0,582,582,0,196,125,13,201,3,1,2,1,2,6,2,2,1,7,20,582
42,BAKIYAPUR,887,750,0,1637,448,399,0,847,845,0,162,311,45,247,11,2,3,2,5,7,3,7,7,20,15,847
43,AADAMPUR,633,527,0,1160,337,306,0,643,641,0,59,325,15,210,9,1,5,0,0,1,2,0,1,8,7,643
44,AADAMPUR,297,293,0,590,174,177,0,351,351,0,48,94,9,180,5,0,1,2,1,4,1,1,1,2,2,351
45,AADAMPUR,688,578,1,1267,398,356,0,754,753,0,226,257,25,210,2,2,0,1,1,8,3,0,5,7,7,754
46,AADAMPUR,359,345,0,704,208,214,0,422,422,0,89,196,4,106,1,0,1,1,1,1,1,4,2,8,7,422
47,GANGARAULI,450,365,0,815,237,140,0,377,375,0,56,230,10,53,0,0,0,1,1,2,1,1,2,12,8,377
48,GANGARAULI,661,553,0,1214,340,237,0,577,577,0,48,373,28,92,3,0,1,1,1,5,2,4,3,12,4,577
49,GANGARAULI,273,215,0,488,138,112,0,250,248,0,61,129,13,34,2,0,0,0,0,0,0,0,1,4,6,250
50,LILOEKALA,841,733,0,1574,428,395,0,823,823,0,50,412,26,306,7,1,0,5,2,0,1,1,3,4,5,823
51,LILOEKALA,543,483,0,1026,310,254,0,564,564,0,45,358,28,117,2,0,0,4,1,0,1,0,1,4,3,564
52,LILOEKALA,346,308,0,654,166,157,0,323,323,0,31,184,14,80,0,1,0,0,8,2,0,0,0,0,3,323
53,BADLEPUR,834,715,0,1549,472,364,0,836,835,0,184,447,44,109,3,2,2,2,4,3,4,4,2,12,14,836
54,TELHA,538,464,0,1002,267,275,0,542,540,0,50,234,13,230,5,0,0,0,4,1,1,0,0,2,2,542
55,BARAULI,765,668,0,1433,441,302,0,743,743,0,90,436,5,174,11,2,0,2,1,3,0,1,3,6,9,743
56,BARAULI,478,378,0,856,316,174,0,490,490,0,202,112,21,99,2,3,0,1,2,1,4,6,10,10,17,490
57,BARAULI,631,475,0,1106,283,206,0,489,488,0,50,223,21,178,1,1,1,0,1,2,3,1,1,3,3,489
58,BARAULI,354,295,0,649,190,171,0,361,360,0,24,168,9,137,3,1,1,1,2,1,0,0,2,7,5,361
59,BARAULI,546,398,0,944,288,195,0,483,483,0,28,177,16,219,7,2,1,0,0,3,8,6,4,4,8,483
60,BARAULI,543,445,0,988,345,239,0,584,584,0,51,278,7,226,1,1,0,1,3,0,4,1,2,5,4,584
61,BARAULI,610,512,0,1122,328,296,0,624,596,0,110,170,22,271,4,2,0,2,2,8,6,3,5,11,8,624
62,BARAULI,583,488,0,1071,324,276,0,600,600,0,154,258,45,100,3,2,1,1,0,6,2,1,5,10,12,600
63,MUKUNDPUR,643,538,0,1181,365,317,0,682,682,0,93,383,17,149,5,1,1,1,1,1,4,6,7,6,7,682
64,MUKUNDPUR,605,539,0,1144,328,266,0,594,590,0,131,326,13,96,1,3,0,2,2,3,3,3,5,2,4,594
65,UMARIBEGAMGANJ,501,431,0,932,284,208,0,492,486,0,111,282,19,59,2,0,0,2,2,2,0,1,1,10,1,492
66,UMARIBEGAMGANJ,446,331,0,777,252,179,0,431,430,0,57,198,16,128,3,3,1,1,1,4,0,2,1,9,7,431
67,UMARIBEGAMGANJ,417,389,0,806,229,211,0,440,440,0,93,152,14,161,3,2,1,0,1,0,2,1,1,5,4,440
68,UMARIBEGAMGANJ,537,522,0,1059,333,298,0,631,631,0,45,459,26,77,1,1,0,1,0,3,0,2,1,2,13,631
69,UMARIBEGAMGANJ,737,634,0,1371,484,328,0,812,812,0,138,425,27,169,4,3,2,2,1,4,5,4,4,9,15,812
70,UMARIBEGAMGANJ,539,470,1,1010,296,257,0,553,553,0,66,218,15,219,7,1,1,0,4,1,0,2,5,5,9,553
71,UMARIBEGAMGANJ,775,663,0,1438,478,413,0,891,891,0,217,481,54,70,5,2,1,3,0,7,4,6,11,18,12,891
72,UMARIBEGAMGANJ,539,420,0,959,294,202,0,496,496,0,127,155,34,132,6,0,1,2,2,4,0,2,8,8,15,496
73,JAFRAPUR,520,445,0,965,281,285,0,566,566,0,57,246,25,207,3,3,1,2,2,2,3,5,0,2,8,566
74,JAFRAPUR,370,322,0,692,242,191,0,433,432,0,81,179,14,128,3,1,0,1,0,3,1,1,2,5,14,433
75,DIKSIR,639,520,0,1159,396,271,0,667,667,0,62,447,36,89,7,2,2,0,4,2,2,1,1,7,5,667
76,DIKSIR,636,563,0,1199,319,280,0,599,599,0,133,224,24,187,3,2,4,0,2,4,1,5,4,4,2,599
77,DIKSIR,262,238,0,500,128,113,0,241,241,0,63,95,31,30,3,0,3,0,2,2,2,3,1,1,5,241
78,BADNAPUR,651,542,0,1193,246,380,0,626,626,0,107,196,20,262,4,0,2,0,0,4,4,6,6,6,9,626
79,BADNAPUR,570,469,0,1039,305,220,0,525,518,0,62,91,39,307,1,2,4,2,2,0,2,0,1,7,5,525
80,AKAUNI,772,615,0,1387,380,331,0,711,709,0,222,220,30,185,2,2,3,1,2,4,2,3,4,12,19,711
81,AKAUNI,388,347,0,735,193,161,0,354,354,0,126,154,17,41,0,1,0,0,2,4,2,0,1,5,1,354
82,PUREDAL,736,540,0,1276,363,264,0,627,627,0,235,153,39,163,1,1,3,1,3,3,4,4,5,5,7,627
83,PUREMIRJA,359,263,0,622,215,150,0,365,361,0,68,139,34,102,1,3,1,1,1,1,1,2,1,5,5,365
84,SEMRIKALA,633,542,0,1175,369,285,0,654,654,0,240,219,11,146,5,2,1,0,1,5,3,0,6,9,6,654
85,SEMRIKALA,698,642,0,1340,328,319,0,647,647,0,100,359,17,150,4,0,1,0,1,0,0,1,0,6,8,647
86,SEMRIKALA,253,228,0,481,111,109,0,220,220,0,54,87,4,64,2,0,0,0,0,1,0,1,1,4,2,220
87,DOHARIJEET,337,298,0,635,192,163,0,355,355,0,84,228,4,20,1,0,0,0,0,1,1,1,3,6,6,355
88,FEHRA,217,169,0,386,122,98,0,220,220,0,74,98,10,24,1,0,1,0,2,0,2,1,1,3,3,220
89,ISMAELPUR,693,589,0,1282,429,287,0,716,700,0,138,328,23,214,2,0,0,1,0,3,0,0,2,4,1,716
90,SONAULIMOHAMMADPUR,498,433,0,931,247,228,0,475,475,0,46,231,34,133,2,0,1,0,0,1,4,1,7,8,7,475
91,SONAULIMOHAMMADPUR,509,435,0,944,258,218,0,476,476,0,170,188,10,80,1,1,1,0,6,4,2,0,1,8,4,476
92,SONAULIMOHAMMADPUR,726,615,0,1341,414,305,0,719,719,0,112,388,15,169,8,1,1,2,1,2,5,0,2,4,9,719
93,SONAULIMOHAMMADPUR,466,379,0,845,244,218,0,462,458,0,109,182,12,130,5,2,1,3,0,0,1,2,3,4,8,462
94,SONAULIMOHAMMADPUR,618,450,0,1068,378,226,0,604,604,0,55,168,10,335,6,3,0,0,1,5,3,5,3,5,5,604
95,SONAULIMOHAMMADPUR,621,481,0,1102,370,228,0,598,592,0,80,403,6,83,0,2,1,0,2,1,1,4,3,5,7,598
96,SONAULIMOHAMMADPUR,706,576,0,1282,341,270,0,611,611,0,119,338,10,119,2,0,0,1,2,5,1,1,3,5,5,611
97,SONAULIMOHAMMADPUR,774,606,0,1380,373,289,0,662,661,0,204,278,17,88,5,4,1,3,3,5,3,8,9,16,18,662
98,YELIPARSAULI,230,200,0,430,122,95,0,217,215,0,90,44,9,56,0,4,0,0,1,1,1,1,1,0,9,217
99,YELIPARSAULI,583,465,0,1048,350,220,0,570,570,0,63,218,14,231,0,1,4,5,5,4,2,2,3,14,4,570
100,YELIPARSAULI,511,405,0,916,333,198,0,531,531,0,80,130,42,222,13,1,3,1,1,1,6,3,3,10,15,531
101,YELIPARSAULI,541,413,0,954,300,203,0,503,503,0,133,73,82,157,2,1,1,3,5,5,3,4,3,10,21,503
102,YELIPARSAULI,462,430,0,892,282,170,0,452,400,0,58,192,12,162,3,2,1,1,2,3,2,3,4,4,3,452
103,YELIPARSAULI,402,299,0,701,230,148,0,378,375,0,20,106,12,193,4,2,0,1,1,2,4,4,4,16,9,378
104,SIGHAUTI,304,265,0,569,164,126,0,290,272,0,31,65,5,165,8,1,0,0,0,0,3,1,1,4,6,290
105,SIGHAUTI,543,479,0,1022,384,324,0,708,708,0,38,567,8,70,0,1,1,0,2,2,1,2,3,4,9,708
106,SIGHAUTI,507,421,0,928,285,217,0,502,501,0,29,217,12,186,5,5,0,2,6,1,4,4,11,8,12,502
107,AMDAHI,418,375,0,793,277,195,0,472,452,0,23,307,51,74,1,0,1,0,1,1,3,2,0,7,1,472
108,AMDAHI,909,777,0,1686,483,341,0,824,824,0,120,496,17,164,0,1,2,1,1,2,0,0,4,5,11,824
109,AMDAHI,587,512,0,1099,369,270,0,639,639,0,65,411,23,118,1,0,0,0,2,1,1,0,4,11,2,639
110,AMDAHI,394,358,0,752,242,191,0,433,433,0,155,71,13,166,0,2,0,2,3,4,4,0,1,7,5,433
111,AMDAHI,842,683,0,1525,404,295,0,699,699,0,93,286,40,243,4,0,2,2,2,5,0,4,7,3,8,699
112,AMDAHI,521,444,0,965,244,167,0,411,408,0,86,155,3,137,1,2,1,2,3,1,1,1,2,4,12,411
113,AMDAHI,331,298,0,629,208,155,0,363,363,0,34,140,11,162,3,0,0,0,0,0,2,2,0,3,6,363
114,AMAUTHI,577,459,0,1036,348,202,0,550,550,0,74,153,80,184,5,2,2,4,2,8,1,11,3,10,11,550
115,GADHI,312,234,0,546,150,136,0,286,286,0,18,154,15,72,3,1,0,0,3,2,1,1,3,5,8,286
116,GADHI,541,370,0,911,289,151,0,440,436,0,71,70,34,230,7,1,2,1,0,2,1,5,4,3,9,440
117,JABARNAGAR,695,598,1,1294,548,431,0,979,979,0,28,164,8,734,9,1,1,0,2,3,11,2,4,12,0,979
118,CHIVRAHA,372,322,0,694,211,200,0,411,411,0,26,254,7,106,0,2,0,0,1,0,1,1,1,11,1,411
119,CHIVRAHA,224,201,0,425,165,137,0,302,302,0,4,208,10,50,2,3,0,2,5,1,2,0,6,4,5,302
120,"PARASPATTI MAJHWAR",597,511,0,1108,256,171,0,427,427,0,30,133,11,212,10,1,1,1,2,4,1,1,3,6,11,427
121,"PARASPATTI MAJHWAR",411,334,0,745,205,114,0,319,316,0,63,103,8,120,2,1,0,1,1,2,2,1,5,3,7,319
122,"PARASPATTI MAJHWAR",550,402,0,952,280,219,0,499,499,0,22,322,19,95,10,1,1,1,2,2,2,4,5,7,6,499
123,"PARASPATTI MAJHWAR",641,575,0,1216,340,287,0,627,627,0,73,295,22,205,4,0,1,1,2,2,2,4,0,12,4,627
124,"PARASPATTI MAJHWAR",696,559,0,1255,402,280,0,682,681,0,63,378,16,160,6,2,2,6,3,0,6,3,10,15,12,682
125,"PARASPATTI MAJHWAR",520,377,0,897,297,211,0,508,508,0,52,164,5,251,6,1,1,1,1,1,1,3,4,9,8,508
126,"PARASPATTI MAJHWAR",276,220,0,496,162,106,0,268,268,0,35,103,1,103,6,0,3,3,0,2,0,2,3,4,3,268
127,BAHADURPUR,745,625,0,1370,425,263,0,688,688,0,60,360,16,221,6,1,0,1,4,2,3,1,3,8,2,688
128,BAHADURPUR,255,213,0,468,130,104,0,234,230,0,13,135,0,79,2,1,0,0,1,0,0,0,1,1,1,234
129,BAHADURPUR,539,410,0,949,179,98,0,277,277,0,1,85,10,143,5,1,2,1,2,4,3,5,1,5,9,277
130,BANGAON,827,632,0,1459,371,438,0,809,809,0,126,217,12,414,2,1,4,0,0,5,5,0,5,9,9,809
131,BANGAON,700,538,0,1238,335,230,0,565,565,0,93,249,21,134,4,4,1,5,1,8,3,4,7,22,9,565
132,BANGAON,732,572,0,1304,336,256,0,592,592,0,95,153,24,254,7,3,2,3,5,7,2,2,8,14,13,592
133,BYODAMAJHA,532,430,0,962,327,223,0,550,550,0,22,108,13,316,13,7,0,1,5,3,9,10,10,7,26,550
134,BYODAUPARAHAR,597,440,0,1037,335,211,0,546,546,0,103,263,13,134,6,0,0,1,2,2,3,2,5,6,6,546
135,PALIYACHARAUTHA,340,271,0,611,227,137,0,364,364,0,23,202,3,121,0,1,0,2,1,2,0,1,1,6,1,364
136,GABHAURA,344,298,0,642,190,190,0,380,380,0,50,171,13,116,4,2,1,2,3,3,3,2,1,4,5,380
137,KADAURA,437,317,0,754,236,171,0,407,407,0,51,198,11,120,0,1,0,1,3,2,3,4,4,6,3,407
138,DHANAULI,578,503,0,1081,338,280,0,618,618,0,54,221,16,295,1,0,0,0,2,6,2,1,3,9,8,618
139,DHANAULI,329,283,0,612,204,148,0,352,352,0,32,202,8,91,4,1,1,1,0,0,1,4,2,3,2,352
140,SARAVA,890,664,0,1554,471,323,0,794,794,0,45,336,28,307,9,6,0,0,3,4,2,10,10,16,18,794
141,SARAVA,530,415,0,945,281,235,0,516,514,0,25,201,10,244,15,3,2,0,0,1,1,1,3,5,5,516
142,BHANPUR,747,674,0,1421,379,357,0,736,736,0,75,325,18,251,4,3,2,0,2,4,7,7,7,10,21,736
143,BHANPUR,472,379,0,851,225,202,0,427,427,0,25,188,5,183,2,0,1,2,0,4,2,3,2,5,5,427
144,CHANDSUHA,691,591,0,1282,440,317,0,757,757,0,126,351,26,217,3,3,2,2,2,4,2,0,4,9,6,757
145,RANGI,755,605,2,1362,394,294,0,688,688,0,32,377,23,195,5,4,2,1,1,2,3,2,6,23,12,688
146,RANGI,580,506,0,1086,347,277,0,624,624,0,85,301,16,174,6,2,1,1,3,2,1,2,3,15,12,624
147,MAHARAMPUR,307,258,0,565,181,144,0,325,325,0,41,230,7,30,0,0,1,1,0,1,0,1,0,8,5,325
148,GOPSARAY,526,414,0,940,371,274,0,645,645,0,153,381,13,79,0,0,1,2,0,5,1,1,3,3,3,645
149,GHANCHABEEKAPUR,631,513,0,1144,387,264,0,651,649,0,125,225,28,200,4,12,3,1,3,4,5,3,4,14,20,651
150,GHANCHABEEKAPUR,311,242,0,553,196,138,0,334,331,0,11,262,2,51,0,0,0,0,0,0,0,1,1,1,5,334
151,GHANCHABEEKAPUR,728,655,0,1383,440,398,0,838,832,0,124,374,22,222,11,3,2,0,1,10,6,6,11,19,27,838
152,PURAENI,540,493,0,1033,296,275,0,571,567,0,26,168,41,301,4,1,1,0,1,2,1,4,1,6,14,571
153,TAKTONA,330,282,0,612,283,203,0,486,451,0,41,341,5,85,1,0,0,0,0,3,2,1,0,6,1,486
154,"RANIPUR KANCHI",321,254,0,575,208,161,0,369,369,0,23,145,14,174,1,0,0,2,0,1,0,1,0,7,1,369
155,"RANIPUR PAHARI",248,188,0,436,124,102,0,226,226,0,21,70,13,116,1,0,0,0,0,0,2,1,0,0,2,226
156,SEESAV,772,634,0,1406,447,372,0,819,819,0,50,569,18,129,1,2,3,3,2,2,3,2,6,22,7,819
157,ASARATHA,710,620,1,1331,419,390,0,809,809,0,34,562,36,134,1,2,0,0,0,3,0,2,10,19,6,809
158,KHOJANPUR,328,289,0,617,183,169,0,352,349,0,62,181,7,86,0,0,0,1,1,1,2,1,1,5,4,352
159,PARIYAWA,516,447,0,963,276,213,0,489,489,0,154,144,18,148,0,1,1,1,1,5,1,3,2,3,7,489
160,JAMTHA,611,513,1,1125,307,233,0,540,540,0,117,247,15,128,1,1,0,0,1,3,2,1,4,12,8,540
161,JAMTHA,694,536,0,1230,355,254,0,609,609,0,110,369,20,85,1,1,0,1,1,3,2,2,5,6,3,609
162,PAKRI,673,567,0,1240,332,245,0,577,577,0,63,156,15,297,7,7,1,3,4,1,2,2,4,9,6,577
163,PAKRI,686,585,0,1271,344,221,0,565,562,0,53,173,6,303,6,2,2,0,1,2,5,3,4,3,2,565
164,GADAULI,831,689,0,1520,415,377,0,792,750,0,211,293,28,205,6,0,0,2,2,5,5,0,7,18,10,792
165,KINDHAURA,474,402,0,876,215,161,0,376,376,0,70,102,7,179,6,0,0,0,1,0,0,2,1,3,5,376
166,KINDHAURA,885,739,0,1624,395,335,0,730,730,0,121,396,36,135,0,1,1,2,1,3,1,1,4,19,9,730
167,KINDHAURA,453,426,0,879,261,213,0,474,474,0,63,185,24,181,0,3,3,3,3,0,0,1,2,3,3,474
168,MANHANA,666,571,0,1237,324,243,0,567,567,0,139,147,33,213,4,1,0,0,1,2,3,3,4,1,16,567
169,MANHANA,630,542,0,1172,359,242,0,601,601,0,81,266,8,215,6,2,2,1,0,4,1,0,3,8,4,601
170,TARADEEH,760,620,0,1380,423,364,0,787,787,0,164,320,27,229,5,0,0,0,1,1,4,5,4,17,10,787
171,MARGOOBPUR,601,535,0,1136,374,314,0,688,686,0,71,193,6,351,4,2,0,1,5,4,4,14,4,15,14,688
172,NIYAWA,479,406,0,885,220,217,0,437,400,0,106,151,13,132,3,0,1,0,1,3,2,0,5,13,7,437
173,NIYAWA,338,261,0,599,185,126,0,311,311,0,37,144,4,108,1,2,0,0,1,1,2,1,5,1,4,311
174,INDARPUR,220,173,0,393,128,102,0,230,230,0,39,147,12,23,0,0,0,0,2,0,1,1,1,3,1,230
175,KHANPUR,544,484,0,1028,352,316,0,668,668,0,29,139,10,450,6,2,0,5,3,4,1,5,2,7,5,668
176,SUSELA,829,716,0,1545,517,438,0,955,950,0,107,344,22,435,6,5,2,0,0,4,2,4,7,10,7,955
177,LAXMANPUR,539,478,0,1017,246,220,0,466,466,0,55,195,12,176,2,0,1,1,0,0,1,3,3,5,12,466
178,PATHAR,675,523,0,1198,360,209,0,569,568,0,93,249,31,165,3,0,1,2,1,2,1,5,5,5,6,569
179,PATHAR,819,650,0,1469,439,358,0,797,797,0,269,239,35,206,4,3,1,1,5,3,1,6,6,7,11,797
180,KHAJURI,616,485,0,1101,366,232,0,598,598,0,158,228,48,103,2,1,1,2,2,3,6,4,7,19,14,598
181,KHAJURI,438,349,0,787,238,179,0,417,417,0,63,183,10,143,3,2,0,2,1,2,0,0,0,4,4,417
182,DEVRADA,426,376,0,802,221,243,0,464,464,0,67,237,30,112,4,1,1,0,1,0,2,0,0,5,4,464
183,DEVRADA,430,420,0,850,240,214,0,454,454,0,85,203,21,124,1,1,0,2,1,2,3,3,2,2,4,454
184,DEVRADA,465,415,0,880,248,183,0,431,430,0,52,202,54,107,1,2,1,0,2,0,0,0,3,4,3,431
185,DHODHEPUR,466,412,0,878,290,247,0,537,537,0,104,216,41,150,3,0,1,0,1,1,2,4,6,5,3,537
186,DHODHEPUR,372,361,0,733,194,214,0,408,408,0,104,74,30,180,7,1,0,3,0,1,0,0,1,4,3,408
187,DHODHEPUR,668,561,1,1230,378,284,0,662,662,0,68,277,105,169,6,2,1,2,0,2,3,3,6,5,13,662
188,DHODHEPUR,759,633,0,1392,394,358,0,752,752,0,128,347,79,133,5,0,3,3,1,4,6,4,8,13,18,752
189,"RETADAL SINGH",743,583,0,1326,464,314,0,778,728,0,175,308,18,206,4,33,0,0,4,3,3,3,4,10,7,778
190,BHAIRAMPUR,545,496,0,1041,382,224,0,606,606,0,36,191,9,321,4,5,1,0,3,4,2,6,2,10,12,606
191,SEJHIYA,831,686,0,1517,360,330,0,690,600,0,100,228,59,227,5,11,2,2,1,7,6,5,6,14,17,690
192,SEJHIYA,577,480,0,1057,259,241,0,500,496,0,200,127,34,94,2,2,0,2,3,4,0,2,4,7,19,500
193,GAUHANI,684,572,0,1256,523,181,0,704,704,0,176,226,15,228,6,0,2,1,6,7,3,3,9,12,10,704
194,GAUHANI,675,621,0,1296,402,305,0,707,707,0,85,299,26,250,6,3,2,2,2,2,5,5,1,6,13,707
195,"DHAURAHARA GHAT",557,498,0,1055,303,214,0,517,517,0,88,210,22,170,4,1,0,1,6,0,1,2,1,5,6,517
196,"DHAURAHARA GHAT",663,556,0,1219,268,376,0,644,644,0,38,336,58,153,5,0,0,5,2,8,3,4,5,21,6,644
197,"RAMPUR TENGAHARA",624,563,0,1187,324,350,0,674,672,0,27,368,44,198,3,0,2,1,0,3,1,2,9,12,4,674
198,"RAMPUR TENGAHARA",458,378,0,836,284,192,0,476,476,0,48,196,28,174,6,2,1,1,2,0,3,0,2,5,8,476
199,"RAMPUR TENGAHARA",566,505,0,1071,320,242,0,562,562,0,33,311,18,154,9,3,3,5,1,4,3,1,1,11,5,562
200,"RAMPUR TENGAHARA",492,387,0,879,244,202,0,446,446,0,20,194,26,178,4,0,2,1,3,3,1,1,2,3,8,446
201,JUJHARIPUR,701,543,0,1244,420,353,0,773,773,0,31,316,21,353,9,0,2,2,2,3,4,8,6,12,4,773
202,AKBARPUR,522,387,0,909,337,191,0,528,528,0,63,228,24,173,4,2,0,1,2,10,0,0,4,7,10,528
203,AKBARPUR,704,572,0,1276,350,294,0,644,644,0,67,313,24,187,3,2,2,3,3,5,4,3,4,15,9,644
204,NARAYANPUR,826,683,0,1509,320,458,0,778,750,0,68,226,33,405,3,0,3,1,4,5,1,1,3,11,14,778
205,NARAYANPUR,443,395,0,838,254,267,0,521,521,0,79,133,17,261,5,0,1,3,3,0,3,3,3,3,7,521
206,NARAYANPUR,473,401,0,874,269,237,0,506,505,0,75,72,40,279,10,3,0,1,3,4,1,5,3,5,5,506
207,KAUCHIHA,390,348,0,738,217,187,0,404,370,0,37,249,16,72,1,2,1,2,0,4,0,1,4,9,6,404
