"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
22,"P.S. MANJHANPUR NAVNIRMIT BHAWAN MADHYA BHAG",618,497,0,1115,231,209,0,440,440,0,8,26,152,244,2,1,0,0,0,0,1,6,440
23,"P.S. MANJHANPUR NAVNIRMIT BHAWAN PASCHIMI BHAG",497,401,0,898,209,150,0,359,359,0,9,66,75,205,1,0,0,1,1,0,0,1,359
24,"P.S. HAJRATGANJ",623,488,0,1111,264,227,0,491,491,0,30,29,95,310,4,1,1,4,1,0,5,11,491
25,"SRI DURGA DEVI INTER COLLEGE OSA",786,616,0,1402,446,356,0,802,802,0,17,335,87,319,4,4,19,1,3,1,8,4,802
26,"P.S. KHORA",333,272,0,605,178,179,0,357,357,0,13,173,10,148,5,2,1,0,1,1,2,1,357
27,"P.S. CHAKNAGAR-II PURVI BHAG",643,482,0,1125,344,197,0,541,541,0,7,207,131,186,3,0,4,1,0,0,1,1,541
28,"UCHCH P.S. MANJHANPUR",585,462,0,1047,283,226,0,509,509,0,11,142,167,175,0,1,2,2,2,1,0,6,509
29,"RAJKIYA DEEKSHA VIDYALAYA MANJHANPUR PURVI BHAG",689,524,0,1213,233,188,0,421,421,0,7,236,33,134,0,1,4,1,0,0,1,4,421
30,"RAJKIYA DEEKSHA VIDYALAYA MANJHANPUR PASCHIMI BHAG",507,383,0,890,236,185,0,421,421,0,20,135,61,163,5,3,25,1,1,0,4,3,421
31,"P.S. GANDHINAGAR",728,620,0,1348,356,332,0,688,688,0,22,220,27,360,11,1,5,2,2,0,13,25,688
32,"P. KANYA S. NETANAGAR PURVI BHAG",670,563,0,1233,392,296,0,688,688,0,13,465,65,120,1,1,1,10,1,0,2,9,688
33,"P.KANYA S. NETANAGAR PASCHIMI BHAG",404,321,0,725,276,204,0,480,480,0,12,344,32,85,0,0,0,4,1,1,0,1,480
34,"P.S. NAVNIRMIT BHAWAN MANJHANPUR UTTARI BHAG",510,401,0,911,286,197,0,483,483,0,6,146,51,269,2,3,0,0,1,0,2,3,483
35,"P.S. CHAKNAGAR-II PASCHIMI BHAG",487,398,0,885,261,206,0,467,467,0,20,146,138,155,2,2,0,0,0,0,1,3,467
36,"P.S. SAMDA PURVI BHAG",655,542,1,1198,341,286,0,627,627,0,14,114,218,268,1,4,0,1,0,1,3,3,627
37,"P.S. SAMDA MADHYA BHAG",319,256,0,575,187,151,0,338,338,0,11,46,33,233,5,1,0,3,0,1,3,2,338
38,"P.S. SAMDA PASCHIMI BHAG",300,269,0,569,161,136,0,297,297,0,5,132,43,91,4,6,7,1,0,1,4,3,297
39,"P.S. CHHOGARIYA KA PURA",307,240,0,547,182,174,0,356,356,0,3,231,5,91,4,0,0,3,2,2,6,9,356
40,"P.S. CHAK SAHANPUR",398,308,0,706,227,177,0,404,404,0,11,113,137,102,4,5,5,0,1,6,8,12,404
41,"P.S. GOBAR SAHAI",507,419,0,926,294,256,0,550,550,0,49,346,38,88,3,2,4,4,1,4,4,7,550
42,"P.S. BANDHWA RAJWAR",673,533,0,1206,418,326,0,744,744,0,8,405,129,141,9,6,6,2,4,3,16,15,744
43,"P.S. AMBAWAN PASCHIM",670,485,0,1155,407,291,0,698,698,0,18,494,44,94,2,5,28,0,0,1,4,8,698
44,"P.S. AMBAWAN POORAB",695,562,0,1257,279,284,0,563,563,0,30,236,54,173,1,6,48,1,0,3,6,5,563
45,"P.S. KADIRABAD",849,661,0,1510,419,411,0,830,830,0,10,367,96,313,8,5,6,1,2,0,7,15,830
46,"P.S. BHAILA MAKDUMPUR UTTARI BHAG",610,456,0,1066,355,284,0,639,639,0,21,273,150,104,10,2,35,3,3,17,6,15,639
47,"P.S. BHAILA MAKDUMPUR MADHYA BHAG",375,274,0,649,196,141,0,337,337,0,16,129,66,89,2,3,22,1,0,2,0,7,337
48,"P.S. BHAILA MAKDUMPUR DAKSHINI BHAG",404,350,0,754,224,194,0,418,418,0,16,149,195,45,1,2,4,0,0,1,3,2,418
49,"P.S. MIRJAPURA URF KHOJWAPUR",490,349,0,839,274,232,0,506,506,0,18,379,11,70,6,3,1,0,1,2,4,11,506
50,"P.S. NEWARI UTTARI BHAG",522,489,0,1011,285,275,0,560,560,0,13,55,240,219,2,3,2,2,1,2,7,14,560
51,"P.S. NEWARI DAKSHINI BHAG",525,421,0,946,233,247,0,480,480,0,4,147,134,153,8,5,1,2,1,2,10,13,480
52,"P.S. DARIYAPUR GUWARA",353,326,0,679,173,186,0,359,359,0,9,93,111,123,2,5,2,1,2,2,4,5,359
53,"P.S. GUWARA TAIYYABPUR PURVI BHAG",807,614,0,1421,425,382,0,807,807,0,12,499,170,59,3,6,2,1,4,5,19,27,807
54,"P.S. GUWARA TAIYYABPUR PASCHIM BHAG",461,379,0,840,222,245,0,467,467,0,10,137,184,114,3,1,0,1,1,2,5,9,467
55,"P.S. SAINBASA",460,404,0,864,289,302,0,591,591,0,12,310,112,124,2,5,16,1,1,1,3,4,591
56,"P.S. AMURA UTTARI BHAG",424,399,0,823,208,242,0,450,450,0,10,209,75,104,3,9,1,2,4,6,10,17,450
57,"P.S. AMURA DAKSHINI BHAG",547,455,0,1002,227,280,0,507,507,0,20,168,68,196,8,5,4,4,5,5,9,15,507
58,"P.S. PIPARKUNDI",855,659,0,1514,433,393,0,826,826,0,38,427,53,211,6,4,39,4,1,5,23,15,826
59,"P.S. ADAHARA PURVI BHAG",709,552,0,1261,352,277,0,629,629,0,41,207,199,150,4,6,12,0,1,0,4,5,629
60,"P.S. ADAHARA PASCHIMI BHAG",512,383,0,895,189,215,0,404,404,0,22,124,35,200,4,1,7,1,1,0,6,3,404
61,"P.S. PAVAIYA",780,593,0,1373,371,366,0,737,737,0,36,167,179,237,6,9,5,4,15,10,33,36,737
62,"P.S. DHANPARA",547,417,0,964,203,247,0,450,450,0,46,153,13,194,6,4,6,2,0,0,9,17,450
63,"U.P.S. MALIPUR URF MAHARAJGANJ",460,392,0,852,241,259,0,500,500,0,33,101,149,195,5,4,2,0,2,1,3,5,500
64,"P.S. BARAI BANDHWA UTTARI BHAG",523,504,0,1027,199,277,0,476,476,0,11,11,171,260,6,2,2,2,0,0,8,3,476
65,"P.S. BARAI BANDWA DAKSHINI BHAG",380,372,0,752,198,229,0,427,427,0,8,19,51,322,6,2,1,2,2,5,3,6,427
66,"P.S. ARKA FATEHPUR",664,549,0,1213,357,321,0,678,678,0,78,189,20,329,6,7,6,3,7,6,8,19,678
67,"SAMUDAYIK BHAWAN MAHMADPUR",606,473,0,1079,288,264,0,552,552,0,17,174,127,202,8,2,1,4,3,2,8,4,552
68,"P.S. MOHSINI",241,211,0,452,144,146,0,290,290,0,10,103,10,137,7,2,1,2,3,0,5,10,290
69,"P.S. SACHWARA",932,691,0,1623,419,397,0,816,816,0,26,268,130,312,9,8,6,6,5,6,18,22,816
70,"P.S. BANDHURI RASULIPUR",580,423,0,1003,232,262,0,494,494,0,3,152,80,62,5,2,11,6,2,4,150,17,494
71,"P.S. BANDHWA KALYAN",410,339,0,749,246,244,0,490,490,0,43,94,55,247,6,5,19,3,2,4,10,2,490
72,"P.S. MYOHAR UTTARI BHAG",586,452,0,1038,261,208,0,469,469,0,27,93,101,212,5,1,4,1,1,5,6,13,469
73,"P.S. MYOHAR MADHYA BHAG",465,382,0,847,195,192,0,387,387,0,22,116,10,215,5,3,2,2,0,1,4,7,387
74,"P.S. MYOHAR DAKSHINI BHAG",699,588,0,1287,332,280,0,612,612,0,42,237,22,255,7,8,9,5,3,2,5,17,612
75,"P.S. MYOHAR PASCHIMI BHAG",442,351,0,793,238,196,0,434,424,0,20,187,13,194,1,2,3,1,1,3,1,8,434
76,"P.S. MYOHAR PURVI BHAG",766,654,0,1420,381,375,0,756,756,0,58,436,14,209,4,6,0,8,4,1,7,9,756
77,"P.S. NAUBASTA",811,600,1,1412,289,294,0,583,583,0,39,183,122,174,6,6,4,0,3,4,9,33,583
78,"P.S. CHAK AHMADIPUR",297,226,0,523,149,148,0,297,297,0,48,33,25,173,4,2,1,0,0,2,6,3,297
79,"P.S. MYOHARIYA",525,415,0,940,312,279,0,591,591,0,13,311,5,230,5,3,2,2,4,2,7,7,591
80,"P.S. TIKARI MUJAFFARPUR",187,155,0,342,129,124,0,253,253,0,8,146,8,75,4,2,2,1,1,0,1,5,253
81,"P.S. RASULPUR SHUKWARA UTTARI BHAG",565,452,0,1017,260,245,0,505,505,0,14,192,231,47,3,5,3,1,1,1,3,4,505
82,"P.S. RASULPUR SHUKWARA DAKSHINI BHAG",648,458,0,1106,335,242,0,577,577,0,22,218,191,103,4,5,1,0,1,2,9,21,577
83,"P.S. SARAINYA",467,412,0,879,352,290,0,642,642,0,8,123,69,397,5,3,12,3,5,6,6,5,642
84,"P.S. MOHIUDDINPUR DEVCHHAR",691,571,1,1263,397,383,0,780,780,0,14,286,238,207,3,8,2,1,1,4,11,5,780
85,"P.S. PADARIYA SHUKWARA",600,452,0,1052,342,292,0,634,634,0,15,221,107,247,2,11,0,2,5,5,6,13,634
86,"P.S RAKSWARA PURVI BHAG",768,612,0,1380,375,344,0,719,719,0,74,335,124,163,3,5,3,3,0,0,5,4,719
87,"P.S. RAKSWARA MADHYA BHAG",467,374,0,841,219,187,0,406,406,0,41,95,127,127,4,2,3,1,1,1,3,1,406
88,"P.S. RAKSWARA PASCHIMI BHAG",813,669,0,1482,413,305,0,718,718,0,80,101,168,340,6,13,2,0,2,2,2,2,718
89,"P.S. BATBANDHURI",801,574,0,1375,429,338,0,767,667,0,64,434,130,120,1,3,1,1,1,2,5,5,767
90,"P.S. GHAMSIRA",535,433,0,968,299,269,0,568,568,0,26,58,103,369,2,2,0,1,0,1,6,0,568
91,"P.S. PINDRA SAHABANPUR PURVI BHAG",875,660,0,1535,436,431,0,867,867,0,39,259,248,303,5,2,1,2,0,2,3,3,867
92,"P.S. PINDRA SAHABANPUR PASCHIMI BHAG",643,552,0,1195,366,354,0,720,720,0,9,333,85,271,5,0,1,0,3,0,6,7,720
93,"P.S. SABAHANPUR",247,213,0,460,151,164,0,315,315,0,0,181,5,101,2,7,1,3,3,1,6,5,315
94,"P.S. PAWNRA",582,484,0,1066,329,296,0,625,625,0,23,213,29,217,9,4,64,3,1,13,11,38,625
95,"P.S. BABHANPURA",390,295,0,685,238,180,0,418,418,0,10,95,94,198,1,1,2,1,1,7,2,6,418
96,"P.S. MEERAPUR",640,462,0,1102,347,282,0,629,629,0,39,161,191,205,3,3,6,1,1,4,5,10,629
97,"P.S. IBRAHIMPUR",436,384,0,820,265,222,0,487,287,0,13,273,46,103,6,3,2,0,3,3,21,14,487
98,"U.P.S. SHUKLAN KA PURA",244,220,0,464,156,149,0,305,305,0,6,287,3,4,0,0,0,0,0,0,3,2,305
99,"P.S. LAHANA",723,610,0,1333,372,380,0,752,752,0,28,212,114,278,14,12,11,4,2,45,10,22,752
100,"P.S. MAHENDRA",660,555,0,1215,406,370,0,776,776,0,34,284,102,278,8,12,9,1,2,11,13,22,776
101,"P.S. TIYRA JAMALPUR",586,517,0,1103,334,333,0,667,667,0,28,331,151,119,4,7,1,0,3,6,10,7,667
102,"P.S. MUKEEMPUR",442,354,0,796,271,219,0,490,490,0,5,298,88,61,1,5,4,0,2,12,6,8,490
103,"P.S. KARARI PURVI BHAG",698,639,0,1337,326,320,0,646,646,0,21,97,124,343,17,2,1,4,9,3,7,18,646
104,"P.S. KARARI PASCHIMI BHAG",691,620,0,1311,282,278,0,560,507,0,55,39,335,111,0,0,1,12,1,2,1,3,560
105,"P.S. KARARI UTTARI BHAG",230,229,1,460,87,105,0,192,192,0,4,10,134,41,0,0,1,1,0,0,0,1,192
106,"P.S. KARARI DAKSHINI BHAG",249,233,0,482,97,102,0,199,198,0,6,23,95,68,0,2,0,1,0,1,1,2,199
107,"P.S. KARARI MADHYA BHAG",342,314,0,656,116,99,0,215,215,0,19,41,59,81,1,0,1,8,2,1,1,1,215
108,"KANYA UCHCH P.S. KARARI UTTARI BHAG",222,229,0,451,56,52,0,108,108,0,20,0,33,33,1,0,0,18,0,2,0,1,108
109,"KANYA UCHCH P.S. KARARI DAKSHINI BHAG",461,457,0,918,164,183,0,347,347,0,28,10,199,102,1,0,0,2,1,1,1,2,347
110,"P.S. CHAKHINGUAI KAMRA NO. 1",763,593,0,1356,389,338,0,727,727,0,12,63,352,259,7,3,0,3,4,5,7,12,727
111,"P.S. CHAKHINGUAI KAMRA NO. 2",623,569,0,1192,300,349,0,649,649,0,6,39,502,85,3,1,3,0,1,2,2,5,649
112,"INTER COLLEGE KARARI KAMRA NO. 13",659,475,0,1134,287,229,0,516,516,0,10,230,183,79,0,0,1,8,0,3,1,1,516
113,"INTER COLLEGE KARARI KAMRA NO. 14",275,224,0,499,160,135,0,295,295,0,1,163,30,89,0,0,2,1,0,0,4,5,295
114,"INTER COLLEGE KARARI KAMRA NO. 15",832,682,0,1514,418,334,0,752,752,0,36,295,236,172,1,1,2,1,2,1,2,3,752
115,"INTER COLLEGE KARARI KAMRA NO. 16",580,501,0,1081,324,281,0,605,605,0,10,361,134,84,0,2,1,8,1,1,1,2,605
116,"INTER COLLEGE KARARI KAMRA NO. 17",438,369,0,807,221,206,0,427,427,0,8,164,144,99,1,1,0,3,0,2,1,4,427
117,"INTER COLLEGE KARARI KAMRA NO. 18",361,347,0,708,152,173,0,325,325,0,6,22,83,211,0,0,0,0,0,0,0,3,325
118,"INTER COLLEGE KARARI KAMRA NO. 19",290,274,0,564,171,167,0,338,338,0,6,19,71,219,5,2,1,2,3,0,2,8,338
119,"P.S. MOAJJAMPUR",243,236,0,479,132,165,0,297,297,0,3,118,30,118,1,3,1,2,3,3,3,12,297
120,"P.S. UKHAIYYAKHAS",515,442,0,957,236,245,0,481,480,0,14,166,78,156,35,3,3,1,3,2,5,15,481
121,"P.S. RAHIMPUR",685,571,0,1256,306,364,0,670,670,0,13,41,294,308,4,2,1,2,0,1,0,4,670
122,"P.S. BARLAHA",310,254,0,564,173,182,0,355,355,0,6,84,19,220,4,0,0,0,1,7,2,12,355
123,"P.S. AGIYOUNA UTTARI BHAG",652,561,0,1213,320,288,0,608,608,0,26,194,80,285,3,1,6,1,1,1,4,6,608
124,"P.S. AGIYOUNA DAKSHINI BHAG",694,535,0,1229,330,244,0,574,300,0,25,208,69,208,10,6,15,2,0,2,7,22,574
125,"P.S. TURTIPUR UTTARI BHAG",265,184,0,449,94,69,0,163,163,0,0,52,44,60,1,0,2,0,1,0,1,2,163
126,"P.S. TURTIPUR DAKSHINI BHAG",333,258,0,591,180,170,0,350,317,0,2,57,218,52,3,1,1,2,2,1,5,6,350
127,"P.S. PACHAMBHA",672,505,0,1177,316,271,0,587,586,0,66,90,228,180,1,2,4,1,1,5,4,5,587
128,"P.S. KOTARI PASCHIM UTTARI BHAG",533,389,0,922,306,243,0,549,548,0,24,128,71,273,5,2,4,2,6,7,8,19,549
129,"P.S. KOTARI PASCHIM DAKSHINI BHAG",493,421,0,914,251,244,0,495,495,0,13,252,24,171,5,3,0,4,8,0,8,7,495
130,"P.S. DEEWAR",586,475,0,1061,272,276,0,548,400,0,48,262,55,153,7,2,3,2,3,0,5,8,548
131,"P.S. SAIDANPUR",622,534,0,1156,277,227,0,504,502,0,15,211,8,236,9,4,2,1,3,3,7,5,504
132,"P.S. AIDILPUR",424,375,0,799,254,223,0,477,477,0,10,71,118,248,4,2,3,1,2,3,6,9,477
133,"P.S. OSA PURVI BHAG",727,626,0,1353,415,369,0,784,784,0,19,513,28,161,10,9,12,3,5,4,12,8,784
134,"P.S. OSA HAL",729,585,0,1314,393,361,0,754,754,0,77,231,99,304,7,1,14,1,9,1,9,1,754
135,"P.S. OSA PASCHIMI BHAG",799,598,0,1397,415,299,0,714,714,0,19,401,15,163,8,12,55,2,1,3,17,18,714
136,"P.S. YOUSUFPUR RARA",411,338,0,749,274,248,0,522,516,0,4,235,72,146,6,5,40,2,2,1,6,3,522
137,"P.S. KONDAR",446,359,0,805,238,223,0,461,461,0,12,230,25,171,9,3,2,1,1,3,3,1,461
138,"P.S. BAHADURPUR UTTARI BHAG",614,526,0,1140,348,346,0,694,694,0,17,144,373,135,3,3,4,2,0,0,7,6,694
139,"P.S. BAHADURPUR DAKSHINI BHAG",859,691,0,1550,416,406,0,822,822,0,6,265,183,239,4,12,57,4,2,7,9,34,822
140,"P.S. SHAREEFPUR",417,417,0,834,234,282,0,516,516,0,19,92,254,135,4,1,2,1,3,1,4,0,516
141,"P.S. JAJAULI",594,447,0,1041,355,280,0,635,635,0,89,170,96,234,7,4,2,6,3,2,8,14,635
142,"P.S. TEWAN UTTARI BHAG",563,456,0,1019,339,318,0,657,657,0,15,301,128,159,9,1,3,0,1,3,21,16,657
143,"P.S. TEWAN MADHYA BHAG",632,547,0,1179,358,329,0,687,687,0,53,387,65,158,3,2,6,1,2,2,4,4,687
144,"P.S. TEWAN DAKSHINI BHAG",790,633,0,1423,448,368,0,816,816,0,53,465,51,188,5,11,0,0,1,2,12,28,816
145,"P.S. BHARSWAN",850,624,0,1474,455,374,0,829,829,0,16,355,52,355,9,7,4,3,2,3,8,15,829
146,"P.S. GARAULI",485,367,0,852,276,224,0,500,500,0,7,147,133,171,6,2,3,2,5,5,5,14,500
147,"P.S. SARSWAN UTTARI BHAG",638,507,0,1145,355,265,0,620,620,0,27,306,103,153,4,5,2,3,5,3,7,2,620
148,"P.S. SARSWAN MADHYA BHAG 1",499,376,0,875,279,208,0,487,487,0,22,251,23,163,1,2,5,0,0,4,9,7,487
149,"P.S. SARSWAN MADHYA BHAG 2",526,413,0,939,265,205,0,470,470,0,26,191,37,161,3,9,3,4,2,3,14,17,470
150,"P.S. SARSWAN DAKSHINI BHAG",401,334,0,735,270,190,0,460,370,0,14,282,45,95,4,5,4,1,0,0,2,8,460
151,"P.S. ALAI URF BAKSHIPAR PURVI BHAG",445,371,0,816,243,225,0,468,468,0,20,69,75,267,2,2,3,2,2,4,6,16,468
152,"P.S. ALAI URF BAKSHIPAR PASCHIMI BHAG",493,404,0,897,321,240,0,561,561,0,11,147,150,227,4,1,2,1,3,5,2,8,561
153,"P.S. LAUDHANA",604,526,0,1130,338,282,0,620,620,0,22,300,17,230,5,7,10,6,1,5,11,6,620
154,"P.S. LAUGAWAN PURVI BHAG",525,417,0,942,312,239,0,551,551,0,5,363,7,153,7,1,3,0,1,1,4,6,551
155,"P.S. LAUGAWAN PASCHIMI BHAG",587,448,1,1036,292,285,0,577,577,0,11,256,66,197,3,3,1,1,6,5,13,15,577
156,"P.S. ADHAULI PURVI BHAG",543,429,0,972,338,245,0,583,583,0,5,264,49,174,5,3,73,3,1,0,1,5,583
157,"P.S. ADHAULI PASCHIMI BHAG",616,433,0,1049,332,274,0,606,606,0,12,251,144,150,3,7,16,1,1,2,7,12,606
158,"P.S. AJARAULI",669,500,0,1169,367,266,0,633,633,0,10,347,48,193,2,4,3,2,2,3,8,11,633
159,"P.S. KUMHIYAWAN PURVI BHAG",706,479,0,1185,395,326,0,721,721,0,14,432,123,112,5,6,0,1,1,2,14,11,721
160,"P.S. KUMHIYAWAN PASCHIMI BHAG",288,222,0,510,190,133,0,323,323,0,26,94,63,124,3,1,1,1,3,0,0,7,323
161,"P.S. PURAB SARAWAN",821,626,0,1447,447,416,0,863,863,0,28,412,27,375,3,1,2,0,3,0,3,9,863
162,"P.S. SHIVRA",393,282,0,675,229,187,0,416,416,0,7,61,26,309,0,3,2,1,1,0,3,3,416
163,"P.S. BARISA",876,613,0,1489,464,350,0,814,814,0,27,323,25,353,10,6,43,3,3,4,3,14,814
164,"P.S. NAGREHA KALA",422,328,0,750,255,215,0,470,470,0,6,254,63,105,5,7,0,2,5,5,10,8,470
165,"P.S. PUNWAR UTTARI BHAG",744,554,0,1298,471,319,0,790,790,0,18,286,247,199,4,4,4,1,7,5,4,11,790
166,"P.S. PUNWAR DAKSHINI BHAG",625,509,0,1134,385,310,0,695,695,0,14,394,65,175,12,1,4,2,2,6,13,7,695
167,"P.S. KUWANDEEH",440,334,1,775,246,261,0,507,507,0,19,138,90,227,5,3,18,2,1,0,2,2,507
168,"P.S. JAFARPUR MAHAWAN UTTARI BHAG",728,532,0,1260,340,275,0,615,615,0,15,214,264,96,1,3,0,0,0,6,4,12,615
169,"P.S. JAFARPUR MAHAWAN DAKSHINI BHAG",937,694,0,1631,482,383,0,865,865,0,14,289,355,131,12,1,4,4,1,12,15,27,865
170,"P.S. DANPUR PURVI BHAG",561,434,0,995,336,266,0,602,602,0,18,204,43,294,6,7,1,1,1,4,15,8,602
171,"P.S. DANPUR PASCHIMI BHAG",509,395,0,904,269,231,0,500,500,0,8,209,81,165,3,2,8,2,4,6,4,8,500
172,"P.S. LODHAURA URF KAYAMUR",778,616,0,1394,454,327,0,781,781,0,20,469,33,231,6,5,2,1,3,2,4,5,781
173,"P.S. PARSIYA",223,189,0,412,109,108,0,217,217,0,1,163,15,30,1,2,1,0,0,0,4,0,217
174,"P.S. CHHIMIRICHHA",743,532,0,1275,412,304,0,716,716,0,50,269,162,188,6,6,7,0,0,3,10,15,716
175,"P.S. FAIJIPUR",607,474,0,1081,344,307,0,651,651,0,17,356,170,83,2,5,2,1,0,3,5,7,651
176,"P.S. NASRULLAPUR",342,273,0,615,225,194,0,419,419,0,11,151,94,130,5,5,1,2,2,1,10,7,419
177,"P.S. ASHADHA PURVI BHAG",926,660,0,1586,376,329,0,705,705,0,13,276,286,83,4,11,4,2,4,5,13,4,705
178,"P.S. ASHADHA PASCHIMI BHAG",413,374,0,787,208,241,0,449,449,0,15,62,259,87,4,2,1,1,4,1,1,12,449
179,"P.S. PATHARA KALA",499,414,0,913,287,272,0,559,559,0,16,300,144,57,5,9,2,2,2,6,10,6,559
180,"P.S. JAMDUVA PURVI BHAG",584,532,0,1116,325,318,0,643,643,0,13,300,68,214,3,2,6,0,3,6,13,15,643
181,"P.S. JAMDUVA PASCHIMI BHAG",335,304,0,639,145,168,0,313,313,0,5,141,17,109,4,6,2,0,2,2,5,20,313
182,"P.S. HISAMPUR",689,583,0,1272,403,400,0,803,803,0,20,174,225,318,11,5,2,3,5,11,10,19,803
183,"P.S. NAUBASTA",321,241,0,562,202,193,0,395,395,0,22,117,9,214,4,5,3,0,5,2,9,5,395
184,"P.S. SHAHPUR TIKRI",559,440,0,999,324,268,0,592,592,0,13,195,154,201,7,3,6,3,2,1,7,0,592
185,"P.S. PARA HASANPUR",582,427,0,1009,269,237,0,506,506,0,12,188,215,56,3,6,0,2,4,5,7,8,506
186,"P.S. GULAMIPUR PURVI BHAG",541,469,0,1010,271,275,0,546,546,0,16,360,104,46,3,1,3,1,2,2,3,5,546
187,"P.S. GULAMIPUR PASCHIMI BHAG",482,399,0,881,287,229,0,516,516,0,17,373,72,33,7,1,3,0,0,0,6,4,516
188,"P.S. SESA",608,503,0,1111,306,301,0,607,607,0,20,305,159,93,2,0,1,4,1,10,3,9,607
189,"P.S. TAYYABPUR MANGAURA",718,583,0,1301,353,311,0,664,664,0,34,261,82,235,18,6,3,2,0,2,6,15,664
190,"P.S. THAMBHA ALAWALPUR UTTARI BHAG",566,417,0,983,288,244,0,532,532,0,18,262,158,63,2,4,1,0,1,1,10,12,532
191,"P.S. THAMBHA ALAWALPUR DAKSHINI BHAG",470,371,0,841,270,235,0,505,505,0,8,181,90,197,7,6,2,0,5,2,5,2,505
192,"P.S. SADIKPUR SEMRAHA",801,649,0,1450,374,361,0,735,735,0,12,192,115,342,15,6,4,6,11,3,10,19,735
193,"P.S. FAREEDPUR SANVRO",521,415,0,936,293,300,0,593,593,0,6,181,195,184,4,1,0,3,1,9,6,3,593
194,"P.S. AMINPUR SANVRO",720,633,0,1353,395,460,0,855,855,0,9,170,462,179,4,0,0,2,1,8,8,12,855
195,"P.S. RASULPUR SONI PURVI BHAG",489,388,0,877,264,232,0,496,496,0,18,197,58,198,7,3,3,0,4,3,4,1,496
