"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
12,"P.V. TRILOKPUR",646,544,0,1190,398,372,0,770,770,0,19,348,195,181,0,3,0,2,0,3,2,9,2,2,4,770
13,"P.V. SAMSUDDINPUR",212,191,0,403,164,137,0,301,301,0,4,203,5,80,2,0,0,0,0,2,0,2,0,2,1,301
14,"P.V. SULEMPUR",603,582,0,1185,468,349,0,817,817,0,12,209,57,505,2,3,0,1,0,2,1,10,10,2,3,817
15,"P.V. KHASPUR DWITIY UTTARI KAKSH",465,420,0,885,339,286,0,625,625,0,3,227,60,293,11,2,0,2,1,1,0,6,3,3,13,625
16,"P.V. KHASPUR DWITIY DAKSHNI KAKSH",555,439,0,994,295,246,0,541,541,0,4,41,319,172,0,0,0,1,0,1,0,1,2,0,0,541
17,"P.M.V. KHASPUR PURVI KAKSH",783,675,0,1458,459,422,0,881,881,0,27,171,408,232,3,0,1,4,1,1,1,8,6,4,14,881
18,"P.M.V. KHASPUR PASCHIMI KAKSH",844,713,0,1557,545,480,0,1025,986,0,12,280,59,632,7,3,1,1,0,5,4,2,7,3,9,1025
19,"P.V. SAIDPUR RAJJIPUR",794,670,0,1464,502,411,0,913,867,0,11,175,142,500,6,8,0,0,14,20,21,2,8,2,4,913
20,"P.V. DARIYAPUR KUTUB",505,410,0,915,359,311,0,670,670,0,5,57,258,335,5,0,2,1,1,0,1,2,1,0,2,670
21,"P.V. WAHID PATTI",537,496,0,1033,303,302,0,605,605,0,9,287,105,193,1,0,0,1,0,1,0,4,3,1,0,605
22,"P.V. FARIDPUR KUTUB ALAM",572,492,0,1064,366,346,0,712,712,0,10,191,174,309,0,2,0,0,0,10,1,6,5,3,1,712
23,"P.V. HITHURI",645,549,0,1194,428,385,0,813,813,0,8,163,219,386,0,2,4,0,0,4,0,10,8,3,6,813
24,"P.V. MAMREJPUR PURVI KAKSH",588,507,0,1095,485,336,0,821,821,0,15,303,66,400,5,0,0,2,0,7,2,10,6,4,1,821
25,"P.V. MAMREJPUR PASCHIMI KAKSH",402,321,0,723,290,254,0,544,544,0,2,220,61,243,3,0,0,1,1,0,0,4,2,3,4,544
26,"K.P.M.V. ODRA",361,308,0,669,246,224,0,470,470,0,4,167,58,216,1,3,1,1,0,0,1,9,2,5,2,470
27,"P.V. AMEDA PURVI KAKSH",732,634,0,1366,489,414,0,903,803,0,16,202,132,516,4,3,0,2,0,2,2,6,5,6,7,903
28,"P.V. AMEDA PASCHIMI KAKSH",519,433,0,952,354,251,0,605,514,0,7,136,134,294,3,5,0,0,1,11,0,1,7,2,4,605
29,"P.V. SALAHUDDINPUR",377,330,0,707,256,200,0,456,456,0,2,244,33,160,1,1,0,0,0,0,1,7,0,3,4,456
30,"P.V. MAKHDOOM SARAY",412,429,0,841,255,252,0,507,506,0,11,54,47,369,1,2,3,2,0,2,0,8,5,0,3,507
31,"P.V. DAHIYAWAR",814,658,0,1472,454,428,0,882,882,0,13,383,133,310,2,0,0,0,1,1,1,10,8,9,11,882
32,"P.V. SURAPUR",712,613,0,1325,547,276,0,823,823,0,11,291,122,343,3,0,1,8,0,4,0,12,12,8,8,823
33,"P.M.V. SURAPUR UTTARI KAKSH",742,627,0,1369,409,360,0,769,769,0,17,177,285,241,6,3,0,1,3,2,2,6,11,3,12,769
34,"P.M.V. SURAPUR DAKSHINI KAKSH",542,422,0,964,301,275,0,576,576,0,11,241,72,222,4,1,2,0,0,3,1,7,2,3,7,576
35,"P.M.V. SURAPUR MADHYA KAKSH",443,377,0,820,253,219,0,472,472,0,16,145,91,207,1,1,1,2,0,3,0,2,1,2,0,472
36,"P.V. KHETAPUR",729,687,0,1416,422,409,0,831,831,0,5,240,268,305,3,3,0,2,0,1,0,1,1,0,2,831
37,"P.V. PIPARI MOHAMMADI",504,425,0,929,331,266,0,597,587,0,13,109,73,299,12,8,2,3,0,4,54,7,4,6,3,597
38,"P.V. PIPARI CHANDAULI DWITIY",384,304,0,688,217,209,0,426,426,0,9,152,20,224,4,1,2,3,1,0,0,2,1,3,4,426
39,"J.H.S. NARAYANPUR",853,714,0,1567,538,496,0,1034,1034,0,6,305,287,369,3,7,2,1,1,35,1,6,6,3,2,1034
40,"P.V. BELAHARI",631,600,0,1231,456,435,0,891,891,0,15,341,133,358,5,6,1,1,0,2,1,6,9,5,8,891
41,"P.V. PETHIYA",714,586,0,1300,464,371,0,835,821,0,15,199,49,541,3,0,1,1,0,16,1,4,1,1,3,835
42,"K.P.V. BRAHIMPUR KUSMA UTTARI KAKSH",761,691,0,1452,531,437,0,968,968,0,10,150,145,621,6,4,3,9,2,3,2,6,6,0,1,968
43,"K.P.V. BRAHIMPUR KUSMA DAKSHINI KAKSH",348,302,0,650,241,190,0,431,431,0,5,147,25,243,2,0,1,2,0,1,0,2,1,1,1,431
44,"P.V. ALAMPUR SHEKHPUR",310,287,0,597,219,202,0,421,421,0,4,100,34,274,1,0,0,0,0,1,0,1,5,1,0,421
45,"P.V. DHAURAHRA UTTARI KAKSH",342,317,0,659,236,192,0,428,428,0,9,151,20,230,3,1,0,0,0,0,0,2,2,3,7,428
46,"P.V. DHAURAHRA DAKSHINI KAKSH",718,622,0,1340,487,406,0,893,893,0,23,257,65,523,6,1,2,0,1,1,0,3,5,1,5,893
47,"P.V. RASOOLPUR HARIJAN",454,410,0,864,351,340,0,691,691,0,15,415,22,211,5,4,2,0,1,0,2,4,3,3,4,691
48,"P.V. SAKRAWAL BALAK TANDA UTTARI KAKSH",827,697,0,1524,615,424,0,1039,1036,0,5,75,908,37,0,0,1,5,0,2,0,2,0,1,3,1039
49,"P.V. SAKRAWAL BALAK TANDA DAKSHINI KAKSH",818,740,0,1558,568,485,0,1053,1053,0,15,27,992,10,1,0,0,2,0,0,0,1,0,1,4,1053
50,"P.V. SAKRAWAL BALAK TANDA PURVI KAKSH",784,693,0,1477,498,456,0,954,954,0,7,36,872,13,0,0,0,16,1,0,0,0,2,1,6,954
51,"P.V. SAKRAWAL BALAK TANDA PASCHIMI KAKSH",919,779,0,1698,557,455,0,1012,1012,0,7,67,873,52,1,1,1,0,0,1,1,3,2,1,2,1012
52,"K.P.V. SAKRAWAL TANDA PURVI KAKSH",490,482,0,972,342,285,0,627,626,0,14,22,526,61,0,1,0,0,0,0,0,0,1,0,2,627
53,"K.P.V. SAKRAWAL TANDA PASCHIMI KAKSH",645,601,0,1246,397,312,0,709,709,0,20,60,584,38,0,0,0,3,0,1,0,0,1,1,1,709
54,"SARASWATI VIDYA MANDIR U.M.V. UTTARI KAKSH",835,755,0,1590,570,518,0,1088,1088,0,29,193,354,467,8,3,4,0,0,0,3,11,6,1,9,1088
55,"SARASWATI VIDYA MANDIR U.M.V. DAKSHINI KAKSH",787,715,0,1502,479,400,0,879,879,0,8,37,634,182,1,1,1,3,1,1,1,2,2,1,4,879
56,"DARUL ULUM MADARSA MANJARE HAQ TANDA PURVI KAKSH",718,690,0,1408,447,339,0,786,635,0,13,78,669,19,0,0,0,1,0,0,0,2,1,0,3,786
57,"DARUL ULUM MADARSA MANJARE HAQ TANDA MADHYA KAKSH",693,623,0,1316,459,369,0,828,725,0,9,56,747,6,2,0,0,1,0,2,0,1,0,1,3,828
58,"DARUL ULUM MADARSA MANJARE HAQ TANDA PASCHIMI KAKSH",775,700,0,1475,552,446,0,998,993,0,17,119,322,525,2,0,0,2,0,0,1,6,0,1,3,998
59,"KAUMI INTER COLLEGE TANDA PURVI KAKSH SAN-20",677,536,0,1213,406,285,0,691,691,0,7,27,509,141,0,0,1,3,0,0,0,1,0,0,2,691
60,"KAUMI INTER COLLEGE TANDA PURVI KAKSH SAN-19",839,685,0,1524,681,366,0,1047,1047,0,11,112,606,298,1,1,1,3,0,0,0,4,2,2,6,1047
61,"KAUMI INTER COLLEGE TANDA PURVI KAKSH SAN-18",382,362,0,744,194,166,0,360,320,0,5,54,249,44,0,0,0,1,0,0,0,0,1,1,5,360
62,"KAUMI INTER COLLEGE TANDA UTTARI MADHYA KAKSH SAN-17",372,370,0,742,168,173,0,341,329,0,7,45,259,26,0,0,0,1,0,0,0,1,0,0,2,341
63,"KAUMI INTER COLLEGE TANDA UTTARI MADHYA KAKSH SAN-16",680,569,0,1249,394,324,0,718,658,0,32,153,354,155,2,0,0,7,0,0,0,1,2,6,6,718
64,"MISHRILAL ARYA K.I.C. TANDA UTTARI KAKSH SAN.-6",856,757,1,1614,358,447,0,805,805,0,14,58,390,324,5,2,0,1,0,0,0,7,0,0,4,805
65,"MISHRILAL ARYA K.I.C. DAKSHINI KAKSH SAN.-5",466,416,0,882,242,240,0,482,404,0,17,70,254,134,0,0,1,0,0,1,0,1,1,0,3,482
66,"MISHRILAL ARYA K.I.C. TANDA DAKSHINI KAKSH SAN.-4",375,345,0,720,218,188,0,406,385,0,9,49,284,58,1,1,0,1,0,1,1,0,0,0,1,406
67,"MISHRILAL ARYA K.I.C. TANDA MADHYA KAKSH SAN.-3",439,419,0,858,221,212,0,433,424,0,5,25,346,56,0,0,0,0,0,0,0,0,1,0,0,433
68,"MISHRILAL ARYA K.I.C. TANDA MADHYA KAKSH SAN.-2",424,419,0,843,241,224,0,465,450,0,18,79,218,147,0,0,0,0,0,1,0,0,0,1,1,465
69,"MISHRILAL ARYA K.I.C. TANDA DAKSHINI KAKSH SAN.-1",712,576,0,1288,363,284,0,647,644,0,6,42,458,129,0,0,0,6,0,0,0,2,1,1,2,647
70,"MISHRILAL ARYA K.I.C. TANDA PURVI NAYA BHAWAN",640,642,0,1282,383,397,0,780,780,0,17,59,452,239,1,3,0,1,0,0,0,4,1,0,3,780
71,"MISHRILAL ARYA K.I.C. TANDA PASCHIMI NAYA BHAWAN",508,472,0,980,316,247,0,563,563,0,12,27,451,69,0,0,0,3,0,0,0,0,1,0,0,563
72,"F.G.I.C. TANDA PURANA BHAWAN PURVI KAKSH",606,548,0,1154,362,349,0,711,709,0,4,54,624,19,0,0,0,1,0,2,1,2,0,1,3,711
73,"F.G.I.C. TANDA PURANA BHAWAN PASCHIMI KAKSH",358,293,0,651,242,196,0,438,438,0,2,14,250,159,1,0,1,0,0,1,0,1,4,1,4,438
74,"F.G.I.C. TANDA PURANA BHAWAN MADHYA KAKSH",575,493,0,1068,409,282,0,691,691,0,6,13,647,15,0,0,0,2,1,2,0,0,0,1,4,691
75,"F.G.I.C. TANDA NAYA BHAWAN UTTARI KAKSH",590,558,0,1148,402,367,0,769,769,0,5,27,705,16,1,1,0,2,0,0,0,3,4,2,3,769
76,"F.G.I.C. TANDA NAYA BHAWAN DAKSHINI KAKSH",690,696,0,1386,452,384,0,836,836,0,4,23,788,13,2,1,0,0,0,0,0,2,2,0,1,836
77,"A.J.I.C. TANDA PASCHIMI NAYA BHAWAN-1",506,441,0,947,387,264,0,651,651,0,7,9,628,5,0,0,0,0,0,0,0,0,1,0,1,651
78,"A.J.I.C. TANDA PASCHIMI NAYA BHAWAN-2",380,366,0,746,281,237,0,518,480,0,2,21,488,2,0,0,0,1,1,0,2,0,0,0,1,518
79,"A.J.I.C. TANDA DAKSHINI KAKSH",757,670,0,1427,429,425,0,854,854,0,10,50,708,71,0,2,1,3,0,0,0,4,3,0,2,854
80,"A.J.I.C. TANDA MADHYA KAKSH",489,393,0,882,322,237,0,559,559,0,3,71,394,75,0,1,0,1,0,1,0,4,4,2,3,559
81,"A.J.I.C. TANDA PURVI KAKSH",727,577,0,1304,425,328,0,753,751,0,8,39,668,30,0,1,0,0,0,1,1,1,1,1,2,753
82,"A.J.I.C. TANDA PASCHIMI KAKSH",881,730,0,1611,529,406,0,935,923,0,8,34,733,148,1,1,0,0,0,2,3,3,0,0,2,935
83,"BAL SHIKSHA NIKETAN J.H.S. TANDA DAKSHINI KAKSH",695,612,0,1307,479,395,0,874,866,0,13,48,44,752,3,1,0,2,1,0,1,3,1,1,4,874
84,"BAL SHIKSHA NIKETAN J.H.S. TANDA NAYA BHAWAN PURVI KAKSH",755,701,0,1456,528,372,0,900,883,0,15,97,579,196,2,1,1,2,0,2,0,0,0,0,5,900
85,"BAL SHIKSHA NIKETAN J.H.S. TANDA NAYA BHAWAN MADHYA KAKSH",613,577,0,1190,397,295,0,692,667,0,13,36,519,111,2,0,0,3,0,0,1,4,0,2,1,692
86,"BAL SHIKSHA NIKETAN J.H.S. TANDA NAYA BHAWAN PASCHIMI KAKSH",754,700,0,1454,417,482,0,899,894,0,9,65,323,481,3,0,2,3,0,3,1,5,3,1,0,899
87,"P.V. CHHAJJAPUR BALAK",813,737,0,1550,525,422,0,947,600,0,8,48,356,518,2,3,0,0,0,2,0,5,1,1,3,947
88,"C.W.CO.S.L. CHHAJJAPUR TANDA KAKSH SAN-1",737,679,0,1416,514,397,0,911,906,0,9,42,769,71,0,0,2,4,0,3,0,3,1,0,7,911
89,"C.W.CO.S.L. CHHAJJAPUR TANDA KAKSH SAN-2",636,550,0,1186,374,273,0,647,644,0,6,37,479,111,0,1,0,4,0,1,0,1,3,1,3,647
90,"M.N.I.C. TANDA PURVI KAKSH SAN-4",739,713,0,1452,478,425,0,903,903,0,24,68,723,73,4,1,0,1,0,3,1,1,1,0,3,903
91,"M.N.I.C. TANDA PASCHIMI KAKSH SAN-9",527,510,0,1037,383,299,0,682,682,0,11,22,502,142,1,0,0,0,0,0,0,0,2,1,1,682
92,"MADARSA KANJUL ULUM TANDA UTTARI KAKSH",799,676,0,1475,511,432,0,943,943,0,16,38,215,657,1,1,0,2,1,1,3,3,2,2,1,943
93,"MADARSA KANJUL ULUM TANDA DAKSHINIKAKSH",410,359,0,769,286,210,0,496,496,0,7,4,26,452,0,0,0,1,0,0,1,4,1,0,0,496
94,"KARYALAY N.P.P.TANDA UTTARI KAKSH",737,650,0,1387,424,381,0,805,793,0,5,122,197,461,5,1,0,0,0,4,2,2,4,0,2,805
95,"KARYALAY N.P.P.TANDA DAKSHINI KAKSH",729,581,0,1310,415,330,0,745,745,0,15,89,131,495,3,1,0,0,1,1,0,2,1,2,4,745
96,"P.V. AHATA NAGAR KSHETRA TANDAUTTARI KAKSH",783,676,0,1459,426,375,0,801,801,0,9,42,398,331,5,0,0,3,1,1,1,4,1,1,4,801
97,"P.V. AHATA NAGAR KSHETRA TANDA DAKSHINI KAKSH",597,505,0,1102,379,251,0,630,627,0,10,55,447,115,0,0,1,1,0,0,0,0,0,0,1,630
98,"TRILOK NATH SNATKOTTAR MAHAVIDYALAY TANDA UTTARI-1",600,506,0,1106,357,273,0,630,630,0,4,159,232,209,2,1,2,8,0,1,2,3,2,3,2,630
99,"TRILOK NATH SNATKOTTAR MAHAVIDYALAY TANDA UTTARI-2",752,730,0,1482,459,374,0,833,833,0,8,161,604,46,1,0,1,0,0,0,1,1,2,4,4,833
100,"TRILOK NATH SNATKOTTAR MAHAVIDYALAY TANDA DAKSHINI-1",464,405,0,869,285,237,0,522,522,0,4,79,192,240,1,1,1,1,0,0,0,2,1,0,0,522
101,"TRILOK NATH SNATKOTTAR MAHAVIDYALAY TANDA DAKSHINI-2",616,517,0,1133,395,318,0,713,706,0,2,38,136,513,7,2,1,1,0,0,1,2,4,1,5,713
102,"P.V NAYA BHAWAN CHINTAURA PURVI KAKSH",651,518,0,1169,363,308,0,671,671,0,7,75,372,205,0,0,3,4,0,0,1,2,1,0,1,671
103,"P.V. NAYA BHAWAN CHINTAURA PASCHIMI KAKSH",885,706,0,1591,593,365,0,958,956,0,18,289,220,390,9,0,1,3,1,2,2,8,7,2,6,958
104,"P.V. PAIKOLIYA",609,553,0,1162,511,425,0,936,936,0,11,332,50,519,3,1,0,1,1,1,2,2,8,4,1,936
105,"P.V. PUNTHAR PURVI KAKSH",789,797,0,1586,480,459,0,939,939,0,10,20,705,188,4,0,2,0,1,1,0,4,1,2,1,939
106,"P.V. PUNTHAR PASCHIMI KAKSH",682,585,0,1267,428,400,0,828,820,0,9,189,197,402,1,9,2,3,1,2,0,5,5,0,3,828
107,"SARWAJANIK J.H.S. DHAURAHARA GAURAGUJAR NAYA BHAWAN PURVI KAKSH",534,440,0,974,397,320,0,717,717,0,1,39,205,449,4,1,1,0,0,2,2,4,3,2,4,717
108,"SARWAJANIK J.H.S. DHAURAHARA GAURAGUJAR NAYA BHAWAN PASCHIMI KAKSH",375,317,0,692,286,250,0,536,536,0,4,292,49,179,1,1,0,2,0,0,0,5,2,0,1,536
109,"P.V. TENDUA KHAS",486,423,0,909,336,313,0,649,630,0,9,276,66,270,5,6,0,0,0,6,1,4,2,2,2,649
110,"P.V. PIYAREPUR",482,425,0,907,370,266,0,636,636,0,2,144,101,358,5,8,0,0,0,1,0,10,4,2,1,636
111,"P.V. BHASRA",592,524,0,1116,370,400,0,770,770,0,3,182,118,385,2,51,1,9,0,1,1,9,3,3,2,770
112,"P.B. BALYA JAGDEESHPUR",515,433,0,948,290,287,0,577,575,0,3,203,125,220,2,3,1,3,1,5,0,3,4,2,2,577
113,"P.V. MOHIUDDINPUR DWITIY",686,594,0,1280,360,361,0,721,707,0,12,231,47,337,16,2,5,12,3,30,3,4,7,3,9,721
114,"P.V. PIPARI SAIDPUR",467,470,0,937,320,255,0,575,573,0,4,191,74,252,1,43,1,0,0,3,0,2,0,1,3,575
115,"P.V. AMIYA BABHANPUR",794,726,0,1520,537,360,0,897,897,0,6,280,54,493,27,9,0,10,0,3,2,4,2,2,5,897
116,"P.V. DEOHAT PURVI KAKSH",731,631,0,1362,430,379,0,809,300,0,11,116,77,540,24,3,0,0,4,4,3,5,7,6,9,809
117,"P.V. DEOHAT PASCHIMI KAKSH",576,541,0,1117,347,330,0,677,665,0,14,152,55,381,44,2,1,0,2,4,4,0,5,3,10,677
118,"P.V. BHARHA",476,393,0,869,341,270,0,611,604,0,4,117,95,350,8,0,2,1,0,7,4,9,6,1,7,611
119,"P.V. JANARDANPUR",490,441,0,931,318,324,0,642,641,0,7,232,88,298,1,3,1,0,2,1,1,4,2,1,1,642
120,"K.U.M.V. PAKRI BHOJPUR PURVI KAKSH",843,720,0,1563,460,418,0,878,878,0,9,210,243,376,12,5,0,2,1,2,0,4,7,2,5,878
121,"K.U.M.V. PAKRI BHOJPUR PASCHIMI KAKSH",312,276,0,588,210,169,0,379,379,0,5,32,138,183,8,1,0,0,0,1,0,1,2,0,8,379
122,"P.V. ALAMPUR KHADGDAS",694,619,0,1313,469,418,0,887,885,0,14,320,86,451,1,1,0,0,1,7,1,2,3,0,0,887
123,"P.V. RAMPUR KALA PURVI KAKSH",190,164,0,354,134,108,0,242,242,0,3,19,44,167,1,1,0,0,1,0,1,3,1,0,1,242
124,"P.V. RAMPUR KALA MADHYA KAKSH",746,656,0,1402,503,388,0,891,830,0,11,231,130,472,0,11,0,1,2,2,3,6,4,7,11,891
125,"P.V. RAMPUR KALA PASCHIMI KAKSH",657,560,0,1217,422,370,0,792,790,0,11,163,219,335,4,12,2,3,2,2,12,8,7,3,9,792
126,"P.V RASOOLPUR MUBARAKPUR PURVI KAKSH",329,291,0,620,236,223,0,459,459,0,3,61,184,184,1,2,8,1,0,0,0,7,2,2,4,459
127,"P.V. RASOOPUR MUBARAKPUR PASCHIMI KAKSH",837,641,0,1478,476,415,0,891,891,0,14,115,558,175,4,1,3,1,0,1,1,6,10,1,1,891
128,"P.V. RASOOLPUR MUBARAKPUR ATIRIKT KAKSH",388,233,0,621,230,153,0,383,353,0,6,45,227,84,2,0,4,0,0,1,1,5,3,0,5,383
129,"L.P.K.I.C.MUBARAKPUR TANDA KAKSH SAN-1",614,546,0,1160,361,346,0,707,705,0,8,113,273,304,5,0,0,0,0,0,1,1,1,0,1,707
130,"L.P.KANYA I.C. MUBARAKPUR TANDA KAKSH SAN.-2",342,273,0,615,237,173,0,410,409,0,6,98,254,44,1,1,0,2,0,1,0,2,0,0,1,410
131,"L.P.KANYA I.C. MUBARAKPUR TANDA KAKSH SAN.-7",631,539,0,1170,416,281,0,697,694,0,12,71,234,365,2,1,2,1,0,0,2,4,3,0,0,697
132,"L.P.KANYA I.C. MUBARAKPUR TANDA KAKSH SAN.-10",336,295,0,631,129,160,0,289,289,0,5,18,60,195,0,1,0,1,1,0,0,2,2,1,3,289
133,"L.P.KANYA I.C. MUBARAKPUR TANDA KAKSH SAN.-3",665,535,0,1200,380,322,0,702,699,0,7,205,348,124,4,0,0,0,0,1,0,5,3,2,3,702
134,"L.P.KANYA I.C. MUBARAKPUR TANDA KAKSH SAN.-4",404,357,0,761,224,204,0,428,425,0,3,98,244,76,1,0,0,0,0,0,0,4,2,0,0,428
135,"U.P.V. MAJHA ULTAHWA",611,440,2,1053,333,239,0,572,572,0,17,56,175,285,4,1,2,4,3,3,3,6,6,1,6,572
136,"P.V. DUHIYA",832,720,0,1552,530,456,0,986,956,0,28,252,123,518,16,8,3,2,14,0,4,6,5,3,4,986
137,"P.M.V. ISMAILPUR BELDAHA PURVI KAKSH",460,422,0,882,316,281,0,597,550,0,15,81,141,351,0,1,0,0,0,0,0,2,2,1,3,597
138,"P.M.V. ISMAILPUR BELDAHA PASCHIMI KAKSH",637,554,0,1191,412,453,0,865,865,0,9,330,134,367,3,2,1,0,0,1,1,5,6,3,3,865
139,"P.V. SHAHPUR KURMAUL",716,599,0,1315,489,415,0,904,904,0,3,325,47,516,0,0,0,1,0,3,0,5,3,1,0,904
140,"L.P.J.H.S. DEVIPUR",237,213,0,450,165,157,0,322,311,0,2,62,52,195,2,0,0,0,1,6,0,1,0,0,1,322
141,"P.V. HASANPUR SUNTHAR",646,586,0,1232,475,425,0,900,865,0,8,129,99,622,6,8,3,0,0,0,1,6,8,5,5,900
142,"P.V. PARSAWAN KALA",208,180,0,388,149,141,0,290,265,0,4,189,22,68,1,0,0,0,0,0,0,2,2,0,2,290
143,"P.V. MISHRAULIYA CHHANGURPUR",686,602,0,1288,414,377,0,791,791,0,5,292,15,416,0,36,0,1,0,0,1,11,6,5,3,791
144,"P.V. PIPARI VISHUNPUR",533,462,0,995,353,323,0,676,676,0,10,181,12,416,6,11,1,4,1,3,1,13,3,8,6,676
145,"P.V. DAULATPUR HAJALPATTI PURVI KAKSH",729,613,0,1342,468,401,0,869,869,0,14,354,335,138,1,6,1,3,0,1,5,5,2,4,0,869
146,"P.V. DAULATPUR HAJALPATTI PASCHIMI KAKSH",610,524,0,1134,396,348,0,744,744,0,10,99,78,531,2,1,2,1,0,2,1,6,7,2,2,744
147,"P.V. KODRA PURVI KAKSH",480,426,0,906,292,288,0,580,580,0,5,165,49,321,24,0,2,2,1,2,0,4,3,0,2,580
148,"P.V. KODRA PASCHIMI KAKSH",395,385,0,780,219,234,0,453,453,0,5,8,24,330,68,3,0,0,0,0,1,4,6,1,3,453
149,"P.V. MUJAHIDPUR",712,594,0,1306,428,330,0,758,740,0,13,208,94,409,3,5,1,1,0,1,1,6,9,3,4,758
150,"P.V. BELAPARSA UTTARI KAKSH",746,656,0,1402,425,422,0,847,847,0,11,249,164,390,6,2,1,0,0,0,1,4,5,5,9,847
151,"P.V. BELAPARSA MADHYA KAKSH",498,443,0,941,294,273,0,567,512,0,10,216,102,201,2,14,0,0,1,1,2,5,4,4,5,567
152,"P.V. BELAPARSA DAKSHNI KAKSH",386,365,0,751,226,210,0,436,432,0,8,232,29,139,2,0,0,0,0,1,0,7,9,3,6,436
153,"P.V. KATYA GANJAN",651,539,0,1190,329,338,0,667,667,0,10,275,21,325,5,7,1,0,0,0,2,7,4,4,6,667
154,"SHREE RAM L.M.V. DAULATPUR MAHMOODPUR UTTARI KAKSH",808,719,0,1527,430,424,0,854,854,0,16,50,357,360,5,13,1,3,1,26,2,5,9,0,6,854
155,"SHREE RAM L.M.V. DAULATPUR MAHMOODPUR DAKSHINI KAKSH",802,734,0,1536,348,347,0,695,495,0,7,219,272,157,4,4,2,0,0,8,2,7,7,2,4,695
156,"P.V. BIBIPUR",428,403,0,831,236,246,0,482,482,0,8,150,37,251,5,3,0,3,1,0,0,5,9,3,7,482
157,"P.V.MAHMADPUR KAPURI",367,348,0,715,240,229,0,469,469,0,6,87,56,282,7,3,0,0,3,2,3,8,6,2,4,469
158,"P.V. MASDA MOHANPUR UTTARI KAKSH",747,691,0,1438,462,468,0,930,930,0,10,317,135,401,9,1,1,2,1,4,7,7,12,6,17,930
159,"P.V. MASDA MOHANPUR DAKSHINI KAKSH",431,412,0,843,221,242,0,463,460,0,3,24,214,202,2,2,3,1,1,1,2,0,2,2,4,463
160,"P.V. UMRAPUR MINAPUR",630,607,0,1237,444,432,0,876,875,0,11,432,80,315,4,7,0,0,0,4,1,10,6,2,4,876
161,"SHISHU SHIKSHA KENDRA SHEKHPUR",236,211,0,447,185,157,0,342,342,0,2,106,7,189,1,30,0,1,0,1,1,1,2,1,0,342
